L2 R' F' U F B'
L2 R' F' U B' F
R' L2 F' U F B'
R' L2 F' U B' F
F2 U' F' U2 F' L'
F' U' F2 U2 F' L'
L2 F U F' B' L'
L2 F U B' F' L'
U2 F U' F' U' L'
R' F' U D2 F B2
R' F' U D2 B2 F
R' F' U' F2 U2 F'
R' F' D2 U F B2
R' F' D2 U B2 F
L2 B' U' B U L
F' U F' L F2 L2 B'
F2 U F' L F' L2 B'
F U F' L' U' L U
F U F' L2 D' L B2
F2 U F2 L2 D2 B' L
F2 U F2 U2 F U2 L'
F2 U F2 D2 L2 B' L
L2 D' R' F' U F B'
L2 D' R' F' U B' F
B' U' L B U L B'
L2 D' F U F' B' L'
L2 D' F U B' F' L'
R' D' F' U D2 F B2
R' D' F' U D2 B2 F
R' D' F' U' F2 U2 F'
R' D' F' D2 U F B2
R' D' F' D2 U B2 F
B' U' L2 B U L B2
F' U' R F2 U2 F' L'
U2 D' F U' F' U' L'
F' U' R' F2 U2 F' L'
F' U' R2 F2 U2 F' L'
L2 D' B' U' B U L
F2 U' R2 B L F2 R
R' D2 L2 F' U F B'
R' D2 L2 F' U B' F
F2 U' F' R2 B U2 L
F2 U' F' U2 L F' L'
F2 U' F' U2 L' F' L'
F2 U' F' U2 L2 F' L'
F2 U' F' U2 D F' L'
F2 U' F' U2 D' F' L'
F2 U' F' U2 D2 F' L'
F2 U' F' U2 F' L' D
F2 U' F' U2 F' L' D'
F2 U' F' U2 F' L' D2
F2 U' F' U2 F' D L'
F2 U' F' U2 F' D' L'
F2 U' F' U2 F' D2 L'
F2 U' F' D U2 F' L'
F2 U' F' D' U2 F' L'
F2 U' F' D2 U2 F' L'
F2 U' F' B U2 L F'
F2 U' F' B U2 F' L
F' U' F2 R2 B U2 L
F' U' F2 U2 L F' L'
F' U' F2 U2 L' F' L'
F' U' F2 U2 L2 F' L'
F' U' F2 U2 D F' L'
F' U' F2 U2 D' F' L'
F' U' F2 U2 D2 F' L'
F' U' F2 U2 F' L' D
F' U' F2 U2 F' L' D'
F' U' F2 U2 F' L' D2
F' U' F2 U2 F' D L'
F' U' F2 U2 F' D' L'
F' U' F2 U2 F' D2 L'
F' U' F2 D U2 F' L'
F' U' F2 D' U2 F' L'
F' U' F2 D2 U2 F' L'
F' U' F2 B U2 L F'
F' U' F2 B U2 F' L
B' U' B L2 U B' L'
B' U' B U L2 B' L'
B' U' B U' F U2 L
L2 D2 R' F' U F B'
L2 D2 R' F' U B' F
F' U' B F2 U2 L F'
F' U' B F2 U2 F' L
F2 U' B F' U2 L F'
F2 U' B F' U2 F' L
F' U' B' R' F2 U2 F'
L D2 R' F' U F B
L D2 R' F' U B F
B2 U' B2 L2 U B' L
B U' B' U' R' F U2
B2 U' B2 U L2 B' L
B U' B' U' F R' U2
D' U2 F U' F' U' L'
D2 U2 F U' F' U' L'
L2 D2 F U F' B' L'
L2 D2 F U B' F' L'
U2 D2 F U' F' U' L'
R' D2 F' U D2 F B2
R' D2 F' U D2 B2 F
R' D2 F' U' F2 U2 F'
R' D2 F' D2 U F B2
R' D2 F' D2 U B2 F
D U2 F U' F' U' L'
F U2 L' B' U' F' B
F U2 L' B' U' B F'
L2 D2 B' U' B U L
L' F L' U F' B' L'
L' F L' U B' F' L'
U2 F L' U' F' B' U'
U2 F L' U' B' F' U'
B' U2 F U B U L
L F L U F' B' L'
L F L U B' F' L'
U' F R U R' F' U
U2 F R2 U B U L
U' F U R' F' U F
U' F U F U F' L'
F U2 B U' F' B' L'
F U2 B U' B' F' L'
L2 F U L F' L' B'
L2 F U D F' B' L'
L2 F U D B' F' L'
L2 F U D' F' B' L'
L2 F U D' B' F' L'
L2 F U D2 F' B' L'
L2 F U D2 B' F' L'
L2 F U F' D B' L'
L2 F U F' D' B' L'
L2 F U F' D2 B' L'
L2 F U F' B L' B2
L2 F U F' B' L' D
L2 F U F' B' L' D'
L2 F U F' B' L' D2
L2 F U F' B' D L'
L2 F U F' B' D' L'
L2 F U F' B' D2 L'
L2 F U F' B2 L' B
L2 F U B F' L' B2
L2 F U B' L F' L'
L2 F U B' L' F' L'
L2 F U B' L2 F' L'
L2 F U B' D F' L'
L2 F U B' D' F' L'
L2 F U B' D2 F' L'
L2 F U B' F' L' D
L2 F U B' F' L' D'
L2 F U B' F' L' D2
L2 F U B' F' D L'
L2 F U B' F' D' L'
L2 F U B' F' D2 L'
F U2 B' U' F' L' B
F U2 B' U' F' B L'
F U2 B' U' B F' L'
L2 F U B2 F' L' B
L F U L F' B' L'
L F U L B' F' L'
L F U L2 F' L' B'
U2 F U' D F' U' L'
U2 F U' D' F' U' L'
U2 F U' D2 F' U' L'
U2 F U' F' U' L' D
U2 F U' F' U' L' D'
U2 F U' F' U' L' D2
U2 F U' F' U' D L'
U2 F U' F' U' D' L'
U2 F U' F' U' D2 L'
U2 F U' F' D U' L'
U2 F U' F' D' U' L'
U2 F U' F' D2 U' L'
U2 F U' F' B U' L'
U2 F U' F' B' U' L'
U2 F U' F' B2 U' L'
L F U F' L B' L2
U2 F U' B F' U' L'
U2 F U' B' F' U' L'
F U2 B2 U' F' L' B2
F U2 B2 U' F' B2 L'
U2 F U' B2 F' U' L'
F U2 B2 U' B2 F' L'
L2 F D U F' B' L'
L2 F D U B' F' L'
U2 F D U' F' U' L'
R F U2 B U' F' B'
R F U2 B U' B' F'
L2 F D' U F' B' L'
L2 F D' U B' F' L'
U2 F D' U' F' U' L'
L2 F D2 U F' B' L'
L2 F D2 U B' F' L'
U2 F D2 U' F' U' L'
F2 D R' F' R' U B
U' F B' R' U R U
R' F' L2 U' F2 B' U2
R' F' L2 U' B' F2 U2
R' F' L2 D' L2 U F
R' F' R U D2 F B2
R' F' R U D2 B2 F
R' F' R U' F2 U2 F'
R' F' R D2 U F B2
R' F' R D2 U B2 F
R' F' R' U D2 F B2
R' F' R' U D2 B2 F
R' F' R' U' F2 U2 F'
R' F' R' D2 U F B2
R' F' R' D2 U B2 F
R' F' R2 U D2 F B2
R' F' R2 U D2 B2 F
R' F' R2 U' F2 U2 F'
L2 F' R' F' U F2 B'
L2 F' R' F' U B' F2
R' F' R2 D2 U F B2
R' F' R2 D2 U B2 F
R' F' U D F D B2
R' F' U D' F D' B2
R' F' U D2 F B2 D
R' F' U D2 F B2 D'
R' F' U D2 F B2 D2
R' F' U D2 B2 D F
R' F' U D2 B2 D' F
R' F' U D2 B2 D2 F
R' F' U D2 B2 F D
R' F' U D2 B2 F D'
R' F' U D2 B2 F D2
R' F' U F L2 B' L2
R' F' U F U2 F U2
R' F' U B D2 F B2
R' F' U B D2 B2 F
R' F' U B' D2 F B2
R' F' U B' D2 B2 F
R' F' U B2 D2 F B2
R' F' U B2 D2 B2 F
L2 F' U F' B' L' F2
R' F' U' F2 U2 D F'
R' F' U' F2 U2 D' F'
R' F' U' F2 U2 D2 F'
R' F' U' F2 U2 F' D
R' F' U' F2 U2 F' D'
R' F' U' F2 U2 F' D2
R' F' U' F2 D U2 F'
R' F' U' F2 D' U2 F'
R' F' U' F2 D2 U2 F'
R' F' U' F2 B U2 F'
R' F' U' F2 B' U2 F'
R' F' U' F2 B2 U2 F'
L2 F' U B' F' L' F2
R' F' U' B F2 U2 F'
D2 F' U' F2 U2 F' L'
D' F' U' F2 U2 F' L'
R' F' U' B' F2 U2 F'
R' F' U' B2 F2 U2 F'
R' F' U2 D R2 U' F
D F' U' F2 U2 F' L'
R' F' D U F D B2
R' F' D U2 R2 U' F
F' D' L2 U' B' R' U2
R' F' D' L2 U' B' U2
B2 D' L2 R2 D B' L
R' F' D' U F D' B2
R' F' D2 R U F B2
R' F' D2 R U B2 F
R' F' D2 R' U F B2
R' F' D2 R' U B2 F
U F' D R2 U' L' R2
U F' D R2 U' R2 L'
R' F' D2 R2 U F B2
R' F' D2 R2 U B2 F
R' F' D2 U F B2 D
R' F' D2 U F B2 D'
R' F' D2 U F B2 D2
R' F' D2 U B2 D F
R' F' D2 U B2 D' F
R' F' D2 U B2 D2 F
R' F' D2 U B2 F D
R' F' D2 U B2 F D'
R' F' D2 U B2 F D2
F' D' R' F' L2 U F2
B2 D' R2 L2 D B' L
B2 D' R2 D L2 B' L
F' D' F2 L2 U F' L'
L2 F2 R' F' U F' B'
L2 F2 R' F' U B' F'
R' F2 R2 F U F B
R' F2 R2 F U B F
L2 F2 U F' B' L' F'
L2 F2 U F2 D2 B' L
D2 F2 U' F' U2 F' L'
D' F2 U' F' U2 F' L'
L2 F2 U B' F' L' F'
R F2 R2 F' U F' B
R F2 R2 F' U B F'
D F2 U' F' U2 F' L'
R' F2 D R2 F U B
R F2 D R2 F' U B
F' D2 R' F' U F2 B2
F' D2 R' F' U B2 F2
F' D2 U F' L' F2 B2
F' D2 U F' L' B2 F2
F' D2 U F' B2 L' F2
F' D2 U B2 F' L' F2
F' D2 F2 U F' L' B2
F' D2 F2 U F' B2 L'
F' D2 F2 U B2 F' L'
R B L2 F U' F' B'
R B L2 F U' B' F'
U2 B U F B' R' U2
U2 B U B' R' F U2
U2 B U B' F R' U2
L2 B' L U' B U L
L2 B' L' U' B U L
L2 B' L2 U' B U L
U2 B' U F B U2 L
U2 B' U B F U2 L
L2 B' U' D B U L
L2 B' U' D' B U L
L2 B' U' D2 B U L
L2 B' U' F B U L
L2 B' U' F' B U L
L2 B' U' F2 B U L
L2 B' U' B U L D
L2 B' U' B U L D'
L2 B' U' B U L D2
L2 B' U' B U D L
L2 B' U' B U D' L
L2 B' U' B U D2 L
L2 B' U' B D U L
L2 B' U' B D' U L
L2 B' U' B D2 U L
L2 B' U' B F U L
L2 B' U' B F' U L
L2 B' U' B F2 U L
L B' U' B U L B'
L2 B' D U' B U L
L2 B' D' U' B U L
U' B' F R' U R U
R B' D L2 B' D' R2
L2 B' D2 U' B U L
L2 B2 U' B2 U B' L
