L2 R' B' R' B
R' L2 B' R' B
B2 L2 R2 B R'
B' L2 R2 B R
R2 L2 B' R' B2
L2 R2 B' R' B2
F2 L2 F2 B' R'
F2 L2 B' R' F2
F2 L2 B' F2 R'
B' R2 L2 B R
L2 U2 F' L' U2
B2 R2 L2 B R'
B' R2 B L2 R
B' R2 B R L2
B2 R2 B L2 R'
B2 R2 B R' L2
F' U2 F L2 R
F' U2 F R L2
U2 F' L' U2 L'
R' B' L2 R' B
R' B' R' L2 B
R' B' R' B L2
R2 B' L2 R' B2
R2 B' R' L2 B2
R2 B' R' B2 L2
L2 B' R2 B R
L2 B2 R2 B R'
B' L' R2 B' R B2 L'
R2 L' D' B' L' R' B2
B2 L' R2 B L' R' D
B2 L' R2 B L' R' D'
B2 L' R2 B L' R' D2
B2 L' R2 B L' D R'
B2 L' R2 B L' D' R'
B2 L' R2 B L' D2 R'
R2 L' D' B' R' L' B2
R2 L' D' B' R' B2 L'
B2 L' R2 B R' L' D
B2 L' R2 B R' L' D'
B2 L' R2 B R' L' D2
B2 L' R2 B R' D L'
B2 L' R2 B R' D' L'
B2 L' R2 B R' D2 L'
B' L' R2 B2 R B' L'
L2 R' D' B' D R' B
B2 L' R2 B D L' R'
B2 L' R2 B D R' L'
B2 L' R2 B D' L' R'
B2 L' R2 B D' R' L'
B2 L' R2 B D2 L' R'
B2 L' R2 B D2 R' L'
L R' D2 L R B' R'
L R' D2 L R' B' R'
L R' D2 L R2 B' R'
L R' D2 L D B' R'
B L' R2 B D2 L' R2
B L' R2 B D2 R2 L'
L R' D2 L D' B' R'
L R' D2 L D2 B' R'
L2 R' D2 L B' L' R'
L R' D2 L B' R' D
L R' D2 L B' R' D'
L R' D2 L B' R' D2
L2 R' D2 L B' R' L'
L R' D2 L B' D R'
L R' D2 L B' D' R'
L R' D2 L B' D2 R'
R2 L' D2 L' B' R' B2
L R' D2 R L B' R'
L R' D2 R' L B' R'
L R' D2 R2 L B' R'
R2 L' D2 B L' D2 R2
R2 L' D2 B' L' R' B2
R2 L' D2 B' R' L' B2
R2 L' D2 B' R' B2 L'
L2 R' D2 B' D2 R' B
B L' U2 L2 F' U2 L
D2 L' U2 F' L' R2 U2
D2 L' U2 F' R2 L' U2
L2 R' F' B' R' F B
L2 R' F' B' R' B F
B' L' D L' R2 B R
B L' D L' D R2 B
B' L' D R2 L' B R
B' L' D R2 B L' R
B' L' D R2 B R L'
L2 R' F2 B' R' F2 B
L2 R' F2 B' R' B F2
B' L' D' L' R2 B R
R2 L' B L' R D2 R2
R2 L' B L' R' D2 R2
R2 L' B L' R2 D2 R2
R2 L' B L' U2 L2 U2
R2 L' B L' D2 R2 D
R2 L' B L' D2 R2 D'
R2 L' B L' D2 R2 D2
R2 L' B R L' D2 R2
B L' D' L' D' R2 B
R2 L' B R' L' D2 R2
B' L' D' R2 L' B R
L2 R' B R' B2 R' B'
B' L' D' R2 B L' R
B' L' D' R2 B R L'
R2 L' B R2 L' D2 R2
R2 L' B U2 L U2 L2
R2 L' B D L' D2 R2
R' L' B' L R' B L2
R2 L' B D' L' D2 R2
L' R' B' L R' B L2
R' L' B' L' R' D B
R' L' B' L' R' D' B
R' L' B' L' R' D2 B
R' L' B' L' R' B D
R' L' B' L' R' B D'
R' L' B' L' R' B D2
R2 L' B D2 L' D2 R2
L' R' B' L' R' D B
L' R' B' L' R' D' B
L' R' B' L' R' D2 B
L' R' B' L' R' B D
L' R' B' L' R' B D'
L' R' B' L' R' B D2
R' L' B' R' L B L2
R' L' B' R' L' D B
R' L' B' R' L' D' B
R' L' B' R' L' D2 B
R' L' B' R' L' B D
R' L' B' R' L' B D'
R' L' B' R' L' B D2
R' L' B' R' D L' B
R' L' B' R' D B L'
R' L' B' R' D' L' B
R' L' B' R' D' B L'
R' L' B' R' D2 L' B
L' R' B' R' L B L2
L' R' B' R' L' D B
L' R' B' R' L' D' B
L' R' B' R' L' D2 B
R' L' B' R' D2 B L'
L' R' B' R' L' B D
L' R' B' R' L' B D'
L' R' B' R' L' B D2
B' L' D2 L' R2 B R
L2 R' B' L R' B L'
R' L' B' R' B L' D
R' L' B' R' B L' D'
R' L' B' R' B L' D2
R' L' B' R' B D L'
R' L' B' R' B D' L'
R' L' B' R' B D2 L'
R' L' B' R' B' L' B2
L' R' B' R' D L' B
L' R' B' R' D B L'
R2 L' B' L R' B2 L2
L' R' B' R' D' L' B
L' R' B' R' D' B L'
L' R' B' R' D2 L' B
L' R' B' R' D2 B L'
L R' B' L R' B L
L' R' B' R' B L' D
L' R' B' R' B L' D'
L' R' B' R' B L' D2
L' R' B' R' B D L'
L' R' B' R' B D' L'
L' R' B' R' B D2 L'
L' R' B' R' B' L' B2
R2 L' B' L' R B2 R2
R2 L' B' L' R' B2 D
R2 L' B' L' R' B2 D'
R2 L' B' L' R' B2 D2
R2 L' B' L' R2 B2 R
L R' B' L' R' B L
L2 R' B' L2 R' B L2
L R' B' L2 R' B L
B L' D2 L R2 B L2
R2 L' B' R L' B2 R2
B L' D2 L' R2 D B
B L' D2 L' R2 D' B
B L' D2 L' R2 D2 B
B L' D2 L' R2 B D
B L' D2 L' R2 B D'
B L' D2 L' R2 B D2
R L' B' L' R B R2
B' L' D2 R2 L' B R
L2 R' B' R B R2 B
L2 R' B' R B' R2 B
L2 R' B' R B2 R2 B
R2 L' B' R B2 L' R2
R2 L' B' R B2 R2 L'
L2 R' B' R' L B L'
B L' D2 L' B R2 B
R2 L' B' R' L B2 L2
B L' D2 L' B' R2 B
R2 L' B' R' L' B2 D
R2 L' B' R' L' B2 D'
R2 L' B' R' L' B2 D2
L2 R' B' R' L2 B L2
B L' D2 L' B2 R2 B
L R' B' R' L B L
L R' B' R' L' B L
B' L' D2 R2 B L' R
L R' B' R' L2 B L
B' L' D2 R2 B R L'
L2 R' B' R' D B D
L2 R' B' R' D B D'
L2 R' B' R' D B D2
L2 R' B' R' D' B D
L2 R' B' R' D' B D'
L2 R' B' R' D' B D2
L2 R' B' R' D2 B D
L2 R' B' R' D2 B D'
L2 R' B' R' D2 B D2
L R' B' R' D B L
L R' B' R' D' B L
R2 L' B' R' B L' B
L R' B' R' D2 B L
R2 L' B' R' B2 L' D
R2 L' B' R' B2 L' D'
R2 L' B' R' B2 L' D2
L2 R' B' R' B2 D B'
L2 R' B' R' B2 D' B'
R2 L' B' R' B2 D L'
L2 R' B' R' B2 D2 B'
R2 L' B' R' B2 D' L'
R2 L' B' R' B2 D2 L'
L R' B' R' B L D
L R' B' R' B L D'
L R' B' R' B L D2
L R' B' R' B D L
L R' B' R' B D' L
L R' B' R' B D2 L
R2 L' B' R2 L' B2 R
L2 R' B' R2 D R B
L2 R' B' R2 D' R B
R L' B' R L' B R2
L2 R' B' R2 D2 R B
L2 R' B' R2 B R B
L2 R' B' R2 B' R B
R2 L' B' R2 B2 L' R
R2 L' B' R2 B2 R L'
L2 R' B' R2 B2 R B
R L' B' R B L' R2
R L' B' R B R2 L'
B L' D2 R2 L B L2
B L' D2 R2 L' D B
B L' D2 R2 L' D' B
B L' D2 R2 L' D2 B
B L' D2 R2 L' B D
B L' D2 R2 L' B D'
B L' D2 R2 L' B D2
B L' D2 R2 D L' B
B L' D2 R2 D B L'
B L' D2 R2 D' L' B
B L' D2 R2 D' B L'
B L' D2 R2 D2 L' B
B L' D2 R2 D2 B L'
B L' D2 R2 B L' D
B L' D2 R2 B L' D'
B L' D2 R2 B L' D2
B L' D2 R2 B D L'
B L' D2 R2 B D' L'
B L' D2 R2 B D2 L'
B L' D2 R2 B' L' B2
R' L' B2 L' R' B R'
L' R' B2 L' R' B R'
R' L' B2 L' B R' B
L' R' B2 L' B R' B
L2 R' B' F' R' F B
L2 R' B' F' R' B F
B L' D2 B L' R2 B
R' L' B2 R' L' B R'
B L' D2 B R2 L' B
B L' D2 B R2 B L'
L2 R' B' F2 R' F2 B
L' R' B2 R' L' B R'
L2 R' B' F2 R' B F2
R' L' B2 R' B L' R'
R' L' B2 R' B R' L'
B L' D2 B' L' R2 B
L' R' B2 R' B L' R'
L' R' B2 R' B R' L'
B L' D2 B' R2 L' B
B L' D2 B' R2 B L'
B L' D2 B2 L' R2 B
B L' D2 B2 R2 L' B
B L' D2 B2 R2 B L'
R L' B2 L' R B R'
L2 R' B2 R' B R' D
L2 R' B2 R' B R' D'
L2 R' B2 R' B R' D2
L2 R' B2 R' B D R'
L2 R' B2 R' B D' R'
L2 R' B2 R' B D2 R'
R L' B2 R L' B R'
R L' B2 R B L' R'
R L' B2 R B R' L'
R' L2 U R' F' U' B
D2 L' F' R2 U2 F R
B' L' F' U2 R' F L'
B' L' F' U2 F L' R'
B' L' F' U2 F R' L'
L2 R2 U' L' B' U B2
R2 L2 U' L' B' U B2
U2 L' F2 R F L' U2
F L' F2 R U2 F R
F' L' B L U2 F L2
L2 R2 U' B2 U B' R'
R2 L2 U' B2 U B' R'
B2 L' B L' R2 B R
R L2 U2 L F U2 R
R L2 U2 L' U2 B' R'
B2 L' B R2 L' B R
B2 L' B R2 B L' R
B2 L' B R2 B R L'
L2 R2 U2 F U2 B R
R2 L2 U2 F U2 B R
L2 R2 U2 F' L' U2 B
R2 L2 U2 F' L' U2 B
L' R2 D L' B' R' B2
R L2 U2 F U2 R B
R L2 U2 F' L' U2 B'
B L' B D2 L' R2 B
B L' B D2 R2 L' B
B' L' B' L' R2 B R'
B L' B D2 R2 B L'
F2 L' B' L' R' F2 B'
F2 L' B' L' R' B' F2
F2 L' B' L' F2 R' B'
B2 L' B' L' D2 R2 B
L R2 D L B' R' B2
B' L' B' R2 L' B R'
B' L' B' R2 B L' R'
B' L' B' R2 B R' L'
F2 L' B' R' L' F2 B'
F2 L' B' R' L' B' F2
L2 R2 D R B' R' B
R2 L2 D R B' R' B
F' L' B' U2 L' R' F'
F' L' B' U2 R' L' F'
L' R2 D B L' D2 R2
R L2 D R B' R' B2
L' R2 D B' L' R' B2
L' R2 D B' R' L' B2
L' R2 D B' R' B2 L'
R L2 D R2 B' R' B
L' R2 D' L' B' R' B2
L2 R2 D B U2 L U2
R2 L2 D B U2 L U2
L2 R2 D B' R B2 R2
