U L2 D F L' R
U L2 D F R L'
F' U L2 F L R
F' U L2 F R L
F2 U L2 F L' R
F2 U L2 F R L'
F U' R B' U2 R'
F' U' B' U2 L' R'
F' U' B' U2 R' L'
F U' B' R U2 R2
R B F U' R B2 U2
R B F U' B2 R U2
R B F D2 U F2 L'
B2 F U' B L R U2
B2 F U' B R L U2
R B F' U L' D2 F2
R B F' U D2 L' F2
R B F' U' B2 U2 L'
R B F' D' R2 U L'
R B F' D2 U L' F2
U' B' R U' B U' R2
U' B' U F' U L' R'
U' B' U F' U R' L'
F B' R U B U B'
B2 F' U' B L U2 L2
L' B2 R' F' U' L' F
U2 B2 U B L R' U2
U2 B2 U B R' L U2
F' B2 U' B L U2 L2
F B2 U' B L R U2
F B2 U' B R L U2
