F2 L2 R F' B
F2 L2 R B F'
F2 R L2 F' B
F2 R L2 B F'
F2 R F' L2 B
F2 R F' B L2
F2 R B L2 F'
F2 R B F' L2
F L2 F R F' D2 B
F L2 F R F' B D
F L2 F R F' B D'
F L2 F R F' B D2
F L2 F R B D F'
F L2 F R B D' F'
F L2 F R B D2 F'
F L2 F R B F' D
F L2 F R B F' D'
F L2 F R B F' D2
F' L2 F' R D F' B
F' L2 F' R D B F'
F' L2 F' R D' F' B
F' L2 F' R D' B F'
F' L2 F' R D2 F' B
F' L2 F' R D2 B F'
F' L2 F' R F' D B
F' L2 F' R F' D' B
F' L2 F' R F' D2 B
F' L2 F' R F' B D
F' L2 F' R F' B D'
F' L2 F' R F' B D2
F' L2 F' R B D F'
F' L2 F' R B D' F'
F' L2 F' R B D2 F'
F' L2 F' R B F' D
F' L2 F' R B F' D'
F' L2 F' R B F' D2
F L2 F B R F' B
F L2 F B R B F'
F L2 F B' R F' B
F L2 F B' R B F'
F L2 F B2 R F' B
F L2 F B2 R B F'
L' U R U L' F' B'
L' U R U L' B' F'
F' L2 F' B R F' B
F' L2 F' B R B F'
R U L2 F' B2 R' B'
F' L2 F' B' R F' B
F' L2 F' B' R B F'
F' L2 F' B2 R F' B
F' L2 F' B2 R B F'
R U L2 B D2 F' R
R U L2 B2 F' R' B'
F L2 F2 R F' B R
F L2 F2 R B F' R
F' L2 B R F' B R
F' L2 B R B F' R
B' L2 B R F' B R'
B' L2 B R B F' R'
F2 L2 B R D F' B
F2 L2 B R D B F'
B2 L2 B R F' B R'
F2 L2 B R D' F' B
F2 L2 B R D' B F'
F2 L2 B R D2 F' B
F2 L2 B R D2 B F'
B2 L2 B R B F' R'
F2 L2 B R F' D B
F2 L2 B R F' D' B
F2 L2 B R F' D2 B
F2 L2 B R F' B D
F2 L2 B R F' B D'
F2 L2 B R F' B D2
F2 L2 B R B D F'
F2 L2 B R B D' F'
F2 L2 B R B D2 F'
F2 L2 B R B F' D
F2 L2 B R B F' D'
F2 L2 B R B F' D2
B L2 B R F' B R'
B L2 B R B F' R'
F' L2 B F' R F' B
F' L2 B F' R B F'
F' L2 B' R F' B R
F' L2 B' R B F' R
F L2 B F R F' B
F L2 B F R B F'
F2 L2 B' R D F' B
F2 L2 B' R D B F'
F2 L2 B' R D' F' B
F2 L2 B' R D' B F'
F2 L2 B' R D2 F' B
F2 L2 B' R D2 B F'
F2 L2 B' R F' D B
F2 L2 B' R F' D' B
F2 L2 B' R F' D2 B
F2 L2 B' R F' B D
F2 L2 B' R F' B D'
F2 L2 B' R F' B D2
F2 L2 B' R B D F'
F2 L2 B' R B D' F'
F2 L2 B' R B D2 F'
F2 L2 B' R B F' D
F2 L2 B' R B F' D'
F2 L2 B' R B F' D2
F' L2 B' F' R F' B
F' L2 B' F' R B F'
F' L2 B2 R F' B R
F' L2 B2 R B F' R
B' L2 B2 R F' B R2
B' L2 B2 R B F' R2
F L2 B' F R F' B
F L2 B' F R B F'
B2 L2 B2 R F' B R2
B2 L2 B2 R B F' R2
F2 L2 B2 R D F' B
F2 L2 B2 R D B F'
F2 L2 B2 R D' F' B
F2 L2 B2 R D' B F'
F2 L2 B2 R D2 F' B
F2 L2 B2 R D2 B F'
F2 L2 B2 R F' D B
F2 L2 B2 R F' D' B
F2 L2 B2 R F' D2 B
F2 L2 B2 R F' B D
F2 L2 B2 R F' B D'
F2 L2 B2 R F' B D2
F2 L2 B2 R B D F'
F2 L2 B2 R B D' F'
F2 L2 B2 R B D2 F'
F2 L2 B2 R B F' D
F2 L2 B2 R B F' D'
F2 L2 B2 R B F' D2
B L2 B2 R F' B R2
B L2 B2 R B F' R2
F' L2 B2 F' R F' B
F' L2 B2 F' R B F'
F L2 B2 F R F' B
F L2 B2 F R B F'
F2 R L D L F' B
F2 R L D L B F'
F2 R L D F' L B
F' R L F' L B R
F2 R L D' L F' B
F2 R L D' L B F'
F2 R L D' F' L B
F2 R L D2 L F' B
F2 R L D2 L B F'
F2 R L D2 F' L B
F2 R L F L F2 B
F2 R L F L B F2
F2 R L F' L D B
F2 R L F' L D' B
F2 R L F' L D2 B
F2 R L F' L B D
F2 R L F' L B D'
F2 R L F' L B D2
F2 R L F' L' B L2
F2 R L F' L2 B L'
F2 R L F' D L B
F2 R L F' D' L B
F2 R L F' D2 L B
B' R L' U2 L' F' B
B' R L' U2 L' B F'
B' R L' U2 B L' F'
B2 R L' U2 L' F' B
B2 R L' U2 L' B F'
B2 R L' U2 B L' F'
U2 R L' U2 B' L' F'
F2 R L' D L' F' B
F2 R L' D L' B F'
F2 R L' D B L' F'
F2 R L' D' L' F' B
F2 R L' D' L' B F'
F2 R L' D' B L' F'
F2 R L' D2 L' F' B
F2 R L' D2 L' B F'
B R L' U2 L' F' B
B R L' U2 L' B F'
F' R L' B L' F' R
F2 R L' D2 B L' F'
B R L' U2 B L' F'
F2 R L' B L F' L2
F2 R L' B L' D F'
F2 R L' B L' D' F'
F2 R L' B L' D2 F'
F2 R L' B L' F' D
F2 R L' B L' F' D'
F2 R L' B L' F' D2
F2 R L' B L2 F' L
F2 R L' B D L' F'
F2 R L' B D' L' F'
F2 R L' B D2 L' F'
F2 R L' B' L' F' B2
F2 R L' B' L' B2 F'
F' R L2 D2 F' B R'
F' R L2 D2 B F' R'
F2 R L2 D F' D B
F2 R L2 D F' D' B
F2 R L2 D F' D2 B
F2 R L2 D F' B D
F2 R L2 D F' B D'
F2 R L2 D F' B D2
F2 R L2 D B D F'
F2 R L2 D B D' F'
F2 R L2 D B D2 F'
F2 R L2 D B F' D
F2 R L2 D B F' D'
F2 R L2 D B F' D2
F' R L2 F' D B R
F' R L2 F' D' B R
