B2 L F2 U F'
F2 B2 L U F
B2 F2 L U F
B2 L R F2 U F'
B2 L R' F2 U F'
B2 L R2 F2 U F'
B2 L U D' F L2
B2 L D' U F L2
B2 L F2 U D F'
B2 L F2 U D' F'
B2 L F2 U D2 F'
B2 L F2 U F' D
B2 L F2 U F' D'
B2 L F2 U F' D2
B2 L F2 D U F'
B2 L F2 D' U F'
B2 L F2 D2 U F'
B2 L' F2 L2 U F
B2 R L F2 U F'
B2 R F2 L U F
B2 R' L F2 U F'
B2 R' F2 L U F
B2 R2 L F2 U F'
B2 R2 F2 L U F
B2 D' L U F L
L F2 B2 L U F'
B2 F' L F' U F2
F' B2 L F' U F2
B2 F2 L R U F
B2 F2 L R' U F
F2 B2 L R U F
B2 F2 L R2 U F
F2 B2 L R' U F
B2 F2 L U D F
B2 F2 L U D' F
B2 F2 L U D2 F
B2 F2 L U F D
B2 F2 L U F D'
B2 F2 L U F D2
F2 B2 L R2 U F
F2 B2 L U D F
F2 B2 L U D' F
F2 B2 L U D2 F
F2 B2 L U F D
F2 B2 L U F D'
F2 B2 L U F D2
B2 F2 L D U F
B2 F2 L D' U F
F2 B2 L D U F
B2 F2 L D2 U F
F2 B2 L D' U F
F2 B2 L D2 U F
B2 F2 R L U F
F2 B2 R L U F
B2 F2 R' L U F
F2 B2 R' L U F
B2 F2 R2 L U F
F2 B2 R2 L U F
B2 F2 D L U F
F2 B2 D L U F
B2 F2 D' L U F
F2 B2 D' L U F
B2 F2 D2 L U F
F2 B2 D2 L U F
L B2 F2 L U F'
R' L D' U' R2 F L2
R' L D' U' F L2 R2
R' L D' U' F R2 L2
L R D' R2 F L2 B'
R L D' R2 F L2 B'
L R D' F L2 R2 B'
L R D' F L2 B' R2
L R D' F R2 L2 B'
R L D' F L2 R2 B'
R L D' F L2 B' R2
R L D' F R2 L2 B'
B2 L U2 D2 B2 U' F
R' L D2 F2 B2 U' F'
R' L D2 B2 F2 U' F'
B2 L D U F D2 L2
B2 L D U' R2 U2 F
B2 L D' R U F L2
B2 L D' R' U F L2
B2 L D' R2 U F L2
B2 L D' U F L2 D
B2 L D' U F L2 D'
B2 L D' U F L2 D2
B2 L D' U F' L2 F2
B2 L D' U F2 L2 F'
B2 L D' F' U L2 F2
B2 L D' F' U F2 L2
B2 L D' F2 U L2 F'
B2 L D' F2 U F' L2
B2 L D2 U F D L2
R2 L F2 L' B2 U F'
B2 L D2 U2 B2 U' F
B2 L F R F U F'
B2 L F R' F U F'
B2 L F R2 F U F'
R2 L F2 B2 L' U F'
B2 L F D F U F'
B2 L F D' F U F'
B2 L F D2 F U F'
B2 L F' D F' R2 U
F' L F' B2 L U F2
B2 L F2 R2 U' B U2
B2 L F2 U L' F' L
B2 L F2 U L2 F' L2
B2 L F2 U D F' D
B2 L F2 U D F' D'
B2 L F2 U D F' D2
B2 L F2 U D' F' D
B2 L F2 U D' F' D'
B2 L F2 U D' F' D2
B2 L F2 U D2 F' D
B2 L F2 U D2 F' D'
B2 L F2 U D2 F' D2
B2 L F2 U F2 D F
B2 L F2 U F2 D' F
B2 L F2 U F2 D2 F
B2 L F2 U' B U2 F'
B2 L F2 U' B' U2 F'
B2 L F2 U' B2 U2 F'
B2 L F2 U2 L U' F'
B2 L F2 U2 L' U' F'
B2 L F2 U2 L2 U' F'
B2 L F2 D U F' D
B2 L F2 D U F' D'
B2 L F2 D U F' D2
B2 L F2 D' U F' D
B2 L F2 D' U F' D'
B2 L F2 D' U F' D2
B2 L F2 D2 U F' D
B2 L F2 D2 U F' D'
B2 L F2 D2 U F' D2
B L F2 B L U F'
R2 L B2 F2 L' U F'
B L B F2 L U F'
R' L' U' D' L2 R2 F
R' L' U' D' L2 F R2
L' R' U' D' L2 R2 F
L' R' U' D' L2 F R2
R' L' U' D' R2 L2 F
L' R' U' D' R2 L2 F
L R' U' D' R2 F L2
L R' U' D' F L2 R2
L R' U' D' F R2 L2
F' L B2 F' L U F2
L R' U2 F2 B2 U F'
L R' U2 B2 F2 U F'
B2 L' R F2 L2 U F
B2 L' R' F2 L2 U F
R' L' D' U' L2 R2 F
R' L' D' U' L2 F R2
R' L' D' U' R2 L2 F
L' R' D' U' L2 R2 F
L' R' D' U' L2 F R2
L' R' D' U' R2 L2 F
L R' D' U' R2 F L2
L R' D' U' F L2 R2
L R' D' U' F R2 L2
B2 L' R2 F2 L2 U F
B2 L' U D' L2 F B2
B2 L' U D' L2 B2 F
L R' D2 F2 B2 U' F'
L R' D2 B2 F2 U' F'
B2 L' D' U L2 F B2
B2 L' D' U L2 B2 F
B2 L' F' L2 F' U F2
B2 L' F2 L2 R U F
B2 L' F2 L2 R' U F
B2 L' F2 L2 R2 U F
B2 L' F2 L2 U D F
B2 L' F2 L2 U D' F
B2 L' F2 L2 U D2 F
B2 L' F2 L2 U F D
B2 L' F2 L2 U F D'
B2 L' F2 L2 U F D2
B2 L' F2 L2 D U F
B2 L' F2 L2 D' U F
B2 L' F2 L2 D2 U F
B2 L' F2 R L2 U F
B2 L' F2 R' L2 U F
B2 L' F2 R2 L2 U F
F2 L' B2 L R2 U F'
F2 L' B2 L U' B U2
F2 L' B2 R2 L U F'
L2 R2 F2 L' B2 U F
R2 L2 F2 L' B2 U F
L R2 F2 L' B2 U F'
L2 R2 F2 B2 L' U F
R2 L2 F2 B2 L' U F
L R2 F2 B2 L' U F'
L2 R2 B2 F2 L' U F
R2 L2 B2 F2 L' U F
L R2 B2 F2 L' U F'
F2 L2 B2 L U' B' U2
B2 R L U D' F L2
B2 R L D' U F L2
B2 R L F2 U D F'
B2 R L F2 U D' F'
B2 R L F2 U D2 F'
B2 R L F2 U F' D
B2 R L F2 U F' D'
B2 R L F2 U F' D2
B2 R L F2 D U F'
B2 R L F2 D' U F'
B2 R L F2 D2 U F'
B2 R L' F2 L2 U F
L U F2 B2 L U F'
B2 R D' L U F L
L U B2 F2 L U F'
B2 R F' L F' U F2
B2 R F2 L R U F
B2 R F2 L R' U F
B2 R F2 L R2 U F
B2 R F2 L U D F
B2 R F2 L U D' F
B2 R F2 L U D2 F
B2 R F2 L U F D
B2 R F2 L U F D'
B2 R F2 L U F D2
B2 R F2 L D U F
B2 R F2 L D' U F
B2 R F2 L D2 U F
B2 R F2 R L U F
B2 R F2 R' L U F
B2 R F2 R2 L U F
B2 R F2 D L U F
B' R F2 B' L U F
B2 R F2 D' L U F
B2 R F2 D2 L U F
B' R B' L F2 U F'
B' R B' F2 L U F
D' R' L U' R' F L
D' R' L U' F L R'
D' R' L U' F R' L
B2 R' L U D' F L2
B2 R' L D' U F L2
D2 R' L F2 B2 U' F'
D2 R' L B2 F2 U' F'
B2 R' L F2 U D F'
B2 R' L F2 U D' F'
B2 R' L F2 U D2 F'
B2 R' L F2 U F' D
B2 R' L F2 U F' D'
B2 R' L F2 U F' D2
B2 R' L F2 D U F'
B2 R' L F2 D' U F'
B2 R' L F2 D2 U F'
B2 R' L' F2 L2 U F
U2 R' U' D' L2 F' R2
U2 R' U' D' F' L2 R2
U2 R' U' D' F' R2 L2
L U' F2 B2 L U F'
U2 R' U2 F2 B2 U F
U2 R' U2 B2 F2 U F
B2 R' D' L U F L
U2 R' D' U' L2 F' R2
U2 R' D' U' F' L2 R2
U2 R' D' U' F' R2 L2
L U' B2 F2 L U F'
U2 R' D2 F2 B2 U' F
U2 R' D2 B2 F2 U' F
B2 R' F' L F' U F2
D2 R' F2 L B2 U' F
B2 R' F2 L R U F
B2 R' F2 L R' U F
B2 R' F2 L R2 U F
B2 R' F2 L U D F
B2 R' F2 L U D' F
B2 R' F2 L U D2 F
B2 R' F2 L U F D
B2 R' F2 L U F D'
B2 R' F2 L U F D2
B2 R' F2 L D U F
B2 R' F2 L D' U F
B2 R' F2 L D2 U F
B2 R' F2 R L U F
B2 R' F2 R' L U F
B2 R' F2 R2 L U F
D2 R' F2 B2 L U' F
B2 R' F2 D L U F
B' R' F2 B' L U F
B2 R' F2 D' L U F
B2 R' F2 D2 L U F
R' U2 R' F2 B2 U F
R' U2 R' B2 F2 U F
B' R' B' L F2 U F'
D2 R' B2 L F2 U' F'
B' R' B' F2 L U F
D2 R' B2 F2 L U' F
B2 R2 L U D' F L2
D' R2 L F D' L B'
B2 R2 L D' U F L2
B2 R2 L F2 U D F'
B2 R2 L F2 U D' F'
B2 R2 L F2 U D2 F'
B2 R2 L F2 U F' D
B2 R2 L F2 U F' D'
B2 R2 L F2 U F' D2
B2 R2 L F2 D U F'
B2 R2 L F2 D' U F'
B2 R2 L F2 D2 U F'
B2 R2 L' F2 L2 U F
R' U2 F2 R' B2 U F'
R' U2 F2 B2 R' U F'
L U2 F2 B2 L U F'
R' U2 B2 R' F2 U F
R' U2 B2 F2 R' U F'
B2 R2 D' L U F L
L U2 B2 F2 L U F'
B2 R2 F' L F' U F2
B2 R2 F2 L R U F
B2 R2 F2 L R' U F
B2 R2 F2 L R2 U F
B2 R2 F2 L U D F
B2 R2 F2 L U D' F
B2 R2 F2 L U D2 F
B2 R2 F2 L U F D
B2 R2 F2 L U F D'
B2 R2 F2 L U F D2
B2 R2 F2 L D U F
B2 R2 F2 L D' U F
B2 R2 F2 L D2 U F
B2 R2 F2 R L U F
B2 R2 F2 R' L U F
B2 R2 F2 R2 L U F
B2 R2 F2 D L U F
B' R2 F2 B' L U F
B2 R2 F2 D' L U F
B2 R2 F2 D2 L U F
B' R2 B' L F2 U F'
B' R2 B' F2 L U F
R' D' L U' R2 F L
R' D' L U' F L R2
R' D' L U' F R2 L
L' D' R' U' L2 R' F
L' D' R' U' L2 F R'
L' D' R' U' R' L2 F
B' U F2 B' L R' U
B' U F2 B' R' L U
B' U B' L R' F2 U
B' U B' L F2 R' U
L D' R' U' R' F L2
L D' R' U' F L2 R'
L D' R' U' F R' L2
B' U B' R' L F2 U
B' U B' R' F2 L U
B' U B' F2 L R' U
B' U B' F2 R' L U
U' D' R' U' L2 R' F'
U' D' R' U' R' L2 F'
U' D' R' U' R' F' L2
D' U' R' U' L2 R' F'
D' U' R' U' R' L2 F'
D' U' R' U' R' F' L2
U2 D' R' U' L2 F' R'
U2 D' R' U' F' L2 R'
U2 D' R' U' F' R' L2
R' D2 L F2 B2 U' F'
R' D2 L B2 F2 U' F'
F U' F B2 L R U
F U' F B2 R L U
L D2 R' F2 B2 U' F'
D' U2 R' U' L2 F' R'
D' U2 R' U' F' L2 R'
D' U2 R' U' F' R' L2
L D2 R' B2 F2 U' F'
D2 U2 R' F2 B2 U' F
D2 U2 R' B2 F2 U' F
U2 D2 R' F2 B2 U' F
U2 D2 R' B2 F2 U' F
F U' B2 F L R U
F U' B2 F R L U
R' D2 F2 L B2 U' F
D2 U2 F2 R' B2 U' F'
R' D2 F2 B2 L U' F
U2 D2 F2 R' B2 U' F'
F2 U2 R' U' D' F' R2
F2 U2 R' U' F' D' R2
F2 U2 R' U2 B2 U F'
F2 U2 R' D' U' F' R2
F2 U2 R' D2 F2 U' F
R' D2 B2 L F2 U' F'
R' D2 B2 F2 L U' F
F2 U2 D' R' U' F' R'
F2 U2 D2 R' F2 U' F
F2 U2 D2 F2 R' U' F'
B2 U2 D2 B2 R' U' F'
B2 D L U D2 F L2
B2 D L U F D2 L2
B2 D L U' R2 U2 F
B2 D L D' F2 U F'
B2 D L D2 U F L2
L F U' F B2 L U
L F U' B2 F L U
U' F B2 R F L U
B2 D' L R U F L
B2 D' L R' U F L
B2 D' L R2 U F L
B2 D' L U D F L
B2 D' L U D' F L
B2 D' L U D2 F L
B2 D' L U F L D
B2 D' L U F L D'
B2 D' L U F L D2
B2 D' L U F D L
B2 D' L U F D' L
B2 D' L U F D' L
B2 D' L U F D2 L
B2 D' L U F' L F2
B2 D' L U F2 L F'
B2 D' L D U F L
B2 D' L D' U F L
B2 D' L D2 U F L
B2 D' L F' U L F2
B2 D' L F' U F2 L
B2 D' L F2 U L F'
B2 D' L F2 U F' L
B2 D' R L U F L
B2 D' R' L U F L
B2 D' R2 L U F L
D2 F2 L R' B2 U' F
L' F2 L B2 L U F
L F' B2 L F' U F'
F2 D' U2 R' U' F' R'
B2 D' F L U F L
L F2 L B2 L U F'
B2 D' F' L U F L
R2 F2 L' B2 R2 U F'
R2 F2 L' B2 U' B U2
L2 F2 L2 B2 L U F
R' F2 R B2 L U F
L F2 L' B2 L U F'
B2 D' F2 L U F L
D2 F2 R' L B2 U' F
D2 F2 R' B2 L U' F
L F2 L2 B2 L U F'
B D' B L U F L
F2 D' B2 L U R2 F
F2 D' B2 L U F R2
R F2 R' B2 L U F
B2 D2 L U D F L2
B2 D2 L U F D L2
B2 D2 L U2 B2 U' F
B2 D2 L D U F L2
B2 D2 L D2 F2 U F'
L' F2 B2 L R2 U F'
L' F2 B2 L U' B U2
L' F2 B2 R2 L U F'
U2 F2 B2 L R' U F'
L2 F2 B2 L U' B' U2
U2 F2 B2 R' L U F'
R2 F2 B2 L' U' B' U2
U F2 B' R' B' L U
L F2 B2 L U D F'
L F2 B2 L U D' F'
L F2 B2 L U D2 F'
L F2 B2 L U F' D
L F2 B2 L U F' D'
L F2 B2 L U F' D2
L F2 B2 L D U F'
L F2 B2 L D' U F'
L F2 B2 L D2 U F'
F2 D2 U2 R' F2 U' F
F2 D2 U2 F2 R' U' F'
L F2 B2 D L U F'
B2 D2 U2 B2 R' U' F'
L F2 B2 D' L U F'
L F2 B2 D2 L U F'
B2 F L U D F L'
B2 F L D U F L'
B2 F R F L U F
B2 F R' F L U F
B2 F R2 F L U F
B2 F D F L U F
F2 B D B L U F
B2 F D' F L U F
F2 B D' B L U F
B2 F D2 F L U F
F2 B D2 B L U F
B2 F' L U F D' L2
B2 F' L D F' U F2
B2 F' L D' F' U F2
B2 F' L D2 F' U F2
B2 F' L F' R U F2
B2 F' L F' R' U F2
B2 F' L F' R2 U F2
B2 F' L F' U F2 D
B2 F' L F' U F2 D'
B2 F' L F' U F2 D2
B2 F' L F' D R2 U
L' B' U F2 B' L U
U B' R' F2 B' L U
L' B' U B' L F2 U
U B' R' B' L F2 U
L' B' U B' F2 L U
U B' R' B' F2 L U
B2 F' L' F' L2 U F
F2 B' R B' L U F
F2 B' R' B' L U F
F2 B' R2 B' L U F
B2 F' D L F' U F2
U' B2 L F R F U
D' B2 L U R2 F L
D' B2 L U F L R2
D' B2 L U F R2 L
L' B2 L R2 F2 U F
B2 F' D F' L U F
L' B2 L F2 R2 U F'
L' B2 L F2 U' B U2
U2 B2 L R' F2 U F
L2 B2 L U D' L2 F
B2 F' D' L F' U F2
L2 B2 L D' U L2 F
L2 B2 L F2 U' B' U2
U2 B2 L F2 R' U F'
B2 F' D' F' L U F
U B' F2 R' B' L U
B2 F' D2 L F' U F2
R2 B2 L F2 L' U F'
L2 B2 L' F2 L2 U F'
B2 F' D2 F' L U F
B2 F2 L R U D F
B2 F2 L R U D' F
B2 F2 L R U D2 F
B2 F2 L R U F D
B2 F2 L R U F D'
B2 F2 L R U F D2
F' B2 L U F D' L2
B2 F2 L R D U F
B2 F2 L R D' U F
B2 F2 L R D2 U F
B2 F2 L R' U D F
B2 F2 L R' U D' F
B2 F2 L R' U D2 F
B2 F2 L R' U F D
B2 F2 L R' U F D'
B2 F2 L R' U F D2
B2 F2 L R' D U F
B2 F2 L R' D' U F
B2 F2 L R' D2 U F
B2 F2 L R2 U D F
B2 F2 L R2 U D' F
B2 F2 L R2 U D2 F
B2 F2 L R2 U F D
B2 F2 L R2 U F D'
B2 F2 L R2 U F D2
B2 F2 L R2 D U F
B2 F2 L R2 D' U F
B2 F2 L R2 D2 U F
F2 B2 L R U D F
F2 B2 L R U D' F
F2 B2 L R U D2 F
F2 B2 L R U F D
F2 B2 L R U F D'
F2 B2 L R U F D2
F2 B2 L R D U F
F2 B2 L R D' U F
F2 B2 L R D2 U F
B2 F2 L U R F R'
B2 F2 L U R2 F R2
B2 F2 L U D F D
B2 F2 L U D F D'
B2 F2 L U D F D2
B2 F2 L U D' F D
B2 F2 L U D' F D'
B2 F2 L U D' F D2
B2 F2 L U D2 F D
B2 F2 L U D2 F D'
B2 F2 L U D2 F D2
F2 B2 L R' U D F
F2 B2 L R' U D' F
F2 B2 L R' U D2 F
F2 B2 L R' U F D
F2 B2 L R' U F D'
F2 B2 L R' U F D2
F' B2 L D F' U F2
B2 F2 L U F2 D F'
B2 F2 L U F2 D' F'
F2 B2 L R' D U F
B2 F2 L U F2 D2 F'
F2 B2 L R' D' U F
F2 B2 L R' D2 U F
F2 B2 L R2 U D F
F2 B2 L R2 U D' F
F2 B2 L R2 U D2 F
F2 B2 L R2 U F D
F2 B2 L R2 U F D'
F2 B2 L R2 U F D2
F2 B2 L R2 D U F
F' B2 L D' F' U F2
F2 B2 L R2 D' U F
F2 B2 L R2 D2 U F
B2 F2 L U' B U2 F
B2 F2 L U' B' U2 F
B2 F2 L U' B2 U2 F
F2 B2 L U R F R'
F2 B2 L U R2 F R2
F' B2 L D2 F' U F2
F2 B2 L U D F D
F2 B2 L U D F D'
F2 B2 L U D F D2
F2 B2 L U D' F D
F2 B2 L U D' F D'
F2 B2 L U D' F D2
F2 B2 L U D2 F D
F2 B2 L U D2 F D'
F2 B2 L U D2 F D2
F2 B2 L U F2 D F'
F2 B2 L U F2 D' F'
F2 B2 L U F2 D2 F'
B2 F2 L D R U F
B2 F2 L D R' U F
B2 F2 L D R2 U F
B2 F2 L D U F D
B2 F2 L D U F D'
B2 F2 L D U F D2
F2 B2 L U' B U2 F
F2 B2 L U' B' U2 F
F2 B2 L U' B2 U2 F
F' B2 L F' R U F2
B2 F2 L D' R U F
F' B2 L F' R' U F2
B2 F2 L D' R' U F
F' B2 L F' R2 U F2
B2 F2 L D' R2 U F
F' B2 L F' U F2 D
F' B2 L F' U F2 D'
F' B2 L F' U F2 D2
B2 F2 L D' U F D
B2 F2 L D' U F D'
B2 F2 L D' U F D2
F' B2 L F' D R2 U
B2 F2 L D2 R U F
B2 F2 L D2 R' U F
B2 F2 L D2 R2 U F
F2 B2 L D R U F
B2 F2 L D2 U F D
B2 F2 L D2 U F D'
B2 F2 L D2 U F D2
F2 B2 L D R' U F
F2 B2 L D R2 U F
F2 B2 L D U F D
F2 B2 L D U F D'
F2 B2 L D U F D2
F2 B2 L D' R U F
F2 B2 L D' R' U F
F2 B2 L D' R2 U F
F2 B2 L D' U F D
F2 B2 L D' U F D'
F2 B2 L D' U F D2
F2 B2 L D2 R U F
F2 B2 L D2 R' U F
F2 B2 L D2 R2 U F
F2 B2 L D2 U F D
F2 B2 L D2 U F D'
F2 B2 L D2 U F D2
R2 B2 L2 F2 L' U F
F' B2 L' F' L2 U F
F B2 L U D F L'
U2 B2 R' L F2 U F
F B2 L D U F L'
L' B2 R2 L F2 U F
B2 F2 R L U D F
B2 F2 R L U D' F
B2 F2 R L U D2 F
B2 F2 R L U F D
B2 F2 R L U F D'
B2 F2 R L U F D2
L B2 R F2 L U F'
B2 F2 R L D U F
B2 F2 R L D' U F
B2 F2 R L D2 U F
F2 B2 R L U D F
F2 B2 R L U D' F
F2 B2 R L U D2 F
F2 B2 R L U F D
F2 B2 R L U F D'
F2 B2 R L U F D2
B' F2 R B' L U F
F2 B2 R L D U F
F2 B2 R L D' U F
F2 B2 R L D2 U F
B2 F2 R D L U F
B2 F2 R D' L U F
B2 F2 R D2 L U F
F2 B2 R D L U F
F2 B2 R D' L U F
F2 B2 R D2 L U F
B2 F2 R' L U D F
B2 F2 R' L U D' F
B2 F2 R' L U D2 F
B2 F2 R' L U F D
B2 F2 R' L U F D'
B2 F2 R' L U F D2
L B2 R' F2 L U F'
B2 F2 R' L D U F
B2 F2 R' L D' U F
B2 F2 R' L D2 U F
B' F2 R' B' L U F
F2 B2 R' L U D F
F2 B2 R' L U D' F
F2 B2 R' L U D2 F
F2 B2 R' L U F D
F2 B2 R' L U F D'
F2 B2 R' L U F D2
F2 B2 R' L D U F
F2 B2 R' L D' U F
F2 B2 R' L D2 U F
B2 F2 R' D L U F
B2 F2 R' D' L U F
B2 F2 R' D2 L U F
F2 B2 R' D L U F
F2 B2 R' D' L U F
F2 B2 R' D2 L U F
B2 F2 R2 L U D F
B2 F2 R2 L U D' F
B2 F2 R2 L U D2 F
B2 F2 R2 L U F D
B2 F2 R2 L U F D'
B2 F2 R2 L U F D2
B2 F2 R2 L D U F
B2 F2 R2 L D' U F
L B2 R2 F2 L U F'
B2 F2 R2 L D2 U F
B' F2 R2 B' L U F
F2 B2 R2 L U D F
F2 B2 R2 L U D' F
F2 B2 R2 L U D2 F
F2 B2 R2 L U F D
F2 B2 R2 L U F D'
F2 B2 R2 L U F D2
F2 B2 R2 L D U F
F2 B2 R2 L D' U F
F2 B2 R2 L D2 U F
F B2 R F L U F
B2 F2 R2 D L U F
B2 F2 R2 D' L U F
B2 F2 R2 D2 L U F
F2 B2 R2 D L U F
F2 B2 R2 D' L U F
F2 B2 R2 D2 L U F
F B2 R' F L U F
U' B2 D' L U L F
F B2 R2 F L U F
F' B2 D L F' U F2
U' B2 F R F L U
B2 F2 D L R U F
B2 F2 D L R' U F
B2 F2 D L R2 U F
B2 F2 D L U D F
B2 F2 D L U D' F
B2 F2 D L U D2 F
B2 F2 D L U F D
B2 F2 D L U F D'
B2 F2 D L U F D2
B2 F2 D L D U F
B2 F2 D L D' U F
B2 F2 D L D2 U F
F2 B2 D L R U F
F2 B2 D L R' U F
F2 B2 D L R2 U F
F2 B2 D L U D F
F2 B2 D L U D' F
F2 B2 D L U D2 F
F2 B2 D L U F D
F2 B2 D L U F D'
F2 B2 D L U F D2
F2 B2 D L D U F
F2 B2 D L D' U F
B2 F2 D R L U F
F2 B2 D L D2 U F
B2 F2 D R' L U F
B2 F2 D R2 L U F
F2 B2 D R L U F
F' B2 D F' L U F
F2 B2 D R' L U F
F2 B2 D R2 L U F
F' B2 D' L F' U F2
B2 F2 D' L R U F
B2 F2 D' L R' U F
B2 F2 D' L R2 U F
B2 F2 D' L U D F
B2 F2 D' L U D' F
B2 F2 D' L U D2 F
B2 F2 D' L U F D
B2 F2 D' L U F D'
B2 F2 D' L U F D2
B2 F2 D' L D U F
B2 F2 D' L D' U F
B2 F2 D' L D2 U F
F2 B2 D' L R U F
F2 B2 D' L R' U F
F2 B2 D' L R2 U F
F2 B2 D' L U D F
F2 B2 D' L U D' F
F2 B2 D' L U D2 F
F2 B2 D' L U F D
F2 B2 D' L U F D'
F2 B2 D' L U F D2
F2 B2 D' L D U F
F2 B2 D' L D' U F
B2 F2 D' R L U F
F2 B2 D' L D2 U F
B2 F2 D' R' L U F
B2 F2 D' R2 L U F
F2 B2 D' R L U F
F' B2 D' F' L U F
F2 B2 D' R' L U F
F2 B2 D' R2 L U F
B F2 D B L U F
F' B2 D2 L F' U F2
L' B2 F2 L R2 U F'
L' B2 F2 L U' B U2
B2 F2 D2 L R U F
B2 F2 D2 L R' U F
B2 F2 D2 L R2 U F
B2 F2 D2 L U D F
B2 F2 D2 L U D' F
B2 F2 D2 L U D2 F
B2 F2 D2 L U F D
B2 F2 D2 L U F D'
B2 F2 D2 L U F D2
B2 F2 D2 L D U F
B2 F2 D2 L D' U F
B2 F2 D2 L D2 U F
F2 B2 D2 L R U F
F2 B2 D2 L R' U F
F2 B2 D2 L R2 U F
F2 B2 D2 L U D F
F2 B2 D2 L U D' F
F2 B2 D2 L U D2 F
F2 B2 D2 L U F D
F2 B2 D2 L U F D'
F2 B2 D2 L U F D2
L' B2 F2 R2 L U F'
F2 B2 D2 L D U F
F2 B2 D2 L D' U F
F2 B2 D2 L D2 U F
B2 F2 D2 R L U F
F B2 D F L U F
B2 F2 D2 R' L U F
B2 F2 D2 R2 L U F
F2 B2 D2 R L U F
F2 B2 D2 R' L U F
F' B2 D2 F' L U F
F2 B2 D2 R2 L U F
L2 B2 F2 L U' B' U2
U2 B2 F2 L R' U F'
B F2 D' B L U F
U2 B2 F2 R' L U F'
L B2 F' L F' U F'
R2 B2 F2 L' U' B' U2
F B2 D' F L U F
B F2 D2 B L U F
L B2 F2 L U D F'
L B2 F2 L U D' F'
L B2 F2 L U D2 F'
L B2 F2 L U F' D
L B2 F2 L U F' D'
L B2 F2 L U F' D2
L B2 F2 L D U F'
L B2 F2 L D' U F'
L B2 F2 L D2 U F'
F B2 D2 F L U F
L B2 F2 D L U F'
L B2 F2 D' L U F'
L B2 F2 D2 L U F'
