B' U L U2 L' U
B U' R' U2 R U'
U2 B U R' U B'
U2 B' U' L U' B
B R D' F2 D2 R' B2
D' R F R2 B R F2
D' R F' L2 R' B' L2
D' R F' R' L2 B' L2
D' R F' R' U2 F U2
D' R F' U2 F U2 R'
D' R F2 R' D2 F B2
D' R F2 R' D2 B2 F
D' R F2 D2 R' F B2
D' R F2 D2 R' B2 F
D' R F2 D2 F R' B2
D' R B2 L U2 L' F'
D R B2 L B' U2 L'
D' R' L B U2 L' R
D' R' L B U2 R L'
D R' L B' U2 L' R
D R' L B' U2 R L'
D R' L' U2 R F L
D' R' L2 B U2 L2 R
D' R' L2 B U2 R L2
U' R' U2 D' R U' F'
D' R' U2 B U2 R B'
D' R' U2 B U2 B' R
F' R' D' R F' D2 B2
U' R' D' U2 R U' F'
F2 R' D' R D' F' B2
F2 R' D' R D' B2 F'
F2 R' D' R F' D' B2
L' U2 L D' F2 R F'
L' U2 L F2 D' R F'
D' R' F R2 F' B R
D' R' F R2 B F' R
F2 R' D2 B2 D R F'
D' R' B L U2 L' R
D' R' B L U2 R L'
D' R' B L' U2 L R
D' R' B L' U2 R L
D' R' B L2 U2 L2 R
D' R' B L2 U2 R L2
R U2 R' D F2 L' F
R U2 R' F2 D L' F
L' U2 D' L F2 R F'
R U2 D R' F2 L' F
D' R2 L' U2 L R2 F
D' R2 L' U2 L F R2
D' R2 L' U2 R2 L F
D R2 L B' U2 L' R2
D R2 L B' U2 R2 L'
D R2 L' U2 R2 F L
D R2 L' U2 F L R2
D R2 L' U2 F R2 L
D R2 L' F L R2 B
D R2 L' F R2 L B
U' R2 D L' U F B2
U' R2 D L' U B2 F
L' D L U2 B' U2 B
R' D L B' U2 L' R
R' D L B' U2 R L'
R' D L' U2 R F L
L' D L' F' L2 F2 B'
L' D L' F' L2 B' F2
D' R2 F R' F' R' B
L D L F' L2 F B'
L D L F' L2 B' F
L D L' R2 F R2 B
R D L' U2 R' F L
R D L' U2 F L R'
R D L' U2 F R' L
L D L' F R2 B R2
L D L' F U2 F' U2
L D L' F2 D2 F' B2
L D L' F2 D2 B2 F'
R D L2 U2 L2 R' F'
R D L2 U2 R' L2 F'
R D L2 U2 R' F' L2
L D R U2 L' R' F
L D R U2 L' F R'
L D R U2 R' L' F
L D R' U2 L' R F
L D R' U2 R L' F
F R2 B R D' R F2
F R2 B R2 U' R U
F R2 B U' R' U R'
L D R2 L' F R2 B
L D R2 U2 L' R2 F
L D R2 U2 L' F R2
L D R2 U2 R2 L' F
B' U L R U2 L' U
B' U L R' U2 L' U
B' U L R2 U2 L' U
U' D L U' B' U2 B
B' U L U2 L' U D
B' U L U2 L' U D'
B' U L U2 L' U D2
B' U L U2 L' D U
B' U L U2 L' D' U
B' U L U2 L' D2 U
B' U L U2 D L' U
B' U L U2 D' L' U
B' U L U2 D2 L' U
B' U L D U2 L' U
B' U L D' U2 L' U
B' U L D2 U2 L' U
B' U L F2 R F2 U'
B U L U2 L' R' U
B U L U2 R' L' U
U2 D L B' L' U2 B
B2 U L' U2 L U F
R D U2 R' F2 L' F
B U L' U2 L R' U
B U L' U2 R' L U
B' U L2 D' L' U' B2
B' U L2 D2 L' R2 U'
B' U L2 D2 R2 L' U'
B' U R L U2 L' U
B U L2 U2 L2 R' U
L' D F2 L' F L2 B'
B U L2 U2 R' L2 U
L D F' L' F L' B'
B2 U R U B U2 B'
B' U R' L U2 L' U
D' U R' U B U2 B'
B' U R2 L U2 L' U
B' U D L U2 L' U
F2 U D L' R2 U' F
F2 U D R2 L' U' F
B' U D' L U2 L' U
R' D' L U2 L' R F'
R' D' L U2 R L' F'
R D B2 L B' U2 L'
B' U D2 L U2 L' U
R' D' L' U2 L R F'
R' D' L' U2 R L F'
R' D' L' U2 R F' L
R' D' L2 R F' L2 B'
R' D' L2 U2 L2 R F'
R' D' L2 U2 R L2 F'
R' D' L2 U2 R F' L2
R' D' R L2 F' L2 B'
L' D' R U2 L F' R'
L' D' R U2 F' L R'
L' D' R U2 F' R' L
R' D' R F' L2 B' L2
R' D' R F' U2 F U2
R' D' R F2 D2 F B2
R' D' R F2 D2 B2 F
B' U F2 L F2 R U'
R' D' R' F R2 F' B
R' D' R' F R2 B F'
L D' R U2 L' F' R'
R D' R F R2 F2 B
R D' R F R2 B F2
L' D' R2 U2 L R2 F
L' D' R2 U2 L F R2
L' D' R2 U2 R2 L F
R D' R' U2 B U2 B'
L D' R' B U2 L' R
L D' R' B U2 R L'
D U' L U' B' U2 B
L' D' U2 L F2 R F'
R' D' F R F' R B
B U' L R' U2 R U'
B2 U' L' U' B' U2 B
B U' L' R' U2 R U'
U2 D' R' B R U2 B'
U D' R' U B U2 B'
B U' L2 R' U2 R U'
B' U' R U2 L R' U'
B' U' R U2 R' L U'
B2 U' R U2 R' U' F'
B' U' R' U2 L R U'
B' U' R' U2 R L U'
R D' F2 R F' R2 B
B U' R' L U2 R U'
B U' R' L' U2 R U'
B U' R' L2 U2 R U'
B' U' R2 U2 L R2 U'
B' U' R2 U2 R2 L U'
B U' R' U2 R U' D
B U' R' U2 R U' D'
B U' R' U2 R U' D2
B U' R' U2 R D U'
B U' R' U2 R D' U'
B U' R' U2 R D2 U'
B U' R' U2 D R U'
B U' R' U2 D' R U'
B U' R' U2 D2 R U'
B U' R' D U2 R U'
B U' R' D' U2 R U'
B U' R' D2 U2 R U'
B U' R' F2 L' F2 U
L' D' B2 R' B U2 R
B U' R2 D R U B2
B U' R2 D2 L2 R U
B U' R2 D2 R L2 U
F2 U' D' L2 R U F'
B U' D R' U2 R U'
F2 U' D' R L2 U F'
B U' D' R' U2 R U'
B U' D2 R' U2 R U'
D U2 L B' L' U2 B
B U' F2 R' F2 L' U
D' U2 R' B R U2 B'
F' U2 D2 F U' L' U'
F' U2 F B U R' U
F' U2 F B' U' L U'
F U2 D2 F' U R U
D F L' F L D2 B2
D F L' F D2 L B2
D' F R F' R B R2
R2 F R D' R F' B
R2 F R D' R B F'
F2 U2 F2 B U R' U
F2 U2 F2 B' U' L U'
F U2 F' B U R' U
F U2 F' B' U' L U'
F' U2 B F U R' U
D' F R2 B R' F' R'
F2 U2 B F2 U R' U
D2 F U L' R2 U' B
D2 F U L' U F' U2
D2 F U R2 L' U' B
F' U2 B' F U' L U'
R2 F R2 B U' R' U
B' U2 B2 U R' U B2
F2 U2 B' F2 U' L U'
F U2 B F' U R' U
R F R2 D' B R F'
R F R2 B R D' F2
F U2 B' F' U' L U'
B U2 B2 U' L U' B2
F' D L' F L' B' L2
F2 D L' D F L B2
F2 D L' F L D B2
F2 D L' F D L B2
F' D L2 B' L F L
F D L' F L D2 B2
F D L' F D2 L B2
U2 F B U R' U B'
B' D U L U2 L' U
F2 D U L' R2 U' F
U2 F B' U' L U' B
F2 D U R2 L' U' F
B D U' R' U2 R U'
L2 F' L' D L' F B'
L2 F' L' D L' B' F
L' F' L2 D B' L' F
D F' L' F L' B' L2
L' F' L2 B' L' D F2
L2 F' L2 B' U L U'
D' F' R F' R' D2 B2
D' F' R F' D2 R' B2
D F' L2 B' L F L
D2 F' U' L2 R U B'
D2 F' U' R L2 U B'
D2 F' U' R U' F U2
F' D' R F' R' D2 B2
F' D' R F' D2 R' B2
F2 D' R D' F' R' B2
F2 D' R F' R' D' B2
F2 D' R F' D' R' B2
F D' R F' R B R2
U2 F' B U R' U B'
B' D' U L U2 L' U
U2 F' B' U' L U' B
D' F2 L D2 L' F B2
D' F2 L D2 L' B2 F
F2 D' U' L2 R U F'
D' F2 L D2 B2 L' F
F2 D' U' R L2 U F'
F D' R2 B R' F' R'
B D' U' R' U2 R U'
D F2 L' D2 F L B2
D F2 L' F L2 B' L'
D' F2 R D2 F' R' B2
D' F2 R F' R2 B R
D F2 R' D2 R F' B2
D F2 R' D2 R B2 F'
D F2 R' D2 B2 R F'
F2 D2 L B2 D' L' F
D' F2 D2 L' F L B2
D' F2 D2 B2 L' F L
D F2 D2 R F' R' B2
F2 D2 R' B2 D R F'
U2 F2 B U R' U B'
D F2 D2 B2 R F' R'
B' D2 U L U2 L' U
U2 F2 B' U' L U' B
F' D2 U2 F U' L' U'
B D2 U' R' U2 R U'
F2 D2 F U L' U' B2
F2 D2 F B2 U L' U'
F D2 U2 F' U R U
R' B R D' F2 D2 B2
F2 D2 F' U' R U B2
F2 D2 F' B2 U' R U
U' B R' B' U2 R U'
F2 D2 B2 L D' L' F
U2 B U R' U D B'
U2 B U R' U D' B'
U2 B U R' U D2 B'
U2 B U R' U B' D
U2 B U R' U B' D'
U2 B U R' U B' D2
U2 B U R' D U B'
U2 B U R' D' U B'
U2 B U R' D2 U B'
U2 B U D R' U B'
U2 B U D' R' U B'
F2 D2 B2 R' D R F'
U2 B U D2 R' U B'
F2 D2 B2 D R F' R'
F2 D2 B2 D' L' F L
F2 D2 B2 F U L' U'
F2 D2 B2 F' U' R U
U2 B D U R' U B'
U2 B D' U R' U B'
U2 B D2 U R' U B'
U2 B F U R' U B'
B' F U L R2 U' B
B' F U L U F' U2
B' F U R2 L U' B
U2 B F' U R' U B'
F' B U' L2 R' U B'
U2 B F2 U R' U B'
F' B U' R' L2 U B'
F' B U' R' U' F U2
F2 B U' R' U D2 B2
F2 B U' R' U' F2 U2
F2 B U' R' D' L2 U
F2 B U' R' D2 U B2
F2 B U' D' L2 R' U
F2 B U' D' R' L2 U
F2 B U' D2 R' U B2
B' F U2 F' U' L U'
F' B U2 F U R' U
B2 F U2 F' U' L' U'
F2 B U2 F2 U R' U
U B' L B U2 L' U
B F U2 F' U R' U
L B' L' D F2 D2 B2
F B U2 F' U R' U
F2 B D' U' L2 R' U
F2 B D' U' R' L2 U
F2 B D2 U' R' U B2
F2 B D2 B2 U L U'
U2 B' U' L U' D B
U2 B' U' L U' D' B
U2 B' U' L U' D2 B
U2 B' U' L U' B D
U2 B' U' L U' B D'
U2 B' U' L U' B D2
U2 B' U' L D U' B
U2 B' U' L D' U' B
U2 B' U' L D2 U' B
U2 B' U' D L U' B
U2 B' U' D' L U' B
U2 B' U' D2 L U' B
U2 B' D U' L U' B
U2 B' D' U' L U' B
F2 B' U L U F2 U2
F2 B' U L U' D2 B2
F2 B' U L D R2 U'
F2 B' U L D2 U' B2
F2 B' U D L R2 U'
F2 B' U D R2 L U'
F2 B' U D2 L U' B2
U2 B' D2 U' L U' B
F B' U L R2 U' B
F B' U L U F' U2
U2 B' F U' L U' B
F B' U R2 L U' B
B' F' U2 F U' L U'
B F' U' L2 R' U B'
B F' U' R' L2 U B'
B F' U' R' U' F U2
F' B' U2 F U' L U'
B2 F' U2 F U R U
U2 B' F' U' L U' B
F2 B' U2 F2 U' L U'
U2 B' F2 U' L U' B
F2 B' D U L R2 U'
F2 B' D U R2 L U'
B F' U2 F U R' U
F B' U2 F' U' L U'
F2 B' D2 U L U' B2
F2 B' D2 B2 U' R' U
U2 B2 U R' U F' B2
U2 B2 U R' U B2 F'
U2 B2 U' L U' F B2
U2 B2 U' L U' B2 F
B' F2 U L U F2 U2
B' F2 U L U' D2 B2
B' F2 U L D R2 U'
B' F2 U L D2 U' B2
B' F2 U D L R2 U'
B' F2 U D R2 L U'
B' F2 U D2 L U' B2
B' F2 U2 F2 U' L U'
B F2 U' R' U D2 B2
B F2 U' R' U' F2 U2
B F2 U' R' D' L2 U
B F2 U' R' D2 U B2
F' B2 U2 F U R U
B F2 U' D' L2 R' U
B F2 U' D' R' L2 U
B F2 U' D2 R' U B2
B' F2 D U L R2 U'
B' F2 D U R2 L U'
B F2 U2 F2 U R' U
F B2 U2 F' U' L' U'
B' F2 D2 U L U' B2
B' F2 D2 B2 U' R' U
B F2 D' U' L2 R' U
B F2 D' U' R' L2 U
B F2 D2 U' R' U B2
B F2 D2 B2 U L U'
