R2 U R2 B U2
R2 U' D2 L2 F'
R2 U' D2 F' L2
R2 U' F' D2 L2
U' R2 U' F' R2
R2 D B2 U' F'
B U' R2 U' R2
R2 D2 U' L2 F'
R2 D2 U' F' L2
L' R2 U' D2 L2 F' D
L' R2 U' D2 L2 F' D'
L' R2 U' D2 L2 F' D2
L' R2 U' D2 F L2 F2
L' R2 U' D2 F' L2 D
L' R2 U' D2 F' L2 D'
L' R2 U' D2 F' L2 D2
U' L' F2 R2 U' F' R2
L' R2 U' F' L D2 L2
L' R2 U' F' L' D2 L2
L' R2 U' F' L2 D2 L2
D' L' F2 U2 D R2 F'
L' R2 U' F' U2 R2 U2
L' R2 U' F' D2 L2 D
L' R2 U' F' D2 L2 D'
L' R2 U' F' D2 L2 D2
D' L' F2 D U2 R2 F'
L2 R2 U' D F' D L2
D' L' F2 D B U2 R2
L' R2 U' F2 D2 F L2
R2 L2 U' D F' D L2
D' L' F2 D' L2 B U2
L R2 U' D F' D L2
D' L' F2 D' B L2 U2
L2 R2 U' D2 L F' L
L2 R2 U' D2 L2 D F'
L2 R2 U' D2 L2 D' F'
L2 R2 U' D2 L2 D2 F'
L2 R2 U' D2 L2 F' D
L2 R2 U' D2 L2 F' D'
L2 R2 U' D2 L2 F' D2
R2 L2 U' D2 L F' L
L2 R2 U' D2 F L2 F2
R2 L2 U' D2 L2 D F'
R2 L2 U' D2 L2 D' F'
R2 L2 U' D2 L2 D2 F'
L2 R2 U' D2 F' L2 D
L2 R2 U' D2 F' L2 D'
L2 R2 U' D2 F' L2 D2
R2 L2 U' D2 L2 F' D
R2 L2 U' D2 L2 F' D'
R2 L2 U' D2 L2 F' D2
R2 L2 U' D2 F L2 F2
L R2 U' D2 L F' L
R2 L2 U' D2 F' L2 D
R2 L2 U' D2 F' L2 D'
R2 L2 U' D2 F' L2 D2
L R2 U' D2 L2 D F'
L R2 U' D2 L2 D' F'
L R2 U' D2 L2 D2 F'
L R2 U' D2 L2 F' D
L R2 U' D2 L2 F' D'
L R2 U' D2 L2 F' D2
L R2 U' D2 F L2 F2
L R2 U' D2 F' L2 D
L R2 U' D2 F' L2 D'
L R2 U' D2 F' L2 D2
B L' F2 U' R2 F2 U'
D' L' F2 B U' F2 U'
D' L' F2 B U2 D R2
D' L' F2 B D U2 R2
D' L' F2 B D' L2 U2
L2 R2 U' F' L D2 L2
B L' F2 U' F2 R2 U'
L2 R2 U' F' L' D2 L2
L2 R2 U' F' L2 D2 L2
R2 L2 U' F' L D2 L2
R2 L2 U' F' L' D2 L2
R2 L2 U' F' L2 D2 L2
L2 R2 U' F' U2 R2 U2
B L' F2 U2 D R2 B2
B L' F2 U2 D B2 R2
L2 R2 U' F' D2 L2 D
L2 R2 U' F' D2 L2 D'
L2 R2 U' F' D2 L2 D2
L R2 U' F' L D2 L2
R2 L2 U' F' U2 R2 U2
L R2 U' F' L' D2 L2
L R2 U' F' L2 D2 L2
R2 L2 U' F' D2 L2 D
R2 L2 U' F' D2 L2 D'
R2 L2 U' F' D2 L2 D2
L R2 U' F' U2 R2 U2
L R2 U' F' D2 L2 D
L R2 U' F' D2 L2 D'
L R2 U' F' D2 L2 D2
B L' F2 D U2 R2 B2
B L' F2 D U2 B2 R2
L2 R2 U' F2 D2 F L2
R2 L2 U' F2 D2 F L2
B L' F2 D' L2 F2 U2
L R2 U' F2 D2 F L2
B L' F2 D' F2 L2 U2
L' R2 U2 D' F2 U F
F2 L' B U' R2 F2 U'
F2 L' B U' F2 R2 U'
L2 R2 U2 D' F2 U F
R2 L2 U2 D' F2 U F
F2 L' B U2 D R2 B2
F2 L' B U2 D B2 R2
L R2 U2 D' F2 U F
F2 L' B D U2 R2 B2
F2 L' B D U2 B2 R2
F2 L' B D' L2 F2 U2
F2 L' B D' F2 L2 U2
L' R2 D L B2 U' F'
F L' B U' F' R2 U'
D' L' B F2 U' F2 U'
D' L' B F2 U2 D R2
D' L' B F2 D U2 R2
D' L' B F2 D' L2 U2
L' R2 D L' B2 U' F'
L' R2 D L2 B2 U' F'
L2 R2 D L B2 U' F'
R2 L2 D L B2 U' F'
L2 R2 D L' B2 U' F'
L R2 D L B2 U' F'
R2 L2 D L' B2 U' F'
L' R2 D U' F' D L2
L2 R2 D L2 B2 U' F'
L R2 D L' B2 U' F'
R2 L2 D L2 B2 U' F'
L R2 D L2 B2 U' F'
L2 R2 D U' F' D L2
R2 L2 D U' F' D L2
L R2 D U' F' D L2
L' R2 D B2 L U' F'
L' R2 D B2 L' U' F'
L' R2 D B2 L2 U' F'
L' R2 D B2 U' D F'
L' R2 D B2 U' D' F'
L' R2 D B2 U' D2 F'
L' R2 D B2 U' F' D
L' R2 D B2 U' F' D'
L' R2 D B2 U' F' D2
L' R2 D B2 D U' F'
L' R2 D B2 D' U' F'
L' R2 D B2 D2 U' F'
L2 R2 D B2 L U' F'
L2 R2 D B2 L' U' F'
L2 R2 D B2 L2 U' F'
R2 L2 D B2 L U' F'
R2 L2 D B2 L' U' F'
L2 R2 D B2 U' D F'
L2 R2 D B2 U' D' F'
L2 R2 D B2 U' D2 F'
R2 L2 D B2 L2 U' F'
L2 R2 D B2 U' F' D
L2 R2 D B2 U' F' D'
L2 R2 D B2 U' F' D2
L2 R2 D B2 D U' F'
L2 R2 D B2 D' U' F'
L2 R2 D B2 D2 U' F'
R2 L2 D B2 U' D F'
R2 L2 D B2 U' D' F'
R2 L2 D B2 U' D2 F'
R2 L2 D B2 U' F' D
R2 L2 D B2 U' F' D'
R2 L2 D B2 U' F' D2
R2 L2 D B2 D U' F'
R2 L2 D B2 D' U' F'
L R2 D B2 L U' F'
R2 L2 D B2 D2 U' F'
L R2 D B2 L' U' F'
L R2 D B2 L2 U' F'
L R2 D B2 U' D F'
L R2 D B2 U' D' F'
L R2 D B2 U' D2 F'
L R2 D B2 U' F' D
L R2 D B2 U' F' D'
L R2 D B2 U' F' D2
L R2 D B2 D U' F'
L R2 D B2 D' U' F'
L R2 D B2 D2 U' F'
L' R2 D' U2 F2 U F
B' L' B2 U' R2 U' R2
U' L' B2 D L2 F B2
