B L2 U' F L' B'
F' R U' R2 F U'
F' R U' F R2 U'
D R' B L2 U' F
D R' B U B' U2
R' U2 F U L' F'
U' D R' B U' R
D U' R' B U' R
U' F R' U' L' R
U' F R' U' R L'
R' B L2 U' F L'
R' B U' L2 F L'
L D R' B L2 U' F
L D R' B U B' U2
L' D U' R' B U' R
R' D U2 R F' U F
L2 D U' R' B U' R
L D U' R' B U' R
U' D R' D B U' R
U' D R' D' B U' R
U' D R' D2 B U' R
U' D R' B U' R D
U' D R' B U' R D'
U' D R' B U' R D2
U' D R' B U' D R
U' D R' B U' D' R
U' D R' B U' D2 R
U' D R' B D U' R
U' D R' B D' U' R
U' D R' B D2 U' R
F2 U R' F2 L' B' U'
B U R' F' R B' U2
B U R' F' B' R U2
B U R' B' F' R U2
U' D F R' B U' R
U' D F' R' B U' R
R' D' L B' U B U2
R' D' L' U2 F U F'
U' D F2 R' B U' R
F2 U D2 B2 L F U
B U F B' U2 L' B'
B U F' R B' U2 B2
B U F' B' R U2 B
B U B' R' F' R U2
B U B' F U2 L' B'
B U B' F' R U2 B
D2 U' R' B' U' L R
D2 U' R' B' U' R L
B U' L' F B' L' F
B U' L' B' L' F L'
D U' R' D B U' R
B U' L' B' F L' F
D U' R' D' B U' R
D U' R' D2 B U' R
D U' R' B U' R D
D U' R' B U' R D'
D U' R' B U' R D2
D U' R' B U' D R
D U' R' B U' D' R
D U' R' B U' D2 R
D U' R' B D U' R
D U' R' B D' U' R
D U' R' B D2 U' R
B U' L2 F L B' L2
F2 U' R F2 B R2 U'
F2 U' R B R2 F2 U'
F2 U' R B F2 R2 U'
F' U' R' D F B2 U'
F' U' R' D B2 F U'
F' U' R' D2 F U' L2
F' U' R' F U R2 U2
F' U' R' F U' D2 L2
F' U' R' F D B2 U'
F' U' R' F D2 U' L2
D U' F R' B U' R
F2 U' R' F2 U2 F U
D U' F' R' B U' R
D U' F2 R' B U' R
F' U' F D R' B U'
B U' F L2 F L B'
F2 U' F2 R B R2 U'
F2 U' F2 R' U2 F' U
F U' F' D R' B U'
U' D2 R' B' U' L R
U' D2 R' B' U' R L
F U2 L' U F' R' U'
B U2 L2 U F L' B'
R' D2 B U R' B' U2
U' F L' U L R' U'
U' F L' U R' L U'
U' F R' U' L' R D
U' F R' U' L' R D'
U' F R' U' L' R D2
U' F R' U' L' D R
U' F R' U' L' D' R
U' F R' U' L' D2 R
U' F R' U' R L' D
U' F R' U' R L' D'
U' F R' U' R L' D2
U' F R' U' R D L'
U' F R' U' R D' L'
U' F R' U' R D2 L'
U' F R' U' D L' R
U' F R' U' D R L'
U' F R' U' D' L' R
U' F R' U' D' R L'
U' F R' U' D2 L' R
U' F R' U' D2 R L'
U' F R' D U' L' R
U' F R' D U' R L'
U' F R' D' U' L' R
U' F R' D' U' R L'
U' F R' D2 U' L' R
U' F R' D2 U' R L'
F U2 F' R' U' F L'
U' F R' B U' L' R
U' F R' B U' R L'
U' F R' B' U' L' R
U' F R' B' U' R L'
U' F R' B2 U' L' R
U' F R' B2 U' R L'
D F U' F' R' B U'
U' F D R' U' L' R
U' F D R' U' R L'
U F U2 R' U' L' R
U F U2 R' U' R L'
U' F D' R' U' L' R
U' F D' R' U' R L'
F' D R U' R2 F U'
F' D R U' F R2 U'
U' F D2 R' U' L' R
U' F D2 R' U' R L'
R' F' R U' R' F U'
R' F' R U' F R' U'
L' F' R U' R2 F U'
L' F' R U' F R2 U'
U' F' R' U R2 U2 R'
L2 F' R U' R2 F U'
L2 F' R U' F R2 U'
U' F' R' U' D2 L2 R
U' F' R' U' D2 R L2
U' F' R' D B2 U' R
U' F' R' D2 U' L2 R
U' F' R' D2 U' R L2
L F' R U' R2 F U'
L F' R U' F R2 U'
R F' R U' R F U'
B2 D B2 L2 R' B U'
B2 D B2 R' L2 B U'
B2 D B2 R' B L2 U'
D F' U' R' F B U'
D F' U' R' B F U'
D F' U' F R' B U'
F' D' R U' R2 F U'
F' D' R U' F R2 U'
D F2 U' R' F2 B U'
D F2 U' R' B F2 U'
R2 F2 U' F2 R B U'
D F2 U' F2 R' B U'
F' D2 R U' R2 F U'
F' D2 R U' F R2 U'
F2 D2 U B2 L F U
R' B L' U' L' F L'
R' B L' U' F L' F
R' B L2 U' F L' D
R' B L2 U' F L' D'
R' B L2 U' F L' D2
R' B L2 U' F D L'
R' B L2 U' F D' L'
R' B L2 U' F D2 L'
L' B L2 U' F L' B'
R' B L2 B U' F L'
R' B L2 B' U' F L'
R' B L2 B2 U' F L'
L2 B L2 U' F L' B'
R2 B L2 R U' F L'
L B L2 U' F L' B'
R2 B R L2 U' F L'
R2 B R U' L2 F L'
R B L2 R2 U' F L'
D2 B U R' F' B' U2
D2 B U R' B' F' U2
R' B U D2 B' U2 L
R' B U' L' F L' F
R' B U' L2 F L' D
R' B U' L2 F L' D'
R' B U' L2 F L' D2
R' B U' L2 F D L'
R' B U' L2 F D' L'
R' B U' L2 F D2 L'
R' B U' F L2 F L
R B R2 L2 U' F L'
R B R2 U' L2 F L'
R' B D2 U B' U2 L
D B' R' B R' U' F'
R' B' U D2 B R' U2
R B' R2 U' F L' F2
R' B' D2 U B R' U2
R' B2 U' F L' D2 F2
R' B2 U' F D2 L' F2
R' B2 U' F' D2 F2 L'
R' B2 D2 B' U' L F2
R' B2 D2 B' U' F2 L
