B' L2 R' F' R U
B' R' L2 F' R U
B' R' F' L2 R U
B' R' F' R L2 U
L2 U2 F L' B' U'
R' F' R B' L2 U
R' F' B' L2 R U
R' F' B' R L2 U
R' B' L2 F' R U
R' B' F' L2 R U
R' B' F' R L2 U
R' U2 B' L2 F' R U
L2 U2 B F L' B' U'
R' U2 B' F' L2 R U
R' U2 B' F' R L2 U
L2 U2 B' F L' B' U'
L2 U2 B2 F L' B' U'
B' R2 F' L2 R F' U
B' R2 F' R L2 F' U
B' R2 F' R F' L2 U
B' U D' F' L' F B2
B' U D' F' L' B2 F
B' U D' F' B2 L' F
B' U D' B2 F' L' F
L' F L' F R B U'
L2 F L' U2 L F U
R' F' L2 R U2 F U'
R' F' R L2 U2 F U'
R' F' R D' B' U B'
R' F' R B L2 B2 U
R' F' R B' L2 U D
R' F' R B' L2 U D'
R' F' R B' L2 U D2
R' F' R B' L2 D U
R' F' R B' L2 D' U
R' F' R B' L2 D2 U
R' F' R B' U D' B2
R' F' R B' D' U B2
R' F' R B2 L2 B U
L2 F' R U2 F2 B U'
L2 F' R U2 B F2 U'
R' F' R' B' L2 R2 U
R' F' R' B' R2 L2 U
R2 F' R F' B' L2 U
R2 F' R B' L2 F' U
R2 F' R B' F' L2 U
L2 F' R' F' R2 B U
U F' R B' L2 U L
L2 F' U2 F2 L' B' U'
R' F' D' R B' U B'
R' F' D' B' R U B'
R' F' B L2 R B2 U
R' F' B L2 B2 R U
R' F' B R L2 B2 U
R' F' B R B2 L2 U
R' F' B' L2 R U D
R' F' B' L2 R U D'
R' F' B' L2 R U D2
R' F' B' L2 R D U
R' F' B' L2 R D' U
R' F' B' L2 R D2 U
R' F' B' L2 D R U
R' F' B' L2 D' R U
R' F' B' L2 D2 R U
R' F' B' R L2 U D
R' F' B' R L2 U D'
R' F' B' R L2 U D2
R' F' B' R L2 D U
R' F' B' R L2 D' U
R' F' B' R L2 D2 U
R' F' B' R U D' B2
R' F' B' R D' U B2
R' F' B' D' R U B2
R' F' B2 L2 B R U
B' D' U F' L' F B2
B' D' U F' L' B2 F
B' D' U F' B2 L' F
R2 F' B' L2 R F' U
R2 F' B' R L2 F' U
R2 F' B' R F' L2 U
B' D' U B2 F' L' F
U F' B' L2 R U L
U F' B' R L2 U L
R' B L2 F' R B2 U
R' B L2 F' B2 R U
R' B L2 B2 F' R U
D2 B R' F' B2 L U
D2 B R' B2 L F' U
D2 B R' B2 F' L U
L2 B U2 F L' B' U'
U' B D' L B2 R2 F'
F' B R B2 L2 F U
B F L2 B2 R' F' U
F B L2 B2 R' F' U
R' B F' L2 R B2 U
R' B F' L2 B2 R U
R' B F' R L2 B2 U
R' B F' R B2 L2 U
R' B' L F' L R U
R' B' L F' R L U
R' B' L2 F' R U D
R' B' L2 F' R U D'
R' B' L2 F' R U D2
R' B' L2 F' R D U
R' B' L2 F' R D' U
R' B' L2 F' R D2 U
R' B' L2 F' D R U
R' B' L2 F' D' R U
R' B' L2 F' D2 R U
R2 B' L2 R F' R U
R2 B' L2 F' R F' U
R2 B' R L2 F' R U
U B' L2 F' R U L'
R2 B' R F' L2 R U
R2 B' R F' R L2 U
D' B' U F' B' L' F
B' F' L2 R U2 B U'
B' F' L2 R' F' R2 U
D' B' U B' F' L' F
F' B' L2 R U2 B U'
F' B' L2 R' F' R2 U
B' F' R L2 U2 B U'
F' B' R L2 U2 B U'
B' F' R' L2 F' R2 U
L2 B' U2 F L' B' U'
F' B' R' L2 F' R2 U
B' F' R' F' L2 R2 U
B' F' R' F' R2 L2 U
F' B' R' F' L2 R2 U
F' B' R' F' R2 L2 U
B F' R B2 L2 F U
R' B' F' L2 R U D
R' B' F' L2 R U D'
R' B' F' L2 R U D2
R' B' F' L2 R D U
R' B' F' L2 R D' U
R' B' F' L2 R D2 U
R' B' F' L2 D R U
R' B' F' L2 D' R U
R' B' F' L2 D2 R U
R' B' F' R L2 U D
R' B' F' R L2 U D'
R' B' F' R L2 U D2
R' B' F' R L2 D U
R' B' F' R L2 D' U
R' B' F' R L2 D2 U
R' B' F' R U D' B2
R' B' F' R D' U B2
R' B' F' D' R U B2
R2 B' F' L2 R F' U
R2 B' F' R L2 F' U
R2 B' F' R F' L2 U
U B' F' L2 R U L
U B' F' R L2 U L
R' B2 L2 F' B R U
R' B2 L2 B F' R U
L2 B2 U2 F L' B' U'
R' B2 F' L2 B R U
