U' L' F U B'
B' L U R' B' U'
B L U B' U' B
B L' U' F L2 U
U' L' D F U B'
U' L' D' F U B'
U' L' D2 F U B'
U' L' F U D B'
U' L' F U D' B'
U' L' F U D2 B'
U' L' F U B' D
U' L' F U B' D'
U' L' F U B' D2
U' L' F D U B'
U' L' F D' U B'
U' L' F D2 U B'
U' L2 U B L B'
L U R B' U' B2
L U B' R U' B
L' U' F L' U B'
B' U D2 R' B U'
U' D' L' U B' L
D' U' L' U B' L
B U' L U2 B' U'
B U' L' F L2 U
U' F L' F U B'
B2 D L D2 B' L
U' F' L' F U B'
U2 F' U L' F U
U' F2 L' F U B'
B' D' B' D L B'
B2 D' B' D2 L B'
B' D2 U R' B U'
D' B L' D' B2 L
L' B U' F L U
L B U B2 R' U'
D' B' L U R' U'
D2 B' U R' B U'
D' B' U R' U' L
L B2 U B R' U'
D2 B2 D L B' L
D2 B2 D B' L B'
D' B2 D B L B'
D U' F L2 U L B'
R' D' B' L R D B2
R' D' B' R L D B2
R' D' B' R D L B2
U' D' F2 L' U B' L
D' U' F2 L' U B' L
L D' B U B2 R' U'
B U' D L F U L'
B U' D F L U L2
L D' B2 U B R' U'
U D' B' R U' L B
B U' F L U2 B' U'
B U' F L' F L2 U
U' D2 L' U D B' L
U' D2 L' D U B' L
B U' F' L U2 B' U'
B U' F' L' F L2 U
B U' F2 L U2 B' U'
B U' F2 L' F L2 U
L' D2 U' F L' U B'
U D2 R U2 F' U B
L D2 U R B' U' B2
L D2 U B' R U' B
U D2 R' B R2 U' B
U D2 R' B U F' U2
D U2 F U' R U' L'
D U2 F' R U L' U
L' D2 B U' F L U
L D2 B U B2 R' U'
L D2 B2 U B R' U'
U' F L' D F U B'
U' F L' D' F U B'
U' F L' D2 F U B'
U' F L' F U D B'
U' F L' F U D' B'
U' F L' F U D2 B'
U' F L' F U B' D
U' F L' F U B' D'
U' F L' F U B' D2
U' F L' F D U B'
U' F L' F D' U B'
U' F L' F D2 U B'
U' F L2 U B L B'
L' F R' U R F' B
L' F R' U R B F'
U2 F U F2 L' F U
B2 D L D2 B' L D
B2 D L D2 B' L D'
B2 D L D2 B' L D2
B2 D L D2 B' D L
B2 D L D2 B' D' L
B2 D L D2 B' D2 L
B2 D L F B' L' F'
B2 D L B' F L' F'
B2 D L' U2 F U2 L'
B2 D L' D2 L2 B' L
U' F D' L' U B' L
B2 D L2 D2 L' B' L
B2 D L2 F L' F' B'
B2 D L2 F L' B' F'
D F B L' D' F' B2
D F B L' D' B2 F'
D F B L' F' D' B2
L F B' R' U' R F'
B D U' L F U L'
U' F' L' D F U B'
U' F' L' D' F U B'
U' F' L' D2 F U B'
U' F' L' F U D B'
U' F' L' F U D' B'
U' F' L' F U D2 B'
U' F' L' F U B' D
U' F' L' F U B' D'
U' F' L' F U B' D2
U' F' L' F D U B'
U' F' L' F D' U B'
U' F' L' F D2 U B'
B D U' F L U L2
B2 D F L F' B' L2
B2 D F L B' L2 F'
B2 D F L B' F' L2
U' F' L2 U B L B'
B2 D F L' F' D2 B2
F' D F B L' D' B2
B D F L' D' F' B2
B D F L' D' B2 F'
B D F L' F' D' B2
U2 F' R U L' F U
U2 F' R' U L' F U
B2 D B L D2 B' L
F' D B F L' D' B2
U2 F' R2 U L' F U
B2 D B' L D2 B' L
U2 F' U L' D F U
U2 F' U L' D' F U
U2 F' U L' D2 F U
U2 F' U L' F U D
U2 F' U L' F U D'
U2 F' U L' F U D2
U2 F' U L' F D U
U2 F' U L' F D' U
U2 F' U L' F D2 U
B2 D B2 L D2 B' L
B' D' L B' D L B'
B2 D' L B' D2 L B'
B' D' L' B' D L B'
U' F' D' L' U B' L
B2 D' L' B' D2 L B'
B' D' L2 B' D L B'
B D' L' B D' B2 L
B D' L' B' D' L B2
B2 D' L2 B' D2 L B'
B D' L2 B' L D' B2
B2 D' R' B R D2 L2
B2 D' R' B' L R B2
B2 D' R' B' L B2 R
B2 D' R' B' R L B2
B' D' U R' B' U' L
L F' B' R' U' R F
U' F2 L' D F U B'
U' F2 L' D' F U B'
U' F2 L' D2 F U B'
U' F2 L' F U D B'
U' F2 L' F U D' B'
U' F2 L' F U D2 B'
U' F2 L' F U B' D
U' F2 L' F U B' D'
U' F2 L' F U B' D2
U' F2 L' F D U B'
U' F2 L' F D' U B'
U' F2 L' F D2 U B'
U' F2 L2 U B L B'
B2 D' B U2 R' U2 B
B2 D' B D2 B2 L B'
B2 D' B' L R' B R
B' D' B' D L D B'
B' D' B' D L D' B'
B' D' B' D L D2 B'
B' D' B' D L B' D
B' D' B' D L B' D'
B' D' B' D L B' D2
B2 D' B' R' L B R
B D' B D B2 L B'
B2 D' B' D2 L D B'
B2 D' B' D2 L D' B'
B2 D' B' D2 L D2 B'
B2 D' B' D2 L B' D
B2 D' B' D2 L B' D'
B2 D' B' D2 L B' D2
U2 F2 U L' F L' U
B' D' B2 U' L F U
B2 D' B2 R' B L R
B2 D' B2 R' B R L
U2 F2 U F L' F U
B' D2 L U R' B U'
B2 D' B2 D2 B L B'
B' D2 L' U R' B U'
U2 F2 U2 D' L B' L
U2 F2 U2 D' B' L B'
B' D2 L2 U R' B U'
U' F2 D' L' U B' L
U2 F2 D R F' R U2
U2 F2 D F' R F' U2
U2 F2 D' U2 L B' L
U2 F2 D' U2 B' L B'
B' D2 U R' D B U'
B' D2 U R' D' B U'
B' D2 U R' D2 B U'
B' D2 U R' B U' D
B' D2 U R' B U' D'
B' D2 U R' B U' D2
B' D2 U R' B D U'
B' D2 U R' B D' U'
B' D2 U R' B D2 U'
L F2 B' R' U' R F2
B D2 U B2 R' B U'
D' B L' D' L B2 L
D' B L' D' L' B2 L
D' B L' D' L2 B2 L
D' B L' D' B2 L D
D' B L' D' B2 L D'
D' B L' D' B2 L D2
D' B L' D' B2 D L
D' B L' D' B2 D' L
D' B L' D' B2 D2 L
D' B L' B2 D' L B2
L2 B L' U' L2 F U
L B L U B2 U' B2
L B L D L2 D' B2
D' B L2 B2 L D' B2
L2 B L2 U' L' F U
L B L' D L2 D2 B2
L B L' D' B2 D2 L2
B' D2 B' D L B' L
B' D2 B' D B' L B'
B D2 B D L B' L
B D2 B D B' L B'
D2 B U B2 R' B U'
D' B U B2 R' U' L
D' B U' L U' R' U2
L' B U' D F L U
L' B U' D' F L U
L' B U' D2 F L U
L' B U' F L U D
L' B U' F L U D'
L' B U' F L U D2
L' B U' F L D U
L' B U' F L D' U
L' B U' F L D2 U
L' B U' F D L U
L' B U' F D' L U
L' B U' F D2 L U
L' B U' F' L F2 U
L' B U' F2 L F' U
L2 B U' L F' U L'
D' B U2 R' U L U
B D2 B2 U R' B U'
L B U R B2 R' U'
L B U R' B2 R' U'
L2 B U' F' L U L2
L B U R2 B2 R' U'
D B U' L F U L'
L B U B2 R' U' D
L B U B2 R' U' D'
L B U B2 R' U' D2
L B U B2 R' D U'
L B U B2 R' D' U'
L B U B2 R' D2 U'
D B U' F L U L2
L B U B2 D R' U'
L B U B2 D' R' U'
L B U B2 D2 R' U'
L B U' L U D L2
L B U' L U2 B2 U'
L B U' L D U L2
D' B D L' D' B2 L
L B U' L D2 F2 U
L B U' D L U L
L B U' D2 L F2 U
L' B D U' F L U
L B U' D2 F2 L U
D' B D' L' D' B2 L
U B U2 L' F U B'
B F L' F' D' L2 B2
B F L' F' D' B2 L2
L' B D' U' F L U
F B L' F' D' L2 B2
F B L' F' D' B2 L2
D' B D2 L' D' B2 L
L B D L' D' L' B2
L B D L' D' B2 L'
L B D L2 U' L' U
L B D U' L U L
L' B D2 U' F L U
L B D2 L' D' L2 B2
L B D2 L' D' B2 L2
D B F L' D' F' B2
D B F L' D' B2 F'
D B F L' F' D' B2
L B D2 U' L F2 U
L B D2 U' F2 L U
D' B' L R D R' B2
D2 B' L U R' B U'
D' B' L U R' U' D
D' B' L U R' U' D'
D' B' L U R' U' D2
D' B' L U R' D U'
D' B' L U R' D' U'
D' B' L U R' D2 U'
D' B' L U D R' U'
D' B' L U D' R' U'
D' B' L U D2 R' U'
D' B' L D U R' U'
D' B' L D' U R' U'
D' B' L D2 U R' U'
D' B' L B2 U' L U
D2 B' L' U R' B U'
D' B' L' U R' U' L2
U' B' L' F B U B2
U' B' L' B F U B2
L2 B' L' U R' B' U'
D2 B' L2 U R' B U'
D' B' L2 U R' U' L'
L' B' L2 U R' B' U'
F' B D F L' D' B2
D' B' L2 B2 L' D' B2
D' B' R L D R' B2
D' B' R D L R' B2
D' B' R D R' L B2
D2 B' U R' D B U'
D2 B' U R' D' B U'
D2 B' U R' D2 B U'
D2 B' U R' B U' D
D2 B' U R' B U' D'
D2 B' U R' B U' D2
D2 B' U R' B D U'
D2 B' U R' B D' U'
D2 B' U R' B D2 U'
D' B' U R' U' L D
D' B' U R' U' L D'
D' B' U R' U' L D2
D' B' U R' U' D L
D' B' U R' U' D' L
D' B' U R' U' D2 L
D' B' U R' D U' L
D' B' U R' D' U' L
D' B' U R' D2 U' L
L' B' U R' U2 F U
D' B' U D R' U' L
D' B' U D' R' U' L
D' B' U D2 R' U' L
L B' R' F U' F' R
L B' R' F2 U' F2 R
L2 B' U R' B U' L
L' B' U' F U2 R' U'
D B' U D R' B U'
L B' U R' U R U2
D' B' D L U R' U'
D' B' D U R' U' L
D2 B' D B' D L B'
D' B' D' L U R' U'
U B' U2 L' F U B'
D' B' D' U R' U' L
D B' D U R' B U'
D' B' D2 L U R' U'
D' B' D2 U R' U' L
D B' D2 B' D L B'
L B' F R' U' R F'
D2 B2 L D L B' L
D2 B2 L D B' L B'
D' B2 L D B L B'
B2 F' D F L B' L2
L B' F' R' U' R F
U' B2 L' F B2 U B
D2 B2 L' D L B' L
D2 B2 L' D B' L B'
D' B2 L' D B L B'
B F' D F L' D' B2
U' B2 L' B2 F U B
L B' F2 R' U' R F2
D2 B2 L2 D L B' L
D2 B2 L2 D B' L B'
L B2 L U B R' U'
D' B2 L2 D B L B'
L B2 L' U B R' U'
D' B2 R D' R' B L
L B2 L2 U B R' U'
D2 B2 U R' B R' U'
D' B2 U R B R' U'
D2 B2 U B R' B U'
L2 B2 U B R' U' L
L' B2 U' D2 F L' U
D2 B2 D L B' L D
D2 B2 D L B' L D'
D2 B2 D L B' L D2
D2 B2 D L B' D L
D2 B2 D L B' D' L
D2 B2 D L B' D2 L
L B2 U B R' U' D
L B2 U B R' U' D'
L B2 U B R' U' D2
L B2 U B R' D U'
L B2 U B R' D' U'
L B2 U B R' D2 U'
L B2 U B D R' U'
L B2 U B D' R' U'
L B2 U B D2 R' U'
D' B2 D L B L B2
L' B2 D L D' B' L
D2 B2 D B' L D B'
D2 B2 D B' L D' B'
D2 B2 D B' L D2 B'
D2 B2 D B' L B' D
D2 B2 D B' L B' D'
D2 B2 D B' L B' D2
D' B2 D B L D B'
D' B2 D B L D' B'
D' B2 D B L D2 B'
D' B2 D B L B' D
D' B2 D B L B' D'
D' B2 D B L B' D2
D' B2 D B2 L B' L
D' B2 D' R' B L R
D' B2 D' R' B R L
U B2 U2 L' F U B'
D B2 D L D B' L
D' B2 D' B D2 L B'
L B2 D L B' D L2
L' B2 D2 U' F L' U
D' B2 D2 B D' L B'
F' B2 D F L B' L2
D B2 D2 B' D' L B'
R B2 D' B2 R' B L
