F' L' B' L' U' B2
U' L2 F' U' L' B
U' L2 F' U' B L'
U2 L2 F' U' B L
U' F' L2 U' L B
U2 F' L2 U' B L
D F' U' F' L' B
D F' U' F' B L'
D F' U' B F' L'
L' B' L' F' U' B2
U2 F' L2 U' B L D2
U2 F' L2 U' B D L
U2 F' L2 U' B D' L
U2 F' L2 U' B D2 L
U2 F' L2 D U' B L
U2 F' L2 D' U' B L
D F' L' B' U' F' B2
D F' L' B' U' B2 F'
U2 F' L2 D2 U' B L
B2 D F' U' F' B' L'
B2 D F' U' B' F' L'
U F' L2 B' U' B2 L
U F' L2 B2 U' B' L
D' F' U B2 U2 B' L
U' F' U' D L' F2 B
U' F' U' D L' B F2
U' F' U' D B L' F2
U' F' U' B D L' F2
L2 F' U' L B D L2
U2 F' U' D F2 B L
U2 F' U' D B L F2
U2 F' U' D B F2 L
L2 F' U' D' B' L B2
D F' U' L F' L' B
D F' U' L F' B L'
D F' U' L B F' L'
D F' U' L' F' L' B
D F' U' L' F' B L'
D F' U' L' B F' L'
D F' U' L2 F' L' B
D F' U' L2 F' B L'
U2 F' U' B D L F2
U2 F' U' B D F2 L
D F' U' L2 B F' L'
L2 F' U' B2 D' B' L
D F' U' D F' L' B
D F' U' D F' B L'
D F' U' D B F' L'
L2 F' U2 L' F U B
D F' U' D' F' L' B
D F' U' D' F' B L'
D F' U' D' B F' L'
L2 F' U2 L2 U B L
D F' U' D2 F' L' B
D F' U' D2 F' B L'
D F' U' D2 B F' L'
D F' U' F' L B L2
D F' U' F' L' D B
D F' U' F' L' D' B
D F' U' F' L' D2 B
D F' U' F' L' B D
D F' U' F' L' B D'
D F' U' F' L' B D2
D F' U' F' D L' B
D F' U' F' D B L'
D F' U' F' D' L' B
D F' U' F' D' B L'
D F' U' F' D2 L' B
D F' U' F' D2 B L'
D F' U' F' B L' D
D F' U' F' B L' D'
D F' U' F' B L' D2
D F' U' F' B D L'
D F' U' F' B D' L'
D F' U' F' B D2 L'
D F' U' F' B' L' B2
D F' U' B L F' L'
D F' U' B L' F' L'
D F' U' B L2 F' L'
U' F' D U' L' F2 B
U' F' D U' L' B F2
D F' U' B D F' L'
D F' U' B D' F' L'
D F' U' B D2 F' L'
D F' U' B F' L' D
D F' U' B F' L' D'
D F' U' B F' L' D2
D F' U' B F' D L'
D F' U' B F' D' L'
D F' U' B F' D2 L'
U' F' D U' B L' F2
D F' U' B' F' L' B2
U2 F' D U' F2 B L
U2 F' D U' B L F2
U2 F' D U' B F2 L
D F' D U' F' L' B
D F' D U' F' B L'
D F' D U' B F' L'
L2 F' D' U' B' L B2
L2 F' D' B' U' L B2
D F' D' U' F' L' B
D F' D' U' F' B L'
D F' D' U' B F' L'
L F' D' L U' L B
L' F' D2 B' L U' B2
U' F' B' L2 U' L B2
D F' D2 U' F' L' B
D F' D2 U' F' B L'
D F' D2 U' B F' L'
L F' D2 L B2 U' B'
F' D' U B2 U2 B' L
D F' B' U' F' L' B2
D F' B' U' F' B2 L'
D F' B' U' B2 F' L'
U F' B' L2 U' B2 L
L2 F' B2 U' D' B' L
L2 F' B2 D' U' B' L
D F' B2 U' F' B' L'
D F' B2 U' B' F' L'
L2 F2 D F U' L' B
L2 F2 D F U' B L'
L' B L' F' B2 U' B2
L' B L' B2 F' U' B2
U B L U L F' U'
U B L U F' L U'
L' B U L' F' B2 U'
L' B U L' B2 F' U'
U2 B U L2 F' U' L'
L' B U B2 L' F' U'
U2 B U F' L2 U' L
U B U F' L2 U' L'
F' B L' B' L' U' B
U' B F D F2 L' R2
U' B F D F2 R2 L'
R2 B D2 R2 U B L
U B F D L R2 F2
U B F D L F2 R2
U B F D R2 L F2
U B F D R2 F2 L
U B F D F2 L R2
U B F D F2 R2 L
L' B' L F' L2 U' B2
L' B' L' D' F' R2 U'
L' B' L' F' R U' B2
L' B' L' F' R' U' B2
L' B' L' F' R2 U' B2
L' B' L' F' U' B2 D
L' B' L' F' U' B2 D'
L' B' L' F' U' B2 D2
L' B' L' F' D' R2 U'
U' B' L2 F' U' L' B2
U' B' L2 F' U' B2 L'
L' B' L2 F' L U' B2
U B' L2 F' U' B2 L
D2 B' R2 B U B L
B F' L' B' L' U' B
L' B' D' L' F' R2 U'
U' B' F' L2 U' L B2
D B' F' U' F' L' B2
D B' F' U' F' B2 L'
D B' F' U' B2 F' L'
U B' F' L2 U' B2 L
D' B2 U' F' U' B' L'
L2 B2 D' F' U' B' L
L2 B2 F' U' D' B' L
L2 B2 F' D' U' B' L
D B2 F' U' F' B' L'
D B2 F' U' B' F' L'
