B L' R' F2 B2 U
B L' R' B2 F2 U
B' L' F2 U D F2
B' L' F2 U2 L2 U'
B' L' F2 D U F2
B' L' F2 D2 R2 U
B L' F2 R' B2 U
B' L2 F2 L R U
B' L2 F2 R L U
B R' L' F2 B2 U
B R' L' B2 F2 U
B R' B2 L' F2 U
F2 B' U2 L R U'
F2 B' U2 R L U'
B' F2 U2 L R U'
B' F2 U2 R L U'
B' F2 U2 R D L U'
B' F2 U2 R D' L U'
B' F2 U2 R D2 L U'
B' F2 U2 D L R U'
B' F2 U2 D R L U'
B' F2 U2 D' L R U'
B' F2 U2 D' R L U'
B' F2 U2 D2 L R U'
B' F2 U2 D2 R L U'
B' F2 D U2 L R U'
B' F2 D U2 R L U'
B' F2 D' U2 L R U'
B' F2 D' U2 R L U'
B' F2 D2 U2 L R U'
B' F2 D2 U2 R L U'
