U' L2 U' R2 B
U2 R2 D F2 B
U2 R2 D B F2
U2 R2 B D F2
F' U' L2 U' R2
F' U2 R2 D F2
D2 L2 F' U R2 D' U
D2 L2 F' U R2 D2 U
R2 U L2 D2 U' L2 B
R2 U L2 D2 U' B L2
D2 L2 F' U' D2 L2 U'
D2 L2 F' U2 D' F2 D
D2 L2 F' U2 D' F2 D'
D2 L2 F' U2 D' F2 D2
D2 L2 F' U2 F D' F2
D2 L2 F' U2 F' D' F2
D2 L2 F' U2 F2 D' F2
U' L2 F' U' R2 D B2
B' L2 F' U2 R2 D' F2
D2 L2 F' D B2 U2 D
D2 L2 F' D B2 U2 D'
D2 L2 F' D B2 U2 D2
D2 L2 F' D B2 D U2
D2 L2 F' D B2 D' U2
D2 L2 F' D B2 D2 U2
D2 L2 F' D' U2 F2 D
D2 L2 F' D' U2 F2 D'
D2 L2 F' D' U2 F2 D2
D2 L2 F' D' B U2 F2
D2 L2 F' D' B' U2 F2
D2 L2 F' D' B2 U2 F2
D2 L2 F' D2 U' L2 U'
D2 L2 F' B U R2 U
D2 L2 F' B U2 D' F2
D2 L2 F' B D B2 U2
B2 L2 F' U2 R2 D' F2
D2 L2 F' B D' U2 F2
D2 L2 F' B' U R2 U
D2 L2 F' B' U2 D' F2
D2 L2 F' B' D B2 U2
D2 L2 F' B' D' U2 F2
D L2 F' U B2 U F'
D2 L2 F' B2 U R2 U
D2 L2 F' B2 U2 D' F2
D2 L2 F' B2 D B2 U2
D2 L2 F' B2 D' U2 F2
D' L2 F' B2 U' F' U'
D L2 F' U2 D' F' R2
D L2 F' U2 F' D' R2
B L2 F' U2 R2 D' F2
D L2 F' D L2 U2 F'
D L2 F' D' U2 F' R2
U' L2 F2 U F U2 R2
D2 L2 F2 D F B2 U2
D2 L2 F2 D B2 F U2
D2 L2 F2 D' F U2 F
U2 L2 F2 U' L2 R2 B'
U2 L2 F2 U' L2 B' R2
U2 L2 F2 U' R2 L2 B'
F L2 F2 U2 R2 D' F2
D2 L2 B U R2 U B
F' L2 B U2 R2 D' F2
D2 L2 B D F' B2 U2
D2 L2 B D B2 F' U2
D2 L2 B D' F' U2 F'
U2 L2 B U' L2 R2 B
U2 L2 B U' R2 L2 B
U2 L2 B U' R2 B L2
D2 L2 B F' U R2 U
D2 L2 B F' U2 D' F2
D2 L2 B F' D B2 U2
D2 L2 B F' D' U2 F2
D2 L2 B' U R2 U B
D2 L2 B' D F' B2 U2
F' L2 B' U2 R2 D' F2
D2 L2 B' D B2 F' U2
D2 L2 B' D' F' U2 F'
U2 L2 B' U' L2 R2 B
U2 L2 B' U' R2 L2 B
U2 L2 B' U' R2 B L2
D2 L2 B' F' U R2 U
D2 L2 B' F' U2 D' F2
D2 L2 B' F' D B2 U2
D2 L2 B' F' D' U2 F2
D2 L2 B2 U R2 U B
D' L2 B2 U2 D R2 B
F' L2 B2 U2 R2 D' F2
D2 L2 B2 D F' B2 U2
D2 L2 B2 D B2 F' U2
D2 L2 B2 D' F' U2 F'
D' L2 B2 D U2 R2 B
D' L2 B2 D F' U2 R2
D' L2 B2 D' L2 F' U2
D' L2 B2 D' F' L2 U2
U2 L2 B2 U' L2 R2 B
U2 L2 B2 U' R2 L2 B
U2 L2 B2 U' R2 B L2
R2 U D B2 U' F2 B'
R2 U D B2 U' B' F2
D2 L2 B2 F' U R2 U
D2 L2 B2 F' U2 D' F2
D2 L2 B2 F' D B2 U2
D2 L2 B2 F' D' U2 F2
D' L2 B2 F' U' F' U'
L2 U F' U F U R2
U2 R U L2 U' R B
L2 U B' U R2 F' B
L2 U B' U R2 B F'
F' R D R' U2 R2 F2
F' R D R' U2 F2 R2
U2 R D R F2 D B
U2 R D R F2 D' B
U2 R D R F2 D2 B
U2 R D R F2 B D
U2 R D R F2 B D'
U2 R D R F2 B D2
U2 R D R B F2 D
U2 R D R B F2 D'
U2 R D R B F2 D2
U2 R D R2 F2 R' B
U2 R D B R F2 B
U2 R D B R B F2
U2 R D B' R F2 B
U2 R D B' R B F2
U2 R D B2 R F2 B
U2 R D B2 R B F2
F' R D' R' B2 U2 R2
L U B2 R' U R' B
U2 R D' R D2 F2 B
U2 R D' R D2 B F2
F' R D' B2 U2 L R
F' R D' B2 U2 R L
L U' L R' U' R' B
L U' L U F' U2 R2
L U' L U' R2 D B
L U' L U' R2 D' B
L U' L U' R2 D2 B
L U' L U' R2 B D
L U' L U' R2 B D'
L U' L U' R2 B D2
L U' L U' B R2 B
L U' L U' B' R2 B
L U' L U' B2 R2 B
L' U' L' R' U' R' B
L' U' L' U F' U2 R2
L' U' L' U' R2 D B
L' U' L' U' R2 D' B
L' U' L' U' R2 D2 B
L' U' L' U' R2 B D
L' U' L' U' R2 B D'
L' U' L' U' R2 B D2
L' U' L' U' B R2 B
L' U' L' U' B' R2 B
L' U' L' U' B2 R2 B
U R D2 R2 U R' B
L' U' R' L' U' R' B
U2 R F2 D F2 R B
L U' R' L U' R' B
U2 R B R D F2 B
U2 R B R D B F2
U2 R B R B D F2
U2 R B D R F2 B
U2 R B D R B F2
U2 R B' R D F2 B
U2 R B' R D B F2
U2 R B' R B D F2
L2 U' R2 B U B' U'
L2 U' R2 B2 D B' L2
U2 R B' D R F2 B
U2 R B' D R B F2
U2 R B2 R D F2 B
U2 R B2 R D B F2
U2 R B2 R B D F2
U2 R B2 D R F2 B
U2 R B2 D R B F2
U' R' L2 U' R' D B
U' R' L2 U' R' D' B
U' R' L2 U' R' D2 B
U' R' L2 U' R' B D
U' R' L2 U' R' B D'
U' R' L2 U' R' B D2
L2 U' F U' F' R2 B
U2 R' L2 U' L2 R' B
U2 R' L2 U' R' L2 B
U2 R' L2 U' R' B L2
U' R' L2 F U' R' B
U' R' L2 F' U' R' B
U' R' L2 F2 U' R' B
U2 R' U L2 U' R' B
U R' U R' D F2 B
U R' U R' D B F2
U R' U R' B D F2
L2 U' F2 U' F2 R2 B
U' R' U' R' D F2 B
U' R' U' R' D B F2
U' R' U' R' B D F2
L2 U' B R2 B D L2
F' R' U2 D F2 L' R'
F' R' U2 D F2 R' L'
U R' U2 L2 U' R' B
F' R' D R U2 R2 F2
F' R' D R U2 F2 R2
F' R' D U2 F2 L' R'
F' R' D U2 F2 R' L'
U2 R' D F2 D' R' B
L2 U' B2 R2 D L2 B
L2 U' B2 R2 D B L2
F' R' D' R B2 U2 R2
F' R' D' B2 L R U2
F' R' D' B2 R L U2
L2 U2 L U L' R2 B
L2 U2 L U R2 L' B
L2 U2 L U R2 B L'
L U2 L U' L' R2 B
L U2 L U' R2 L' B
L U2 L U' R2 B L'
L' U2 L' U' L R2 B
L' U2 L' U' R2 L B
L2 U2 L' U L R2 B
L2 U2 L' U R2 L B
U' R' F L2 U' R' B
U2 R' F R' D F2 B
U2 R' F R' D B F2
U2 R' F R' B D F2
L2 U2 L2 U L2 R2 B
L2 U2 L2 U R2 L2 B
L2 U2 L2 U R2 B L2
U' R' F' L2 U' R' B
U2 R' F' R' D F2 B
U2 R' F' R' D B F2
U2 R' F' R' B D F2
U' R' F2 L2 U' R' B
U2 R' F2 R' D F2 B
U2 R' F2 R' D B F2
U2 R' F2 R' B D F2
L' U2 R2 U L' U' B
L' U2 R2 B U L' U'
L2 U2 R2 D' F2 D B
L2 U2 R2 D' F2 D' B
L2 U2 R2 D' F2 D2 B
L2 U2 R2 D' F2 B D
L2 U2 R2 D' F2 B D'
L2 U2 R2 D' F2 B D2
L2 U2 R2 D' B F2 D
L2 U2 R2 D' B F2 D'
L2 U2 R2 D' B F2 D2
L2 U2 R2 D2 B D F2
R2 U2 R2 D F' U2 F'
L2 U2 R2 F D' F2 B
L2 U2 R2 F D' B F2
L2 U2 R2 F B D' F2
L2 U2 R2 F' D' F2 B
L2 U2 R2 F' D' B F2
R2 U2 R2 D' F' B2 U2
L U2 R2 U L U' B
L2 U2 R2 F' B D' F2
R2 U2 R2 D' B2 F' U2
L2 U2 R2 F2 D' F2 B
L2 U2 R2 F2 D' B F2
L2 U2 R2 F2 B D' F2
L2 U2 R2 B U' R2 U
L2 U2 R2 B D' F2 D
L2 U2 R2 B D' F2 D'
L2 U2 R2 B D' F2 D2
L2 U2 R2 B F D' F2
L2 U2 R2 B F' D' F2
L2 U2 R2 B F2 D' F2
R2 U2 R2 F' U' L2 U'
R2 U2 R2 F' U2 D F2
R2 U2 R2 F' D U2 F2
R2 U2 R2 F' D' B2 U2
L2 U2 R2 B2 D' F2 B'
L2 U2 R2 B2 D' B' F2
U2 R2 L B D L' F
U2 R2 L2 B L2 D F2
D2 R2 U D2 L2 B R2
D2 R2 U D2 B L2 R2
D2 R2 U D2 B R2 L2
U2 R2 U L2 U' D B
U2 R2 U L2 U' D' B
U2 R2 U L2 U' D2 B
U2 R2 U L2 U' B D
U2 R2 U L2 U' B D'
U2 R2 U L2 U' B D2
U2 R2 U L2 D U' B
U2 R2 U L2 D' U' B
U2 R2 U L2 D2 U' B
D2 R2 U B D2 L2 R2
D2 R2 U B D2 R2 L2
D2 R2 U' L2 R2 F' U2
U R2 U L2 U' L2 B
U R2 U L2 U' B L2
D2 R2 U' R2 L2 F' U2
D2 R2 U' R2 F' L2 U2
L2 U2 B R2 D' F2 B
L2 U2 B R2 D' B F2
L2 U2 B R2 B D' F2
U2 R2 U2 D' B2 U2 B'
L2 U2 B' R2 D' F2 B
L2 U2 B' R2 D' B F2
L2 U2 B' R2 B D' F2
U2 R2 D L B L' F2
U2 R2 D L' F2 L B
U2 R2 D L2 F2 L2 B
U2 R2 D L2 F2 B L2
U2 R2 D L2 B L2 F2
U2 R2 D L2 B F2 L2
U2 R2 D R F2 R' B
B' R2 D F2 D L2 B
B' R2 D F2 D B L2
B2 R2 D F2 D L2 B
B2 R2 D F2 D B L2
U2 R2 D F D F B
U2 R2 D F D B F
U2 R2 D F D' F B
U2 R2 D F D' B F
U2 R2 D F D2 F B
U2 R2 D F D2 B F
U2 R2 D F B D F
U2 R2 D F B D' F
U2 R2 D F B D2 F
U2 R2 D F' D F' B
U2 R2 D F' D B F'
U2 R2 D F' D' F' B
U2 R2 D F' D' B F'
U2 R2 D F' D2 F' B
U2 R2 D F' D2 B F'
U2 R2 D F' B D F'
U2 R2 D F' B D' F'
U2 R2 D F' B D2 F'
U2 R2 D F2 L B L'
U2 R2 D F2 L2 B L2
U2 R2 D F2 D B D
U2 R2 D F2 D B D'
U2 R2 D F2 D B D2
U2 R2 D F2 D' B D
U2 R2 D F2 D' B D'
U2 R2 D F2 D' B D2
U2 R2 D F2 D2 B D
U2 R2 D F2 D2 B D'
U2 R2 D F2 D2 B D2
U2 R2 D F2 B2 D B'
U2 R2 D F2 B2 D' B'
U2 R2 D F2 B2 D2 B'
U2 R2 D B L' F2 L
U2 R2 D B L2 F2 L2
U2 R2 D B R F2 R'
U2 R2 D B R2 F2 R2
U2 R2 D B F D F
U2 R2 D B F D' F
U2 R2 D B F D2 F
U2 R2 D B F' D F'
U2 R2 D B F' D' F'
U2 R2 D B F' D2 F'
L2 U2 B2 R2 D' F2 B
L2 U2 B2 R2 D' B F2
L2 U2 B2 R2 B D' F2
U2 R2 D B2 F2 D B'
U2 R2 D B2 F2 D' B'
U2 R2 D B2 F2 D2 B'
B R2 D F2 D L2 B
B R2 D F2 D B L2
D2 R2 D' F2 B2 U B'
F R2 D F2 D L2 B2
F R2 D F2 D B2 L2
D2 R2 D' B2 F2 U B'
U R2 D F2 D' L2 B
U R2 D F2 D' B L2
U R2 D F2 B D' L2
U2 R2 D' U2 B2 U2 B'
U R2 D B F2 D' L2
U2 R2 D' F D2 F2 B
U2 R2 D' F D2 B F2
U2 R2 D' F' D2 F2 B
U2 R2 D' F' D2 B F2
U2 R2 D' F2 D2 F2 B
U2 R2 D' F2 D2 B F2
B' R2 D2 L2 D' F2 B
B' R2 D2 L2 D' B F2
B' R2 D2 L2 B D' F2
U2 R2 D' B R2 F' R2
U2 R2 D' B U2 B U2
D2 R2 D2 U L2 B R2
D2 R2 D2 U B L2 R2
D2 R2 D2 U B R2 L2
B2 R2 D2 L2 D' F2 B
B2 R2 D2 L2 D' B F2
B2 R2 D2 L2 B D' F2
F2 R2 D2 L2 D' F2 B'
F2 R2 D2 L2 D' B' F2
F2 R2 D2 L2 B' D' F2
B' R2 D2 B L2 D' F2
B R2 D2 L2 D' F2 B
B R2 D2 L2 D' B F2
R2 D L F2 D L2 B
R2 D L F2 D B L2
B R2 D2 L2 B D' F2
B2 R2 D2 B L2 D' F2
U2 R2 D2 F D' F2 B
