U R U2 F' L' R'
U R U2 F' R' L'
U R' B U2 L R
U R' B U2 R L
U B' R' B U2 R
U R' B' R' B2 U2 R2
U' R2 F R B U2 B'
U' R2 B' U2 B L F
U R2 B U2 L R2 F
U R2 B U2 L F R2
U R2 B U2 R2 L F
U R2 B' R' U2 F' R'
D2 U L B' R' U2 R
F' U R U2 F' L' R'
F' U R U2 F' R' L'
F2 U R U2 F' L' R'
F2 U R U2 F' R' L'
F U R U2 F' L' R'
F U R U2 F' R' L'
F' U R' B U2 L R
F' U R' B U2 R L
L' D B' L U2 B U
F2 U R' B U2 L R
F2 U R' B U2 R L
F U R' B U2 L R
F U R' B U2 R L
F' U B' R' B U2 R
F2 U B' R' B U2 R
F U B' R' B U2 R
B' U' R D' F' L' R
B' U' R D' F' R L'
B2 U' R D' F' L' R2
B2 U' R D' F' R2 L'
B2 U' R F' L' D' R2
B2 U' R F' D' L' R2
B2 U' R F' D' R2 L'
B2 U' R' D' R2 F' L'
U D2 L B' R' U2 R
B' U2 D B R' F' U
U' F L F2 L' R F'
U' F L F2 R L' F'
D' F L' B' U2 B U
U' F R B U2 F' B'
U' F R B U2 B' F'
U' F R B' U2 F' B
U' F R B' U2 B F'
U' F R B2 U2 F' B2
U' F R B2 U2 B2 F'
U' F R' B R2 U2 B'
U' F U2 R U2 F' R'
U' F B R U2 F' B'
U' F B R U2 B' F'
U' F B2 R U2 F' B2
U' F B2 R U2 B2 F'
U' F' L F2 L2 R F'
U' F' L F2 R L2 F'
U' F' L F2 R F' L2
B' D U2 B R' F' U
U' F' R' B U2 B' L'
U F' U2 F R U2 F'
U' F2 L F2 R F' L'
B2 D' F L' B' U' R2
B2 D2 L' F2 B' U' F'
B2 D2 L' B' F2 U' F'
B2 D2 F2 L' B' U' F
B2 D2 F2 U' F' L' F
U B R U2 L F' R'
U B R U2 F' L R'
U B R U2 F' R' L
U B R2 U2 L R2 F
U B R2 U2 L F R2
U B R2 U2 R2 L F
D B U2 R' F' B' U
D B U2 R' B' F' U
U B U2 L F2 R F'
U' B F R U2 F' B'
U' B F R U2 B' F'
D B' L U2 F B U
D B' L U2 B F U
U B' L R' B U2 R
U B' L' R' B U2 R
U B' L2 R' B U2 R
U B' R' L B U2 R
U B' R' L' B U2 R
U B' R' L2 B U2 R
U B' R' U2 R2 F' R'
U B' R' D B U2 R
U B' R' D' B U2 R
U B' R' D2 B U2 R
U B' R' B L U2 R
U B' R' B L' U2 R
U B' R' B L2 U2 R
U B' R' B U2 R D
U B' R' B U2 R D'
U B' R' B U2 R D2
U B' R' B U2 D R
U B' R' B U2 D' R
U B' R' B U2 D2 R
U B' R' B D U2 R
U B' R' B D' U2 R
U B' R' B D2 U2 R
L' B' U' R D' F' R
L' B' U2 D B R' U
L' B' U2 B R U F'
L' B' D U2 B R' U
U B' U2 R' B U2 B'
U' B2 R F' L' B2 R'
R B2 L F B2 U F2
R B2 L B2 F U F2
U' B2 R' B U2 B L
U B2 R' B R' U2 R2
U' B2 F R U2 F' B2
U' B2 F R U2 B2 F'
