L' U' R U' F'
B' L' U' R U' F'
D2 L' U' R U' F
D2 L' U' R U' F
B2 L' U' R U' F'
B L' U' R U' F'
U' R U L' U2 F'
U' R U' F2 R F
L' U' L R U' F'
L' U' L' R U' F'
L' U' L2 R U' F'
L' U' R L U' F'
L' U' R L' U' F'
L' U' R L2 U' F'
L' U' R U' D F'
L' U' R U' D' F'
L' U' R U' D2 F'
L' U' R U' F' D
L' U' R U' F' D'
L' U' R U' F' D2
L' U' R D U' F'
L' U' R D' U' F'
L' U' R D2 U' F'
U' R F2 U' R F
F2 U L' U R F'
L' B U' R U' F'
L' B' U' R U' F'
L' B2 U' R U' F'
U R U L' U2 L F'
U R U L' U2 F' L
U' R U B' L' U2 F'
U' R U B2 L' U2 F'
U' R U' R' F2 R F'
U' R U' D F2 R F
U' R U' D' F2 R F
U' R U' D2 F2 R F
U' R U' F2 R D F
U' R U' F2 R D' F
U' R U' F2 R D2 F
U' R U' F2 R F D
U' R U' F2 R F D'
U' R U' F2 R F D2
U' R U' F2 R' F R2
U' R U' F2 R2 F R'
U' R U' F2 D R F
U' R U' F2 D' R F
U' R U' F2 D2 R F
R U B L' U2 F' L'
U' R D U L' U2 F'
U' R D U' F2 R F
U' R D F2 U' R F
R U B2 L' U2 L2 F'
R U B2 L' U2 F' L2
U' R D' U L' U2 F'
L' U' L R U' D F'
L' U' L R U' D' F'
L' U' L R U' D2 F'
L' U' L R U' F' D
L' U' L R U' F' D'
L' U' L R U' F' D2
L' U' L R D U' F'
L' U' L R D' U' F'
L' U' L R D2 U' F'
U' R D' U' F2 R F
U' R D' F2 U' R F
U' R D2 U L' U2 F'
L' U' L' R U' D F'
L' U' L' R U' D' F'
L' U' L' R U' D2 F'
L' U' L' R U' F' D
L' U' L' R U' F' D'
L' U' L' R U' F' D2
L' U' L' R D U' F'
L' U' L' R D' U' F'
L' U' L' R D2 U' F'
U' R D2 U' F2 R F
U' R D2 F2 U' R F
L' U' L2 R U' D F'
L' U' L2 R U' D' F'
L' U' L2 R U' D2 F'
L' U' L2 R U' F' D
L' U' L2 R U' F' D'
L' U' L2 R U' F' D2
L' U' L2 R D U' F'
L' U' L2 R D' U' F'
L' U' L2 R D2 U' F'
L' U' R L U' D F'
L' U' R L U' D' F'
L' U' R L U' D2 F'
L' U' R L U' F' D
L' U' R L U' F' D'
L' U' R L U' F' D2
L' U' R L D U' F'
L' U' R L D' U' F'
L' U' R L D2 U' F'
L' U' R L' U' D F'
L' U' R L' U' D' F'
L' U' R L' U' D2 F'
L' U' R L' U' F' D
L' U' R L' U' F' D'
L' U' R L' U' F' D2
L' U' R L' D U' F'
L' U' R L' D' U' F'
L' U' R L' D2 U' F'
L' U' R L2 U' D F'
L' U' R L2 U' D' F'
L' U' R L2 U' D2 F'
L' U' R L2 U' F' D
L' U' R L2 U' F' D'
L' U' R L2 U' F' D2
L' U' R L2 D U' F'
L' U' R L2 D' U' F'
L' U' R L2 D2 U' F'
L' U' R U B U2 F'
L' U' R U B' U2 F'
L' U' R U B2 U2 F'
L' U' R U' L' F' L
L' U' R U' L2 F' L2
L' U' R U' D F' D
L' U' R U' D F' D'
L' U' R U' D F' D2
L' U' R U' D' F' D
L' U' R U' D' F' D'
L' U' R U' D' F' D2
L' U' R U' D2 F' D
L' U' R U' D2 F' D'
L' U' R U' D2 F' D2
L' U' R U' F2 D F
L' U' R U' F2 D' F
L' U' R U' F2 D2 F
L' U' R D L U' F'
L' U' R D L' U' F'
L' U' R D L2 U' F'
L' U' R D U' F' D
L' U' R D U' F' D'
L' U' R D U' F' D2
L' U' R D' L U' F'
L' U' R D' L' U' F'
L' U' R D' L2 U' F'
L' U' R D' U' F' D
L' U' R D' U' F' D'
L' U' R D' U' F' D2
L2 U' R U L U2 F'
L' U' R D2 L U' F'
L' U' R D2 L' U' F'
L' U' R D2 L2 U' F'
L' U' R D2 U' F' D
L' U' R D2 U' F' D'
L' U' R D2 U' F' D2
F2 R F' D' B2 L B'
F2 R F' B2 D' L B'
L U' R U L2 U2 F'
L U' R U' D2 F' R2
L U' R U' F' D2 R2
U' R F2 U' R D F
U' R F2 U' R D' F
U' R F2 U' R D2 F
U' R F2 U' R F D
U' R F2 U' R F D'
U' R F2 U' R F D2
U' R F2 U' R' F R2
U' R F2 U' R2 F R'
U' R F2 U' D R F
U' R F2 U' D' R F
U' R F2 U' D2 R F
L U' R D F2 U' F
U' R F2 D U' R F
L U' R D2 U' F' R2
U' R F2 D' U' R F
U' R F2 D2 U' R F
L' U' R2 D R' U' F'
L' U' R2 D' R' U' F'
L' U' R2 D2 R' U' F'
F2 R B2 L D' F' B2
F2 R B2 L D' B2 F'
F2 R B2 L F' D' B2
L' U' D2 L' R U' F
F2 R B2 F' D' L B'
L' U' D2 R L' U' F
R U' F2 R D2 F L2
R U' F2 R F D2 L2
L' U' B R B' U' F'
L' U' B2 R B2 U' F'
U' R' F' R2 U' F' R
U' R' F2 R2 U' F' R'
L' U2 B U R U' F'
L' U2 B' U R U' F'
L' U2 B2 U R U' F'
U' R2 F' R' U' F' R
U' R2 F2 R' U' F' R2
F2 U L' R' U R2 F'
F2 U L' U R D F'
F2 U L' U R D' F'
F2 U L' U R D2 F'
F2 U L' U R F' D
F2 U L' U R F' D'
F2 U L' U R F' D2
F2 U L' B U R F'
F2 U L' B' U R F'
F2 U L' B2 U R F'
F2 U R' L' U R2 F'
L' D B' U' L R U'
L' D B' U' R L U'
F2 U D2 L' U R F
R' D' L' F2 B U2 L'
R' D' L' B R F2 U2
R' D' L' B F2 U2 L'
R' D' R F2 U2 R F'
F2 U B L' U R F'
F2 U B' L' U R F'
F2 U B2 L' U R F'
D2 U' R U L' U2 F
B' U' R U L' U2 F'
B' U' R U' F2 R F
F' U' R U' F' B R
F' U' R U' B F' R
B2 U' R U L' U2 F'
B2 U' R U' F2 R F
R' D' F2 B U2 L' R
R' D' F2 B U2 R L'
B' U' R F2 U' R F
R' D' B L' R F2 U2
R' D' B L' F2 U2 L'
R' D' B R L' F2 U2
B2 U' R F2 U' R F
R' D' B R F2 U2 R
B U' R U L' U2 F'
B U' R U' F2 R F
R' D' B F2 U2 L' R
R' D' B F2 U2 R L'
B U' R F2 U' R F
L2 D2 L B' U' R U'
U' D2 R U L' U2 F
L' D2 U' L' R U' F
L' D2 U' R L' U' F
F2 U2 L' U L R F'
F2 U2 L' U R L F'
F2 U2 L' U R F' L
L' D2 F2 U L' U F
F2 U2 R U' L' U F'
U' F' R U' F' R B
U' F' U' R F' B R
U' F' U' R B F' R
L' F' U' R U' F' B
L' F' U' R U' B F'
U' F' U' F' R F' B
U' F' U' F' R B F'
U2 F2 L' U L R F'
U2 F2 L' U R L F'
U2 F2 L' U R F' L
U2 F2 R U' L' U F'
R' F2 R2 U' L' F' R'
D2 F2 U L' U R F
L' F2 U L' R U F'
L' F2 U R L' U F'
L' F2 U D2 L' U F
U' F2 U2 L' U R F'
U2 F2 U' L' U R F'
R F2 U R' U2 R2 F
R F2 U R' U2 F R2
B' D2 L' U' R U' F
B2 D2 L' U' R U' F
R F2 U' R D2 F L2
R F2 U' R F D2 L2
B D2 L' U' R U' F
L' F2 D2 U L' U F
F2 D2 U L' U R F
R' B L' R U' R U'
D2 B L' U' R U' F
R' B L' D R U2 B2
R' B L' D' R F2 U2
R' B L' D' F2 U2 L'
R F2 B2 U' R F L
R' B R L' U' R U'
L B L2 U' R U' F'
L' B U' L R U' F'
L' B U' L' R U' F'
L' B U' L2 R U' F'
L' B U' R L U' F'
L' B U' R L' U' F'
L' B U' R L2 U' F'
L' B U' R U' D F'
L' B U' R U' D' F'
L' B U' R U' D2 F'
L' B U' R U' F' D
L' B U' R U' F' D'
L' B U' R U' F' D2
L' B U' R D U' F'
L' B U' R D' U' F'
L' B U' R D2 U' F'
R' B D L' R U2 B2
R' B D R L' U2 B2
R' B D' L' R F2 U2
R' B D' L' F2 U2 L'
R' B D' R L' F2 U2
R' B D' R F2 U2 R
R' B D' F2 U2 L' R
R' B D' F2 U2 R L'
F2 B U L' U R F'
D2 B' L' U' R U' F
D B' L' U' L2 R U'
D B' L' U' R L2 U'
L B' L2 U' R U' F'
L' B' U' L R U' F'
L' B' U' L' R U' F'
L' B' U' L2 R U' F'
L' B' U' R L U' F'
L' B' U' R L' U' F'
L' B' U' R L2 U' F'
L' B' U' R U' D F'
L' B' U' R U' D' F'
L' B' U' R U' D2 F'
L' B' U' R U' F' D
L' B' U' R U' F' D'
L' B' U' R U' F' D2
L' B' U' R D U' F'
L' B' U' R D' U' F'
L' B' U' R D2 U' F'
F2 B' U L' U R F'
D2 B2 L' U' R U' F
L B2 L2 U' R U' F'
L' B2 U' L R U' F'
L' B2 U' L' R U' F'
L' B2 U' L2 R U' F'
L' B2 U' R L U' F'
L' B2 U' R L' U' F'
L' B2 U' R L2 U' F'
L' B2 U' R U' D F'
L' B2 U' R U' D' F'
L' B2 U' R U' D2 F'
L' B2 U' R U' F' D
L' B2 U' R U' F' D'
L' B2 U' R U' F' D2
L' B2 U' R D U' F'
L' B2 U' R D' U' F'
L' B2 U' R D2 U' F'
L2 B2 U' R U' F' R2
B' F2 U L' U R F'
R B2 U L' U2 L2 F'
R B2 U L' U2 F' L2
B2 F2 U L' U R F'
F2 B2 U L' U R F'
R B2 U' L D2 F' R2
R B2 U' L F' D2 R2
B F2 U L' U R F'
R B2 U' F2 R F L
R B2 F2 U' R F L
