F2 L' F B' U
F2 L' B' F U
F2 L' D F B' U
F2 L' D B' F U
F2 L' D' F B' U
F2 L' D' B' F U
F2 L' D2 F B' U
F2 L' D2 B' F U
F2 L' F D B' U
F2 L' F D' B' U
F2 L' F D2 B' U
F2 L' F B' U D
F2 L' F B' U D'
F2 L' F B' U D2
F2 L' F B' D U
F2 L' F B' D' U
F2 L' F B' D2 U
F L' F B' L' U
F2 L' B' D F U
F2 L' B' D' F U
F2 L' B' D2 F U
F2 L' B' F U D
F2 L' B' F U D'
F2 L' B' F U D2
F2 L' B' F D U
F2 L' B' F D' U
F2 L' B' F D2 U
F L' B' F L' U
L U2 R F B' U'
L U2 R B' F U'
L U2 B' R F U'
L' F D2 B' L U
F2 D' L' B' U L
D' F2 L' B' U L
L' F2 B' L' F' U
F2 B L' F B' U
F2 B L' B' F U
F2 B' L' F B' U
F2 B' L' B' F U
L' B' F2 L' F' U
B' F2 L' F B' U
B' F2 L' B' F U
R B2 L F B' U'
B2 F2 L' F B' U
R B2 L B' F U'
F2 B2 L' F B' U
B2 F2 L' B' F U
F2 B2 L' B' F U
B F2 L' F B' U
B F2 L' B' F U
D' F2 L' B' U L D2
D' F2 L' B' U D L
D' F2 L' B' U D' L
D' F2 L' B' U D2 L
D' F2 L' B' D U L
D' F2 L' B' D' U L
D' F2 L' B' D2 U L
D' F2 L' B' F U L
D' F2 L' B' F' U L
D' F2 L' B' F2 U L
L2 F2 L' U2 F B' U'
L2 F2 L' U2 B' F U'
F' D' F' L' B' U L
D F2 L' F' B' U L'
D F2 L' B' F' U L'
B' D' F2 L' B' U L
B2 D' F2 L' B' U L
B D' F2 L' B' U L
F2 D' B' L' B' U L2
F D' B' U L B' R'
U2 F2 U2 L' F B' U
U2 F2 U2 L' B' F U
D2 F2 D L' B' U L
D' F2 D L' F B' U
D' F2 D L' B' F U
F2 D2 L' D B' U L
L' F2 D B' L' F' U
L' F2 D' B' L' F' U
D2 F2 D2 L' F B' U
D2 F2 D2 L' B' F U
L' F2 D2 B' L' F' U
L' F2 B L' F' B2 U
L' F2 B L' B2 F' U
D' F2 B' L' B' U L2
L' F2 B' L F' L2 U
L' F2 B' L' D F' U
L' F2 B' L' D' F' U
L' F2 B' L' D2 F' U
L' F2 B' L' F' U D
L' F2 B' L' F' U D'
L' F2 B' L' F' U D2
L' F2 B' L' F' D U
L' F2 B' L' F' D' U
L' F2 B' L' F' D2 U
L' F2 B' L2 F' L U
L' F2 B' D L' F' U
L' F2 B' D' L' F' U
L' F2 B' D2 L' F' U
L' F2 B2 L' F' B U
L' F2 B2 L' B F' U
R F2 B2 L F B' U'
R F2 B2 L B' F U'
L B R F B2 L U'
L B R B2 F L U'
B' F L' F B' L' U
B' F L' B' F L' U
F2 B L' D F B' U
F2 B L' D B' F U
F2 B L' D' F B' U
F2 B L' D' B' F U
B2 F L' F B' L' U
F2 B L' D2 F B' U
F2 B L' D2 B' F U
F2 B L' F D B' U
F2 B L' F D' B' U
F2 B L' F D2 B' U
F2 B L' F B' U D
F2 B L' F B' U D'
F2 B L' F B' U D2
F2 B L' F B' D U
F2 B L' F B' D' U
F2 B L' F B' D2 U
B2 F L' B' F L' U
F2 B L' B' D F U
F2 B L' B' D' F U
F2 B L' B' D2 F U
F2 B L' B' F U D
F2 B L' B' F U D'
F2 B L' B' F U D2
F2 B L' B' F D U
F2 B L' B' F D' U
F2 B L' B' F D2 U
L B U2 R F B2 U'
L B U2 R B2 F U'
B F L' F B' L' U
B F L' B' F L' U
F B L' F B' L' U
L B U2 B2 R F U'
F B L' B' F L' U
L' B F2 L' F' B2 U
L' B F2 L' B2 F' U
L' B' L F2 L' F U
L' B' L' U2 R B U'
L' B' L2 U2 R B' U'
L' B' L2 U2 B' R U'
R B' L F B' L U'
R B' L B' F L U'
F2 B D' L' B' U L
L B' R F U2 R' U
F2 B' L' D F B' U
F2 B' L' D B' F U
F2 B' L' D' F B' U
F2 B' L' D' B' F U
F2 B' L' D2 F B' U
F2 B' L' D2 B' F U
F2 B' L' F D B' U
F2 B' L' F D' B' U
F2 B' L' F D2 B' U
F2 B' L' F B' U D
F2 B' L' F B' U D'
F2 B' L' F B' U D2
F2 B' L' F B' D U
F2 B' L' F B' D' U
F2 B' L' F B' D2 U
F2 B' L' B' D F U
F2 B' L' B' D' F U
F2 B' L' B' D2 F U
F2 B' L' B' F U D
F2 B' L' B' F U D'
F2 B' L' B' F U D2
F2 B' L' B' F D U
F2 B' L' B' F D' U
F2 B' L' B' F D2 U
L' B' U2 R U2 F U
F B' L' F B' L' U
F B' L' B' F L' U
L' B' D F2 L' F' U
L' B' D' F2 L' F' U
L' B' D2 F2 L' F' U
L' B' F D' L U B'
D' B' F2 L' B' U L2
L' B' F2 L F' L2 U
L' B' F2 L' D F' U
L' B' F2 L' D' F' U
L' B' F2 L' D2 F' U
L' B' F2 L' F' U D
L' B' F2 L' F' U D'
L' B' F2 L' F' U D2
L' B' F2 L' F' D U
L' B' F2 L' F' D' U
L' B' F2 L' F' D2 U
L' B' F2 L2 F' L U
L' B' F2 D L' F' U
L' B' F2 D' L' F' U
L' B' F2 D2 L' F' U
F2 B' D' L' B' U L
R B2 L D F B' U'
R B2 L D B' F U'
R B2 L D' F B' U'
R B2 L D' B' F U'
R B2 L D2 F B' U'
R B2 L D2 B' F U'
R B2 L F D B' U'
R B2 L F D' B' U'
R B2 L F D2 B' U'
R B2 L F B' U' D
R B2 L F B' U' D'
R B2 L F B' U' D2
R B2 L F B' D U'
R B2 L F B' D' U'
R B2 L F B' D2 U'
R B2 L B' D F U'
R B2 L B' D' F U'
R B2 L B' D2 F U'
R B2 L B' F U' D
R B2 L B' F U' D'
R B2 L B' F U' D2
R B2 L B' F D U'
R B2 L B' F D' U'
R B2 L B' F D2 U'
B' F2 L' D F B' U
B' F2 L' D B' F U
B' F2 L' D' F B' U
B' F2 L' D' B' F U
B' F2 L' D2 F B' U
B' F2 L' D2 B' F U
B' F2 L' F D B' U
B' F2 L' F D' B' U
B' F2 L' F D2 B' U
B' F2 L' F B' U D
B' F2 L' F B' U D'
B' F2 L' F B' U D2
B' F2 L' F B' D U
B' F2 L' F B' D' U
B' F2 L' F B' D2 U
B' F2 L' B' D F U
B' F2 L' B' D' F U
B' F2 L' B' D2 F U
B' F2 L' B' F U D
B' F2 L' B' F U D'
B' F2 L' B' F U D2
B' F2 L' B' F D U
B' F2 L' B' F D' U
B' F2 L' B' F D2 U
B2 F2 L' D F B' U
B2 F2 L' D B' F U
B2 F2 L' D' F B' U
B2 F2 L' D' B' F U
B2 F2 L' D2 F B' U
F2 B2 L' D F B' U
B2 F2 L' D2 B' F U
F2 B2 L' D B' F U
B2 F2 L' F D B' U
B2 F2 L' F D' B' U
B2 F2 L' F D2 B' U
F2 B2 L' D' F B' U
B2 F2 L' F B' U D
B2 F2 L' F B' U D'
B2 F2 L' F B' U D2
B2 F2 L' F B' D U
B2 F2 L' F B' D' U
B2 F2 L' F B' D2 U
F2 B2 L' D' B' F U
F2 B2 L' D2 F B' U
F2 B2 L' D2 B' F U
F2 B2 L' F D B' U
F2 B2 L' F D' B' U
F2 B2 L' F D2 B' U
F2 B2 L' F B' U D
F2 B2 L' F B' U D'
F2 B2 L' F B' U D2
F2 B2 L' F B' D U
F2 B2 L' F B' D' U
F2 B2 L' F B' D2 U
B2 F2 L' B' D F U
B2 F2 L' B' D' F U
B2 F2 L' B' D2 F U
B2 F2 L' B' F U D
B2 F2 L' B' F U D'
B2 F2 L' B' F U D2
B2 F2 L' B' F D U
B2 F2 L' B' F D' U
B2 F2 L' B' F D2 U
F2 B2 L' B' D F U
F2 B2 L' B' D' F U
F2 B2 L' B' D2 F U
F2 B2 L' B' F U D
F2 B2 L' B' F U D'
F2 B2 L' B' F U D2
F2 B2 L' B' F D U
F2 B2 L' B' F D' U
F2 B2 L' B' F D2 U
B F2 L' D F B' U
B F2 L' D B' F U
B F2 L' D' F B' U
B F2 L' D' B' F U
B F2 L' D2 F B' U
B F2 L' D2 B' F U
B F2 L' F D B' U
B F2 L' F D' B' U
B F2 L' F D2 B' U
B F2 L' F B' U D
B F2 L' F B' U D'
B F2 L' F B' U D2
B F2 L' F B' D U
B F2 L' F B' D' U
B F2 L' F B' D2 U
B F2 L' B' D F U
B F2 L' B' D' F U
B F2 L' B' D2 F U
B F2 L' B' F U D
B F2 L' B' F U D'
B F2 L' B' F U D2
B F2 L' B' F D U
B F2 L' B' F D' U
B F2 L' B' F D2 U
F B2 L' F B' L' U
F B2 L' B' F L' U
L B2 U2 B R F U'
R B2 D L F U' L'
B' F2 D' L' B' U L
B2 F2 D' L' B' U L
F2 B2 D' L' B' U L
L' B2 F2 L' F' B U
L' B2 F2 L' B F' U
B F2 D' L' B' U L
R B2 F L F B' U'
R B2 F L B' F U'
R B2 F' L F B' U'
R B2 F' L B' F U'
R B2 F2 L F B' U'
R B2 F2 L B' F U'
