U2 L U' L2 U' B'
U2 L D F U2 F
U2 L D' F B2 U2
U2 L D' B2 F U2
U2 L F U' L2 U'
U2 L F U2 D F2
U2 L F D U2 F2
U2 L F D' B2 U2
L U2 D L' F2 B'
L U2 D L' B' F2
L D U2 L' F2 B'
L D U2 L' B' F2
L D' B2 U2 L' B'
U2 L D' B2 F U2 D'
U2 L D' B2 F U2 D2
U2 L D' B2 F D U2
U2 L D' B2 F D' U2
U2 L D' B2 F D2 U2
U2 L D2 F U R2 U
U2 L D2 F U2 D' F2
U2 L D2 F D B2 U2
U2 L D2 F D' U2 F2
U2 L F U D2 R2 U
U2 L F U' L2 U' D
U2 L F U' L2 U' D'
U2 L F U' L2 U' D2
U2 L F U' L2 D U'
U2 L F U' L2 D' U'
U2 L F U' L2 D2 U'
U2 L F U2 D F2 D
U2 L F U2 D F2 D'
U2 L F U2 D F2 D2
U2 L F U2 F D F2
U2 L F U2 F' D F2
U2 L F U2 F2 D F2
U2 L F D U2 F2 D
U2 L F D U2 F2 D'
U2 L F D U2 F2 D2
U2 L F D B U2 F2
U2 L F D B' U2 F2
U2 L F D B2 U2 F2
U2 L F D' B2 U2 D
U2 L F D' B2 U2 D'
U2 L F D' B2 U2 D2
U2 L F D' B2 D U2
U2 L F D' B2 D' U2
U2 L F D' B2 D2 U2
U2 L F D2 U R2 U
U2 L F B U' L2 U'
U2 L F B U2 D F2
U2 L F B D U2 F2
U2 L F B D' B2 U2
U2 L F B' U' L2 U'
U2 L F B' U2 D F2
U2 L F B' D U2 F2
U2 L F B' D' B2 U2
U2 L F B2 U' L2 U'
U2 L F B2 U2 D F2
U2 L F B2 D U2 F2
U2 L F B2 D' B2 U2
U2 L F2 D F' U2 F'
U2 L F2 D' F' B2 U2
U2 L F2 D' B2 F' U2
U2 L B U' L2 U' B'
U2 L B D F U2 F
R L' U L2 U2 L' B
R L' U L2 U2 B L'
U2 L B D' F B2 U2
U2 L B D' B2 F U2
U2 L B F U' L2 U'
U2 L B F U2 D F2
U2 L B F D U2 F2
U2 L B F D' B2 U2
R' L' U F' L2 U2 L'
L' R' U F' L2 U2 L'
U2 L B' U' L2 U' B'
R2 L' U' L B2 R' B
R L' U' L B2 R' B'
U2 L B' D F U2 F
U2 L B' D' F B2 U2
U2 L B' D' B2 F U2
R' L' U' D2 L R2 B
L' R' U' D2 L R2 B
R' L' U' D2 R2 L B
L' R' U' D2 R2 L B
U2 L B' F U' L2 U'
U2 L B' F U2 D F2
U2 L B' F D U2 F2
U2 L B' F D' B2 U2
R2 L' U' D2 L R2 B'
R2 L' U' D2 L B' R2
R2 L' U' D2 R2 L B'
R L' U' D2 L B R2
U2 L B2 U' L2 U' B'
U2 L B2 D F U2 F
U2 L B2 D' F B2 U2
U2 L B2 D' B2 F U2
U2 L B2 F U' L2 U'
U2 L B2 F U2 D F2
U2 L B2 F D U2 F2
U2 L B2 F D' B2 U2
B2 L' R U' L B R2
B L' R U' L B R'
R L' D F2 U' L B
R' L' D2 U' L R2 B
R' L' D2 U' R2 L B
L' R' D2 U' L R2 B
L' R' D2 U' R2 L B
U L' U L F L U2
R2 L' D2 U' L R2 B'
R2 L' D2 U' L B' R2
R2 L' D2 U' R2 L B'
R L' D2 U' L B R2
U L' U' R D2 B R2
U L' U' R B D2 R2
U L' U' R' D2 R2 B
U L' U' D2 R B R
U L' D F R F U'
U L' D2 R U' R B
U L' D2 U' R B R
U L' D2 F R U' R
U L' F R U L2 U2
U L' F R U' D2 R2
U L' F R D F2 U'
U L' F R D2 U' R2
U L' F D R F2 U'
U L' F D2 R U' R
L' R2 U' L B2 R' B
U L' F' D F2 R U'
L' R2 U' D2 L R2 B'
L' R2 U' D2 L B' R2
L' R2 U' D2 R2 L B'
L' R2 D2 U' L R2 B'
L' R2 D2 U' L B' R2
L' R2 D2 U' R2 L B'
R' U L' U L2 F' U2
R' U L' U F' L2 U2
R' U L' U' D2 R2 B
R' U L' D2 U' R2 B
R U L' U L2 U2 B
R U L' U' D2 B R2
R U L' U' B D2 R2
R U L' D F2 U' B
R U L' D2 U' B R2
B2 R L' U' L B R2
L U D2 R2 U L' B'
B R L' U' L B R'
B2 R U L' U' B R2
B R U L' U' B R'
L' U' L B2 D' R' B
L U' L2 U' L' B' L2
B R F2 B R' D' F2
B2 R B R2 U L' U'
B2 R B U L' U' R2
B R B R' U L' U'
B R B U L' U' R'
B R B F2 R' D' F2
B2 R' U L' R2 U' B
B2 R' U L' U F' U2
B2 R' U R2 L' U' B
L U' B' L2 R' U' L
L U' B' R' L2 U' L
R' U2 L D F' U2 F'
R' U2 L D' F' B2 U2
R' U2 L D' B2 F' U2
R' U2 L F' U' L2 U'
R' U2 L F' U2 D F2
R' U2 L F' D U2 F2
R' U2 L F' D' B2 U2
R U2 L U' L2 U' B
R U2 L U2 D F2 B
R U2 L U2 D B F2
R U2 L U2 B D F2
R U2 L D U2 F2 B
R U2 L D U2 B F2
R U2 L D' B2 U2 B'
L U2 L' B' U L' U'
L U2 D L' F2 D B'
L U2 D L' F2 D' B'
L U2 D L' F2 D2 B'
L U2 D L' F2 B' D
L U2 D L' F2 B' D'
L U2 D L' F2 B' D2
L U2 D L' B' F2 D
L U2 D L' B' F2 D'
L U2 D L' B' F2 D2
L U2 D L2 F2 L B'
L U2 D B L' F2 B'
L U2 D B L' B' F2
L U2 D B' L' F2 B'
L U2 D B' L' B' F2
L U2 D B2 L' F2 B'
L U2 D B2 L' B' F2
L U2 D' L' D2 F2 B'
L U2 D' L' D2 B' F2
L U2 D2 L' D' F2 B'
L U2 D2 L' D' B' F2
L U2 D2 L' B' D' F2
R' U2 F' D' L B' U2
L U2 F2 D F2 L' B'
L U2 B D L' F2 B'
L U2 B D L' B' F2
L U2 B' D L' F2 B'
L U2 B' D L' B' F2
L U2 B2 D L' F2 B'
L U2 B2 D L' B' F2
L D L F2 L2 R B
L D L F2 R L2 B
L D L F2 R B L2
L' D R F2 U' L B
L D R U2 L' F2 B
L D R U2 L' B F2
L D R U2 B L' F2
U2 D L U' L2 U' B'
U2 D L D F U2 F
U2 D L D' F B2 U2
U2 D L D' B2 F U2
U2 D L F U' L2 U'
U2 D L F U2 D F2
U2 D L F D U2 F2
U2 D L F D' B2 U2
B2 U L' R2 U' R B
B2 U L' U' R B R2
L D U2 L' F2 D B'
L D U2 L' F2 D' B'
L D U2 L' F2 D2 B'
L D U2 L' F2 B' D
L D U2 L' F2 B' D'
L D U2 L' F2 B' D2
L D U2 L' B' F2 D
L D U2 L' B' F2 D'
L D U2 L' B' F2 D2
L D U2 L2 F2 L B'
B2 U L' F R U' R2
L D U2 B L' F2 B'
L D U2 B L' B' F2
B U L' U' R B R'
L D U2 B' L' F2 B'
L D U2 B' L' B' F2
L D U2 B2 L' F2 B'
L D U2 B2 L' B' F2
L' D F2 R U' L B
B2 U R2 L' U' R B
L D B U2 L' F2 B'
L D B U2 L' B' F2
L D B' U2 L' F2 B'
L D B' U2 L' B' F2
B U D L' F R U'
L D B2 U2 L' F2 B'
L D B2 U2 L' B' F2
L D' R B2 U2 B' L'
U2 D' L U' L2 U' B'
U2 D' L D F U2 F
U2 D' L D' F B2 U2
U2 D' L D' B2 F U2
U2 D' L F U' L2 U'
U2 D' L F U2 D F2
U2 D' L F D U2 F2
U2 D' L F D' B2 U2
L D' U2 L' D2 F2 B'
L D' U2 L' D2 B' F2
F2 U' R U' L F U2
L D' F2 R B2 U2 B'
L D' F2 B2 R U2 B
L D' B2 R U2 L' B
L D' B2 R U2 B L'
L D' B2 U2 L' D B'
L D' B2 U2 L' D' B'
L D' B2 U2 L' D2 B'
L D' B2 U2 L' B' D
L D' B2 U2 L' B' D'
L D' B2 U2 L' B' D2
L D' B2 U2 D L' B'
L D' B2 U2 D' L' B'
L D' B2 U2 D2 L' B'
L D' B2 U2 B L' B'
L D' B2 U2 B' L' B'
L D' B2 U2 B2 L' B'
L D' B2 D U2 L' B'
L D' B2 D' U2 L' B'
L D' B2 D2 U2 L' B'
L D' B2 F2 R U2 B
D' U2 L U' L2 U' B'
D' U2 L D F U2 F
D2 U2 L U' L2 U' B'
D' U2 L D' F B2 U2
D' U2 L D' B2 F U2
D' U2 L F U' L2 U'
D' U2 L F U2 D F2
D' U2 L F D U2 F2
D' U2 L F D' B2 U2
D2 U2 L D F U2 F
D2 U2 L D' F B2 U2
D2 U2 L D' B2 F U2
D2 U2 L F U' L2 U'
D2 U2 L F U2 D F2
D2 U2 L F D U2 F2
D2 U2 L F D' B2 U2
L' D2 R U' L B R
U2 D2 L U' L2 U' B'
U2 D2 L D F U2 F
U2 D2 L D' F B2 U2
U2 D2 L D' B2 F U2
U2 D2 L F U' L2 U'
U2 D2 L F U2 D F2
U2 D2 L F D U2 F2
U2 D2 L F D' B2 U2
D U2 L U' L2 U' B'
D U2 L D F U2 F
D U2 L D' F B2 U2
D U2 L D' B2 F U2
D U2 L F U' L2 U'
D U2 L F U2 D F2
D U2 L F D U2 F2
D U2 L F D' B2 U2
L D2 U R2 U L' B'
F' U2 L F U' L' U'
L D2 U2 L' D' F2 B'
L D2 U2 L' D' B' F2
L D2 U2 L' B' D' F2
F' U2 D' L F B' U2
F' U2 D' L B' F U2
U2 F L F U R U
U F R U L U2 F
F' D R F' B2 R' B'
F' D R B D2 F' R
F' D R B2 F' R' B'
F' D R2 B2 R' F' B
F' D R2 B2 R' B F'
R' F' L U2 D' L' F
R' F' L D' U2 L' F
B D U L' F R U'
U2 F' L F U' L' U'
F' D B R F' B R'
F' D B R B F' R'
F' D B2 R F' B R2
F' D B2 R B F' R2
F' D' L B' U2 L' B'
R' F' D' L B' U2 L'
U2 F' D' L F B' U2
U2 F' D' L B' F U2
F' D' U2 L F B' U2
F' D' U2 L B' F U2
L F2 R U' L2 U' B
L F2 R U2 D F2 B
L F2 R U2 D B F2
L F2 R U2 B D F2
L F2 R D U2 F2 B
L F2 R D U2 B F2
L F2 R D' B2 U2 B'
L F2 U2 D F2 L' B'
L F2 D R U2 F2 B
L F2 D R U2 B F2
L F2 D U2 F2 L' B'
L F2 D' R B2 U2 B'
L F2 D' B2 R U2 B
R2 F2 B2 R' D' F2 B
R2 F2 B2 R' D' B F2
R2 F2 B2 R' B D' F2
R F2 B2 R' D' F2 B'
R F2 B2 R' D' B' F2
R F2 B2 R' B' D' F2
B D2 F' D R F' B
B D2 F' D R B F'
R B U D L' F U'
L B U2 D L' F2 B'
L B U2 D L' B' F2
L B D U2 L' F2 B'
L B D U2 L' B' F2
R B D U L' F U'
L B D' B2 U2 L' B'
R B D2 F' D R F'
L B' U2 D L' F2 B'
L B' U2 D L' B' F2
L B' D U2 L' F2 B'
L B' D U2 L' B' F2
L B' D' B2 U2 L' B'
B2 F' D R F' B R2
B2 F' D R B F' R2
R2 B2 L' U' L R' B
R2 B2 L' U' R' L B
R B2 L' U' L R' B'
R B2 L' U' R' L B'
R2 B2 R' U L' U' B
R2 B2 R' B U L' U'
B2 F2 R B R2 D' F2
F2 B2 R B R2 D' F2
B2 F2 R' U' R2 U B
F2 B2 R' U' R2 U B
R2 B2 U L' U' R' B
R B2 R' B' U L' U'
L B2 U2 D L' F2 B'
L B2 U2 D L' B' F2
L B2 D U2 L' F2 B'
L B2 D U2 L' B' F2
F' B2 D R F' B R2
F' B2 D R B F' R2
L B2 D' B2 U2 L' B'
R2 B2 F2 R' D' F2 B
R2 B2 F2 R' D' B F2
R2 B2 F2 R' B D' F2
R B2 F2 R' D' F2 B'
R B2 F2 R' D' B' F2
R B2 F2 R' B' D' F2
