U' L U2 F R B'
U' L U2 F B' R
U' L U2 B' F R
U' L' F B' U2 R'
U' L' B' F U2 R'
B U2 L F U' B'
U' B L U2 F B'
U' B L U2 B' F
R B U2 L U' B'
R' D U2 F' R L' U'
D2 U R' F B R F2
D2 U R' B F R F2
D2 U R2 F R F' B
D2 U R2 F R B F'
D2 U F R' F' B R2
D2 U F R' B F' R2
D2 U F2 R' F' B R
D2 U F2 R' B F' R
D2 U' L' B' U2 R' B
R D' B U2 L R' U'
R D' B U2 R' L U'
R D' B' L R' B2 U
R D' B' R' L B2 U
D2 U' B' U2 R' F' B
D2 U' B' U2 R' B F'
R2 D2 L B' R' U B
U' D2 L' B' U2 R' B
U D2 R' F B R F2
B U2 L R F U' B'
B U2 L R' F U' B'
B U2 L R2 F U' B'
U D2 R' B F R F2
B U2 L D F U' B'
B U2 L D' F U' B'
B U2 L D2 F U' B'
B U2 L F R U' B'
B U2 L F R' U' B'
B U2 L F R2 U' B'
B U2 L F U' D B'
B U2 L F U' D' B'
B U2 L F U' D2 B'
B U2 L F U' B' D
B U2 L F U' B' D'
B U2 L F U' B' D2
B U2 L F D U' B'
B U2 L F D' U' B'
B U2 L F D2 U' B'
U D2 R2 F R F' B
U D2 R2 F R B F'
U D2 F R' F' B R2
U D2 F R' B F' R2
B U2 R L F U' B'
U D2 F2 R' F' B R
U D2 F2 R' B F' R
B U2 R' L F U' B'
U' D2 B' U2 R' F' B
U' D2 B' U2 R' B F'
B U2 R2 L F U' B'
U' F L U2 F R B'
U' F L U2 F B' R
U' F L U2 B' F R
R D2 B' R' B2 U B'
U' F L' F B' U2 R'
U' F L' B' F U2 R'
B U2 F L F U' B'
B U2 F' L F U' B'
B U2 F2 L F U' B'
U' F B L U2 F B'
U' F B L U2 B' F
B' D R' U2 F' R U'
U F D2 R' F' B R2
U F D2 R' B F' R2
U' F' L U2 F R B'
U' F' L U2 F B' R
U' F' L U2 B' F R
U' F' L' F B' U2 R'
U' F' L' B' F U2 R'
U F' L' F U2 L F
U F' U2 L' F B' U2
U F' U2 L' B' F U2
U' F' B L U2 F B'
U' F' B L U2 B' F
U' F2 L U2 F R B'
U' F2 L U2 F B' R
U' F2 L U2 B' F R
U' F2 L' F B' U2 R'
U' F2 L' B' F U2 R'
B' D2 R B R2 U B
U' F2 B L U2 F B'
U' F2 B L U2 B' F
B' D2 R' U2 F' U' B
U F2 D2 R' F' B R'
U F2 D2 R' B F' R'
U F2 D2 B R' F' B
U F2 D2 B R' B F'
U' B L U2 D F B'
U' B L U2 D B' F
U' B L U2 D' F B'
U' B L U2 D' B' F
U' B L U2 D2 F B'
U' B L U2 D2 B' F
U' B L U2 F D B'
U' B L U2 F D' B'
U' B L U2 F D2 B'
U' B L U2 F B' D
U' B L U2 F B' D'
U' B L U2 F B' D2
U' B L U2 B' D F
U' B L U2 B' D' F
U' B L U2 B' D2 F
U' B L U2 B' F D
U' B L U2 B' F D'
U' B L U2 B' F D2
U' B L D U2 F B'
U' B L D U2 B' F
U' B L D' U2 F B'
U' B L D' U2 B' F
U' B L D2 U2 F B'
U' B L D2 U2 B' F
U' B L F' U2 F2 B'
U' B L F' U2 B' F2
U' B L F2 U2 F' B'
U' B L F2 U2 B' F'
U' B L B U2 F B2
U' B L B U2 B2 F
U' B L B2 U2 F B
U' B L B2 U2 B F
U' B L' F L2 U2 F
U' B L' F B' L2 U2
U' B L' B' L2 U2 B'
U' B L' B' F L2 U2
R B L' U2 L2 U' B'
R B R U2 L U' B'
R B R' U2 L U' B'
R B R2 U2 L U' B'
R' B U2 L F' U' B'
D' B U2 L R' F U'
D' B U2 L F R' U'
D' B U2 R' L F U'
R' B U2 F' L U' B'
L B U2 L F U' B2
R B U2 L R U' B'
R B U2 L R' U' B'
R B U2 L R2 U' B'
R B U2 L U' D B'
R B U2 L U' D' B'
R B U2 L U' D2 B'
R B U2 L U' B' D
R B U2 L U' B' D'
R B U2 L U' B' D2
R B U2 L D U' B'
R B U2 L D' U' B'
R B U2 L D2 U' B'
R B U2 R L U' B'
R B U2 R' L U' B'
R B U2 R2 L U' B'
U' B F L U2 F B'
U' B F L U2 B' F
U' B F' L U2 F B'
U' B F' L U2 B' F
U' B F2 L U2 F B'
U' B F2 L U2 B' F
U' B' L U2 R' F B'
U' B' L U2 R' B' F
U' B' L U2 F R' B'
D' B' L R B R2 U
D' B' L R' U2 F' U'
R2 B' L R' B U B2
R B' L R' B2 U B
D' B' R L B R2 U
D2 B' R B R2 U B
D' B' R' L U2 F' U'
D2 B' R' U2 F' U' B
R2 B' R' L B U B2
D B' R' U2 F' R U'
L B' R B R2 U B'
R2 B' R' B L U B'
R B' R' L B2 U B
R B' R' B2 L U B'
U' B' U2 D2 R' F' B
U' B' U2 D2 R' B F'
U' B' D2 U2 R' F' B
U' B' D2 U2 R' B F'
U' B2 L' F B' L U2
U' B2 L' B' F L U2
D' B2 R B L R' U
D' B2 R B R' L U
L B2 R B R' U B
