D L U L2 R2 F
D L U L2 F R2
D L U R2 L2 F
D L' R2 D' F B2
D L' R2 D' B2 F
D L' R2 F D' B2
D L' F R2 D' B2
D R2 L' D' F B2
D R2 L' D' B2 F
D R2 L' F D' B2
D L' F' R2 F2 D' B2
D' L' F2 R D' F' B2
D' L' F2 R D' B2 F'
D' L' F2 R F' D' B2
D L' B R2 D' F B2
D L' B R2 D' B2 F
D L' B R2 F D' B2
D L' B F R2 D' B2
D L' B' R2 D' F B2
D L' B' R2 D' B2 F
D L' B' R2 F D' B2
D L' B' F R2 D' B2
D L' B2 R2 D' F B2
D L' B2 R2 D' B2 F
D L' B2 R2 F D' B2
D L' B2 F R2 D' B2
B2 L2 R' F2 U' L F
L U L' D L' R2 F
L U L' D L' F R2
L U L' D R2 L' F
B2 L2 F2 R' U' L F
D R L U L2 R F
D R L U R L2 F
D R L' D' R F B2
D R L' D' R B2 F
D R L' D' B2 R F
D R' L U L2 R' F
D R' L U L2 F R'
D R' L U R' L2 F
D R' L' D' R' F B2
D R' L' D' R' B2 F
D R' L' D' F R' B2
D R' L' F R' D' B2
D R' L' F D' R' B2
B2 R' L2 F2 U' L F
B2 R' F2 U R B U2
B2 R' B L F2 U' L2
D R2 L' D' F B2 D
D R2 L' D' F B2 D'
D R2 L' D' F B2 D2
D R2 L' D' B2 D F
D R2 L' D' B2 D' F
D R2 L' D' B2 D2 F
D R2 L' D' B2 F D
D R2 L' D' B2 F D'
D R2 L' D' B2 F D2
D R2 L' D2 F D B2
D R2 L' F U' L2 U
D R2 L' F D' B2 D
D R2 L' F D' B2 D'
D R2 L' F D' B2 D2
D R2 L' F B D' B2
D R2 L' F B' D' B2
D R2 L' F B2 D' B2
D R2 L' F2 D' F' B2
D R2 L' F2 D' B2 F'
D R2 L' B D' F B2
D R2 L' B D' B2 F
D R2 L' B F D' B2
D R2 L' B' D' F B2
D R2 L' B' D' B2 F
D R2 L' B' F D' B2
D R2 L' B2 D' F B2
D R2 L' B2 D' B2 F
D R2 L' B2 F D' B2
D R2 U' L U L2 F
L U2 F2 B' L U' L
L U2 B' L F2 U' L
R' D L U L2 R2 F
R' D L U L2 F R2
R' D L U R2 L2 F
L U2 B' F2 L U' L
R2 D L U L2 R2 F
R2 D L U L2 F R2
R2 D L U R2 L2 F
R' D L' R2 D' F B2
R' D L' R2 D' B2 F
R' D L' R2 F D' B2
R D L U L2 R2 F
R D L U L2 F R2
R D L U R2 L2 F
R' D L' F R2 D' B2
L2 D L' U R2 F L2
L2 D L' U F L2 R2
L2 D L' U F R2 L2
R2 D L' R2 D' F B2
R2 D L' R2 D' B2 F
R2 D L' R2 F D' B2
R2 D L' F R2 D' B2
R D L' R2 D' F B2
R D L' R2 D' B2 F
R D L' R2 F D' B2
R D L' F R2 D' B2
L' D R D2 R F' B2
L' D R D2 R B2 F'
L' D R D2 B2 R F'
R' D R2 L' D' F B2
R' D R2 L' D' B2 F
R' D R2 L' F D' B2
R2 D R2 L' D' F B2
R2 D R2 L' D' B2 F
R2 D R2 L' F D' B2
R D R2 L' D' F B2
R D R2 L' D' B2 F
R D R2 L' F D' B2
F2 R2 B2 R' U' L F
U' D L U L2 R2 F
U' D L U L2 F R2
U' D L U R2 L2 F
U2 D L U L2 R2 F
U2 D L U L2 F R2
U2 D L U R2 L2 F
D U L U L2 R2 F
D U L U L2 F R2
D U L U R2 L2 F
U' D L' R2 D' F B2
U' D L' R2 D' B2 F
U' D L' R2 F D' B2
U D L U L2 R2 F
U D L U L2 F R2
U D L U R2 L2 F
U' D L' F R2 D' B2
U2 D L' R2 D' F B2
U2 D L' R2 D' B2 F
U2 D L' R2 F D' B2
D U L' R2 D' F B2
D U L' R2 D' B2 F
D U L' R2 F D' B2
U2 D L' F R2 D' B2
U D L' R2 D' F B2
U D L' R2 D' B2 F
U D L' R2 F D' B2
D U L' F R2 D' B2
U D L' F R2 D' B2
U' D R2 L' D' F B2
U' D R2 L' D' B2 F
U' D R2 L' F D' B2
U2 D R2 L' D' F B2
U2 D R2 L' D' B2 F
U2 D R2 L' F D' B2
D U R2 L' D' F B2
D U R2 L' D' B2 F
D U R2 L' F D' B2
U D R2 L' D' F B2
U D R2 L' D' B2 F
U D R2 L' F D' B2
L' D' R D2 F' R2 B
L' D' R F' B2 D2 R2
L' D' R B2 D2 F' R2
L' D' R B2 F' D2 R2
D U' L U L2 R2 F
D U' L U L2 F R2
D U' L U R2 L2 F
D U' L' R2 D' F B2
D U' L' R2 D' B2 F
D U' L' R2 F D' B2
D U' L' F R2 D' B2
B' U' L' D R2 F2 B'
B' U' L' D R2 B' F2
B' U' L' D F2 R2 B'
B' U' L' D F2 B' R2
B' U' L' D B' R2 F2
B' U' L' D B' F2 R2
B' U' L' B' D R2 F2
B' U' L' B' D F2 R2
D U' R2 L' D' F B2
D U' R2 L' D' B2 F
D U' R2 L' F D' B2
L' D' B2 R D2 F' R2
L' D' B2 R F' D2 R2
L' D' B2 R' D2 R2 F'
D U2 L U L2 R2 F
D U2 L U L2 F R2
D U2 L U R2 L2 F
D U2 L' R2 D' F B2
D U2 L' R2 D' B2 F
D U2 L' R2 F D' B2
D U2 L' F R2 D' B2
D U2 R2 L' D' F B2
D U2 R2 L' D' B2 F
D U2 R2 L' F D' B2
L F' R2 B R' U L2
L2 F2 D' R U' L F'
L2 F2 D' R U' F' L
L B R' U L2 D R2
L B R' U2 F2 U' L2
L B R' D F2 U R2
L B D R' F2 U R'
L B D F2 R' U R'
L B D2 R' B2 U L
L B' L F2 R U' L
F2 B' L U R U2 B
D B' U' L' R2 F B'
D B' U' L' R2 B' F
D B' U' L' F R2 B'
D B' U' L' F B' R2
D B' U' L' B' R2 F
D B' U' L' B' F R2
D B' U' R2 L' F B'
D B' U' R2 L' B' F
L B' U2 L F2 U' L
L B' U2 F2 L U' L
B' F2 L U R U2 B
D B2 R' U' L' R' F
D B2 R' U' L' F R'
D B2 R' U' R' L' F
