U' L' U' B L
U2 B L D F2
U2 L D F2 B L
U2 L D B L F2
U2 L D B F2 L
U2 L B D L F2
U2 L B D F2 L
U' L' U' L B L
U' L' U' L' B L
U' L' U' L2 B L
U' L' U' D B L
U' L' U' D' B L
U' L' U' D2 B L
U' L' U' B L D
U' L' U' B L D'
U' L' U' B L D2
U' L' U' B D L
U' L' U' B D' L
U' L' U' B D2 L
U' L' D U' B L
U' L' D' U' B L
U' L' D2 U' B L
U' D L' U' B L
U2 D B L D F2
U' D' L' U' B L
D2 U' L' U' B L
D' U' L' U' B L
D U' L' U' B L
U2 D' B L D F2
U' D2 L' U' B L
D' U2 B L D F2
U2 D2 B L D F2
D2 U2 B L D F2
D U2 B L D F2
F' U2 D' L' F B
F' U2 D' L' B F
F' U2 D' B L' F
F' U2 B D' L' F
U F U B L F
R2 F' U2 D' L' F
R2 F' D' U2 L' F
F' D' U2 L' F B
F' D' U2 L' B F
F' D' U2 B L' F
U2 B L U L2 U'
U2 B L D F2 D
U2 B L D F2 D'
U2 B L D F2 D2
U2 B L F D F2
U2 B L F' D F2
U2 B L F2 D F2
U2 B U L' U' L2
U2 B D L D F2
U2 B D' L D F2
U2 B D2 L D F2
U' L' D' U' L B L
U' L' D' U' L' B L
U' L' D' U' L2 B L
U' L' D' U' B L D
U' L' D' U' B L D'
U' L' D' U' B L D2
U' L' D' U' B D L
U' L' D' U' B D' L
U' L' D' U' B D2 L
U' L' D2 U' L B L
U' L' D2 U' L' B L
U' L' D2 U' L2 B L
U' L' D2 U' B L D
U' L' D2 U' B L D'
U' L' D2 U' B L D2
U' L' D2 U' B D L
U' L' D2 U' B D' L
U' L' D2 U' B D2 L
B' L' F' U' B2 L' R'
B' L' F' U' B2 R' L'
U2 L' B L U L' U'
U2 L' B L2 D L' F2
U' L' B R B U' B'
U' L' B' R B U' B
U' L' B' U' B L B
U L' B' R2 F' U' B2
U L' B' U2 B U B
U L' B' D' R2 F' U'
U' L' B2 R B U' B2
U' L' B2 U' B L B2
U2 L2 U L U' B L
U L2 U2 L B' U' B2
U' L2 D L U' B L
U' L2 D' L U' B L
L' U L U F U B
U' L2 D2 L U' B L
B L2 F' L' D F2 R
U2 L2 B L2 D L' F
U2 L2 B D L' F L2
U' R L' D B R' U'
U' R L' B R' U' B
F R U' R' U' F' B
F R U' R' U' B F'
U' R D L' B R' U'
U' R D B L' R' U'
U' R D B R' L' U'
R2 U' L' U F' U2 L'
U' R B L' R' U' B
U' R B R' L' U' B
F' R' U2 D' L' F B'
F' R' U2 D' L' B' F
F' R' D' U2 L' F B'
F' R' D' U2 L' B' F
U R' F2 R U B L
L U2 D F2 B L R
L U2 D F2 B R L
L U2 D B F2 L R
L U2 D B F2 R L
L U2 B D F2 L R
L U2 B D F2 R L
L' U2 B2 U R' B' L
L D L' U2 F2 B L
L D L' U2 B L F2
L D L' U2 B F2 L
D' R2 F' U2 D' L' F
D2 R2 F' U2 D' L' F
F2 R2 F' R U R2 U
F2 R2 F' R U2 D' F2
F2 R2 F' R D B2 U2
F2 R2 F' R D' U2 F2
D' R2 F' D' U2 L' F
D2 R2 F' D' U2 L' F
F R2 F' R' U' L' U'
D R2 F' U2 D' L' F
D R2 F' D' U2 L' F
U2 D L D F2 B L
U2 D L D B L F2
U2 D L D B F2 L
U' D L' U' L B L
U' D L' U' L' B L
U' D L' U' L2 B L
U' D L' U' D B L
U' D L' U' D' B L
U' D L' U' D2 B L
U' D L' U' B L D
U' D L' U' B L D'
U' D L' U' B L D2
U' D L' U' B D L
U' D L' U' B D' L
U' D L' U' B D2 L
U2 D L B D L F2
U2 D L B D F2 L
U' D L' D U' B L
U' D L' D' U' B L
U' D L' D2 U' B L
L D U2 F2 B L R
L D U2 F2 B R L
L D U2 B F2 L R
L D U2 B F2 R L
B U L' B' U2 B U
R2 D F' U2 D' L' F
L D F' L' F' B R
L D F' L' B F' R
R2 D F' D' U2 L' F
L D F' B L' F' R
L D B F' L' F' R
D' U F U B L F
D2 U F U B L F
D U F U B L F
U D F U B L F
U2 D B L U L2 U'
U2 D B L D F2 D
U2 D B L D F2 D'
U2 D B L D F2 D2
U2 D B L F D F2
U2 D B L F' D F2
U2 D B L F2 D F2
U2 D B U L' U' L2
U2 D B D L D F2
U2 D B D' L D F2
U2 D B D2 L D F2
U2 D' L D F2 B L
U2 D' L D B L F2
U2 D' L D B F2 L
U' D' L' U' L B L
D' U' L' U' L B L
U' D' L' U' L' B L
D' U' L' U' L' B L
U' D' L' U' L2 B L
D' U' L' U' L2 B L
U' D' L' U' D B L
D' U' L' U' D B L
U' D' L' U' D' B L
D' U' L' U' D' B L
U' D' L' U' D2 B L
D' U' L' U' D2 B L
U' D' L' U' B L D
U' D' L' U' B L D'
U' D' L' U' B L D2
D' U' L' U' B L D
D' U' L' U' B L D'
D' U' L' U' B L D2
U' D' L' U' B D L
U' D' L' U' B D' L
U' D' L' U' B D2 L
D' U' L' U' B D L
D' U' L' U' B D' L
D' U' L' U' B D2 L
D2 U' L' U' L B L
D2 U' L' U' L' B L
D2 U' L' U' L2 B L
D2 U' L' U' D B L
D2 U' L' U' D' B L
D2 U' L' U' D2 B L
D2 U' L' U' B L D
D2 U' L' U' B L D'
D2 U' L' U' B L D2
D2 U' L' U' B D L
D2 U' L' U' B D' L
D2 U' L' U' B D2 L
U' D' L' D U' B L
D' U' L' D U' B L
U' D' L' D' U' B L
U2 D' L B D L F2
D' U' L' D' U' B L
U2 D' L B D F2 L
D2 U' L' D U' B L
U' D' L' D2 U' B L
D' U' L' D2 U' B L
D2 U' L' D' U' B L
D2 U' L' D2 U' B L
D U' L' U' L B L
D U' L' U' L' B L
D U' L' U' L2 B L
D U' L' U' D B L
D U' L' U' D' B L
D U' L' U' D2 B L
D U' L' U' B L D
D U' L' U' B L D'
D U' L' U' B L D2
D U' L' U' B D L
D U' L' U' B D' L
D U' L' U' B D2 L
D U' L' D U' B L
D U' L' D' U' B L
D U' L' D2 U' B L
B' U' L' R B U' B
B' U' L' U' B L B
B2 U' L' U' B L B'
B' U' L' B U' B L
B U' L' U2 L F U
B' U' R L' B U' B
R2 D' F' U2 D' L' F
R2 D' F' D' U2 L' F
B' U' R B L' U' B
B2 U' R B L' U' B2
U D' F U B L F
U2 D' B L U L2 U'
U2 D' B L D F2 D
U2 D' B L D F2 D'
U2 D' B L D F2 D2
U2 D' B L F D F2
U2 D' B L F' D F2
U2 D' B L F2 D F2
U2 D' B U L' U' L2
U2 D' B D L D F2
U2 D' B D' L D F2
U2 D' B D2 L D F2
D' U2 L D F2 B L
D' U2 L D B L F2
D' U2 L D B F2 L
D2 U2 L D F2 B L
D2 U2 L D B L F2
D2 U2 L D B F2 L
D' U2 L B D L F2
D' U2 L B D F2 L
D2 U2 L B D L F2
D2 U2 L B D F2 L
U' D2 L' U' L B L
U' D2 L' U' L' B L
U' D2 L' U' L2 B L
U' D2 L' U' D B L
U' D2 L' U' D' B L
U2 D2 L D F2 B L
U2 D2 L D B L F2
U' D2 L' U' D2 B L
U2 D2 L D B F2 L
U' D2 L' U' B L D
U' D2 L' U' B L D'
U' D2 L' U' B L D2
U' D2 L' U' B D L
U' D2 L' U' B D' L
U' D2 L' U' B D2 L
U' D2 L' D U' B L
U' D2 L' D' U' B L
U' D2 L' D2 U' B L
U2 D2 L B D L F2
U2 D2 L B D F2 L
D U2 L D F2 B L
D U2 L D B L F2
D U2 L D B F2 L
D U2 L B D L F2
D U2 L B D F2 L
B' U' B L' U' B L
B2 U' B2 L' U' B L
U D2 F U B L F
R2 D2 F' U2 D' L' F
R2 D2 F' D' U2 L' F
D' U2 B L U L2 U'
D' U2 B L D F2 D
D' U2 B L D F2 D'
D' U2 B L D F2 D2
D' U2 B L F D F2
D' U2 B L F' D F2
D' U2 B L F2 D F2
D2 U2 B L U L2 U'
D2 U2 B L D F2 D
D2 U2 B L D F2 D'
D2 U2 B L D F2 D2
D2 U2 B L F D F2
D2 U2 B L F' D F2
D2 U2 B L F2 D F2
D' U2 B U L' U' L2
D2 U2 B U L' U' L2
D' U2 B D L D F2
D' U2 B D' L D F2
D' U2 B D2 L D F2
D2 U2 B D L D F2
U2 D2 B L U L2 U'
U2 D2 B L D F2 D
U2 D2 B L D F2 D'
U2 D2 B L D F2 D2
U2 D2 B L F D F2
U2 D2 B L F' D F2
U2 D2 B L F2 D F2
D2 U2 B D' L D F2
D2 U2 B D2 L D F2
U2 D2 B U L' U' L2
D U2 B L U L2 U'
D U2 B L D F2 D
D U2 B L D F2 D'
D U2 B L D F2 D2
D U2 B L F D F2
D U2 B L F' D F2
D U2 B L F2 D F2
U2 D2 B D L D F2
U2 D2 B D' L D F2
U2 D2 B D2 L D F2
D U2 B U L' U' L2
D U2 B D L D F2
D U2 B D' L D F2
D U2 B D2 L D F2
F' U2 D B D2 L' F
F' U2 D' L' D F B
F' U2 D' L' D B F
F' U2 D' L' D' F B
F' U2 D' L' D' B F
F' U2 D' L' D2 F B
F' U2 D' L' D2 B F
F' U2 D' L' F D B
F' U2 D' L' F D' B
F' U2 D' L' F D2 B
F' U2 D' L' F B D
F' U2 D' L' F B D'
F' U2 D' L' F B D2
F' U2 D' L' B D F
F' U2 D' L' B D' F
F' U2 D' L' B D2 F
F' U2 D' L' B F D
F' U2 D' L' B F D'
F' U2 D' L' B F D2
F' U2 D' B L' D F
F' U2 D' B L' D' F
F' U2 D' B L' D2 F
F' U2 D' B L' F D
F' U2 D' B L' F D'
F' U2 D' B L' F D2
F' U2 D' B' L' F B2
F' U2 D' B' L' B2 F
F2 U2 F D' L' F B
F2 U2 F D' L' B F
F2 U2 F D' B L' F
F2 U2 F B D' L' F
B' U2 B L D F2 B
B' U2 B L D B F2
B' U2 B L B D F2
B2 U2 B L B2 D F2
F' U2 B D' L' D F
F' U2 B D' L' D' F
F' U2 B D' L' D2 F
F' U2 B D' L' F D
F' U2 B D' L' F D'
F' U2 B D' L' F D2
R F R F' U' L' U'
F2 U2 B F D' L' F
F U2 F2 B L' D F2
F U2 B L' D F2 L'
F U2 B F2 L' D F2
F' U2 B2 D' B' L' F
U F U L F B L
U F U L B F L
U F U D B L F
U F U D' B L F
U F U D2 B L F
U F U F B L F
U F U F' B L F
U F U F2 B L F
U F U B L D F
U F U B L D' F
U F U B L D2 F
U F U B L F D
U F U B L F D'
U F U B L F D2
U F U B D L F
U F U B D' L F
U F U B D2 L F
U F U B F L F
U F U B F' L F
U F U B F2 L F
U F D U B L F
U F D' U B L F
F' D R' B U2 L' B'
U F D2 U B L F
F' D U2 B D2 L' F
L2 F' L' D F2 B R
L2 F' L' D B F2 R
L2 F' L' B D F2 R
R2 F' R U2 D' L' F
R2 F' R D' U2 L' F
R2 F' R' U2 D' L' F
R2 F' R' D' U2 L' F
L' F' U L U2 L2 B
L' F' U L U2 B L2
R2 F' R2 U2 D' L' F
R2 F' R2 D' U2 L' F
L' F' U' L' D2 B R2
L' F' U' L' B D2 R2
L' F' U' B2 R' B' L'
R' F' U2 D' L' F B'
R' F' U2 D' L' B' F
D2 F' U2 D' L' F B
D2 F' U2 D' L' B F
D' F' U2 D' L' F B
D' F' U2 D' L' B F
D2 F' U2 D' B L' F
D' F' U2 D' B L' F
D2 F' U2 B D' L' F
D' F' U2 B D' L' F
F' D' L' F B2 R' B'
R2 F' U2 D' L' D F
R2 F' U2 D' L' D' F
R2 F' U2 D' L' D2 F
R2 F' U2 D' L' F D
R2 F' U2 D' L' F D'
R2 F' U2 D' L' F D2
F' D' L' B2 R' F B'
F' D' L' B2 R' B' F
F' D' L' B2 F R' B'
D F' U2 D' L' F B
D F' U2 D' L' B F
D F' U2 D' B L' F
D F' U2 B D' L' F
R2 F' D R U2 L' F'
R' F' D' U2 L' F B'
R' F' D' U2 L' B' F
R2 F' D R' B U2 L'
D2 F' D' U2 L' F B
D2 F' D' U2 L' B F
D' F' D' U2 L' F B
D' F' D' U2 L' B F
D2 F' D' U2 B L' F
D' F' D' U2 B L' F
U2 F' D' L' F B L
U2 F' D' L' B F L
U2 F' D' L2 B L F
R2 F' D' R U2 L' F
R2 F' D' R' U2 L' F
R2 F' D' R2 U2 L' F
U2 F' D' B L' F L2
R2 F' D' U2 L' D F
R2 F' D' U2 L' D' F
R2 F' D' U2 L' D2 F
R2 F' D' U2 L' F D
R2 F' D' U2 L' F D'
R2 F' D' U2 L' F D2
D F' D' U2 L' F B
D F' D' U2 L' B F
D F' D' U2 B L' F
R2 F' D' B U2 L' F
F' D' R' U2 L' F B'
F' D' R' U2 L' B' F
R2 F' D' B' U2 L' F
R2 F' D' B2 U2 L' F
U2 F' B L2 D' L' F
U2 F' B D' L' F L2
R2 F' B U2 D' L' F
R2 F' B D' U2 L' F
L' F' B2 U' R' B' L'
R2 F' B' U2 D' L' F
R2 F' B' D' U2 L' F
R2 F' B2 U2 D' L' F
F' D' U2 L' D F B
F' D' U2 L' D B F
F' D' U2 L' D' F B
F' D' U2 L' D' B F
F' D' U2 L' D2 F B
F' D' U2 L' D2 B F
F' D' U2 L' F D B
F' D' U2 L' F D' B
F' D' U2 L' F D2 B
F' D' U2 L' F B D
F' D' U2 L' F B D'
F' D' U2 L' F B D2
F' D' U2 L' B D F
F' D' U2 L' B D' F
F' D' U2 L' B D2 F
F' D' U2 L' B F D
F' D' U2 L' B F D'
F' D' U2 L' B F D2
R2 F' B2 D' U2 L' F
F' D' U2 B L' D F
F' D' U2 B L' D' F
F' D' U2 B L' D2 F
F' D' U2 B L' F D
F' D' U2 B L' F D'
F' D' U2 B L' F D2
F' D' U2 B' L' F B2
F' D' U2 B' L' B2 F
F' D' B' L' F B2 R'
F' D' B' L' B2 R' F
F' D' B' L' B2 F R'
F' D' B' U2 L' F B2
F' D' B' U2 L' B2 F
F' D' B' U2 B2 L' F
F' D' B2 U2 B' L' F
U2 F2 B L U' R U
U2 F2 B U' R U L
U' B L' R B U' B'
U2 B L R D R' F2
U2 B L R D F2 R'
U2 B L R' D R F2
U2 B L U L2 U' D
U2 B L U L2 U' D'
U2 B L U L2 U' D2
U2 B L U L2 D U'
U2 B L U L2 D' U'
U2 B L U L2 D2 U'
U2 B L U' D2 R2 U
U2 B L U2 D' B2 U2
U2 B L D L' F2 L
U2 B L D L2 F2 L2
U2 B L D R F2 R'
U2 B L D R2 F2 R2
U2 B L D F D F
U2 B L D F D' F
U2 B L D F D2 F
U2 B L D F' D F'
U2 B L D F' D' F'
U2 B L D F' D2 F'
U2 B L D' U2 B2 U2
U2 B L D' F D2 F2
U2 B L D' F' D2 F2
U2 B L D' F2 D2 F2
U2 B L D2 U' R2 U
U2 B L D2 F D' F2
U2 B L D2 F' D' F2
U2 B L D2 F2 D' F2
U2 B L F U L2 U'
U2 B L F D F2 D
U2 B L F D F2 D'
U2 B L F D F2 D2
U2 B L F' U L2 U'
U2 B L F' D F2 D
U2 B L F' D F2 D'
U2 B L F' D F2 D2
U2 B L F2 U L2 U'
U2 B L F2 D F2 D
U2 B L F2 D F2 D'
U2 B L F2 D F2 D2
U' B L' B' U' B L
U2 B L B D F2 B'
U2 B L B D B' F2
U2 B L B' D F2 B
U2 B L B' D B F2
U2 B L' F L2 D F2
U2 B L' F' L2 D F2
U2 B L' F2 L2 D F2
U' B R L' B U' B'
U2 B L2 U L U' L2
U2 B L2 D L' D F2
U2 B L2 D' L' D F2
U2 B L2 D2 L' D F2
U2 B R L D R' F2
U2 B R L D F2 R'
U2 B R' L D R F2
U2 B U L' U' L2 D
U2 B U L' U' L2 D'
U2 B U L' U' L2 D2
U2 B U L' D' B2 U'
U2 B U L' B U' L2
U2 B U L' B' U' L2
U2 B U L' B2 U' L2
U2 B U D L' U' L2
U2 B U D' L' U' L2
U2 B U D2 L' U' L2
U2 B U' F U L F
U2 B U' F2 R U L
U2 B D L U L2 U'
U2 B D L D F2 D
U2 B D L D F2 D'
U2 B D L D F2 D2
U2 B D L F D F2
U2 B D L F' D F2
U2 B D L F2 D F2
U2 B D U L' U' L2
U2 B D' L U L2 U'
U2 B D' L D F2 D
U2 B D' L D F2 D'
U2 B D' L D F2 D2
U2 B D' L F D F2
U2 B D' L F' D F2
U2 B D' L F2 D F2
U2 B D' U L' U' L2
L B D F' L' F' R
U2 B D2 L U L2 U'
U2 B D2 L D F2 D
U2 B D2 L D F2 D'
U2 B D2 L D F2 D2
U2 B D2 L F D F2
U2 B D2 L F' D F2
U2 B D2 L F2 D F2
U2 B D2 U L' U' L2
U2 B F' L2 D' L' F
U2 B F' D' L' F L2
U2 B F2 L U' R U
R2 B F' U2 D' L' F
R2 B F' D' U2 L' F
U2 B F2 U' R U L
U' B' L' R B U' B
U' B' L' U' B L B
U' B' L' B U' B L
U2 B' L B2 D L F2
U2 B' L B2 D F2 L
U' B' R L' B U' B
U' B' R B L' U' B
U2 B' U L' U' B2 L
B' F' U2 B2 D' L' F
B2 F' U2 D' B' L' F
F' B' U2 B2 D' L' F
B2 F' U2 B' D' L' F
R2 B' F' U2 D' L' F
R2 B' F' D' U2 L' F
U' B2 L' U' B L B'
B2 F' D' U2 B' L' F
U' B2 R B L' U' B2
F' B2 U2 D' B' L' F
F' B2 U2 B' D' L' F
F' B2 D' U2 B' L' F
L' B2 F' U' R' B' L'
R2 B2 F' U2 D' L' F
R2 B2 F' D' U2 L' F
