D' F U2 F R
D' L2 B' R' F2 L'
D L2 B2 U2 B R'
F U R B R U
L2 D B2 U2 B R'
L2 D' B' R' F2 L'
F U2 D' F R F
D' F L2 B' U2 R'
F U2 F D' R F2
F U2 F' D' F2 R
D' F U2 R F R
D' F U2 R' F R
D' F U2 R2 F R
D' F U2 D F R
D' F U2 D' F R
D' F U2 D2 F R
D' F U2 F R D
D' F U2 F R D'
D' F U2 F R D2
D' F U2 F D R
D' F U2 F D' R
D' F U2 F D2 R
D' F D U2 F R
D' F D' U2 F R
D' F D2 U2 F R
D F B L B U2
D' F B' U2 R' F
D' F B' U2 F R'
B' D F B2 L U2
B D F L B2 U2
B D F B2 U2 R'
F D B L B U2
B' D B2 F L U2
B D B2 F U2 R'
B' D' F U2 R' F
B' D' F U2 F R'
F D' U2 F R F
F D' B L U2 F2
F D' B' U2 R' F2
F D' B' U2 F2 R'
B F L U R2 U
B F L U2 D' F2
B F L D B2 U2
F B L U R2 U
B F L D' U2 F2
F B L U2 D' F2
F B L D B2 U2
F B L D' U2 F2
D B F L B U2
B' F U R2 U R
B' F U2 D' R' F2
B' F U2 D' F2 R'
B' F U2 D' F2 R'
B' F D B2 L U2
B' F D' U2 R' F2
B' F D' U2 F2 R'
B F D L B2 U2
F B D L B2 U2
B F D B2 U2 R'
B F D' L U2 F2
F B D B2 U2 R'
F B D' L U2 F2
L2 B' D' R' F2 L'
D' B' F U2 R' F
D' B' F U2 F R'
F B' U R2 U R
F B' U2 D' R' F2
F B' U2 D' F2 R'
F B' D B2 L U2
F B' D' U2 R' F2
F B' D' U2 F2 R'
D B2 D2 F L' U2
L2 D' F U2 F B' R
L2 D' F U2 B' F R
F U' L' U2 R2 B' U
F U' L' U2 B' R2 U
F U' L' D2 L2 F U'
L' D' B L F U2 F
U2 D' F R' F R2 B
L2 D' B L U2 F2 B2
L2 D' B L U2 B2 F2
L2 D' B U2 F2 B2 R'
L2 D' B U2 B2 R' F2
L2 D' B U2 B2 F2 R'
L' D' B' R' F2 L' B'
L2 D' B' L R' F2 L'
L2 D' B' L' R' F2 L'
L2 D' B' L2 R' F2 L'
L2 D' B' R' L F2 L'
L2 D' B' R' L' F2 L'
L2 D' B' R' L2 F2 L'
L2 D' B' R' F2 L' D
L2 D' B' R' F2 L' D'
L2 D' B' R' F2 L' D2
L2 D' B' R' F2 D L'
L2 D' B' R' F2 D' L'
L2 D' B' R' F2 D2 L'
U2 D' F2 R2 D2 B R'
U2 D' F2 U2 F' U2 R
U2 D' F2 D2 R2 B R'
L2 D' B2 U2 F2 B R'
L2 D' B2 U2 B R' F2
L2 D' B2 U2 B F2 R'
B' U' D2 L2 U' R' B'
F U' D' L F U' F
F U' D' F U' F R
F U' D2 L F L U'
U' D2 L F L U' B'
D U2 L2 B' L2 F R
D' U2 F R' F R2 B
D' U2 F2 R2 D2 B R'
D' U2 F2 U2 F' U2 R
D' U2 F2 D2 R2 B R'
D U2 F' D2 F2 R B2
D U2 F' D2 F2 B2 R
D U2 F' D2 B2 F2 R
F U2 R U' R B U
F U2 R F D R F'
L2 D2 B' R' D F2 L'
F U2 R' F R D' F2
L2 D2 B' D R' F2 L'
R2 D2 B' U L2 R' B'
R2 D2 B' U R' L2 B'
B' U2 D' R F2 R2 B
D2 F L U' L F U'
B' U2 D' F2 R2 B R
D' F L B L B' U2
F U2 D F R D2 F2
F U2 D F D2 R F2
F U2 D F' D2 F2 R
F U2 D' R F R F
D' F L' B L U2 F
F U2 D' R' F R F
D' F L' B' U2 R' F'
F U2 D' R2 F R F
F U2 D' F R D F
F U2 D' F R D' F
F U2 D' F R D2 F
F U2 D' F R F D
F U2 D' F R F D'
F U2 D' F R F D2
F U2 D' F R' F R2
F U2 D' F R2 F R'
F U2 D' F D R F
F U2 D' F D' R F
F U2 D' F D2 R F
D F L B L B U2
D' F L2 D B' U2 R'
D' F L2 D' B' U2 R'
D' F L2 D2 B' U2 R'
D' F L2 B L B2 U2
F U2 D2 F R D F2
F U2 D2 F D R F2
D' F L2 B' L U2 R'
D' F L2 B' L' U2 R'
D' F L2 B' L2 U2 R'
F U2 D2 F' D F2 R
D' F L2 B' U2 R' D
D' F L2 B' U2 R' D'
D' F L2 B' U2 R' D2
D' F L2 B' U2 D R'
D' F L2 B' U2 D' R'
D' F L2 B' U2 D2 R'
D' F L2 B' D U2 R'
D' F L2 B' D' U2 R'
D' F L2 B' D2 U2 R'
D F L' B L B U2
F U2 F R U' R U
F U2 F U' R2 U R'
F U2 F D R D2 F2
F U2 F D' R F2 D
F U2 F D' R F2 D'
F U2 F D' R F2 D2
F U2 F D' R' F2 R2
F U2 F D' R2 F2 R'
F U2 F D2 R D F2
D F L2 B L B U2
F U2 F' D' R F2 R
F U2 F' D' R' F2 R
F U2 F' D' R2 F2 R
F U2 F' D' F2 R D
F U2 F' D' F2 R D'
F U2 F' D' F2 R D2
F U2 F' D' F2 D R
F U2 F' D' F2 D' R
F U2 F' D' F2 D2 R
D' F U R B U F
D' F U B U F R
D' F U B' U F R
D' F U B2 U F R
D2 F U' L F L U'
D' F U2 R D F R
D' F U2 R D' F R
D' F U2 R D2 F R
D' F U2 R F R D
D' F U2 R F R D'
D' F U2 R F R D2
D' F U2 R F D R
D' F U2 R F D' R
D' F U2 R F D2 R
D' F U2 R' D F R
D' F U2 R' D' F R
D' F U2 R' D2 F R
D' F U2 R' F R D
D' F U2 R' F R D'
D' F U2 R' F R D2
D' F U2 R' F D R
D' F U2 R' F D' R
D' F U2 R' F D2 R
D' F U2 R2 D F R
D' F U2 R2 D' F R
D' F U2 R2 D2 F R
D' F U2 R2 F R D
D' F U2 R2 F R D'
D' F U2 R2 F R D2
D' F U2 R2 F D R
D' F U2 R2 F D' R
D' F U2 R2 F D2 R
D' F U2 D R F R
D' F U2 D R' F R
D' F U2 D R2 F R
D' F U2 D F R D
D' F U2 D F R D'
D' F U2 D F R D2
D' F U2 D F D R
D' F U2 D F D' R
D' F U2 D F D2 R
B' D L B2 L U2 B'
D' F U2 D' R F R
D' F U2 D' R' F R
D' F U2 D' R2 F R
D' F U2 D' F R D
D' F U2 D' F R D'
D' F U2 D' F R D2
D2 F U2 D F R F
D' F U2 D' F D R
D' F U2 D' F D' R
D' F U2 D' F D2 R
D' F U2 D2 R F R
D' F U2 D2 R' F R
D' F U2 D2 R2 F R
D' F U2 D2 F R D
D' F U2 D2 F R D'
D' F U2 D2 F R D2
D' F U2 D2 F D R
D' F U2 D2 F D' R
D' F U2 D2 F D2 R
D' F U2 F R2 D R'
D' F U2 F R2 D' R'
D' F U2 F R2 D2 R'
D' F U2 F D R D
D' F U2 F D R D'
D' F U2 F D R D2
D' F U2 F D' R D
D' F U2 F D' R D'
D' F U2 F D' R D2
D' F U2 F D2 R D
D' F U2 F D2 R D'
D' F U2 F D2 R D2
D' F U2 F B R B'
D' F U2 F B2 R B2
D2 F U2 F R D F2
D' F U2 F' R F2 R
D' F U2 F' R' F2 R
D' F U2 F' R2 F2 R
D2 F U2 F D R F2
D2 F U2 F' D F2 R
D' F U2 B F R B'
D' F U2 B2 F R B2
D' F D L2 B' U2 R'
B' D L' B2 L F U2
D' F D U2 R F R
D' F D U2 R' F R
D' F D U2 R2 F R
D' F D U2 F R D
D' F D U2 F R D'
D' F D U2 F R D2
D' F D U2 F D R
D' F D U2 F D' R
D' F D U2 F D2 R
D2 F D U2 F R F
D2 F D B L U2 F2
D' F D B' U2 R' F
D' F D B' U2 F R'
D F U2 D2 F R F
D2 F D B' U2 R' F2
D2 F D B' U2 F2 R'
D F U2 F R D2 F2
D F U2 F D2 R F2
F D L B L B U2
D F U2 F' D2 F2 R
D' F D' L2 B' U2 R'
B' D L2 B2 L U2 B
D' F D' U2 R F R
D' F D' U2 R' F R
D' F D' U2 R2 F R
D' F D' U2 F R D
D' F D' U2 F R D'
D' F D' U2 F R D2
D' F D' U2 F D R
D' F D' U2 F D' R
D' F D' U2 F D2 R
L2 F D B2 U2 B R'
D2 F D' B L B U2
D' F D' B' U2 R' F
D' F D' B' U2 F R'
F D L' B L B U2
U2 F D' R F2 D2 B2
D' F D2 L2 B' U2 R'
R F D R' B L U2
D' F D2 U2 R F R
D' F D2 U2 R' F R
D' F D2 U2 R2 F R
D' F D2 U2 F R D
D' F D2 U2 F R D'
D' F D2 U2 F R D2
D' F D2 U2 F D R
D' F D2 U2 F D' R
D' F D2 U2 F D2 R
L2 F D' B' R' F2 L'
B D L2 B2 L' U2 B
D' F D2 B' U2 R' F
D' F D2 B' U2 F R'
F D L2 B L B U2
D2 F B L U' L U'
D' F B L2 B' L' U2
D2 F B D L U2 F2
D2 F B D' L B2 U2
D2 F B D' B2 U2 R'
D F D2 U2 F R F
D' F B' L' U2 R' F'
D F D2 B L U2 F2
D F D2 B' U2 R' F2
D F D2 B' U2 F2 R'
D2 F B' U' L2 U' R'
D F B L D B U2
D F B L D' B U2
D F B L D2 B U2
D' F B' U2 R F R2
D' F B' U2 R' D F
D' F B' U2 R' D' F
D' F B' U2 R' D2 F
D' F B' U2 R' F D
D' F B' U2 R' F D'
D' F B' U2 R' F D2
D' F B' U2 D R' F
D' F B' U2 D F R'
D F B L B U2 D
D F B L B U2 D'
D F B L B U2 D2
D F B L B D U2
D F B L B D' U2
D F B L B D2 U2
D' F B' U2 D' R' F
D' F B' U2 D' F R'
D2 F B' U2 R' D F2
D' F B' U2 D2 R' F
D' F B' U2 D2 F R'
D' F B' U2 F R' D
D' F B' U2 F R' D'
D' F B' U2 F R' D2
D' F B' U2 F D R'
D' F B' U2 F D' R'
D2 F B' U2 D R' F2
D' F B' U2 F D2 R'
D2 F B' U2 D F2 R'
D' F B' U2 F' R' F2
D F B L' B L2 U2
D' F B' D U2 R' F
D' F B' D U2 F R'
D2 F B' D U2 R' F2
D2 F B' D U2 F2 R'
D F B L2 B L' U2
D' F B' D' U2 R' F
D' F B' D' U2 F R'
D2 F B' D' B2 L U2
D' F B' D2 U2 R' F
D' F B' D2 U2 F R'
D' F B2 L2 B' L U2
D F B D L B U2
D F B D' L B U2
D F B D2 L B U2
D F B' L U2 R' F'
L2 F B' D' R' F2 L'
D F B' L2 U2 R' F
D F B' L2 U2 F R'
D' F' L F2 U2 F R
D F B2 U B U R'
D F B2 U2 B R' B'
B' D F L B2 L U2
B' D F L' B2 L U2
B' D F L2 B2 L U2
D' F' L' F2 U2 F R
B' D F U2 R' D2 F2
B' D F U2 D2 R' F2
B' D F U2 D2 F2 R'
B' D F D2 U2 R' F2
B' D F D2 U2 F2 R'
B' D F B2 L U2 D
B' D F B2 L U2 D'
B' D F B2 L U2 D2
B' D F B2 L D U2
B' D F B2 L D' U2
B' D F B2 L D2 U2
B' D F B2 D L U2
B' D F B2 D' L U2
B' D F B2 D2 L U2
D' F' L2 F2 U2 F R
F D U2 F R D2 F2
B D F L U2 D2 F2
F D U2 F D2 R F2
B D F L D2 U2 F2
B D F L B2 U2 D
B D F L B2 U2 D'
B D F L B2 U2 D2
B D F L B2 D U2
B D F L B2 D' U2
B D F L B2 D2 U2
F D U2 F' D2 F2 R
B D F L' B2 L2 U2
B D F L2 B2 L' U2
B' D F' B2 L F2 U2
B D F D2 L U2 F2
B D F B2 L U2 R'
B D F B2 L' U2 R'
B D F B2 L2 U2 R'
B D F B2 U2 R' D
B D F B2 U2 R' D'
B D F B2 U2 R' D2
B D F B2 U2 D R'
B D F B2 U2 D' R'
B D F B2 U2 D2 R'
B D F B2 D U2 R'
B D F B2 D' U2 R'
B D F B2 D2 U2 R'
F2 D F' B L B U2
B D F' L F2 B2 U2
B D F' L B2 F2 U2
B' D F2 B2 L F' U2
B D F2 L F' B2 U2
B D F2 L B2 F' U2
F2 D B L F' B U2
F2 D B L B F' U2
F2 D B F' L B U2
F D B L D B U2
F D B L D' B U2
F D B L D2 B U2
F D B L B U2 D
F D B L B U2 D'
F D B L B U2 D2
F D B L B D U2
F D B L B D' U2
F D B L B D2 U2
F D B L' B L2 U2
F D B L2 B L' U2
F D B D L B U2
F D B D' L B U2
F D B D2 L B U2
B' D B2 D F L U2
B' D B2 D' F L U2
B' D B2 D2 F L U2
B' D B2 F L U2 D
B' D B2 F L U2 D'
B' D B2 F L U2 D2
B' D B2 F L D U2
B' D B2 F L D' U2
B' D B2 F L D2 U2
F D B' L U2 R' F'
B' D B2 F D L U2
B' D B2 F D' L U2
B' D B2 F D2 L U2
B' D B2 F' L F2 U2
B' D B2 F2 L F' U2
F D B' L2 U2 R' F
F D B' L2 U2 F R'
B2 D B2 D F L' U2
F2 D B2 U2 R2 B R'
F2 D B2 D2 F' U2 R
B D B2 L2 U2 R' B'
B D B2 D F U2 R'
B' D' L' R' F2 L' B'
B D B2 D' F U2 R'
B D B2 D2 F U2 R'
B D B2 F L U2 R'
B D B2 F L' U2 R'
B D B2 F L2 U2 R'
B D B2 F U2 R' D
B D B2 F U2 R' D'
B D B2 F U2 R' D2
B D B2 F U2 D R'
B D B2 F U2 D' R'
B D B2 F U2 D2 R'
B D B2 F D U2 R'
B D B2 F D' U2 R'
B D B2 F D2 U2 R'
F D B2 U B U R'
F D B2 U2 B R' B'
B' D' L2 R' F2 B' L'
B' D' L2 R' B' F2 L'
F D' L U2 F R F
B' D' L2 U2 R' F2 B'
B' D' L2 U2 R' B' F2
B' D' L2 U2 F2 R' B'
F D' L B L U2 F2
F D' L B' U2 R' F2
F D' L B' U2 F2 R'
F D' L' U2 F R F
L2 F' D B2 U2 B R'
F D' L' B L U2 F2
F D' L' B' U2 R' F2
F D' L' B' U2 F2 R'
B D' L2 U2 F2 R B'
B D' L2 U2 F2 B' R
B D' L2 U2 B' F2 R
U2 F' D' F2 R D' B2
U2 F' D' F2 D' R B2
U2 F' D' F2 D' B2 R
B' D' R' L' F2 L' B'
B' D' R' L2 F2 B' L'
B' D' R' L2 B' F2 L'
L2 F' D' B' R' F2 L'
F D' L2 U2 F R F
D' F' B L F2 U2 F
F D' L2 B L U2 F2
F D' L2 B' U2 R' F2
F D' L2 B' U2 F2 R'
U2 F' D2 B2 D F2 R
D F' B L F2 B U2
D F' B L B F2 U2
L2 F' B' D' R' F2 L'
D' F2 L F' U2 F R
B' D' U2 R F2 R2 B
F D' U R B U F2
B' D' U2 F2 R2 B R
B' D' F L' U2 R' F'
D' F2 L' F' U2 F R
F D' U' L F U' F
B' D' F U2 R F R2
B' D' F U2 R' D F
B' D' F U2 R' D' F
B' D' F U2 R' D2 F
B' D' F U2 R' F D
B' D' F U2 R' F D'
B' D' F U2 R' F D2
B' D' F U2 D R' F
B' D' F U2 D F R'
B' D' F U2 D' R' F
B' D' F U2 D' F R'
B' D' F U2 D2 R' F
B' D' F U2 D2 F R'
B' D' F U2 F R' D
B' D' F U2 F R' D'
B' D' F U2 F R' D2
B' D' F U2 F D R'
B' D' F U2 F D' R'
B' D' F U2 F D2 R'
B' D' F U2 F' R' F2
B' D' F D U2 R' F
B' D' F D U2 F R'
F D' U' F U' F R
B' D' F D' U2 R' F
B' D' F D' U2 F R'
B' D' F D2 U2 R' F
B' D' F D2 U2 F R'
B' D' F B U2 F R
D' F2 L2 F' U2 F R
F D' U2 R F R F
F D' U2 R' F R F
F D' U2 R2 F R F
F D' U2 F R D F
F D' U2 F R D' F
F D' U2 F R D2 F
F D' U2 F R F D
F D' U2 F R F D'
F D' U2 F R F D2
F D' U2 F R' F R2
F D' U2 F R2 F R'
F D' U2 F D R F
F D' U2 F D' R F
F D' U2 F D2 R F
B D' F L2 B' L' U2
F2 D' F' U2 F R F2
B D' F B' U2 F R
B D' F B2 U2 R' F
B D' F B2 U2 F R'
F2 D' F' B L U2 F'
B D' F' L F2 U2 F
F2 D' F' B' U2 F' R'
B D' F2 L F' U2 F
F2 D' B L F' U2 F'
B' D' B F U2 F R
D' F2 R2 B' R' B2 L
F2 D' B F' L U2 F'
F D' B L U2 F2 D
F D' B L U2 F2 D'
F D' B L U2 F2 D2
F D' B L D2 B2 U2
F D' B L B U2 F2
F D' B L B' U2 F2
F D' B L B2 U2 F2
F D' B L2 U2 F2 R
F2 D' B' F' U2 F' R'
F D' B D2 L B2 U2
F D' B D2 B2 U2 R'
F D' B' L U2 R' F2
F D' B' L U2 F2 R'
F D' B' L' U2 R' F2
F D' B' L' U2 F2 R'
F D' B' L2 U2 R' F2
F D' B' L2 U2 F2 R'
B D' B' F U2 F R
F D' B' U2 R F2 R2
F D' B' U2 R' F2 D
F D' B' U2 R' F2 D'
F D' B' U2 R' F2 D2
F D' B' U2 F R' F
F D' B' U2 F2 R' D
F D' B' U2 F2 R' D'
F D' B' U2 F2 R' D2
F D' B' U2 F2 D R'
F D' B' U2 F2 D' R'
F D' B' U2 F2 D2 R'
F D' B' D2 B2 L U2
D' F2 U2 F' L' U2 L
B D' B2 F U2 R' F
B D' B2 F U2 F R'
B D2 L U' L U' B'
F D2 L U' L F U'
D' F2 D F' U2 F R
D' F2 D' F' U2 F R
L2 F2 D B2 U2 B R'
L2 F2 D' B' R' F2 L'
D' F2 D2 F' U2 F R
D' F2 B L F' U2 F
D F2 B L F' B U2
D F2 B L B F' U2
L2 F2 B' D' R' F2 L'
B' D2 U' L2 U' R' B'
D2 B L U' L U' B'
L' B L D F B2 U2
L' B L D B2 F U2
L' B L D' F U2 F
L' B L F U R2 U
L' B L F U2 D' F2
L' B L F D B2 U2
L' B L F D' U2 F2
L2 B L U R2 U B2
L2 B L U2 B2 D' F2
D F2 B2 U2 R2 B R'
D F2 B2 D2 F' U2 R
F D2 U' L F L U'
B' D2 F U' L2 U' R'
B' D2 F U2 R' D F2
B' D2 F U2 D R' F2
B' D2 F U2 D F2 R'
B2 D2 F L' U' L' U'
B' D2 F D U2 R' F2
B' D2 F D U2 F2 R'
B' D2 F D' B2 L U2
L B L U R2 U B'
D' B L2 U2 F2 R B'
D' B L2 U2 F2 B' R
L B L U2 D' F2 B'
L B L U2 D' B' F2
D' B L2 U2 B' F2 R
L B L U2 B' D' F2
L B L D B2 U2 B
B2 D2 F U2 D F2 R
L B L D' U2 F2 B'
L B L D' U2 B' F2
B2 D2 F D L' U2 F2
B2 D2 F D U2 F2 R
B2 D2 F D' L' B2 U2
B2 D2 F D' B2 L' U2
B D2 F L U' L U'
F D2 U2 F R D F2
F D2 U2 F D R F2
F D2 U2 F' D F2 R
