R' U L2 F' B U2
R' U L2 B F' U2
R U L2 U2 F' B
R U L2 U2 B F'
R' U F' L2 B U2
R' U F' B L2 U2
R' U B L2 F' U2
R' U B F' L2 U2
R' U' D2 R2 F' B
R' U' D2 R2 B F'
R U' D2 F' B R2
R U' D2 B F' R2
R U' F' D2 B R2
R U' F' B D2 R2
R U' B D2 F' R2
R U' B F' D2 R2
R D F2 U' F B
R D F2 U' B F
R' D2 U' R2 F' B
R' D2 U' R2 B F'
R D2 U' F' B R2
R D2 U' B F' R2
R' U' R2 F' D2 B R2
R' U' R2 F' B D2 R2
R' U' R2 B D2 F' R2
R' U' R2 B F' D2 R2
R U' R2 D2 R2 F' B
R U' R2 D2 R2 B F'
R U' D B D F' R2
R' U' D2 R2 D F' B
R' U' D2 R2 D B F'
R' U' D2 R2 D' F' B
R' U' D2 R2 D' B F'
R' U' D2 R2 D2 F' B
R' U' D2 R2 D2 B F'
R' U' D2 R2 F' D B
R' U' D2 R2 F' D' B
R' U' D2 R2 F' D2 B
R' U' D2 R2 F' B D
R' U' D2 R2 F' B D'
R' U' D2 R2 F' B D2
R' U' D2 R2 B D F'
R' U' D2 R2 B D' F'
R' U' D2 R2 B D2 F'
R' U' D2 R2 B F' D
R' U' D2 R2 B F' D'
R' U' D2 R2 B F' D2
R U' D' F' D' B R2
R U' D2 F B R2 F2
R U' D2 F' B R2 D
R U' D2 F' B R2 D'
R U' D2 F' B R2 D2
R U' D2 F' B' R2 B2
R U' D2 F' B2 R2 B'
R' U' F D2 R2 F' B2
R' U' F D2 R2 B2 F'
R U' D2 F2 B R2 F
R U' D2 B F R2 F2
R U' D2 B F' R2 D
R U' D2 B F' R2 D'
R U' D2 B F' R2 D2
R U' D2 B F2 R2 F
R U' D2 B' F' R2 B2
R U' D2 B2 F' R2 B'
R' U' F' L2 B U2 L2
R' U' F' B L2 U2 L2
R U' F D2 B R2 F'
F' R' U L2 F' B U2
F' R' U L2 B F' U2
F2 R' U L2 F' B U2
F2 R' U L2 B F' U2
F' R' U F' L2 B U2
R U' F' R2 D2 R2 B
F' R' U F' B L2 U2
F' R' U B L2 F' U2
F' R' U B F' L2 U2
R U' F' U2 L2 U2 B
F2 R' U F' L2 B U2
F2 R' U F' B L2 U2
F R' U L2 F' B U2
F R' U L2 B F' U2
R U' F' D B D R2
F2 R' U B L2 F' U2
F2 R' U B F' L2 U2
R U' F' D2 B R2 D
R U' F' D2 B R2 D'
R U' F' D2 B R2 D2
R U' F' D2 B' R2 B2
R U' F' D2 B2 R2 B'
R U' F' B R D2 R2
R U' F' B R' D2 R2
R U' F' B R2 D2 R2
R U' F' B U2 L2 U2
R U' F' B D2 R2 D
R U' F' B D2 R2 D'
R U' F' B D2 R2 D2
R U' F' B2 D2 R2 B'
R U' F' B2 D2 B' R2
R' U' B L2 F' U2 L2
F R' U F' L2 B U2
F R' U F' B L2 U2
F' R' U' D2 R2 F' B
F' R' U' D2 R2 B F'
F R' U B L2 F' U2
F R' U B F' L2 U2
F2 R' U' D2 R2 F' B
F2 R' U' D2 R2 B F'
R' U' B F' L2 U2 L2
R U' F2 D2 F B R2
R U' F2 D2 B R2 F
R U' F2 D2 B F R2
R U' F2 B D2 R2 F
R U' F2 B D2 F R2
F R' U' D2 R2 F' B
F R' U' D2 R2 B F'
R U' B R2 D2 R2 F'
R U' B U2 L2 U2 F'
R' U' B' D2 R2 F2 B
R' U' B' D2 R2 B F2
R U' B D' F' D' R2
R U' B D2 F R2 F2
R U' B D2 F' R2 D
R U' B D2 F' R2 D'
R U' B D2 F' R2 D2
R U' B D2 F2 R2 F
R U' B F' R D2 R2
R U' B F' R' D2 R2
R U' B F' R2 D2 R2
R U' B F' U2 L2 U2
R U' B F' D2 R2 D
R U' B F' D2 R2 D'
R U' B F' D2 R2 D2
R U' B F2 D2 R2 F
R U' B F2 D2 F R2
R U' B' D2 F' R2 B
R U' B2 D2 F' R2 B'
R U' B2 D2 F' B' R2
R U' B2 D2 B' F' R2
R U' B2 F' D2 R2 B'
R U' B2 F' D2 B' R2
F' R' D2 U' R2 F' B
F' R' D2 U' R2 B F'
F2 R' D2 U' R2 F' B
F2 R' D2 U' R2 B F'
F R' D2 U' R2 F' B
F R' D2 U' R2 B F'
R U2 D' B2 U F' B'
R U2 D' B2 U B' F'
R D L F2 U' F B
R D L F2 U' B F
R D L' F2 U' F B
R D L' F2 U' B F
R D L2 F2 U' F B
R D L2 F2 U' B F
R' D R2 F2 U' F B
R' D R2 F2 U' B F
R D U' B D F' R2
R' D F2 U F B U2
R' D F2 U B F U2
R D F2 U' D F B
R D F2 U' D B F
R D F2 U' D' F B
R D F2 U' D' B F
R D F2 U' D2 F B
R D F2 U' D2 B F
R D F2 U' F D B
R D F2 U' F D' B
R D F2 U' F D2 B
R D F2 U' F B D
R D F2 U' F B D'
R D F2 U' F B D2
R D F2 U' B D F
R D F2 U' B D' F
R D F2 U' B D2 F
R D F2 U' B F D
R D F2 U' B F D'
R D F2 U' B F D2
R D F2 D U' F B
R D F2 D U' B F
R D F2 D' U' F B
R D F2 D' U' B F
R D F2 D2 U' F B
R D F2 D2 U' B F
R D' U' F' D' B R2
R D' U2 B2 U F' B'
R D' U2 B2 U B' F'
R' D2 L U' R2 F' B
R' D2 L U' R2 B F'
R' D2 L' U' R2 F' B
R' D2 L' U' R2 B F'
R D2 L U' F' B R2
R D2 L U' B F' R2
R' D2 L2 U' R2 F' B
R' D2 L2 U' R2 B F'
R D2 L' U' F' B R2
R D2 L' U' B F' R2
D2 U2 L' U R2 F B'
D2 U2 L' U R2 B' F
D2 U2 L' U F R2 B'
D2 U2 L' U F B' R2
D2 U2 L' U B' R2 F
D2 U2 L' U B' F R2
R D2 L2 U' F' B R2
R D2 L2 U' B F' R2
U2 D2 L' U R2 F B'
U2 D2 L' U R2 B' F
U2 D2 L' U F R2 B'
U2 D2 L' U F B' R2
U2 D2 L' U B' R2 F
U2 D2 L' U B' F R2
R' D2 U F' U2 R2 F'
R' D2 U F' B U2 R2
R' D2 U B U2 R2 B
R' D2 U B F' U2 R2
R' D2 U' R2 D F' B
R' D2 U' R2 D B F'
R' D2 U' R2 D' F' B
R' D2 U' R2 D' B F'
R' D2 U' R2 D2 F' B
R' D2 U' R2 D2 B F'
R' D2 U' R2 F' D B
R' D2 U' R2 F' D' B
R' D2 U' R2 F' D2 B
R' D2 U' R2 F' B D
R' D2 U' R2 F' B D'
R' D2 U' R2 F' B D2
R' D2 U' R2 B D F'
R' D2 U' R2 B D' F'
R' D2 U' R2 B D2 F'
R' D2 U' R2 B F' D
R' D2 U' R2 B F' D'
R' D2 U' R2 B F' D2
R D2 U' F B R2 F2
R D2 U' F' B R2 D
R D2 U' F' B R2 D'
R D2 U' F' B R2 D2
R D2 U' F' B' R2 B2
R D2 U' F' B2 R2 B'
R D2 U' F2 B R2 F
R D2 U' B F R2 F2
R D2 U' B F' R2 D
R D2 U' B F' R2 D'
R D2 U' B F' R2 D2
R D2 U' B F2 R2 F
R D2 U' B' F' R2 B2
R D2 U' B2 F' R2 B'
R D2 F U' F2 B R2
R D2 F U' B R2 F2
R D2 F U' B F2 R2
R D2 F2 U' F B R2
R D2 F2 U' B R2 F
R D2 F2 U' B F R2
R F L' U' F2 B R
R F L' U' B F2 R
U F L2 U' R U' F'
R' F U L2 F2 B U2
R' F U L2 B F2 U2
R' F U F2 L2 B U2
R' F U F2 B L2 U2
R' F U B L2 F2 U2
R' F U B F2 L2 U2
R' F U' D2 R2 F' B2
R' F U' D2 R2 B2 F'
R F U L2 U2 F2 B
R F U L2 U2 B F2
R' F D R2 F2 U' F
R F U' D2 B R2 F'
R' F D F2 R2 U' F'
R F U' F2 D2 B R2
R F U' F2 B D2 R2
R F U' B F2 D2 R2
R' F D2 U' R2 F' B2
R' F D2 U' R2 B2 F'
R F D2 U' B R2 F'
R' F' L2 B U' B' U'
L' F' R U' F' B R
L' F' R U' B F' R
R F' D F2 U' F2 B
R F' D F2 U' B F2
R' F' B L2 U F U
L' F2 R' U' R2 F' B
L' F2 R' U' R2 B F'
R' F2 U L2 B U2 B2
R' F2 U F L2 B U2
R' F2 U F B L2 U2
R' F2 U B L2 U2 B'
R' F2 U B F L2 U2
R F2 U L2 B' U2 B2
R F2 U' D2 F B R2
R F2 U' D2 B R2 F
R F2 U' D2 B F R2
R F2 U' F D2 B R2
R F2 U' F B D2 R2
R F2 U' B D2 R2 F
R F2 U' B D2 F R2
R F2 U' B F D2 R2
D F2 D' R U' F' B
D F2 D' R U' B F'
R F2 D F2 U' F' B
R F2 D F2 U' B F'
R F2 D2 U' F B R2
R F2 D2 U' B R2 F
R F2 D2 U' B F R2
R' B L2 F' U F2 U
R' B L2 F' U2 D' L2
R' B L2 F' D R2 U2
R' B L2 F' D' U2 L2
R' B F' L2 U F U
