U' R D' L2 F'
U' R D' F' L2
U' L R D' L2 F'
U' L R D' F' L2
U' L' R D' L2 F'
U' L' R D' F' L2
D2 L' B2 U' R F
U' L2 R D' L2 F'
U' L2 R D' F' L2
U' R L D' L2 F'
U' R L D' F' L2
U' R L' D' L2 F'
U' R L' D' L2 F'
U' R L' D' F' L2
U' R L2 D' L2 F'
U' R L2 D' F' L2
U' R U' F2 U F
U' R D F' D2 L2
U' R D' L F' L
U' R D' L2 D F'
U' R D' L2 D' F'
U' R D' L2 D2 F'
U' R D' L2 F' D
U' R D' L2 F' D'
U' R D' L2 F' D2
U' R D' F L2 F2
U' R D' F' L2 D
U' R D' F' L2 D'
U' R D' F' L2 D2
U R D' F' L2 B'
U' R D2 F' D L2
L' U' R D' L2 F'
L' U' R D' F' L2
U' R F' U' F' U
L2 U' R D' L2 F'
L2 U' R D' F' L2
L U' R D' L2 F'
L U' R D' F' L2
U2 R' F2 U R2 F'
U' R2 D' L2 R' F'
U' R2 D' R' L2 F'
U' R2 D' R' F' L2
R2 D R' F' B2 L
R2 D R' B2 L F'
R2 D R' B2 F' L
U' D' L2 D R F'
D' U' L2 D R F'
B2 U' R D' L2 F'
B2 U' R D' F' L2
B' U' R D' L2 F'
B' U' R D' F' L2
B U' R D' L2 F'
B U' R D' F' L2
R' F2 L' U R2 F'
U2 F2 U F2 R F'
D2 B2 L' U' R F
D2 B2 U' D2 R F'
D2 B2 D2 U' R F'
U' R L D' F L2 F2
U' R L D' F' L2 D
U' R L D' F' L2 D'
U' R L D' F' L2 D2
U' R L D2 F' D L2
U' R L F' U' F' U
U' R L' U' F2 U F
U R L D' F' L2 B'
U' R L' D F' D2 L2
U' R L' D' L F' L
U' R L' D' L2 D F'
U' R L' D' L2 D' F'
U' R L' D' L2 D2 F'
U' R L' D' L2 F' D
U' R L' D' L2 F' D'
U' R L' D' L2 F' D2
U' R L' D' F L2 F2
U' R L' D' F' L2 D
U' R L' D' F' L2 D'
U' R L' D' F' L2 D2
U' R L' D2 F' D L2
U' R L' F' U' F' U
U' R L2 U' F2 U F
U R L' D' F' L2 B'
U' R L2 D F' D2 L2
U' R L2 D' L F' L
U' R L2 D' L2 D F'
U' R L2 D' L2 D' F'
U' R L2 D' L2 D2 F'
U' R L2 D' L2 F' D
U' R L2 D' L2 F' D'
U' R L2 D' L2 F' D2
U' R L2 D' F L2 F2
U' R L2 D' F' L2 D
U' R L2 D' F' L2 D'
U' R L2 D' F' L2 D2
U' R L2 D2 F' D L2
U2 R L2 D' L2 F' B2
U' R L2 F' U' F' U
U2 R L2 D' L2 B2 F'
U2 R L2 D' F' L2 B2
U2 R L2 D' F' B2 L2
U2 R L2 D' B2 L2 F'
U2 R L2 D' B2 F' L2
U R L2 D' F' L2 B'
R' U F2 L' U R2 F'
U' R U D2 B2 U' F'
U' R U' F2 R U F
U' R U' F2 R' U F
U' R U' F2 R2 U F
U' R U' F2 U D F
U' R U' F2 U D' F
U' R U' F2 U D2 F
U' R U' F2 U F D
U' R U' F2 U F D'
U' R U' F2 U F D2
U' R U' F2 D U F
U' R U' F2 D' U F
U' R U' F2 D2 U F
U' R U2 D R2 B U2
U' R D L D2 L2 F'
U' R D L D2 F' L2
U' R D L F' D2 L2
U' R D L' D2 L2 F'
U' R D L' D2 F' L2
U' R D L' F' D2 L2
U' R D L2 D2 L2 F'
U' R D L2 D2 F' L2
U' R D L2 F' D2 L2
U' R D U2 R2 B U2
U' R D F' L D2 L2
U' R D F' L' D2 L2
U' R D F' L2 D2 L2
U' R D F' U2 R2 U2
U' R D F' D2 L2 D
U' R D F' D2 L2 D'
U' R D F' D2 L2 D2
U' R D F2 D2 F L2
U' R D' L D L F'
U' R D' L D F' L
U' R D' L D' L F'
U' R D' L D' F' L
U' R D' L D2 L F'
U' R D' L D2 F' L
U' R D' L F L F2
U' R D' L F' L D
U' R D' L F' L D'
U' R D' L F' L D2
U' R D' L F' D L
U' R D' L F' D' L
U' R D' L F' D2 L
U' R D' L' D L' F'
U' R D' L' D' L' F'
U' R D' L' D2 L' F'
U R D R2 U2 R2 F'
U R D R2 B U2 R2
U' R D' L2 D F' D
U' R D' L2 D F' D'
U' R D' L2 D F' D2
U' R D' L2 D' F' D
U' R D' L2 D' F' D'
U' R D' L2 D' F' D2
U' R D' L2 D2 F' D
U' R D' L2 D2 F' D'
U' R D' L2 D2 F' D2
U' R D' L2 F2 D F
U' R D' L2 F2 D' F
U' R D' L2 F2 D2 F
U2 R D' L2 D' F' B2
U2 R D' L2 D' B2 F'
U2 R D' L2 F' D' B2
U R D F' D2 L2 B'
L' U' L R D' L2 F'
L' U' L R D' F' L2
U' R D' F L F2 L
U' R D' F L2 F2 D
U' R D' F L2 F2 D'
U' R D' F L2 F2 D2
U' R D' F' L D L
U' R D' F' L D' L
U' R D' F' L D2 L
U' R D' F' L' D L'
U' R D' F' L' D' L'
U' R D' F' L' D2 L'
U' R D' F' B' L2 B
U' R D' F' B2 L2 B2
L2 U' L R D' L2 F'
L2 U' L R D' F' L2
U' R D' B' L2 F' B
U' R D' B' L2 B F'
U2 R D' F' L2 D' B2
U' R D' B' F' L2 B
U' R D' B2 L2 F' B2
U' R D' B2 L2 B2 F'
U' R D' B2 F' L2 B2
U' R D2 L D L2 F'
U' R D2 L D F' L2
U' R D2 L F' D L2
U' R D2 L' D L2 F'
U' R D2 L' D F' L2
U' R D2 L' F' D L2
L U' L R D' L2 F'
L U' L R D' F' L2
U' R D2 L2 D L2 F'
U' R D2 L2 D F' L2
U' R D2 L2 F' D L2
U R D' F' L2 D B'
U R D' F' L2 D' B'
U R D' F' L2 D2 B'
U R D' F' L2 B' D
U R D' F' L2 B' D'
U R D' F' L2 B' D2
U' R D2 U B2 U' F'
U R D' F' B L2 B'
U R D' F' B' L2 B'
U R D' F' B2 L2 B'
L' U' L' R D' L2 F'
L' U' L' R D' F' L2
U R D' B F' L2 B'
U' R D2 F' L D L2
U' R D2 F' L' D L2
U' R D2 F' L2 D L2
U R D' B' F' L2 B'
U' R D2 F' U B2 U'
U' R D2 F' D L2 D
U' R D2 F' D L2 D'
U' R D2 F' D L2 D2
U R D' B2 F' L2 B'
U' R D2 F2 D F L2
L2 U' L' R D' L2 F'
L2 U' L' R D' F' L2
L U' L' R D' L2 F'
L U' L' R D' F' L2
U R D2 F' D L2 B'
L' U' L2 R D' L2 F'
L' U' L2 R D' F' L2
U' R F U' F U F
L2 U' L2 R D' L2 F'
L2 U' L2 R D' F' L2
U' R F' L U' F' U
U' R F' L' U' F' U
L U' L2 R D' L2 F'
L U' L2 R D' F' L2
U' R F' L2 U' F' U
L' U' R L D' L2 F'
L' U' R L D' F' L2
U' R F' U' D F' U
L' U' R L' D' L2 F'
L' U' R L' D' F' L2
U' R F' U' D' F' U
U' R F' U' D2 F' U
U' R F' U' F' U D
U' R F' U' F' U D'
U' R F' U' F' U D2
U' R F' U' F' D U
U' R F' U' F' D' U
U' R F' U' F' D2 U
L' U' R L2 D' L2 F'
L' U' R L2 D' F' L2
U' R F' D U' F' U
U' R F' D' U' F' U
L' U' R U' F2 U F
L2 U' R L D' L2 F'
U' R F' D2 U' F' U
L2 U' R L D' F' L2
L2 U' R L' D' L2 F'
L2 U' R L' D' F' L2
L' U' R D F' D2 L2
L' U' R D' L F' L
L' U' R D' L2 D F'
L' U' R D' L2 D' F'
L' U' R D' L2 D2 F'
L' U' R D' L2 F' D
L' U' R D' L2 F' D'
L' U' R D' L2 F' D2
L2 U' R L2 D' L2 F'
L2 U' R L2 D' F' L2
L' U' R D' F L2 F2
L' U' R D' F' L2 D
L' U' R D' F' L2 D'
L' U' R D' F' L2 D2
L' U' R D2 F' D L2
L2 U' R U' F2 U F
L' U' R F' U' F' U
L U' R L D' L2 F'
L U' R L D' F' L2
L2 U' R D F' D2 L2
L U' R L' D' L2 F'
L U' R L' D' F' L2
L2 U' R D' L F' L
L2 U' R D' L2 D F'
L2 U' R D' L2 D' F'
L2 U' R D' L2 D2 F'
L2 U' R D' L2 F' D
L2 U' R D' L2 F' D'
L2 U' R D' L2 F' D2
L2 U' R D' F L2 F2
L U' R L2 D' L2 F'
L2 U' R D' F' L2 D
L2 U' R D' F' L2 D'
L2 U' R D' F' L2 D2
L U' R L2 D' F' L2
L2 U' R D2 F' D L2
L U' R U' F2 U F
L2 U' R F' U' F' U
U2 R F2 R U R' F
U2 R F2 R U F R'
U2 R F2 R' U R F
L U' R D F' D2 L2
L U' R D' L F' L
L U' R D' L2 D F'
L U' R D' L2 D' F'
L U' R D' L2 D2 F'
L U' R D' L2 F' D
L U' R D' L2 F' D'
L U' R D' L2 F' D2
U2 R F2 R2 U R2 F
U2 R F2 R2 U F R2
L U' R D' F L2 F2
L U' R D' F' L2 D
L U' R D' F' L2 D'
L U' R D' F' L2 D2
L U' R D2 F' D L2
L U' R F' U' F' U
U' R B D' F' B' L2
U' R B D' B' L2 F'
U' R B D' B' F' L2
L' U' R2 D' L2 R' F'
L' U' R2 D' R' L2 F'
L' U' R2 D' R' F' L2
L2 U' R2 D' L2 R' F'
L2 U' R2 D' R' L2 F'
L2 U' R2 D' R' F' L2
U R B D' F' L2 B'
L U' R2 D' L2 R' F'
L U' R2 D' R' L2 F'
L U' R2 D' R' F' L2
U' R B' D' L2 F' B
U' R B' D' L2 B F'
U' R B' D' F' L2 B
U' R B' D' F' B L2
U' R B' D' B L2 F'
U' R B' D' B F' L2
L' U' D' L2 D R F'
U R B' D' F' L2 B'
L2 U' D' L2 D R F'
L U' D' L2 D R F'
U R B2 D' F' L2 B'
R' U' F2 L' U R2 F'
U2 R' U R2 D' L2 F'
U2 R' U R2 D' F' L2
U R' U F2 U R2 F'
U' R' U' F2 U R2 F'
R U' F2 U2 R' U' F
U R' U2 R2 D' L2 F'
U R' U2 R2 D' F' L2
U' R' D' L2 D R2 F'
U' R' F R2 F' D' L2
B' R' F2 L' U R2 F'
B2 R' F2 L' U R2 F'
U2 R' F2 R U R F'
B R' F2 L' U R2 F'
U2 R' F2 U R2 D F'
U2 R' F2 U R2 D' F'
U2 R' F2 U R2 D2 F'
U2 R' F2 U R2 F' D
U2 R' F2 U R2 F' D'
U2 R' F2 U R2 F' D2
U2 R' F2 U F R2 F'
U2 R' F2 U F' R2 F'
U2 R' F2 U F2 R2 F'
U2 R' F2 U' B U2 R2
L' U2 R' F2 U R2 F'
L2 U2 R' F2 U R2 F'
L U2 R' F2 U R2 F'
U R' B U F2 U R2
U R' B U2 R2 D' L2
R2 U2 D R' B2 L F
U' R2 L D' L2 R' F'
U' R2 L D' R' L2 F'
U' R2 L D' R' F' L2
U' R2 L' D' L2 R' F'
U' R2 L' D' R' L2 F'
U' R2 L' D' R' F' L2
U' R2 L2 D' L2 R' F'
U' R2 L2 D' R' L2 F'
U' R2 L2 D' R' F' L2
R' U2 F2 L' U R2 F'
L' U2 F2 U F2 R F'
L2 U2 F2 U F2 R F'
U' R2 U' F2 U R' F'
L U2 F2 U F2 R F'
B' R2 D R' F' B2 L
B' R2 D R' B2 L F'
B' R2 D R' B2 F' L
B2 R2 D R' F' B2 L
B2 R2 D R' B2 L F'
B2 R2 D R' B2 F' L
U' R2 D' L R' F' L
B R2 D R' F' B2 L
B R2 D R' B2 L F'
B R2 D R' B2 F' L
U' R2 D' L2 R' D F'
U' R2 D' L2 R' D' F'
U' R2 D' L2 R' D2 F'
U' R2 D' L2 R' F' D
U' R2 D' L2 R' F' D'
U' R2 D' L2 R' F' D2
U' R2 D' L2 D R' F'
U' R2 D' L2 D' R' F'
U' R2 D' L2 D2 R' F'
U' R2 D' L2 F R' F'
U' R2 D' L2 F' R' F'
U' R2 D' L2 F2 R' F'
U' R2 D' R' L F' L
U' R2 D' R' L2 D F'
U' R2 D' R' L2 D' F'
U' R2 D' R' L2 D2 F'
U' R2 D' R' L2 F' D
U' R2 D' R' L2 F' D'
U' R2 D' R' L2 F' D2
U' R2 D' R' F L2 F2
U' R2 D' R' F' L2 D
U' R2 D' R' F' L2 D'
U' R2 D' R' F' L2 D2
U R2 D R2 U2 R F'
U' R2 D' F L2 R' F'
U' R2 D' F R' L2 F'
U' R2 D' F R' F' L2
U' R2 D' F' L2 R' F'
U' R2 D' F' R' L2 F'
U' R2 D' F' R' F' L2
U' R2 D' F2 L2 R' F'
U' R2 D' F2 R' L2 F'
U' R2 D' F2 R' F' L2
R2 D L R' F' B2 L
R2 D L R' B2 L F'
R2 D L R' B2 F' L
U' R2 D2 R' D L2 F'
U' R2 D2 R' D F' L2
U' R2 D2 R' F' D L2
U R2 D' R' F' L2 B'
R2 D L' R' F' B2 L
R2 D L' R' B2 L F'
R2 D L' R' B2 F' L
U' R2 F R' F' D' L2
R2 D L2 R' F' B2 L
R2 D L2 R' B2 L F'
R2 D L2 R' B2 F' L
U2 R2 F2 R U R2 F'
U2 R2 F2 R2 U R F'
R2 D R' L F' B2 L
R2 D R' L B2 L F'
R2 D R' L B2 F' L
R2 D R' L' F' B2 L
R2 D R' L' B2 L F'
R2 D R' L' B2 F' L
R2 D R' L2 F' B2 L
R2 D R' L2 B2 L F'
R2 D R' L2 B2 F' L
R2 D R' F B2 L F2
R2 D R' F' L B2 L
R2 D R' F' L' B2 L
R2 D R' F' L2 B2 L
R2 D R' F' B2 L D
R2 D R' F' B2 L D'
R2 D R' F' B2 L D2
R2 D R' F' B2 D L
R2 D R' F' B2 D' L
R2 D R' F' B2 D2 L
R2 D R' B2 L D F'
R2 D R' B2 L D' F'
R2 D R' B2 L D2 F'
R2 D R' B2 L F' D
R2 D R' B2 L F' D'
R2 D R' B2 L F' D2
R2 D R' B2 L' F' L2
R2 D R' B2 D L F'
R2 D R' B2 D F' L
R2 D R' B2 D' L F'
R2 D R' B2 D' F' L
R2 D R' B2 D2 L F'
R2 D R' B2 D2 F' L
R2 D R' B2 F L F2
R2 D R' B2 F' L D
R2 D R' B2 F' L D'
R2 D R' B2 F' L D2
R2 D R' B2 F' D L
R2 D R' B2 F' D' L
R2 D R' B2 F' D2 L
R2 D R2 U2 R F' B2
R2 D R2 U2 R B2 F'
R2 D R2 U2 B2 R F'
R2 D U2 R' B2 L F
F2 U L' R U2 L F'
F2 U L' R U2 F' L
F2 U L' R2 U2 L F
R2 D F R' F' B2 L
R2 D F R' B2 L F'
R2 D F R' B2 F' L
F2 U L' B2 R' B U2
R2 D F' R' F' B2 L
R2 D F' R' B2 L F'
R2 D F' R' B2 F' L
F2 U R L' U2 L F'
F2 U R L' U2 F' L
U' D R D F2 L' F
B' U R D' F' L2 B'
U' D R F2 D L' F
B2 U R D' F' L2 B'
R2 D F2 R' F' B2 L
R2 D F2 R' B2 L F'
R2 D F2 R' B2 F' L
B U R D' F' L2 B'
F2 U R' B L' U2 L
F2 U R2 L' U2 L F
F2 U D2 L' U2 F L
R2 D' L2 R' D2 F' B2
R2 D' L2 R' D2 B2 F'
R2 D' L2 D2 R' F' B2
R2 D' L2 D2 R' B2 F'
F2 U F2 R D2 F' B2
F2 U F2 R D2 B2 F'
R D' L2 F' U R' U'
R2 D' R' L2 D2 F' B2
R2 D' R' L2 D2 B2 F'
D2 U' L R D L2 F
D' U' L D L R F'
D' U' L D R L F'
D' U' L D R F' L
U' D' L D L R F'
U' D' L D R L F'
U' D' L D R F' L
R2 D' R' F L2 F2 B'
R2 D' R' F L2 B' F2
D2 U' L D L2 R F
D2 U' L D R L2 F
R D' R' U' L2 R F'
R D' R' U' R L2 F'
R D' R' U' R F' L2
D' U' L' R D' L' F
U' D' L' R D' L' F
D2 U' L' R D F L2
D2 U' L' R F D L2
U' D' L' D L' R F'
D' U' L' D L' R F'
U' D' L' D R L' F'
D' U' L' D R L' F'
U' D' L' D' L' R F
D' U' L' D' L' R F
U' D' L' D' R L' F
D' U' L' D' R L' F
D2 U' L' D R F L2
L' D' U' L2 D R F'
U' D' L2 D R D F'
U' D' L2 D R D' F'
U' D' L2 D R D2 F'
U' D' L2 D R F' D
U' D' L2 D R F' D'
U' D' L2 D R F' D2
D' U' L2 D R D F'
D' U' L2 D R D' F'
D' U' L2 D R D2 F'
D' U' L2 D R F' D
D' U' L2 D R F' D'
D' U' L2 D R F' D2
B' U' L R D' L2 F'
B' U' L R D' F' L2
L2 D' U' L2 D R F'
B2 U' L R D' L2 F'
B2 U' L R D' F' L2
U' D' R L' D' L' F
D' U' R L' D' L' F
D2 U' R L D L2 F
D2 U' R L' D F L2
D2 U' R L' F D L2
L D' U' L2 D R F'
B' U' L' R D' L2 F'
B' U' L' R D' F' L2
B U' L R D' L2 F'
B U' L R D' F' L2
B2 U' L' R D' L2 F'
B2 U' L' R D' F' L2
R2 D' F L2 R' F' B'
R2 D' F L2 R' B' F'
D U' R D F2 L' F
B' U' L2 R D' L2 F'
B' U' L2 R D' F' L2
R2 D' F R' L2 F' B'
R2 D' F R' L2 B' F'
B U' L' R D' L2 F'
B U' L' R D' F' L2
B2 U' L2 R D' L2 F'
B2 U' L2 R D' F' L2
D U' R F2 D L' F
B' U' R L D' L2 F'
B' U' R L D' F' L2
B' U' R L' D' L2 F'
B' U' R L' D' F' L2
B U' L2 R D' L2 F'
B U' L2 R D' F' L2
B' U' R L2 D' L2 F'
B' U' R L2 D' F' L2
B2 U' R L D' L2 F'
B2 U' R L D' F' L2
B' U' R U' F2 U F
B2 U' R L' D' L2 F'
B2 U' R L' D' F' L2
B2 U' R L2 D' L2 F'
B2 U' R L2 D' F' L2
B' U' R D F' D2 L2
B' U' R D' L F' L
B' U' R D' L2 D F'
B' U' R D' L2 D' F'
B' U' R D' L2 D2 F'
B' U' R D' L2 F' D
B' U' R D' L2 F' D'
B' U' R D' L2 F' D2
B' U' R D' F L2 F2
B' U' R D' F' L2 D
B' U' R D' F' L2 D'
B' U' R D' F' L2 D2
B2 U' R U' F2 U F
B' U' R D2 F' D L2
B2 U' R D F' D2 L2
B' U' R F' U' F' U
B2 U' R D' L F' L
B2 U' R D' L2 D F'
B2 U' R D' L2 D' F'
B2 U' R D' L2 D2 F'
B2 U' R D' L2 F' D
B2 U' R D' L2 F' D'
B2 U' R D' L2 F' D2
B2 U' R D' F L2 F2
B2 U' R D' F' L2 D
B2 U' R D' F' L2 D'
B2 U' R D' F' L2 D2
R D' F' L2 U R' U'
B2 U' R D2 F' D L2
B2 U' R F' U' F' U
R D' F' U R' U' L2
B U' R L D' L2 F'
B U' R L D' F' L2
R2 D' F2 R' F' L2 B'
B U' R L' D' L2 F'
B U' R L' D' F' L2
B U' R L2 D' L2 F'
B U' R L2 D' F' L2
B U' R U' F2 U F
B U' R D F' D2 L2
B U' R D' L F' L
B U' R D' L2 D F'
B U' R D' L2 D' F'
B U' R D' L2 D2 F'
B U' R D' L2 F' D
B U' R D' L2 F' D'
B U' R D' L2 F' D2
B U' R D' F L2 F2
B U' R D' F' L2 D
B U' R D' F' L2 D'
B U' R D' F' L2 D2
B U' R D2 F' D L2
B U' R F' U' F' U
F U' R F' R D' L2
F U' R F' D' L2 R
F U' R F' D' R L2
B' U' R2 D' L2 R' F'
B' U' R2 D' R' L2 F'
B' U' R2 D' R' F' L2
B2 U' R2 D' L2 R' F'
B2 U' R2 D' R' L2 F'
B2 U' R2 D' R' F' L2
B U' R2 D' L2 R' F'
B U' R2 D' R' L2 F'
B U' R2 D' R' F' L2
B' U' D' L2 D R F'
B2 U' D' L2 D R F'
B U' D' L2 D R F'
L' D2 L' B2 U' R F
U' D2 L R D L2 F
L2 D2 L' B2 U' R F
U' D2 L D L2 R F
U' D2 L D R L2 F
U' D2 L' R D F L2
U' D2 L' R F D L2
L D2 L' B2 U' R F
U' D2 L' D R F L2
F U' F' R D' L2 F'
F U' F' R D' F' L2
U' D2 R L D L2 F
U' D2 R L' D F L2
U' D2 R L' F D L2
R D2 R' B2 U' R F'
R D2 F' U R' B2 U'
B' U2 R' F2 U R2 F'
B2 U2 R' F2 U R2 F'
F U2 R F U F2 R
B U2 R' F2 U R2 F'
L' D2 B2 L' U' R F
L' D2 B2 U' D2 R F'
L2 D2 B2 L' U' R F
L' D2 B2 D2 U' R F'
L2 D2 B2 U' D2 R F'
L2 D2 B2 D2 U' R F'
L D2 B2 L' U' R F
L D2 B2 U' D2 R F'
L D2 B2 D2 U' R F'
U' F R F' R D' L2
U' F R F' D' L2 R
U' F R F' D' R L2
F U2 F U F2 R F'
B' U2 F2 U F2 R F'
U2 F R F U F2 R
B2 U2 F2 U F2 R F'
B U2 F2 U F2 R F'
D' F D' L' F B2 U'
D' F D' L' B2 F U'
D' F D' B2 L' F U'
R2 F' R2 B U' R F'
R F' U R2 B R U'
R F' U' F' U2 R' U'
F D' L' F L' B' U'
B' D' U' L2 D R F'
B2 D' U' L2 D R F'
R' F2 L' R U R F'
R' F2 L' U R2 D F'
R' F2 L' U R2 D' F'
R' F2 L' U R2 D2 F'
R' F2 L' U R2 F' D
R' F2 L' U R2 F' D'
R' F2 L' U R2 F' D2
R' F2 L' U F R2 F'
R' F2 L' U F' R2 F'
R' F2 L' U F2 R2 F'
R' F2 L' U' B U2 R2
B D' U' L2 D R F'
R F' B2 U' L F' U
R F' B2 U' F' L U
R' F2 R L' U R F'
U2 F2 R U F2 R F
U2 F2 R U' L' U2 F'
U2 F2 R' U' L' B U2
