U L R' F R F2
U L R2 F R F'
U L F R' F' R2
U L F2 R' F' R
U' L' U2 L2 F R
U' L' B' U2 L2 R'
U' L' B' U2 R' L2
U' L2 U2 L' F R
B' R B R2 U L
U R' L F R F2
B' R' U2 F' U' L'
U R' F L R F2
U R' F R L F2
U R' F R F2 L
U R' F' L D2 R2
R' U2 F' L' U' L2
U R2 L F R F'
U R2 F L R F'
U R2 F R L F'
U R2 F R F' L
U F L R' F' R2
U F R' L F' R2
U F R' F' L R2
U F R' F' R2 L
U F2 L R' F' R
U F2 R' L F' R
U F2 R' F' L R
U F2 R' F' R L
R2 B' R' B U L
U' B' U2 R' F' L'
U' L2 B' U2 L' F R'
U' L2 B' U2 R' L' F
R2 U D' L R' F' R
R2 U D' R' L F' R
R2 U D' R' F' L R
R2 U D' R' F' R L
U R L U2 B L U2
U' R L' U2 L2 F R
U R L F R2 F' R'
U R L F2 R2 F' R
U' R L' B' U2 L2 R'
U' R L' B' U2 R' L2
U' R L2 U2 L' F R
B' R D' B U L F2
B' R D' B U F2 L
R' U' L F D R2 B
U R F L R2 F' R'
B' R F B R2 U L
U R F R2 L F' R'
U R F R2 F' L R'
U R F R2 F' R' L
B' R F' B R2 U L
U R F' L D2 R2 F'
U R F2 L R2 F' R
B' R F2 B R2 U L
U R F2 R2 L F' R
U R F2 R2 F' L R
U R F2 R2 F' R L
B' R B R2 U L D
B' R B R2 U L D'
B' R B R2 U L D2
B' R B R2 U D L
B' R B R2 U D' L
B' R B R2 U D2 L
B' R B R2 D U L
B' R B R2 D' U L
B' R B R2 D2 U L
B' R B R2 F U L
B' R B R2 F' U L
B' R B R2 F2 U L
B' R B U L D' F2
B' R B U D' L F2
B' R B U D' F2 L
B2 R B R' U' R' U2
B' R B D' U L F2
B' R B D' U F2 L
B' R B F R2 U L
B' R B F' R2 U L
B2 R B D' R' F2 U
B2 R B D' F2 R' U
B' R B F2 R2 U L
B2 R B D2 R' U L2
U R B U2 B' L R'
U R B U2 B' R' L
U' R B' U2 R' F' L'
B' R B2 R2 B' U L
U' R' L' U2 L2 F R
U R' L D F R F2
U R' L D' F R F2
U R' L D2 F R F2
U R' L F R F2 D
U R' L F R F2 D'
U R' L F R F2 D2
U R' L F R' F2 R2
U R' L F R2 F2 R'
U R' L F' U2 L' U2
U' R' L' B' U2 L2 R'
U' R' L' B' U2 R' L2
U' R' L2 U2 L' F R
U R' L' F L2 R F2
U R' L' F R L2 F2
U R' L' F R F2 L2
B' R' U2 D F' U' L'
B' R' U2 D' F' U' L'
B' R' U2 D2 F' U' L'
D' R' U2 F' L' U' L2
D2 R' U2 F' L' U' L2
B' R' U2 F' U' L' D
B' R' U2 F' U' L' D'
B' R' U2 F' U' L' D2
B' R' U2 F' U' D L'
B' R' U2 F' U' D' L'
B' R' U2 F' U' D2 L'
B' R' U2 F' D U' L'
F' R' U2 F' L' U' L2
B' R' U2 F' D' U' L'
B' R' U2 F' D2 U' L'
B' R' U2 F' B U' L'
B' R' U2 F' B' U' L'
B' R' U2 F' B2 U' L'
B' R' U2 B F' U' L'
B' R' U2 B' F' U' L'
F2 R' U2 F' L' U' L2
B' R' U2 B2 F' U' L'
D R' U2 F' L' U' L2
F R' U2 F' L' U' L2
B' R' D U2 F' U' L'
U R' D L F R F2
U R' D F L R F2
U R' D F R L F2
U R' D F R F2 L
B' R' D' U2 F' U' L'
U R' D F' L D2 R2
R' U2 L F' L' U' L
U R' D' L F R F2
U R' D' F L R F2
U R' D' F R L F2
U R' D' F R F2 L
B' R' D2 U2 F' U' L'
U R' D' F' L D2 R2
R' U2 L' F' L' U' L'
U R' D2 L F R F2
U R' D2 F L R F2
U R' D2 F R L F2
U R' D2 F R F2 L
U R' D2 F' L D2 R2
U R' F L R F2 D
U R' F L R F2 D'
U R' F L R F2 D2
U R' F L R' F2 R2
U R' F L R2 F2 R'
U R' F L' R F2 L2
U R' F R L F2 D
U R' F R L F2 D'
U R' F R L F2 D2
U R' F R L' F2 L2
U R' F R F' L F'
U R' F R F2 L D
U R' F R F2 L D'
U R' F R F2 L D2
U R' F R F2 D L
U R' F R F2 D' L
U R' F R F2 D2 L
U R' F R' L F2 R2
U R' F R' F2 L R2
U R' F R' F2 R2 L
U R' F R2 L F2 R'
U R' F R2 F2 L R'
U R' F R2 F2 R' L
U R' F' L R D2 R2
U R' F' L R' D2 R2
U R' F' L R2 D2 R2
U R' F' L U2 L2 U2
U R' F' L D2 R2 D
U R' F' L D2 R2 D'
U R' F' L D2 R2 D2
U R' F' R L D2 R2
U R' F' R' L D2 R2
U R' F' R2 L D2 R2
U R' F' U2 L' U2 L2
U R' F' D L D2 R2
U R' F' D' L D2 R2
U R' F' D2 L D2 R2
B' R' B U2 F' U' L
U' R' B' U2 R' F' L'
R' U2 D F' L' U' L2
R' U2 D' F' L' U' L2
R' U2 D2 F' L' U' L2
U' R2 L' U2 L2 F R
U R2 L F R D F'
U R2 L F R D' F'
U R2 L F R D2 F'
U R2 L F R F' D
U R2 L F R F' D'
U R2 L F R F' D2
U' R2 L' B' U2 L2 R'
U' R2 L' B' U2 R' L2
U R2 L F2 R F' R
R' U2 F' L' U' L2 D
R' U2 F' L' U' L2 D'
R' U2 F' L' U' L2 D2
R' U2 F' L' D' B2 U'
U' R2 L2 U2 L' F R
R' U2 F' L' B U' L2
R' U2 F' L' B' U' L2
R' U2 F' L' B2 U' L2
R' U2 F' U' L D F2
U R2 L' F L2 R F'
U R2 L' F R L2 F'
U R2 L' F R F' L2
R' U2 F' D L' U' L2
R' U2 F' D' L' U' L2
R' U2 F' D2 L' U' L2
U R2 L2 D2 L' F R
U R2 L2 F R F' L'
U R2 D2 L' F L2 R
U R2 D2 L' F R L2
U R2 F L R D F'
U R2 F L R D' F'
U R2 F L R D2 F'
U R2 F L R F' D
U R2 F L R F' D'
U R2 F L R F' D2
U R2 F L' R F' L2
U R2 F R L D F'
U R2 F R L D' F'
U R2 F R L D2 F'
U R2 F R L F' D
U R2 F R L F' D'
U R2 F R L F' D2
U R2 F R L' F' L2
U R2 F R D L F'
U R2 F R D F' L
U R2 F R D' L F'
U R2 F R D' F' L
U R2 F R D2 L F'
U R2 F R D2 F' L
U R2 F R F L F2
U R2 F R F' L D
U R2 F R F' L D'
U R2 F R F' L D2
U R2 F R F' D L
U R2 F R F' D' L
U R2 F R F' D2 L
U R2 F2 L R F' R
U R2 F2 L F' R F'
U R2 F2 R L F' R
U R2 F2 R F' L R
U R2 F2 R F' R L
D' R2 B' R' B U L
D2 R2 B' R' B U L
F' R2 B' R' B U L
U' R2 B' U2 R' F' L'
F2 R2 B' R' B U L
D R2 B' R' B U L
F R2 B' R' B U L
D' U L R' F R F2
D2 U L R' F R F2
D' U L R2 F R F'
D2 U L R2 F R F'
F' U L R' F R F2
B R2 B2 R' B U L
F' U L R2 F R F'
R' D U2 F' L' U' L2
F2 U L R' F R F2
F2 U L R2 F R F'
D' U L F R' F' R2
D2 U L F R' F' R2
F' U L F R' F' R2
D' U L F2 R' F' R
D2 U L F2 R' F' R
F' U L F2 R' F' R
D U L R' F R F2
F2 U L F R' F' R2
D U L R2 F R F'
F2 U L F2 R' F' R
F U L R' F R F2
F U L R2 F R F'
U' D L' U2 L2 F R
U D L R' F R F2
U D L R2 F R F'
D U L F R' F' R2
D U L F2 R' F' R
F U L F R' F' R2
U' D L' B' U2 L2 R'
U' D L' B' U2 R' L2
U D L F R' F' R2
F U L F2 R' F' R
U D L F2 R' F' R
U' D L2 U2 L' F R
D' U R' L F R F2
D2 U R' L F R F2
F' U R' L F R F2
F2 U R' L F R F2
D' U R' F L R F2
D' U R' F R L F2
D' U R' F R F2 L
D2 U R' F L R F2
D2 U R' F R L F2
D2 U R' F R F2 L
D' U R' F' L D2 R2
D2 U R' F' L D2 R2
F' U R' F L R F2
F' U R' F R L F2
F' U R' F R F2 L
F' U R' F' L D2 R2
D U R' L F R F2
F2 U R' F L R F2
D' U R2 L F R F'
F2 U R' F R L F2
F2 U R' F R F2 L
D2 U R2 L F R F'
F2 U R' F' L D2 R2
F' U R2 L F R F'
F U R' L F R F2
U D R' L F R F2
F2 U R2 L F R F'
D U R' F L R F2
D U R' F R L F2
D U R' F R F2 L
D' U R2 F L R F'
D' U R2 F R L F'
D' U R2 F R F' L
D U R' F' L D2 R2
D2 U R2 F L R F'
D2 U R2 F R L F'
D2 U R2 F R F' L
F' U R2 F L R F'
F' U R2 F R L F'
F' U R2 F R F' L
F U R' F L R F2
F U R' F R L F2
F U R' F R F2 L
U D R' F L R F2
F U R' F' L D2 R2
U D R' F R L F2
D' U F L R' F' R2
U D R' F R F2 L
D U R2 L F R F'
F2 U R2 F L R F'
F2 U R2 F R L F'
F2 U R2 F R F' L
U D R' F' L D2 R2
D2 U F L R' F' R2
D' U F R' L F' R2
D' U F R' F' L R2
D' U F R' F' R2 L
D2 U F R' L F' R2
F U R2 L F R F'
D2 U F R' F' L R2
D2 U F R' F' R2 L
U D R2 L F R F'
D U R2 F L R F'
D U R2 F R L F'
D U R2 F R F' L
F U R2 F L R F'
F U R2 F R L F'
F U R2 F R F' L
U D R2 F L R F'
U D R2 F R L F'
D U F L R' F' R2
U D R2 F R F' L
D U F R' L F' R2
D U F R' F' L R2
D U F R' F' R2 L
U D F L R' F' R2
U D F R' L F' R2
U D F R' F' L R2
U D F R' F' R2 L
D' U F2 L R' F' R
D2 U F2 L R' F' R
D' U F2 R' L F' R
D' U F2 R' F' L R
D' U F2 R' F' R L
D2 U F2 R' L F' R
D2 U F2 R' F' L R
D2 U F2 R' F' R L
F' U F L R' F' R2
F' U F R' L F' R2
F2 U F L R' F' R2
F' U F R' F' L R2
F' U F R' F' R2 L
D U F2 L R' F' R
F2 U F R' L F' R2
F2 U F R' F' L R2
F2 U F R' F' R2 L
D U F2 R' L F' R
D U F2 R' F' L R
D U F2 R' F' R L
U D F2 L R' F' R
U D F2 R' L F' R
U D F2 R' F' L R
U D F2 R' F' R L
F U F L R' F' R2
F U F R' L F' R2
F U F R' F' L R2
F U F R' F' R2 L
U' D B' U2 R' F' L'
F' U F2 L R' F' R
F' U F2 R' L F' R
F' U F2 R' F' L R
F' U F2 R' F' R L
F2 U F2 L R' F' R
F2 U F2 R' L F' R
F2 U F2 R' F' L R
F2 U F2 R' F' R L
F U F2 L R' F' R
F U F2 R' L F' R
F U F2 R' F' L R
F U F2 R' F' R L
U' D' L' U2 L2 F R
D' U' L' U2 L2 F R
D2 U' L' U2 L2 F R
U D' L R' F R F2
U D' L R2 F R F'
R2 D' U L R' F' R
D' U' L' B' U2 L2 R'
U' D' L' B' U2 L2 R'
D' U' L' B' U2 R' L2
U' D' L' B' U2 R' L2
D2 U' L' B' U2 L2 R'
D2 U' L' B' U2 R' L2
U D' L F R' F' R2
R2 D' U R' L F' R
R2 D' U R' F' L R
R2 D' U R' F' R L
U D' L F2 R' F' R
U' D' L2 U2 L' F R
D' U' L2 U2 L' F R
D2 U' L2 U2 L' F R
D U' L' U2 L2 F R
R' D' U2 F' L' U' L2
D U' L' B' U2 L2 R'
D U' L' B' U2 R' L2
D U' L2 U2 L' F R
F' U' L' U2 L2 F R
F2 U' L' U2 L2 F R
F' U' L' B' U2 L2 R'
F' U' L' B' U2 R' L2
F2 U' L' B' U2 L2 R'
F2 U' L' B' U2 R' L2
F' U' L2 U2 L' F R
F2 U' L2 U2 L' F R
F U' L' U2 L2 F R
U D' R' L F R F2
F U' L' B' U2 L2 R'
F U' L' B' U2 R' L2
U D' R' F L R F2
U D' R' F R L F2
U D' R' F R F2 L
U D' R' F' L D2 R2
F U' L2 U2 L' F R
U D' R2 L F R F'
U D' R2 F L R F'
U D' R2 F R L F'
U D' R2 F R F' L
U D' F L R' F' R2
U D' F R' L F' R2
U D' F R' F' L R2
U D' F R' F' R2 L
U D' F2 L R' F' R
U D' F2 R' L F' R
U D' F2 R' F' L R
U D' F2 R' F' R L
B2 U' D' R' B L U2
U' D' B' U2 R' F' L'
D' U' B' U2 R' F' L'
D2 U' B' U2 R' F' L'
D U' B' U2 R' F' L'
U' D2 L' U2 L2 F R
U D2 L R' F R F2
U D2 L R2 F R F'
U' D2 L' B' U2 L2 R'
U' D2 L' B' U2 R' L2
U' D2 L2 U2 L' F R
U D2 L F R' F' R2
U D2 L F2 R' F' R
F' U' B' U2 R' F' L'
F2 U' B' U2 R' F' L'
F U' B' U2 R' F' L'
R' D2 U2 F' L' U' L2
U D2 R' L F R F2
U D2 R' F L R F2
U D2 R' F R L F2
U D2 R' F R F2 L
U D2 R' F' L D2 R2
U D2 R2 L F R F'
B U2 L D2 F U' L'
B U2 L F B' U' L
B U2 L B' F U' L
U D2 R2 F L R F'
U D2 R2 F R L F'
U D2 R2 F R F' L
U D2 F L R' F' R2
U D2 F R' L F' R2
U D2 F R' F' L R2
U D2 F R' F' R2 L
U D2 F2 L R' F' R
U D2 F2 R' L F' R
U D2 F2 R' F' L R
U D2 F2 R' F' R L
U' D2 B' U2 R' F' L'
B U2 D L F B' U'
B U2 D L B' F U'
U F L R U2 B U2
U F L R' F R2 F2
U F L R' F' R2 D
U F L R' F' R2 D'
U F L R' F' R2 D2
U F L R' F2 R2 F
B U2 D2 L F U' L'
U F L D R' F' R2
U F L D' R' F' R2
U F L D2 R' F' R2
U F L F R' F' R
U F L' R' F' L2 R2
U F L' R' F' R2 L2
U F R L U2 B U2
U F R' L F R2 F2
U F R' L F' R2 D
U F R' L F' R2 D'
U F R' L F' R2 D2
U F R' L F2 R2 F
U F R' L' F' L2 R2
U F R' L' F' R2 L2
U F R' F L R2 F2
U F R' F L F2 R2
U F R' F R2 L F2
U F R' F R2 F2 L
U F R' F' L R2 D
U F R' F' L R2 D'
U F R' F' L R2 D2
U F R' F' R2 L D
U F R' F' R2 L D'
U F R' F' R2 L D2
U F R' F' R2 D L
U F R' F' R2 D' L
U F R' F' R2 D2 L
U F R' F2 R2 F L
B U2 B' U' L F R
B2 U2 B2 U' L F R
U F D L R' F' R2
U F D R' L F' R2
U F D R' F' L R2
U F D R' F' R2 L
B' D R B R2 U L
U F D' L R' F' R2
B' D R' U2 F' U' L'
U F D' R' L F' R2
U F D' R' F' L R2
U F D' R' F' R2 L
U F D2 L R' F' R2
U F D2 R' L F' R2
U F D2 R' F' L R2
U F D2 R' F' R2 L
R2 F B' R' B U L
U2 F' L F L2 U' L2
U F' L R D2 R2 F'
U F' L R' D2 F' R2
U F' L R' F' D2 R2
B D U2 L F B' U'
B D U2 L B' F U'
U2 F' L' U2 B' U L2
U F' L D2 R' F' R'
U' F' L2 B' L' R' F
U' F' L2 B' L' F R'
U' F' L2 B' R' L' F
U F' R L D2 R2 F'
U F' R' L D2 F' R2
U F' R' L F' D2 R2
U F' R' F2 R F L
U F' R2 F2 L R F'
U F' R2 F2 R L F'
U F' R2 F2 R F' L
U F' U2 L' U2 L2 F
U F' U2 L' B' U2 L2
B' D' R B R2 U L
B' D' R' U2 F' U' L'
R2 F' B' R' B U L
B2 D' U' R' B L U2
U2 F2 L F L' U' L
U F2 L R' F' R D
U F2 L R' F' R D'
U F2 L R' F' R D2
U F2 L R' F' D R
U F2 L R' F' D' R
U F2 L R' F' D2 R
U F2 L R2 F' R F'
U F2 L F' R' F' R2
U F2 L' R' F' L2 R
U F2 L' R' F' R L2
U F2 R' L F' R D
U F2 R' L F' R D'
U F2 R' L F' R D2
U F2 R' L F' D R
U F2 R' L F' D' R
U F2 R' L F' D2 R
U F2 R' L' F' L2 R
U F2 R' L' F' R L2
U F2 R' F' L R D
U F2 R' F' L R D'
U F2 R' F' L R D2
U F2 R' F' L D R
U F2 R' F' L D' R
U F2 R' F' L D2 R
U F2 R' F' R L D
U F2 R' F' R L D'
U F2 R' F' R L D2
U F2 R' F' R D L
U F2 R' F' R D' L
U F2 R' F' R D2 L
U F2 R' F' D L R
U F2 R' F' D R L
U F2 R' F' D' L R
U F2 R' F' D' R L
U F2 R' F' D2 L R
U F2 R' F' D2 R L
U F2 R2 L F' R F'
U F2 R2 F' L R F'
U F2 R2 F' R L F'
U F2 R2 F' R F' L
B' D2 R B R2 U L
B' D2 R' U2 F' U' L'
R2 F2 B' R' B U L
U' B L U2 D2 F L'
U' B L D2 U2 F L'
U' B L B R' U2 F
U' B L B' U2 F L
U' B L' B' L2 U2 L'
B D2 U2 L F U' L'
R B U2 L B' U' L
U' B D2 L U2 F L'
U B U2 B' L R' F
U B U2 B' L F R'
U B U2 B' R' L F
R B U2 D L B' U'
B' F R B R2 U L
R B U2 B' U' L F
B' F R' U2 F' U' L'
R B D U2 L B' U'
D2 B' R B R2 U L
D' B' R B R2 U L
D2 B' R' U2 F' U' L'
D' B' R' U2 F' U' L'
D B' R B R2 U L
R' B' R2 B R U L
R2 B' R' D B U L
R2 B' R' D' B U L
D B' R' U2 F' U' L'
R2 B' R' D2 B U L
R2 B' R' F B U L
R2 B' R' F' B U L
R2 B' R' F2 B U L
R2 B' R' B U L D
R2 B' R' B U L D'
R2 B' R' B U L D2
R2 B' R' B U D L
R2 B' R' B U D' L
R2 B' R' B U D2 L
R2 B' R' B D U L
R2 B' R' B D' U L
R2 B' R' B D2 U L
R2 B' R' B F U L
R2 B' R' B F' U L
R2 B' R' B F2 U L
U' B' U2 L R' F' L'
U' B' U2 L' R' F' L'
U' B' U2 L2 R' F' L'
U' B' U2 R' L F' L'
U' B' U2 R' L' F' L'
U' B' U2 R' L2 F' L'
U' B' U2 R' D F' L'
U' B' U2 R' D' F' L'
U' B' U2 R' D2 F' L'
U' B' U2 R' F' L' D
U' B' U2 R' F' L' D'
U' B' U2 R' F' L' D2
U' B' U2 R' F' D L'
U' B' U2 R' F' D' L'
U' B' U2 R' F' D2 L'
U' B' U2 D R' F' L'
U' B' U2 D' R' F' L'
U' B' U2 D2 R' F' L'
U' B' U2 F' L' R' F'
U' B' U2 F' R' L' F'
B' F' R B R2 U L
F' B' R B R2 U L
U' B' D U2 R' F' L'
B' F' R' U2 F' U' L'
F2 B' R B R2 U L
F' B' R' U2 F' U' L'
F2 B' R' U2 F' U' L'
U' B' D' U2 R' F' L'
F B' R B R2 U L
U' B' D2 U2 R' F' L'
F B' R' U2 F' U' L'
R2 B' F R' B U L
R2 B' F' R' B U L
U' B2 L' R' B' L U2
R2 B' F2 R' B U L
U' B2 R' L' B' L U2
U' B2 R' B U2 R' F'
U' B2 R' B' L U2 F
B' F2 R B R2 U L
B' F2 R' U2 F' U' L'
