B2 L' U' R U' L2
L' R' B2 U' R2 U'
L' R' B2 U2 D B2
L' R' B2 D U2 B2
R' L' B2 U' R2 U'
L' R' B2 D' F2 U2
R' L' B2 U2 D B2
R' L' B2 D U2 B2
R' L' B2 D' F2 U2
R U L' R2 B2 U2
R U L' B2 R2 U2
R U R2 L' B2 U2
R U R2 B2 L' U2
R U B2 L' R2 U2
R U B2 R2 L' U2
R U' D2 F2 L2 R
R U' D2 F2 R L2
R D L2 B2 U' R'
R D2 U' F2 L2 R
R D2 U' F2 R L2
R' B2 L' U' R2 U'
R' B2 L' U2 D B2
R' B2 L' D U2 B2
R' B2 L' D' F2 U2
L' B2 U' R U' L
R' B2 D L' U2 B2
R' B2 D' L' F2 U2
R' B2 D' F2 U2 R
B2 L' U' R B2 U' L2
F2 L' U' R' B2 U2 R2
B2 L' U' D' R B2 U'
B2 L' U' D' B2 R U'
R' L' F B2 U' R2 U'
R' L' F B2 U2 D B2
R' L' F B2 D U2 B2
R' L' F B2 D' F2 U2
L' R' F B2 U' R2 U'
L' R' F B2 U2 D B2
L' R' F B2 D U2 B2
L' R' F B2 D' F2 U2
B2 L' U' B R U' L2
B2 L' U' B' R U' L2
F2 L' U' B2 U2 L R
F2 L' U' B2 U2 R L
B2 L' U' B2 R U' L2
B2 L' U2 L2 U R U'
R' L' F' B2 U' R2 U'
R' L' F' B2 U2 D B2
R' L' F' B2 D U2 B2
R' L' F' B2 D' F2 U2
L' R' F' B2 U' R2 U'
L' R' F' B2 U2 D B2
L' R' F' B2 D U2 B2
L' R' F' B2 D' F2 U2
B2 L' D U F2 L' U
R' L' F2 B2 U' R2 U'
R' L' F2 B2 U2 D B2
R' L' F2 B2 D U2 B2
R' L' F2 B2 D' F2 U2
L' R' F2 B2 U' R2 U'
L' R' F2 B2 U2 D B2
L' R' F2 B2 D U2 B2
L' R' F2 B2 D' F2 U2
R' L' B U' R2 U' F'
L' R' B U' R2 U' F'
R' L' B D B U2 B
L' R' B D B U2 B
R' L' B D' F2 B U2
R' L' B D' B F2 U2
L' R' B D' F2 B U2
L' R' B D' B F2 U2
B2 L' D' U' R B2 U'
B2 L' D' U' B2 R U'
R' L' B' D B' U2 B'
L' R' B' D B' U2 B'
B2 L' D2 R2 U' R' U'
R' L' B' D' F2 B' U2
R' L' B' D' B' F2 U2
L' R' B' D' F2 B' U2
L' R' B' D' B' F2 U2
R' L' B2 U D2 L2 U
L' R' B2 U D2 L2 U
L R' B2 L2 U' R2 U'
R' L' B2 U' R2 U' D
R' L' B2 U' R2 U' D'
R' L' B2 U' R2 U' D2
R' L' B2 U' R2 D U'
R' L' B2 U' R2 D' U'
R' L' B2 U' R2 D2 U'
L R' B2 L2 U2 D B2
L R' B2 L2 D U2 B2
L R' B2 L2 D' F2 U2
L' R' B2 U' R2 U' D
L' R' B2 U' R2 U' D'
L' R' B2 U' R2 U' D2
L' R' B2 U' R2 D U'
L' R' B2 U' R2 D' U'
L' R' B2 U' R2 D2 U'
R2 L' B2 R U L U
R' L' B2 U2 D B2 D
R' L' B2 U2 D B2 D'
R' L' B2 U2 D B2 D2
L' R' B2 U2 D B2 D
L' R' B2 U2 D B2 D'
L' R' B2 U2 D B2 D2
R' L' B2 U2 B D B2
R' L' B2 U2 B' D B2
R' L' B2 U2 B2 D B2
L' R' B2 U2 B D B2
L' R' B2 U2 B' D B2
L' R' B2 U2 B2 D B2
R' L' B2 D U2 B2 D
R' L' B2 D U2 B2 D'
R' L' B2 D U2 B2 D2
R' L' B2 D F U2 B2
R' L' B2 D F' U2 B2
R' L' B2 D F2 U2 B2
L' R' B2 D U2 B2 D
L' R' B2 D U2 B2 D'
L' R' B2 D U2 B2 D2
L' R' B2 D F U2 B2
L' R' B2 D F' U2 B2
L' R' B2 D F2 U2 B2
R' L' B2 D' F2 U2 D
R' L' B2 D' F2 U2 D'
R' L' B2 D' F2 U2 D2
R' L' B2 D' F2 D U2
R' L' B2 D' F2 D' U2
R' L' B2 D' F2 D2 U2
L' R' B2 D' F2 U2 D
L' R' B2 D' F2 U2 D'
L' R' B2 D' F2 U2 D2
L' R' B2 D' F2 D U2
L' R' B2 D' F2 D' U2
L' R' B2 D' F2 D2 U2
R' L' B2 D2 U L2 U
L' R' B2 D2 U L2 U
L2 R' B2 U' R2 U' R
R' L' B2 F U' R2 U'
R' L' B2 F U2 D B2
R L' B2 R2 U' R2 U'
R' L' B2 F D U2 B2
R L' B2 R2 U2 D B2
R' L' B2 F D' F2 U2
R L' B2 R2 D U2 B2
L' R' B2 F U' R2 U'
R L' B2 R2 D' F2 U2
L' R' B2 F U2 D B2
L' R' B2 F D U2 B2
L' R' B2 F D' F2 U2
L2 R' B2 U2 D R' B2
R' L' B2 F' U' R2 U'
R' L' B2 F' U2 D B2
R' L' B2 F' D U2 B2
R' L' B2 F' D' F2 U2
L' R' B2 F' U' R2 U'
L' R' B2 F' U2 D B2
L' R' B2 F' D U2 B2
L' R' B2 F' D' F2 U2
R' L' B2 F2 U' R2 U'
R' L' B2 F2 U2 D B2
R' L' B2 F2 D U2 B2
R' L' B2 F2 D' F2 U2
L' R' B2 F2 U' R2 U'
L2 R' B2 D U2 R' B2
L' R' B2 F2 U2 D B2
L' R' B2 F2 D U2 B2
L' R' B2 F2 D' F2 U2
L2 R' B2 D' F2 U2 R'
R L2 U L R2 B2 U2
R L2 U L B2 R2 U2
R L2 U R2 L B2 U2
R L2 U R2 B2 U2 R'
R L2 U B2 R2 U2 R
B2 L' F2 U L' U L'
R L2 U' D2 L2 F2 R
B L' B U' R U' L
R L2 D B2 L2 U' R'
U' L' B2 U' R U' L
U2 L' B2 U' R U' L
U L' B2 U' R U' L
D L2 R U L R2 U2
D L2 R U R2 L U2
D L2 R D B2 U' R'
R L2 D2 U' L2 F2 R
L' R2 B2 R U L U
R' L2 B2 U' R2 U' R
R' L2 B2 U2 D R' B2
R' L2 B2 D U2 R' B2
R' L2 B2 D' F2 U2 R'
R U L R2 B2 L2 U2
R U L B2 L2 R2 U2
R U L B2 R2 L2 U2
R U L' R B2 R U2
R U L' R' B2 U2 L
R U L' R2 U2 D2 F2
R U L' R2 D2 U2 F2
R U L' R2 B2 U2 D
R U L' R2 B2 U2 D'
R U L' R2 B2 U2 D2
R U L' R2 B2 D U2
R U L' R2 B2 D' U2
R U L' R2 B2 D2 U2
R U L' U2 D2 L2 F2
R U L' U2 D2 F2 L2
R U L' D2 U2 L2 F2
R U L' D2 U2 F2 L2
R U L' B R2 U2 F'
R U L' B' R2 B' U2
R U L' B2 R2 U2 D
R U L' B2 R2 U2 D'
R U L' B2 R2 U2 D2
R U L' B2 R2 D U2
R U L' B2 R2 D' U2
R U L' B2 R2 D2 U2
R U L' B2 U2 D2 L2
R U L' B2 D2 U2 L2
R U L2 R2 B2 U2 R'
R U L2 B2 R2 U2 R
R U R L' B2 R U2
R U R B2 L' R U2
R U R B2 R L' U2
R U R' L' B2 U2 L
R U R' B2 L' U2 L2
R U R2 L B2 L2 U2
R U R2 L' U2 D2 F2
R U R2 L' D2 U2 F2
R U R2 L' B2 U2 D
R U R2 L' B2 U2 D'
R U R2 L' B2 U2 D2
R U R2 L' B2 D U2
R U R2 L' B2 D' U2
R U R2 L' B2 D2 U2
R U R2 L2 B2 U2 R'
R U R2 U2 D2 F2 R
R U R2 D2 L' U2 F2
R U R2 D2 U2 F2 R
R U R2 B L' B U2
R U R2 B2 L' U2 D
R U R2 B2 L' U2 D'
R U R2 B2 L' U2 D2
R U R2 B2 L' D U2
R U R2 B2 L' D' U2
R U R2 B2 L' D2 U2
R U R2 B2 D L' U2
R U R2 B2 D' L' U2
R U R2 B2 D2 L' U2
D L2 B2 R U' L R2
D L2 B2 R U' R2 L
R U D2 L' U2 L' F2
B2 R L' U2 L2 D' B2
D R L2 U L R2 U2
D R L2 U R2 L U2
D R L2 D B2 U' R'
D2 R U L' R2 U2 F2
U' R U L' R2 B2 U2
U' R U L' B2 R2 U2
D2 R U R2 L' U2 F2
D2 R U R2 U2 F2 R
U2 R U L' R2 B2 U2
U' R U R2 L' B2 U2
U2 R U L' B2 R2 U2
U' R U R2 B2 L' U2
U2 R U R2 L' B2 U2
U2 R U R2 B2 L' U2
U R U L' R2 B2 U2
B' R U B' L' U2 L2
U R U L' B2 R2 U2
U' R U B2 L' R2 U2
U' R U B2 R2 L' U2
U R U R2 L' B2 U2
D2 R U' R F2 L' R
D2 R U' R F2 R L'
U R U R2 B2 L' U2
U2 R U B2 L' R2 U2
U2 R U B2 R2 L' U2
U' R U' D2 F2 L2 R
U' R U' D2 F2 R L2
D2 R U' F2 D2 L2 R
D2 R U' F2 D2 R L2
U R U B2 L' R2 U2
U R U B2 R2 L' U2
U2 R U' D2 F2 L2 R
U2 R U' D2 F2 R L2
U R U' D2 F2 L2 R
U R U' D2 F2 R L2
R U B L' R2 U2 F'
R U B L' B R2 U2
R U B R2 L' U2 F'
U' R D L2 B2 U' R'
U2 R D L2 B2 U' R'
R U B' R2 B' L' U2
U R D L2 B2 U' R'
D R D B2 U' F2 R
R U B2 L' R2 U2 D
R U B2 L' R2 U2 D'
R U B2 L' R2 U2 D2
R U B2 L' R2 D U2
R U B2 L' R2 D' U2
R U B2 L' R2 D2 U2
R U B2 L' U2 D2 L2
R U B2 L' D2 U2 L2
R U B2 R2 L' U2 D
R U B2 R2 L' U2 D'
R U B2 R2 L' U2 D2
R U B2 R2 L' D U2
R U B2 R2 L' D' U2
R U B2 R2 L' D2 U2
R U B2 R2 D L' U2
R U B2 R2 D' L' U2
R U B2 R2 D2 L' U2
R U B2 D2 L' U2 L'
U' R D2 U' F2 L2 R
U' R D2 U' F2 R L2
U2 R D2 U' F2 L2 R
U2 R D2 U' F2 R L2
R U' L D2 L2 R2 F2
R U' L D2 L2 F2 R2
R U' L D2 R2 L2 F2
R U' L D2 R2 F2 L2
R U' L D2 F2 L2 R2
R U' L D2 F2 R2 L2
U R D2 U' F2 L2 R
U R D2 U' F2 R L2
R U' L' R2 B2 U2 B2
R U' L' B2 R2 U2 B2
L' U' R U R2 B2 U2
L' U' R U B2 R2 U2
L' U' R U' D2 L2 F2
L' U' R U' D2 F2 L2
R U' L2 D2 L2 F2 R
L' U' R D L2 B2 U'
L' U' R D B2 L2 U'
L' U' R D2 U' L2 F2
L' U' R D2 U' F2 L2
R U' R D2 F2 L' R
R U' R D2 F2 R L'
R' U' R2 U L' B2 U2
R' U' R2 U B2 L' U2
R' U' R2 U' D2 F2 R
R' U' R2 D2 U' F2 R
R U' R2 L' B2 U2 B2
R' U' D L2 U' B2 R'
R U' R2 B2 L' U2 B2
D2 R' L' U' R2 U' F2
D2 R' L' U2 F2 D B2
B2 R' L' U' R2 U' L2
B2 R' L' U2 L2 D B2
R U' D2 R F2 L2 R
R U' D2 R F2 R L2
R U' D2 R' F2 L2 R
R U' D2 R' F2 R L2
D R' L' U' L' R2 U'
R U' D2 R2 F2 L2 R
R U' D2 R2 F2 R L2
D R' L' U' R2 L' U'
R U' D2 F' L2 F' R
R U' D2 F2 L2 R D
R U' D2 F2 L2 R D'
R U' D2 F2 L2 R D2
R U' D2 F2 L2 D R
R U' D2 F2 L2 D' R
R U' D2 F2 L2 D2 R
R U' D2 F2 R L2 D
R U' D2 F2 R L2 D'
R U' D2 F2 R L2 D2
U' R' L' B2 U' R2 U'
U' R' L' B2 U2 D B2
U' R' L' B2 D U2 B2
U' R' L' B2 D' F2 U2
U2 R' L' B2 U' R2 U'
U2 R' L' B2 U2 D B2
U2 R' L' B2 D U2 B2
U2 R' L' B2 D' F2 U2
U R' L' B2 U' R2 U'
U R' L' B2 U2 D B2
U R' L' B2 D U2 B2
U R' L' B2 D' F2 U2
D2 R' U' R2 U' F2 R
R U' F2 R D2 F2 L'
R U' F2 D2 L2 R F2
R U' F2 D2 R L2 F2
R U' F2 D2 R F2 L2
D2 R' U2 F2 D R B2
D2 R' U2 F2 D B2 R
D R' U2 D F2 R B2
D R' U2 D F2 B2 R
D R' U2 D B2 F2 R
B2 R' D L' U2 L2 B2
B2 R' D L' U2 B2 L2
D R' D L' U2 F2 B2
D R' D L' U2 B2 F2
D R' D U2 F2 R B2
D R' D U2 F2 B2 R
D R' D U2 B2 F2 R
D R' D F2 R B2 L
B2 R' D' L' F2 U2 L2
R U' B2 L' R2 U2 B2
D R' D' L' F2 B2 U2
D R' D' L' B2 F2 U2
R U' B2 R2 L' U2 B2
B2 R' D' F2 U2 L R
B2 R' D' F2 U2 R L
D R' D' F2 B2 U2 R
D R' D' B2 L' F2 U2
D R' D' B2 F2 U2 R
D2 R' F2 D R B2 L
R' U2 D B2 D F2 R
U' R' B2 L' U' R2 U'
U' R' B2 L' U2 D B2
U' R' B2 L' D U2 B2
U' R' B2 L' D' F2 U2
U2 R' B2 L' U' R2 U'
U2 R' B2 L' U2 D B2
U2 R' B2 L' D U2 B2
U2 R' B2 L' D' F2 U2
U' R' B2 D L' U2 B2
F2 R' B2 U L' U R2
U' R' B2 D' L' F2 U2
U' R' B2 D' F2 U2 R
U2 R' B2 D L' U2 B2
U2 R' B2 D' L' F2 U2
U R' B2 L' U' R2 U'
U R' B2 L' U2 D B2
U2 R' B2 D' F2 U2 R
U R' B2 L' D U2 B2
U R' B2 L' D' F2 U2
R' U2 D2 F2 R D' B2
R' U2 D2 F2 D' R B2
R' U2 D2 F2 D' B2 R
U R' B2 D L' U2 B2
U R' B2 D' L' F2 U2
R U2 D' R2 F2 U R
U R' B2 D' F2 U2 R
R U2 D' F2 R2 U R'
B2 R2 L' U' R' U' L2
R' D L' U' L' U' B2
D2 R2 F2 L' R D B2
D2 R2 F2 R L' D B2
D2 R2 F2 R D L' B2
D2 R2 F2 R D B2 L'
R D L2 F B2 U' R'
R D L2 F' B2 U' R'
R D L2 F2 B2 U' R'
R D L2 B2 U' R' D
R D L2 B2 U' R' D'
R D L2 B2 U' R' D2
R D L2 B2 U' D R'
R D L2 B2 U' D' R'
R D L2 B2 U' D2 R'
R D L2 B2 D U' R'
R D L2 B2 D' U' R'
R D L2 B2 D2 U' R'
R D L2 B2 F U' R'
R D L2 B2 F' U' R'
R D L2 B2 F2 U' R'
L' D R' U' L2 R2 U'
L' D R' U' R2 L2 U'
L' D R' U2 D F2 B2
L' D R' U2 D B2 F2
L' D R' D U2 F2 B2
L' D R' D U2 B2 F2
L' D R' D' F2 B2 U2
L' D R' D' B2 F2 U2
R' D U' L2 U' B2 R'
R' D U2 B2 D F2 R
R D F2 L2 B2 U' R
R D F2 B2 L2 U' R
R D B2 L2 U L U2
R D B2 U' D F2 R
R D B2 D U' F2 R
R D B2 F2 L2 U' R
R' D' L' F2 U R2 U
R' D' L' F2 U2 D' F2
R' D' L' F2 D B2 U2
R' D' L' F2 D' U2 F2
B2 U F2 L' U L2 R
B2 U F2 L' U R L2
R D' U2 R2 F2 U R
R D' U2 F2 R2 U R'
R' D' F2 U R2 U R'
R' D' F2 U2 D' R F2
B2 U' R U L' U2 L2
B2 U' R U L' U2 L2
R' D' F2 D B2 U2 R
R' D' F2 D' U2 R F2
B2 U' R U' L D2 R2
B2 U' R F2 U' L R
B2 U' R F2 U' R L
F' U' R' F' B2 U2 R
F' U' R' B2 F' U2 R
R' D2 L' U L' U F2
L' D2 R' U' R2 U' F2
L' D2 R' U2 F2 D B2
L D2 R U' R F2 L'
R D2 U L' U2 L' F2
R' D2 U2 F2 R D' B2
R' D2 U2 F2 D' R B2
R' D2 U2 F2 D' B2 R
R D2 U' R F2 L2 R
R D2 U' R F2 R L2
R D2 U' R' F2 L2 R
R D2 U' R' F2 R L2
R D2 U' R2 F2 L2 R
R D2 U' R2 F2 R L2
R D2 U' F' L2 F' R
R D2 U' F2 L2 R D
R D2 U' F2 L2 R D'
R D2 U' F2 L2 R D2
R D2 U' F2 L2 D R
R D2 U' F2 L2 D' R
R D2 U' F2 L2 D2 R
R D2 U' F2 R L2 D
R D2 U' F2 R L2 D'
R D2 U' F2 R L2 D2
R' D2 F2 R D' B2 L
R' D2 F2 D' R B2 L
R2 D2 F2 L' R D B2
R2 D2 F2 R L' D B2
R2 D2 F2 R D L' B2
R2 D2 F2 R D B2 L'
R D2 F' U' L2 F' R
R D2 F' U' F' L2 R
R D2 F' U' F' R L2
R D2 B U' F2 L2 R
R D2 B U' F2 R L2
R D2 B' U' F2 L2 R
R D2 B' U' F2 R L2
R D2 B2 U' F2 L2 R
R D2 B2 U' F2 R L2
B2 D L' U' R U' L2
L' F B2 U2 D' L B'
L' F B2 D' U2 L B'
B2 D' L' U' R U' L2
D2 F2 L D' B2 L R
D2 F2 L D' B2 R L
L' F2 R' B2 U L' U
R F2 U R2 B2 L U2
B2 D2 L' U' R U' L2
R F2 U B2 R2 U2 R'
R F2 U' R D2 F2 L'
R F2 U' D2 L2 R F2
R F2 U' D2 R L2 F2
R F2 U' D2 R F2 L2
R F2 D L2 B2 U' R
R F2 D B2 L2 U' R
D2 F2 B2 L R D' B2
D2 F2 B2 L D' R B2
D2 F2 B2 L D' B2 R
D2 F2 B2 R L D' B2
R F2 D2 U' L2 R F2
R F2 D2 U' R L2 F2
R F2 D2 U' R F2 L2
R' F2 B2 U' R2 U' R'
R' F2 B2 U2 D R B2
R' F2 B2 U2 D B2 R
R' F2 B2 D U2 R B2
R' F2 B2 D U2 B2 R
L' F2 B2 U L' U L2
R' F2 B2 D' F2 L' U2
L' F2 B2 U2 L D' B2
R' B L' U' R2 U' F'
R' B L' D B U2 B
R' B L' D' F2 B U2
R' B L' D' B F2 U2
R' B L' B U' R2 U'
R' B L' B U2 D B2
R' B L' B D U2 B2
R' B L' B D' F2 U2
R B U L' R2 U2 F'
R B U L' B R2 U2
R B U R2 L' U2 F'
R' B D L' B U2 B
R B U B L' R2 U2
R B U B R2 L' U2
R' B D B L' U2 B
R' B D' L' F2 B U2
R' B D' L' B F2 U2
R' B D' F2 B U2 R
R' B D' B L' F2 U2
R' B D' B F2 U2 R
B2 F U2 D' L B' R'
B2 F D' U2 L B' R'
R B' U R2 B' L' U2
R B' U B' L' R2 U2
R B' U B' R2 L' U2
R' B' D' F2 B' U2 R
R' B' D' B' L' F2 U2
R' B' D' B' F2 U2 R
U' B2 L' U' R U' L2
R' B2 L' U D2 L2 U
R' B2 L' U' R2 U' D
R' B2 L' U' R2 U' D'
R' B2 L' U' R2 U' D2
R' B2 L' U' R2 D U'
R' B2 L' U' R2 D' U'
R' B2 L' U' R2 D2 U'
R' B2 L' U2 D B2 D
R' B2 L' U2 D B2 D'
R' B2 L' U2 D B2 D2
R' B2 L' U2 B D B2
R' B2 L' U2 B' D B2
R' B2 L' U2 B2 D B2
R' B2 L' D U2 B2 D
R' B2 L' D U2 B2 D'
R' B2 L' D U2 B2 D2
R' B2 L' D F U2 B2
R' B2 L' D F' U2 B2
R' B2 L' D F2 U2 B2
R' B2 L' D' F2 U2 D
R' B2 L' D' F2 U2 D'
R' B2 L' D' F2 U2 D2
R' B2 L' D' F2 D U2
R' B2 L' D' F2 D' U2
R' B2 L' D' F2 D2 U2
R' B2 L' D2 U L2 U
R' B2 L' F U' R2 U'
R' B2 L' F U2 D B2
R' B2 L' F D U2 B2
R' B2 L' F D' F2 U2
R' B2 L' F' U' R2 U'
R' B2 L' F' U2 D B2
R' B2 L' F' D U2 B2
R' B2 L' F' D' F2 U2
R' B2 L' F2 U' R2 U'
R' B2 L' F2 U2 D B2
R' B2 L' F2 D U2 B2
R' B2 L' F2 D' F2 U2
U2 B2 L' U' R U' L2
R' B2 L2 U2 D B2 R'
R' B2 L2 D L U2 B2
R' B2 L2 D U2 B2 R'
R' B2 L2 D' L F2 U2
R' B2 L2 D' F2 L U2
R2 B2 L' R U L2 U
R2 B2 L' R U2 D' B2
R2 B2 L' R D F2 U2
R2 B2 L' R D' U2 B2
R2 B2 L' D R F2 U2
R2 B2 L' D F2 U2 L'
R2 B2 L' D' R U2 B2
D2 B2 R U' F2 L R
D2 B2 R U' F2 R L
U B2 L' U' R U' L2
R B2 L' R2 U' R2 U'
R B2 L' R2 U2 D B2
R B2 L' R2 D U2 B2
R B2 L' R2 D' F2 U2
L' B2 R' U' R2 U' L
R2 B2 R L' U L2 U
L' B2 R' U2 L D B2
R2 B2 R L' U2 D' B2
R2 B2 R L' D F2 U2
R2 B2 R L' D' U2 B2
L' B2 R' U2 D L B2
L B2 L2 U' R U' L'
L' B2 R' D U2 L B2
L' B2 R' D' F2 U2 L
L' B2 R2 U' R' U' L
L' B2 U F2 L' U L2
R' B2 U' R2 U L' U2
R' B2 U' R2 F2 U' R
L' B2 U' R U' L D
L' B2 U' R U' L D'
L' B2 U' R U' L D2
L' B2 U' R U' D L
L' B2 U' R U' D' L
L' B2 U' R U' D2 L
L' B2 U' R D U' L
L' B2 U' R D' U' L
L' B2 U' R D2 U' L
L' B2 U' D R U' L
R' B2 U' F2 R2 U' R'
L' B2 U' D' R U' L
L' B2 U' D2 R U' L
R B2 R2 L' U' R2 U'
R B2 R2 L' U2 D B2
R B2 R2 L' D U2 B2
R B2 R2 L' D' F2 U2
L2 B2 U' R U' L R2
L2 B2 U' R U' R2 L
L' B2 U2 L U R U'
R B2 R2 D L' U2 B2
R B2 R2 D' L' F2 U2
R B2 R2 D' F2 U2 R
L2 B2 U2 L R' D B2
R' B2 D L' U2 B2 D
R' B2 D L' U2 B2 D'
R' B2 D L' U2 B2 D2
R' B2 D L' D2 F2 U2
R' B2 D L' F U2 B2
R' B2 D L' F' U2 B2
R' B2 D L' F2 U2 B2
R' B2 D L2 U2 B2 R'
B2 F2 U L' U L2 R
B2 F2 U L' U R L2
L2 B2 U2 R' L D B2
L2 B2 U2 R' D L B2
F2 B2 U L' U L2 R
F2 B2 U L' U R L2
R' B2 D F2 U2 R B2
R' B2 D F2 U2 B2 R
L' B2 D U' R U' L
R' B2 D' L F2 L2 U2
R' B2 D' L' U2 D2 B2
R' B2 D' L' D2 U2 B2
R' B2 D' L' F2 U2 D
R' B2 D' L' F2 U2 D'
R' B2 D' L' F2 U2 D2
R' B2 D' L' F2 D U2
R' B2 D' L' F2 D' U2
R' B2 D' L' F2 D2 U2
R' B2 D' L2 F2 L U2
R' B2 D' F2 L U2 R
R' B2 D' F2 L' U2 R
R' B2 D' F2 L2 U2 R
R' B2 D' F2 U2 R D
R' B2 D' F2 U2 R D'
R' B2 D' F2 U2 R D2
R' B2 D' F2 U2 D R
R' B2 D' F2 U2 D' R
R' B2 D' F2 U2 D2 R
R' B2 D' F2 D U2 R
R' B2 D' F2 D' U2 R
R' B2 D' F2 D2 U2 R
L' B2 D' U' R U' L
R' B2 D2 L' U L' U
B2 F2 U2 L R D' B2
B2 F2 U2 L D' R B2
B2 F2 U2 L D' B2 R
F2 B2 U2 L R D' B2
F2 B2 U2 L D' R B2
F2 B2 U2 L D' B2 R
B2 F2 U2 R L D' B2
F2 B2 U2 R L D' B2
L' B2 D2 U' R U' L
L' B2 F U2 D' L B'
L' B2 F D' U2 L B'
F B2 U2 D' L B' R'
D2 B2 F2 L R D' B2
