B2 L' F' U' F' B'
B2 L' F' U' B' F'
F' L' B2 U' F' B
F' L' B2 U' B F'
L' F' B2 U' F' B
L' F' B2 U' B F'
B2 F' L' U' F' B'
B2 F' L' U' B' F'
F' B2 L' U' F' B'
F' B2 L' U' B' F'
L' B2 F' U' F' B
L' B2 F' U' B F'
L F U2 D R2 F L2
L F U2 D F L2 R2
L F U2 D F R2 L2
L F D U2 R2 F L2
L F D U2 F L2 R2
L F D U2 F R2 L2
L F D F L2 R2 B
L F D F R2 L2 B
L F D F R2 B L2
L F D' L2 R2 B' U2
L F D' L2 B' R2 U2
L F D' R2 L2 B' U2
U' F B2 R F2 U' F'
F D R2 F L' B' L'
L2 F' L B2 U' F' B
L2 F' L B2 U' B F'
F D F L' R2 B' L'
F D F L' B' L' R2
F D F L' B' R2 L'
F D F R2 L' B' L'
L' F' U' D F' B' L2
L' F' U' D B' L2 F'
L' F' U' D B' F' L2
L' F' U' F' D B' L2
L' F' D U' F' B' L2
L' F' D U' B' L2 F'
L' F' D U' B' F' L2
B2 D' L2 D F' R U'
L' F' B2 L U' F' B
L' F' B2 L U' B F'
L' F' B2 L' U' F' B
L' F' B2 L' U' B F'
U' F' B2 U2 L' U F'
L' F' B2 L2 U' F' B
L' F' B2 L2 U' B F'
L' F' B2 U' D F' B
L' F' B2 U' D B F'
L' F' B2 U' D' F' B
L' F' B2 U' D' B F'
L' F' B2 U' D2 F' B
L' F' B2 U' D2 B F'
L' F' B2 U' F' D B
L' F' B2 U' F' D' B
L' F' B2 U' F' D2 B
L' F' B2 U' F' B D
L' F' B2 U' F' B D'
L' F' B2 U' F' B D2
L' F' B2 U' B D F'
L' F' B2 U' B D' F'
L' F' B2 U' B D2 F'
L' F' B2 U' B F' D
L' F' B2 U' B F' D'
L' F' B2 U' B F' D2
L2 F' B2 L U' F' B'
L2 F' B2 L U' B' F'
L' F' B2 D U' F' B
L' F' B2 D U' B F'
L' F' B2 D' U' F' B
L' F' B2 D' U' B F'
L' F' B2 D2 U' F' B
L' F' B2 D2 U' B F'
L F' B2 U F2 U2 F
L F' B2 U' D2 F' B2
L F' B2 U' D2 B2 F'
L F' B2 D2 U' F' B2
L F' B2 D2 U' B2 F'
L' F2 U F B2 U' B
L' F2 U B2 F U' B
U2 F2 U F R B2 U'
U2 F2 U F B2 R U'
U2 F2 U B2 F R U'
L' F2 B' U F B' U'
L' F2 B' U B' F U'
F' B L' B U' F' B2
F' B L' B U' B2 F'
B2 F' L U F U2 F2
B2 F' L U' F' D2 B2
B2 F' L' U' D F' B'
B2 F' L' U' D B' F'
B2 F' L' U' D' F' B'
B2 F' L' U' D' B' F'
B2 F' L' U' D2 F' B'
B2 F' L' U' D2 B' F'
B2 F' L' U' F' D B'
B2 F' L' U' F' D' B'
B2 F' L' U' F' D2 B'
B2 F' L' U' F' B' D
B2 F' L' U' F' B' D'
B2 F' L' U' F' B' D2
B2 F' L' U' B' D F'
B2 F' L' U' B' D' F'
B2 F' L' U' B' D2 F'
B2 F' L' U' B' F' D
B2 F' L' U' B' F' D'
B2 F' L' U' B' F' D2
B2 F' L' D U' F' B'
B2 F' L' D U' B' F'
L' B' U F' B' U' F'
B2 F' L' D' U' F' B'
B2 F' L' D' U' B' F'
B2 F' L' D2 U' F' B'
B2 F' L' D2 U' B' F'
L' B' U B' F' U' F'
B F' L' B U' F' B2
B F' L' B U' B2 F'
F2 B' U F B' R' U'
F2 B' U B' R' F U'
F2 B' U B' F R' U'
B2 F' U' F' U' L' U
L' B' F2 U F B' U'
L' B' F2 U B' F U'
B2 F' D L' U' F' B'
B2 F' D L' U' B' F'
L' B2 L F' U' F' B
L' B2 L F' U' B F'
B2 F' D' L' U' F' B'
B2 F' D' L' U' B' F'
L2 B2 L F' U' F' B'
L2 B2 L F' U' B' F'
L' B2 L' F' U' F' B
L' B2 L' F' U' B F'
B2 F' D2 L' U' F' B'
B2 F' D2 L' U' B' F'
L' B2 L2 F' U' F' B
L' B2 L2 F' U' B F'
F' B2 L U F U2 F2
F' B2 L U' F' D2 B2
F' B2 L' U' D F' B'
F' B2 L' U' D B' F'
F' B2 L' U' D' F' B'
F' B2 L' U' D' B' F'
F' B2 L' U' D2 F' B'
F' B2 L' U' D2 B' F'
F' B2 L' U' F' D B'
F' B2 L' U' F' D' B'
F' B2 L' U' F' D2 B'
F' B2 L' U' F' B' D
F' B2 L' U' F' B' D'
F' B2 L' U' F' B' D2
F' B2 L' U' B' D F'
F' B2 L' U' B' D' F'
F' B2 L' U' B' D2 F'
F' B2 L' U' B' F' D
F' B2 L' U' B' F' D'
F' B2 L' U' B' F' D2
R B2 L' U' F2 B' R'
R B2 L' U' B' R' F2
R B2 L' U' B' F2 R'
F' B2 L' D U' F' B'
F' B2 L' D U' B' F'
F' B2 L' D' U' F' B'
F' B2 L' D' U' B' F'
F' B2 L' D2 U' F' B'
F' B2 L' D2 U' B' F'
L B2 L2 F' U' F' B'
L B2 L2 F' U' B' F'
B' F2 U F B' R' U'
B' F2 U B' R' F U'
B' F2 U B' F R' U'
L' B2 D' L2 F' U' B
F' B2 U' F' U' L' U
L' B2 D' F' L2 U' B
U' B2 F R F2 U' F'
F' B2 D L' U' F' B'
F' B2 D L' U' B' F'
L B2 D' L2 F' U' B'
F' B2 D' L' U' F' B'
F' B2 D' L' U' B' F'
U' B2 F' U2 L' U F'
L' B2 F' L U' F' B
L' B2 F' L U' B F'
L' B2 F' L' U' F' B
L' B2 F' L' U' B F'
L' B2 F' L2 U' F' B
L' B2 F' L2 U' B F'
L' B2 F' U' D F' B
L' B2 F' U' D B F'
L' B2 F' U' D' F' B
L' B2 F' U' D' B F'
L' B2 F' U' D2 F' B
L' B2 F' U' D2 B F'
L' B2 F' U' F' D B
L' B2 F' U' F' D' B
L' B2 F' U' F' D2 B
L' B2 F' U' F' B D
L' B2 F' U' F' B D'
L' B2 F' U' F' B D2
L' B2 F' U' B D F'
L' B2 F' U' B D' F'
L' B2 F' U' B D2 F'
L' B2 F' U' B F' D
L' B2 F' U' B F' D'
L' B2 F' U' B F' D2
L' B2 F' D U' F' B
L' B2 F' D U' B F'
L2 B2 F' L U' F' B'
L2 B2 F' L U' B' F'
L' B2 F' D' U' F' B
L' B2 F' D' U' B F'
L' B2 F' D2 U' F' B
L' B2 F' D2 U' B F'
F' B2 D2 L' U' F' B'
F' B2 D2 L' U' B' F'
L B2 F' U F2 U2 F
L B2 F' U' D2 F' B2
L B2 F' U' D2 B2 F'
L B2 F' D2 U' F' B2
L B2 F' D2 U' B2 F'
