F L B U' B'
U F L B U'
F L D B U' B'
F L D' B U' B'
U L D' B U' R'
F L D2 B U' B'
F2 L F' B U' B'
F' L F2 B U' B'
F L B R U' B'
F L B R U' B'
F L B R' U' B'
F L B R2 U' B'
F L B U' D B'
F L B U' D B'
F L B U' D' B'
F L B U' D2 B'
F L B U' B' D
F L B U' B' D'
F L B U' B' D2
F' L B F2 U' B'
F L B D U' B'
F L B D' U' B'
F2 L B F' U' B'
F L B D2 U' B'
F' U L F2 B U'
F' U L B F2 U'
F2 U L F' B U'
F2 U L B F' U'
D2 U F L B U'
D' U F L B U'
D U F L B U'
U D F L B U'
F2 U F' L B U'
F' U F2 L B U'
U D' F L B U'
L D' B U' R' B'
U D2 F L B U'
D' F L B U' B'
D2 F L B U' B'
U F L D B U'
U F L D' B U'
U F L D2 B U'
D F L B U' B'
U F L B U' D
U F L B U' D'
U F L B U' D2
U F L B D U'
U F L B D' U'
U F L B D2 U'
U F L' B L2 U'
U F L2 B L' U'
F D L B U' B'
U F D L B U'
U F D' L B U'
U F D2 L B U'
U F' L F2 B U'
U F' L B F2 U'
F D' L B U' B'
U F2 L F' B U'
U F2 L B F' U'
F D2 L B U' B'
U B D2 F L' U'
F2 L B F' D2 U' B'
F L B' U' D L2 B
F L B' U' D B L2
F L B' D U' L2 B
F L B' D U' B L2
F L B2 R B' U' B'
F L B2 R' B' U' B'
F L B2 R2 B' U' B'
F L B2 D' R2 B' U'
F L B2 D' B' R2 U'
F' L' U L2 F2 B U'
F' L' U L2 B F2 U'
F2 L' U L2 F' B U'
F2 L' U L2 B F' U'
F' L' U F2 L2 B U'
F' L' U F2 B L2 U'
F2 L' U F' L2 B U'
F' L' U B L2 F2 U'
F2 L' U F' B L2 U'
F' L' U B F2 L2 U'
F2 L' U B L2 F' U'
F2 L' U B F' L2 U'
F L' D B U' F2 B'
F L' D B U' B' F2
F2 L' F' L2 B U' B'
F' L' F2 L2 B U' B'
U L' B L F L U'
F L' B L2 U F U2
F L' B U' D F2 B'
F L' B U' D B' F2
F L' B U' B' D F2
F L' B D U' F2 B'
F L' B D U' B' F2
F L' B' L2 B2 U' B'
B2 L2 R' F B' U B'
B2 L2 R' B' F U B'
F' L2 U L' F2 B U'
F' L2 U L' B F2 U'
F2 L2 U L' F' B U'
F2 L2 U L' B F' U'
F' L2 U B L' F2 U'
F2 L2 U B L' F' U'
F L2 D L' B U' B'
F L2 D' L' B U' B'
F L2 D2 L' B U' B'
L2 U L' D' B U' R'
B2 L2 F R' B' U B'
L' U L2 B U L U2
L2 U L2 F L B U'
U L2 B L' U' D' R2
U L2 B L' U2 B2 U
U L2 B L' D' U' R2
U L2 B L' D2 F2 U'
U L2 B D' L' U' R2
U L2 B D2 L' F2 U'
F L2 B' L' B2 U' B'
R U D' F L U' L2
R' U F L U R U2
R U D2 F L B' U'
R2 U F L U' D' L2
R2 U F L U2 F2 U
R2 U F L D' U' L2
R2 U F L D2 B2 U'
R' U F' L F2 U' L2
R2 U F D' L U' L
R2 U F D2 L B2 U'
R U F D2 L B' U'
L' U B L2 U L' U2
L' U B L2 F2 U' R
L2 U B L' U' D' R2
L2 U B L' U2 B2 U
L2 U B L' D' U' R2
L2 U B L' D2 F2 U'
L U B L2 U' F R
L2 U B D' L' U' R2
L2 U B D2 L' F2 U'
F R D2 L B' U' B
U R F L R' B U'
U R F R' L B U'
F R' L B' U' B L
B2 R' L2 F B' U B'
B2 R' L2 B' F U B'
R2 U' F' U2 L F2 U'
R2 U' F' U2 F2 L U'
R2 U' F' D2 B2 R' U
B2 R' U2 F B' U' B'
B2 R' U2 B' F U' B'
L2 U' B' U2 L' B2 U'
B2 R' D L2 F B' U
B2 R' D L2 B' F U
L2 U' B' U2 B2 L' U'
L2 U' B' D2 F2 R U
F R' B' U' B L F
U' R2 F' U2 L F2 U'
U' R2 F' U2 F2 L U'
U' R2 F' D2 B2 R' U
D' U L D' B U' R'
D2 U L D' B U' R'
F' U L D B U' R2
F2 U L D F' B U'
F2 U L D B F' U'
F' U L F2 D B U'
F' U L F2 D' B U'
F' U L F2 D2 B U'
F' U L F2 B U' D
F' U L F2 B U' D'
F' U L F2 B U' D2
F' U L F2 B D U'
F' U L F2 B D' U'
F' U L F2 B D2 U'
F2 U L D' F' B U'
F2 U L D' B F' U'
F' U L B U' D R2
F' U L B D U' R2
F' U L B F2 U' D
F' U L B F2 U' D'
F' U L B F2 U' D2
F' U L B F2 D U'
F' U L B F2 D' U'
F' U L B F2 D2 U'
F2 U L D2 F' B U'
F2 U L D2 B F' U'
F2 U L F' D B U'
F2 U L F' D' B U'
F2 U L F' D2 B U'
F2 U L F' B U' D
F2 U L F' B U' D'
F2 U L F' B U' D2
F2 U L F' B D U'
F2 U L F' B D' U'
F2 U L F' B D2 U'
F2 U L B D F' U'
F2 U L B D' F' U'
F2 U L B D2 F' U'
F2 U L B F' U' D
F2 U L B F' U' D'
F2 U L B F' U' D2
F2 U L B F' D U'
F2 U L B F' D' U'
F2 U L B F' D2 U'
D U L D' B U' R'
F' U L' F2 L2 B U'
U D L D' B U' R'
F' U L' F2 B L2 U'
F' U L' B L2 F2 U'
F' U L' B F2 L2 U'
F U L F2 B U' R
F U L B U L' U2
F U L B F2 U' R
F2 U L' F' L2 B U'
F2 U L' F' B L2 U'
F2 U L' B L2 F' U'
F2 U L' B F' L2 U'
F' U L2 B L' F2 U'
F2 U L2 B L' F' U'
L D F' B U' R B'
L D F' B U' B' R
D' U F L D B U'
D' U F L D' B U'
D' U F L D2 B U'
D' U F L B U' D
D' U F L B U' D'
D' U F L B U' D2
D' U F L B D U'
D' U F L B D' U'
D' U F L B D2 U'
D2 U F L D B U'
D2 U F L D' B U'
D2 U F L D2 B U'
D' U F L' B L2 U'
D2 U F L B U' D
D2 U F L B U' D'
D2 U F L B U' D2
D2 U F L B D U'
D2 U F L B D' U'
D2 U F L B D2 U'
D' U F L2 B L' U'
D2 U F L' B L2 U'
F' U D L B U' R2
D2 U F L2 B L' U'
L D B F' U' R B'
L D B F' U' B' R
F2 U D L F' B U'
F2 U D L B F' U'
D' U F D L B U'
D' U F D' L B U'
D2 U F D L B U'
D' U F D2 L B U'
D2 U F D' L B U'
D2 U F D2 L B U'
F2 U D F' L B U'
D U F L D B U'
D U F L D' B U'
D U F L D2 B U'
D U F L B U' D
D U F L B U' D'
D U F L B U' D2
D U F L B D U'
D U F L B D' U'
D U F L B D2 U'
D' U F' L F2 B U'
D' U F' L B F2 U'
D U F L' B L2 U'
D2 U F' L F2 B U'
D2 U F' L B F2 U'
D U F L2 B L' U'
F2 U D' L F' B U'
F2 U D' L B F' U'
U D F L D B U'
U D F L D' B U'
U D F L D2 B U'
U D F L B U' D
U D F L B U' D'
U D F L B U' D2
U D F L B D U'
U D F L B D' U'
U D F L B D2 U'
U D F L' B L2 U'
U D F L2 B L' U'
D U F D L B U'
D U F D' L B U'
D U F D2 L B U'
F2 U D' F' L B U'
U D F D L B U'
D' U F2 L F' B U'
D' U F2 L B F' U'
D U F' L F2 B U'
D U F' L B F2 U'
U D F D' L B U'
D2 U F2 L F' B U'
D2 U F2 L B F' U'
F2 U D2 L F' B U'
F2 U D2 L B F' U'
U D F D2 L B U'
U D F' L F2 B U'
U D F' L B F2 U'
F2 U D2 F' L B U'
F2 U F L F2 B U'
F2 U F L B F2 U'
D U F2 L F' B U'
D U F2 L B F' U'
U D F2 L F' B U'
U D F2 L B F' U'
F' U F' L F' B U'
F' U F' L B F' U'
D' U B D2 F L' U'
D2 U B D2 F L' U'
F2 U F' L D B U'
F2 U F' L D' B U'
F2 U F' L D2 B U'
F2 U F' L B U' D
F2 U F' L B U' D'
F2 U F' L B U' D2
F2 U F' L B D U'
F2 U F' L B D' U'
F2 U F' L B D2 U'
F2 U F' L' B L2 U'
F2 U F' L2 B L' U'
F2 U F' D L B U'
F2 U F' D' L B U'
F' U F2 L D B U'
F' U F2 L D' B U'
F' U F2 L D2 B U'
F' U F2 L B U' D
F' U F2 L B U' D'
F' U F2 L B U' D2
F' U F2 L B D U'
F' U F2 L B D' U'
F' U F2 L B D2 U'
F2 U F' D2 L B U'
F' U F2 L' B L2 U'
F' U F2 L2 B L' U'
D U B D2 F L' U'
F' U F2 D L B U'
U D B D2 F L' U'
F' U F2 D' L B U'
F' U F2 D2 L B U'
U D' L D' B U' R'
R D' U F L U' L2
F' U' L F2 B R U'
F' U' L B F2 R U'
L D' F B U' R' B'
L D' F' B U' R' B'
U D' F L D B U'
U D' F L D' B U'
U D' F L D2 B U'
U D' F L B U' D
U D' F L B U' D'
U D' F L B U' D2
U D' F L B D U'
U D' F L B D' U'
U D' F L B D2 U'
U D' F L' B L2 U'
U D' F L2 B L' U'
L D' F2 B U' R' B'
U D' F D L B U'
U D' F D' L B U'
U D' F D2 L B U'
L D' B R U' R2 B'
L D' B R U' B' R2
L D' B R2 U' R B'
L D' B R2 U' B' R
U D' F' L F2 B U'
U D' F' L B F2 U'
L D' B U' R B' R2
L D' B U' R' D B'
L D' B U' R' D' B'
L D' B U' R' D2 B'
L D' B U' R' B' D
L D' B U' R' B' D'
L D' B U' R' B' D2
L D' B U' R2 B' R
L D' B U' D R' B'
L D' B U' D' R' B'
L D' B U' D2 R' B'
L D' B D U' R' B'
L D' B D' U' R' B'
L D' B D2 U' R' B'
L D' B F U' R' B'
L D' B F' U' R' B'
L D' B F2 U' R' B'
U D' F2 L F' B U'
U D' F2 L B F' U'
U D' B D2 F L' U'
U D2 L D' B U' R'
B U' B' U F L U'
R D2 U F L B' U'
U D2 F L D B U'
U D2 F L D' B U'
U D2 F L D2 B U'
U D2 F L B U' D
U D2 F L B U' D'
U D2 F L B U' D2
U D2 F L B D U'
U D2 F L B D' U'
U D2 F L B D2 U'
U D2 F L' B L2 U'
U D2 F L2 B L' U'
R D2 F L B' U' B
U D2 F D L B U'
U D2 F D' L B U'
U D2 F D2 L B U'
U D2 F' L F2 B U'
U D2 F' L B F2 U'
U D2 F2 L F' B U'
U D2 F2 L B F' U'
L D2 B R F' U' B'
L D2 B R2 U' B' R'
U D2 B D2 F L' U'
R' F L R B U' B'
D' F L D B U' B'
D' F L D' B U' B'
D2 F L D B U' B'
D' F L D2 B U' B'
D2 F L D' B U' B'
D2 F L D2 B U' B'
U' F L B U2 L' U
D' F L B R U' B'
D' F L B R' U' B'
D' F L B R2 U' B'
D' F L B U' D B'
D' F L B U' D' B'
D' F L B U' D2 B'
D' F L B U' B' D
D' F L B U' B' D'
D' F L B U' B' D2
D' F L B D U' B'
D' F L B D' U' B'
D' F L B D2 U' B'
R' F L B' U' B L
D2 F L B R U' B'
D2 F L B R' U' B'
D2 F L B R2 U' B'
D2 F L B U' D B'
D2 F L B U' D' B'
D2 F L B U' D2 B'
D2 F L B U' B' D
D2 F L B U' B' D'
D2 F L B U' B' D2
D2 F L B D U' B'
D2 F L B D' U' B'
D2 F L B D2 U' B'
U2 F L B R2 U' B
U2 F L B U F' U2
R2 F L D2 B2 U' B2
D F L D B U' B'
D F L D' B U' B'
D F L D2 B U' B'
R F L R' B U' B'
D F L B R U' B'
D F L B R' U' B'
D F L B R2 U' B'
D F L B U' D B'
D F L B U' D' B'
D F L B U' D2 B'
D F L B U' B' D
D F L B U' B' D'
D F L B U' B' D2
D F L B D U' B'
D F L B D' U' B'
D F L B D2 U' B'
U F L D B U' D
U F L D B U' D'
U F L D B U' D2
U F L D B D U'
U F L D B D' U'
U F L D B D2 U'
U F L D' B U' D
U F L D' B U' D'
U F L D' B U' D2
U F L D' B D U'
U F L D' B D' U'
U F L D' B D2 U'
U F L D2 B U' D
U F L D2 B U' D'
U F L D2 B U' D2
U F L D2 B D U'
U F L D2 B D' U'
U F L D2 B D2 U'
U F L B' U' D L2
U F L B' D U' L2
U F L B2 D B' U'
U F L B2 D' B' U'
U F L B2 D2 B' U'
R' F R L B U' B'
U F L' D B U' F2
U F L' B L2 U' D
U F L' B L2 U' D'
U F L' B L2 U' D2
U F L' B L2 D U'
U F L' B L2 D' U'
U F L' B L2 D2 U'
U F L' B U' D F2
U F L' B D U' F2
U F L' B' L2 B2 U'
U F L2 D L' B U'
U F L2 D B L' U'
U F L2 D' L' B U'
U F L2 D' B L' U'
U F L2 D2 L' B U'
U F L2 D2 B L' U'
U F L2 B L' U' D
U F L2 B L' U' D'
U F L2 B L' U' D2
U F L2 B L' D U'
U F L2 B L' D' U'
U F L2 B L' D2 U'
U F L2 B D L' U'
U F L2 B D' L' U'
U F L2 B D2 L' U'
U F L2 B' L' B2 U'
R F R' L B U' B'
F' D L B U' R2 B'
F' D L B U' B' R2
F2 D L F' B U' B'
F2 D L B F' U' B'
D' F D L B U' B'
D2 F D L B U' B'
F D L D B U' B'
F D L D' B U' B'
F D L D2 B U' B'
B2 D L2 R' F B' U
B2 D L2 R' B' F U
F D L B R U' B'
F D L B R' U' B'
F D L B R2 U' B'
F D L B U' D B'
F D L B U' D' B'
F D L B U' D2 B'
F D L B U' B' D
F D L B U' B' D'
F D L B U' B' D2
F D L B D U' B'
D' F D' L B U' B'
F D L B D' U' B'
F D L B D2 U' B'
D2 F D' L B U' B'
D F D L B U' B'
B2 D L2 F R' B' U
U F D L D B U'
U F D L D' B U'
U F D L D2 B U'
U F D L B U' D
U F D L B U' D'
U F D L B U' D2
U F D L B D U'
U F D L B D' U'
U F D L B D2 U'
U F D L' B L2 U'
U F D L2 B L' U'
D' F D2 L B U' B'
D2 F D2 L B U' B'
D F D' L B U' B'
U F D' L D B U'
U F D' L D' B U'
U F D' L D2 B U'
U F D' L B U' D
U F D' L B U' D'
U F D' L B U' D2
U F D' L B D U'
U F D' L B D' U'
U F D' L B D2 U'
U F D' L' B L2 U'
U F D' L2 B L' U'
B2 D R' L2 F B' U
B2 D R' L2 B' F U
R2 F D2 L B2 U' B2
D F D2 L B U' B'
L F D' B U' R' B'
U F D2 L D B U'
U F D2 L D' B U'
U F D2 L D2 B U'
U F D2 L B U' D
U F D2 L B U' D'
U F D2 L B U' D2
U F D2 L B D U'
U F D2 L B D' U'
U F D2 L B D2 U'
U F D2 L' B L2 U'
U F D2 L2 B L' U'
R F D2 L B' U' B
R' F B' U' B L F
F' D U L B U' R2
F2 D U L F' B U'
F2 D U L B F' U'
U F B D L' U' F
F2 D U F' L B U'
U' F' L F2 B R U'
U' F' L B F2 R U'
D' F' L F2 B U' B'
D2 F' L F2 B U' B'
D' F' L B F2 U' B'
D2 F' L B F2 U' B'
D F' L F2 B U' B'
D F' L B F2 U' B'
U F' L D B U' R2
U F' L F2 D B U'
U F' L F2 D' B U'
U F' L F2 D2 B U'
U F' L F2 B U' D
U F' L F2 B U' D'
U F' L F2 B U' D2
U F' L F2 B D U'
U F' L F2 B D' U'
U F' L F2 B D2 U'
U F' L B U' D R2
U F' L B D U' R2
U F' L B F2 U' D
U F' L B F2 U' D'
U F' L B F2 U' D2
U F' L B F2 D U'
U F' L B F2 D' U'
U F' L B F2 D2 U'
F2 D F' L B U' B'
U F' L' F2 L2 B U'
U F' L' F2 B L2 U'
U F' L' B L2 F2 U'
U F' L' B F2 L2 U'
U F' L2 B L' F2 U'
D2 F' U L F2 B U'
D' F' U L F2 B U'
D2 F' U L B F2 U'
D' F' U L B F2 U'
D2 F' U F2 L B U'
D' F' U F2 L B U'
D F' U L F2 B U'
D F' U L B F2 U'
U' F' U2 L F2 B U'
U' F' U2 L B F2 U'
R2 F' U F2 L U' L'
D F' U F2 L B U'
U' F' U2 F2 L B U'
F2 D' L F' B U' B'
F2 D' L B F' U' B'
F D' L D B U' B'
F D' L D' B U' B'
F D' L D2 B U' B'
F D' L B R U' B'
F D' L B R' U' B'
F D' L B R2 U' B'
F D' L B U' D B'
F D' L B U' D' B'
F D' L B U' D2 B'
F D' L B U' B' D
F D' L B U' B' D'
F D' L B U' B' D2
F D' L B D U' B'
F D' L B D' U' B'
F D' L B D2 U' B'
U F' D L B U' R2
B D' R F U' F2 B'
B D' R F U' B' F2
L F' D' B U' R' B'
R2 F' D2 B2 R' U B2
F2 D' U L F' B U'
F2 D' U L B F' U'
F2 D' U F' L B U'
D2 F2 L F' B U' B'
D' F2 L F' B U' B'
D2 F2 L B F' U' B'
D' F2 L B F' U' B'
D F2 L F' B U' B'
D F2 L B F' U' B'
U F2 L D F' B U'
U F2 L D B F' U'
U F2 L D' F' B U'
U F2 L D' B F' U'
U F2 L D2 F' B U'
U F2 L D2 B F' U'
U F2 L F' D B U'
U F2 L F' D' B U'
U F2 L F' D2 B U'
U F2 L F' B U' D
U F2 L F' B U' D'
U F2 L F' B U' D2
U F2 L F' B D U'
U F2 L F' B D' U'
U F2 L F' B D2 U'
U F2 L B D F' U'
U F2 L B D' F' U'
U F2 L B D2 F' U'
U F2 L B F' U' D
U F2 L B F' U' D'
U F2 L B F' U' D2
U F2 L B F' D U'
U F2 L B F' D' U'
U F2 L B F' D2 U'
B D' F R U' F' B'
F2 D' F' L B U' B'
B D' F R U' B' F'
U F2 L' F' L2 B U'
U F2 L' F' B L2 U'
U F2 L' B L2 F' U'
U F2 L' B F' L2 U'
U F2 L2 B L' F' U'
R' F2 U L F' U' L'
D2 F2 U L F' B U'
D2 F2 U L B F' U'
D' F2 U L F' B U'
D' F2 U L B F' U'
R' F2 U F' L U' L2
D2 F2 U F' L B U'
D' F2 U F' L B U'
D F2 U L F' B U'
D F2 U L B F' U'
U' F2 U2 L F' B U'
U' F2 U2 L B F' U'
D F2 U F' L B U'
U' F2 U2 F' L B U'
F2 D2 L F' B U' B'
F2 D2 L B F' U' B'
F D2 L D B U' B'
F D2 L D' B U' B'
F D2 L D2 B U' B'
F D2 L B R U' B'
F D2 L B R' U' B'
F D2 L B R2 U' B'
F D2 L B U' D B'
F D2 L B U' D' B'
F D2 L B U' D2 B'
F D2 L B U' B' D
F D2 L B U' B' D'
F D2 L B U' B' D2
F D2 L B D U' B'
F D2 L B D' U' B'
F D2 L B D2 U' B'
U F2 D L F' B U'
U F2 D L B F' U'
U F2 D F' L B U'
U F2 D' L F' B U'
U F2 D' L B F' U'
U F2 D' F' L B U'
L F2 D' B U' R' B'
U F2 D2 L F' B U'
U F2 D2 L B F' U'
U F2 D2 F' L B U'
F2 D2 U L F' B U'
F2 D2 U L B F' U'
F2 D2 U F' L B U'
F2 D2 F' L B U' B'
L B L' F L U' B'
L B U' D' B R' B2
L B U' B2 D' B R'
U B D L' U' F R
U B D F L' U' F
L B D F' U' R B'
L B D F' U' B' R
L B D' U' B R' B2
L B D2 R F' U' B'
L B D2 R2 U' B' R'
U B D2 F L' U' D
U B D2 F L' U' D'
U B D2 F L' U' D2
U B D2 F L' D U'
U B D2 F L' D' U'
U B D2 F L' D2 U'
U B D2 F D L' U'
U B D2 F D' L' U'
U B D2 F D2 L' U'
U B F D L' U' F
B F U' B' U L U'
F B U' B' U L U'
B F D' R U' F' B'
B F D' R U' B' F'
F B D' R U' F' B'
F B D' R U' B' F'
L2 B' U2 L' B2 U' B'
R' B' F U' B L F
U' B2 R' U2 F B' U'
U' B2 R' U2 B' F U'
