U L U F B2 R'
U L U B2 R' F
U L U B2 F R'
U L U B2 F R'
F' L2 U' L U' B2
F L2 U R U B2
L2 U L U F B2
L2 U L U B2 F
B' L2 F U R U
L2 U' R' U' F' B2
L2 U' R' U' B2 F'
L2 F U R U B2
L2 F' U' L' U' B2
U' L B2 R' F' D L2
U2 L B2 R' D L' F
F L B2 R' D' F2 L'
F' L B2 D R' F2 L'
U' L B2 D L2 R' F'
U' L B2 D R' L2 F'
U' L B2 D R' F' L2
U2 L B2 D L' R' F
U2 L B2 D L' F R'
U2 L B2 D R' L' F
B L2 U L U F B
B L2 U L U B F
F L2 U L R U B2
F L2 U L' R U B2
F L2 U L2 R U B2
F L2 U R L U B2
F L2 U R L' U B2
F L2 U R L2 U B2
F L2 U R U B2 D
F L2 U R U B2 D'
F L2 U R U B2 D2
F L2 U R D L2 U
F L2 U D L2 R U
F L2 U D R L2 U
F' L2 U' L R U' B2
F' L2 U' L R' U' B2
F' L2 U' L R2 U' B2
F' L2 U' L U' B2 D
F' L2 U' L U' B2 D'
F' L2 U' L U' B2 D2
F' L2 U' L D' R2 U'
F' L2 U' R L U' B2
F' L2 U' R' L U' B2
F' L2 U' R2 L U' B2
F' L2 U' D' L R2 U'
F' L2 U' D' R2 L U'
F' L2 U2 B2 U' R' U
B L2 U2 B U L U'
F L2 U2 B2 U' R U
B' L2 D F U R U
F L2 D U L2 R U
F L2 D U R L2 U
F' L2 D' U' L R2 U'
F' L2 D' U' R2 L U'
B' L2 D' F U R U
L2 U L R U F B2
L2 U L R U B2 F
L2 U L R' U F B2
L2 U L R' U B2 F
L2 U L R2 U F B2
L2 U L R2 U B2 F
L2 U L U F B2 D
L2 U L U F B2 D'
L2 U L U F B2 D2
L2 U L U B2 D F
L2 U L U B2 D' F
L2 U L U B2 D2 F
L2 U L U B2 F D
L2 U L U B2 F D'
L2 U L U B2 F D2
B' L2 D2 F U R U
R U L F B2 L R'
R U L F B2 R' L
F' L2 D2 F2 U' L U'
R U L B2 R' F L
L2 U L' U' B' U2 B'
R U L B2 F L R'
R U L B2 F R' L
L2 U L' D L2 U F
F L2 D2 F2 U' L' U'
B' L2 F U R U D
B' L2 F U R U D'
B' L2 F U R U D2
B' L2 F U R D U
B' L2 F U R D' U
B' L2 F U R D2 U
B' L2 F U D R U
B' L2 F U D' R U
B' L2 F U D2 R U
F' L2 F U' L U' B2
B' L2 F D U R U
F2 L2 F U' L' U' B2
B' L2 F D' U R U
B' L2 F D2 U R U
B' L2 F B U R U
B' L2 F B' U R U
B' L2 F B2 U R U
F' L2 F' U' L U' B2
F2 L2 F' U R U B2
L2 U R L U F B2
L2 U R L U B2 F
B L2 F' U' L' U' B
F' L2 F2 U' L U' B2
L2 U R' L U F B2
L2 U R' L U B2 F
F L2 F2 U' L' U' B2
L2 U R2 L U F B2
L2 U R2 L U B2 F
B' L2 B F U R U
B' L2 B' F U R U
F L2 B' U R U B'
B' L2 B2 F U R U
F R L U B2 L R'
F R L U B2 R' L
U R L U F B2 R'
U R L U B2 R' F
U R L U B2 F R'
U' R U L2 B U2 B
F R U L B2 L R'
F R U L B2 R' L
U' R U B L2 U2 B
F R U B2 D2 L R2
F R U B2 D2 R2 L
F R U' L2 R' U2 B2
F R U' L2 U2 B2 L
F R U' R' L2 U2 B2
L2 U' L R' U' F' B2
L2 U' L R' U' B2 F'
R U B2 D2 L R2 F
R U B2 D2 L F R2
R U B2 D2 R2 L F
L2 U' L' R' U' F' B2
L2 U' L' R' U' B2 F'
R U' L B2 L R' F'
R U' L B2 R' L F'
R U' L B2 R' F' L
R' U' L2 R B U2 B
L2 U' L2 R' U' F' B2
L2 U' L2 R' U' B2 F'
R U' L2 R' U2 F' B2
R U' L2 R' U2 B2 F'
R' U' R L2 B U2 B
R U' L2 U2 B2 L F
L2 U' R U B U2 B
R' U' R B L2 U2 B
L2 U' R D' R2 U' F'
L2 U' R' L U' F' B2
L2 U' R' L U' B2 F'
L2 U' R' L' U' F' B2
L2 U' R' L' U' B2 F'
L2 U' R' L2 U' F' B2
L2 U' R' L2 U' B2 F'
L2 U' R' U' F' B2 D
L2 U' R' U' F' B2 D'
L2 U' R' U' F' B2 D2
L2 U' R' U' B2 D F'
L2 U' R' U' B2 D' F'
L2 U' R' U' B2 D2 F'
L2 U' R' U' B2 F' D
L2 U' R' U' B2 F' D'
L2 U' R' U' B2 F' D2
R U' R' L2 U2 F' B2
R U' R' L2 U2 B2 F'
L U' R' U' F' B2 R'
L U' R' U' B2 F' R'
U' R' L U' F' B2 R'
U' R' L U' B2 F' R'
U R' L U F B2 R'
U R' L U B2 R' F
U R' L U B2 F R'
U' R' U L2 U2 F' B2
U' R' U L2 U2 B2 F'
U' R' U' D2 F' R2 B
U' R' U' F' B2 D2 R2
U' R' U' B2 D2 F' R2
U' R' U' B2 F' D2 R2
L U' B2 R' D L2 F'
L U' B2 R' D F' L2
L U' B2 R' F' D L2
L U' B2 D L2 R' F'
L U' B2 D R' L2 F'
L U' B2 D R' F' L2
U' R' D2 U' F' R2 B
L2 U2 L B2 D L' F
L2 U2 R' B2 D' R F'
U R2 L U F B2 R'
U R2 L U B2 R' F
U R2 L U B2 F R'
L' U2 F2 B2 D' R F'
L2 U2 B U L U' B
L2 U2 B' U' R' U B'
L2 U2 B2 L D L' F
L2 U2 B2 R' D' R F'
L' U2 B2 D' F2 R F'
L' U2 B2 F2 D' R F'
L2 U2 B2 D L' F L
L2 U2 B2 D' R F' R'
L U2 B2 R2 D' R F'
L U2 B2 D' R F' R2
L D L U L U F
F U L R U B2 R'
L2 D F U L2 R U
L2 D F U R L2 U
F U R L U B2 R'
F U R U B2 D2 R2
F U R U' L2 U2 B2
D' U R' B2 L U F
F' U' L' U L' U2 B2
F' U' L' F2 U' R B2
F' U' L' F2 U' B2 R
L2 D' F' U' L' R2 U'
L2 D' F' U' R2 L' U'
U D' R' B2 L U F
F' U' D L' F2 R U'
L' D2 F2 U2 D R F'
L' D2 F2 D U2 R F'
L D2 F2 D' L B' U2
L F L U R U B2
L F R U B2 L R'
L F R U B2 R' L
L2 F U L R U B2
L2 F U L' R U B2
L2 F U L2 R U B2
L2 F U R L U B2
L2 F U R L' U B2
L2 F U R L2 U B2
L2 F U R U B2 D
L2 F U R U B2 D'
L2 F U R U B2 D2
L2 F U R D L2 U
L2 F U D L2 R U
L2 F U D R L2 U
D F U L2 R B' U
D F U L2 B' R U
D F U R L2 B' U
L F U R U B2 R'
L2 F U2 B2 U' R U
L2 F D U L2 R U
L2 F D U R L2 U
L F U2 B2 R' D' F2
L2 F D2 F2 U' L' U'
L2 F B' U R U B'
F' D U' L' F2 R U'
L F B2 R' D' F2 L'
L F' L U' L2 U' B2
L F' L U2 B2 D F2
D2 F' U' L' U' R2 B
L2 F' U' L' R U' B2
L2 F' U' L' R' U' B2
L2 F' U' L' R2 U' B2
L2 F' U' L' U' B2 D
L2 F' U' L' U' B2 D'
L2 F' U' L' U' B2 D2
L2 F' U' L' D' R2 U'
L2 F' U' R L' U' B2
L2 F' U' R' L' U' B2
L2 F' U' R2 L' U' B2
L2 F' U' D' L' R2 U'
L2 F' U' D' R2 L' U'
L2 F' U2 B2 U L' U'
L2 F' D' U' L' R2 U'
L2 F' D' U' R2 L' U'
L2 F' D2 F2 U R U
L2 F' B U' L' U' B
D2 F2 U' F L' U' R2
D2 F2 U2 R D R F'
L' F2 U2 B2 D R F'
F' D2 F2 U R U R
F D2 F2 U' L' U' R2
L2 B U L U F B
L2 B U L U B F
L2 B U2 B U L U'
F' B L2 U' L U' B
L2 B F' U' L' U' B
B' F' L2 F U' L U'
F' B' L2 F U' L U'
L2 B' U' R' U' F' B'
L2 B' U' R' U' B' F'
F2 B' L2 F U' L' U'
B F' L2 U' L U' B
L2 B' U2 B' U' R' U
L2 B' F U R U B'
B' F2 L2 F U' L' U'
L B2 R' F2 D' L' F
U2 B2 D' R D' F' R2
U2 B2 D' R F' D' R2
U2 B2 D' R' D' R2 F'
U2 B2 D2 R D R F'
L B2 F R' D' F2 L'
