F2 L' B R' D' B2
F2 L' B D' R' B2
F2 L' B' D' B2 R'
L B U F2 L' R'
L B U F2 R' L'
F2 B L' D' R' B
F2 B D' L' R' B
F2 B D' R' L' B
F2 B D' R' B L'
F2 B D' R' B L'
B F2 L' D' R' B
B F2 D' L' R' B
B F2 D' R' L' B
B F2 D' R' B L'
L F B U F R' L'
F2 D U' L B' U L2
U' F2 L' B R' D' B2
D F2 L R2 B' U L2
U' F2 L' B D' R' B2
U' F2 L' B' D' B2 R'
D F2 L B' R2 U L2
U2 F2 L' B R' D' B2
L2 F2 L' B R' D B2
U2 F2 L' B D' R' B2
U2 F2 L' B' D' B2 R'
U F2 L' B R' D' B2
U F2 L' B D' R' B2
L F2 L' B D' R' B
U F2 L' B' D' B2 R'
D F2 R2 L B' U L2
U' F2 B L' D' R' B
U' F2 B D' L' R' B
U' F2 B D' R' L' B
U' F2 B D' R' B L'
L' F2 B R' D' L' B2
L' F2 B R' D' B2 L'
L' F2 B D' L' R' B2
L2 F2 B L' R' D B2
L' F2 B D' R' L' B2
L' F2 B D' R' B2 L'
U2 F2 B L' D' R' B
L2 F2 B R' L' D B2
L2 F2 B R' D L' B2
L2 F2 B R' D B2 L'
U2 F2 B D' L' R' B
U2 F2 B D' R' L' B
U2 F2 B D' R' B L'
L' F2 B' D' B2 L' R'
L' F2 B' D' B2 R' L'
R2 F2 B D' R' B L
U F2 B L' D' R' B
U F2 B D' L' R' B
U F2 B D' R' L' B
U F2 B D' R' B L'
L2 B L' U F2 L' R'
L2 B L' U F2 R' L'
L' B L2 U F2 L' R'
L' B L2 U F2 R' L'
F' D2 F' L' R D' B2
F' D2 F' L' D' R B2
F' D2 F' L' D' B2 R
F' D2 F' R L' D' B2
L B U L F2 L' R'
L B U L F2 R' L'
L B U L' F2 L' R'
L B U L' F2 R' L'
L B U L2 F2 L' R'
L B U L2 F2 R' L'
L B U R' F2 D2 L2
L B U F R' F L'
L B U F2 L' R' D
L B U F2 L' R' D'
L B U F2 L' R' D2
L B U F2 L' D R'
L B U F2 L' D' R'
L B U F2 L' D2 R'
L B U F2 R' L' D
L B U F2 R' L' D'
L B U F2 R' L' D2
L B U F2 R' D L'
L B U F2 R' D' L'
L B U F2 R' D2 L'
L B U F2 D L' R'
L B U F2 D R' L'
L B U F2 D' L' R'
L B U F2 D' R' L'
L B U F2 D2 L' R'
L B U F2 D2 R' L'
L B U' R U2 R2 F2
L B U' R U2 F2 R2
F2 B L' D' R' D B
F2 B L' D' R' D' B
F2 B L' D' R' D2 B
F2 B L' D' R' B D
F2 B L' D' R' B D'
F2 B L' D' R' B D2
F2 B L2 R' D L B'
F2 B L2 D L R' B'
F2 B L2 D R' L B'
F2 B L2 D' L R' B
F2 B L2 D' R' L B
R B U2 F2 D' R' B
F2 B R' L2 D L B'
F2 B R' D L B' L2
F2 B R' B' L' D' B2
U' B F2 L' D' R' B
U' B F2 D' L' R' B
U' B F2 D' R' L' B
U' B F2 D' R' B L'
L' B F2 R' D' L' B2
L' B F2 R' D' B2 L'
L' B F2 D' L' R' B2
L' B F2 D' R' L' B2
L' B F2 D' R' B2 L'
L2 B F2 L' R' D B2
L B F U R' F L'
L B F U F L' R'
L B F U F R' L'
U2 B F2 L' D' R' B
L2 B F2 R' L' D B2
L2 B F2 R' D L' B2
L2 B F2 R' D B2 L'
U2 B F2 D' L' R' B
U2 B F2 D' R' L' B
U2 B F2 D' R' B L'
R2 B F2 D' R' B L
U B F2 L' D' R' B
U B F2 D' L' R' B
U B F2 D' R' L' B
U B F2 D' R' B L'
L' B' L2 U F2 L' R
L' B' L2 U F2 R L'
F2 B D L R' B' L2
F2 B D R' L B' L2
F2 B D' L R' B L2
F2 B D' L' R' D B
F2 B D' L' R' D' B
F2 B D' L' R' D2 B
F2 B D' L' R' B D
F2 B D' L' R' B D'
F2 B D' L' R' B D2
F2 B D' R' L B L2
F2 B D' R' L' D B
F2 B D' R' L' D' B
F2 B D' R' L' D2 B
F2 B D' R' L' B D
F2 B D' R' L' B D'
F2 B D' R' L' B D2
F2 B D' R' D L' B
F2 B D' R' D B L'
F2 B D' R' D' L' B
F2 B D' R' D' B L'
F2 B D' R' D2 L' B
F2 B D' R' D2 B L'
F' B D' F' L' R' B
F2 B D' R' B L' D
F2 B D' R' B L' D'
F2 B D' R' B L' D2
F2 B D' R' B D L'
F2 B D' R' B D' L'
F2 B D' R' B D2 L'
F2 B D' R' B' L' B2
F' B D' F' R' L' B
F' B D' F' R' B L'
F2 B D2 L' D R' B
L B' U L2 F2 L' R
L B' U L2 F2 R L'
L B' U F2 L' D2 R2
L B' U' L R U2 F2
L B' U' L U2 F2 L'
L B' U' R L U2 F2
L' B' F2 D' B2 L' R'
L' B' F2 D' B2 R' L'
B F' D' F' L' R' B
B F' D' F' R' L' B
B F' D' F' R' B L'
B2 F2 L' U R' F' U'
F2 B2 L' U R' F' U'
B2 F2 L' B' D' R' B
F2 B2 L' B' D' R' B
B F2 L' D' R' D B
B F2 L' D' R' D' B
B F2 L' D' R' D2 B
B F2 L' D' R' B D
B F2 L' D' R' B D'
B F2 L' D' R' B D2
B F2 L2 R' D L B'
B F2 L2 D L R' B'
B F2 L2 D R' L B'
B F2 L2 D' L R' B
B F2 L2 D' R' L B
B F2 R' L2 D L B'
B F2 R' D L B' L2
B F2 R' B' L' D' B2
B F2 D L R' B' L2
B F2 D R' L B' L2
B F2 D' L R' B L2
B F2 D' L' R' D B
B F2 D' L' R' D' B
B F2 D' L' R' D2 B
B F2 D' L' R' B D
B F2 D' L' R' B D'
B F2 D' L' R' B D2
B F2 D' R' L B L2
B F2 D' R' L' D B
B F2 D' R' L' D' B
B F2 D' R' L' D2 B
B F2 D' R' L' B D
B F2 D' R' L' B D'
B F2 D' R' L' B D2
B F2 D' R' D L' B
B F2 D' R' D B L'
B F2 D' R' D' L' B
B F2 D' R' D' B L'
B F2 D' R' D2 L' B
B F2 D' R' D2 B L'
B F2 D' R' B L' D
B F2 D' R' B L' D'
B F2 D' R' B L' D2
B F2 D' R' B D L'
B F2 D' R' B D' L'
B F2 D' R' B D2 L'
B F2 D' R' B' L' B2
B F2 D2 L' D R' B
