L2 R U' D' R2 F
L2 R U' D' F R2
L2 R U' F D' R2
L2 R U2 B2 U F
L2 R D' U' R2 F
L2 R D' U' F R2
L2 R D2 F2 U' F'
R L2 U' D' R2 F
R L2 U' D' F R2
R L2 U' F D' R2
R L2 U2 B2 U F
R L2 D' U' R2 F
R L2 D' U' F R2
D' L2 R U' R F
D2 L2 R F2 U' F'
R L2 D2 F2 U' F'
R U D L2 U2 F
R U D B' L2 U2
R U D' B' U2 R2
D' R L2 U' R F
D2 R L2 F2 U' F'
D R U L2 U2 F
D' R U B' U2 R
D R U B' L2 U2
R U B' U B' U
D2 R F2 L2 U' F
D2 R F2 U B' U2
R U2 B2 R2 U F'
R U2 B2 U' B U2
R D U L2 U2 F
R D U B' L2 U2
R D' L2 U' R2 F
R D' L2 U' F R2
L2 D' R U' R F
R D' U B' U2 R2
L' D2 R F2 U' F
L2 D2 R F2 U' F'
R D2 L2 F2 U' F'
R D2 F2 L2 U' F
R D2 F2 U B' U2
D' R U B' U2 R D2
D' R U B' U2 D R
D' R U B' U2 D' R
D' R U B' U2 D2 R
D' R U B' D U2 R
D' R U B' D' U2 R
D' R U B' D2 U2 R
D R U D2 B' U2 R2
D' R U' L2 R F L2
D' R U' R L2 F L2
D R U B L2 B2 U2
D' R U' R U2 B' U2
D R U B' L2 U2 D
D R U B' L2 U2 D'
D R U B' L2 U2 D2
D R U B' L2 D U2
D R U B' L2 D' U2
D R U B' L2 D2 U2
D R U B' U2 D2 R2
D R U B' D2 U2 R2
D R U B2 L2 B U2
D2 R D L2 U' R2 F
D2 R D L2 U' F R2
D' R D L2 U' R F
D2 R D U B' U2 R2
D' R D U B' U2 R
R U B' L2 U' F U'
R2 U B' U B' L U
D R D L2 F2 U' F'
R U B' U D B' U
R U B' U D' B' U
R U B' U D2 B' U
R U B' U B' U D
R U B' U B' U D'
R U B' U B' U D2
R U B' U B' D U
R U B' U B' D' U
R U B' U B' D2 U
R U B' D U B' U
R U B' D' U B' U
R U B' D2 U B' U
D' R D' L2 U' R F
D R D F2 L2 U' F
D R D F2 U B' U2
D2 R D' U L2 U2 F
D2 R D' U B' L2 U2
D' R D' U B' U2 R
D' R D2 L2 U' R F
D' R D2 U B' U2 R
D R D2 L2 U' R2 F
D R D2 L2 U' F R2
D R D2 U B' U2 R2
D R F U L2 U2 F
D R F U B' L2 U2
D2 R F' L2 F' U' F2
D R F' U L2 U2 F
D R F' U B' L2 U2
R U' L2 F L2 D' R2
D2 R F2 L2 U' D F
D2 R F2 L2 U' D' F
D2 R F2 L2 U' D2 F
D2 R F2 L2 U' F D
D2 R F2 L2 U' F D'
D2 R F2 L2 U' F D2
D2 R F2 L2 D U' F
D2 R F2 L2 D' U' F
D2 R F2 L2 D2 U' F
D2 R F2 U D B' U2
D2 R F2 U D' B' U2
D2 R F2 U D2 B' U2
D2 R F2 U B' U2 D
D2 R F2 U B' U2 D'
D2 R F2 U B' U2 D2
D2 R F2 U B' D U2
D2 R F2 U B' D' U2
D2 R F2 U B' D2 U2
D' R F2 U B' L' U2
D2 R F2 U' L2 F L2
D2 R F2 D L2 U' F
D2 R F2 D U B' U2
D2 R F2 D' L2 U' F
D2 R F2 D' U B' U2
D2 R F2 D2 L2 U' F
D2 R F2 D2 U B' U2
D R F2 U L2 U2 F
D R F2 U B' L2 U2
R' U' D B2 D2 R2 F'
U2 R B2 U' B U2 B'
R U' D' L2 R2 F L2
R U' D' L2 F L2 R2
R U' D' L2 F R2 L2
R U' D' R2 L2 F L2
R U' D' R2 U2 B' U2
R U' D' B2 R2 F' B2
R U' D' B2 R2 B2 F'
D2 R' U' D B2 R2 F'
D2 R' D U' B2 R2 F'
U' R' D B2 D2 R2 F'
R2 U2 L B2 L U F
D2 R' F2 L2 R2 U' F
D2 R' F2 R2 L2 U' F
D2 R' F2 R2 U B' U2
R U2 R B2 R2 U F'
R U2 R B2 U' B U2
R U2 R' B2 R2 U F'
R U2 R' B2 U' B U2
R U2 R2 B2 R2 U F'
R U2 R2 B2 U' B U2
U2 R' B2 U2 R2 U' F'
U2 R2 L B2 L U F
R U2 D' B2 U R2 F'
R U2 B D' B R2 U
R U2 B D2 B U F2
R' U2 B2 U2 R2 U' F'
R2 U2 B2 L R2 U F'
R2 U2 B2 L U' B U2
R2 U2 B2 R2 L U F'
L2 U2 B2 U2 R U' F
R U2 B2 R2 U D F'
R U2 B2 R2 U D' F'
R U2 B2 R2 U D2 F'
R U2 B2 R2 U F' D
R U2 B2 R2 U F' D'
R U2 B2 R2 U F' D2
R U2 B2 R2 D U F'
R U2 B2 R2 D' U F'
R U2 B2 R2 D2 U F'
R U2 B2 U R2 F' R2
R U2 B2 U' D B U2
R U2 B2 U' D' B U2
R U2 B2 U' D2 B U2
R U2 B2 U' B U2 D
R U2 B2 U' B U2 D'
R U2 B2 U' B U2 D2
R U2 B2 U' B D U2
R U2 B2 U' B D' U2
R U2 B2 U' B D2 U2
R U2 B2 D R2 U F'
R U2 B2 D U' B U2
R U2 B2 D' R2 U F'
R U2 B2 D' U' B U2
R U2 B2 D2 R2 U F'
R U2 B2 D2 U' B U2
R D L' U L' U2 F
D2 R2 F2 L2 R' U' F
L2 D R U L2 B' U2
D2 R2 F2 R' L2 U' F
D2 R2 F2 R' U B' U2
L2 D R U' D2 R2 F
L2 D R U' D2 F R2
L2 D R U' F D2 R2
L2 D R D F2 U' F'
L2 D R D2 U' R2 F
L2 D R D2 U' F R2
R2 D R' U L2 U2 F
R2 D R' U B' L2 U2
R' D U L2 U2 F B2
R' D U L2 U2 B2 F
R' D U B' L2 F U2
U2 R2 B2 L R2 U F'
U2 R2 B2 L U' B U2
U2 R2 B2 R2 L U F'
R' D U' B2 D2 R2 F'
R D U L2 U2 D F
R D U L2 U2 D' F
R D U L2 U2 D2 F
R D U L2 U2 F D
R D U L2 U2 F D'
R D U L2 U2 F D2
R D U L2 D U2 F
R D U L2 D' U2 F
R D U L2 D2 U2 F
R D U L2 B U2 F
R D U L2 B' U2 F
R D U L2 B2 U2 F
R D U B L2 B2 U2
R D U B' L2 U2 D
R D U B' L2 U2 D'
R D U B' L2 U2 D2
R D U B' L2 D U2
R D U B' L2 D' U2
R D U B' L2 D2 U2
R D U B' U2 D2 R2
R D U B' D2 U2 R2
R D U B2 L2 B U2
R D F U L2 U2 F
R D F U B' L2 U2
D U L2 U' R U' F
U D L2 U' R U' F
R D F' U L2 U2 F
R D F' U B' L2 U2
R D F2 U L2 U2 F
R D F2 U B' L2 U2
L D' L R U' R F
R2 D' L2 R' U' R' F
R2 D' L2 R' U' F R'
L' D' R U' D' R F'
D' U B' U' R U' R
D2 U B' U' R F2 U'
L' D' R D' U' R F'
R D' L2 U' R' F R'
R D' L2 U' R2 D F
R D' L2 U' R2 D' F
R D' L2 U' R2 D2 F
R D' L2 U' R2 F D
R D' L2 U' R2 F D'
R D' L2 U' R2 F D2
R D' L2 U' F R2 D
R D' L2 U' F R2 D'
R D' L2 U' F R2 D2
R D' L2 U' F' R2 F2
L2 D' R U' R D F
L2 D' R U' R D' F
L2 D' R U' R D2 F
L2 D' R U' R F D
L2 D' R U' R F D'
L2 D' R U' R F D2
L2 D' R U' R' F R2
L2 D' R U' R2 F R'
L2 D' R U' D R F
L2 D' R U' D' R F
L2 D' R U' D2 R F
L2 D' R D U' R F
R D' L2 D' F2 U' F'
L2 D' R D' U' R F
D U B' L2 U' R U'
L2 D' R D2 U' R F
R D' L2 F' U' R2 F2
R D' L2 F' U' F2 R2
R D' L2 F2 U' F' R2
L D' R L U' R F
U D B' L2 U' R U'
R2 D' R' L2 U' R' F
R2 D' R' L2 U' F R'
B' U B' U2 R B2 U'
B' U B' U2 B2 R U'
B' U B' D2 F2 L' U
F2 U B' U B' L' U
R' D' U F2 B' U2 R2
R' D' U B' F2 U2 R2
R D' U L2 U2 R2 F
R D' U L2 U2 F R2
R D' U B' L U2 R2
R D' U B' L' U2 R2
R D' U B' L2 U2 R2
R D' U B' U2 R2 D
R D' U B' U2 R2 D'
R D' U B' U2 R2 D2
R D' U B' D2 L2 U2
R D' U B2 U2 R2 F'
R D' U' L2 R2 F L2
R D' U' L2 F L2 R2
R D' U' L2 F R2 L2
R D' U' R2 L2 F L2
R D' U' R2 U2 B' U2
R D' U' B2 R2 F' B2
R D' U' B2 R2 B2 F'
D2 U' R' D B2 R2 F'
R D' U2 B2 U R2 F'
R D' F L2 U' R2 F
R D' F L2 U' F R2
R D' F U B' U2 R2
R D' F' L2 U' R2 F
R D' F' L2 U' F R2
R D' F' U B' U2 R2
R D' F2 L2 U' R2 F
R D' F2 L2 U' F R2
R D' F2 U B' U2 R2
L' D2 L R F2 U' F
L' D2 L' R F2 U' F
L D2 L R F2 U' F'
L' D2 L2 R F2 U' F
R D2 L F2 L U' F
U D' B' U' R U' R
R2 D2 L2 R' F2 U' F'
L' D2 R L F2 U' F
L' D2 R L' F2 U' F
L' D2 R L2 F2 U' F
L' D2 R U' D F' R2
R D2 L' F2 L' U' F
L' D2 R D U' F' R2
L' D2 R F2 U' D F
L' D2 R F2 U' D' F
L' D2 R F2 U' D2 F
L' D2 R F2 U' F D
L' D2 R F2 U' F D'
L' D2 R F2 U' F D2
L' D2 R F2 D U' F
L' D2 R F2 D' U' F
L' D2 R F2 D2 U' F
L2 D2 R U' D R2 F
L2 D2 R U' D F R2
R D2 L2 U' D R2 F
R D2 L2 U' D F R2
L2 D2 R D U' R2 F
L2 D2 R D U' F R2
R D2 L2 D U' R2 F
R D2 L2 D U' F R2
L2 D2 R F2 L U' F'
L2 D2 R F2 L' U' F'
L2 D2 R F2 L2 U' F'
L2 D2 R F2 U' D F'
L2 D2 R F2 U' D' F'
L2 D2 R F2 U' D2 F'
L2 D2 R F2 U' F' D
L2 D2 R F2 U' F' D'
L2 D2 R F2 U' F' D2
L2 D2 R F2 D U' F'
L2 D2 R F2 D' U' F'
L2 D2 R F2 D2 U' F'
R D2 L2 F2 L U' F'
R D2 L2 F2 L' U' F'
R D2 L2 F2 L2 U' F'
R D2 L2 F2 U' D F'
R D2 L2 F2 U' D' F'
R D2 L2 F2 U' D2 F'
R D2 L2 F2 U' F' D
R D2 L2 F2 U' F' D'
R D2 L2 F2 U' F' D2
R D2 L2 F2 D U' F'
R D2 L2 F2 D' U' F'
R D2 L2 F2 D2 U' F'
L D2 R L F2 U' F'
B' U' B R U' D' R2
B' U' B R U2 B2 U
B' U' B R D' U' R2
B' U' B R D2 F2 U'
L' D2 R' F2 R2 U' F'
R2 D2 R' L2 F2 U' F'
B' U' B D' R U' R
B' U' B D2 R F2 U'
B2 U' B U' B R U'
L D2 R F2 L U' F
R2 D2 R' F2 L2 U' F
R2 D2 R' F2 U B' U2
L' D2 R2 F2 R' U' F'
U' D2 R' D B2 R2 F'
R D2 U B' U' F2 U'
R D2 U B' U2 D R2
R D2 U B' D U2 R2
R D2 U B' D' L2 U2
R' D2 F2 U2 L2 U F
R D2 F' L2 F' U' F2
R2 D2 F2 L2 R' U' F
L2 D2 F2 U2 L' U F'
R2 D2 F2 R' L2 U' F
R2 D2 F2 R' U B' U2
R D2 F2 L2 U' D F
R D2 F2 L2 U' D' F
R D2 F2 L2 U' D2 F
R D2 F2 L2 U' F D
R D2 F2 L2 U' F D'
R D2 F2 L2 U' F D2
R D2 F2 L2 D U' F
R D2 F2 L2 D' U' F
R D2 F2 L2 D2 U' F
R D2 F2 U D B' U2
R D2 F2 U D' B' U2
R D2 F2 U D2 B' U2
R D2 F2 U B' U2 D
R D2 F2 U B' U2 D'
R D2 F2 U B' U2 D2
R D2 F2 U B' D U2
R D2 F2 U B' D' U2
R D2 F2 U B' D2 U2
R D2 F2 U' L2 F L2
R D2 F2 D L2 U' F
R D2 F2 D U B' U2
R D2 F2 D' L2 U' F
R D2 F2 D' U B' U2
R D2 F2 D2 L2 U' F
R D2 F2 D2 U B' U2
U D2 B' U' R F2 U'
R F L2 U' D' R2 F
R F L2 U' D' F R2
R F L2 U' F D' R2
R F L2 U2 B2 U F
R F L2 D' U' R2 F
R F L2 D' U' F R2
R F L2 D2 F2 U' F'
B2 U2 B2 L2 R U' F
B2 U2 B2 R L2 U' F
F2 U2 B2 L' R2 U F'
B2 U2 B2 R U B' U2
F2 U2 B2 L' U' B U2
F2 U2 B2 R2 L' U F'
R F U D L2 U2 F
R F U D B' L2 U2
R F U D' B' U2 R2
R F U B' U B' U
R F U2 B2 R2 U F'
R F U2 B2 U' B U2
R F D U L2 U2 F
R F D U B' L2 U2
R F D' L2 U' R2 F
R F D' L2 U' F R2
R F D' U B' U2 R2
R F D2 L2 F2 U' F'
R F D2 F2 L2 U' F
R F D2 F2 U B' U2
R F' L2 U' D' R2 F
R F' L2 U' D' F R2
R F' L2 U' F D' R2
R F' L2 U2 B2 U F
R F' L2 D' U' R2 F
R F' L2 D' U' F R2
R F' L2 D2 F2 U' F'
R F' U D L2 U2 F
R F' U D B' L2 U2
R F' U D' B' U2 R2
R F' U B' U B' U
R F' U2 B2 R2 U F'
R F' U2 B2 U' B U2
R F' D U L2 U2 F
R F' D U B' L2 U2
R F' D' L2 U' R2 F
R F' D' L2 U' F R2
R F' D' U B' U2 R2
R F' D2 L2 F2 U' F'
R F' D2 F2 L2 U' F
R F' D2 F2 U B' U2
R F2 L2 U' D' R2 F
R F2 L2 U' D' F R2
R F2 L2 U' F D' R2
R F2 L2 U2 B2 U F
R F2 L2 D' U' R2 F
R F2 L2 D' U' F R2
R F2 L2 D2 F2 U' F'
D2 F2 U B' U L' U
L' F2 U2 L' B2 U F
R F2 U D L2 U2 F
R F2 U D B' L2 U2
R F2 U D' B' U2 R2
L2 F2 U2 L' B2 U F'
L' F2 U2 B2 L' U F
R F2 U B' U B' U
L2 F2 U2 B2 L' U F'
R F2 U2 B2 R2 U F'
R F2 U2 B2 U' B U2
R F2 D U L2 U2 F
L' F2 D2 F2 R U' F'
R F2 D U B' L2 U2
L2 F2 D2 F2 R U' F
R F2 D' L2 U' R2 F
R F2 D' L2 U' F R2
R F2 D' U B' U2 R2
R F2 D2 L2 F2 U' F'
R F2 D2 F2 L2 U' F
R F2 D2 F2 U B' U2
U F2 B' U B' L' U
B2 D2 F2 L' R2 U F'
B2 D2 F2 L' U' B U2
F2 D2 F2 L2 R U' F
B2 D2 F2 R2 L' U F'
F2 D2 F2 R L2 U' F
F2 D2 F2 R U B' U2
D B' L2 U' B R U'
U B' L2 U' R F U'
D2 B' U' B R F2 U'
D' B' U' B R U' R
U B' U B' U2 R U'
U B' U' R U2 B' U
U B' F2 U B' L' U
D' B2 R B2 U' R F'
R' B2 U D B2 L2 F
R' B2 U2 R2 B2 U' F'
U2 B2 U' B U' R U'
L2 B2 U2 R B2 U' F
R' B2 D U B2 L2 F
L2 B2 U2 B2 R U' F
L2 B2 D2 F2 L' U F'
