B2 D' F2 R F'
F2 B2 D' R F'
B2 F2 D' R F'
L2 U B2 L2 R' F'
L2 U B2 R' L2 F'
L2 U B2 R' F' L2
L2 U B2 R' F' L2
B' R D' F2 R B'
B' R D' F2 B' R
B' R D' B' F2 R
B2 R D' F2 R F'
B2 R F2 D' R F'
B' R B' D' F2 R
B2 R' D' F2 R F'
B2 R' F2 D' R F'
B2 R2 D' F2 R F'
B2 R2 F2 D' R F'
B2 U2 D L' U2 F
B2 D U2 L' U2 F
B2 D F2 D2 R F'
B2 D' R F2 R F
B2 D' F' R F' R
B2 D' F2 R D F'
B2 D' F2 R D' F'
B2 D' F2 R D2 F'
B2 D' F2 R F' D
B2 D' F2 R F' D'
B2 D' F2 R F' D2
R' F2 B2 D' R F'
R2 F2 B2 D' R F'
R F2 B2 D' R F'
B2 F D' F R F'
F2 B' R D' F2 B'
F2 B' R D' B' F2
F2 B' R B' D' F2
B' F2 R D' F2 B'
B' F2 R D' B' F2
B' F2 R B' D' F2
R' B2 D' F2 R F'
R2 B2 D' F2 R F'
B2 F2 D' R D F'
B2 F2 D' R D' F'
B2 F2 D' R D2 F'
F2 B2 D' R D F'
F2 B2 D' R D' F'
B2 F2 D' R F' D
B2 F2 D' R F' D'
B2 F2 D' R F' D2
F2 B2 D' R D2 F'
F2 B2 D' R F' D
F2 B2 D' R F' D'
F2 B2 D' R F' D2
R' B2 F2 D' R F'
R B2 D' F2 R F'
R2 B2 F2 D' R F'
F B2 D' F R F'
R B2 F2 D' R F'
B' F2 D' R D' B' F2
B' F2 D' R B' D' F2
R' B2 F D' F R F'
D B2 D' B2 F2 R F'
R B2 D F2 D2 R F'
F' B2 D' R D F' R
B2 F2 D' L' R F' L
R B2 D' R F2 R F
B2 F2 D' L2 R F' L2
B' F2 D' B' D' R F'
B2 F2 D' R L' F' L
B2 F2 D' R L2 F' L2
B2 F2 D' R D F' D
B2 F2 D' R D F' D'
B2 F2 D' R D F' D2
B2 F2 D' R D' F' D
B2 F2 D' R D' F' D'
B2 F2 D' R D' F' D2
B2 F2 D' R D2 F' D
B2 F2 D' R D2 F' D'
B2 F2 D' R D2 F' D2
F2 B2 D' L' R F' L
B2 F2 D' R F2 D F
B2 F2 D' R F2 D' F
B2 F2 D' R F2 D2 F
F2 B2 D' L2 R F' L2
B2 F2 D' R' F R2 F'
B2 F2 D' R' F' R2 F'
B2 F2 D' R' F2 R2 F'
B2 F2 D' R2 D R' F'
B2 F2 D' R2 D' R' F'
B2 F2 D' R2 D2 R' F'
F2 B2 D' R L' F' L
B2 F2 D' R2 F R' F'
F2 B2 D' R L2 F' L2
B2 F2 D' R2 F' R' F'
B2 F2 D' R2 F2 R' F'
F2 B2 D' R D F' D
F2 B2 D' R D F' D'
F2 B2 D' R D F' D2
F2 B2 D' R D' F' D
F2 B2 D' R D' F' D'
F2 B2 D' R D' F' D2
F2 B2 D' R D2 F' D
F2 B2 D' R D2 F' D'
F2 B2 D' R D2 F' D2
F2 B2 D' R F2 D F
F2 B2 D' R F2 D' F
F2 B2 D' R F2 D2 F
B' F2 D2 R D' F2 B'
B' F2 D2 R D' B' F2
F2 B2 D' R' F R2 F'
F2 B2 D' R' F' R2 F'
F2 B2 D' R' F2 R2 F'
B' F2 D2 R B' D' F2
F2 B2 D' R2 D R' F'
F2 B2 D' R2 D' R' F'
R B2 D' F' R F' R
F2 B2 D' R2 D2 R' F'
F2 B2 D' R2 F R' F'
F2 B2 D' R2 F' R' F'
F2 B2 D' R2 F2 R' F'
B2 F2 D' F R F' R
R B2 D' F2 R D F'
R B2 D' F2 R D' F'
R B2 D' F2 R D2 F'
R B2 D' F2 R F' D
R B2 D' F2 R F' D'
R B2 D' F2 R F' D2
L B2 D2 R2 D' L' F
F B2 D L' F L R
F2 B2 D' F R F' R
F B2 D L' F R L
B2 F2 D' B R F' B'
B2 F2 D' B R B' F'
B F2 D B D' R F'
B2 F2 D' B2 R F' B2
B2 F2 D' B2 R B2 F'
F2 B2 D' B R F' B'
F2 B2 D' B R B' F'
F2 B2 D' B2 R F' B2
F2 B2 D' B2 R B2 F'
B' F2 D2 B' D' R F'
R2 B2 F D' F R F'
R' B2 F2 D' R D F'
R' B2 F2 D' R D' F'
R' B2 F2 D' R D2 F'
R' B2 F2 D' R F' D
R' B2 F2 D' R F' D'
R' B2 F2 D' R F' D2
F B2 D F D2 R F'
B F2 D' B D' R F'
F B2 D' R F R F2
F B2 D' F R D F'
F B2 D' F R D' F'
F B2 D' F R D2 F'
F B2 D' F R F' D
F B2 D' F R F' D'
F B2 D' F R F' D2
F B2 D' F2 R F' R
R B2 F D' F R F'
R2 B2 F2 D' R D F'
R2 B2 F2 D' R D' F'
R2 B2 F2 D' R D2 F'
B F2 D2 B D' R F'
R2 B2 F2 D' R F' D
R2 B2 F2 D' R F' D'
R2 B2 F2 D' R F' D2
D B2 F2 D' R F' B2
D B2 F2 D' R B2 F'
D B2 F2 D' B2 R F'
R B2 F2 D' R D F'
R B2 F2 D' R D' F'
R B2 F2 D' R D2 F'
R B2 F2 D' R F' D
R B2 F2 D' R F' D'
R B2 F2 D' R F' D2
