D' L R' F U' F
D2 L R' F L U'
R' L F U2 R' U
D2 L F L R' U'
D' L F R' U' F
D2 L F R' L U'
R' L' U2 R' B' U
L' R' U2 R' B' U
L R' F U2 R' U
R' U' F R D' F2
D' R' L F U' F
D2 R' L F L U'
D' R' U' F R F
D' R' F U' F R
R' U2 R B R2 U
R' U2 R' U2 F' U'
U2 R2 U2 R F' U'
L D' R' F U' F
L D' F R' U' F
L' D2 L2 R' F U'
L' D2 L2 F R' U'
L' D2 R' L2 F U'
L D2 R' F L2 U'
L D2 F L2 R' U'
L D2 F R' L2 U'
D' F R' U' F R
L F R' U2 R' U
L F D' R' U' F2
L F D2 L2 R' U'
L F D2 R' L2 U'
R' B2 L F B2 U'
R' B2 L B2 F U'
D2 L F R' D' L U'
D2 L F R' D2 L U'
F' L F R' U2 R' U
D L F R' U B2 U2
F2 L F R' U2 R' U
D L F R' U' D2 F2
D L F R' D L2 U'
D L F R' D2 U' F2
F L F R' U2 R' U
D2 L F D L R' U'
D2 L F D R' L U'
D' L F D R' U' F
D2 L F D' L R' U'
D2 L F D' R' L U'
D' L F D' R' U' F
F' L F D' R' U' F2
D L F D L2 R' U'
D2 L F D2 L R' U'
D L F D R' L2 U'
D2 L F D2 R' L U'
D' L F D2 R' U' F
F' L F D2 L2 R' U'
F' L F D2 R' L2 U'
F2 L F D' R' U' F2
F2 L F D2 L2 R' U'
D L F D2 R' U' F2
F2 L F D2 R' L2 U'
F L F D' R' U' F2
F L F D2 L2 R' U'
F L F D2 R' L2 U'
D2 L F' L R' F2 U'
D2 L F' L F2 R' U'
D2 L F' R' L F2 U'
D2 L F' R' F2 L U'
D2 L F2 L F' R' U'
R' L B2 F L B2 U'
R' L' U2 R B' R2 U
L' R' U2 R B' R2 U
R' L' U2 R' D B' U
L' R' U2 R' D B' U
R' L' U2 R' D' B' U
L' R' U2 R' D' B' U
R' L' U2 R' D2 B' U
L' R' U2 R' D2 B' U
R' L' U2 R' B' U D
R' L' U2 R' B' U D'
R' L' U2 R' B' U D2
R' L' U2 R' B' D U
R' L' U2 R' B' D' U
R' L' U2 R' B' D2 U
L' R' U2 R' B' U D
L' R' U2 R' B' U D'
L' R' U2 R' B' U D2
L' R' U2 R' B' D U
L' R' U2 R' B' D' U
L' R' U2 R' B' D2 U
R' L' U2 R2 B' R U
L' R' U2 R2 B' R U
R' L' U2 D R' B' U
L' R' U2 D R' B' U
R' L' U2 D' R' B' U
L' R' U2 D' R' B' U
L R' U2 R' U2 F U'
R' L' U2 D2 R' B' U
L' R' U2 D2 R' B' U
L2 R' U2 D2 R' B U
R' L' D U2 R' B' U
L' R' D U2 R' B' U
F' L' R' U2 R' B' U
D' L' R' U2 B' U F2
F2 L' R' U2 R' B' U
D' L' R' D' L2 F U'
L R' D F U2 R' U
D L' R' D L2 F U'
F L' R' U2 R' B' U
R' L' D' U2 R' B' U
L' R' D' U2 R' B' U
U2 L' R2 U2 R F' U'
L R' D' F U2 R' U
B' L' R2 F' B' L U
B' L' R2 B' L F' U
B' L' R2 B' F' L U
B2 L' R2 B' L2 F U
R' L' D2 U2 R' B' U
L' R' D2 U2 R' B' U
L2 R' D2 U2 R' B U
L R' D2 F U2 R' U
L R' F L U2 R' U
L R' F L' U2 R' U
L R' F L2 U2 R' U
R' L' F U2 R' B' U
L' R' F U2 R' B' U
L R' F U2 R' U D
L R' F U2 R' U D'
L R' F U2 R' U D2
L R' F U2 R' D U
L R' F U2 R' D' U
L R' F U2 R' D2 U
L R' F U2 D R' U
L R' F U2 D' R' U
L R' F U2 D2 R' U
L R' F D U2 R' U
L R' F D' U2 R' U
L R' F D2 U2 R' U
L R' F B2 L B2 U'
R' L' F' U2 R' B' U
L' R' F' U2 R' B' U
D L' D L2 R' F U'
R' L' F2 U2 R' B' U
D L' D L2 F R' U'
L' R' F2 U2 R' B' U
D L' D R' L2 F U'
D' L' D' L2 R' F U'
D' L' D' L2 F R' U'
D' L' D' R' L2 F U'
F' L' D2 L2 R' F U'
F' L' D2 L2 F R' U'
F2 L' D2 L2 R' F U'
F' L' D2 R' L2 F U'
F2 L' D2 L2 F R' U'
F2 L' D2 R' L2 F U'
F L' D2 L2 R' F U'
F L' D2 L2 F R' U'
F L' D2 R' L2 F U'
R2 L' B' U2 B R U'
L R' B2 F L B2 U'
R' L2 U2 D2 R' B U
B2 L' B' L2 R2 F U
B2 L' B' L2 F R2 U
B2 L' B' R2 L2 F U
R' L2 D2 U2 R' B U
D2 L2 R' D F' U' R
D2 L2 R2 D2 R F' U'
U2 L2 R2 U2 R F' U'
R L2 F2 L' R2 F U'
R L2 F2 L' F R2 U'
R L2 F2 R2 L' F U'
D2 L2 U2 B2 L B' U
L' R2 B' U2 B R U'
D2 L2 D R' F' U' R
D2 L2 D F' R' U' R2
D2 L2 D2 R F' R2 U'
D2 L2 D2 R' U2 B U
D2 R L F L R2 U'
D2 R L F R2 L U'
D' R L F R2 U' F
U2 R D2 L2 B R U
U2 R D2 B L2 R U
U2 R D2 B R L2 U
D' R F R2 U' F R
U' R F D R F' B2
U' R F D R B2 F'
U' R F D B2 R F'
R' U' R D' F R F
R' U' R F D' R F2
R' U' R F' D' F2 R
U2 R B R U2 R U'
R' U' R2 U' R B U
R' U' R2 F D R F'
U2 R B D R U B2
U2 R B D2 L2 R U
U2 R B D2 R L2 U
R' U' D F R D' F2
R' U' D' F R D' F2
D2 R' L D F L U'
D2 R' L D' F L U'
D' R' L D' F L2 U'
D2 R' L D2 F L U'
D2 R' L F L U' D
D2 R' L F L U' D'
D2 R' L F L U' D2
D2 R' L F L D U'
D2 R' L F L D' U'
D2 R' L F L D2 U'
D2 R' L F D L U'
D2 R' L F D' L U'
D2 R' L F D2 L U'
R' U' D2 F R D' F2
D' R' L F U' D F
D' R' L F U' D' F
D' R' L F U' D2 F
D' R' L F U' F D
D' R' L F U' F D'
D' R' L F U' F D2
D2 R' L F' L F2 U'
D' R' L F D U' F
D' R' L F D' U' F
D' R' L F D2 U' F
D2 R' L F2 L F' U'
F' R' L F U2 R' U
D R' L D F L2 U'
F2 R' L F U2 R' U
D R' L D2 F U' F
D R' L F U B2 U2
D R' L F U' D2 F2
D R' L F D L2 U'
D R' L F D2 U' F2
D' R' L' U2 B' U F2
R' U' F R U' R2 U
R' U' F R D' F2 D
R' U' F R D' F2 D'
R' U' F R D' F2 D2
R' U' F R F D' F2
R' U' F R F' D' F2
R' U' F R F2 D' F2
D' R' L' D' L2 F U'
F' R' L' U2 R' B' U
F R' L F U2 R' U
R' U' F U' R' U R2
F2 R' L' U2 R' B' U
R' U' F D R D' F2
R' U' F D' R D' F2
D R' L' D L2 F U'
R' U' F D2 R D' F2
F R' L' U2 R' B' U
D2 R' L2 D F' U' R
R' U' F' R D' F2 R
R U' F D R F' B2
R U' F D R B2 F'
R U' F D B2 R F'
D' R' U B L U2 F2
D' R' U B' U2 R' F2
D' R' U B' U2 F2 R'
D' R' U' R F R F
D' R' U' R' F R F
D' R' U' R2 F R F
D R' U B L B U2
D2 R' U' D F R F
D2 R' U' F R D F2
D' R' U' F R D F
D' R' U' F R D' F
D' R' U' F R D2 F
D' R' U' F R F D
D' R' U' F R F D'
D' R' U' F R F D2
D' R' U' F R' F R2
D' R' U' F R2 F R'
D2 R' U' F D R F2
D' R' U' F D R F
D' R' U' F D' R F
D' R' U' F D2 R F
D2 R' U' F' D F2 R
F' R' U' F R D' F2
F2 R' U' F R D' F2
D R' U' D2 F R F
D R' U' F R D2 F2
D R' U' F D2 R F2
D' R' U2 R B U F2
D R' U' F' D2 F2 R
F' R' U2 R B R2 U
F' R' U2 R' U2 F' U'
F R' U' F R D' F2
F2 R' U2 R B R2 U
F2 R' U2 R' U2 F' U'
D2 R' D L F U' F
F R' U2 R B R2 U
F R' U2 R' U2 F' U'
D2 R' D U' F R F
D2 R' D F U' F R
D R' D L F L U'
D' R' D' L F L U'
D R' D2 L F U' F
D2 R' F L F L U'
D R' D2 U' F R F
D R' D2 F U' F R
D' R' F U' R F R
D' R' F U' R' F R
D' R' F U' R2 F R
D' R' F U' D F R
D' R' F U' D' F R
D' R' F U' D2 F R
D' R' F U' F R D
D' R' F U' F R D'
D' R' F U' F R D2
D' R' F U' F D R
D' R' F U' F D' R
D' R' F U' F D2 R
D' R' F D U' F R
D' R' F D' U' F R
D' R' F D2 U' F R
D2 R' F' L F L U'
D' R' F' L F U' F2
D' R' F' U' F R F2
R' U2 R D' B U F2
D2 R' F2 L F L U'
U2 R' F' U2 R' F U
D' R' F2 L F U' F'
U2 R' F' U2 F R' U
R' U2 R B R2 U D
R' U2 R B R2 U D'
R' U2 R B R2 U D2
R' U2 R B R2 D U
R' U2 R B R2 D' U
R' U2 R B R2 D2 U
R' U2 R B U D' F2
R' U2 R B D' U F2
R' U2 R B' R2 B2 U
R' U2 R B2 R2 B' U
R' U2 R' U2 D F' U'
R' U2 R' U2 D' F' U'
R' U2 R' U2 D2 F' U'
R' U2 R' U2 F' U' D
R' U2 R' U2 F' U' D'
R' U2 R' U2 F' U' D2
R' U2 R' U2 F' D U'
R' U2 R' U2 F' D' U'
R' U2 R' U2 F' D2 U'
R' U2 R' D U2 F' U'
R' U2 R' D' U2 F' U'
R' U2 R' D2 U2 F' U'
R' U2 R' B U2 F' U'
R' U2 R' B' U2 F' U'
R' U2 R' B2 U2 F' U'
R U2 R B U2 R U'
L' U2 R2 B' U2 R U'
R' U2 D R B R2 U
R' U2 D R' U2 F' U'
L U2 R2 U2 R F U'
F' R' B2 L F B2 U'
F' R' B2 L B2 F U'
B2 R' B2 L R' F U'
B2 R' B2 L F R' U'
F2 R' B2 L F B2 U'
R' U2 D' R B R2 U
F2 R' B2 L B2 F U'
R' U2 D' R' U2 F' U'
B2 R' B2 R' L F U'
R U2 D R B U B
F R' B2 L F B2 U'
F R' B2 L B2 F U'
R' U2 D2 R B R2 U
R' U2 D2 R' U2 F' U'
B2 R2 L U2 F B2 U'
B2 R2 L U2 B2 F U'
U2 R2 L U2 R F' U'
R U2 D2 L2 R B U
U2 R2 L' U2 R F' U'
B' R2 L' F' B' L U
R U2 D2 R L2 B U
R U2 D2 R B L2 U
B' R2 L' B' L F' U
B' R2 L' B' F' L U
B2 R2 L' B' L2 F U
D2 R2 L2 D2 R F' U'
U2 R2 L2 U2 R F' U'
R' U2 B' R B R' U
U2 R2 U2 R D F' U'
U2 R2 U2 R D' F' U'
U2 R2 U2 R D2 F' U'
U2 R2 U2 R F' U' D
U2 R2 U2 R F' U' D'
U2 R2 U2 R F' U' D2
U2 R2 U2 R F' D U'
U2 R2 U2 R F' D' U'
U2 R2 U2 R F' D2 U'
B2 R2 U2 B2 R' F' U'
L' U2 B2 L B R2 U
R' U2 B2 U2 L F U'
L2 U2 B2 L R2 B' U
L2 U2 B2 L B' R2 U
L2 U2 B2 R2 L B' U
R' D L F U2 R' U
R' D L' U2 R' B' U
B' R2 F' L' B' L U
L' D R' D L2 F U'
U2 R2 B U2 R F' U'
L D R' D F L2 U'
L D R' D2 F U' F
L D R' F U B2 U2
L D R' F U' D2 F2
L D R' F D L2 U'
L D R' F D2 U' F2
U2 R2 B' U2 R F' U'
R' D U' F R D' F2
U2 R2 B2 U2 R F' U'
R' D U2 R B R2 U
R' D U2 R' U2 F' U'
R D U2 R B U B
L D F R' U B2 U2
L D F R' U' D2 F2
L D F R' D L2 U'
L D F R' D2 U' F2
L D F D L2 R' U'
L D F D R' L2 U'
L D F D2 R' U' F2
R' D B2 L F B2 U'
R' D B2 L B2 F U'
R' D' L F U2 R' U
R' D' L' U2 R' B' U
L' D' L2 R' F U' F
L' D' L2 F R' U' F
L' D' R' L2 F U' F
L' D' R' U2 B' U F2
L' D' R' D' L2 F U'
L D' R F R2 U' F
L D' R' D' F L2 U'
L D' R' F U' D F
L D' R' F U' D' F
L D' R' F U' D2 F
L D' R' F U' F D
L D' R' F U' F D'
L D' R' F U' F D2
L D' R' F D U' F
L D' R' F D' U' F
L D' R' F D2 U' F
R' D' U' F R D' F2
R' D' U2 R B R2 U
R' D' U2 R' U2 F' U'
L D' F R' U' D F
L D' F R' U' D' F
L D' F R' U' D2 F
L D' F R' U' F D
L D' F R' U' F D'
L D' F R' U' F D2
L D' F R' D U' F
L D' F R' D' U' F
L D' F R' D2 U' F
L D' F D R' U' F
L D' F D' R' U' F
L D' F D2 R' U' F
D' U' F R D F B2
D' U' F R D B2 F
U' D' F R D F B2
U' D' F R D B2 F
D' U' F R F D B2
U' D' F R F D B2
D2 U' F R D F2 B2
D2 U' F R D B2 F2
R' D' B2 L F B2 U'
R' D' B2 L B2 F U'
R' D2 L F U2 R' U
R' D2 L' U2 R' B' U
L' D2 L2 R F R2 U'
L' D2 L2 R' D F U'
L' D2 L2 R' D' F U'
L' D2 L2 R' D2 F U'
L' D2 L2 R' F U' D
L' D2 L2 R' F U' D'
L' D2 L2 R' F U' D2
L' D2 L2 R' F D U'
L' D2 L2 R' F D' U'
L' D2 L2 R' F D2 U'
L' D2 L2 D R' F U'
L' D2 L2 D F R' U'
L' D2 L2 D' R' F U'
L' D2 L2 D' F R' U'
L' D2 L2 D2 R' F U'
L' D2 L2 D2 F R' U'
L2 D2 L2 R F' R2 U'
L' D2 L2 F R' U' D
L' D2 L2 F R' U' D'
L' D2 L2 F R' U' D2
L' D2 L2 F R' D U'
L' D2 L2 F R' D' U'
L' D2 L2 F R' D2 U'
L2 D2 L2 R' U2 B U
L' D2 L2 F D R' U'
L' D2 L2 F D' R' U'
L' D2 L2 F D2 R' U'
L' D2 L2 F' R' F2 U'
L' D2 R L2 F R2 U'
L D2 L2 R' U2 B' U
L2 D2 R L2 F' R2 U'
L' D2 R' L2 D F U'
L' D2 R' L2 D' F U'
L' D2 R' L2 D2 F U'
L' D2 R' L2 F U' D
L' D2 R' L2 F U' D'
L' D2 R' L2 F U' D2
L' D2 R' L2 F D U'
L' D2 R' L2 F D' U'
L' D2 R' L2 F D2 U'
L2 D2 R F' L2 R2 U'
L2 D2 R F' R2 L2 U'
L' D2 R' F L2 F U'
L2 D2 R' L2 U2 B U
L' D2 R' F' L2 F U'
L' D2 R' F2 L2 F U'
L D2 R F L2 R2 U'
L D2 R F R2 L2 U'
L D2 R' L2 U2 B' U
L D2 R' D F U' F
L D2 R' F L2 U' D
L D2 R' F L2 U' D'
L D2 R' F L2 U' D2
L D2 R' F L2 D U'
L D2 R' F L2 D' U'
L D2 R' F L2 D2 U'
L D2 R' F U' D F2
L D2 R' F D U' F2
L D2 R' F' L2 F2 U'
L D2 R' F2 L2 F' U'
R' D2 U' F R D' F2
D2 U2 R' F' L2 B' U'
R' D2 U2 R B R2 U
U2 D2 R' F' L2 B' U'
R' D2 U2 R' U2 F' U'
U' D2 F R D F2 B2
U' D2 F R D B2 F2
L' D2 F L2 R' F U'
L' D2 F L2 F R' U'
L' D2 F R' L2 F U'
R D2 U2 L2 R B U
R D2 U2 R L2 B U
R D2 U2 R B L2 U
L' D2 F' L2 R' F U'
L' D2 F' L2 F R' U'
L' D2 F' R' L2 F U'
L D2 F L2 R' U' D
L D2 F L2 R' U' D'
L D2 F L2 R' U' D2
L D2 F L2 R' D U'
L D2 F L2 R' D' U'
L D2 F L2 R' D2 U'
L D2 F L2 D R' U'
L D2 F L2 D' R' U'
L D2 F L2 D2 R' U'
L D2 F R' L2 U' D
L D2 F R' L2 U' D'
L D2 F R' L2 U' D2
L D2 F R' L2 D U'
L D2 F R' L2 D' U'
L D2 F R' L2 D2 U'
L D2 F R' U' D F2
L D2 F R' D U' F2
L' D2 F2 L2 R' F U'
L' D2 F2 L2 F R' U'
L D2 F D R' U' F2
L' D2 F2 R' L2 F U'
L D2 F' L2 R' F2 U'
L D2 F' L2 F2 R' U'
L D2 F' R' L2 F2 U'
L D2 F' R' F2 L2 U'
L D2 F2 L2 F' R' U'
F' U2 R2 U2 R F' U'
F2 U2 R2 U2 R F' U'
R' D2 B2 L F B2 U'
R' D2 B2 L B2 F U'
F U2 R2 U2 R F' U'
D2 F L R' F L U'
R' F L F U2 R' U
D2 F L F L R' U'
D2 F L F R' L U'
R' F L' U2 R' B' U
L F L R' U2 R' U
R F L R2 F L' U'
L F L D' R' U' F2
L F L D2 L2 R' U'
L F L D2 R' L2 U'
R F L F L' R2 U'
R F L F R2 L' U'
L F L' R' U2 R' U
L F L' D' R' U' F2
L F L' D2 L2 R' U'
L F L' D2 R' L2 U'
L F L2 R' U2 R' U
D2 F R' L F L U'
D' F R' U' R F R
D' F R' U' R' F R
D' F R' U' R2 F R
D' F R' U' D F R
D' F R' U' D' F R
D' F R' U' D2 F R
D' F R' U' F R D
D' F R' U' F R D'
D' F R' U' F R D2
D' F R' U' F D R
D' F R' U' F D' R
D' F R' U' F D2 R
L F L2 D' R' U' F2
L F L2 D2 L2 R' U'
L F L2 D2 R' L2 U'
D' F R' D U' F R
D' F R' D' U' F R
D' F R' D2 U' F R
L' F R' U2 R' B' U
L F R' L U2 R' U
L F R' L' U2 R' U
L F R' L2 U2 R' U
L F R' U2 R' U D
L F R' U2 R' U D'
L F R' U2 R' U D2
L F R' U2 R' D U
L F R' U2 R' D' U
L F R' U2 R' D2 U
L F R' U2 D R' U
L F R' U2 D' R' U
L F R' U2 D2 R' U
L F R' D U2 R' U
L F R' D' U2 R' U
L F R' D2 U2 R' U
L F R' B2 L B2 U'
R F R2 L F L' U'
R' F U' F R D' F2
D' F U' F R D B2
R' F U2 R B R2 U
R' F U2 R' U2 F' U'
D' F D R' U' F R
U' F D' R F2 D B2
L F U2 R2 U2 R U'
D' F D' R' U' F R
U' F D2 R D F2 B2
U' F D2 R D B2 F2
L F D R' U B2 U2
L F D R' U' D2 F2
L F D R' D L2 U'
L F D R' D2 U' F2
D' F D2 R' U' F R
L' F D2 L2 R' F U'
L' F D2 L2 F R' U'
L' F D2 R' L2 F U'
L F D' L R' U' F2
L F D' L' R' U' F2
L F D' L2 R' U' F2
L F D' R' L U' F2
L F D' R' L' U' F2
L F D' R' L2 U' F2
L F D' R' U' F2 D
L F D' R' U' F2 D'
L F D' R' U' F2 D2
L F D' R' D' L2 U'
L F D2 L2 R' U' D
L F D2 L2 R' U' D'
L F D2 L2 R' U' D2
L F D2 L2 R' D U'
L F D2 L2 R' D' U'
L F D2 L2 R' D2 U'
L F D2 L2 D R' U'
L F D2 L2 D' R' U'
L F D2 L2 D2 R' U'
L F D2 R' L2 U' D
L F D2 R' L2 U' D'
L F D2 R' L2 U' D2
L F D2 R' L2 D U'
L F D2 R' L2 D' U'
L F D2 R' L2 D2 U'
L F D2 R' U' D F2
L F D2 R' D U' F2
R' F B2 L F B2 U'
R' F B2 L B2 F U'
D2 F' L R' F L U'
R' F' L F U2 R' U
D2 F' L F L R' U'
D' F' L F R' U' F2
D2 F' L F R' L U'
R' F' L' U2 R' B' U
D2 F' R' L F L U'
D' F' R' U' F R F'
L' F' R' U2 R' B' U
L F' R F2 L' R2 U'
L F' R F2 R2 L' U'
L F' R' F2 U2 R' U
R' F' U' F R D' F2
F' D' L R' F U' F
F2 D' L R' F U' F
R' F' U2 R B R2 U
R' F' U2 R' U2 F' U'
F' D' L F R' U' F
F2 D' L F R' U' F
F D' L R' F U' F
F D' L F R' U' F
U' F' D' F2 R D B2
L' F' D2 L2 R' F U'
L' F' D2 L2 F R' U'
L' F' D2 R' L2 F U'
F' D' R' L F U' F
F' D' R' U' F R F
F2 D' R' L F U' F
F' D' R' F U' F R
F2 D' R' U' F R F
F2 D' R' F U' F R
F D' R' L F U' F
R' F' B2 L F B2 U'
F D' R' U' F R F
R' F' B2 L B2 F U'
F D' R' F U' F R
D2 F2 L R' F L U'
D' F2 L R' F U' F'
D2 F2 L F L R' U'
R' F2 L F U2 R' U
D2 F2 L F R' L U'
R' F2 L' U2 R' B' U
F' D' F R' U' F R
F2 D' F R' U' F R
R F2 L R2 F L2 U'
R F2 L F L2 R2 U'
R F2 L F R2 L2 U'
R2 F2 L' B' U2 B U'
R F2 L' R2 U2 B' U
F D' F R' U' F R
D2 F2 R' L F L U'
D' F2 R' L F U' F'
L' F2 R' U2 R' B' U
D' F2 R' F' U' F R
L F2 R' U2 R' B U
R F2 R2 L F L2 U'
R F2 R2 L' U2 B' U
R' F2 U' F R D' F2
F' D2 L R' F L U'
F2 D2 L R' F L U'
R' F2 U2 R B R2 U
R' F2 U2 R' U2 F' U'
F' D2 L F L R' U'
F' D2 L F R' L U'
F2 D2 L F L R' U'
F2 D2 L F R' L U'
F D2 L R' F L U'
F D2 L F L R' U'
F D2 L F R' L U'
L' F2 D2 L2 R' F U'
L' F2 D2 L2 F R' U'
L' F2 D2 R' L2 F U'
F' D2 R' L F L U'
F2 D2 R' L F L U'
L F2 D2 L2 F' R' U'
F D2 R' L F L U'
R' F2 B2 L F B2 U'
R' F2 B2 L B2 F U'
L F2 D2 F' L2 R' U'
L F2 D2 F' R' L2 U'
U2 B R B L R U
U2 B R B R L U
U B' U2 D' R' F2 B
U B' U2 D' R' B F2
U B' U2 D' F2 R' B
U B' D B2 L U2 B'
U B' D' R' F2 L' B
U B' D' R' F2 B L'
U B' D' R' B F2 L'
U B' D' U2 R' F2 B
U B' D' U2 R' B F2
U B' D' U2 F2 R' B
R' B2 L D F U' L2
R' B2 L F U' D L2
R' B2 L F D U' L2
R' B2 L F B2 U' D
R' B2 L F B2 U' D'
R' B2 L F B2 U' D2
R' B2 L F B2 D U'
R' B2 L F B2 D' U'
R' B2 L F B2 D2 U'
R' B2 L B2 D F U'
R' B2 L B2 D' F U'
R' B2 L B2 D2 F U'
R' B2 L B2 F U' D
R' B2 L B2 F U' D'
R' B2 L B2 F U' D2
R' B2 L B2 F D U'
R' B2 L B2 F D' U'
R' B2 L B2 F D2 U'
U2 B2 L R B R U
L' B2 L B R2 F' U
R' B2 L2 B2 L' F U'
U2 B2 R L B R U
R2 B2 R B2 L F U'
U2 B2 R2 D2 L B' U
R B2 R2 B2 L F U'
R' B2 D L F U' L
R' B2 F L F B2 U'
R' B2 F L B2 F U'
R' B2 F' L F B2 U'
R' B2 F' L B2 F U'
R2 B2 D2 F2 L' B' U
R' B2 F2 L F B2 U'
R' B2 F2 L B2 F U'
