L R U' B L U'
R L U' B L U'
R L U' B L U'
R2 L D B R' U2
L R2 D B R' U2
L U F U F2 L'
L U F2 U F L'
L U' B U' L F'
L U' B U' F' L
L U2 L F' D' L2
R2 D L B R' U2
L U F U F2 D L'
L U F U F2 D' L'
L U F U F2 D2 L'
L U F U' R U2 F2
L2 U F2 U R F L'
L U F2 R U F L'
L U F2 R' U F L'
L U F2 R2 U F L'
L U F2 U F L' D
L U F2 U F L' D'
L U F2 U F L' D2
L U F2 U F D L'
L U F2 U F D' L'
L U F2 U F D2 L'
B' R U' B L F U'
B2 R U' B L U' R2
B R U' B L U' R'
L U' L B U' L F'
L U' L B U' F' L
L U' L' B U' L F'
L U' L' B U' F' L
L U' L2 B U' L F'
L U' L2 B U' F' L
F' R B' D L2 B' R'
L U' D B U' L F'
L U' D B U' F' L
L U' D' B U' L F'
L U' D' B U' F' L
L U' D2 B U' L F'
L U' D2 B U' F' L
L U' B L' U' L2 F'
L U' B L' U' F' L2
L U' B L2 U' L' F'
L U' B U' L D F'
L U' B U' L D' F'
L U' B U' L D2 F'
L U' B U' L F' D
L U' B U' L F' D'
L U' B U' L F' D2
L U' B U' L' F' L2
L U' B U' D L F'
L U' B U' D F' L
L U' B U' D' L F'
L U' B U' D' F' L
L U' B U' D2 L F'
L U' B U' D2 F' L
L U' B U' F L F2
L U' B U' F' L D
L U' B U' F' L D'
L U' B U' F' L D2
L U' B U' F' D L
L U' B U' F' D' L
L U' B U' F' D2 L
L U' B D U' L F'
L U' B D U' F' L
L U' B D' U' L F'
L U' B D' U' F' L
L U' B D2 U' L F'
L U' B D2 U' F' L
L U2 L U' F U F2
L U2 L D F' D' L2
L U2 L D' F' D' L2
L U2 L D2 F' D' L2
L U2 L F' L D' L2
L U2 L F' L' D' L2
L U2 L F' L2 D' L2
L U2 L F' U' F2 U
L U2 L F' D' L2 D
L U2 L F' D' L2 D'
L U2 L F' D' L2 D2
L U2 L' U B' U' F'
L U2 L' F' U B' U'
L U2 L2 D F L' F2
L U2 L2 F2 D F L'
L U2 D L F' D' L2
D2 R2 L D B R' U2
D' R2 L D B R' U2
L U2 D' L F' D' L2
D R2 L D B R' U2
L U2 D2 L F' D' L2
L U2 F' L U' F U
L U2 F' L' U B' U'
L U2 F' U B U' L
L U2 F' U' F' U L'
D2 R2 D L B R' U2
D' R2 D L B R' U2
D R2 D L B R' U2
B' R2 D B L R' U2
B' R2 D B R' L U2
B2 R2 D B R' U2 R2
R2 D L B R' U2 D
R2 D L B R' U2 D'
R2 D L B R' U2 D2
R2 D L B R' D U2
R2 D L B R' D' U2
R2 D L B R' D2 U2
R D L U' B L U'
R2 D L B D R' U2
R2 D L B D' R' U2
R2 D L B D2 R' U2
R2 D L' B L2 R' U2
R2 D L' B R' L2 U2
R2 D L2 B L' R' U2
R2 D L2 B R' L' U2
L D R U' B L U'
L D R2 D B R' U2
L D U F U F2 L'
L D U F2 U F L'
L D U' B U' L F'
L D U' B U' F' L
L D U2 L F' D' L2
F U L F' U2 L' F'
R' D' L U F' R U
R2 D' L D2 B R' U2
R D' L U' B L U'
B2 U F U F2 L' R'
B2 U F U F2 R' L'
F U F' L U2 L2 F'
F U F' L U2 F' L2
B' U F2 U F L' R
B' U F2 U F R L'
B2 U F2 U R' F L'
B2 U F2 U F L' R'
B2 U F2 U F R' L'
L D' R U' B L U'
L D' R2 D B R' U2
L D' U F U F2 L'
L D' U F2 U F L'
L D' U' B U' L F'
L D' U' B U' F' L
L D' U2 L F' D' L2
F U' L F' U2 F' L'
R' D2 L B' U F' U
R2 D2 L B U' B2 U'
R2 D2 L B U2 D L2
R2 D2 L B D U2 L2
R2 D2 L B D' R2 U2
R D2 L U' B L U'
F2 U' F2 L U2 F' L'
F U' F' L U2 F' L'
L D2 R U' B L U'
B U' B U' L F' R'
B U' B U' F' L R'
B U' B U' F' R' L
L D2 R2 D B R' U2
L D2 U F U F2 L'
L D2 U F2 U F L'
B2 U2 L F' R' D' L2
B2 U2 L F' D' L2 R'
B2 U2 L F' D' R' L2
L D2 U' B U' L F'
L D2 U' B U' F' L
L D2 U2 L F' D' L2
F' U2 F L U F U
U F U L2 F2 L' R
U F U L2 F2 R L'
U F U F2 L' D2 R2
U F U' L R U2 F2
U F U' L U2 F2 L'
U F U' R L U2 F2
U F B2 U F2 L' R'
U F B2 U F2 R' L'
U F2 U F L' D2 R2
U F2 B2 U R' F L'
U F2 B2 U F L' R'
U F2 B2 U F R' L'
L B R U' B L U'
R2 B R' U' B U' R'
U' B U' L D2 F' R
U' B U' D2 L F' R
U' B U' D2 F' L R
U' B U' D2 F' R L
F2 D2 B2 R' F D' L2
L B R2 D B R' U2
L B U F U F2 L'
L B U F2 U F L'
L B U' B U' L F'
L B U' B U' F' L
L B U2 L F' D' L2
U' B D2 U' L F' R
U' B D2 U' F' L R
U' B D2 U' F' R L
L B' R U' B L U'
L B' R2 D B R' U2
L B' U F U F2 L'
L B' U F2 U F L'
L B' U' B U' L F'
L B' U' B U' F' L
L B' U2 L F' D' L2
L B2 R U' B L U'
B2 F2 R' F D' L2 B'
L B2 R2 D B R' U2
F2 B2 R' F D' L2 B'
U2 B2 U' F' L' R' B2
U2 B2 U' F' R' L' B2
U2 B2 U' F' R' B2 L'
L B2 U F U F2 L'
L B2 U F2 U F L'
L B2 U' B U' L F'
L B2 U' B U' F' L
L B2 U2 L F' D' L2
U B2 F U F2 L' R'
U B2 F U F2 R' L'
U B2 F2 U R' F L'
U B2 F2 U F L' R'
U B2 F2 U F R' L'
