F2 U' F' L' U
F' L D' L2 F' B'
F' L D' L2 B' F'
F2 L' U' F' U B'
F' L' D' F' B' L2
F' L' D' B' L2 F'
F' L' D' B' F' L2
F' L' B' D' L2 F'
F2 L' B' U' F' U
F' L' B' D' F' L2
U L2 B' R' U' F2
D' U L2 B' R' U'
F2 U' L F' L' U
U D' L2 B' R' U'
F2 U' L' F' L' U
F2 U' L2 F' L' U
F2 U' D F' L' U
F2 U' D' F' L' U
F2 U' D2 F' L' U
F2 U' F' L' U D
F2 U' F' L' U D'
F2 U' F' L' U D2
F2 U' F' L' D U
F2 U' F' L' D' U
F2 U' F' L' D2 U
F2 U' F' D L' U
F2 U' F' D' L' U
F2 U' F' D2 L' U
U' F U2 R U' F
U' F U2 R U' F
F2 D U' F' L' U
U' F' L' F2 U F
F' D' L' B' L' F'
F2 D' U' F' L' U
F' D' F' L' B' L'
F2 D2 U' F' L' U
F2 B U' F' L' U
F2 B' U' F' L' U
B' F2 U' F' L' U
F2 B2 U' F' L' U
B2 F2 U' F' L' U
B F2 U' F' L' U
D' U R L2 B' R' U'
B2 U L2 B' R' U' F2
B U L2 B' R' U' F2
D' U R' L2 B' R' U'
D' U R2 L2 B' R' U'
F2 U R' B' R' B U'
U' D R2 F U2 R U'
U' D R2 F' L' F2 U
F2 U R2 B U2 L U
F2 U R2 B' R' B2 U'
U' D F R2 U2 R' U'
U' D F' L' R2 F2 U
B' U D' L2 B' R' U'
U' D F' L' F2 R2 U
B2 U D' L2 B' R' U'
D U F R2 B L U
U' D F' R2 L' F2 U
U D F R2 B L U
B U D' L2 B' R' U'
D' U B' L2 R' B' U'
D' U B' R' L2 B' U'
F2 U B U2 L F' U
F2 U B U2 F' L U
F2 U B' R2 B R U'
F2 U B2 R2 B R' U'
L D' U L2 U' B' L
F2 U' L D F' L' U
F2 U' L D' F' L' U
U D' L2 R B' R' U'
F2 U' L D2 F' L' U
U D' L2 R' B' R' U'
U D' L2 R2 B' R' U'
F2 U' L F' L' U D
F2 U' L F' L' U D'
F2 U' L F' L' U D2
F2 U' L F' L' D U
F2 U' L F' L' D' U
F2 U' L F' L' D2 U
F2 U' L F' D L' U
F2 U' L F' D' L' U
F2 U' L F' D2 L' U
U D' L2 D B' R' U'
U D' L2 D' B' R' U'
U D' L2 D2 B' R' U'
U D' L2 B' R' U' D
U D' L2 B' R' U' D'
U D' L2 B' R' U' D2
U D' L2 B' R' D U'
U D' L2 B' R' D' U'
U D' L2 B' R' D2 U'
U D' L2 B' D R' U'
U D' L2 B' D' R' U'
U D' L2 B' D2 R' U'
F2 U' L' D F' L' U
F2 U' L' D' F' L' U
F2 U' L' D2 F' L' U
U D' R L2 B' R' U'
F2 U' L' F' L' U D
F2 U' L' F' L' U D'
F2 U' L' F' L' U D2
F2 U' L' F' L' D U
F2 U' L' F' L' D' U
F2 U' L' F' L' D2 U
F2 U' L' F' D L' U
F2 U' L' F' D' L' U
F2 U' L' F' D2 L' U
F2 U' L2 D F' L' U
F2 U' L2 D' F' L' U
F2 U' L2 D2 F' L' U
U D' R' L2 B' R' U'
F2 U' L2 F' L' U D
F2 U' L2 F' L' U D'
F2 U' L2 F' L' U D2
F2 U' L2 F' L' D U
F2 U' L2 F' L' D' U
F2 U' L2 F' L' D2 U
F2 U' L2 F' D L' U
F2 U' L2 F' D' L' U
F2 U' L2 F' D2 L' U
D' U' F U2 L2 R U'
U' D' F U2 L2 R U'
D' U' F U2 R L2 U'
U' D' F U2 R L2 U'
U D' R2 L2 B' R' U'
D U' R2 F U2 R U'
D U' R2 F' L' F2 U
U' D' F' L' F2 R U
D' U' F' L' F2 R U
D U' F R2 U2 R' U'
D U' F' L' R2 F2 U
D U' F' L' F2 R2 U
D U' F' R2 L' F2 U
F2 U' D L F' L' U
F2 U' D L' F' L' U
F2 U' D L2 F' L' U
F2 U' D F' L' U D
F2 U' D F' L' U D'
F2 U' D F' L' U D2
F2 U' D F' L' D U
F2 U' D F' L' D' U
F2 U' D F' L' D2 U
F2 U' D F' D L' U
F2 U' D F' D' L' U
F2 U' D F' D2 L' U
F2 U' D' L F' L' U
F2 U' D' L' F' L' U
F2 U' D' L2 F' L' U
F2 U' D' F' L' U D
F2 U' D' F' L' U D'
F2 U' D' F' L' U D2
F2 U' D' F' L' D U
F2 U' D' F' L' D' U
F2 U' D' F' L' D2 U
F2 U' D' F' D L' U
F2 U' D' F' D' L' U
F2 U' D' F' D2 L' U
F2 U' D2 L F' L' U
F2 U' D2 L' F' L' U
F2 U' D2 L2 F' L' U
F2 U' D2 F' L' U D
F2 U' D2 F' L' U D'
F2 U' D2 F' L' U D2
F2 U' D2 F' L' D U
F2 U' D2 F' L' D' U
F2 U' D2 F' L' D2 U
F2 U' D2 F' D L' U
F2 U' D2 F' D' L' U
F2 U' D2 F' D2 L' U
F2 U' F L F2 L' U
F2 U' F L' F2 L' U
F2 U' F L2 F2 L' U
B' U' F U2 R U' F
U D' B' L2 R' B' U'
U D' B' R' L2 B' U'
B2 U' F U2 R U' F
B' U' F' L' F2 U F
F' U' F' L' F' U F
B2 U' F' L' F2 U F
F2 U' F' L U D' B2
F2 U' F' L D' U B2
F2 U' F' L2 D L U
F2 U' F' L2 D' L U
F2 U' F' L2 D2 L U
B U' F U2 R U' F
F2 U' F' D L' U D
F2 U' F' D L' U D'
F2 U' F' D L' U D2
F2 U' F' D L' D U
F2 U' F' D L' D' U
F2 U' F' D L' D2 U
F2 U' F' D' L' U D
F2 U' F' D' L' U D'
F2 U' F' D' L' U D2
F2 U' F' D' L' D U
F2 U' F' D' L' D' U
F2 U' F' D' L' D2 U
F2 U' F' D2 L' U D
F2 U' F' D2 L' U D'
F2 U' F' D2 L' U D2
F2 U' F' D2 L' D U
F2 U' F' D2 L' D' U
F2 U' F' D2 L' D2 U
B U' F' L' F2 U F
F2 U' F' B' L' B U
F2 U' F' B2 L' B2 U
F2 U' B' F' L' B U
F2 U' B2 F' L' B2 U
F2 U2 R' D' F' R U2
L' D2 B' L2 D F L'
D F L' R2 U R2 B'
D F L' R2 U B' R2
U' F R' U D F B2
U' F R' U D B2 F
U' F R' U F D B2
U' F R' U2 R2 U' F
U' F R' D U F B2
U' F R' D U B2 F
U F R U F R B
U' F R2 U2 R' U' F
D F R2 L' U R2 B'
D F R2 L' U B' R2
U' F U2 R U' D F
U' F U2 R U' D' F
U' F U2 R U' D2 F
U' F U2 R U' F D
U' F U2 R U' F D'
U' F U2 R U' F D2
U' F U2 R D U' F
U' F U2 R D' U' F
U' F U2 R D2 U' F
U' F U2 D R U' F
F' D L D2 L2 F' B'
F' D L D2 L2 B' F'
U' F U2 D' R U' F
U' F U2 D2 R U' F
F' D L F' D2 L2 B2
F' D L F' D2 B2 L2
F2 D L' U' F' U B'
F' D L' D2 F' B' L2
F' D L' D2 B' L2 F'
F' D L' D2 B' F' L2
U' F D U2 R U' F
F' D L' F' D2 B' L2
F' D L' F' B' D2 L2
F' D L' B' D2 L2 F'
F' D L' B' D2 F' L2
F' D L' B' F' D2 L2
F2 D L' B' U' F' U
U' F D' U2 R U' F
U' F D2 U2 R U' F
F2 D U' L F' L' U
F2 D U' L' F' L' U
F2 D U' L2 F' L' U
F2 D U' F' L' U D
F2 D U' F' L' U D'
F2 D U' F' L' U D2
F2 D U' F' L' D U
F2 D U' F' L' D' U
F2 D U' F' L' D2 U
F2 D U' F' D L' U
F2 D U' F' D' L' U
F2 D U' F' D2 L' U
U' F' L' U D' L2 F'
U' F' L' U D' F' L2
U' F' L' D' U L2 F'
U' F' L' D' U F' L2
U' F' L' F2 R U F
U' F' L' F2 R' U F
U' F' L' F2 R2 U F
U' F' L' F2 U D F
U' F' L' F2 U D' F
U' F' L' F2 U D2 F
U' F' L' F2 U F D
U' F' L' F2 U F D'
U' F' L' F2 U F D2
U' F' L' F2 D U F
U' F' L' F2 D' U F
U' F' L' F2 D2 U F
D F' L D' L2 F2 B'
D F' L D' L2 B' F2
D2 F' L' B' D' L2 F
F' D F' L D2 L2 B'
F' D F' L' D2 B' L2
F' D F' L' B' D2 L2
D F' L' D' F2 B' L2
D F' L' D' B' L2 F2
D F' L' D' B' F2 L2
D F' L' B' D' L2 F2
D F' L' B' D' F2 L2
F' D F' D2 L' B' L'
F D F U' F' L' U
F2 D B U' F' L' U
F2 D B' U' F' L' U
F2 D B2 U' F' L' U
F' D' L F' L D2 B2
F' D' L F' D2 L B2
F' D' L' D B' L' F'
F' D' L' D' B' L' F'
F' D' L' D2 B' L' F'
F2 D' L' U' F' U B'
F' D' L' F' D2 B' L
F' D' L' B L' F' B2
F' D' L' B L' B2 F'
F' D' L' B' L F' L2
F' D' L' B' L' D F'
F' D' L' B' L' D' F'
F' D' L' B' L' D2 F'
F' D' L' B' L' F' D
F' D' L' B' L' F' D'
F' D' L' B' L' F' D2
F' D' L' B' L2 F' L
F' D' L' B' D L' F'
F' D' L' B' D' L' F'
F' D' L' B' D2 L' F'
F' D' L' B2 L' F' B
F' D' L' B2 L' B F'
U' F' D' L' U L' F'
F2 D' L' B' U' F' U
F' D' L2 F' L B' L'
D F' D' L' B' L' F2
D F' D' F2 L' B' L'
L' F' B' L F' D' L2
B' D' U L2 B' R' U'
B2 D' U L2 B' R' U'
F2 D' U' L F' L' U
F2 D' U' L' F' L' U
F2 D' U' L2 F' L' U
B D' U L2 B' R' U'
F2 D' U' F' L' U D
F2 D' U' F' L' U D'
F2 D' U' F' L' U D2
F2 D' U' F' L' D U
F2 D' U' F' L' D' U
F2 D' U' F' L' D2 U
F2 D' U' F' D L' U
F2 D' U' F' D' L' U
F2 D' U' F' D2 L' U
F' D' F L' B' L' F2
L2 F2 L' D' L2 B' L
R2 F2 L' R2 B' D L2
L' F2 L2 D' L2 B' L
F' D' F' L' D B' L'
F' D' F' L' D' B' L'
F' D' F' L' D2 B' L'
F' D' F' L' B L' B2
F' D' F' L' B' L' D
F' D' F' L' B' L' D'
F' D' F' L' B' L' D2
F' D' F' L' B' D L'
F' D' F' L' B' D' L'
F' D' F' L' B' D2 L'
F' D' F' L' B2 L' B
R F2 L' R' D B' L
F' D' F' B L' B' L'
F' D' F' B' L' B' L'
F' D' F' B2 L' B' L'
F D' F U' F' L' U
F' D' B L' B' L' F'
F2 D' B U' F' L' U
F' D' B F' L' B' L'
F' D' B' L' B' L' F'
R2 F2 R2 L' B' D L2
R F2 R' L' D B' L
F2 D' B' U' F' L' U
F' D' B' F' L' B' L'
R F2 R' D L' B' L
F' D' B2 L' B' L' F'
L' F2 U B U' L B2
F2 D' B2 U' F' L' U
F' D' B2 F' L' B' L'
L' F2 U' F' U B' L'
F' D2 L D L2 F' B'
F' D2 L D L2 B' F'
R2 F2 U' F' L' U R2
D F2 U' F' L' R2 U
D F2 U' F' R2 L' U
F' D2 L' D F' B' L2
F' D2 L' D B' L2 F'
F' D2 L' D B' F' L2
F2 D2 L' U' F' U B'
F' D2 L' F' D B' L2
F2 D2 L' B' U' F' U
R F2 U' F' L' U R'
L F2 U2 D F' R U2
L F2 D U2 F' R U2
L2 F2 B L D B' L2
L2 F2 B L' D L2 B'
L' F2 B' L U' F U
L' F2 B' L' U B' U'
L' F2 B' U B U' L
L' F2 B' U' F' U L'
L' F2 B2 L' B D L2
L2 F2 B2 L B' D L2
F2 D2 U' L F' L' U
F2 D2 U' L' F' L' U
F2 D2 U' L2 F' L' U
F2 D2 U' F' L' U D
F2 D2 U' F' L' U D'
F2 D2 U' F' L' U D2
F2 D2 U' F' L' D U
F2 D2 U' F' L' D' U
F2 D2 U' F' L' D2 U
F2 D2 U' F' D L' U
F2 D2 U' F' D' L' U
F2 D2 U' F' D2 L' U
L2 B L F2 D B' L2
F' D2 F' L D L2 B'
F' D2 F' L' D B' L2
F' D2 F' D L' B' L'
F D2 F U' F' L' U
F2 D2 B U' F' L' U
D' B U L2 B' R' U'
F2 D2 B' U' F' L' U
F2 D2 B2 U' F' L' U
F' B L D' L2 F' B'
F' B L D' L2 B' F'
F' B L' D' F' B' L2
F' B L' D' B' L2 F'
F' B L' D' B' F' L2
F2 B L' U' F' U B'
F' B L' B' D' L2 F'
F' B L' B' D' F' L2
F2 B L' B' U' F' U
L2 B F2 L D B' L2
L2 B F2 L' D L2 B'
L' B' L U' F U F
F2 B U' L F' L' U
F2 B U' L' F' L' U
F2 B U' L2 F' L' U
L' B' L F' D' L2 F'
L' B' L F' D' F' L2
L' B' L F2 U' F' U
F2 B U' D F' L' U
F2 B U' D' F' L' U
F2 B U' D2 F' L' U
F2 B U' F' L' U D
F2 B U' F' L' U D'
F2 B U' F' L' U D2
F2 B U' F' L' D U
F2 B U' F' L' D' U
F2 B U' F' L' D2 U
F2 B U' F' D L' U
F2 B U' F' D' L' U
F2 B U' F' D2 L' U
L' B' L' U B' U' F2
L' B' L' F2 U B' U'
L' B' L2 F D F L'
F2 B D U' F' L' U
F' B D' L' B' L' F'
F' B D' F' L' B' L'
F2 B D' U' F' L' U
U B' L2 R' B' U' F2
F2 B D2 U' F' L' U
B' F' L D' L2 F' B'
B' F' L D' L2 B' F'
F' B' L D' L2 F' B'
F' B' L D' L2 B' F'
B2 F' L D' L2 F' B'
B2 F' L D' L2 B' F'
D' B' U L2 B' R' U'
B' F' L' D' F' B' L2
U B' R' L2 B' U' F2
B' F' L' D' B' L2 F'
B' F' L' D' B' F' L2
U B' R' U2 F U F
U B' R' D' L2 B' U'
B' F' L' B' D' L2 F'
F' B' L' D' F' B' L2
B' F' L' B' D' F' L2
F' B' L' D' B' L2 F'
F' B' L' D' B' F' L2
F2 B' L' U' F' U B'
B F' L D' L2 F' B'
B F' L D' L2 B' F'
B2 F' L' D' F' B' L2
B2 F' L' D' B' L2 F'
B2 F' L' D' B' F' L2
L' B' U B U' L F2
L' B' U B U' F2 L
F' B' L' B' D' L2 F'
F' B' L' B' D' F' L2
B2 F' L' B' D' L2 F'
B2 F' L' B' D' F' L2
F2 B' L' B' U' F' U
L' B' U' F' U L' F'
B F' L' D' F' B' L2
B F' L' D' B' L2 F'
B F' L' D' B' F' L2
B F' L' B' D' L2 F'
B F' L' B' D' F' L2
U B' D' L2 R' B' U'
U B' D' R' L2 B' U'
F2 B' U' L F' L' U
F2 B' U' L' F' L' U
F2 B' U' L2 F' L' U
F2 B' U' D F' L' U
L' B' F' L F' D' L2
F2 B' U' D' F' L' U
F2 B' U' D2 F' L' U
F2 B' U' F' L' U D
F2 B' U' F' L' U D'
F2 B' U' F' L' U D2
F2 B' U' F' L' D U
F2 B' U' F' L' D' U
F2 B' U' F' L' D2 U
F2 B' U' F' D L' U
F2 B' U' F' D' L' U
F2 B' U' F' D2 L' U
L' B' F2 L U' F U
L' B' F2 L' U B' U'
L' B' F2 U B U' L
L' B' F2 U' F' U L'
B' F' D' L' B' L' F'
F2 B' D U' F' L' U
F' B' D' L' B' L' F'
B' F' D' F' L' B' L'
B2 F' D' L' B' L' F'
F' B' D' F' L' B' L'
L2 B2 L F2 B' D L2
F2 B' D' U' F' L' U
B2 F' D' F' L' B' L'
L2 B2 L B' F2 D L2
L' B2 L' F2 B D L2
L' B2 L' B F2 D L2
B F' D' L' B' L' F'
F2 B' D2 U' F' L' U
B F' D' F' L' B' L'
F' B2 L D' L2 F' B'
F' B2 L D' L2 B' F'
B' F2 L' U' F' U B'
B' F2 L' B' U' F' U
F' B2 L' D' F' B' L2
B2 F2 L' U' F' U B'
F' B2 L' D' B' L2 F'
F' B2 L' D' B' F' L2
F2 B2 L' U' F' U B'
F' B2 L' B' D' L2 F'
F' B2 L' B' D' F' L2
B2 F2 L' B' U' F' U
F2 B2 L' B' U' F' U
B F2 L' U' F' U B'
B F2 L' B' U' F' U
D' B2 U L2 B' R' U'
B' F2 U' L F' L' U
B' F2 U' L' F' L' U
B' F2 U' L2 F' L' U
B' F2 U' D F' L' U
B' F2 U' D' F' L' U
B' F2 U' D2 F' L' U
B' F2 U' F' L' U D
B' F2 U' F' L' U D'
B' F2 U' F' L' U D2
B' F2 U' F' L' D U
B' F2 U' F' L' D' U
B' F2 U' F' L' D2 U
B' F2 U' F' D L' U
B' F2 U' F' D' L' U
B' F2 U' F' D2 L' U
B2 F2 U' L F' L' U
B2 F2 U' L' F' L' U
B2 F2 U' L2 F' L' U
F2 B2 U' L F' L' U
F2 B2 U' L' F' L' U
F2 B2 U' L2 F' L' U
B2 F2 U' D F' L' U
B2 F2 U' D' F' L' U
B2 F2 U' D2 F' L' U
F2 B2 U' D F' L' U
B2 F2 U' F' L' U D
B2 F2 U' F' L' U D'
B2 F2 U' F' L' U D2
B2 F2 U' F' L' D U
B2 F2 U' F' L' D' U
B2 F2 U' F' L' D2 U
F2 B2 U' D' F' L' U
B2 F2 U' F' D L' U
B2 F2 U' F' D' L' U
B2 F2 U' F' D2 L' U
F2 B2 U' D2 F' L' U
F2 B2 U' F' L' U D
F2 B2 U' F' L' U D'
F2 B2 U' F' L' U D2
F2 B2 U' F' L' D U
F2 B2 U' F' L' D' U
F2 B2 U' F' L' D2 U
F2 B2 U' F' D L' U
F2 B2 U' F' D' L' U
F2 B2 U' F' D2 L' U
B F2 U' L F' L' U
B F2 U' L' F' L' U
B F2 U' L2 F' L' U
B F2 U' D F' L' U
B F2 U' D' F' L' U
B F2 U' D2 F' L' U
B F2 U' F' L' U D
B F2 U' F' L' U D'
B F2 U' F' L' U D2
B F2 U' F' L' D U
B F2 U' F' L' D' U
B F2 U' F' L' D2 U
B F2 U' F' D L' U
B F2 U' F' D' L' U
B F2 U' F' D2 L' U
B' F2 D U' F' L' U
B2 F2 D U' F' L' U
F2 B2 D U' F' L' U
B' F2 D' U' F' L' U
F' B2 D' L' B' L' F'
F' B2 D' F' L' B' L'
B2 F2 D' U' F' L' U
B F2 D U' F' L' U
F2 B2 D' U' F' L' U
B' F2 D2 U' F' L' U
L' B2 F2 L' B D L2
B2 F2 D2 U' F' L' U
B F2 D' U' F' L' U
L2 B2 F2 L B' D L2
F2 B2 D2 U' F' L' U
B F2 D2 U' F' L' U
