F R F2 U' L'
F R F2 U' L' D
F R F2 U' L' D'
F R F2 U' L' D2
F R F2 U' D L'
F R F2 U' D' L'
F R F2 U' D2 L'
F R F2 D U' L'
F R F2 D' U' L'
F R F2 D2 U' L'
F R F2 B U' L'
F R F2 B' U' L'
F R F2 B2 U' L'
F R B F2 U' L'
F R B' F2 U' L'
F R B2 F2 U' L'
F' R2 U2 L' U L
U R2 U B L U
R2 U2 B L U L'
F' U R2 U L' U
F' U2 L' U D2 L2
F' U2 L' U' R2 U2
F' U2 L' D' F2 U
F' U2 L' D2 U L2
F' U2 D' L' F2 U
F' U2 D2 L' U L'
D2 F R F2 U' L2
D F R F2 B2 U'
D F R B2 F2 U'
F D R B2 U' R
D F B2 R F2 U'
F' D B2 U2 L' U
D2 F' U2 L' U L'
D' F' U2 L' F' U
F D B2 R U' R
F' D' U2 L' F2 U
D F' B2 U2 L' U
F' D2 U2 L' U L'
B' F R F2 U' L'
B2 F R F2 U' L'
B F R F2 U' L'
F B R F2 U' L'
F B' R F2 U' L'
F B2 R F2 U' L'
D B2 F R F2 U'
D B2 F' U2 L' U
R2 U2 B L D2 U L'
F R2 U' R' F2 U' F2
F' R2 U2 D L' U L
F' R2 U2 D' L' U L
F' R2 U2 D2 L' U L
D2 R2 U2 B L U L
F R2 U' F2 R' U' F2
D' R2 U2 F2 B L U
R2 U2 B D L U L'
D' R2 U2 B L F2 U
D' R2 U2 B F2 L U
B' R2 U2 B L U L'
R2 U2 B D' L U L'
R2 U2 B D2 L U L'
R2 U2 B F L U L'
R2 U2 B F' L U L'
B2 R2 U2 B L U L'
R2 U2 B F2 L U L'
U R2 U2 R D B R'
B R2 U2 B L U L'
F' R2 D U2 L' U L
F' R2 D' U2 L' U L
U R2 D U B L U
F' R2 D2 U2 L' U L
U R2 D' U B L U
U R2 D2 U B L U
F2 R2 F U2 L' U L
U R2 F U B L U
U R2 F' U B L U
F R2 F2 R' U R U2
F' R2 B U2 L' U L
U R2 F2 U B L U
F' R2 B' U2 L' U L
F' R2 B2 U2 L' U L
R2 D U2 B L U L'
F' U R2 U L' U D
F' U R2 U L' U D'
F' U R2 U L' U D2
F' U R2 U L' D U
F' U R2 U L' D' U
F' U R2 U L' D2 U
F' U R2 U D L' U
F' U R2 U D' L' U
F' U R2 U D2 L' U
B' U R2 U B L U
F' U R2 D U L' U
B2 U R2 U B L U
F' U R2 D' U L' U
F' U R2 D2 U L' U
F' U R2 F2 U' R U'
B U R2 U B L U
F U R2 U' R' F2 U'
F U R2 U' F2 R' U'
F' U F2 R2 U' R' U'
F' U' L D' B2 D' L2
F' U' L D2 L2 D B2
R2 D' U2 B L U L'
F' U' L' D2 L2 D' B2
F U' R F2 U' L' F2
F U' R' D B2 L R2
F U' R' D B2 R2 L
U2 D' F2 U2 F R U'
F' U' D' L D' L2 B2
F' U' D' L D' B2 L2
F' U' D2 L D' L B2
F' U' D2 L2 U' L U
F' U2 L D' F2 U B2
F' U2 L' U L D2 L2
F' U2 L' U L' D2 L2
F' U2 L' U L2 D2 L2
F' U2 L' U D2 L2 D
F' U2 L' U D2 L2 D'
F' U2 L' U D2 L2 D2
F' U2 L' U' R2 U2 D
F' U2 L' U' R2 U2 D'
F' U2 L' U' R2 U2 D2
F' U2 L' U' R2 D U2
F' U2 L' U' R2 D' U2
F' U2 L' U' R2 D2 U2
F' U2 L' U2 D B2 U'
F' U2 L' D U2 B2 U'
F' U2 L' D' F2 U D
F' U2 L' D' F2 U D'
F' U2 L' D' F2 U D2
F' U2 L' D' F2 D U
F' U2 L' D' F2 D' U
F' U2 L' D' F2 D2 U
F' U2 L' D2 U L2 D
F' U2 L' D2 U L2 D'
F' U2 L' D2 U L2 D2
R2 D2 U2 B L U L'
F' U2 L' D2 F U L2
F' U2 L' D2 F' U L2
F' U2 L' D2 F2 U L2
F' U2 L' F U D2 L2
F' U2 L' F U' R2 U2
F' U2 L' F D' F2 U
F' U2 L' F D2 U L2
F' U2 L' F' U D2 L2
F' U2 L' F' U' R2 U2
F' U2 L' F' D' F2 U
F' U2 L' F' D2 U L2
F' U2 L' F2 U D2 L2
F' U2 L' F2 U' R2 U2
F' U2 L' F2 D' F2 U
F' U2 L' F2 D2 U L2
F' U2 L2 D' L F2 U
F' U2 L2 D' F2 L U
F' U2 L2 D2 L U L
D' U2 F2 U2 F R U'
F' U2 D L' U D L2
F' U2 D L' U2 B2 U'
F' U2 D L' D U L2
F' U2 D L' D2 F2 U
F' U2 D' L F2 L2 U
F' U2 D' L' U D' L2
F' U2 D' L' D' U L2
F' U2 D' L' F2 U D
F' U2 D' L' F2 U D'
F' U2 D' L' F2 U D2
L' F L R F2 U' L'
F' U2 D' L' F2 D U
F' U2 D' L' F2 D' U
F' U2 D' L' F2 D2 U
F' U2 D' L2 F2 L U
F' U2 D' F2 U2 R U'
F' U2 D2 L' U L' D
F' U2 D2 L' U L' D'
F' U2 D2 L' U L' D2
F' U2 D2 L' U D L'
F' U2 D2 L' U D' L'
F' U2 D2 L' U D2 L'
F' U2 D2 L' D U L'
F' U2 D2 L' D' U L'
F' U2 D2 L' D2 U L'
L2 F L2 R F2 U' L'
L' F R L F2 U' L'
D2 F R U' L2 D R2
R' F R D F' B2 U'
R' F R D B2 F' U'
R' F R D2 F' U' L2
R' F R F' U R2 U2
R' F R F' U' D2 L2
R' F R F' D B2 U'
R' F R F' D2 U' L2
D' F R F2 U2 F' U
D2 F R F2 U' L2 D
D2 F R F2 U' L2 D'
D2 F R F2 U' L2 D2
D2 F R F2 D' B2 U'
D2 F R F2 B U' L2
D2 F R F2 B' U' L2
D2 F R F2 B2 U' L2
L2 F R L2 F2 U' L'
D2 F R B F2 U' L2
L' F R F2 L U' L2
D2 F R B' F2 U' L2
D2 F R B2 F2 U' L2
L2 F R F2 L2 U' L
F' U2 F2 D' F2 L' U
D F R U' D L2 R2
D F R U' D R2 L2
D F R D U' L2 R2
D F R D U' R2 L2
D' F R' F2 R2 B U'
D2 F R' F2 R2 U' L2
D F R F2 U' D L2
D F R F2 D U' L2
D F R F2 B2 U' D
D F R F2 B2 U' D'
D F R F2 B2 U' D2
D F R F2 B2 D U'
D F R F2 B2 D' U'
D F R F2 B2 D2 U'
D F R B2 U' D R2
D F R B2 D U' R2
D F R B2 F2 U' D
D F R B2 F2 U' D'
D F R B2 F2 U' D2
D F R B2 F2 D U'
D F R B2 F2 D' U'
D F R B2 F2 D2 U'
D2 F R2 F2 R' U' L2
D F R' F2 R2 B2 U'
D F R' F2 B2 R2 U'
D F R' B2 R2 F2 U'
D F R' B2 F2 R2 U'
D F R2 F2 R' B2 U'
D F D R U' L2 R
D F D R U' R L2
F' D L2 B2 L2 R' U'
F' D L2 B2 R' L2 U'
F' D R B2 U2 L' U
D2 F B R F2 U' L2
F D R U' R D L2
F D R U' D L2 R
F D R U' D R L2
F D R D U' L2 R
F D R D U' R L2
F2 D R' F B2 U' B'
F' D R' B2 U2 L' U
F2 D R' B2 F U' B'
D2 F B' R F2 U' L2
F D R B2 U' R D
F D R B2 U' R D'
F D R B2 U' R D2
F D R B2 U' D R
F D R B2 U' D' R
F D R B2 U' D2 R
F D R B2 D U' R
F D R B2 D' U' R
F D R B2 D2 U' R
F' D R2 B2 U2 L' U
R' F B2 R F' U' L
D2 F B2 R F2 U' L2
D F B' R F2 B' U'
D F B' R B' F2 U'
L' F' L D2 R2 U' L2
D F B2 R U' D R2
D F B2 R D U' R2
D F B2 R F2 U' D
D F B2 R F2 U' D'
D F B2 R F2 U' D2
D F B2 R F2 D U'
D F B2 R F2 D' U'
D F B2 R F2 D2 U'
D F B2 R' F2 R2 U'
D F B2 R2 F2 R' U'
F' D U2 L' U D L2
F' D U2 L' U2 B2 U'
F' D U2 L' D U L2
F' D U2 L' D2 F2 U
D F B2 D R U' R
B' D F R F2 B2 U'
B' D F R B2 F2 U'
B2 D F R F2 B2 U'
B2 D F R B2 F2 U'
F2 D F R' B2 U' B'
B' D F B2 R F2 U'
B2 D F B2 R F2 U'
F2 D F B2 R' U' B
B D F R F2 B2 U'
B D F R B2 F2 U'
L2 F' L2 D B2 R' U'
D2 F' R U2 L' U L'
B' D F' B2 U2 L' U
B D F B2 R F2 U'
B2 D F' B2 U2 L' U
F' D F2 R F2 B2 U'
F' D F2 R B2 F2 U'
D F' L2 B2 L2 R' U'
D F' L2 B2 R' L2 U'
D2 F' R' U2 L' U L'
F' D F2 B2 R F2 U'
B D F' B2 U2 L' U
D2 F' R2 U2 L' U L'
D F' R B2 U2 L' U
D' F' R2 B U2 L' U
D F' R' B2 U2 L' U
F' D B2 R U2 L' U
F' D B2 R' U2 L' U
D2 F' U' L D' L B2
F' D B2 R2 U2 L' U
D2 F' U' L2 U' L U
F' D B2 U2 L' U D
F' D B2 U2 L' U D'
F' D B2 U2 L' U D2
F' D B2 U2 L' D U
F' D B2 U2 L' D' U
F' D B2 U2 L' D2 U
B' D B2 F R F2 U'
F' D B2 U2 D L' U
F' D B2 U2 D' L' U
F' D B2 U2 D2 L' U
D F' R2 B2 U2 L' U
F2 D B2 R' F U' B
B' D B2 F' U2 L' U
F' D B2 D U2 L' U
F' D B2 D' U2 L' U
F' D B2 D2 U2 L' U
F D B' R B' U' R
F' D B2 F2 R F2 U'
B2 D B2 F R F2 U'
B2 D B2 F' U2 L' U
F2 D B2 F R' U' B
D' F' U2 L F' L2 U
D2 F' U2 L' U L' D
D2 F' U2 L' U L' D'
D2 F' U2 L' U L' D2
D2 F' U2 L' U D L'
D2 F' U2 L' U D' L'
D2 F' U2 L' U D2 L'
D2 F' U2 L' D U L'
D2 F' U2 L' D' U L'
D2 F' U2 L' D2 U L'
D' F' U2 L' D F' U
D' F' U2 L' D' F' U
D' F' U2 L' D2 F' U
D' F' U2 L' F' U D
D' F' U2 L' F' U D'
D' F' U2 L' F' U D2
D' F' U2 L' F' D U
D' F' U2 L' F' D' U
D' F' U2 L' F' D2 U
D' F' U2 L2 F' L U
D2 F' U2 D L' F2 U
D' F' U2 D L' F' U
D' F' U2 D' L' F' U
F D B2 R U' R D
F D B2 R U' R D'
F D B2 R U' R D2
F D B2 R U' D R
F D B2 R U' D' R
F D B2 R U' D2 R
F D B2 R D U' R
F D B2 R D' U' R
D' F' U2 D2 L' F' U
F D B2 R D2 U' R
B D B2 F R F2 U'
B D B2 F' U2 L' U
F D B2 D' R F2 U'
D F' U2 L' U D L2
D F' U2 L' U2 B2 U'
D F' U2 L' D U L2
D F' U2 L' D2 F2 U
D2 F' D U2 L' F2 U
D' F' D U2 L' F' U
D F' U2 D L' U L'
D F' U2 D2 L' F2 U
R2 F' U2 B L' U L
D' F' D' U2 L' F' U
D F' D U2 L' U L'
D2 F' D' B2 U2 L' U
F' D' R U2 L' F2 U
D' F' D2 U2 L' F' U
F' D' R' U2 L' F2 U
D2 F' B U2 L' U L'
D' F' B U2 L' F' U
F D' R D2 B2 U' R2
D F' D2 U2 L' F2 U
F' D' R2 U2 L' F2 U
D2 F' B' U2 L' U L'
D' F' B' U2 L' F' U
D2 F' B2 U2 L' U L'
D' F' B2 U2 L' F' U
F' D' U' L D' L2 B2
F' D' U' L D' B2 L2
D F' B2 R U2 L' U
D F' B2 R' U2 L' U
F' D' U2 L F2 L2 U
D F' B2 R2 U2 L' U
F' D' U2 L' U D' L2
F' D' U2 L' D' U L2
F' D' U2 L' F2 U D
F' D' U2 L' F2 U D'
F' D' U2 L' F2 U D2
F' D' U2 L' F2 D U
F' D' U2 L' F2 D' U
F' D' U2 L' F2 D2 U
F' D' U2 L2 F2 L U
D F' B2 U2 L' U D
D F' B2 U2 L' U D'
D F' B2 U2 L' U D2
D F' B2 U2 L' D U
D F' B2 U2 L' D' U
D F' B2 U2 L' D2 U
D F' B2 U2 D L' U
D F' B2 U2 D' L' U
D F' B2 U2 D2 L' U
D F' B2 D U2 L' U
D F' B2 D' U2 L' U
D F' B2 D2 U2 L' U
F' D' U2 F2 U2 R U'
B' D' F' U2 L' F' U
B2 D' F' U2 L' F' U
B D' F' U2 L' F' U
F' D' B U2 L' F2 U
F' D' B' U2 L' F2 U
F' D' B2 U2 L' F2 U
U F2 R2 U' F R U'
F' D2 R U2 L' U L'
F' D2 R' U2 L' U L'
F D2 R U' L2 D' R2
F D2 R U2 B2 U L2
F D2 R D' B2 U' R2
F' D2 R2 U2 L' U L'
F' D2 U' L D' L B2
F' D2 U' L2 U' L U
F' D2 U2 L' U L' D
F' D2 U2 L' U L' D'
F' D2 U2 L' U L' D2
F' D2 U2 L' U D L'
F' D2 U2 L' U D' L'
F' D2 U2 L' U D2 L'
F' D2 U2 L' D U L'
F' D2 U2 L' D' U L'
F' D2 U2 L' D2 U L'
B' D2 F R F2 U' L2
B2 D2 F R F2 U' L2
B' D2 F' U2 L' U L'
F2 D2 F B R' U' L2
B D2 F R F2 U' L2
B2 D2 F' U2 L' U L'
F' D2 F2 R F2 U' L2
B D2 F' U2 L' U L'
F' D2 B U2 L' U L'
F2 D2 B R' F U' L2
F2 D2 B F R' U' L2
F' D2 B' U2 L' U L'
F' D2 B2 U2 L' U L'
B' F R F2 U' L' D
B' F R F2 U' L' D'
B' F R F2 U' L' D2
B' F R F2 U' D L'
B' F R F2 U' D' L'
B' F R F2 U' D2 L'
B' F R F2 D U' L'
B' F R F2 D' U' L'
B' F R F2 D2 U' L'
B' F R F2 B U' L'
B' F R F2 B' U' L'
B' F R F2 B2 U' L'
B' F R B F2 U' L'
B' F R B' F2 U' L'
B' F R B2 F2 U' L'
B2 F R F2 U' L' D
B2 F R F2 U' L' D'
B2 F R F2 U' L' D2
B2 F R F2 U' D L'
B2 F R F2 U' D' L'
B2 F R F2 U' D2 L'
B2 F R F2 D U' L'
B2 F R F2 D' U' L'
B2 F R F2 D2 U' L'
B2 F R F2 B U' L'
B2 F R F2 B' U' L'
B2 F R F2 B2 U' L'
B2 F R B F2 U' L'
B2 F R B' F2 U' L'
B2 F R B2 F2 U' L'
D2 B F R F2 U' L2
B F R F2 U' L' D
B F R F2 U' L' D'
B F R F2 U' L' D2
B F R F2 U' D L'
B F R F2 U' D' L'
B F R F2 U' D2 L'
B F R F2 D U' L'
B F R F2 D' U' L'
B F R F2 D2 U' L'
B F R F2 B U' L'
B F R F2 B' U' L'
B F R F2 B2 U' L'
B F R B F2 U' L'
B F R B' F2 U' L'
B F R B2 F2 U' L'
F' B R2 U2 L' U L
F B R F2 U' L' D
F B R F2 U' L' D'
F B R F2 U' L' D2
F B R F2 U' D L'
F B R F2 U' D' L'
F B R F2 U' D2 L'
F B R F2 D U' L'
F B R F2 D' U' L'
F B R F2 D2 U' L'
F B R F2 B U' L'
F B R F2 B' U' L'
F B R F2 B2 U' L'
F B R B F2 U' L'
F B R B' F2 U' L'
D2 B F' U2 L' U L'
F B R B2 F2 U' L'
D' B F' U2 L' F' U
F' B U R2 U L' U
F' B U2 L' U D2 L2
F' B U2 L' U' R2 U2
F' B U2 L' D' F2 U
F' B U2 L' D2 U L2
F' B U2 D' L' F2 U
F' B U2 D2 L' U L'
B' F D R B2 U' R
B2 F D R B2 U' R
B' F D B2 R U' R
F' B D B2 U2 L' U
B2 F D B2 R U' R
B F D R B2 U' R
F' B D' U2 L' F2 U
F B D R B2 U' R
B F D B2 R U' R
F' B D2 U2 L' U L'
F B D B2 R U' R
B' F' R2 U2 L' U L
F' B' R2 U2 L' U L
F B' R F2 U' L' D
F B' R F2 U' L' D'
F B' R F2 U' L' D2
F B' R F2 U' D L'
F B' R F2 U' D' L'
F B' R F2 U' D2 L'
B2 F' R2 U2 L' U L
F B' R F2 D U' L'
F B' R F2 D' U' L'
F B' R F2 D2 U' L'
F B' R F2 B U' L'
F B' R F2 B' U' L'
F B' R F2 B2 U' L'
F B' R B F2 U' L'
F B' R B' F2 U' L'
F B' R B2 F2 U' L'
B' F' U R2 U L' U
F' B' U R2 U L' U
B F' R2 U2 L' U L
B2 F' U R2 U L' U
D2 B' F R F2 U' L2
B F' U R2 U L' U
B' F' U2 L' U D2 L2
B' F' U2 L' U' R2 U2
B' F' U2 L' D' F2 U
B' F' U2 L' D2 U L2
D2 B' F' U2 L' U L'
B' F' U2 D' L' F2 U
B' F' U2 D2 L' U L'
F' B' U2 L' U D2 L2
F' B' U2 L' U' R2 U2
F' B' U2 L' D' F2 U
F' B' U2 L' D2 U L2
D' B' F' U2 L' F' U
B2 F' U2 L' U D2 L2
B2 F' U2 L' U' R2 U2
B2 F' U2 L' D' F2 U
B2 F' U2 L' D2 U L2
F' B' U2 D' L' F2 U
F' B' U2 D2 L' U L'
D B' F R F2 B' U'
D B' F R B' F2 U'
B2 F' U2 D' L' F2 U
B2 F' U2 D2 L' U L'
B F' U2 L' U D2 L2
B F' U2 L' U' R2 U2
B F' U2 L' D' F2 U
B F' U2 L' D2 U L2
B' F' D B2 U2 L' U
B F' U2 D' L' F2 U
B F' U2 D2 L' U L'
F' B' D B2 U2 L' U
B' F' D' U2 L' F2 U
B2 F' D B2 U2 L' U
F' B' D' U2 L' F2 U
B2 F' D' U2 L' F2 U
B' F' D2 U2 L' U L'
F B' D R B2 U' R
B F' D B2 U2 L' U
F' B' D2 U2 L' U L'
B2 F' D2 U2 L' U L'
B F' D' U2 L' F2 U
F B' D B2 R U' R
B F' D2 U2 L' U L'
D B2 R' F R F' U'
D B2 R2 U2 B L U
F' B2 R2 U2 L' U L
F B2 R F2 U' L' D
F B2 R F2 U' L' D'
F B2 R F2 U' L' D2
F B2 R F2 U' D L'
F B2 R F2 U' D' L'
F B2 R F2 U' D2 L'
F B2 R F2 D U' L'
F B2 R F2 D' U' L'
F B2 R F2 D2 U' L'
F B2 R F2 B U' L'
F B2 R F2 B' U' L'
F B2 R F2 B2 U' L'
F B2 R B F2 U' L'
F B2 R B' F2 U' L'
F B2 R B2 F2 U' L'
F' B2 U R2 U L' U
F' B2 U2 L' U D2 L2
F' B2 U2 L' U' R2 U2
F' B2 U2 L' D' F2 U
F' B2 U2 L' D2 U L2
D B2 D F R F2 U'
F' B2 U2 D' L' F2 U
F' B2 U2 D2 L' U L'
D B2 D F' U2 L' U
R' B2 F R F' U' L
D2 B2 F R F2 U' L2
D B2 D' F R F2 U'
D B2 D' F' U2 L' U
F' B2 D B2 U2 L' U
D B2 D2 F R F2 U'
D2 B2 F' U2 L' U L'
F' B2 D' U2 L' F2 U
D B2 D2 F' U2 L' U
D' B2 F' U2 L' F' U
D B2 F R U' D R2
D B2 F R D U' R2
D B2 F R F2 U' D
D B2 F R F2 U' D'
D B2 F R F2 U' D2
D B2 F R F2 D U'
D B2 F R F2 D' U'
D B2 F R F2 D2 U'
F B2 D R B2 U' R
D B2 F R' F2 R2 U'
D B2 F R2 F2 R' U'
D B2 F D R U' R
F' B2 D2 U2 L' U L'
F B2 D B2 R U' R
D B2 F' R U2 L' U
D B2 F' R' U2 L' U
D B2 F' R2 U2 L' U
D B2 F' U2 L' U D
D B2 F' U2 L' U D'
D B2 F' U2 L' U D2
D B2 F' U2 L' D U
D B2 F' U2 L' D' U
D B2 F' U2 L' D2 U
D B2 F' U2 D L' U
D B2 F' U2 D' L' U
D B2 F' U2 D2 L' U
D B2 F' D U2 L' U
D B2 F' D' U2 L' U
D B2 F' D2 U2 L' U
