D L' F2 R B
D L' R F2 B R
D L' R B F2 R
D L' F2 R D B
D L' F2 R D' B
D L' F2 R D2 B
D L' F2 R B D
D L' F2 R B D'
D L' F2 R B D2
D L' F2 D R B
D L' F2 D' R B
D L' F2 D2 R B
D L' F2 B R B
D L' F2 B' R B
D L' F2 B2 R B
D L' B F2 R B
D L' B' F2 R B
D L' B2 F2 R B
D R L' F2 B R
D R L' B F2 R
D R B L' F2 R
R D L' F2 B R
R D L' B F2 R
U2 D L' F2 R B'
U2 D L' F2 B' R
U2 D L' B' F2 R
R D B L' F2 R
R D' L' B R2 F'
R D' B L' R2 F'
R D' B R2 L' F'
D U2 L' F2 R B'
D U2 L' F2 B' R
D U2 L' B' F2 R
B2 U2 L2 U' L B'
D B L' F2 R B
D B' L' F2 R B
D B2 L' F2 R B
D' B2 U2 L' R2 B'
D' B2 U2 L' B' R2
D' B2 U2 R2 L' B'
B2 D R U L' F2 B
B2 D R U L' B F2
B2 D R U B L' F2
F2 D R L2 U2 F2 B
F2 D R L2 U2 B F2
R F D' B R2 F' L'
F2 D' R B2 U2 R B'
F2 D' R B2 U2 B' R
D' F2 R B2 U2 R B'
D' F2 R B2 U2 B' R
L' F2 R' D' R2 F2 B
L' F2 R' D' R2 B F2
D F2 R' D2 L2 R2 B
D F2 R' D2 R2 L2 B
D F2 R' D2 R2 B L2
F2 D' B2 R U2 B R
D' F2 B2 R U2 B R
D' B L' R B R F'
D B L' R F2 B R
D B L' R B F2 R
D' B R L' B R F'
D B L' F2 R D B
D B L' F2 R D' B
D B L' F2 R D2 B
D B L' F2 R B D
D B L' F2 R B D'
D B L' F2 R B D2
D B L' F2 D R B
D B L' F2 D' R B
D B L' F2 D2 R B
D B L' F2 B R B
D B L' F2 B' R B
D B L' F2 B2 R B
D B L' B F2 R B
D B L' B' F2 R B
D B L' B2 F2 R B
D' B R B L' R F'
D' B R B R L' F'
D B R L' F2 B R
D B R L' B F2 R
D B R B L' F2 R
D' B U2 L' R2 F' B'
D' B U2 L' R2 B' F'
D' B U2 R2 L' F' B'
D' B U2 R2 L' B' F'
D B U2 L' F2 R B'
D B U2 L' F2 B' R
D B U2 L' B' F2 R
D2 B D' L' F2 R B
U' B' L2 R' F U' L
U' B' L2 F R' U' L
D B' L' R F2 B R
D B' L' R B F2 R
D B' L' F2 R D B
D B' L' F2 R D' B
D B' L' F2 R D2 B
D B' L' F2 R B D
D B' L' F2 R B D'
D B' L' F2 R B D2
D B' L' F2 D R B
D B' L' F2 D' R B
D B' L' F2 D2 R B
D B' L' F2 B R B
D B' L' F2 B' R B
D B' L' F2 B2 R B
D B' L' B F2 R B
D B' L' B' F2 R B
U2 B' L2 F U' L B'
D B' L' B2 F2 R B
U' B' R' L2 F U' L
D B' R L' F2 B R
D B' R L' B F2 R
U B' L2 F R U' L
R B' L2 F U' L B2
D B' R B L' F2 R
D B' U2 L' F2 R B'
D B' U2 L' F2 B' R
D B' U2 L' B' F2 R
D2 B' D' L' F2 R B
D B2 L' R F2 B R
D B2 L' R B F2 R
D B2 L' F2 R D B
D B2 L' F2 R D' B
D B2 L' F2 R D2 B
D B2 L' F2 R B D
D B2 L' F2 R B D'
D B2 L' F2 R B D2
D B2 L' F2 D R B
D B2 L' F2 D' R B
D B2 L' F2 D2 R B
D B2 L' F2 B R B
D B2 L' F2 B' R B
D B2 L' F2 B2 R B
D' B2 R U2 L' B R
D B2 L' B F2 R B
D' B2 R U2 B L' R
D' B2 R U2 B R L'
D B2 L' B' F2 R B
D B2 L' B2 F2 R B
D B2 R L' F2 B R
D B2 R L' B F2 R
D B2 R B L' F2 R
L B2 R' U' F' U2 L2
L B2 R' F2 U L2 B'
D' B2 U2 L' R B' R
D' B2 U2 L' R2 D B'
D' B2 U2 L' R2 D' B'
D' B2 U2 L' R2 D2 B'
D' B2 U2 L' R2 B' D
D' B2 U2 L' R2 B' D'
D' B2 U2 L' R2 B' D2
D' B2 U2 L' B R2 B2
D' B2 U2 L' B' R2 D
D' B2 U2 L' B' R2 D'
D' B2 U2 L' B' R2 D2
D' B2 U2 R L' B' R
D' B2 U2 R2 L' D B'
D' B2 U2 R2 L' D' B'
D' B2 U2 R2 L' D2 B'
D' B2 U2 R2 L' B' D
D' B2 U2 R2 L' B' D'
D' B2 U2 R2 L' B' D2
D' B2 U2 R2 D L' B'
D' B2 U2 R2 D' L' B'
D' B2 U2 R2 D2 L' B'
D' B2 U2 R2 B L' B'
D' B2 U2 R2 B' L' B'
D' B2 U2 R2 B2 L' B'
U B2 U D L' F2 B'
U B2 U D L' B' F2
D' B2 U2 B L' R2 B'
D' B2 U2 B L' B' R2
D' B2 U2 B R2 L' B'
D' B2 U2 B' L' R2 B'
D' B2 U2 B' L' B' R2
D' B2 U2 B' R2 L' B'
D' B2 U2 B2 L' R2 B'
D' B2 U2 B2 L' B' R2
D' B2 U2 B2 R2 L' B'
R B2 U D B' L' F2
D B2 U2 L' F2 R B'
R B2 U B' D L' F2
D B2 U2 L' F2 B' R
D B2 U2 L' B' F2 R
D2 B2 D' L' F2 R B
R' B2 D2 R2 U L' B
R' B2 D2 R2 U B L'
U B2 D U L' F2 B'
U B2 D U L' B' F2
R B2 D U B' L' F2
U B2 D2 R2 U L' B'
D' B2 F2 R U2 B R
R B2 D2 R2 U B' L'
