B' L2 F' R U' F2
F' R D B' L2 U'
F' R D2 B' U' F2
F' R B' L2 U' F
F' R B' U B' U2
B2 U' F' B R U'
B2 U' B F' R U'
F' D R B' L2 U'
F' D B' L2 R U'
F' D B' R L2 U'
F' D2 R B' U' F2
F' D2 B' R U' F2
F' B' L2 R U' F
B' F' L2 R U' F
F' B' R L2 U' F
F' B' R U B' U2
B' F' R L2 U' F
B' F' R U B' U2
L2 F D2 B2 L' U F2
F2 D F R B' L2 U'
F2 D F B' L2 R U'
F2 D F B' R L2 U'
U' F' R D B' L2 U'
U' F' R D2 B' U' F2
U' F' R B' L2 U' F
U' F' R B' U B' U2
U2 F' R D B' L2 U'
U2 F' R D2 B' U' F2
L2 F' R D2 B2 U' F2
U2 F' R B' L2 U' F
U2 F' R B' U B' U2
F' D B L2 R B2 U'
F' D B L2 B2 R U'
F' D B R L2 B2 U'
F' D B R B2 L2 U'
U F' R D B' L2 U'
U F' R D2 B' U' F2
U F' R B' L2 U' F
U F' R B' U B' U2
F' D B' L2 R U' D
F' D B' L2 R U' D'
F' D B' L2 R U' D2
F' D B' L2 R D U'
F' D B' L2 R D' U'
F' D B' L2 R D2 U'
F' D B' L2 D R U'
F' D B' L2 D' R U'
F' D B' L2 D2 R U'
F' D B' R L2 U' D
F' D B' R L2 U' D'
F' D B' R L2 U' D2
F' D B' R L2 D U'
F' D B' R L2 D' U'
F' D B' R L2 D2 U'
F' D B' R U' D F2
F' D B' R D U' F2
D F' R' B' L2 U' B2
F' D B' D R U' F2
F2 D B' F L2 R U'
F2 D B' F R L2 U'
F' D B2 L2 B R U'
U' F' D R B' L2 U'
U' F' D B' L2 R U'
U' F' D B' R L2 U'
U2 F' D R B' L2 U'
U2 F' D B' L2 R U'
U2 F' D B' R L2 U'
U' F' D2 R B' U' F2
U F' D R B' L2 U'
U' F' D2 B' R U' F2
F' D' R B' U2 R U
U F' D B' L2 R U'
U F' D B' R L2 U'
U2 F' D2 R B' U' F2
L2 F' D2 R B2 U' F2
U2 F' D2 B' R U' F2
U' F' B' L2 R U' F
L2 F' D2 B2 R U' F2
U' F' B' R L2 U' F
U' F' B' R U B' U2
U F' D2 R B' U' F2
D2 F' B' U2 L U F'
U2 F' B' L2 R U' F
U F' D2 B' R U' F2
U2 F' B' R L2 U' F
U2 F' B' R U B' U2
D F' B' L2 R' U' B
D F' B' R' L2 U' B
U F' B' L2 R U' F
U F' B' R L2 U' F
U F' B' R U B' U2
F' D' B' R U2 R U
F' D' B' D' R U' F2
F' D' B' D2 L2 R U'
F' D' B' D2 R L2 U'
F' D2 R D' B' L2 U'
F' D2 R B' L U' F2
F' D2 R B' L' U' F2
F' D2 R B' L2 U' F2
F' D2 R B' U' F2 D
F' D2 R B' U' F2 D'
F' D2 R B' U' F2 D2
F' D2 R B' D' L2 U'
F' D2 R' B' R2 U' F2
B2 D2 U' F' B R' U'
B2 D2 U' B F' R' U'
F2 D2 F R B' U' F
F2 D2 F B' R U' F
F' D2 B R B2 U' F2
F' D2 B' L R U' F2
F' D2 B' L' R U' F2
F' D2 B' L2 R U' F2
F' D2 B' R L U' F2
F' D2 B' R L' U' F2
F' D2 B' R L2 U' F2
F' D2 B' R U' F2 D
F' D2 B' R U' F2 D'
F' D2 B' R U' F2 D2
F' D2 B' R D' L2 U'
F' D2 B' D' L2 R U'
F' D2 B' D' R L2 U'
F2 D2 B' F R U' F
B2 F U' F2 B R U'
B2 F U' B F2 R U'
U' B' L2 F' R U' F2
U2 B' L2 F' R U' F2
D B' L2 D' F' R U'
D B' L2 F' R' U' B
U B' L2 F' R U' F2
B' F' L' D2 R U' F'
F' B' L' D2 R U' F'
B' F' L2 R U' D F
B' F' L2 R U' D' F
B' F' L2 R U' D2 F
B' F' L2 R U' F D
B' F' L2 R U' F D'
B' F' L2 R U' F D2
B' F' L2 R D U' F
B' F' L2 R D' U' F
B' F' L2 R D2 U' F
B' F' L2 D R U' F
F' B' L2 R U' D F
F' B' L2 R U' D' F
F' B' L2 R U' D2 F
F' B' L2 R U' F D
F' B' L2 R U' F D'
F' B' L2 R U' F D2
F' B' L2 R D U' F
F' B' L2 R D' U' F
F' B' L2 R D2 U' F
B' F' L2 D' R U' F
B' F' L2 D2 R U' F
F' B' L2 D R U' F
F' B' L2 D' R U' F
F' B' L2 D2 R U' F
B' F' R L2 U' D F
B' F' R L2 U' D' F
B' F' R L2 U' D2 F
B' F' R L2 U' F D
B' F' R L2 U' F D'
B' F' R L2 U' F D2
B' F' R L2 D U' F
B' F' R L2 D' U' F
B' F' R L2 D2 U' F
B' F' R U D B' U2
B' F' R U D' B' U2
B' F' R U D2 B' U2
B' F' R U B' U2 D
B' F' R U B' U2 D'
B' F' R U B' U2 D2
B' F' R U B' D U2
B' F' R U B' D' U2
B' F' R U B' D2 U2
B' F' R U' L2 F L2
B' F' R D L2 U' F
B' F' R D U B' U2
B' F' R D' L2 U' F
B' F' R D' U B' U2
B' F' R D2 L2 U' F
F' B' R L2 U' D F
F' B' R L2 U' D' F
F' B' R L2 U' D2 F
F' B' R L2 U' F D
F' B' R L2 U' F D'
F' B' R L2 U' F D2
F' B' R L2 D U' F
B' F' R D2 U B' U2
F' B' R L2 D' U' F
F' B' R L2 D2 U' F
F' B' R U D B' U2
F' B' R U D' B' U2
F' B' R U D2 B' U2
F' B' R U B' U2 D
F' B' R U B' U2 D'
F' B' R U B' U2 D2
F' B' R U B' D U2
F' B' R U B' D' U2
F' B' R U B' D2 U2
F' B' R U' L2 F L2
F' B' R D L2 U' F
F' B' R D U B' U2
F' B' R D' L2 U' F
F' B' R D' U B' U2
F' B' R D2 L2 U' F
F' B' R D2 U B' U2
B' F' U B' U' R U'
F' B' U B' U' R U'
U' B' F' L2 R U' F
U' B' F' R L2 U' F
U' B' F' R U B' U2
D2 B' F' U2 L U F'
B2 F' U' B R U' R'
U2 B' F' L2 R U' F
U2 B' F' R L2 U' F
U2 B' F' R U B' U2
B' F' D L2 R U' F
B' F' D R L2 U' F
B' F' D R U B' U2
F' B' D L2 R U' F
F' B' D R L2 U' F
F' B' D R U B' U2
D B' F' L2 R' U' B
D B' F' R' L2 U' B
B' F' D' L2 R U' F
B' F' D' R L2 U' F
B' F' D' R U B' U2
U B' F' L2 R U' F
U B' F' R L2 U' F
U B' F' R U B' U2
F' B' D' L2 R U' F
F' B' D' R L2 U' F
F' B' D' R U B' U2
B' F' D2 L2 R U' F
B' F' D2 R L2 U' F
B' F' D2 R U B' U2
F' B' D2 L2 R U' F
F' B' D2 R L2 U' F
F' B' D2 R U B' U2
U' B2 U' F' B R U'
U' B2 U' B F' R U'
U2 B2 U' F' B R U'
U2 B2 U' B F' R U'
L B2 U' F' R U' L'
U B2 U' F' B R U'
U B2 U' B F' R U'
F' B2 U' B R U' R'
F B2 U' F2 B R U'
F B2 U' B F2 R U'
