B U L B' R'
B L' B' U L2 B'
B2 U L B' L R'
B2 U L B' R' L
B U L R B' R'
B U L R' B' R'
B U L R2 B' R'
B U L D B' R'
B U L D' B' R'
B U L D2 B' R'
B U L B' R' D
B U L B' R' D'
B U L B' R' D2
B U L B' D R'
B U L B' D' R'
B U L B' D2 R'
B U R L B' R'
B U R' L B' R'
B U R2 L B' R'
B2 U B' L R' B'
B2 U B' R' L B'
F' B U L B' R'
F2 B U L B' R'
B F U L B' R'
F B U L B' R'
L' B' U' R' F U2
L' B' U' F R' U2
B F' U L B' R'
B F2 U L B' R'
B U R' L B' D R'
B U R' L B' D' R'
B U R' L B' D2 R'
B2 U R' B' L R' B'
U2 D R' F' R U' L'
B2 U R' B' R' L B'
B2 U R2 L B' L R'
B2 U R2 L B' R' L
L' D B' U' R' F U2
L' D B' U' F R' U2
B U R2 L D B' R'
B U R2 L D' B' R'
B U R2 L D2 B' R'
B U R2 L B' R' D
B U R2 L B' R' D'
B U R2 L B' R' D2
B U R2 L B' D R'
B U R2 L B' D' R'
B U R2 L B' D2 R'
B2 U R2 B' L R' B'
B2 U R2 B' R' L B'
B U D2 L B' R' B
B U D2 B' R' B L
B U F L F' B' R'
B U F L B' F' R'
B U F2 L F2 B' R'
B U F2 L B' R' F2
B U F2 L B' F2 R'
B' U B' L R' B' L
B' U B' R' L B' L
B2 U B' L R B' R2
B2 U B' L R' D B'
B2 U B' L R' D' B'
B2 U B' L R' D2 B'
B2 U B' L R' B' D
B2 U B' L R' B' D'
B2 U B' L R' B' D2
B2 U B' L R2 B' R
B2 U B' L D R' B'
B2 U B' L D' R' B'
B2 U B' L D2 R' B'
B' U B' R' B' L B'
B2 U B' R L B' R2
B2 U B' R' L D B'
B2 U B' R' L D' B'
B2 U B' R' L D2 B'
B2 U B' R' L B' D
B2 U B' R' L B' D'
B2 U B' R' L B' D2
B2 U B' R2 L B' R
B' U B2 L B R' B2
B2 U B' D2 L R' B
B2 U B' D2 R' L B
B U B' R' B L B'
B U B' D2 R' B L
B' U' L R' U2 B' R'
B2 U' L U2 B' L R'
B2 U' L U2 B' R' L
B' U' L' R' F U2 R
B' U' L' F R' U2 R2
B U' L' U2 L2 B' R'
B U' L' F U2 L2 R
B U' L' F U2 R L2
B' U' R' L U2 B' R'
B' U' R' L' F U2 R
B U' R U2 L B' R'
B' U' R' F' L' F U2
B U' R' U2 L B' R'
L' D' B' U' R' F U2
L' D' B' U' F R' U2
B U' R2 U2 L B' R'
U2 D' B R' F' U' L'
B' U' F' L' R' F U2
B' U' F' L' F R' U2
B' U' F' R' L' F U2
B U' F U2 L R B'
B U' F U2 L B' R
B U' F U2 R L B'
B U' F' L' U2 L2 B'
B U' F' L' F U2 L2
D2 U2 R' F' U' L' B
D2 U2 R' F' U' B L'
U2 D2 R' F' U' L' B
U2 D2 R' F' U' B L'
D U2 R' F' R U' L'
D' U2 B R' F' U' L'
L' D2 B' U' R' F U2
L' D2 B' U' F R' U2
B U2 R' F' U' L B'
D F L' B' U' R' U2
B U2 F U' L B' R'
B U2 F' U' L B' R'
B U2 F2 U' L B' R'
B2 U2 B' U' L B' R'
B' U2 B2 U' L B' R'
B2 D L' F B' L' U
B2 D L' B' F L' U
D F B L' B' U L2
D F B2 L' B' U L
U' F' L' F U' B' U'
B2 D F L' F B' U
B2 D F L' B' F U
B D F L' B' U L2
U2 F' U' L B' L2 R'
U2 F' U' L B' R' L2
B D' L' B' L U L
L' F' B' U D2 B2 L
L' F' B' U' R' F2 U2
L' F' B' U' F2 R' U2
L' F' B' D2 U B2 L
L F2 U2 F' U' B' L'
L' F2 B' U' F' R' U2
B D2 U L B' R' B
B D2 U B' R' B L
R' B R U L B' R'
L' B L2 B2 U L' B
L' B L2 B2 U B L'
L B L2 B' U B' L'
D2 B U L B' R' B
R2 B R2 U L B' R'
D2 B U D2 L B' R'
D2 B U B' R' B L
D B U D' L B' R'
D' B U2 R' F' U' L
R B U L B' R' F'
F' B L' B' U L2 B'
R B U' L F R B'
R B U' L F B' R
R B U' L B' F R
F2 B L' B' U L2 B'
L B U2 F U' L B2
B F L' B' U L2 B'
F B L' B' U L2 B'
L B D L2 B' U L'
D2 B D2 U L B' R'
D B D' U L B' R'
D B F L' B' U L2
F' B U L R B' R'
F' B U L R' B' R'
F' B U L R2 B' R'
F' B U L D B' R'
F' B U L D' B' R'
F' B U L D2 B' R'
F' B U L B' R' D
F' B U L B' R' D'
F' B U L B' R' D2
F' B U L B' D R'
F' B U L B' D' R'
F' B U L B' D2 R'
F' B U R L B' R'
B2 F U L B' L R'
B2 F U L B' R' L
F' B U R' L B' R'
F2 B U L R B' R'
F2 B U L R' B' R'
F2 B U L R2 B' R'
F' B U R2 L B' R'
F2 B U L D B' R'
F2 B U L D' B' R'
F2 B U L D2 B' R'
F2 B U L B' R' D
F2 B U L B' R' D'
F2 B U L B' R' D2
F2 B U L B' D R'
F2 B U L B' D' R'
F2 B U L B' D2 R'
F2 B U R L B' R'
F2 B U R' L B' R'
F2 B U R2 L B' R'
B2 F U B' L R' B'
B2 F U B' R' L B'
B F U L R B' R'
L' B' L U B2 L B'
B F U L R' B' R'
B F U L R2 B' R'
B F U L D B' R'
B F U L D' B' R'
B F U L D2 B' R'
B F U L B' R' D
B F U L B' R' D'
B F U L B' R' D2
B F U L B' D R'
B F U L B' D' R'
B F U L B' D2 R'
B F U R L B' R'
B F U R' L B' R'
B F U R2 L B' R'
F B U L R B' R'
F B U L R' B' R'
F B U L R2 B' R'
F B U L D B' R'
F B U L D' B' R'
F B U L D2 B' R'
F B U L B' R' D
F B U L B' R' D'
F B U L B' R' D2
F B U L B' D R'
F B U L B' D' R'
F B U L B' D2 R'
F B U R L B' R'
F B U R' L B' R'
F B U R2 L B' R'
L' B' L2 U B2 L B
L' B' L2 U' R' U2 B'
L' B' U L B2 L B'
L' B' U L2 B2 L B
L' B' U B' L2 B' L
L' B' U B2 L2 B' L'
L' B' U' R F R2 U2
L' B' U' R' D F U2
L' B' U' R' D' F U2
L' B' U' R' D2 F U2
L' B' U' R' F U2 D
L' B' U' R' F U2 D'
L' B' U' R' F U2 D2
L' B' U' R' F D U2
L' B' U' R' F D' U2
L' B' U' R' F D2 U2
L' B' U' D R' F U2
L' B' U' D F R' U2
L' B' U' D' R' F U2
L' B' U' D' F R' U2
L' B' U' D2 R' F U2
L' B' U' D2 F R' U2
L' B' U' F R' U2 D
L' B' U' F R' U2 D'
L' B' U' F R' U2 D2
L' B' U' F R' D U2
L' B' U' F R' D' U2
L' B' U' F R' D2 U2
L' B' U' F D R' U2
L' B' U' F D' R' U2
L' B' U' F D2 R' U2
L' B' U' F' R' F2 U2
B F' L' B' U L2 B'
L' B' D U' R' F U2
L' B' D U' F R' U2
L' B' D' U' R' F U2
L' B' D' U' F R' U2
B2 F' U L B' L R'
B2 F' U L B' R' L
L' B' D2 U' R' F U2
L' B' D2 U' F R' U2
B2 F' U B' L R' B'
B2 F' U B' R' L B'
B F' U L R B' R'
B F' U L R' B' R'
B F' U L R2 B' R'
B F' U L D B' R'
B F' U L D' B' R'
B F' U L D2 B' R'
B F' U L B' R' D
B F' U L B' R' D'
B F' U L B' R' D2
B F' U L B' D R'
B F' U L B' D' R'
B F' U L B' D2 R'
B F' U R L B' R'
B F' U R' L B' R'
B F' U R2 L B' R'
L' B' F' U D2 B2 L
L' B' F' U' R' F2 U2
L' B' F' U' F2 R' U2
L' B' F' D2 U B2 L
L' B' F2 U' F' R' U2
L' B2 L2 B U B2 L
R B2 L F U' B' L
L B2 L2 B' U L B2
B F2 L' B' U L2 B'
D2 B2 U B' L R' B
D2 B2 U B' R' L B
F' B2 U L B' L R'
F' B2 U L B' R' L
B2 F2 U L B' L R'
B2 F2 U L B' R' L
F2 B2 U L B' L R'
F2 B2 U L B' R' L
F' B2 U B' L R' B'
F' B2 U B' R' L B'
B2 F2 U B' L R' B'
B2 F2 U B' R' L B'
B F2 U L R B' R'
B F2 U L R' B' R'
B F2 U L R2 B' R'
F2 B2 U B' L R' B'
B F2 U L D B' R'
B F2 U L D' B' R'
F2 B2 U B' R' L B'
B F2 U L D2 B' R'
B F2 U L B' R' D
B F2 U L B' R' D'
B F2 U L B' R' D2
B F2 U L B' D R'
B F2 U L B' D' R'
B F2 U L B' D2 R'
B F2 U R L B' R'
B F2 U R' L B' R'
B F2 U R2 L B' R'
F B2 U L B' L R'
F B2 U L B' R' L
F B2 U B' L R' B'
F B2 U B' R' L B'
D B2 F L' B' U L
