F2 L U R2 B' U
F2 L U B' R2 U
F' D F' B2 U2 R
F D F L' B2 U2
F D F B2 L' U2
F' D B2 F' U2 R
F D B2 F L' U2
L' F2 U R2 B U
F2 D' B U2 R' F2
F2 D' B U2 F2 R'
F2 D' B' L U2 F2
L F2 U R2 B' U
L F2 U B' R2 U
F' B D F' B2 U2 R
B2 F D F L' B2 U2
B2 F D F B2 L' U2
F' B D B2 F' U2 R
B2 F D B2 F L' U2
B F D F L' B2 U2
B F D F B2 L' U2
B F D B2 F L' U2
F2 B D' B U2 R' F2
F2 B D' B U2 F2 R'
F2 B D' B' L U2 F2
F B D F L' B2 U2
F B D F B2 L' U2
F B D B2 F L' U2
F2 B' L U R2 B' U
F2 B' L U B' R2 U
D' B' U L2 U F2 R
L B' R2 U D2 L2 B2
L B' R2 U D2 B2 L2
L B' R2 U' R2 F2 U2
L B' R2 U' F2 R2 U2
L B' R2 D' L2 F2 U
L B' R2 D' F2 L2 U
L B' R2 D2 U L2 B2
L B' R2 D2 U B2 L2
D' B' U2 F2 D' B2 R'
L' B' F2 U R2 B U
B' F' D F' B2 U2 R
B' F' D B2 F' U2 R
F' B' D F' B2 U2 R
B2 F' D F' B2 U2 R
F' B' D B2 F' U2 R
B2 F' D B2 F' U2 R
B F' D F' B2 U2 R
L B' F2 U R2 U R2
F2 B' D' B U2 R' F2
F2 B' D' B U2 F2 R'
B F' D B2 F' U2 R
F2 B' D' B' L U2 F2
F B' D F L' B2 U2
F B' D F B2 L' U2
B' F2 L U R2 B' U
B' F2 L U B' R2 U
F B' D B2 F L' U2
B2 F2 L U R2 B' U
B2 F2 L U B' R2 U
F2 B2 L U R2 B' U
F2 B2 L U B' R2 U
B F2 L U R2 B' U
B F2 L U B' R2 U
D B2 U' R2 F' U' R
D B2 U' F' R2 U' R'
F' B2 D F' B2 U2 R
F' B2 D B2 F' U2 R
B' F2 D' B U2 R' F2
B' F2 D' B U2 F2 R'
B' F2 D' B' L U2 F2
D B2 F L' U' R2 U'
D B2 F L' U2 D B2
D B2 F L' D U2 B2
D B2 F L' D' F2 U2
B2 F2 D' B U2 R' F2
B2 F2 D' B U2 F2 R'
B2 F2 D' B' L U2 F2
F2 B2 D' B U2 R' F2
F2 B2 D' B U2 F2 R'
F2 B2 D' B' L U2 F2
F B2 D F L' B2 U2
L' B2 F2 U R2 B U
D B2 F D L' U2 B2
F B2 D F B2 L' U2
D B2 F D' L' F2 U2
D B2 F D' F2 U2 R
F B2 D B2 F L' U2
B F2 D' B U2 R' F2
B F2 D' B U2 F2 R'
B F2 D' B' L U2 F2
D B2 F' U' R2 U' R'
D B2 F' U2 D R B2
D B2 F' U2 D B2 R
D B2 F' D U2 R B2
D B2 F' D U2 B2 R
D B2 F' D' F2 L' U2
L B2 F2 U B R2 U
