D' L' F U F2
L' U F L' F2
F U L' F2 B'
F U L' B' F2
L' F U L' F2
D' L' U F' D' L2
D' L' D F U F2
D' L' D' F U F2
D' L' D2 F U F2
D' L' F R U F2
D' L' F R' U F2
D' L' F R2 U F2
D' L' F U F2 D
D' L' F U F2 D'
D' L' F U F2 D2
D' L' F D R2 U
L' U L F L' F2
L' U L' F L' F2
L' U L2 F L' F2
L' U F L F2 L2
L' U F L' F2 D
L' U F L' F2 D'
L' U F L' F2 D2
L' U F L2 F2 L
L' U F' U2 R U2
F R U L' F2 B'
F R U L' B' F2
F R' U L' F2 B'
F R' U L' B' F2
F R2 U L' F2 B'
F R2 U L' B' F2
F U L' F2 D B'
F U L' F2 D' B'
F U L' F2 D2 B'
F U L' F2 B' D
F U L' F2 B' D'
F U L' F2 B' D2
F U L' B' F2 D
F U L' B' F2 D'
F U L' B' F2 D2
F U L2 F2 L B'
F U B L' F2 B'
F U B L' B' F2
F U B' L' F2 B'
F U B' L' B' F2
F U B2 L' F2 B'
F U B2 L' B' F2
L' F R U L' F2
L2 F L U L2 F2
L2 F L U F2 L2
L' F R' U L' F2
L' F R2 U L' F2
L F L2 U L F2
L F L2 U F2 L
L' F U L F2 L2
L' F U L' F2 D
L' F U L' F2 D'
L' F U L' F2 D2
L' F U L2 F2 L
L' F D R2 U L'
F D R2 U L' B'
F U L' B' R F2 R'
F U L' B' R2 F2 R2
F U L' B' F D F
F U L' B' F D' F
F U L' B' F D2 F
F U L' B' F' D F'
F U L' B' F' D' F'
F U L' B' F' D2 F'
F U L' B2 F2 D B
F U L' B2 F2 D' B
F U L' B2 F2 D2 B
L' D F2 R F' U F2
L' D F2 U D' F L'
L' D F2 D' U F L'
F U L2 F' L F' B'
F U L2 F' L B' F'
F U L2 F2 L D B'
F U L2 F2 L D' B'
F U L2 F2 L D2 B'
F U L2 F2 L B' D
F U L2 F2 L B' D'
F U L2 F2 L B' D2
F U R L' F2 R' B'
F U R' L' B' R F2
F U R2 L' F2 R2 B'
F U R2 L' F2 B' R2
F U R2 L' B' R2 F2
F U R2 L' B' F2 R2
F U D L' D' F2 B'
F U D L' D' B' F2
F U D L' B' D' F2
D' U F' D' L B' L
D' U F' D' B' L B'
D2 U F' B' D' L B'
L2 D' L U2 B' U' F'
R' D' L' F U2 L' U'
R' D' L' F' R F2 U
L' D' L' F L U F2
R2 D' L' R2 F U F2
F U D2 L' D2 F2 B'
F U D2 L' D2 B' F2
L2 D' L' F L2 U F2
R2 D' L' F R2 U F'
R2 D' L' F U' B U2
R D' L' R' F U F2
L D' L' F U F2 B2
L D' L' F U B2 F2
D2 U B' L D' F' B2
D2 U B' L D' B2 F'
D2 U B' L F' D' B2
R D' L' F R' U F'
D2 U B' F' D' L B'
F U F2 U2 R U2 B
R D' R' L' F U F2
R2 D' R2 L' F U F2
F U B L' F2 D B'
F U B L' F2 D' B'
F U B L' F2 D2 B'
F U B L' F2 B' D
F U B L' F2 B' D'
F U B L' F2 B' D2
F U B L' B' F2 D
F U B L' B' F2 D'
F U B L' B' F2 D2
F U B L2 F2 L B'
L' D' U L' F' D' L2
L' D' U F2 D F L'
F U B' L' F2 D B'
F U B' L' F2 D' B'
F U B' L' F2 D2 B'
F U B' L' F2 B' D
F U B' L' F2 B' D'
F U B' L' F2 B' D2
F U B' L' B' F2 D
F U B' L' B' F2 D'
F U B' L' B' F2 D2
F U B' L2 F2 L B'
L' D' U2 L B' U' F'
L' D' U2 L2 U' F' L'
F U B2 L' F2 D B'
F U B2 L' F2 D' B'
F U B2 L' F2 D2 B'
F U B2 L' F2 B' D
F U B2 L' F2 B' D'
F U B2 L' F2 B' D2
F U B2 L' B' F2 D
F U B2 L' B' F2 D'
F U B2 L' B' F2 D2
F U B2 L2 F2 L B'
F U' L F2 L2 R B
F U' L F2 R L2 B
F U' L F2 R B L2
L' D' F2 U D F L'
L' D' F2 D U F L'
F U' R U2 L' F2 B
F U' R U2 L' B F2
F U' R U2 B L' F2
U D' F' D' L B' L
U D' F' D' B' L B'
R' D2 L' U D2 F L'
R' D2 L' D2 U F L'
R2 D2 L' U' B R' U2
F U' D2 B2 U2 L' B'
L' D2 R2 U' B R' U2
F U' B U2 L' F2 B'
F U' B U2 L' B' F2
L' D2 U F' B' L B
L' D2 U F2 D2 F L'
L' D2 U B' L F' B
L' D2 U B' L B F'
L' D2 U B' F' L B
L' D2 U' R2 B R' U2
F U' B' U2 L' F2 B'
F U' B' U2 L' B' F2
L' D2 U' B' U2 L F'
L' D2 U' B' U2 F' L
L' D2 U' B2 U2 F' L'
L' D2 U2 B' U' L F'
L' D2 U2 B' U' F' L
F U' B2 U2 L' F2 B'
F U' B2 U2 L' B' F2
L' D2 F2 U D2 F L'
L' D2 F2 D2 U F L'
F2 U2 R B U' F L
U D2 F' B' D' L B'
F U2 R U' L' F2 B'
F U2 R U' L' B' F2
F U2 R' U' L' F2 B'
F U2 R' U' L' B' F2
U D2 B' L D' F' B2
U D2 B' L D' B2 F'
U D2 B' L F' D' B2
F U2 R2 U' L' F2 B'
F U2 R2 U' L' B' F2
U D2 B' F' D' L B'
L2 F L R U L2 F2
L2 F L R U F2 L2
L2 F L R' U L2 F2
L2 F L R' U F2 L2
L2 F L R2 U L2 F2
L2 F L R2 U F2 L2
L2 F L U L F2 L
L2 F L U L2 F2 D
L2 F L U L2 F2 D'
L2 F L U L2 F2 D2
L2 F L U F' L2 F'
L2 F L U F2 L2 D
L2 F L U F2 L2 D'
L2 F L U F2 L2 D2
L2 F L D R2 F2 U
L2 F L D F2 R2 U
L2 F L F U F L2
L2 F L F' U L2 F'
L2 F L F' U F' L2
R' F R U L' F' B'
R' F R U L' B' F'
L' F R U L F2 L2
L' F R U L' F2 D
L' F R U L' F2 D'
L' F R U L' F2 D2
L' F R U L2 F2 L
L' F R D R2 U L'
L2 F R L U L2 F2
L2 F R L U F2 L2
L F L2 R U L F2
L F L2 R U F2 L
L F L2 R' U L F2
L F L2 R' U F2 L
L F L2 R2 U L F2
L F L2 R2 U F2 L
L F L2 U L F2 D
L F L2 U L F2 D'
L F L2 U L F2 D2
L F L2 U L' F2 L2
L F L2 U F' L F'
L F L2 U F2 L D
L F L2 U F2 L D'
L F L2 U F2 L D2
L F L2 U F2 D L
L F L2 U F2 D' L
L F L2 U F2 D2 L
L F L2 D R2 U L
L' F R' U L F2 L2
L' F R' U L' F2 D
L' F R' U L' F2 D'
L' F R' U L' F2 D2
L' F R' U L2 F2 L
L F L2 F U F L
U F L2 F2 D' L B'
L F L2 F' U L F'
L F L2 F' U F' L
L' F R' D R2 U L'
L2 F R' L U L2 F2
L2 F R' L U F2 L2
L F R L2 U L F2
L F R L2 U F2 L
D F R F' L' U F'
F2 U2 B R U' F L
L' F R2 U L F2 L2
L' F R2 U L' F2 D
L' F R2 U L' F2 D'
L' F R2 U L' F2 D2
L' F R2 U L2 F2 L
L' F R2 D R2 U L'
L2 F R2 L U L2 F2
L2 F R2 L U F2 L2
L F R' L2 U L F2
L F R' L2 U F2 L
D2 F U L' F2 B' L
D2 F U L' B' L F2
D2 F U L' B' F2 L
R F R' U L' F' B'
R F R' U L' B' F'
L' F U L F' L2 F'
L' F U L F2 L2 D
L' F U L F2 L2 D'
L' F U L F2 L2 D2
R2 F R2 U L' F' B'
R2 F R2 U L' B' F'
L' F U L' R F2 R'
L' F U L' R2 F2 R2
L' F U L' F D F
L' F U L' F D' F
L' F U L' F D2 F
L' F U L' F' D F'
L' F U L' F' D' F'
L' F U L' F' D2 F'
L' F U L2 F' L F'
L' F U L2 F2 L D
L' F U L2 F2 L D'
L' F U L2 F2 L D2
L' F U L2 F2 D L
L' F U L2 F2 D' L
L' F U L2 F2 D2 L
L' F U R L' F2 R'
R' F U D2 L' F B'
R' F U D2 L' B' F
L' F U R2 L' F2 R2
L' F U D L' D' F2
L' F U D2 L' D2 F2
D2 F U F2 L' B' L
L2 F U L' F2 D' B2
L F R2 L2 U L F2
L' F U F2 U2 R U2
L F R2 L2 U F2 L
L' F U B' L' F2 B
L' F U B' L' B F2
L' F U B2 L' F2 B2
L' F U B2 L' B2 F2
R2 F U L' B' D2 F2
L' F U' R U2 L' F2
F U2 B' R' U' L' F2
L' F U' R' U2 L' F2
L' F U' R2 U2 L' F2
L' F U' D2 B2 U2 L'
L' F U' B U2 L' F2
L' F U' B' U2 L' F2
L' F U' B2 U2 L' F2
L' F U2 L U' L2 F2
L' F U2 L U' F2 L2
L' F U2 L2 U' L F2
L' F U2 L2 U' F2 L
L' F U2 D' L2 U' L
R2 F U' B U2 L' B'
L' F U2 B U' L' F2
L' F U2 B' U' L' F2
L' F U2 B2 U' L' F2
L' F D R2 U L' D
L' F D R2 U L' D'
L' F D R2 U L' D2
L' F D R2 U D L'
L' F D R2 U D' L'
L' F D R2 U D2 L'
L' F D R2 D U L'
L' F D R2 D' U L'
L' F D R2 D2 U L'
L' F D U L' D' F2
L2 F D L R2 U L2
L2 F D R2 L U L2
L' F D' U2 L2 U' L
R' F D2 U L' F B'
R' F D2 U L' B' F
L' F D2 U L' D2 F2
L' F D2 U' B2 U2 L'
F D R2 U L' D B'
F D R2 U L' D' B'
F D R2 U L' D2 B'
F D R2 U L' B' D
F D R2 U L' B' D'
F D R2 U L' B' D2
F D R2 U D L' B'
F D R2 U D' L' B'
F D R2 U D2 L' B'
F D R2 U B L' B'
F D R2 U B' L' B'
F D R2 U B2 L' B'
F D R2 D U L' B'
F D R2 D' U L' B'
F D R2 D2 U L' B'
F D U L' D' F2 B'
F D U L' D' B' F2
F D U L' B' D' F2
L2 F' L F2 U L' F2
D' F' L' F L' U F'
F2 D F' U L' F2 B'
F2 D F' U L' B' F2
L F' L2 F2 U L' F2
L' F' R' D' F2 U F2
L' F' U L2 D F2 L'
L' F' U' R U R' U
U' F' D R F' U2 F
B' D' L' F B U F2
B' D' L' B F U F2
B2 D' L' F U R2 F2
B2 D' L' F U F2 R2
U F' U' F2 U L' B'
L' F' D F2 U L' F2
U F' U2 D R F' U2
L' F' D' F2 U L' F2
U F' D U2 R F' U2
L' F' D2 F2 U L' F2
L2 F2 L F' U L' F
L F' B2 D' R2 B2 L
F2 D' F' U L' F2 B'
F2 D' F' U L' B' F2
L' F2 R F' U L' F2
B' D' B L' F U F2
L' F2 R' F' U L' F2
L' F2 R2 F' U L' F2
U' F2 U' R B U' F
B D' B' L' F U F2
L' F2 U2 B U' F L
L' F2 D F' U L' F2
L' F2 D' F' U L' F2
L' F2 D2 F' U L' F2
F D2 U L' D2 F2 B'
F D2 U L' D2 B' F2
F D2 U' B2 U2 L' B'
F2 D2 F' U L' F2 B'
F2 D2 F' U L' B' F2
B D2 B' L' U L2 F'
B D2 B' L' U F' L2
L' B D2 B' U L F'
L' B D2 B' U F' L
D' B' L' F B U F2
D2 B' L' B U L2 F'
D2 B' L' B U F' L2
D' B' L' B F U F2
B2 F' D' R2 B2 L B'
D' B2 L' F B2 U F2
D' B2 L' B2 F U F2
F' B2 D' R2 B2 L B'
L B2 F' D' R2 B2 L
