F' L' R U2 F' U'
F' L' R' B R2 U
F' R L' U2 F' U'
F' R' L' B R2 U
F' R' B L' R2 U
F' R' B R2 L' U
D' F' L' U R F
D' F' R2 L' U R' F
D' F' R2 L' U F R'
U2 F' R' B L R2 U
L2 F' R' B L' R2 U
L2 F' R' B R2 L' U
U2 F' R' B R2 L U
L F' R' L' B R2 U
L F' R' B L' R2 U
L F' R' B R2 L' U
U' F' D R U B R'
D' F' D2 L' U R F'
R' F' B L' R F' U
D' F' B L' U R F
R' F' B R L' F' U
D' F' B' L' U R F
D' F' B2 L' U R F
B' D' F' L' U R F
B2 D' F' L' U R F
B D' F' L' U R F
F' D2 L R B' L2 U
F' D2 L B' L2 R U
F' D2 L B' R L2 U
F' D2 L' R U2 F U'
F D2 L' R F B2 U'
F D2 L' R B2 F U'
F' D2 R L B' L2 U
F' D2 R L' U2 F U'
F D2 L' B2 R F U'
F D2 R L' F B2 U'
F D2 R L' B2 F U'
F D2 R B2 L' F U'
R' B R F' L' R U
R' B R F' R L' U
F D2 B2 L' R F U'
F D2 B2 R L' F U'
F' B L' R U2 F' U'
F' B L' R' B R2 U
F' B R L' U2 F' U'
F' B R' L' B R2 U
F' B R' B L' R2 U
F' B R' B R2 L' U
R' B F' L' R F' U
D' B F' L' U R F
R' B F' R L' F' U
B' F' L' R U2 F' U'
B' F' L' R' B R2 U
F' B' L' R U2 F' U'
F' B' L' R' B R2 U
B2 F' L' R U2 F' U'
B2 F' L' R' B R2 U
B F' L' R U2 F' U'
B F' L' R' B R2 U
B' F' R L' U2 F' U'
F' B' R L' U2 F' U'
B2 F' R L' U2 F' U'
B' F' R' L' B R2 U
F' B' R' L' B R2 U
B F' R L' U2 F' U'
B2 F' R' L' B R2 U
B' F' R' B L' R2 U
B' F' R' B R2 L' U
F' B' R' B L' R2 U
F' B' R' B R2 L' U
B2 F' R' B L' R2 U
B2 F' R' B R2 L' U
B F' R' L' B R2 U
B F' R' B L' R2 U
B F' R' B R2 L' U
D' B' F' L' U R F
F' B2 L' R U2 F' U'
F' B2 L' R' B R2 U
F' B2 R L' U2 F' U'
F' B2 R' L' B R2 U
F' B2 R' B L' R2 U
F' B2 R' B R2 L' U
D' B2 F' L' U R F
