F2 L' B R' U L'
B R' U L2 D B2
B R' U2 R2 U' L2
B R' D F2 U B2
B D F2 L' R' U
B D F2 R' L' U
D F2 L' B U F
D F2 B L' U F
F2 B L' R' U L'
F2 B R' L' U L'
D B F2 L' U F
B F2 L' R' U L'
B F2 R' L' U L'
U2 F2 L' B R' U L'
B D' U2 B2 L R U'
D F2 L' D B U F
B D' U2 B2 R L U'
D F2 L' D' B U F
D F2 L' D2 B U F
D F2 L' B R U F
D F2 L' B R' U F
D F2 L' B R2 U F
D F2 L' B U D F
D F2 L' B U D' F
D F2 L' B U D2 F
D F2 L' B U F D
D F2 L' B U F D'
D F2 L' B U F D2
D F2 L' B D U F
D F2 L' B D' U F
D F2 L' B D2 U F
U F2 L' B R' U L'
L F2 L' B R' U L2
D F2 R' L' U F R
B' D2 L R F2 U' L'
L2 F2 U' L' B R' U
L2 F2 U' B L' R' U
L2 F2 U' B R' L' U
B' D2 R L F2 U' L'
B' D2 R F2 L U' L2
D F2 D' L' B R' U
U' F2 B L' R' U L'
U' F2 B R' L' U L'
D F2 D' B L' R' U
D F2 D' B R' L' U
U2 F2 B L' R' U L'
L2 F2 B L' R' U L
U2 F2 B R' L' U L'
L2 F2 B R' L' U L
B D2 R' U D B2 L
B D2 R' D U B2 L
D F2 B L' R U F
D F2 B L' R' U F
D F2 B L' R2 U F
D F2 B L' U D F
D F2 B L' U D' F
D F2 B L' U D2 F
D F2 B L' U F D
D F2 B L' U F D'
D F2 B L' U F D2
D F2 B L' D U F
D F2 B L' D' U F
D F2 B L' D2 U F
D F2 B R L' U F
D F2 B R' L' U F
D F2 B R2 L' U F
U F2 B L' R' U L'
U F2 B R' L' U L'
D F2 B' L' B2 U F
D B L' F2 L' U F'
U' B R' U L2 D B2
U' B R' U2 R2 U' L2
U' B R' D F2 U B2
L' B R' U L' D B2
L' B R' U D L' B2
L' B R' U D B2 L'
L' B R' U2 R2 U' L'
L' B R' D U L' B2
L' B R' D U B2 L'
L' B R' D2 L2 U L
U2 B R' U L2 D B2
U2 B R' U2 R2 U' L2
U2 B R' D F2 U B2
L2 B R' D2 L2 U L2
U B R' U L2 D B2
U B R' U2 R2 U' L2
U B R' D F2 U B2
F' B L' R' U L' B'
D' B U2 B R U' F'
F2 B L' R' U L' D
F2 B L' R' U L' D'
F2 B L' R' U L' D2
F2 B L' R' U D L'
F2 B L' R' U D' L'
F2 B L' R' U D2 L'
F2 B L' R' D U L'
F2 B L' R' D' U L'
F2 B L' R' D2 U L'
U' B D F2 L' R' U
U' B D F2 R' L' U
F2 B L' D R' U L'
F2 B L' D' R' U L'
F2 B L' D2 R' U L'
U2 B D F2 L' R' U
U2 B D F2 R' L' U
D2 B D' F2 L' U F
R B U2 R' B U L2
F' B R' L' U L' B'
U B D F2 L' R' U
U B D F2 R' L' U
F' B R' U L' B' L'
F2 B R' L' U L' D
F2 B R' L' U L' D'
F2 B R' L' U L' D2
F2 B R' L' U D L'
F2 B R' L' U D' L'
F2 B R' L' U D2 L'
F2 B R' L' D U L'
F2 B R' L' D' U L'
F2 B R' L' D2 U L'
F' B R' F' L' U L'
F2 B R' D L' F2 U
U' B F2 L' R' U L'
B F R' F L' U L'
U' B F2 R' L' U L'
F B R' F L' U L'
L2 B F2 L' R' U L
U2 B F2 L' R' U L'
L2 B F2 R' L' U L
U2 B F2 R' L' U L'
D B F2 L' R U F
D B F2 L' R' U F
D B F2 L' R2 U F
D B F2 L' U D F
D B F2 L' U D' F
D B F2 L' U D2 F
D B F2 L' U F D
D B F2 L' U F D'
D B F2 L' U F D2
D B F2 L' D U F
D B F2 L' D' U F
D B F2 L' D2 U F
D B F2 R L' U F
D B F2 R' L' U F
D B F2 R2 L' U F
U B F2 L' R' U L'
U B F2 R' L' U L'
F2 B D L' R' F2 U
F2 B D L' F2 R' U
F2 B D R' L' F2 U
B F D R' F2 U B
B F D F2 R' U B
F B D R' F2 U B
F B D F2 R' U B
B F' L' R' U L' B'
B F' R' L' U L' B'
B F' R' U L' B' L'
B F' R' F' L' U L'
D B' F2 L' B2 U F
D' B2 L2 R F U' F2
D' B2 R L2 F U' F2
D' B2 R U2 B' U F'
B F2 L' R' U L' D
B F2 L' R' U L' D'
B F2 L' R' U L' D2
B F2 L' R' U D L'
B F2 L' R' U D' L'
B F2 L' R' U D2 L'
B F2 L' R' D U L'
B F2 L' R' D' U L'
B F2 L' R' D2 U L'
B F2 L' D R' U L'
B F2 L' D' R' U L'
B F2 L' D2 R' U L'
B F2 R' L' U L' D
B F2 R' L' U L' D'
B F2 R' L' U L' D2
B F2 R' L' U D L'
B F2 R' L' U D' L'
B F2 R' L' U D2 L'
B F2 R' L' D U L'
B F2 R' L' D' U L'
B F2 R' L' D2 U L'
B F2 R' D L' F2 U
B F2 D L' R' F2 U
B F2 D L' F2 R' U
B F2 D R' L' F2 U
