L R U F' U2 L'
R L U F' U2 L'
D L R2 B R' U'
D2 L R2 B U' B2
D2 L U2 F' U B'
R2 L B R U' B
L R2 B R U' B
D2 R2 L B U' B2
D R2 L B R' U'
L D R2 B R' U'
R' D2 L B' U' B2
B2 U2 F' R' U B
U2 D2 F' U2 L U' B'
F' U2 R' F L U' B
F' U2 D2 F L U' B'
F' U2 F L R' U' B
F' U2 F R' L U' B
B2 U2 F R' F2 U B
F' U2 F D2 L U' B'
B2 U2 F' L R' U B
B2 U2 F' L' R' U B
B2 U2 F' L2 R' U B
B2 U2 F' R' L U B
B2 U2 F' R' L' U B
B2 U2 F' R' L2 U B
B2 U2 F' R' U D B
B2 U2 F' R' U D' B
B2 U2 F' R' U D2 B
B2 U2 F' R' U B D
B2 U2 F' R' U B D'
B2 U2 F' R' U B D2
B2 U2 F' R' D U B
B2 U2 F' R' D' U B
B2 U2 F' R' D2 U B
B2 U2 F2 R' F U B
L F D' F' R U' L2
B' D R2 B L R' U'
B' D R2 B R' L U'
U2 F' R' U2 L U' B
D' F' U2 R F L U'
D2 F' U2 F L U' B'
U2 F' U2 L R' U' B
U2 F' U2 R' L U' B
U2 F' U2 D2 L U' B'
F D' L F' R U' L
U2 F' D2 U2 L U' B'
U' F' B2 R' U B R
U2 F' B2 R' B2 U B'
F D' F' L R U' L
F D' F' R L U' L
F D2 L F' B2 U' B
F D2 L B2 F' U' B
B' D2 R2 B L U' B'
F' D2 U2 F L U' B'
F D2 F' L B2 U' B
L B R U F' U2 L'
L B R2 B R U' B
L B D R2 B R' U'
R2 B D' R U' F' B
R2 B D' R U' B F'
R' B' R' B L U' B
L B' R U F' U2 L'
D2 B' R2 B L U' B'
B2 F' L2 R' B' U B2
B' F' L2 B' R' U B
L B' R2 B R U' B
F' B' L2 B' R' U B
B2 F' R' L2 B' U B2
B2 F' R' U2 F U' B
L B' D R2 B R' U'
F' B2 L2 R' B' U B2
L B2 R U F' U2 L'
F' B2 R' L2 B' U B2
F' B2 R' U2 F U' B
U' B2 U' F' R' U B
L B2 R2 B R U' B
U B2 U F' R' U B
D B2 U2 F' L' R' U
D B2 U2 F' R' L' U
L B2 D R2 B R' U'
U' B2 F' R' U B R
U2 B2 F' R' B2 U B'
