F' U' L' F2 U'
F' L U' L2 F2 U'
F' L U' F2 L2 U'
F' L U2 D R2 F2
F' L U2 D F2 R2
F' L D U2 R2 F2
F' L D U2 F2 R2
F' L D' L2 B2 U2
F' L D' B2 L2 U2
F' L' U' F2 U' F2
F' L2 U' L F2 U'
F' L2 U' F2 L U'
F' U' L F2 L2 U'
F' U' L' U' D R2
F' U' L' D U' R2
F' U' L' F2 U' D
F' U' L' F2 U' D'
F' U' L' F2 U' D2
F' U' L' F2 D U'
F' U' L' F2 D' U'
F' U' L' F2 D2 U'
F' U' L2 F2 L U'
F' U' D L' U' R2
F' U' F2 U2 R U
F' D U' L' U' R2
D2 F' U' L' F2 U'
D' F' U' L' F2 U'
L F' U' L' F U'
D F' U' L' F2 U'
F' D' L2 U' L U'
F' B U' L' F2 U'
F' B' U' L' F2 U'
B' F' U' L' F2 U'
B2 F' U' L' F2 U'
B F' U' L' F2 U'
F' B2 U' L' F2 U'
F' U' F2 U2 R D U
F' U' F2 U2 R D' U
F' U' F2 U2 R D2 U
F' U' F2 U2 D R U
F' U' F2 U2 D' R U
F' U' F2 U2 D2 R U
F' U' F2 D U2 R U
F' U' F2 D' U2 R U
F' U' F2 D2 U2 R U
F' U' B' L' F2 B U'
F' U' B' L' B F2 U'
F' U' B2 L' F2 B2 U'
F' U' B2 L' B2 F2 U'
F' U2 L D L' R2 F2
F' U2 L D L' F2 R2
F' U2 L D R2 L' F2
F' U2 R U L' F2 U'
F' U2 R' U L' F2 U'
F U2 R D' L2 U L2
F' U2 R2 U L' F2 U'
F' U2 D R2 U L' U'
F U2 D' L2 R U L2
F U2 D' R L2 U L2
U' F R U F2 B U2
U' F R U B F2 U2
U' F R D R2 U' F'
U' F R' U F2 U2 F
U' F R' U' D2 F' B2
U' F R' U' D2 B2 F'
F' U2 F2 U' R U R'
U' F R' D2 U' F' B2
U' F R' D2 U' B2 F'
F' D L U' L2 U' R2
F' D L U2 R2 D F2
F' D L' U2 R2 D' F2
F' D L2 U' L U' R2
U' F D2 R' U' F' B2
U' F D2 R' U' B2 F'
F' D U' L' U' R2 D
F' D U' L' U' R2 D'
F' D U' L' U' R2 D2
F' D U' L' D' F2 U'
F' D U' L' F U' R2
F' D U' L' F' U' R2
F D R2 D B2 L U'
F' D U' L' F2 U' R2
D' F' L U' L2 F2 U'
D2 F' L U' L2 F2 U'
D' F' L U' F2 L2 U'
D2 F' L U' F2 L2 U'
D' F' L U2 D R2 F2
D' F' L U2 D F2 R2
D2 F' L U2 D R2 F2
D2 F' L U2 D F2 R2
D' F' L D U2 R2 F2
D' F' L D U2 F2 R2
D2 F' L D U2 R2 F2
D2 F' L D U2 F2 R2
D' F' L D' L2 B2 U2
D2 F' L D' L2 B2 U2
L' F' L U' F L2 U'
D' F' L D' B2 L2 U2
D2 F' L D' B2 L2 U2
F' D U2 R2 U L' U'
D' F' L' U' F2 U' F2
D2 F' L' U' F2 U' F2
D F' L U' L2 F2 U'
D F' L U' F2 L2 U'
D F' L U2 D R2 F2
D F' L U2 D F2 R2
D F' L D U2 R2 F2
D F' L D U2 F2 R2
D F' L D' L2 B2 U2
D F' L D' B2 L2 U2
L F' L U' L2 F U'
D' F' L2 U' L F2 U'
D2 F' L2 U' L F2 U'
D' F' L2 U' F2 L U'
D2 F' L2 U' F2 L U'
D F' L' U' F2 U' F2
B' D F' U' L' F2 U'
L2 F' L2 U' F L U'
L F' L' U' F U' F'
B2 D F' U' L' F2 U'
D F' L2 U' L F2 U'
D F' L2 U' F2 L U'
B D F' U' L' F2 U'
F' D B U' L' U' R2
F' D B' U' L' U' R2
D2 F' U' L F2 L2 U'
D' F' U' L F2 L2 U'
D2 F' U' L' U' D R2
D' F' U' L' U' D R2
D2 F' U' L' D U' R2
D' F' U' L' D U' R2
D2 F' U' L' F2 U' D
D2 F' U' L' F2 U' D'
D2 F' U' L' F2 U' D2
D2 F' U' L' F2 D U'
D2 F' U' L' F2 D' U'
D2 F' U' L' F2 D2 U'
D' F' U' L' F2 U' D
D' F' U' L' F2 U' D'
D' F' U' L' F2 U' D2
D' F' U' L' F2 D U'
D' F' U' L' F2 D' U'
D' F' U' L' F2 D2 U'
D2 F' U' L2 F2 L U'
D' F' U' L2 F2 L U'
F' D B2 U' L' U' R2
L' F' U' L' F U' R
D2 F' U' D L' U' R2
D' F' U' D L' U' R2
L2 F' U B' U2 L' U'
D2 F' U' F2 U2 R U
D' F' U' F2 U2 R U
L2 F' U' L2 F L U'
F' D' L D L U2 F2
F' D' L D' L B2 U2
F' D' L D' B2 U2 R'
D F' U' L F2 L2 U'
D F' U' L' U' D R2
D F' U' L' D U' R2
D F' U' L' F2 U' D
D F' U' L' F2 U' D'
D F' U' L' F2 U' D2
D F' U' L' F2 D U'
D F' U' L' F2 D' U'
D F' U' L' F2 D2 U'
D F' U' L2 F2 L U'
D F' U' D L' U' R2
L F' U' L' D F U'
L F' U' L' D' F U'
L F' U' L' D2 F U'
L F' U' L' F U' D
L F' U' L' F U' D'
L F' U' L' F U' D2
L F' U' L' F D U'
L F' U' L' F D' U'
L F' U' L' F D2 U'
D F' U' F2 U2 R U
D2 F' D U' L' U' R2
D' F' D U' L' U' R2
F' D' L2 U' L U' D
F' D' L2 U' L U' D'
F' D' L2 U' L U' D2
F' D' L2 U' L D U'
F' D' L2 U' L D' U'
F' D' L2 U' L D2 U'
F' D' L2 U' D L U'
F' D' L2 U' D' L U'
F' D' L2 U' D2 L U'
D2 F' D' L2 U' L U'
F' D' L2 D U' L U'
D' F' D' L2 U' L U'
F' D' L2 D' U' L U'
F' D' L2 D2 U' L U'
F' D' L2 B2 U R' U
D F' D U' L' U' R2
D F' D' L2 U' L U'
D2 F' B U' L' F2 U'
D' F' B U' L' F2 U'
D2 F' B' U' L' F2 U'
D' F' B' U' L' F2 U'
D F' B U' L' F2 U'
D2 F' B2 U' L' F2 U'
D' F' B2 U' L' F2 U'
L F' B U' L' F U'
F' D' U' L' U L' U2
F' D' U' L' F2 U' R
D F' B' U' L' F2 U'
L F' B' U' L' F U'
D F' B2 U' L' F2 U'
L F' B2 U' L' F U'
F D' U2 L2 R U L2
F D' U2 R L2 U L2
B' D' F' U' L' F2 U'
B2 D' F' U' L' F2 U'
B D' F' U' L' F2 U'
F' D' B L2 U' L U'
F' D' B' L2 U' L U'
F' D' B2 L2 U' L U'
F' D2 L D L2 U2 F2
F' D2 L D' B2 U2 R2
F' D2 L2 U B2 R' U
F' D2 U B2 U2 L' U'
F' D2 U' L' U' D' R2
F' D2 U' L' U2 B2 U
F' D2 U' L' D' U' R2
F' D2 U' L' D2 F2 U'
B' D2 F' U' L' F2 U'
B2 D2 F' U' L' F2 U'
B D2 F' U' L' F2 U'
F' B L U' L2 F2 U'
F' B L U' F2 L2 U'
F' B L U2 D R2 F2
F' B L U2 D F2 R2
F' B L D U2 R2 F2
F' B L D U2 F2 R2
F' B L D' L2 B2 U2
F' B L D' B2 L2 U2
F' B L' U' F2 U' F2
F' B L2 U' L F2 U'
F' B L2 U' F2 L U'
D2 B F' U' L' F2 U'
D' B F' U' L' F2 U'
F' B U' L F2 L2 U'
D B F' U' L' F2 U'
F' B U' L' U' D R2
F' B U' L' D U' R2
F' B U' L' F2 U' D
F' B U' L' F2 U' D'
F' B U' L' F2 U' D2
F' B U' L' F2 D U'
F' B U' L' F2 D' U'
F' B U' L' F2 D2 U'
F' B U' L2 F2 L U'
F' B U' D L' U' R2
L B F' U' L' F U'
F' B U' F2 U2 R U
F' B D U' L' U' R2
F' B D' L2 U' L U'
B' F' L U' L2 F2 U'
B' F' L U' F2 L2 U'
B' F' L U2 D R2 F2
B' F' L U2 D F2 R2
B' F' L D U2 R2 F2
B' F' L D U2 F2 R2
B' F' L D' L2 B2 U2
B' F' L D' B2 L2 U2
F' B' L U' L2 F2 U'
F' B' L U' F2 L2 U'
F' B' L U2 D R2 F2
F' B' L U2 D F2 R2
F' B' L D U2 R2 F2
F' B' L D U2 F2 R2
B2 F' L U' L2 F2 U'
F' B' L D' L2 B2 U2
B2 F' L U' F2 L2 U'
F' B' L D' B2 L2 U2
B2 F' L U2 D R2 F2
B2 F' L U2 D F2 R2
B2 F' L D U2 R2 F2
B2 F' L D U2 F2 R2
B2 F' L D' L2 B2 U2
B2 F' L D' B2 L2 U2
B' F' L' U' F2 U' F2
F' B' L' U' F2 U' F2
B F' L U' L2 F2 U'
B F' L U' F2 L2 U'
B2 F' L' U' F2 U' F2
B F' L U2 D R2 F2
B F' L U2 D F2 R2
B F' L D U2 R2 F2
B F' L D U2 F2 R2
B F' L D' L2 B2 U2
B F' L D' B2 L2 U2
B' F' L2 U' L F2 U'
B' F' L2 U' F2 L U'
F' B' L2 U' L F2 U'
F' B' L2 U' F2 L U'
B2 F' L2 U' L F2 U'
B F' L' U' F2 U' F2
B2 F' L2 U' F2 L U'
B F' L2 U' L F2 U'
B F' L2 U' F2 L U'
B' F' U' L F2 L2 U'
B' F' U' L' U' D R2
B' F' U' L' D U' R2
B' F' U' L' F2 U' D
B' F' U' L' F2 U' D'
B' F' U' L' F2 U' D2
B' F' U' L' F2 D U'
B' F' U' L' F2 D' U'
B' F' U' L' F2 D2 U'
B' F' U' L2 F2 L U'
B' F' U' D L' U' R2
F' B' U' L F2 L2 U'
F' B' U' L' U' D R2
F' B' U' L' D U' R2
F' B' U' L' F2 U' D
F' B' U' L' F2 U' D'
F' B' U' L' F2 U' D2
F' B' U' L' F2 D U'
F' B' U' L' F2 D' U'
F' B' U' L' F2 D2 U'
F' B' U' L2 F2 L U'
B2 F' U' L F2 L2 U'
B2 F' U' L' U' D R2
B2 F' U' L' D U' R2
B' F' U' F2 U2 R U
B2 F' U' L' F2 U' D
B2 F' U' L' F2 U' D'
B2 F' U' L' F2 U' D2
B2 F' U' L' F2 D U'
B2 F' U' L' F2 D' U'
B2 F' U' L' F2 D2 U'
B2 F' U' L2 F2 L U'
F' B' U' D L' U' R2
B2 F' U' D L' U' R2
F' B' U' F2 U2 R U
D2 B' F' U' L' F2 U'
B2 F' U' F2 U2 R U
D' B' F' U' L' F2 U'
B F' U' L F2 L2 U'
B F' U' L' U' D R2
B F' U' L' D U' R2
B F' U' L' F2 U' D
B F' U' L' F2 U' D'
B F' U' L' F2 U' D2
B F' U' L' F2 D U'
B F' U' L' F2 D' U'
B F' U' L' F2 D2 U'
B F' U' L2 F2 L U'
B F' U' D L' U' R2
B F' U' F2 U2 R U
B' F' D U' L' U' R2
F' B' D U' L' U' R2
D B' F' U' L' F2 U'
B2 F' D U' L' U' R2
B' F' D' L2 U' L U'
F' B' D' L2 U' L U'
L B' F' U' L' F U'
B2 F' D' L2 U' L U'
B F' D U' L' U' R2
B F' D' L2 U' L U'
F' B2 L U' L2 F2 U'
F' B2 L U' F2 L2 U'
F' B2 L U2 D R2 F2
F' B2 L U2 D F2 R2
F' B2 L D U2 R2 F2
F' B2 L D U2 F2 R2
F' B2 L D' L2 B2 U2
F' B2 L D' B2 L2 U2
F' B2 L' U' F2 U' F2
F' B2 L2 U' L F2 U'
F' B2 L2 U' F2 L U'
F' B2 U' L F2 L2 U'
F' B2 U' L' U' D R2
F' B2 U' L' D U' R2
F' B2 U' L' F2 U' D
F' B2 U' L' F2 U' D'
F' B2 U' L' F2 U' D2
F' B2 U' L' F2 D U'
F' B2 U' L' F2 D' U'
F' B2 U' L' F2 D2 U'
F' B2 U' L2 F2 L U'
F' B2 U' D L' U' R2
F' B2 U' F2 U2 R U
F' B2 D U' L' U' R2
F' B2 D' L2 U' L U'
D2 B2 F' U' L' F2 U'
D' B2 F' U' L' F2 U'
D B2 F' U' L' F2 U'
L B2 F' U' L' F U'
