L' D L2 B' U2 B'
L D L2 U2 F B2
L D L2 U2 B2 F
L D B' L2 F U2
L' D' F2 U2 F' R2
L D' F2 B' U2 R2
L D' B' F2 U2 R2
L B' D U B' U B'
L B' D' F2 U B' U
L B' D2 U B' L2 U
D' B' F2 U' L U' R2
R' B2 L U' R B' U2
R' B2 L U' B' R U2
U B2 L D2 L2 U F
U B2 L' U D F B2
U B2 L' U D B2 F
U B2 L' U F D B2
U B2 L' U2 R2 U' F
U B2 L' D U F B2
U B2 L' D U B2 F
U B2 U2 L' R2 U' F
U B2 U2 R2 L' U' F
U B2 D2 L2 R U F'
R' B2 F2 L U L2 F
U B2 D2 R L2 U F'
R B2 F2 L' U F L2
