F' U2 R U B'
F' L U2 R U B
D R U' F' B' R'
D R U' B' F' R'
F' R' U' D' F2 B'
F' R' U' D' B' F2
F' R' U' B' D' F2
F' R' U2 R2 U B'
F' R' D' U' F2 B'
F' R' D' U' B' F2
F' R2 U2 R' U B'
L' D F' R U' F'
F' U' B' U' R U
F' U' B' U' R U
F' U2 R U D B'
F' U2 R U D' B'
F' U2 R U D2 B'
F' U2 R U B' D
F' U2 R U B' D'
F' U2 R U B' D2
F' U2 R D U B'
F' U2 R D' U B'
F' U2 R D2 U B'
F' U2 D R U B'
F' U2 D' R U B'
F' U2 D2 R U B'
L F L' F2 U' B'
F' D U2 R U B'
D F' R U' F' B'
D F' R U' B' F'
L F' U2 R U B
F' D' U2 R U B'
R F2 U' B' R' F'
F' D2 U2 R U B'
F' U2 R L2 U' F U2
F' U2 R U R' B' R
F' U2 R U R2 B' R2
F' U2 R U D B' D
F' U2 R U D B' D'
F' U2 R U D B' D2
F' U2 R U D' B' D
F' U2 R U D' B' D'
F' U2 R U D' B' D2
F' U2 R U D2 B' D
F' U2 R U D2 B' D'
F' U2 R U D2 B' D2
F' U2 R U B2 D B
F' U2 R U B2 D' B
F' U2 R U B2 D2 B
F' U2 R U' F U2 B'
F' U2 R U' F' U2 B'
F' U2 R U' F2 U2 B'
F' U2 R U2 R U' B'
F' U2 R U2 R' U' B'
F' U2 R U2 R2 U' B'
F' U2 R D U B' D
F' U2 R D U B' D'
F' U2 R D U B' D2
F' U2 R D' U B' D
F' U2 R D' U B' D'
F' U2 R D' U B' D2
F' U2 R D2 U B' D
F' U2 R D2 U B' D'
F' U2 R D2 U B' D2
F' U2 R' U D' F2 B'
F' U2 R' U D' B' F2
F' U2 R' U B' D' F2
F' U2 R' D' U F2 B'
F' U2 R' D' U B' F2
U' D2 B' U L F' U'
U' D2 B' U F' L U'
F' U2 R2 D R' U B'
F' U2 R2 D' R' U B'
F' U2 R2 D2 R' U B'
F' U2 D R U D B'
F' U2 D R U D' B'
F' U2 D R U D2 B'
F' U2 D R U B' D
F' U2 D R U B' D'
F' U2 D R U B' D2
F' U2 D R D U B'
F' U2 D R D' U B'
F' U2 D R D2 U B'
F' U2 D' R U D B'
F' U2 D' R U D' B'
F' U2 D' R U D2 B'
F' U2 D' R U B' D
F' U2 D' R U B' D'
F' U2 D' R U B' D2
F' U2 D' R D U B'
F' U2 D' R D' U B'
F' U2 D' R D2 U B'
F' U2 D2 R U D B'
F' U2 D2 R U D' B'
F' U2 D2 R U D2 B'
F' U2 D2 R U B' D
F' U2 D2 R U B' D'
F' U2 D2 R U B' D2
F' U2 D2 R D U B'
F' U2 D2 R D' U B'
F' U2 D2 R D2 U B'
U' F L' F2 U' L B'
L' F L' F2 R2 U' B
L' F L' F2 U F' U2
L2 F L' F2 U F2 U2
L2 F L' F2 U' D2 B2
L2 F L' F2 D R2 U'
L2 F L' F2 D2 U' B2
L F L' R F2 U' B'
L F L' R' F2 U' B'
L F L' R2 F2 U' B'
L F L' U' D R2 B'
L F L' U' D B' R2
L F L' U' B' D R2
L F L' D U' R2 B'
L F L' D U' B' R2
L F L' F2 R U' B'
L F L' F2 R' U' B'
L F L' F2 R2 U' B'
L F L' F2 U' D B'
L F L' F2 U' D' B'
L F L' F2 U' D2 B'
L F L' F2 U' B' D
L F L' F2 U' B' D'
L F L' F2 U' B' D2
L F L' F2 D U' B'
L F L' F2 D' U' B'
L F L' F2 D2 U' B'
L F L2 F2 L U' B'
L F R L' F2 U' B'
F' U2 B R B' U B'
D F R F2 U' F B'
D F R F2 U' B' F
L F R' L' F2 U' B'
L F R2 L' F2 U' B'
L2 F U' L' F2 U' L
F' D L U2 R U B
L F D L' U' R2 B'
L F D L' U' B' R2
F' D R' U' D' F2 B'
F' D R' U' D' B' F2
F' D R' U' B' D' F2
F' D R' U2 R2 U B'
F' D R' D' U' F2 B'
F' D R' D' U' B' F2
F' D R2 U2 R' U B'
U' F B' U L' F2 U'
L' F' L U2 R U B'
F' D U' B' U' R U
F' D U2 R U D B'
F' D U2 R U D' B'
F' D U2 R U D2 B'
F' D U2 R U B' D
F' D U2 R U B' D'
F' D U2 R U B' D2
F' D U2 R D U B'
F' D U2 R D' U B'
F' D U2 R D2 U B'
L' F' L2 U2 R U B
F2 D F U2 R U B'
L F' L' U2 R U B'
L2 F' R U F2 U2 F2
D F' R U' D F' B'
D F' R U' D B' F'
D F' R U' D' F' B'
D F' R U' D' B' F'
D F' R U' D2 F' B'
D F' R U' D2 B' F'
D F' R U' F' D B'
D F' R U' F' D' B'
D F' R U' F' D2 B'
D F' R U' F' B' D
D F' R U' F' B' D'
D F' R U' F' B' D2
D F' R U' B' D F'
D F' R U' B' D' F'
D F' R U' B' D2 F'
D F' R U' B' F' D
D F' R U' B' F' D'
D F' R U' B' F' D2
D F' R D U' F' B'
D F' R D U' B' F'
D F' R D' U' F' B'
D F' R D' U' B' F'
D F' R D2 U' F' B'
D F' R D2 U' B' F'
L2 F' R' D2 L2 U' B2
D F' R' U B U2 B2
D F' R' U' B' D2 F2
U' F' U' R U R' B'
D' F' U' L' F L B'
L2 F' U F2 U' L' U'
D' F' U' B' L' F L
D2 F' U' B' U L U'
F' D' L U2 R U B
L' F' U2 L R U B'
L' F' U2 R L U B'
D F' U' R F' R' B'
L2 F' U2 R U D2 B2
L2 F' U2 R U' F2 U2
U2 F' U2 R F U B'
L2 F' U2 R D' L2 U
L2 F' U2 R D2 U B2
L2 F' U2 D' L2 R U
L2 F' U2 D' R L2 U
D F' U' B' R F' R'
L2 F' U2 D2 R U B2
D F' U2 R U F' B'
D F' U2 R U B' F'
R2 F' U2 B R U B2
L F' U2 L R U B
L F' U2 L' R U B
R F' U' B' R' D' F2
L F' U2 L2 R U B
L2 F' D R2 U2 R' U
L F' U2 R L U B
L F' U2 R L' U B
L F' U2 R L2 U B
L F' U2 R U D B
L F' U2 R U D' B
L F' U2 R U D2 B
L F' U2 R U B D
L F' U2 R U B D'
L F' U2 R U B D2
D2 F' D' R U' F' B'
D2 F' D' R U' B' F'
L F' U2 R D U B
L F' U2 R D' U B
L F' U2 R D2 U B
L F' U2 D R U B
R F' U2 R U B' R'
L F' U2 D' R U B
F D' L' U L' F U2
L F' U2 D2 R U B
D' F' D2 R U' F' B'
D' F' D2 R U' B' F'
L2 F' D' U2 L2 R U
L2 F' D' U2 R L2 U
L F' D U2 R U B
F' D' R' U' D' F2 B'
F' D' R' U' D' B' F2
F' D' R' U' B' D' F2
F' D' R' U2 R2 U B'
F' D' R' D' U' F2 B'
F' D' R' D' U' B' F2
L2 F' D2 U2 R U B2
L F' D' U2 R U B
D2 F' B' L B U' B'
F' D' R2 U2 R' U B'
U' F' B' U' R U R'
L F' D2 U2 R U B
F' D' U' B' U' R U
F' D' U2 R U D B'
F' D' U2 R U D' B'
F' D' U2 R U D2 B'
F' D' U2 R U B' D
F' D' U2 R U B' D'
F' D' U2 R U B' D2
F' D' U2 R D U B'
F' D' U2 R D' U B'
F' D' U2 R D2 U B'
F2 D' F U2 R U B'
D F2 R F U' F2 B'
D F2 R F U' B' F2
R' F2 R2 U' B' R' F'
R2 F2 R' U' B' R' F'
F' D2 L U2 R U B
R F2 U' R' F' B' R'
R F2 U' R' B' F' R'
R F2 U' D B' R' F'
R F2 U' D' B' R' F'
R F2 U' D2 B' R' F'
R F2 U' F B' R' F'
R F2 U' F' B' R' F'
R F2 U' F2 B' R' F'
R F2 U' B' R' D F'
R F2 U' B' R' D' F'
R F2 U' B' R' D2 F'
R F2 U' B' R' F' D
R F2 U' B' R' F' D'
R F2 U' B' R' F' D2
R F2 U' B' D R' F'
R F2 U' B' D' R' F'
R F2 U' B' D2 R' F'
R F2 U' B' F R' F'
R F2 U' B' F' R' F'
R F2 U' B' F2 R' F'
R F2 D U' B' R' F'
F' D2 R' U' D' F2 B'
F' D2 R' U' D' B' F2
F' D2 R' U' B' D' F2
F' D2 R' U2 R2 U B'
F' D2 R' D' U' F2 B'
F' D2 R' D' U' B' F2
R F2 D' U' B' R' F'
F' D2 R2 U2 R' U B'
R F2 D2 U' B' R' F'
F' D2 U' B' U' R U
F' D2 U2 R U D B'
F' D2 U2 R U D' B'
F' D2 U2 R U D2 B'
F' D2 U2 R U B' D
F' D2 U2 R U B' D'
F' D2 U2 R U B' D2
F' D2 U2 R D U B'
F' D2 U2 R D' U B'
F' D2 U2 R D2 U B'
F2 D2 F U2 R U B'
B' F L' F2 B U' B'
B' F L' B F2 U' B'
B2 F L' F2 B2 U' B'
B2 F L' B2 F2 U' B'
B' F U L' F2 B U'
B' F U L' B F2 U'
B' F U B L' F2 U'
D2 B' L F' B U' B'
D2 B' L B F' U' B'
D2 B' U L F' B U'
D2 B' U L B F' U'
U' B' U F L' F2 U'
U' B' U F' U2 R U
D2 B' U F' L B U'
F B' L' F2 B U' B'
F B' L' B F2 U' B'
U' B' F U L' F2 U'
D2 B' F' L B U' B'
U' B' F' U' R U R'
F B' U L' F2 B U'
F B' U L' B F2 U'
F B' U B L' F2 U'
F B2 L' F2 B2 U' B'
F B2 L' B2 F2 U' B'
