U2 R' F U' F2
U2 F R' U' F'
B2 L2 B' L' U F
U2 R F R2 U' F'
U2 R' U' F' D R2
U2 R' D F U' F2
U2 R' D' F U' F2
U2 R' D2 F U' F2
U2 R' F L U' F2
U2 R' F L' U' F2
U2 R' F L2 U' F2
U2 R' F U' F2 D
U2 R' F U' F2 D'
U2 R' F U' F2 D2
U2 R' F D' L2 U'
U2 D R' F U' F2
U2 D F R' U' F'
U2 D' R' F U' F2
U2 D' F R' U' F'
D2 U2 R' F U' F2
U2 D2 R' F U' F2
D' U2 R' F U' F2
D U2 R' F U' F2
U2 D2 F R' U' F'
D2 U2 F R' U' F'
D' U2 F R' U' F'
D U2 F R' U' F'
U2 F L R' U' F'
U2 F L' R' U' F'
U2 F L2 R' U' F'
U2 F R' L U' F'
U2 F R' L' U' F'
U2 F R' L2 U' F'
U2 F R' U' D F'
U2 F R' U' D' F'
U2 F R' U' D2 F'
U2 F R' U' F' D
U2 F R' U' F' D'
U2 F R' U' F' D2
U2 F R' D U' F'
U2 F R' D' U' F'
U2 F R' D2 U' F'
U2 F D R' U' F'
U2 F D' R' U' F'
U2 F D2 R' U' F'
U2 F' R' F2 U' F
U2 R' F U' L' F2 L
U2 R' F U' L2 F2 L2
U2 R' F U' R F2 R'
U2 R' F U' R2 F2 R2
U2 R' F U' F D F
U2 R' F U' F D' F
U2 R' F U' F D2 F
U2 R' F U' F' D F'
U2 R' F U' F' D' F'
U2 R' F U' F' D2 F'
U2 R' F U2 R U F2
U2 R' F U2 R' U F2
U2 R' F U2 R2 U F2
U2 R' F U2 D R2 U
U2 R' F D U2 R2 U
U R' F L' U' L F
U2 R' F D' L2 U' D
U2 R' F D' L2 U' D'
U2 R' F D' L2 U' D2
U2 R' F D' L2 D U'
U2 R' F D' L2 D' U'
U2 R' F D' L2 D2 U'
U2 R' F D2 U B2 U2
U2 R' F' L F2 U' F2
U2 R' F' L' F2 U' F2
U2 R' F' L2 F2 U' F2
U R' F B L U' L'
L' U2 R' L2 F' U' F2
R2 U2 R F U B U2
U2 R' F2 U' F D R2
U2 R' F2 D F' U' F2
U2 R' F2 D' F' U' F2
L' U2 R' F' L2 U' F
U2 R' F2 D2 F' U' F2
L' U2 R' F' U B' U2
R2 U2 R' F R2 U' F2
R U2 R' F R' U' F2
U R' B F L U' L'
R U2 R2 D' F L' U'
F R2 L B R U' F
B2 R2 L2 B' L' U F
U2 R2 D' R F L' U'
F R2 B L R U' F
F R2 B R L U' F
U2 D R F R2 U' F'
U2 D R' U' F' D R2
U2 D R' D F U' F2
U2 D R' D' F U' F2
U2 D R' D2 F U' F2
U2 D R' F L U' F2
U2 D R' F L' U' F2
U2 D R' F L2 U' F2
U2 D R' F U' F2 D
U2 D R' F U' F2 D'
U2 D R' F U' F2 D2
U2 D R' F D' L2 U'
U2 D F L R' U' F'
U2 D F L' R' U' F'
U2 D F L2 R' U' F'
U2 D F R' L U' F'
U2 D F R' L' U' F'
U2 D F R' L2 U' F'
U2 D F R' U' D F'
U2 D F R' U' D' F'
U2 D F R' U' D2 F'
U2 D F R' U' F' D
U2 D F R' U' F' D'
U2 D F R' U' F' D2
U2 D F R' D U' F'
U2 D F R' D' U' F'
U2 D F R' D2 U' F'
U2 D F D R' U' F'
U2 D F D' R' U' F'
U2 D F D2 R' U' F'
U2 D F' R' F2 U' F
U2 D' R F R2 U' F'
U2 D' R' U' F' D R2
U2 D' R' D F U' F2
U2 D' R' D' F U' F2
U2 D' R' D2 F U' F2
U2 D' R' F L U' F2
U2 D' R' F L' U' F2
U2 D' R' F L2 U' F2
U2 D' R' F U' F2 D
U2 D' R' F U' F2 D'
U2 D' R' F U' F2 D2
U2 D' R' F D' L2 U'
U2 D' F L R' U' F'
U2 D' F L' R' U' F'
U2 D' F L2 R' U' F'
U2 D' F R' L U' F'
U2 D' F R' L' U' F'
U2 D' F R' L2 U' F'
U2 D' F R' U' D F'
U2 D' F R' U' D' F'
U2 D' F R' U' D2 F'
U2 D' F R' U' F' D
U2 D' F R' U' F' D'
U2 D' F R' U' F' D2
U2 D' F R' D U' F'
U2 D' F R' D' U' F'
U2 D' F R' D2 U' F'
U2 D' F D R' U' F'
U2 D' F D' R' U' F'
U2 D' F D2 R' U' F'
U2 D' F' R' F2 U' F
D' U2 R F R2 U' F'
D2 U2 R F R2 U' F'
D' U2 R' U' F' D R2
D' U2 R' D F U' F2
U2 D2 R F R2 U' F'
D2 U2 R' U' F' D R2
D' U2 R' D' F U' F2
D' U2 R' D2 F U' F2
D' U2 R' F L U' F2
D' U2 R' F L' U' F2
D' U2 R' F L2 U' F2
D2 U2 R' D F U' F2
D' U2 R' F U' F2 D
D' U2 R' F U' F2 D'
D' U2 R' F U' F2 D2
D' U2 R' F D' L2 U'
D2 U2 R' D' F U' F2
D2 U2 R' D2 F U' F2
D2 U2 R' F L U' F2
D2 U2 R' F L' U' F2
D2 U2 R' F L2 U' F2
D2 U2 R' F U' F2 D
D2 U2 R' F U' F2 D'
D2 U2 R' F U' F2 D2
D2 U2 R' F D' L2 U'
D U2 R F R2 U' F'
U2 D2 R' U' F' D R2
U2 D2 R' D F U' F2
U2 D2 R' D' F U' F2
U2 D2 R' D2 F U' F2
U2 D2 R' F L U' F2
U2 D2 R' F L' U' F2
U2 D2 R' F L2 U' F2
U2 D2 R' F U' F2 D
U2 D2 R' F U' F2 D'
U2 D2 R' F U' F2 D2
U2 D2 R' F D' L2 U'
D U2 R' U' F' D R2
D U2 R' D F U' F2
D U2 R' D' F U' F2
D U2 R' D2 F U' F2
D U2 R' F L U' F2
D U2 R' F L' U' F2
D U2 R' F L2 U' F2
D U2 R' F U' F2 D
D U2 R' F U' F2 D'
D U2 R' F U' F2 D2
D U2 R' F D' L2 U'
D' U2 F L R' U' F'
D' U2 F L' R' U' F'
D' U2 F L2 R' U' F'
D2 U2 F L R' U' F'
D2 U2 F L' R' U' F'
D' U2 F R' L U' F'
D' U2 F R' L' U' F'
D' U2 F R' L2 U' F'
D' U2 F R' U' D F'
D' U2 F R' U' D' F'
D' U2 F R' U' D2 F'
D' U2 F R' U' F' D
D' U2 F R' U' F' D'
D' U2 F R' U' F' D2
D' U2 F R' D U' F'
D' U2 F R' D' U' F'
D' U2 F R' D2 U' F'
D2 U2 F L2 R' U' F'
D2 U2 F R' L U' F'
D2 U2 F R' L' U' F'
D2 U2 F R' L2 U' F'
D2 U2 F R' U' D F'
D2 U2 F R' U' D' F'
D2 U2 F R' U' D2 F'
D2 U2 F R' U' F' D
D2 U2 F R' U' F' D'
D2 U2 F R' U' F' D2
D2 U2 F R' D U' F'
D2 U2 F R' D' U' F'
D2 U2 F R' D2 U' F'
D' U2 F D R' U' F'
D' U2 F D' R' U' F'
D' U2 F D2 R' U' F'
U2 D2 F L R' U' F'
D2 U2 F D R' U' F'
U2 D2 F L' R' U' F'
D2 U2 F D' R' U' F'
U2 D2 F L2 R' U' F'
D2 U2 F D2 R' U' F'
U2 D2 F R' L U' F'
U2 D2 F R' L' U' F'
U2 D2 F R' L2 U' F'
U2 D2 F R' U' D F'
U2 D2 F R' U' D' F'
U2 D2 F R' U' D2 F'
U2 D2 F R' U' F' D
U2 D2 F R' U' F' D'
U2 D2 F R' U' F' D2
U2 D2 F R' D U' F'
U2 D2 F R' D' U' F'
U2 D2 F R' D2 U' F'
D' U2 F' R' F2 U' F
D U2 F L R' U' F'
D U2 F L' R' U' F'
U2 D2 F D R' U' F'
D U2 F L2 R' U' F'
D2 U2 F' R' F2 U' F
U2 D2 F D' R' U' F'
U2 D2 F D2 R' U' F'
D U2 F R' L U' F'
D U2 F R' L' U' F'
D U2 F R' L2 U' F'
D U2 F R' U' D F'
D U2 F R' U' D' F'
D U2 F R' U' D2 F'
D U2 F R' U' F' D
D U2 F R' U' F' D'
D U2 F R' U' F' D2
D U2 F R' D U' F'
D U2 F R' D' U' F'
D U2 F R' D2 U' F'
D U2 F D R' U' F'
D U2 F D' R' U' F'
D U2 F D2 R' U' F'
U2 D2 F' R' F2 U' F
D U2 F' R' F2 U' F
B U2 R' F R U' F2
B U2 R2 F R U' F'
R' F L U' F D' L2
R' F L U2 F' U F2
U2 F L R' U' D F'
U2 F L R' U' D' F'
U2 F L R' U' D2 F'
U2 F L R' U' F' D
U2 F L R' U' F' D'
U2 F L R' U' F' D2
U2 F L R' D U' F'
U2 F L R' D' U' F'
U2 F L R' D2 U' F'
U2 F L D R' U' F'
U2 F L D' R' U' F'
U2 F L D2 R' U' F'
U2 F L' R' U' D F'
U2 F L' R' U' D' F'
U2 F L' R' U' D2 F'
U2 F L' R' U' F' D
U2 F L' R' U' F' D'
U2 F L' R' U' F' D2
U2 F L' R' D U' F'
U2 F L' R' D' U' F'
U2 F L' R' D2 U' F'
U2 F L' D R' U' F'
R F L R2 B U' F
U2 F L' D' R' U' F'
U2 F L' D2 R' U' F'
B2 U2 F U2 L U F
U2 F L2 R' U' D F'
U2 F L2 R' U' D' F'
U2 F L2 R' U' D2 F'
U2 F L2 R' U' F' D
U2 F L2 R' U' F' D'
U2 F L2 R' U' F' D2
U F L' R' U' L F
U2 F L2 R' D U' F'
U2 F L2 R' D' U' F'
U2 F L2 R' D2 U' F'
B U2 F R U B U2
U2 F L2 D R' U' F'
U2 F L2 D' R' U' F'
U2 F L2 D2 R' U' F'
U' F R' U' D' F2 L'
U' F R' D' U' F2 L'
U2 F R' L U' D F'
U2 F R' L U' D' F'
U2 F R' L U' D2 F'
U2 F R' L U' F' D
U2 F R' L U' F' D'
U2 F R' L U' F' D2
U2 F R' L D U' F'
U2 F R' L D' U' F'
U2 F R' L D2 U' F'
U2 F R' L' U' D F'
U2 F R' L' U' D' F'
U2 F R' L' U' D2 F'
U2 F R' L' U' F' D
U2 F R' L' U' F' D'
U2 F R' L' U' F' D2
U2 F R' L' D U' F'
U2 F R' L' D' U' F'
U2 F R' L' D2 U' F'
U2 F R' L2 U' D F'
U2 F R' L2 U' D' F'
U2 F R' L2 U' D2 F'
U2 F R' L2 U' F' D
U2 F R' L2 U' F' D'
U2 F R' L2 U' F' D2
U2 F R' L2 D U' F'
U2 F R' L2 D' U' F'
U2 F R' L2 D2 U' F'
U2 F R' U B U2 F'
U2 F R' U B' U2 F'
U2 F R' U B2 U2 F'
U2 F R' U' L' F' L
U2 F R' U' L2 F' L2
U2 F R' U' D F' D
U2 F R' U' D F' D'
U2 F R' U' D F' D2
U2 F R' U' D' F' D
U2 F R' U' D' F' D'
U2 F R' U' D' F' D2
U2 F R' U' D2 F' D
U2 F R' U' D2 F' D'
U2 F R' U' D2 F' D2
U2 F R' U' F2 D F
U2 F R' U' F2 D' F
U2 F R' U' F2 D2 F
U2 F R' D L U' F'
U2 F R' D L' U' F'
U2 F R' D L2 U' F'
U2 F R' D U' F' D
U2 F R' D U' F' D'
U2 F R' D U' F' D2
U2 F R' D' L U' F'
U2 F R' D' L' U' F'
U2 F R' D' L2 U' F'
U2 F R' D' U' F' D
U2 F R' D' U' F' D'
U2 F R' D' U' F' D2
U2 F R' D2 L U' F'
U2 F R' D2 L' U' F'
U2 F R' D2 L2 U' F'
U2 F R' D2 U' F' D
U2 F R' D2 U' F' D'
U2 F R' D2 U' F' D2
U F R' L' U' L F
U F R' B L U' L'
R F R2 L B U' F
R F R2 B L U' F
R' F U2 F' R' U F'
U2 F D L R' U' F'
U2 F D L' R' U' F'
U2 F D L2 R' U' F'
U2 F D R' L U' F'
U2 F D R' L' U' F'
U2 F D R' L2 U' F'
U2 F D R' U' D F'
U2 F D R' U' D' F'
U2 F D R' U' D2 F'
U2 F D R' U' F' D
U2 F D R' U' F' D'
U2 F D R' U' F' D2
U2 F D R' D U' F'
U2 F D R' D' U' F'
U2 F D R' D2 U' F'
B2 D L2 B' L' U F
U2 F D' L R' U' F'
U2 F D' L' R' U' F'
U2 F D' L2 R' U' F'
U2 F D' R' L U' F'
U2 F D' R' L' U' F'
U2 F D' R' L2 U' F'
U2 F D' R' U' D F'
U2 F D' R' U' D' F'
U2 F D' R' U' D2 F'
U2 F D' R' U' F' D
U2 F D' R' U' F' D'
U2 F D' R' U' F' D2
U2 F D' R' D U' F'
U2 F D' R' D' U' F'
U2 F D' R' D2 U' F'
U2 F D2 L R' U' F'
U2 F D2 L' R' U' F'
U2 F D2 L2 R' U' F'
U2 F D2 R' L U' F'
U2 F D2 R' L' U' F'
U2 F D2 R' L2 U' F'
U2 F D2 R' U' D F'
U2 F D2 R' U' D' F'
U2 F D2 R' U' D2 F'
U2 F D2 R' U' F' D
U2 F D2 R' U' F' D'
U2 F D2 R' U' F' D2
U2 F D2 R' D U' F'
U2 F D2 R' D' U' F'
U2 F D2 R' D2 U' F'
U F B L U' L' B'
U2 F' L R' F2 U' F
U' F' L' R' F2 U' L'
U2 F' L F2 R' U' F'
U2 F' L' R' F2 U' F
U2 F' L' F2 R' U' F'
U2 F' L2 R' F2 U' F
U2 F' L2 F2 R' U' F'
U' F' R' L' F2 U' L'
U2 F' R F2 R2 U' F'
U2 F' R' L F2 U' F
U2 F' R' L' F2 U' F
U2 F' R' L2 F2 U' F
U2 F' R' U' D F' R2
U2 F' R' D U' F' R2
U2 F' R' F2 U' D F
U2 F' R' F2 U' D' F
U2 F' R' F2 U' D2 F
U2 F' R' F2 U' F D
U2 F' R' F2 U' F D'
U2 F' R' F2 U' F D2
U2 F' R' F2 D U' F
U2 F' R' F2 D' U' F
U2 F' R' F2 D2 U' F
U' F' U' L' R' F2 U'
U' F' U' L' F2 R' U'
U' F' U' R' L' F2 U'
U F' U R' F2 U' F
U F' U F2 R' U' F'
U2 F' D R' U' F' R'
B2 D' L2 B' L' U F
U2 F2 L F' R' U' F'
U2 F2 L' F' R' U' F'
U2 F2 L2 F' R' U' F'
U2 F2 R' U' D' F' R
U2 F2 R' D' U' F' R
U F2 U F' R' U' F'
U2 F2 D F' R' U' F'
B2 D2 L2 B' L' U F
U2 F2 D' F' R' U' F'
U2 F2 D2 F' R' U' F'
F' D2 F B2 L U F
F' D2 B2 F L U F
U B F L U' L' B'
L2 B2 L B U D2 F2
L2 B2 L B U' B2 U2
L2 B2 L B D' R2 U
L2 B2 L B D2 U F2
D2 B2 L2 B' L' U F
D' B2 L2 B' L' U F
D B2 L2 B' L' U F
L2 B2 D' L B R' U
