F2 U2 F' L'
B' R' F2 U2 F'
F2 R2 B U2 L
F2 U2 L F' L'
F2 U2 L' F' L'
F2 U2 L2 F' L'
F2 U2 D F' L'
F2 U2 D' F' L'
F2 U2 D2 F' L'
F2 U2 F' L' D
F2 U2 F' L' D'
F2 U2 F' L' D2
F2 U2 F' D L'
F2 U2 F' D' L'
F2 U2 F' D2 L'
F2 D U2 F' L'
R' F2 U2 F' L'
F2 D' U2 F' L'
R2 F2 U2 F' L'
R F2 U2 F' L'
F2 D2 U2 F' L'
F2 B U2 L F'
F2 B U2 F' L
B F2 U2 L F'
B F2 U2 F' L
L2 R B' R' L2 F2 U2
L2 R B' R' F2 L2 U2
L2 R B' F2 L2 R' U2
L2 R B' F2 R' L2 U2
F2 L B L' U2 L2 F'
F2 L B L' U2 F' L2
F L B L D2 R2 B'
F L B L D2 B' R2
F L B L B' D2 R2
B' L' R' F2 L U2 F
F2 L' U2 F' L' D2 R2
D2 L' U2 B2 R' F' L'
F2 L' D L U2 F' L'
L2 R' F2 B' L2 R' U2
L2 R' F2 B' R' L2 U2
F2 L' D' L U2 F' L'
F2 L' D2 L U2 F' L'
L2 R' B' L2 R' F2 U2
L2 R' B' L2 F2 R' U2
L2 R' B' R' L2 F2 U2
L2 R' B' R' F2 L2 U2
B' L' D2 B2 L R' F
B' L' D2 B2 L F R'
B' L' D2 B2 R' L F
L2 R' B' F2 L2 R' U2
L2 R' B' F2 R' L2 U2
F' L' F' L U2 F' L'
B' L' F2 L R' U2 F
B' L' F2 R' L U2 F
B L' F2 L U2 F L
D2 L' B L F B R'
D2 L' B L B R' F
D2 L' B L B F R'
F L' B2 L' R' B' L
F L' B2 R' L' B' L
F L2 R B L B2 R'
B' L2 R' F2 L2 U2 F
B' L2 R' F2 B' L2 U2
B' L2 R' B' L2 F2 U2
B' L2 R' B' F2 L2 U2
F L2 R' B L B2 R'
F2 L2 R2 B L2 U2 L'
F L2 R2 B L B2 R'
R' L2 F2 B' L2 R' U2
R' L2 F2 B' R' L2 U2
L2 R2 F2 B' L2 R' U2
L2 R2 F2 B' R' L2 U2
R2 L2 F2 B' L2 R' U2
R2 L2 F2 B' R' L2 U2
R L2 F2 B' L2 R' U2
R L2 F2 B' R' L2 U2
U L2 U' F2 B' R' U2
R' L2 B' L2 R' F2 U2
U L2 U' B' R' F2 U2
R' L2 B' L2 F2 R' U2
U L2 U' B' F2 R' U2
R' L2 B' R' L2 F2 U2
R' L2 B' R' F2 L2 U2
F L2 U2 L2 F R U2
F2 L2 U2 D2 F' L' R2
F2 L2 U2 D2 F' R2 L'
F2 L2 U2 F' D2 L' R2
F2 L2 U2 F' D2 R2 L'
L2 R2 B' L2 R' F2 U2
L2 R2 B' L2 F2 R' U2
R2 L2 B' L2 R' F2 U2
R2 L2 B' L2 F2 R' U2
U2 L2 U2 F2 B' R' U2
L2 R2 B' R' L2 F2 U2
L2 R2 B' R' F2 L2 U2
R2 L2 B' R' L2 F2 U2
U2 L2 U2 B' R' F2 U2
R2 L2 B' R' F2 L2 U2
U2 L2 U2 B' F2 R' U2
R L2 B' L2 R' F2 U2
R L2 B' L2 F2 R' U2
R' L2 B' F2 L2 R' U2
R' L2 B' F2 R' L2 U2
R L2 B' R' L2 F2 U2
R L2 B' R' F2 L2 U2
L2 R2 B' F2 L2 R' U2
L2 R2 B' F2 R' L2 U2
R2 L2 B' F2 L2 R' U2
R2 L2 B' F2 R' L2 U2
R L2 B' F2 L2 R' U2
R L2 B' F2 R' L2 U2
F2 L2 D2 U2 F' L' R2
F2 L2 D2 U2 F' R2 L'
F L2 D2 R2 B L B2
B' L2 D2 B2 L R2 F'
B' L2 D2 B2 R2 L F'
B' L2 D2 B2 R2 F' L
F L2 D2 B L R2 B2
F L2 D2 B L B2 R2
F L2 D2 B R2 L B2
B L2 D2 B2 L' R2 F'
B L2 D2 B2 R2 L' F'
F' L2 F' L2 U2 F' L'
B' L2 F2 L2 R' U2 F
B' L2 F2 R' L2 U2 F
B' L2 F2 R' B' L2 U2
B L2 F2 L2 R U2 F
B L2 F2 R L2 U2 F
B L2 F2 R B' L2 U2
B2 L2 F2 B' L2 U2 L'
B L2 F2 B' L2 R U2
B L2 F2 B' R L2 U2
F2 L2 B L2 U2 L' F'
F L2 B L R B2 R'
F L2 B L R' B2 R'
F L2 B L R2 B2 R'
F L2 B L B2 R' D
F L2 B L B2 R' D'
F L2 B L B2 R' D2
F L2 B L B2 D R'
F L2 B L B2 D' R'
F L2 B L B2 D2 R'
F L2 B R L B2 R'
F L2 B R' L B2 R'
F L2 B R2 L B2 R'
D2 L2 B' L2 R' F U2
D2 L2 B' L2 F R' U2
D2 L2 B' R' L2 F U2
B2 L2 B' L2 F2 R U2
B L2 B' L2 F2 U2 L
F L2 B' R D2 L2 R2
F L2 B' R D2 R2 L2
F L2 B' U2 L2 R' U2
F L2 B' U2 R' L2 U2
B2 L2 B' F2 L2 U2 L'
B L2 B' F2 L2 R U2
B L2 B' F2 R L2 U2
F' R L F2 R B L
F R L2 B L B2 R'
U' R U F2 U2 F' L'
F2 R U2 L F' L' F2
F2 R U2 L2 F' L' F
D2 R U2 F' L' F2 B2
D2 R U2 F' L' B2 F2
B' R U2 D2 F L2 B2
B' R U2 D2 F B2 L2
B' R U2 D2 B2 F L2
D2 R U2 F' B2 L' F2
B' R U2 F D2 L2 B'
F' R U2 F' L' F' B'
F' R U2 F' L' B' F'
B2 R U2 D2 F L' B2
B2 R U2 D2 F B2 L'
B2 R U2 D2 B2 F L'
B2 R U2 F L2 B' L
D2 R U2 B2 F' L' F2
F2 R U2 F' L F L2
F2 R U2 F2 L F L'
B R U2 D2 F L B2
B R U2 F L2 B' L'
F R U2 F R U2 R'
F2 R D R B U2 L
F2 R D R' U2 F' L'
D' R D F2 U2 F' L'
F2 R D B U2 L F
F2 R D B' R' U2 F'
F R D F U2 F' L'
F2 R D' R B U2 L
F2 R D' R' U2 F' L'
F2 R D' B U2 L F
F2 R D' B' R' U2 F'
F R D' F U2 F' L'
B' R D2 U2 F L2 B2
B' R D2 U2 F B2 L2
F2 R D2 R B U2 L
B' R D2 U2 B2 F L2
F2 R D2 R' U2 F' L'
D2 R D2 F2 U2 F' L'
B2 R D2 U2 F L' B2
B2 R D2 U2 F B2 L'
B2 R D2 U2 B2 F L'
B2 R D2 F L' B2 R'
B R D2 U2 F L B2
F2 R D2 B U2 L F
F2 R D2 B' R' U2 F'
F R D2 F U2 F' L'
B' R F R2 F U2 F'
U2 R F R' D2 L2 B'
F R F R2 B U2 L
F R F U2 L F' L'
F R F U2 L' F' L'
F R F U2 L2 F' L'
F R F U2 D F' L'
F R F U2 D' F' L'
F R F U2 D2 F' L'
F R F U2 F' L' D
F R F U2 F' L' D'
F R F U2 F' L' D2
F R F U2 F' D L'
F R F U2 F' D' L'
F R F U2 F' D2 L'
F R F D U2 F' L'
B' R F' R2 U2 F2 B
B' R F' R2 U2 B F2
F R F D' U2 F' L'
F R F D2 U2 F' L'
F R F B U2 L F'
F R F B U2 F' L
F' R F' U2 F' L' B'
B' R F2 R2 D B U2
B' R F2 R2 D' B U2
B' R F2 R2 D2 B U2
B' R F2 R2 B U2 D
B' R F2 R2 B U2 D'
B' R F2 R2 B U2 D2
B' R F2 R2 B D U2
B' R F2 R2 B D' U2
B' R F2 R2 B D2 U2
D2 R F2 U2 F' L' B2
D2 R F2 U2 F' B2 L'
D2 R F2 U2 B2 F' L'
B' R F2 U2 D2 L2 F'
B' R F2 U2 D2 F' L2
B' R F2 U2 F' D2 L2
B2 R F2 R2 B R' U2
B R F2 R U2 L F
B' R F2 D2 U2 L2 F'
B' R F2 D2 U2 F' L2
B' R F2 B R2 B U2
B' R F2 B' R2 B U2
B' R F2 B2 R2 B U2
B R F2 U2 L D F'
B R F2 U2 L D' F'
B R F2 U2 L D2 F'
B R F2 U2 L F' D
B R F2 U2 L F' D'
B R F2 U2 L F' D2
B R F2 U2 L' F' L2
B R F2 U2 D L F'
B R F2 U2 D F' L
B R F2 U2 D' L F'
B R F2 U2 D' F' L
B R F2 U2 D2 L F'
B R F2 U2 D2 F' L
B R F2 U2 F L F2
B R F2 U2 F' L D
B R F2 U2 F' L D'
B R F2 U2 F' L D2
B R F2 U2 F' D L
B R F2 U2 F' D' L
B R F2 U2 F' D2 L
F' R B L F2 R B
B2 R F2 B' U2 L F'
B2 R F2 B' U2 F' L
B R F2 D U2 L F'
B R F2 D U2 F' L
B2 R F2 B2 U2 F' L'
B R F2 D' U2 L F'
B R F2 D' U2 F' L
B R F2 D2 U2 L F'
B R F2 D2 U2 F' L
B' R B R2 F2 U2 F'
B R F2 B' U2 F' L'
D2 R B U2 F L B
B2 R B R' F2 U2 F'
F2 R B R' U2 L F'
F2 R B R' U2 F' L
F2 R B U2 L D F
F2 R B U2 L D' F
F2 R B U2 L D2 F
F2 R B U2 L F D
F2 R B U2 L F D'
F2 R B U2 L F D2
F2 R B U2 D L F
F2 R B U2 D' L F
F2 R B U2 D2 L F
F2 R B U2 F L F
F2 R B U2 F' L F
F2 R B U2 F2 L F
F2 R B D U2 L F
B' R B F2 R2 B U2
F2 R B D' U2 L F
F2 R B D2 U2 L F
D2 R B' R' U2 F B'
D2 R B' R' U2 B' F
F' R B' R' F' U2 F'
B' R B' R2 F2 U2 F'
F2 R B' R B R2 U2
F2 R B' R' U2 D F'
F2 R B' R' U2 D' F'
F2 R B' R' U2 D2 F'
F2 R B' R' U2 F' D
F2 R B' R' U2 F' D'
F2 R B' R' U2 F' D2
F2 R B' R' D U2 F'
F2 R B' R' D' U2 F'
F2 R B' R' D2 U2 F'
F2 R B' R' B U2 F'
F2 R B' R' B' U2 F'
F R B F U2 L F'
F2 R B' R' B2 U2 F'
F R B F U2 F' L
F2 R B' D R' U2 F'
B' R B' F2 R2 B U2
F2 R B' D' R' U2 F'
F2 R B' D2 R' U2 F'
F R B' R' F U2 F'
B2 R B' F2 U2 L F'
B2 R B' F2 U2 F' L
B' R B2 R2 F2 U2 F'
B R B' F2 U2 F' L'
F2 R B2 R B R' U2
B R B2 R' F2 U2 F'
B' R B2 F2 R2 B U2
B2 R B2 F2 U2 F' L'
B' R' L' F2 L U2 F
B' R' L2 F2 L2 U2 F
B' R' L2 F2 B' L2 U2
B' R' L2 B' L2 F2 U2
B' R' L2 B' F2 L2 U2
F R' L2 B L B2 R'
U' R' U F2 U2 F' L'
B' R' U' D R2 U' F
U R' U F D' L2 B'
B' R' U2 D F D B2
B' R' U2 D' F D' B2
F2 R' U2 R F' L' R'
F2 R' U2 R F' R' L'
B' R' U2 D2 F B2 D
B' R' U2 D2 F B2 D'
B' R' U2 D2 F B2 D2
D2 R' U2 F' L' F2 B2
D2 R' U2 F' L' B2 F2
B' R' U2 D2 B2 D F
B' R' U2 D2 B2 D' F
B' R' U2 D2 B2 D2 F
B' R' U2 D2 B2 F D
B' R' U2 D2 B2 F D'
B' R' U2 D2 B2 F D2
B' R' U2 F L2 B' L2
B' R' U2 F U2 F U2
D2 R' U2 F' B2 L' F2
B2 R' U2 D2 F L' B2
B2 R' U2 D2 F B2 L'
B2 R' U2 D2 B2 F L'
B2 R' U2 F L2 B' L
B' R' U2 B D2 F B2
B' R' U2 B D2 B2 F
F2 R' U2 D2 F' L' F
D2 R' U2 B2 F' L' F2
B' R' U2 B' D2 F B2
B' R' U2 B' D2 B2 F
B' R' U2 B2 D2 F B2
B' R' U2 B2 D2 B2 F
F2 R' U2 F' D2 L' F
B R' U2 D2 F L B2
B R' U2 F L2 B' L'
F R' U2 F R U2 R'
B' R' D U' R2 U' F
B' R' D U2 F D B2
D' R' D F2 U2 F' L'
F R' D F U2 F' L'
B' R' D' U2 F D' B2
F R' D' F U2 F' L'
B' R' D2 U2 F B2 D
B' R' D2 U2 F B2 D'
B' R' D2 U2 F B2 D2
B' R' D2 U2 B2 D F
B' R' D2 U2 B2 D' F
B' R' D2 U2 B2 D2 F
B' R' D2 U2 B2 F D
B' R' D2 U2 B2 F D'
B' R' D2 U2 B2 F D2
U R' D' F' L2 U F2
D2 R' D2 F2 U2 F' L'
B' R' D2 F' U2 F2 B2
B' R' D2 F' U2 B2 F2
B' R' D2 F2 U2 F' B2
B' R' D2 F2 U2 B2 F'
B2 R' D2 U2 F L' B2
B2 R' D2 U2 F B2 L'
B2 R' D2 U2 B2 F L'
B' R' D2 B U2 F B
B2 R' D2 F L' B2 R'
B' R' D2 B U2 B F
F2 R' D2 U2 F' L' F
B' R' D2 B' U2 F B'
B' R' D2 B' U2 B' F
B R' D2 U2 F L B2
F R' D2 F U2 F' L'
U R' D2 F' U F2 B2
U R' D2 F' U B2 F2
B' R' F D F U2 F'
B' R' F D' F U2 F'
B' R' F D2 F U2 F'
F R' F R2 B U2 L
F R' F U2 L F' L'
F R' F U2 L' F' L'
F R' F U2 L2 F' L'
F R' F U2 D F' L'
F R' F U2 D' F' L'
F R' F U2 D2 F' L'
F R' F U2 F' L' D
F R' F U2 F' L' D'
F R' F U2 F' L' D2
F R' F U2 F' D L'
F R' F U2 F' D' L'
F R' F U2 F' D2 L'
F R' F D U2 F' L'
F R' F D' U2 F' L'
F R' F D2 U2 F' L'
F R' F B U2 L F'
F R' F B U2 F' L
B' R' F' D2 F' B2 U2
B' R' F' D2 B2 F' U2
U R' F' R2 U F2 B
U R' F' R2 U B F2
B' R' F2 R2 B R2 U2
D2 R' F2 U2 F' L' B2
D2 R' F2 U2 F' B2 L'
B' R' F2 U' L U' F'
B' R' F2 U' L' U' F'
B' R' F2 U' L2 U' F'
D2 R' F2 U2 B2 F' L'
U R' F' U' F' U2 F'
B' R' F2 U2 L' F' L
B' R' F2 U2 L2 F' L2
B' R' F2 U2 D F' D
B' R' F2 U2 D F' D'
B' R' F2 U2 D F' D2
B' R' F2 U2 D' F' D
B' R' F2 U2 D' F' D'
B' R' F2 U2 D' F' D2
B' R' F2 U2 D2 F' D
B' R' F2 U2 D2 F' D'
B' R' F2 U2 D2 F' D2
B' R' F2 U2 F2 D F
B' R' F2 U2 F2 D' F
B' R' F2 U2 F2 D2 F
U R' F' D R2 U B
B2 R' F2 R2 B R' U2
B' R' F2 D U2 F' D
B' R' F2 D U2 F' D'
B' R' F2 D U2 F' D2
B' R' F2 D B U2 F'
B' R' F2 D B' U2 F'
B' R' F2 D B2 U2 F'
B' R' F2 D' U2 F' D
B' R' F2 D' U2 F' D'
B' R' F2 D' U2 F' D2
B' R' F2 D' B U2 F'
B' R' F2 D' B' U2 F'
B' R' F2 D' B2 U2 F'
B' R' F2 D2 U2 F' D
B' R' F2 D2 U2 F' D'
B' R' F2 D2 U2 F' D2
B' R' F2 D2 B U2 F'
B' R' F2 D2 B' U2 F'
B' R' F2 D2 B2 U2 F'
B R' F2 R U2 L F
B' R' F2 B U2 D F'
B' R' F2 B U2 D' F'
B' R' F2 B U2 D2 F'
B' R' F2 B U2 F' D
B' R' F2 B U2 F' D'
B' R' F2 B U2 F' D2
B' R' F2 B D U2 F'
B' R' F2 B D' U2 F'
B' R' F2 B D2 U2 F'
B' R' F2 B' U2 D F'
B' R' F2 B' U2 D' F'
B' R' F2 B' U2 D2 F'
B' R' F2 B' U2 F' D
B' R' F2 B' U2 F' D'
B' R' F2 B' U2 F' D2
B' R' F2 B' D U2 F'
B' R' F2 B' D' U2 F'
B' R' F2 B' D2 U2 F'
B' R' F2 B2 U2 D F'
B' R' F2 B2 U2 D' F'
B' R' F2 B2 U2 D2 F'
B' R' F2 B2 U2 F' D
B' R' F2 B2 U2 F' D'
B' R' F2 B2 U2 F' D2
B' R' F2 B2 D U2 F'
B' R' F2 B2 D' U2 F'
B' R' F2 B2 D2 U2 F'
B2 R' F2 B' U2 L F'
B2 R' F2 B' U2 F' L
B R' F2 U2 L D F'
B R' F2 U2 L D' F'
B R' F2 U2 L D2 F'
B R' F2 U2 L F' D
B R' F2 U2 L F' D'
B R' F2 U2 L F' D2
B R' F2 U2 L' F' L2
B R' F2 U2 D L F'
B R' F2 U2 D F' L
B R' F2 U2 D' L F'
B R' F2 U2 D' F' L
B R' F2 U2 D2 L F'
B R' F2 U2 D2 F' L
B R' F2 U2 F L F2
B2 R' F2 B2 U2 F' L'
B R' F2 U2 F' L D
B R' F2 U2 F' L D'
B R' F2 U2 F' L D2
B R' F2 U2 F' D L
B R' F2 U2 F' D' L
B R' F2 U2 F' D2 L
B R' F2 D U2 L F'
B R' F2 D U2 F' L
B R' F2 D' U2 L F'
B R' F2 D' U2 F' L
B R' F2 D2 U2 L F'
B R' F2 D2 U2 F' L
D2 R' B U2 F L B
F2 R' B R U2 L F'
F2 R' B R U2 F' L
B R' F2 B' U2 F' L'
B2 R' B R' F2 U2 F'
B' R' B U2 D2 F B2
B' R' B U2 D2 B2 F
F2 R' B R2 U2 L F
B' R' B D2 U2 F B2
B' R' B D2 U2 B2 F
B' R' B F2 U2 D F'
B' R' B F2 U2 D' F'
B' R' B F2 U2 D2 F'
B' R' B F2 U2 F' D
B' R' B F2 U2 F' D'
B' R' B F2 U2 F' D2
