F2 U' L' R' F2 B'
F2 U' L' R' B' F2
F2 U' L' F2 R' B'
F2 U' R' L' F2 B'
F2 U' R' L' B' F2
R2 B2 R D L B'
R2 B2 D L R B'
R2 B2 D L B' R
R2 B2 D R L B'
D' F2 U' L' R' B' F2
D2 F2 U' L' F2 R' B'
D' F2 U' L' F2 R' B'
L' F2 U' L' R' F2 B'
L' F2 U' L' R' B' F2
B2 D' B2 R' D2 L2 B
B2 D' B2 R' D2 B L2
D2 F2 U' R' L' F2 B'
D2 F2 U' R' L' B' F2
B2 D' B2 R' B D2 L2
L' F2 U' L' F2 R' B'
D' F2 U' R' L' F2 B'
D' F2 U' R' L' B' F2
L' F2 U' R' L' F2 B'
L' F2 U' R' L' B' F2
L2 F2 U' L' R' F2 B'
L2 F2 U' L' R' B' F2
L2 F2 U' L' F2 R' B'
L2 F2 U' R' L' F2 B'
L2 F2 U' R' L' B' F2
D F2 U' L' R' F2 B'
D F2 U' L' R' B' F2
D F2 U' L' F2 R' B'
D F2 U' R' L' F2 B'
D F2 U' R' L' B' F2
U2 F2 U2 L' D R' B
L F2 U' L' R' F2 B'
L F2 U' L' R' B' F2
L F2 U' L' F2 R' B'
U2 F2 U2 D L' R' B
U2 F2 U2 D R' L' B
U2 F2 U2 D R' B L'
L F2 U' R' L' F2 B'
L F2 U' R' L' B' F2
U2 F2 D U2 L' R' B
U2 F2 D U2 R' L' B
U2 F2 D U2 R' B L'
R' B L D2 L2 D' B2
R' B L' D' B2 D' L2
R' B L' D2 L2 D B2
R2 B R U' L F U
R2 B R B D L B'
R' B U D B2 R' U'
R' B U' L U D2 L2
R' B U' L U' R2 U2
R' B U' L D' F2 U
R' B U' L D2 U L2
R' B U' D' L F2 U
R' B U' D' F2 L U
R' B U' D2 L U L
R' B U2 R2 U L U
R' B D U B2 R' U'
R' B D' L' D' L2 B2
R' B D' L' D' B2 L2
R' B D' U' L F2 U
R' B D' U' F2 L U
R' B D2 L' D' L' B2
R' B D2 L' D' B2 L'
R' B D2 L2 U' L' U
R' B D2 U' L U L
R2 B' R B D B2 L
R2 B' R B' L D B2
R2 B' R B' D L B2
R B' R D B2 L R
R B' R D B2 R L
R' B' U R' U R' U2
R' B' U R' B2 U' L
R' B' U D R' B2 U'
R' B' U D2 R' U' L2
R' B' U2 R2 U' R U'
R' B' D U R' B2 U'
R' B' D2 L2 U R' U'
R' B' D2 U R' U' L2
R2 B2 L R2 D' R' B
R2 B2 L D' R' B R2
R2 B2 L B R D B2
R2 B2 R D L D B'
R2 B2 R D L D' B'
R2 B2 R D L D2 B'
R2 B2 R D L B' D
R2 B2 R D L B' D'
R2 B2 R D L B' D2
R2 B2 R2 L D' R' B
R2 B2 R2 D L R' B'
R2 B2 R2 D R' L B'
R2 B2 R2 D' L R' B
R2 B2 R2 D' R' L B
R' B2 D L D B' L2
R' B2 D L' D L2 B'
R2 B2 D L R D B'
R2 B2 D L R D' B'
R2 B2 D L R D2 B'
R2 B2 D L R B' D
R2 B2 D L R B' D'
R2 B2 D L R B' D2
R2 B2 D L R' B' R2
R2 B2 D L D R B'
R2 B2 D L D B' R
R2 B2 D L D' R B'
R2 B2 D L D' B' R
R2 B2 D L D2 R B'
R2 B2 D L D2 B' R
R2 B2 D L B R B2
R2 B2 D L B' R D
R2 B2 D L B' R D'
R2 B2 D L B' R D2
R2 B2 D L B' D R
R2 B2 D L B' D' R
R2 B2 D L B' D2 R
R2 B2 D R L D B'
R2 B2 D R L D' B'
R2 B2 D R L D2 B'
R2 B2 D R L B' D
R2 B2 D R L B' D'
R2 B2 D R L B' D2
R2 B2 D R' L B' R2
R' B2 D2 L D' L B'
R2 B2 D' L R' B R2
R2 B2 D' R' L B R2
R2 B2 D2 R D' L B'
