U L' B U2 B2
U B L' U2 B'
U L F L2 B U2
U L F B L2 U2
U L B L2 U2 B'
U L B F L2 U2
U L' U2 B' D2 F2
U L' U2 B' D2 F2
U L' D B U2 B2
U L' D' B U2 B2
U L' D2 B U2 B2
U L' F B U2 B2
U L' F' B U2 B2
U L' F2 B U2 B2
U L' B U2 B2 D
U L' B U2 B2 D'
U L' B U2 B2 D2
U L' B D2 F2 U2
U L' B F U2 B2
U L' B F' U2 B2
U L' B F2 U2 B2
L2 U L F B U2
L2 U L B F U2
R2 U L' U2 F' B'
R2 U L' U2 B' F'
F R F U' R F'
U' R F2 B R F'
U' R B F2 R F'
R2 U' F2 R F B
R2 U' F2 R B F
R U' F2 R F' B
R U' F2 R B F'
D2 U L' B U2 B2
D' U L' B U2 B2
U D L' B U2 B2
D U L' B U2 B2
D2 U B L' U2 B'
D' U B L' U2 B'
D U B L' U2 B'
U D B L' U2 B'
U D' L' B U2 B2
U D' B L' U2 B'
U D2 L' B U2 B2
U D2 B L' U2 B'
U' F2 R2 F' R' B
U F2 B U2 R B
U B L F L2 U2
U B L' U2 D B'
U B L' U2 D' B'
U B L' U2 D2 B'
U B L' U2 B' D
U B L' U2 B' D'
U B L' U2 B' D2
U B L' D U2 B'
U B L' D' U2 B'
U B L' D2 U2 B'
U B L' F U2 B'
U B L' F' U2 B'
U B L' F2 U2 B'
U B D L' U2 B'
U B D' L' U2 B'
U B D2 L' U2 B'
U B F2 U2 R B
U B' L' B2 U2 B
U' B' D2 F2 R B
U L' F B U2 B2 D
U L' F B U2 B2 D'
U L' F B U2 B2 D2
U L' F B D2 F2 U2
B L' F' U L' F U
U L' F' U2 B' D2 F2
U L' F' D B U2 B2
U L' F' D' B U2 B2
U L' F' D2 B U2 B2
U L' F' B U2 B2 D
U L' F' B U2 B2 D'
U L' F' B U2 B2 D2
U L' F' B D2 F2 U2
U L' F2 U2 B' D2 F2
U L' F2 D B U2 B2
U L' F2 D' B U2 B2
U L' F2 D2 B U2 B2
U L' F2 B U2 B2 D
U L' F2 B U2 B2 D'
U L' F2 B U2 B2 D2
U L' F2 B D2 F2 U2
U2 L' B U L U L'
U L' B L' U2 B2 R'
U' L' B U2 L' B' L
U L' B R U2 B2 L
U L' B U L U B2
U L' B U L' U B2
U L' B U L2 U B2
U L' B U D L2 U
U L' B U' R U' B2
U L' B U' R' U' B2
U L' B U' R2 U' B2
U L' B U' D' R2 U'
U L' B U2 L B2 L'
U L' B U2 L2 B2 L2
U L' B U2 R' B2 R
U L' B U2 R2 B2 R2
U L' B U2 B D B
U L' B U2 B D' B
U L' B U2 B D2 B
U L' B U2 B' D B'
U L' B U2 B' D' B'
U L' B U2 B' D2 B'
U L' B D U L2 U
U L' B D' U' R2 U'
U L' B D2 F2 U2 D
U L' B D2 F2 U2 D'
U L' B D2 F2 U2 D2
U L' B D2 F2 D U2
U L' B D2 F2 D' U2
U L' B D2 F2 D2 U2
U L' B F U2 B2 D
U L' B F U2 B2 D'
U L' B F U2 B2 D2
U L' B F D2 F2 U2
U L' B F' U2 B2 D
U L' B F' U2 B2 D'
U L' B F' U2 B2 D2
U L' B F' D2 F2 U2
U L' B F2 U2 B2 D
U L' B F2 U2 B2 D'
U L' B F2 U2 B2 D2
U L' B F2 D2 F2 U2
U' L' B2 R' F' B' U2
U' L' B2 R' B' F' U2
U L' B2 U2 B D2 F2
U L' B2 D B' U2 B2
U L' B2 D' B' U2 B2
U L' B2 D2 B' U2 B2
F L2 R F U' R F'
D2 L2 U L F B U2
D2 L2 U L B F U2
D' L2 U L F B U2
D' L2 U L B F U2
D L2 U L F B U2
D L2 U L B F U2
U2 L2 U' L F B U2
U2 L2 U' L B F U2
L2 U L D F B U2
L2 U L D B F U2
L2 U L D' F B U2
L2 U L D' B F U2
L2 U L D2 F B U2
L2 U L D2 B F U2
L2 U L F D B U2
L2 U L F D' B U2
L2 U L F D2 B U2
L2 U L F B U2 D
L2 U L F B U2 D'
L2 U L F B U2 D2
L2 U L F B D U2
L2 U L F B D' U2
L2 U L F B D2 U2
R2 U L F L2 U2 F2
L U L F L B U2
L2 U L B D F U2
L2 U L B D' F U2
L2 U L B D2 F U2
L2 U L B F U2 D
L2 U L B F U2 D'
L2 U L B F U2 D2
L2 U L B F D U2
L2 U L B F D' U2
L2 U L B F D2 U2
R2 U L' U2 D F' B'
R2 U L' U2 D B' F'
R2 U L' U2 D' F' B'
R2 U L' U2 D' B' F'
R2 U L' U2 D2 F' B'
R2 U L' U2 D2 B' F'
R2 U L' U2 F' D B'
R2 U L' U2 F' D' B'
R2 U L' U2 F' D2 B'
R2 U L' U2 F' B' D
R2 U L' U2 F' B' D'
R2 U L' U2 F' B' D2
R2 U L' U2 B' D F'
R2 U L' U2 B' D' F'
R2 U L' U2 B' D2 F'
R2 U L' U2 B' F' D
R2 U L' U2 B' F' D'
R2 U L' U2 B' F' D2
R2 U L' D U2 F' B'
R2 U L' D U2 B' F'
R2 U L' D' U2 F' B'
R2 U L' D' U2 B' F'
R2 U L' D2 U2 F' B'
R2 U L' D2 U2 B' F'
R2 U L' F U2 F2 B'
R2 U L' F U2 B' F2
L2 U L' B L2 U2 B2
R2 U L' F2 U2 F B'
R2 U L' F2 U2 B' F
R2 U L' B U2 F' B2
R2 U L' B U2 B2 F'
U L2 F L B U2 B2
L U L' B L' U2 B2
R2 U L' B2 U2 F' B
R2 U L' B2 U2 B F'
L2 U L2 B L' F U2
U L2 F' L B U2 B2
U L2 F2 L B U2 B2
L2 U D L F B U2
L2 U D L B F U2
R2 U D L' U2 F' B'
R2 U D L' U2 B' F'
L2 U D' L F B U2
L2 U D' L B F U2
R2 U D' L' U2 F' B'
R2 U D' L' U2 B' F'
L2 U D2 L F B U2
L2 U D2 L B F U2
R2 U D2 L' U2 F' B'
R2 U D2 L' U2 B' F'
R U D2 L' U2 F B'
R U D2 L' U2 B' F
F R L F U' R F'
L2 U F L F B U2
L2 U F L B F U2
F R L' F U' R F'
L2 U F' L F B U2
L2 U F' L B F U2
F R L2 F U' R F'
L2 U F2 L F B U2
L2 U F2 L B F U2
U2 R U F2 R F' B
U2 R U F2 R B F'
R2 U F2 U2 R F B
R2 U F2 U2 R B F
D2 R U' F2 R F' B
D2 R U' F2 R B F'
D' R U' F2 R F' B
D' R U' F2 R B F'
R U F2 U2 R F' B
R U F2 U2 R B F'
R2 U B L' U2 F' B'
R2 U B L' U2 B' F'
D R U' F2 R F' B
D R U' F2 R B F'
L U B L F L U2
L2 U B U2 R B R'
R2 U B' L' U2 F' B'
R2 U B' L' U2 B' F'
R2 U B2 L' U2 F' B'
R2 U B2 L' U2 B' F'
F R D' F L' U' R
L2 U' L B U2 L' B'
F R F L U' R F'
F R F L' U' R F'
F R F L2 U' R F'
F R F U' R D F'
F R F U' R D' F'
F R F U' R D2 F'
F R F U' R F' D
F R F U' R F' D'
F R F U' R F' D2
F2 R F' R U' F' R'
U' R F' B R F' R
F R F' U' F2 R F'
U' R F2 B R D F'
U' R F2 B R D' F'
U' R F2 B R D2 F'
U' R F2 B R F' D
U' R F2 B R F' D'
U' R F2 B R F' D2
U' R F2 B' R F' B2
U' R F2 B' R B2 F'
U' R F2 B2 R F' B'
U' R F2 B2 R B' F'
R U' R F' D2 B R'
R U' R F2 B R F
R U' R B F2 R F
F R F2 U' R F' R
F R F2 U' F' R F'
U' R B R F2 R F
U' R B F' R F' R
U' R B F2 R D F'
U' R B F2 R D' F'
U' R B F2 R D2 F'
U' R B F2 R F' D
U' R B F2 R F' D'
U' R B F2 R F' D2
L2 U' R2 F' B2 R' B
L2 U' R2 B2 F' R' B
U' R B' F2 R F' B2
U' R B' F2 R B2 F'
R2 U' D F2 R F B
R2 U' D F2 R B F
U' R B2 F2 R F' B'
U' R B2 F2 R B' F'
R2 U' D' F2 R F B
R2 U' D' F2 R B F
L U' D2 R B R F'
R2 U' D2 F2 R F B
R2 U' D2 F2 R B F
U' R' L' F' U2 L F
R2 U' F' R D2 B R'
R U' F' R F' B R
R U' F' R B F' R
R2 U' F' D2 R B R'
R2 U' F2 R D F B
R2 U' F2 R D B F
R2 U' F2 R D' F B
R2 U' F2 R D' B F
R2 U' F2 R D2 F B
R2 U' F2 R D2 B F
R2 U' F2 R F D B
R2 U' F2 R F D' B
R2 U' F2 R F D2 B
R2 U' F2 R F B D
R2 U' F2 R F B D'
R2 U' F2 R F B D2
R2 U' F2 R B D F
R2 U' F2 R B D' F
R2 U' F2 R B D2 F
R2 U' F2 R B F D
R2 U' F2 R B F D'
R2 U' F2 R B F D2
R2 U' F2 R2 F R' B
R U' F2 R D F' B
R U' F2 R D B F'
R U' F2 R D' F' B
R U' F2 R D' B F'
R U' F2 R D2 F' B
R U' F2 R D2 B F'
R U' F2 R F' D B
R U' F2 R F' D' B
R U' F2 R F' D2 B
R U' F2 R F' B D
R U' F2 R F' B D'
R U' F2 R F' B D2
R2 U' F2 D R F B
R2 U' F2 D R B F
R U' F2 R B D F'
R U' F2 R B D' F'
R U' F2 R B D2 F'
R U' F2 R B F' D
R U' F2 R B F' D'
R U' F2 R B F' D2
R2 U' F2 D' R F B
R2 U' F2 D' R B F
R2 U' F2 D2 R F B
R2 U' F2 D2 R B F
R2 U' F2 B R F B
R2 U' F2 B R B F
R2 U' F2 B' R F B
R2 U' F2 B' R B F
R2 U' F2 B2 R F B
R2 U' F2 B2 R B F
U' R' U2 L' F' B' U2
U' R' U2 L' B' F' U2
R U' F2 B R F' B
R U' F2 B R B F'
R U' F2 B' R F' B
R U' F2 B' R B F'
R U' F2 B2 R F' B
R U' F2 B2 R B F'
R2 U' B F2 R F B
R2 U' B F2 R B F
R U' B F2 R F' B
R U' B F2 R B F'
R2 U' B' F2 R F B
R2 U' B' F2 R B F
R U' B' F2 R F' B
R U' B' F2 R B F'
R2 U' B2 F2 R F B
R2 U' B2 F2 R B F
R U' B2 F2 R F' B
R U' B2 F2 R B F'
D2 R2 U L' U2 F' B'
D2 R2 U L' U2 B' F'
D' R2 U L' U2 F' B'
D' R2 U L' U2 B' F'
D R2 U L' U2 F' B'
D R2 U L' U2 B' F'
U2 R2 U F2 R F B
U2 R2 U F2 R B F
U2 R2 U' L' U2 F' B'
U2 R2 U' L' U2 B' F'
D2 R2 U' F2 R F B
D2 R2 U' F2 R B F
D' R2 U' F2 R F B
D' R2 U' F2 R B F
F2 R2 U' D F' R' B
F2 R2 U' F' R' D B2
F' R2 U2 L' U F' R
D R2 U' F2 R F B
D R2 U' F2 R B F
F2 R2 D U' F' R' B
F' R2 F U' F2 R B
U' R2 F' R' D2 B R'
F R2 F R' U' R2 F2
F R2 F R' U' F2 R2
U' R2 F2 R F D2 B2
U' R2 F2 R' F B R2
U' R2 F2 R' B R2 F
U' R2 F2 R' B F R2
L2 D U L F B U2
L2 D U L B F U2
R2 D U L' U2 F' B'
R2 D U L' U2 B' F'
D' U L F L2 B U2
D2 U L F L2 B U2
D' U L F B L2 U2
D2 U L F B L2 U2
R2 D U' F2 R F B
R2 D U' F2 R B F
D' U L B L2 U2 B'
D2 U L B L2 U2 B'
D' U L B F L2 U2
D2 U L B F L2 U2
D' U L' U2 B' D2 F2
D2 U L' U2 B' D2 F2
D' U L' D B U2 B2
D2 U L' D B U2 B2
D' U L' D' B U2 B2
D2 U L' D' B U2 B2
D U L F L2 B U2
D' U L' D2 B U2 B2
D U L F B L2 U2
D2 U L' D2 B U2 B2
D' U L' F B U2 B2
D2 U L' F B U2 B2
D' U L' F' B U2 B2
D2 U L' F' B U2 B2
D U L B L2 U2 B'
D' U L' F2 B U2 B2
D U L B F L2 U2
D2 U L' F2 B U2 B2
D' U L' B U2 B2 D
D' U L' B U2 B2 D'
D' U L' B U2 B2 D2
D' U L' B D2 F2 U2
D' U L' B F U2 B2
D' U L' B F' U2 B2
D2 U L' B U2 B2 D
D2 U L' B U2 B2 D'
D2 U L' B U2 B2 D2
D' U L' B F2 U2 B2
D2 U L' B D2 F2 U2
D2 U L' B F U2 B2
D2 U L' B F' U2 B2
D2 U L' B F2 U2 B2
U D L F L2 B U2
U D L F B L2 U2
U D L B L2 U2 B'
U D L B F L2 U2
D U L' U2 B' D2 F2
D U L' D B U2 B2
D U L' D' B U2 B2
D U L' D2 B U2 B2
D U L' F B U2 B2
D U L' F' B U2 B2
D U L' F2 B U2 B2
U D L' U2 B' D2 F2
D U L' B U2 B2 D
D U L' B U2 B2 D'
D U L' B U2 B2 D2
D U L' B D2 F2 U2
D U L' B F U2 B2
D U L' B F' U2 B2
D U L' B F2 U2 B2
U D L' D B U2 B2
U D L' D' B U2 B2
U D L' D2 B U2 B2
U D L' F B U2 B2
U D L' F' B U2 B2
U D L' F2 B U2 B2
U D L' B U2 B2 D
U D L' B U2 B2 D'
U D L' B U2 B2 D2
U D L' B D2 F2 U2
U D L' B F U2 B2
U D L' B F' U2 B2
U D L' B F2 U2 B2
U' D R F2 B R F'
U' D R B F2 R F'
U' D F2 R2 F' R' B
D' U F2 B U2 R B
D2 U F2 B U2 R B
D' U B L F L2 U2
D' U B L' U2 D B'
D' U B L' U2 D' B'
D' U B L' U2 D2 B'
D' U B L' U2 B' D
D' U B L' U2 B' D'
D' U B L' U2 B' D2
D' U B L' D U2 B'
D' U B L' D' U2 B'
D' U B L' D2 U2 B'
D' U B L' F U2 B'
D' U B L' F' U2 B'
D' U B L' F2 U2 B'
D2 U B L F L2 U2
D2 U B L' U2 D B'
D2 U B L' U2 D' B'
D2 U B L' U2 D2 B'
D2 U B L' U2 B' D
D2 U B L' U2 B' D'
D2 U B L' U2 B' D2
D2 U B L' D U2 B'
D2 U B L' D' U2 B'
D2 U B L' D2 U2 B'
D2 U B L' F U2 B'
D2 U B L' F' U2 B'
D2 U B L' F2 U2 B'
D' U B D L' U2 B'
D' U B D' L' U2 B'
D2 U B D L' U2 B'
D' U B D2 L' U2 B'
D2 U B D' L' U2 B'
D2 U B D2 L' U2 B'
D U F2 B U2 R B
D' U B F2 U2 R B
D U B L F L2 U2
D2 U B F2 U2 R B
D U B L' U2 D B'
D U B L' U2 D' B'
D U B L' U2 D2 B'
D U B L' U2 B' D
D U B L' U2 B' D'
D U B L' U2 B' D2
D U B L' D U2 B'
D U B L' D' U2 B'
D U B L' D2 U2 B'
D U B L' F U2 B'
D U B L' F' U2 B'
D U B L' F2 U2 B'
D' U B' L' B2 U2 B
D2 U B' L' B2 U2 B
U D F2 B U2 R B
U D B L F L2 U2
U D B L' U2 D B'
U D B L' U2 D' B'
U D B L' U2 D2 B'
U D B L' U2 B' D
U D B L' U2 B' D'
U D B L' U2 B' D2
U D B L' D U2 B'
U D B L' D' U2 B'
U D B L' D2 U2 B'
U D B L' F U2 B'
U D B L' F' U2 B'
U D B L' F2 U2 B'
D U B D L' U2 B'
D U B D' L' U2 B'
D U B D2 L' U2 B'
U' D B' D2 F2 R B
D U B F2 U2 R B
U D B D L' U2 B'
U D B D' L' U2 B'
D U B' L' B2 U2 B
U D B D2 L' U2 B'
U D B F2 U2 R B
U D B' L' B2 U2 B
L2 D' U L F B U2
L2 D' U L B F U2
R2 D' U L' U2 F' B'
R2 D' U L' U2 B' F'
U D' L F L2 B U2
U D' L F B L2 U2
U D' L B L2 U2 B'
U D' L B F L2 U2
U D' L' U2 B' D2 F2
U D' L' D B U2 B2
U D' L' D' B U2 B2
U D' L' D2 B U2 B2
U D' L' F B U2 B2
U D' L' F' B U2 B2
U D' L' F2 B U2 B2
R2 D' U' F2 R F B
R2 D' U' F2 R B F
U D' L' B U2 B2 D
U D' L' B U2 B2 D'
U D' L' B U2 B2 D2
U D' L' B D2 F2 U2
U D' L' B F U2 B2
U D' L' B F' U2 B2
U D' L' B F2 U2 B2
U' D' R F2 B R F'
D' U' R F2 B R F'
U' D' R B F2 R F'
D' U' R B F2 R F'
D2 U' R F2 B R F'
D2 U' R B F2 R F'
D U' R F2 B R F'
D U' R B F2 R F'
U' D' F2 R2 F' R' B
D' U' F2 R2 F' R' B
D2 U' F2 R2 F' R' B
F2 U' R2 D F' R' B
F2 U' R2 F' R' D B2
D U' F2 R2 F' R' B
U D' F2 B U2 R B
U D' B L F L2 U2
U D' B L' U2 D B'
U D' B L' U2 D' B'
U D' B L' U2 D2 B'
U D' B L' U2 B' D
U D' B L' U2 B' D'
U D' B L' U2 B' D2
U D' B L' D U2 B'
U D' B L' D' U2 B'
U' D' B' D2 F2 R B
U D' B L' D2 U2 B'
U D' B L' F U2 B'
D' U' B' D2 F2 R B
U D' B L' F' U2 B'
U D' B L' F2 U2 B'
D2 U' B' D2 F2 R B
U D' B D L' U2 B'
U D' B D' L' U2 B'
U D' B D2 L' U2 B'
U D' B F2 U2 R B
U D' B' L' B2 U2 B
D U' B' D2 F2 R B
U D2 L F L2 B U2
U D2 L F B L2 U2
U D2 L B L2 U2 B'
U D2 L B F L2 U2
L D2 R U' R F' B
L D2 R U' R B F'
U D2 L' U2 B' D2 F2
U D2 L' D B U2 B2
U D2 L' D' B U2 B2
U D2 L' D2 B U2 B2
U D2 L' F B U2 B2
U D2 L' F' B U2 B2
U D2 L' F2 B U2 B2
U D2 L' B U2 B2 D
U D2 L' B U2 B2 D'
U D2 L' B U2 B2 D2
U D2 L' B D2 F2 U2
U D2 L' B F U2 B2
U D2 L' B F' U2 B2
U D2 L' B F2 U2 B2
U' D2 R F2 B R F'
U' D2 R B F2 R F'
L2 D2 U L F B U2
L2 D2 U L B F U2
R2 D2 U L' U2 F' B'
R2 D2 U L' U2 B' F'
R D2 U L' U2 F B'
R D2 U L' U2 B' F
R2 D2 U' F2 R F B
R2 D2 U' F2 R B F
L D2 U' R B R F'
F' U2 L' R2 U F' R
F' U2 L' U R2 F' R
L D2 F R U' R F'
U' D2 F2 R2 F' R' B
F' U2 R2 L' U F' R
U D2 F2 B U2 R B
U' D2 B' D2 F2 R B
U D2 B L F L2 U2
U D2 B L' U2 D B'
U D2 B L' U2 D' B'
U D2 B L' U2 D2 B'
U D2 B L' U2 B' D
U D2 B L' U2 B' D'
U D2 B L' U2 B' D2
U D2 B L' D U2 B'
U D2 B L' D' U2 B'
U D2 B L' D2 U2 B'
U D2 B L' F U2 B'
U D2 B L' F' U2 B'
U D2 B L' F2 U2 B'
U D2 B D L' U2 B'
U D2 B D' L' U2 B'
U D2 B D2 L' U2 B'
U D2 B F2 U2 R B
U D2 B' L' B2 U2 B
U F L F B U2 R
U F L B F U2 R
U' F R F B R F'
D' F R F U' R F'
D2 F R F U' R F'
U' F R B F R F'
R2 F R F U' R F
D F R F U' R F'
R F R F U' R F2
U' F U2 B L F U2
L' F B U' R B' U'
L' F B U' B' R U'
F D R F U' R F'
L F D2 R U' R F'
U F B L F U2 R
U F B L' U2 B' R'
U F' L F L' B U2
U F' L F B L' U2
U F' L B F L' U2
U' F' R F' B R F'
U' F' R B R F' R
U' F' R B F' R F'
U' F' R2 F' R' B R2
F D' R F U' R F'
U F' B L F L' U2
U' F2 R B R F' R'
U F2 L' B U2 R B2
U F2 L' B U2 B2 R
U' F2 R2 F R' F2 B
U' F2 R2 F R' B F2
U' F2 R2 F' R' D B
U' F2 R2 F' R' D' B
U' F2 R2 F' R' D2 B
U' F2 R2 F' R' B D
U' F2 R2 F' R' B D'
U' F2 R2 F' R' B D2
U' F2 R2 F2 R' F B
U' F2 R2 F2 R' B F
U' F2 U2 B U2 R B
U' F2 D R2 F' R' B
U' F2 D' R2 F' R' B
U F2 U2 R2 F' R' B
U' F2 D2 R2 F' R' B
U F2 D B U2 R B
U' F2 B' R D2 F2 B
U' F2 B' R D2 B F2
U F2 D' B U2 R B
F D2 R F U' R F'
U' F2 B' D2 R F2 B
U' F2 B' D2 R B F2
U' F2 B2 R B D2 F2
U F2 D2 B U2 R B
U F2 B L' U2 R B'
U F2 B L' U2 B' R
U F2 B U2 R D B
U F2 B U2 R D' B
U F2 B U2 R D2 B
U F2 B U2 R B D
U F2 B U2 R B D'
U F2 B U2 R B D2
U F2 B U2 D R B
U F2 B U2 D' R B
U F2 B U2 D2 R B
U F2 B U2 B R B
U F2 B U2 B' R B
U F2 B U2 B2 R B
U F2 B D U2 R B
U F2 B D' U2 R B
U F2 B D2 U2 R B
U' B L' R U2 L B
U' B L' R' F' U2 L
U' B L' U2 L' B' L2
U2 B L' U L2 U L2
U B L D2 F U2 R2
U B L F L2 U2 D
U B L F L2 U2 D'
U B L F L2 U2 D2
U B L F L2 D U2
U B L F L2 D' U2
U B L F L2 D2 U2
U B L F U2 D2 R2
U B L F D2 U2 R2
U B L F' L2 F2 U2
U' B R L' U2 L B
U B L F2 L2 F' U2
U B L' U' R U' B'
U B L' U' R' U' B'
U B L' U' R2 U' B'
U B L' U2 R' B' R
U B L' U2 R2 B' R2
U B L' U2 D B' D
U B L' U2 D B' D'
U B L' U2 D B' D2
U B L' U2 D' B' D
U B L' U2 D' B' D'
U B L' U2 D' B' D2
U B L' U2 D2 B' D
U B L' U2 D2 B' D'
U B L' U2 D2 B' D2
U B L' U2 B2 D B
U B L' U2 B2 D' B
U B L' U2 B2 D2 B
U B L' D U2 B' D
U B L' D U2 B' D'
U B L' D U2 B' D2
U B L' D F U2 B'
U B L' D F' U2 B'
U B L' D F2 U2 B'
U B L' D' U2 B' D
U B L' D' U2 B' D'
U B L' D' U2 B' D2
U B L' D' F U2 B'
U B L' D' F' U2 B'
U B L' D' F2 U2 B'
U B L' D2 U2 B' D
U B L' D2 U2 B' D'
U B L' D2 U2 B' D2
U B L' D2 F U2 B'
U B L' D2 F' U2 B'
U B L' D2 F2 U2 B'
U B L' F U2 D B'
U B L' F U2 D' B'
U B L' F U2 D2 B'
U B L' F U2 B' D
U B L' F U2 B' D'
U B L' F U2 B' D2
U B L' F D U2 B'
U B L' F D' U2 B'
U B L' F D2 U2 B'
U' B R' L' F' U2 L
U B L' F' U2 D B'
U B L' F' U2 D' B'
U B L' F' U2 D2 B'
U B L' F' U2 B' D
U B L' F' U2 B' D'
U B L' F' U2 B' D2
U B L' F' D U2 B'
U B L' F' D' U2 B'
U B L' F' D2 U2 B'
U B L' F2 U2 D B'
U B L' F2 U2 D' B'
U B L' F2 U2 D2 B'
U B L' F2 U2 B' D
U B L' F2 U2 B' D'
U B L' F2 U2 B' D2
U B L' F2 D U2 B'
U B L' F2 D' U2 B'
U B L' F2 D2 U2 B'
U B L2 F L U2 B'
U B L2 F' L U2 B'
U B L2 F2 L U2 B'
B' D2 B U' F2 R B
L' B U' R B' U' B2
L' B U' B' R U' B
U B U2 F2 R F2 B
U B U2 F2 R B F2
U B D L F L2 U2
U B D L' U2 D B'
U B D L' U2 D' B'
U B D L' U2 D2 B'
U B D L' U2 B' D
U B D L' U2 B' D'
U B D L' U2 B' D2
U B D L' D U2 B'
U B D L' D' U2 B'
U B D L' D2 U2 B'
U B D L' F U2 B'
U B D L' F' U2 B'
