F' L R F2 B2 U'
F' L R B2 F2 U'
F' L B2 R F2 U'
F L B2 U' D' B2
F L B2 U2 L2 U
F L B2 D' U' B2
F L B2 D2 R2 U'
F L2 B2 L' R' U'
F L2 B2 R' L' U'
F' R L F2 B2 U'
F' R L B2 F2 U'
F' R F2 L B2 U'
B2 F U2 L' R' U
B2 F U2 R' L' U
F B2 U2 L' R' U
F B2 U2 R' L' U
F L B2 U' D' B2 D
F L B2 U' D' B2 D'
F L B2 U' D' B2 D2
F L B2 U' B D' B2
F L B2 U' B' D' B2
F L B2 U' B2 D' B2
F L B2 U2 L2 U D
F L B2 U2 L2 U D'
F L B2 U2 L2 U D2
F L B2 U2 L2 D U
F L B2 U2 L2 D' U
F L B2 U2 L2 D2 U
F L B2 D U F2 U2
F L B2 D' R U' B2
F L B2 D' R' U' B2
F L B2 D' R2 U' B2
F2 L B2 F R F2 U'
F L B2 D' U' B2 D
F L B2 D' U' B2 D'
F L B2 D' U' B2 D2
F' L B2 F2 U2 L' U
F L B2 D2 R2 U' D
F L B2 D2 R2 U' D'
F L B2 D2 R2 U' D2
F L B2 D2 R2 D U'
F L B2 D2 R2 D' U'
F L B2 D2 R2 D2 U'
F2 L B2 F' U2 L' U
F' L' R F2 L2 B2 U'
F' L' R F2 B2 L2 U'
F' L' R B2 L2 F2 U'
F' L' R B2 F2 L2 U'
F2 L' F' L2 B2 R' U'
F' L' F2 L2 B2 R' U'
F' L' B2 L2 R F2 U'
F' L' B2 R L2 F2 U'
F' L' B2 R F2 L2 U'
F L' B2 L2 U' D' B2
F L' B2 L2 U2 L2 U
F L' B2 L2 D' U' B2
F L' B2 L2 D2 R2 U'
F' L2 R B2 L' F2 U'
F L2 R B2 L' R' U'
F L2 R B2 R' L' U'
F L2 R' B2 L' R' U'
F L2 R' B2 R' L' U'
F L2 R2 B2 L' R' U'
F L2 R2 B2 R' L' U'
B' L2 F B' L' R' U
B' L2 F B' R' L' U
D2 L2 F2 R B' L U
D2 L2 F2 B' L R U
D2 L2 F2 B' R L U
F L2 B L' B R' U'
B' L2 B' R' F L' U
D2 L2 B' F2 L R U
B' L2 B' F L' R' U
D2 L2 B' F2 R L U
B' L2 B' F R' L' U
F' L2 B2 L' R F2 U'
F' L2 B2 R L' F2 U'
F L2 B2 L' R' U' D
F L2 B2 L' R' U' D'
F L2 B2 L' R' U' D2
F L2 B2 L' R' D U'
F L2 B2 L' R' D' U'
F L2 B2 L' R' D2 U'
F L2 B2 L' D R' U'
F L2 B2 L' D' R' U'
F L2 B2 L' D2 R' U'
F L2 B2 R' L' U' D
F L2 B2 R' L' U' D'
F L2 B2 R' L' U' D2
F L2 B2 R' L' D U'
F L2 B2 R' L' D' U'
F L2 B2 R' L' D2 U'
F L2 B2 R' D L' U'
F L2 B2 R' D' L' U'
F L2 B2 R' D2 L' U'
F' R L U' D L2 R2
F' R L U' D R2 L2
F L2 B2 D L' R' U'
F L2 B2 D R' L' U'
F' R L D U' L2 R2
F' R L D U' R2 L2
F L2 B2 D' L' R' U'
F L2 B2 D' R' L' U'
F L2 B2 D2 L' R' U'
F L2 B2 D2 R' L' U'
F' R L F2 U' D L2
F' R L F2 D U' L2
F' R L F2 B2 U' D
F' R L F2 B2 U' D'
F' R L F2 B2 U' D2
F' R L F2 B2 D U'
F' R L F2 B2 D' U'
F' R L F2 B2 D2 U'
F' R L B2 U' D R2
F' R L B2 D U' R2
F' R L B2 F2 U' D
F' R L B2 F2 U' D'
F' R L B2 F2 U' D2
F' R L B2 F2 D U'
F' R L B2 F2 D' U'
F' R L B2 F2 D2 U'
F R L B2 U' D' B2
F R L B2 U2 L2 U
F R L B2 D' U' B2
F R L B2 D2 R2 U'
F' R L' F2 L2 B2 U'
F' R L' F2 B2 L2 U'
F' R L' B2 L2 F2 U'
F' R L' B2 F2 L2 U'
F' R L2 B2 L' F2 U'
F R L2 B2 L' R' U'
F R L2 B2 R' L' U'
F' R D L U' L R2
F' R D L U' R2 L
B2 R F U2 L' R2 U
B2 R F U2 R2 L' U
F' R F' L F' B2 U'
F' R F' L B2 F' U'
B2 R F' R F2 L' U'
F' R F2 L U' D L2
F' R F2 L D U' L2
F' R F2 L B2 U' D
F' R F2 L B2 U' D'
F' R F2 L B2 U' D2
F' R F2 L B2 D U'
F' R F2 L B2 D' U'
F' R F2 L B2 D2 U'
F' R F2 L' B2 L2 U'
F' R F2 L2 B2 L' U'
F' R F2 D L U' L
F' R F2 B2 U2 R' U
F' R B2 F2 U2 R' U
F R B2 U2 L' R' U
F R B2 U2 R' L' U
F' R' L F2 R2 B2 U'
F' R' L F2 B2 R2 U'
F' R' L B2 R2 F2 U'
F' R' L B2 F2 R2 U'
F R' L B2 U' D' B2
F R' L B2 U2 L2 U
F R' L B2 D' U' B2
F R' L B2 D2 R2 U'
F R' L2 B2 L' R' U'
F R' L2 B2 R' L' U'
D R' F L U' L B
F' R' F2 L R2 B2 U'
F' R' F2 L B2 R2 U'
F' R' F2 R2 L B2 U'
F' R' B2 R2 F2 L' U'
F R' B2 U2 L' R' U
F R' B2 U2 R' L' U
F' R2 L F2 R' B2 U'
F R2 L B2 U' D' B2
F R2 L B2 U2 L2 U
F R2 L B2 D' U' B2
F R2 L B2 D2 R2 U'
F R2 L2 B2 L' R' U'
F R2 L2 B2 R' L' U'
D' R2 U' F L U' B'
F' R2 F2 L R' B2 U'
F' R2 F2 R' L B2 U'
F' U L R F2 B2 U'
F' U L R B2 F2 U'
F R2 B2 U2 L' R' U
F R2 B2 U2 R' L' U
F' U L B2 R F2 U'
F' U R L F2 B2 U'
F' U R L B2 F2 U'
F' U R F2 L B2 U'
F' U' L R F2 B2 U'
F' U' L R B2 F2 U'
F' U' L B2 R F2 U'
F' U' R L F2 B2 U'
F' U' R L B2 F2 U'
F' U' R F2 L B2 U'
F' U2 L R F2 B2 U'
F' U2 L R B2 F2 U'
F' U2 L B2 R F2 U'
F U2 L' U D L2 F2
F U2 L' U D F2 L2
F U2 L' U2 L2 B2 U'
F U2 L' U2 B2 L2 U'
F U2 L' D U L2 F2
F U2 L' D U F2 L2
F U2 L' D2 R2 F2 U
F U2 L' D2 F2 R2 U
F' U2 R L F2 B2 U'
F' U2 R L B2 F2 U'
F' U2 R F2 L B2 U'
L2 D2 F2 R B' L U
L2 D2 F2 B' L R U
L2 D2 F2 B' R L U
L2 D2 B' F2 L R U
L2 D2 B' F2 R L U
D' F L U R2 U2 B'
D' F L U' D2 B' L2
D' F L U' B' D2 L2
D' F L D B2 U' B
D' F L D2 U' B' L2
U' F L B2 U' D' B2
U' F L B2 U2 L2 U
U' F L B2 D' U' B2
U' F L B2 D2 R2 U'
R' F L B2 U' D' B2
R' F L B2 U2 L2 U
R' F L B2 D' U' B2
R' F L B2 D2 R2 U'
D F L R' U' L B
D F L U' D2 L B'
U2 F L B2 U' D' B2
U2 F L B2 U2 L2 U
U2 F L B2 D' U' B2
U2 F L B2 D2 R2 U'
D F L D2 U' L B'
R2 F L B2 U' D' B2
R2 F L B2 U2 L2 U
R2 F L B2 D' U' B2
R2 F L B2 D2 R2 U'
U F L B2 U' D' B2
U F L B2 U2 L2 U
U F L B2 D' U' B2
U F L B2 D2 R2 U'
U' F L2 B2 L' R' U'
U' F L2 B2 R' L' U'
R' F L2 B2 L' R' U'
R' F L2 B2 R' L' U'
R F L B2 U' D' B2
R F L B2 U2 L2 U
R F L B2 D' U' B2
R F L B2 D2 R2 U'
U2 F L2 B2 L' R' U'
U2 F L2 B2 R' L' U'
R2 F L2 B2 L' R' U'
R2 F L2 B2 R' L' U'
U F L2 B2 L' R' U'
U F L2 B2 R' L' U'
R F L2 B2 L' R' U'
R F L2 B2 R' L' U'
D F R' L U' L B
F' D L R U' L R
F' D L R U' R L
F D L U' D' L B2
F D L U2 L2 U L'
F D L D' U' L B2
F D L D2 R2 U' L
F' D R L U' L R
F' D R L U' R L
U' F B2 U2 L' R' U
U' F B2 U2 R' L' U
R' F B2 U2 L' R' U
R' F B2 U2 R' L' U
U' F' L R F2 B2 U'
U' F' L R B2 F2 U'
R' F' L R F2 B2 U'
R' F' L R B2 F2 U'
U2 F B2 U2 L' R' U
U2 F B2 U2 R' L' U
U' F' L B2 R F2 U'
U2 F' L R F2 B2 U'
U2 F' L R B2 F2 U'
R2 F B2 U2 L' R' U
R2 F B2 U2 R' L' U
R' F' L B2 R F2 U'
R2 F' L R F2 B2 U'
R2 F' L R B2 F2 U'
U F B2 U2 L' R' U
U F B2 U2 R' L' U
U2 F' L B2 R F2 U'
R F B2 U2 L' R' U
R F B2 U2 R' L' U
U F' L R F2 B2 U'
U F' L R B2 F2 U'
R2 F' L B2 R F2 U'
R F' L R F2 B2 U'
R F' L R B2 F2 U'
B2 D F U2 R' U B
U F' L B2 R F2 U'
U' F' R L F2 B2 U'
U' F' R L B2 F2 U'
R' F' R L F2 B2 U'
R' F' R L B2 F2 U'
R F' L B2 R F2 U'
U' F' R F2 L B2 U'
R' F' R F2 L B2 U'
U2 F' R L F2 B2 U'
U2 F' R L B2 F2 U'
R2 F' R L F2 B2 U'
R2 F' R L B2 F2 U'
U2 F' R F2 L B2 U'
R2 F' R F2 L B2 U'
U F' R L F2 B2 U'
U F' R L B2 F2 U'
R F' R L F2 B2 U'
R F' R L B2 F2 U'
U F' R F2 L B2 U'
R F' R F2 L B2 U'
F D' L D2 R2 U' L2
L F' B2 D2 R F' U'
F D2 L U' D' L2 B2
F D2 L U' D' B2 L2
F D2 L U2 L2 F2 U
F D2 L U2 F2 L2 U
F D2 L D' U' L2 B2
F D2 L D' U' B2 L2
F D2 L D2 R2 B2 U'
F D2 L D2 B2 R2 U'
B D2 F L' B R' U'
B D2 F B L' R' U'
B D2 F B R' L' U'
F' D2 F2 B2 L' R' U
F' D2 F2 B2 R' L' U
B D2 B R' F L' U'
B D2 B F L' R' U'
B D2 B F R' L' U'
F' D2 B2 F2 L' R' U
F' D2 B2 F2 R' L' U
B2 F L U2 L2 R' U
B2 F L U2 R' L2 U
B2 F L2 U2 L R' U
B2 F L2 U2 R' L U
B2 F R U2 L' R2 U
B2 F R U2 R2 L' U
B2 F R2 U2 L' R U
B2 F R2 U2 R L' U
B2 F U2 L' R' U D
B2 F U2 L' R' U D'
B2 F U2 L' R' U D2
B2 F U2 L' R' D U
B2 F U2 L' R' D' U
B2 F U2 L' R' D2 U
B2 F U2 L' D R' U
B2 F U2 L' D' R' U
B2 F U2 L' D2 R' U
B2 F U2 R' L' U D
B2 F U2 R' L' U D'
B2 F U2 R' L' U D2
B2 F U2 R' L' D U
B2 F U2 R' L' D' U
B2 F U2 R' L' D2 U
B2 F U2 R' D L' U
B2 F U2 R' D' L' U
B2 F U2 R' D2 L' U
B2 F U2 D L' R' U
B2 F U2 D R' L' U
B2 F U2 D' L' R' U
B2 F U2 D' R' L' U
B2 F U2 D2 L' R' U
B2 F U2 D2 R' L' U
B2 F D U2 L' R' U
B2 F D U2 R' L' U
B2 F D' U2 L' R' U
B2 F D' U2 R' L' U
B2 F D2 U2 L' R' U
B2 F D2 U2 R' L' U
B2 F' R F2 U' D' F2
B2 F' R F2 U2 R2 U
B2 F' R F2 D' U' F2
B2 F' R F2 D2 L2 U'
B2 F' R2 F2 L' R' U'
B2 F' R2 F2 R' L' U'
L2 B2 L' R2 F' R U'
F B2 L U2 L2 R' U
F B2 L U2 R' L2 U
L2 B2 R2 L' F' R U'
F' B2 R F2 U' D' F2
F' B2 R F2 U2 R2 U
F' B2 R F2 D' U' F2
F' B2 R F2 D2 L2 U'
F B2 L2 U2 L R' U
F B2 L2 U2 R' L U
F B2 R U2 L' R2 U
F B2 R U2 R2 L' U
F' B2 R2 F2 L' R' U'
F' B2 R2 F2 R' L' U'
F B2 R2 U2 L' R U
F B2 R2 U2 R L' U
U' B2 F U2 L' R' U
U' B2 F U2 R' L' U
R' B2 F U2 L' R' U
R' B2 F U2 R' L' U
F B2 U2 L' R' U D
F B2 U2 L' R' U D'
F B2 U2 L' R' U D2
F B2 U2 L' R' D U
F B2 U2 L' R' D' U
F B2 U2 L' R' D2 U
F B2 U2 L' D R' U
F B2 U2 L' D' R' U
F B2 U2 L' D2 R' U
F B2 U2 R' L' U D
F B2 U2 R' L' U D'
F B2 U2 R' L' U D2
F B2 U2 R' L' D U
F B2 U2 R' L' D' U
F B2 U2 R' L' D2 U
F B2 U2 R' D L' U
F B2 U2 R' D' L' U
F B2 U2 R' D2 L' U
F B2 U2 D L' R' U
F B2 U2 D R' L' U
F B2 U2 D' L' R' U
F B2 U2 D' R' L' U
F B2 U2 D2 L' R' U
F B2 U2 D2 R' L' U
U2 B2 F U2 L' R' U
U2 B2 F U2 R' L' U
R2 B2 F U2 L' R' U
R2 B2 F U2 R' L' U
F B2 D U2 L' R' U
F B2 D U2 R' L' U
U B2 F U2 L' R' U
U B2 F U2 R' L' U
F B2 D' U2 L' R' U
F B2 D' U2 R' L' U
R B2 F U2 L' R' U
R B2 F U2 R' L' U
L B2 F' D2 R F' U'
F B2 D2 U2 L' R' U
F B2 D2 U2 R' L' U
