U L U2 D2 B' L
U L D2 U2 B' L
U L F U2 B' L'
U L F' R U2 B'
U L' F L2 U2 L
F' U L R U2 B'
F U L U2 B' L2
F' U R L U2 B'
D2 U' B2 R' B L
U' D2 B2 R' B L
U F L U2 B' L2
U F' L R U2 B'
U F' R L U2 B'
R U F L U2 B' L2
R' U F' L R U2 B'
U R L' F L2 U2 L
R' U F' R L U2 B'
R2 U F' L R U2 B'
R2 U F' R L U2 B'
R U F' L R U2 B'
R U F' R L U2 B'
F R U L U2 B' L2
U' R D2 B2 R' B L
U R F L U2 B' L2
U R F' L R U2 B'
U R F' R L U2 B'
R' U' D2 B2 R' B L
U R' L U2 D2 B' L
U R' L D2 U2 B' L
U R' L F U2 B' L'
U R' L F' R U2 B'
R2 U' D2 B2 R' B L
R U' D2 B2 R' B L
U R' L' F L2 U2 L
F' R' U L R2 U2 B'
F' R' U R2 L U2 B'
F R' U L U2 B' L2
U' R' D2 B2 R' B L
U R' F L U2 B' L2
U R' F' L R U2 B'
U R' F' R L U2 B'
U R2 L U2 D2 B' L
U R2 L D2 U2 B' L
U R2 L F U2 B' L'
U R2 L F' R U2 B'
L U2 D2 B' L D F2
U R2 L' F L2 U2 L
F' R2 U L R' U2 B'
F' R2 U R' L U2 B'
F R2 U L U2 B' L2
F' R2 U' B2 L R' B'
F' R2 U' B2 R' L B'
U' R2 D2 B2 R' B L
U R2 F L U2 B' L2
U R2 F' L R U2 B'
U R2 F' R L U2 B'
F' R2 B2 U' L R' B'
F' R2 B2 U' R' L B'
F' U L R U2 D B'
F' U L R U2 D' B'
F' U L R U2 D2 B'
F' U L R U2 B' D
F' U L R U2 B' D'
F' U L R U2 B' D2
F' U L R D U2 B'
F' U L R D' U2 B'
F' U L R D2 U2 B'
F' U L R F U2 B'
F' U L R F' U2 B'
F' U L R F2 U2 B'
F' U L D R U2 B'
F' U L D' R U2 B'
F2 U L U F U B'
F' U L D2 R U2 B'
F' U L F2 U2 B' L'
F' U L' R F L2 U2
F U L R U2 B' L2
F U L R' U2 B' L2
F U L R2 U2 B' L2
F U L U2 B L2 B2
F U L U2 B' L2 D
F U L U2 B' L2 D'
F U L U2 B' L2 D2
F U L U2 B2 L2 B
F U L D2 R2 U2 B'
F U L F U2 B' L2
F U L F' U2 B' L2
B2 U L' F U2 L' R'
B2 U L' F U2 R' L'
F U L F2 U2 B' L2
F U L' F L2 U2 L2
F' U R L U2 D B'
F' U R L U2 D' B'
F' U R L U2 D2 B'
F' U R L U2 B' D
F' U R L U2 B' D'
F' U R L U2 B' D2
F' U R L D U2 B'
F' U R L D' U2 B'
F' U R L D2 U2 B'
F' U R L F U2 B'
F' U R L F' U2 B'
F' U R L F2 U2 B'
F' U R L' F L2 U2
F' U R F L U2 B'
F' U R F' L U2 B'
F' U R F2 L U2 B'
F U R L U2 B' L2
F U R' L U2 B' L2
F U R2 L U2 B' L2
F' U D2 L R F' U2
F' U D2 R L F' U2
F' U D2 R F' L U2
F' U F2 L U2 B' L2
F U F2 L R U2 B'
F U F2 R L U2 B'
B2 U' L R' D2 B' L
B2 U' L D2 R' B' L
F U' L B' L2 D2 R2
F U' L' U2 L2 U2 B'
F U' L' U2 F L2 U2
B2 U' R' L D2 B' L
F' U' R2 B2 L R' B'
F' U' R2 B2 R' L B'
D2 U' B' L B' R' B
D2 U' B' D2 L B' R'
B2 U' D2 R' B' L B2
D2 U' B2 L R' B L
D2 U' B2 L' R' B L
D2 U' B2 L2 R' B L
D2 U' B2 R' L B L
D2 U' B2 R' L' B L
D2 U' B2 R' L2 B L
D2 U' B2 R' D B L
D2 U' B2 R' D' B L
D2 U' B2 R' D2 B L
D2 U' B2 R' B L D
D2 U' B2 R' B L D'
D2 U' B2 R' B L D2
D2 U' B2 R' B D L
D2 U' B2 R' B D' L
D2 U' B2 R' B D2 L
F U' D2 B2 L' R' B
F U' D2 B2 R' L' B
F U' D2 B2 R' B L'
F U' B' L B' L2 R'
F U' B' L B' R' L2
R' D2 U' B2 R' B L
F U' B2 L R' B' L2
F U' B2 R' L B' L2
R2 D2 U' B2 R' B L
F U' B2 D2 L' R' B
F U' B2 D2 R' L' B
F U' B2 D2 R' B L'
R D2 U' B2 R' B L
L D2 U2 B' L D F2
U' D2 B' L B' R' B
U' D2 B' D2 L B' R'
U' D2 B2 L R' B L
U' D2 B2 L' R' B L
U' D2 B2 L2 R' B L
U' D2 B2 R' L B L
U' D2 B2 R' L' B L
U' D2 B2 R' L2 B L
U' D2 B2 R' D B L
U' D2 B2 R' D' B L
U' D2 B2 R' D2 B L
U' D2 B2 R' B L D
U' D2 B2 R' B L D'
U' D2 B2 R' B L D2
U' D2 B2 R' B D L
U' D2 B2 R' B D' L
U' D2 B2 R' B D2 L
L D2 B' L D F2 R
U' F L U2 F' B' L2
U' F L U2 B' L2 F'
U' F L U2 B' F' L2
U' F L' F' D2 R2 B2
U' F L' F' D2 B2 R2
U F L R U2 B' L2
U F L R' U2 B' L2
U F L R2 U2 B' L2
U F L U2 B L2 B2
U F L U2 B' L2 D
U F L U2 B' L2 D'
U F L U2 B' L2 D2
U F L U2 B2 L2 B
U F L D2 R2 U2 B'
U F L F U2 B' L2
U F L F' U2 B' L2
L' F L2 U' L' U' L2
U F L F2 U2 B' L2
L' F L2 U2 L D F2
U F L' F L2 U2 L2
U F R L U2 B' L2
U F R' L U2 B' L2
R' F U L U2 B' L2
U F R2 L U2 B' L2
R2 F U L U2 B' L2
U2 F U' L U2 B' L2
D2 F U' B2 R' B L
R F U L U2 B' L2
L' F U2 L' D F2 R
U F' L R U2 D B'
U F' L R U2 D' B'
U F' L R U2 D2 B'
U F' L R U2 B' D
U F' L R U2 B' D'
U F' L R U2 B' D2
U F' L R D U2 B'
U F' L R D' U2 B'
U F' L R D2 U2 B'
U F' L R F U2 B'
U F' L R F' U2 B'
U F' L R F2 U2 B'
U F' L D R U2 B'
U F' L D' R U2 B'
U F' L D2 R U2 B'
U F' L F2 U2 B' L'
U F' L' R F L2 U2
U F' R L U2 D B'
U F' R L U2 D' B'
U F' R L U2 D2 B'
U F' R L U2 B' D
U F' R L U2 B' D'
U F' R L U2 B' D2
U F' R L D U2 B'
U F' R L D' U2 B'
U F' R L D2 U2 B'
U F' R L F U2 B'
U F' R L F' U2 B'
U F' R L F2 U2 B'
U F' R L' F L2 U2
U F' R F L U2 B'
U F' R F' L U2 B'
U F' R F2 L U2 B'
R' F' U L R U2 B'
R' F' U R L U2 B'
R2 F' U L R U2 B'
R2 F' U R L U2 B'
U2 F' U' L R U2 B'
D2 F' U' B2 R' B L
U2 F' U' R L U2 B'
R F' U L R U2 B'
R F' U R L U2 B'
L F' D R U2 F' B'
L F' D R U2 B' F'
U F' D2 L R F' U2
U F' D2 R L F' U2
U F' D2 R F' L U2
U F2 L U2 B L B2
U F2 L F R U2 B'
U F2 L F' U2 B' L'
U F2 L' F L2 R U2
U F2 L' F R L2 U2
D2 F2 U' B2 R' B L
F D' B2 U' L' R' B'
F D' B2 U' R' L' B'
F' D2 U L R F' U2
F' D2 U R L F' U2
F' D2 U R F' L U2
B2 D2 U' R' B' L B2
F D2 U' B2 L' R' B
F D2 U' B2 R' L' B
F D2 U' B2 R' B L'
B' D2 B' U' L R' B
B' D2 B' U' R' L B
D2 B U R' U2 B R'
D2 B U' B R' B L
F D2 B2 U' L' R' B
F D2 B2 U' R' L' B
F D2 B2 U' R' B L'
U' B' L D2 B' L R'
U' B' L D2 B' R' L
B2 F U' L R' B' L2
B2 F U' R' L B' L2
B2 F U' D2 L' R' B
B2 F U' D2 R' L' B
B2 F U' D2 R' B L'
B2 F D2 U' L' R' B
B2 F D2 U' R' L' B
B2 F D2 U' R' B L'
U' B' D2 B' L R' B
U' B' D2 B' R' L B
U' B2 L R' D2 B' L
U' B2 L D2 R' B' L
U' B2 R' L D2 B' L
U' B2 D2 R' B' L B2
F B2 U' L R' B' L2
F B2 U' R' L B' L2
F B2 U' D2 L' R' B
F B2 U' D2 R' L' B
F B2 U' D2 R' B L'
F B2 D2 U' L' R' B
F B2 D2 U' R' L' B
F B2 D2 U' R' B L'
