U R' D' L2 F' B'
U R' D' L2 B' F'
D' U L2 R' F' B'
D' U L2 R' B' F'
D' U R' L2 F' B'
D' U R' L2 B' F'
F2 U R2 B R F'
U D' L2 R' F' B'
U D' L2 R' B' F'
U D' R' L2 F' B'
U D' R' L2 B' F'
F2 U' F' U2 R' F'
L2 F2 U R' F' B'
L2 F2 U R' B' F'
L2 F2 U R' B' F'
U D' R' L2 D' B' F'
U D' R' L2 D2 F' B'
U D' R' L2 D2 B' F'
U D' R' L2 F' D B'
U D' R' L2 F' D' B'
U D' R' L2 F' D2 B'
U D' R' L2 F' B' D
U D' R' L2 F' B' D'
U D' R' L2 F' B' D2
U D' R' L2 B' D F'
U D' R' L2 B' D' F'
U D' R' L2 B' D2 F'
U D' R' L2 B' F' D
U D' R' L2 B' F' D'
U D' R' L2 B' F' D2
U D' R' F' L2 D2 B2
U D' R' B L2 F' B'
U D' R' B L2 B' F'
U D' R' B' L2 F' B'
U D' R' B' L2 B' F'
U D' R' B2 L2 F' B'
U D' R' B2 L2 B' F'
D' U' F U2 L2 R' F'
U' D' F U2 L2 R' F'
D' U' F U2 R' L2 F'
U' D' F U2 R' L2 F'
D' U' F U2 R' F' L2
U' D' F U2 R' F' L2
U D' R2 L2 B' R F'
U D' F R' F' L2 B'
F2 U' D F' U2 R' F'
F2 U' D' F' U2 R' F'
U D' B L2 B' R' F'
F2 U' D2 F' U2 R' F'
F2 U' F' L U2 R' F
F2 U' F' L U2 F R'
F2 U' F' U2 R' D F'
F2 U' F' U2 R' D' F'
F2 U' F' U2 R' D2 F'
F2 U' F' U2 R' F' D
F2 U' F' U2 R' F' D'
F2 U' F' U2 R' F' D2
F2 U' F' U2 D R' F'
F2 U' F' U2 D' R' F'
F2 U' F' U2 D2 R' F'
F2 U' F' U2 F R' F'
F2 U' F' U2 F' R' F'
F2 U' F' U2 F2 R' F'
F2 U' F' D U2 R' F'
F2 U' F' D' U2 R' F'
F2 U' F' D2 U2 R' F'
F2 U' F' B2 L U2 F
F2 U' B2 L F' U2 F2
F2 U' B2 F' L U2 F
U D2 R' D L2 F' B'
U D2 R' D L2 B' F'
U2 F R F U R2 B
U F R' F' D' L2 B'
U' F U F U R' F'
U2 F U R F U R2
U' F U2 R' F' D' L2
U F U F R U R2
B2 D R2 F L B' U2
F' D R2 B L U' R
F2 D U R2 B R F'
F2 D U' F' U2 R' F'
B2 D F L R2 B' U2
B2 D F L B' R2 U2
B2 D F R2 L B' U2
F' D' L2 F' U R' F'
B2 D' L2 F2 R F' B'
B2 D' L2 F2 R B' F'
B2 D' L2 F2 B' R F'
B2 D' L2 B' F2 R F'
B' D' R' B U L2 B'
F2 D' U R2 B R F'
F2 D' U' F' U2 R' F'
L' F2 L' U R' F' B'
L' F2 L' U R' B' F'
L F2 L U R' F' B'
L F2 L U R' B' F'
F' D' F' L2 U R' F'
R F2 R' U R' F' B
R F2 R' U R' B F'
L2 F2 U R' D F' B'
L2 F2 U R' D B' F'
L2 F2 U R' D' F' B'
L2 F2 U R' D' B' F'
L2 F2 U R' D2 F' B'
L2 F2 U R' D2 B' F'
L2 F2 U R' F' D B'
L2 F2 U R' F' D' B'
L2 F2 U R' F' D2 B'
L2 F2 U R' F' B' D
L2 F2 U R' F' B' D'
L2 F2 U R' F' B' D2
L2 F2 U R' B' D F'
L2 F2 U R' B' D' F'
L2 F2 U R' B' D2 F'
L2 F2 U R' B' F' D
L2 F2 U R' B' F' D'
L2 F2 U R' B' F' D2
L2 F2 U R2 B' R F'
L2 F2 U D R' F' B'
L2 F2 U D R' B' F'
U F2 R2 U B R F'
L2 F2 U D' R' F' B'
L2 F2 U D' R' B' F'
L2 F2 U D2 R' F' B'
L2 F2 U D2 R' B' F'
L2 F2 U F R' F' B'
L2 F2 U F R' B' F'
L2 F2 U F' R' F' B'
L2 F2 U F' R' B' F'
L2 F2 U F2 R' F' B'
L2 F2 U F2 R' B' F'
R2 F2 U' L' F' B' U2
R2 F2 U' L' B' F' U2
L F2 U D2 R' F' B
L F2 U D2 R' B F'
R F2 U R' F' R' B
L2 F2 D U R' F' B'
L2 F2 D U R' B' F'
L2 F2 D' U R' F' B'
L2 F2 D' U R' B' F'
L2 F2 D2 U R' F' B'
L2 F2 D2 U R' B' F'
L F2 D2 U R' F' B
L F2 D2 U R' B F'
F2 D2 U R2 B R F'
F2 D2 U' F' U2 R' F'
R F2 B' R' U R' B
F' D2 F' U R' F' B2
F' D2 F' U R' B2 F'
U B D' L2 B' R' F'
R2 B' R D' L2 F2 B'
R2 B' R D' L2 B' F2
R2 B' R' F2 U R2 B
F2 B' R' U R' B R'
F2 B' R' U B R' B
F2 B' R' B U R' B
R B' F2 R' U R' B
B' F2 R' U R' B R'
B' F2 R' U B R' B
B' F2 R' B U R' B
R2 B2 D' L2 R F' B'
R2 B2 D' L2 R B' F'
R2 B2 D' L2 B' R F'
R2 B2 D' R L2 F' B'
R2 B2 D' R L2 B' F'
