B2 L2 F U' F2
B2 U2 B' U F'
B2 L U' F R F2
B2 L F2 U' F R
B2 L' U' D F' R
B2 L' D U' F' R
B2 L2 U' F' D R2
B2 L2 D F U' F2
B2 L2 D' F U' F2
B2 L2 D' F U' F2
B2 L2 D2 F U' F2
B2 L2 F L U' F2
B2 L2 F L' U' F2
B2 L2 F L2 U' F2
B2 L2 F U' F2 D
B2 L2 F U' F2 D'
B2 L2 F U' F2 D2
B2 L2 F D' L2 U'
U2 D B U L2 F'
U2 D B U F' L2
B2 U' F' U' B' U
U2 D2 F2 B U F
D2 U2 F2 B U F
U2 D2 B F2 U F
D2 U2 B F2 U F
D U2 B U L2 F'
D U2 B U F' L2
B2 U2 D B' U F'
B2 U2 D' B' U F'
B2 U2 D2 B' U F'
B2 U2 B' U D F'
B2 U2 B' U D' F'
B2 U2 B' U D2 F'
B2 U2 B' U F' D
B2 U2 B' U F' D'
B2 U2 B' U F' D2
B2 U2 B' D U F'
B2 U2 B' D' U F'
B2 U2 B' D2 U F'
B2 D L2 F U' F2
B2 D U2 B' U F'
B2 D U2 B' U F'
R2 F' R2 B2 U' F'
B2 D' L2 F U' F2
B2 D' U2 B' U F'
B' D' B' U' F' R2
B2 D2 L2 F U' F2
B2 D2 L2 F U' F2
B2 D2 U2 B' U F'
B' D2 F2 B' U' F
B' D2 B' F2 U' F
D B U F' L2 B'
U2 B U2 B U' F'
B2 F L2 F U' F
B2 F U2 B' U F2
B2 F D' L2 F U'
B2 F' L2 F U' F'
L' B2 L2 F U' F2
L2 B2 L2 F U' F2
L B2 L2 F U' F2
F' B2 L2 F U' F'
L' B2 U2 B' U F'
F B2 L2 F U' F
L2 B2 U2 B' U F'
L B2 U2 B' U F'
F2 B2 U2 B' U F
B2 F2 U2 B' U F
F B2 U2 B' U F2
F B2 D' L2 F U'
B2 L' D F U' F2 R
B2 L' F L' F U' F
B2 L' F' L' F U' F'
B L' B L2 F U' F2
B L' B U2 B' U F'
F2 L' B2 L U' F R
F' L' B2 L2 F U' F'
F L' B2 L2 F U' F
F L' B2 U2 B' U F2
F L' B2 D' L2 F U'
B2 L2 R F R' U' F'
L' R2 F' R2 B2 U' F'
B2 L2 R2 F R2 U' F'
L2 R2 F' R2 B2 U' F'
R2 L2 F' R2 B2 U' F'
L R2 F' R2 B2 U' F'
B2 L2 U' D F' D R2
B' L2 U' F' D' L2 R2
B' L2 U' F' D' R2 L2
B2 L2 U' D' F' D R2
B2 L2 U' D2 F' D R2
B2 L2 U' F' R D R2
B2 L2 U' F' R' D R2
B2 L2 U' F' R2 D R2
B2 L2 U' F' U F2 U'
B2 L2 U' F' D R2 D
B2 L2 U' F' D R2 D'
B2 L2 U' F' D R2 D2
D L2 U' B U F' B'
D L2 U' B U B' F'
B' L2 U2 F B2 U F2
D2 L2 U2 F2 B U F
D2 L2 U2 B F2 U F
B' L2 U2 B2 F U F2
B2 L2 D U' F' D R2
B2 L2 D F L U' F2
B2 L2 D F L' U' F2
B2 L2 D F L2 U' F2
B2 L2 D F U' F2 D
B2 L2 D F U' F2 D'
B2 L2 D F U' F2 D2
B2 L2 D F D' L2 U'
B2 L2 D' U' F' D R2
B2 L2 D' F L U' F2
B2 L2 D' F L' U' F2
B2 L2 D' F L2 U' F2
B2 L2 D' F U' F2 D
B2 L2 D' F U' F2 D'
B2 L2 D' F U' F2 D2
B2 L2 D' F D' L2 U'
B2 L2 D2 U' F' D R2
B2 L2 D2 F L U' F2
B2 L2 D2 F L' U' F2
B2 L2 D2 F L2 U' F2
B2 L2 D2 F U' F2 D
B2 L2 D2 F U' F2 D'
B2 L2 D2 F U' F2 D2
B2 L2 D2 F D' L2 U'
B2 L2 F L U' F2 D
B2 L2 F L U' F2 D'
B2 L2 F L U' F2 D2
B2 L2 F L D' L2 U'
B2 L2 F L' U' F2 D
B2 L2 F L' U' F2 D'
B2 L2 F L' U' F2 D2
B2 L2 F L' D' L2 U'
B2 L2 F L2 U' F2 D
B2 L2 F L2 U' F2 D'
B2 L2 F L2 U' F2 D2
B2 L2 F L2 D' L2 U'
B2 L2 F U D2 B2 U2
B2 L2 F U B U2 F2
B2 L2 F U B' U2 F2
B2 L2 F U B2 U2 F2
B2 L2 F U' L' F2 L
B2 L2 F U' L2 F2 L2
B2 L2 F U' R F2 R'
B2 L2 F U' R2 F2 R2
B2 L2 F U' F D F
B2 L2 F U' F D' F
B2 L2 F U' F D2 F
B2 L2 F U' F' D F'
B2 L2 F U' F' D' F'
B2 L2 F U' F' D2 F'
B2 L2 F U2 R U F2
B2 L2 F U2 R' U F2
B2 L2 F U2 R2 U F2
B2 L2 F U2 D R2 U
B2 L2 F D U2 R2 U
B2 L2 F D' L2 U' D
B2 L2 F D' L2 U' D'
B2 L2 F D' L2 U' D2
B2 L2 F D' L2 D U'
B2 L2 F D' L2 D' U'
B2 L2 F D' L2 D2 U'
B2 L2 F D2 U B2 U2
B2 L2 F' L F2 U' F2
B2 L2 F' L' F2 U' F2
B2 L2 F' L2 F2 U' F2
D L2 F' U' B U B'
B2 L2 F2 U' F D R2
B2 L2 F2 D F' U' F2
B2 L2 F2 D' F' U' F2
B2 L2 F2 D2 F' U' F2
B L2 B L2 F U' F2
B L2 B U2 B' U F'
F' L2 B2 L2 F U' F'
F L2 B2 L2 F U' F
F L2 B2 U2 B' U F2
F L2 B2 D' L2 F U'
B2 R L2 F R' U' F'
R2 U F' R2 B2 U' F'
R2 U' F' R2 B2 U' F'
B R' U2 R U' F' L'
L' U2 D B U L2 F'
L' U2 D B U F' L2
L2 U2 D B U L2 F'
L2 U2 D B U F' L2
L U2 D B U L2 F'
L U2 D B U F' L2
L' U2 D2 F2 B U F
L' U2 D2 B F2 U F
L2 U2 D2 F2 B U F
L2 U2 D2 B F2 U F
L U2 D2 F2 B U F
L U2 D2 B F2 U F
B2 R2 L2 F R2 U' F'
R2 U2 F' R2 B2 U' F'
F' R2 U F' R2 B2 U'
F' R2 U F' B2 R2 U'
F' R2 U B2 F' R2 U'
D' R2 U' F' R2 U' F'
L' U2 B U2 B U' F'
L2 U2 B U2 B U' F'
B R2 U2 R2 B U' F'
L U2 B U2 B U' F'
U' R2 F D L2 R2 F'
U' R2 F D R2 L2 F'
U' R2 F D R2 F' L2
F2 R2 F D L2 R2 B2
F2 R2 F D L2 B2 R2
F2 R2 F D R2 L2 B2
F2 R2 F D R2 B2 L2
F2 R2 F D B2 L2 R2
F2 R2 F D B2 R2 L2
D2 R2 F' R2 B U' F'
F' R2 F' R2 B2 U' F
F2 R2 F' R2 B2 U' F2
F' R2 F' B2 R2 U' F
D R2 F' R2 U' L2 F'
D R2 F' R2 U' F' L2
F2 R2 F' B2 R2 U' F2
B R2 F' U2 R2 U' F'
D' R2 B U' F' R2 U'
U R2 B U' F' B U'
U R2 B U' B F' U'
F' R2 B2 F' R2 U' F
F2 R2 B2 F' R2 U' F2
L' D U2 B U L2 F'
L' D U2 B U F' L2
L2 D U2 B U L2 F'
L2 D U2 B U F' L2
B2 U L' U2 D F' R
B2 U L' D U2 F' R
L D U2 B U L2 F'
L D U2 B U F' L2
U' D L2 U' B U F'
B2 U L2 U' F U' F2
B2 U L2 U2 F' D R2
U' D L2 F' U' B U
R2 D F' U' B2 L2 F
L' D B U F' L2 B'
L2 D B U F' L2 B'
D' U R2 B U' F' U'
L D B U F' L2 B'
R2 D B2 L2 F D R2
U' D F' L2 U' B U
U2 D F B U L2 F2
U2 D F B U F2 L2
U' D F' U' B U L2
D U F' L2 B' D' R2
U D F' L2 B' D' R2
U2 D F2 B U F L2
U' D B U F' B' L2
U' D B U B' L2 F'
U' D B U B' F' L2
U2 D B U L F' L
U2 D B U L2 D F'
U2 D B U L2 D' F'
U2 D B U L2 D2 F'
U2 D B U L2 F' D
U2 D B U L2 F' D'
U2 D B U L2 F' D2
U2 D B U F L2 F2
U2 D B U F' L2 D
U2 D B U F' L2 D'
U2 D B U F' L2 D2
U2 D B D F2 U F
U2 D B F U L2 F2
U2 D B F U F2 L2
U2 D B F2 U F L2
B U F' L2 B' D L2
B U F' B' D L2 B'
B2 U B U B2 U F'
B2 U B U2 D' F' R2
B2 U B U2 F' D' R2
B2 U B D L2 U2 F'
B2 U B D' U2 F' R2
B U B' D F' L2 B'
F' U B2 U2 B' U B
B2 U B2 U B U F'
B U B' F' D L2 B'
D U' L2 U' B U F'
D U' L2 F' U' B U
B2 U' L' D L F' R
B2 U' L' D F' L R
B2 U' L' D F' R L
B' U' L2 F' D' L2 R2
B' U' L2 F' D' R2 L2
B2 U' L2 F' L2 D R2
B2 U' R U' B' R' U
U D' R2 B U' F' U'
D2 U' F' U' F' B U
D2 U' F' U' B F' U
D U' F' L2 U' B U
F2 U' R2 F D L2 R2
F2 U' R2 F D R2 L2
D U' F' U' B U L2
D2 U' F2 B U F B'
D2 U' F2 B U B' F
F' U' D B U B' L2
B2 U' D F' U' B' U
D2 U' B F2 U F B'
D2 U' B F2 U B' F
U2 D' B U D2 L2 F'
U2 D' B U D2 F' L2
U2 D' B U F' D2 L2
U2 D' B U' R2 B U2
B2 U' D' F' U' B' U
U2 D' B D' F2 U F
U2 D' B D2 U L2 F'
U2 D' B D2 U F' L2
D U' B U F' B' L2
D U' B U B' L2 F'
D U' B U B' F' L2
F' U' D2 F2 B U B'
B2 U' D2 F' U' B' U
F' U' D2 B F2 U B'
B2 U' F U' B' U F2
B2 U' F' R U' B' U
B2 U' F' R' U' B' U
B2 U' F' R2 U' B' U
B2 U' F' U' D B' U
B2 U' F' U' D' B' U
B2 U' F' U' D2 B' U
B2 U' F' U' B' U D
B2 U' F' U' B' U D'
B2 U' F' U' B' U D2
B2 U' F' U' B' D U
B2 U' F' U' B' D' U
B2 U' F' U' B' D2 U
B2 U' F' D U' B' U
B2 U' F' D' U' B' U
B2 U' F' D2 U' B' U
B2 U' F' B D' R2 B'
B2 U' F' B D' B' R2
B2 U' F2 U' B' U F
F' U' B U B' D L2
F' U' B U2 B U' B2
B2 U' B D' F' R2 B'
B2 U' B D' F' B' R2
B2 U' B D' B' F' R2
B2 U' B F' D' R2 B'
B2 U' B F' D' B' R2
L' D2 U2 F2 B U F
L' D2 U2 B F2 U F
L2 D2 U2 F2 B U F
L2 D2 U2 B F2 U F
U' D2 F' U' F' B U
U' D2 F' U' B F' U
L D2 U2 F2 B U F
L D2 U2 B F2 U F
R' D2 F2 L' U F R
D U2 F B U L2 F2
D U2 F B U F2 L2
D2 U2 F2 R' U F R
U' D2 F2 B U F B'
U' D2 F2 B U B' F
D2 U2 F2 D B U F
D2 U2 F2 D' B U F
D2 U2 F2 D2 B U F
D2 U2 F2 B R U F
D2 U2 F2 B R' U F
D2 U2 F2 B R2 U F
D2 U2 F2 B U D F
D2 U2 F2 B U D' F
D2 U2 F2 B U D2 F
D2 U2 F2 B U F D
D2 U2 F2 B U F D'
D2 U2 F2 B U F D2
D2 U2 F2 B D U F
D2 U2 F2 B D' U F
D2 U2 F2 B D2 U F
U2 D2 F2 R' U F R
B2 U2 R B' R' U F'
D' U2 B U D2 L2 F'
D' U2 B U D2 F' L2
U2 D2 F2 D B U F
D' U2 B U F' D2 L2
D' U2 B U' R2 B U2
U2 D2 F2 D' B U F
D2 U2 B U D' L2 F'
U2 D2 F2 D2 B U F
D2 U2 B U D' F' L2
U2 D2 F2 B R U F
U2 D2 F2 B R' U F
U2 D2 F2 B R2 U F
U2 D2 F2 B U D F
U2 D2 F2 B U D' F
U2 D2 F2 B U D2 F
U2 D2 F2 B U F D
U2 D2 F2 B U F D'
U2 D2 F2 B U F D2
U2 D2 F2 B D U F
U2 D2 F2 B D' U F
U2 D2 F2 B D2 U F
D' U2 B D' F2 U F
D' U2 B D2 U L2 F'
D' U2 B D2 U F' L2
D2 U2 B D' U L2 F'
D2 U2 B D' U F' L2
U' D2 B F2 U F B'
U' D2 B F2 U B' F
D2 U2 B F2 R U F
D2 U2 B F2 R' U F
D2 U2 B F2 R2 U F
D2 U2 B F2 U D F
D2 U2 B F2 U D' F
D2 U2 B F2 U D2 F
D2 U2 B F2 U F D
D2 U2 B F2 U F D'
D2 U2 B F2 U F D2
D2 U2 B F2 D U F
D2 U2 B F2 D' U F
D2 U2 B F2 D2 U F
D U2 F2 B U F L2
U2 D2 B U D' L2 F'
U2 D2 B U D' F' L2
B2 U2 R' B' R U F'
U2 D2 B D' U L2 F'
U2 D2 B D' U F' L2
U2 D2 B F2 R U F
U2 D2 B F2 R' U F
U2 D2 B F2 R2 U F
D U2 B U L F' L
U2 D2 B F2 U D F
U2 D2 B F2 U D' F
U2 D2 B F2 U D2 F
U2 D2 B F2 U F D
U2 D2 B F2 U F D'
U2 D2 B F2 U F D2
D U2 B U L2 D F'
D U2 B U L2 D' F'
D U2 B U L2 D2 F'
D U2 B U L2 F' D
D U2 B U L2 F' D'
D U2 B U L2 F' D2
U2 D2 B F2 D U F
U2 D2 B F2 D' U F
U2 D2 B F2 D2 U F
D U2 B U F L2 F2
D U2 B U F' L2 D
D U2 B U F' L2 D'
D U2 B U F' L2 D2
D U2 B D F2 U F
D U2 B F U L2 F2
D U2 B F U F2 L2
D U2 B F2 U F L2
B2 U2 R2 B' U D2 F2
B2 U2 R2 B' U' B2 U2
B2 U2 R2 B' D' R2 U
B2 U2 R2 B' D2 U F2
F' U2 D B U L2 F
B2 U2 D B' U D F'
B2 U2 D B' U D' F'
B2 U2 D B' U D2 F'
B2 U2 D B' U F' D
B2 U2 D B' U F' D'
B2 U2 D B' U F' D2
B2 U2 D B' D U F'
B2 U2 D B' D' U F'
B2 U2 D B' D2 U F'
F2 U2 D B U F L2
B2 U2 D' B' U D F'
B2 U2 D' B' U D' F'
B2 U2 D' B' U D2 F'
B2 U2 D' B' U F' D
B2 U2 D' B' U F' D'
B2 U2 D' B' U F' D2
B2 U2 D' B' D U F'
B2 U2 D' B' D' U F'
B2 U2 D' B' D2 U F'
F U2 D B R2 U L2
B2 U2 D2 B' U D F'
B2 U2 D2 B' U D' F'
B2 U2 D2 B' U D2 F'
B2 U2 D2 B' U F' D
B2 U2 D2 B' U F' D'
B2 U2 D2 B' U F' D2
B2 U2 D2 B' D U F'
B2 U2 D2 B' D' U F'
B2 U2 D2 B' D2 U F'
F2 U2 D2 F2 B U F'
F2 U2 D2 B F2 U F'
B2 U2 B U D' F' R2
B2 U2 B U F' D' R2
F2 U2 B R2 F' U F2
B2 U2 B D' U F' R2
F2 U2 B U2 B U' F
B2 U2 B' R2 U' B U2
B2 U2 B' U L' F' L
B2 U2 B' U L2 F' L2
B2 U2 B' U D F' D
B2 U2 B' U D F' D'
B2 U2 B' U D F' D2
B2 U2 B' U D' F' D
B2 U2 B' U D' F' D'
B2 U2 B' U D' F' D2
B2 U2 B' U D2 F' D
B2 U2 B' U D2 F' D'
B2 U2 B' U D2 F' D2
B2 U2 B' U F2 D F
B2 U2 B' U F2 D' F
B2 U2 B' U F2 D2 F
B2 U2 B' U' B U2 F'
B2 U2 B' U' B' U2 F'
B2 U2 B' U' B2 U2 F'
B2 U2 B' U2 L U' F'
B2 U2 B' U2 L' U' F'
B2 U2 B' U2 L2 U' F'
B2 U2 B' D U F' D
B2 U2 B' D U F' D'
B2 U2 B' D U F' D2
F U2 B R2 F' U F'
B2 U2 B' D' U F' D
B2 U2 B' D' U F' D'
B2 U2 B' D' U F' D2
B2 U2 B' D2 U F' D
B2 U2 B' D2 U F' D'
B2 U2 B' D2 U F' D2
F U2 B U2 B U' F2
F U2 B D R2 F' U
R2 F R2 F2 B2 U' F
R2 F R2 B2 F2 U' F
B' U2 B2 U2 B U' F'
B2 U2 B2 D B U F'
B2 U2 B2 D' B U F'
B2 U2 B2 D2 B U F'
B2 D L U' F R F2
B2 D L F2 U' F R
D2 F U2 F B U F
D2 F U2 B F U F
B2 D L' U' D F' R
B2 D L' D U' F' R
F' D L2 U' B U B'
B2 D L2 U' F' D R2
D F U2 B U L2 F2
D F U2 B U F2 L2
R2 F D L2 R2 F' B2
R2 F D L2 R2 B2 F'
B2 D L2 D F U' F2
B2 D L2 D' F U' F2
B2 D L2 D2 F U' F2
R2 F D R2 L2 F' B2
R2 F D R2 L2 B2 F'
B2 D L2 F L U' F2
B2 D L2 F L' U' F2
B2 D L2 F L2 U' F2
R2 F D R2 F' L2 B2
B2 D L2 F U' F2 D
B2 D L2 F U' F2 D'
B2 D L2 F U' F2 D2
R2 F D R2 F' B2 L2
B2 D L2 F D' L2 U'
R2 F D R2 B2 L2 F'
R2 F D R2 B2 F' L2
U2 F D B R2 U L2
R2 F D B2 L2 R2 F
R2 F D B2 L2 F R2
R2 F D B2 R2 L2 F
D F D' B2 L2 F U'
U2 F B R2 F' U F'
U2 F B U2 B U' F2
U2 F B D R2 F' U
L' F B2 L2 F U' F
L' F B2 U2 B' U F2
L' F B2 D' L2 F U'
L2 F B2 L2 F U' F
L2 F B2 U2 B' U F2
L2 F B2 D' L2 F U'
F' D U' B U B' L2
B2 D U' F' U' B' U
R2 F' L R2 B2 U' F'
L F B2 L2 F U' F
F' D U2 B U L2 F
L F B2 U2 B' U F2
B2 D U2 B' U D F'
B2 D U2 B' U D' F'
B2 D U2 B' U D2 F'
B2 D U2 B' U F' D
B2 D U2 B' U F' D'
B2 D U2 B' U F' D2
L F B2 D' L2 F U'
B2 D U2 B' D U F'
B2 D U2 B' D' U F'
F2 D U2 B U F L2
B2 D U2 B' D2 U F'
B2 D F L2 F U' F
R2 F' L' R2 B2 U' F'
B2 D F U2 B' U F2
B2 D F D' L2 F U'
F D U2 B R2 U L2
B2 D F' L2 F U' F'
R2 F' L2 R2 B2 U' F'
D F' L2 U' B U B'
B2 D F2 U2 B' U F
U' F' R2 U F' B2 U'
U' F' R2 U B2 F' U'
R2 F' R B2 R U' F'
B' D B' U L2 U2 F'
B' D B' U' D2 F' R2
B' D B' U' F' D2 R2
B D B L2 F U' F2
B' D B' D F2 U' F
R2 F' R2 L B2 U' F'
R2 F' R2 L' B2 U' F'
B' D B' D2 U' F' R2
R2 F' R2 L2 B2 U' F'
R2 F' R2 U' D L2 F'
R2 F' R2 U' D F' L2
R2 F' R2 U' F' D L2
B D B U2 B' U F'
R2 F' R2 D U' L2 F'
R2 F' R2 D U' F' L2
U' F' U B2 U2 B' U
R2 F' R2 B2 L U' F'
R2 F' R2 B2 L' U' F'
R2 F' R2 B2 L2 U' F'
R2 F' R2 B2 U' D F'
R2 F' R2 B2 U' D' F'
R2 F' R2 B2 U' D2 F'
R2 F' R2 B2 U' F' D
R2 F' R2 B2 U' F' D'
R2 F' R2 B2 U' F' D2
R2 F' R2 B2 D U' F'
R2 F' R2 B2 D' U' F'
R2 F' R2 B2 D2 U' F'
U' F' U' D B U L2
U' F' U' D2 F2 B U
U' F' U' D2 B F2 U
U' F' U' B U2 B U'
D2 F' U' F' B U B'
B' D' L U' F' L' R2
B' D' L U' F' R2 L'
D2 F' U' B F' U B'
B2 D' L U' F R F2
R2 F' U' D B2 L2 F
B2 D' L F2 U' F R
U' F' D L2 U' B U
D F' U' B U B' L2
B2 D' L' U' D F' R
U' F' D U' B U L2
B2 D' L' D U' F' R
D F' U2 B U L2 F
B2 D' L2 U' F' D R2
B2 D' L2 D F U' F2
B2 D' L2 D' F U' F2
B2 D' L2 D2 F U' F2
B2 D' L2 F L U' F2
B2 D' L2 F L' U' F2
B2 D' L2 F L2 U' F2
B2 D' L2 F U' F2 D
B2 D' L2 F U' F2 D'
B2 D' L2 F U' F2 D2
B2 D' L2 F D' L2 U'
R2 F' D U' B2 L2 F
U F' D L2 B' D' R2
U' F' D2 U' F2 B U
U' F' D2 U' B F2 U
U2 F' D2 F2 B U F2
U2 F' D2 B F2 U F2
U2 F' B R2 F' U F
L' F' B2 L2 F U' F'
L2 F' B2 L2 F U' F'
R2 F' B2 L2 R2 U' F
R2 F' B2 R2 L2 U' F
R2 F' B2 R2 U B' U2
B2 D' U' F' U' B' U
L F' B2 L2 F U' F'
B2 D' U2 B' U D F'
B2 D' U2 B' U D' F'
B2 D' U2 B' U D2 F'
B2 D' U2 B' U F' D
B2 D' U2 B' U F' D'
B2 D' U2 B' U F' D2
B2 D' U2 B' D U F'
B2 D' U2 B' D' U F'
B2 D' U2 B' D2 U F'
B2 D' F L2 F U' F
B' D' F B' U' R2 F2
B' D' F B' U' F2 R2
B2 D' F U2 B' U F2
B2 D' F D' L2 F U'
B2 D' F' L2 F U' F'
B' D' F2 B' U' R2 F
B' D' F2 B' U' F R2
B2 D' F2 U2 B' U F
U' F2 R2 F D L2 R2
U' F2 R2 F D R2 L2
B' D' B' L U' F' R2
B' D' B' L' U' F' R2
B' D' B' L2 U' F' R2
B' D' B' U' F R2 F2
B' D' B' U' F' R2 D
B' D' B' U' F' R2 D'
B' D' B' U' F' R2 D2
B' D' B' U' F2 R2 F
B D' B L2 F U' F2
B' D' B' D' F2 U' F
B' D' B' F U' R2 F2
B' D' B' F U' F2 R2
B' D' B' F2 U' R2 F
B' D' B' F2 U' F R2
B D' B U2 B' U F'
R2 F2 R2 F B2 U' F2
R2 F2 R2 B2 F U' F2
B2 D2 L U' F R F2
B2 D2 L F2 U' F R
B2 D2 L' U' D F' R
B2 D2 L' D U' F' R
B2 D2 L2 U' F' D R2
D F2 U2 B U F L2
B2 D2 L2 D F U' F2
B2 D2 L2 D' F U' F2
B2 D2 L2 D2 F U' F2
B2 D2 L2 F L U' F2
B2 D2 L2 F L' U' F2
B2 D2 L2 F L2 U' F2
B2 D2 L2 F U' F2 D
B2 D2 L2 F U' F2 D'
B2 D2 L2 F U' F2 D2
B2 D2 L2 F D' L2 U'
U2 F2 D B U F L2
U2 F2 D2 F2 B U F'
U2 F2 D2 B F2 U F'
U2 F2 B R2 F' U F2
U2 F2 B U2 B U' F
L' F2 B2 U2 B' U F
L2 F2 B2 U2 B' U F
F' D2 U' F2 B U B'
F' D2 U' B F2 U B'
B2 D2 U' F' U' B' U
B2 D2 U2 B' U D F'
B2 D2 U2 B' U D' F'
B2 D2 U2 B' U D2 F'
B2 D2 U2 B' U F' D
B2 D2 U2 B' U F' D'
B2 D2 U2 B' U F' D2
L F2 B2 U2 B' U F
B2 D2 U2 B' D U F'
B2 D2 U2 B' D' U F'
B2 D2 U2 B' D2 U F'
F2 D2 U2 F2 B U F'
F2 D2 U2 B F2 U F'
B2 D2 F L2 F U' F
B2 D2 F U2 B' U F2
B2 D2 F D' L2 F U'
B2 D2 F' L2 F U' F'
B' D2 F2 D B' U' F
B' D2 F2 D' B' U' F
B' D2 F2 D2 B' U' F
B' D2 F2 B' U' D F
B' D2 F2 B' U' D' F
B' D2 F2 B' U' D2 F
B' D2 F2 B' U' F D
B' D2 F2 B' U' F D'
B' D2 F2 B' U' F D2
B' D2 F2 B' D U' F
B' D2 F2 B' D' U' F
B' D2 F2 B' D2 U' F
B2 D2 F2 U2 B' U F
B' D2 B' L F2 U' F
B' D2 B' L' F2 U' F
B' D2 B' L2 F2 U' F
B' D2 B' U' D F' R2
B' D2 B' D U' F' R2
B D2 B L2 F U' F2
B' D2 B' F2 U' D F
B' D2 B' F2 U' D' F
B' D2 B' F2 U' D2 F
B' D2 B' F2 U' F D
B' D2 B' F2 U' F D'
B' D2 B' F2 U' F D2
B' D2 B' F2 D U' F
B' D2 B' F2 D' U' F
B' D2 B' F2 D2 U' F
U' B U F' B' D L2
D' B U R2 U2 R2 F'
D' B U R2 B U2 R2
D2 B U D' F' L2 B'
U2 B R2 F' R2 U F'
U2 B R2 F' U' B U2
B D2 B U2 B' U F'
U' B U B' D L2 F'
U' B U B' D F' L2
D' B U D2 F' L2 B'
U' B U B' F' D L2
D' B U F' D2 L2 B'
D' B U' R2 B U2 B'
U2 B U F' U B U'
D B U F' L2 D B'
D B U F' L2 D' B'
D B U F' L2 D2 B'
D B U F' L2 B' D
D B U F' L2 B' D'
D B U F' L2 B' D2
