L' R F2 B U F2
L' R B F2 U F2
R L' F2 B U F2
R L' B F2 U F2
U' L' F2 B' U R'
U' L' B' F2 U R'
R U' L' F2 B U
R U' L' B F2 U
R U' B L' F2 U
L' F2 R B U F2
L' F2 U F R F
R B L' F2 U F2
U' B' L' F2 U R'
L R' U' F2 L2 B' U
B' L' R F2 B U F2
B' L' R B F2 U F2
B2 L' R F2 B U F2
B2 L' R B F2 U F2
B L' R F2 B U F2
B L' R B F2 U F2
U2 L' U F2 B' U B
U2 L' U B' F2 U B
L R' F2 L2 B' U F2
R' L' F2 U2 F U' F
L' R' F2 U2 F U' F
R2 L' F2 R' B U F2
R L' F2 D B R2 U
R L' F2 B R U F2
R L' F2 B R' U F2
R L' F2 B R2 U F2
R L' F2 B U F2 D
R L' F2 B U F2 D'
R L' F2 B U F2 D2
R L' F2 B D R2 U
R L' B R F2 U F2
R L' B R' F2 U F2
R L' B R2 F2 U F2
U' L' D' B' U L2 R'
U' L' D' B' U R' L2
R L' B F2 R U F2
R L' B F2 R' U F2
R L' B F2 R2 U F2
R L' B F2 U F2 D
R L' B F2 U F2 D'
R L' B F2 U F2 D2
R L' B F2 D R2 U
D' L' F' U F L' R
D' L' F' U F R L'
B' L' F2 R B U F2
R L2 U' L F2 B U
R L2 U' L B F2 U
B2 L' F2 R B U F2
B' L' F2 U F R F
B L' F2 R B U F2
B2 L' F2 U F R F
U' L' F2 U2 F U' R
B L' F2 U F R F
U' L' F2 D B' U R'
U' L' F2 D' B' U R'
U' L' F2 D2 B' U R'
U' L' F2 B U' L U2
U' L' F2 B' U R' D
U' L' F2 B' U R' D'
U' L' F2 B' U R' D2
U' L' F2 B' U D R'
U' L' F2 B' U D' R'
U' L' F2 B' U D2 R'
U' L' F2 B' D U R'
U' L' F2 B' D' U R'
U' L' F2 B' D2 U R'
U2 L' F2 B' R2 U F'
U2 L' F2 B' U' B U2
R L2 U' F2 L B U
U' L' B F2 U' L U2
U' L' B' U R' D' L2
U' L' B' U D' L2 R'
U' L' B' U D' R' L2
U2 L' B' R2 F2 U F
U' L' B' D' U L2 R'
U' L' B' D' U R' L2
U' L' B' F2 U R' D
U' L' B' F2 U R' D'
U' L' B' F2 U R' D2
U' L' B' F2 U D R'
U' L' B' F2 U D' R'
U' L' B' F2 U D2 R'
U' L' B' F2 D U R'
U' L' B' F2 D' U R'
U' L' B' F2 D2 U R'
U2 L' B' F2 R2 U F'
U2 L' B' F2 U' B U2
D' L2 R U' L B U
U2 L2 U L F2 B' U
U2 L2 U L B' F2 U
L' R2 F2 R' B U F2
U2 L2 U F2 L B' U
D' L2 U' L B' U R'
R L2 F2 L B U F2
U' L2 F2 L B' U R'
D2 L2 B2 R' F' U' F
B' R L' F2 B U F2
B' R L' B F2 U F2
B2 R L' F2 B U F2
D' R L2 U' L B U
B2 R L' B F2 U F2
B R L' F2 B U F2
B R L' B F2 U F2
D' R U' L' B U L'
B' R U' L' F2 B U
B' R U' L' B F2 U
B2 R U' L' F2 B U
B2 R U' L' B F2 U
B R U' L' F2 B U
B R U' L' B F2 U
D' R U' B L' U L'
B' R U' B L' F2 U
B2 R U' B L' F2 U
B R U' B L' F2 U
R' U' L F2 L2 B' U
L2 U' L F2 B' U R'
L2 U' L B' F2 U R'
R U' L F2 L2 B U
R U' L F2 B L2 U
R' U' L' F2 U2 F U'
R U' L B L2 F2 U
R U' L B F2 L2 U
R U' L' D' B U L2
R U' L' F2 D B U
R U' L' F2 D' B U
R U' L' F2 D2 B U
R U' L' F2 B U D
R U' L' F2 B U D'
R U' L' F2 B U D2
R U' L' F2 B D U
R U' L' F2 B D' U
R U' L' F2 B D2 U
R U' L' B U D' L2
R U' L' B D' U L2
R U' L' B F2 U D
R U' L' B F2 U D'
R U' L' B F2 U D2
R U' L' B F2 D U
R U' L' B F2 D' U
R U' L' B F2 D2 U
L U' L2 F2 B' U R'
R U' L2 F2 L B U
L U' L2 B' F2 U R'
B' R B L' F2 U F2
B2 R B L' F2 U F2
B R B L' F2 U F2
F2 R B U F2 D2 B2
R U' D' L' B U L'
R U' D' B L' U L'
L2 U' F2 L B' U R'
R' U' F2 U2 R F U'
L U' F2 L2 B' U R'
R2 U' F2 U2 R F' U'
L U' F2 B' L2 U R'
R U' F2 B U2 R U'
R U' B L F2 L2 U
L U' B L2 F2 U R
R U' B L' U D' L2
R U' B L' D' U L2
R U' B L' F2 U D
R U' B L' F2 U D'
R U' B L' F2 U D2
R U' B L' F2 D U
R U' B L' F2 D' U
R U' B L' F2 D2 U
R U' B L2 F2 L U
R U' B D' L' U L'
R U' B F2 U2 R U'
L U' B' L2 F2 U R'
R U' B' L' F2 B2 U
R U' B' L' B2 F2 U
F2 R' D R2 B U B
L U' B' F2 L2 U R'
D' U F U' L2 R B
D' U F U' R L2 B
D' U F U' R B L2
D2 U F B2 U' R B
R D' L2 U' L B U
D2 U B2 F U' R B
U' D' L' B' U L' R'
U' D' L' B' U R' L'
D' U' L' B' U L' R'
D' U' L' B' U R' L'
R D' U' L' B U L'
R D' U' B L' U L'
B' U' L' F2 B' U R'
B' U' L' B' F2 U R'
B2 U' L' F2 B' U R'
B2 U' L' B' F2 U R'
L' D' F' U F L2 R
L' D' F' U F R L2
B U' L' F2 B' U R'
B U' L' B' F2 U R'
U D' F U' L2 R B
U D' F U' R L2 B
U D' F U' R B L2
U' D' B' L' U L' R'
U' D' B' L' U R' L'
D' U' B' L' U L' R'
D' U' B' L' U R' L'
B' U' B' L' F2 U R'
B2 U' B' L' F2 U R'
B U' B' L' F2 U R'
F2 U2 L R F U' F
F2 U2 R L F U' F
U D2 F B2 U' R B
F2 U2 R U' F R F
F2 U2 R F U' F R
L2 D2 B2 R' F' U' F
U D2 B2 F U' R B
L' F' U F R D' L2
L' F' U F D' L2 R
L' F' U F D' R L2
L2 F2 L R B U F2
L2 F2 L U F R F
L' F2 R D B R2 U
L2 F2 R L B U F2
L' F2 R B R U F2
L' F2 R B R' U F2
L' F2 R B R2 U F2
L' F2 R B U F2 D
L' F2 R B U F2 D'
L' F2 R B U F2 D2
L' F2 R B D R2 U
L F2 L2 R B U F2
L F2 L2 U F R F
L' F2 R' U2 F' U' F'
L' F2 R' D R2 B U
L F2 R L2 B U F2
L F2 R B L2 U F2
L' F2 U R F R F
L' F2 U R' F R F
L' F2 U R2 F R F
L' F2 U F R D F
L' F2 U F R D' F
L' F2 U F R D2 F
L' F2 U F R F D
L' F2 U F R F D'
L' F2 U F R F D2
L' F2 U F R' F R2
L' F2 U F R2 F R'
L' F2 U F D R F
L' F2 U F D' R F
L' F2 U F D2 R F
L' F2 U' B L U2 F2
U' F2 U2 R F U' R
L' F2 U' B' U2 R' F2
L' F2 U' B' U2 F2 R'
R' F2 U2 R F U' F
L' F2 U2 L F U' F
L' F2 U2 F U' F R
L' F2 D R B R U
R2 F2 U2 R F' U' F'
L' F2 B R B U F2
L' F2 B U F R F
U' F2 B' U R' D B2
U' F2 B' U2 R U' R2
L' F2 B' R B U F2
L' F2 B' U F R F
L' F2 B2 R B U F2
L' F2 B2 U F R F
R F2 B U2 R U' F2
U' B L' D' B2 U L2
U' B L' F2 U D2 R2
U' B L' F2 U' L2 U2
U' B L' F2 D' B2 U
U' B L' F2 D2 U R2
U' B L2 F2 L U R
R B L F2 L2 U F2
R B L' R F2 U F2
R B L' R' F2 U F2
R B L' R2 F2 U F2
L' B R F2 B U F2
L' B R B F2 U F2
R B L' F2 R U F2
R B L' F2 R' U F2
R B L' F2 R2 U F2
R B L' F2 U F2 D
R B L' F2 U F2 D'
R B L' F2 U F2 D2
R B L' F2 D R2 U
R B L2 F2 L U F2
R B R L' F2 U F2
R B R' L' F2 U F2
R B R2 L' F2 U F2
L' B F2 R B U F2
L' B F2 U F R F
U' B' L F2 L2 U R'
U' B' L' U R' D' L2
U' B' L' U D' L2 R'
U' B' L' U D' R' L2
U' B' L' D' U L2 R'
U' B' L' D' U R' L2
U' B' L' F2 U R' D
U' B' L' F2 U R' D'
U' B' L' F2 U R' D2
U' B' L' F2 U D R'
U' B' L' F2 U D' R'
U' B' L' F2 U D2 R'
U' B' L' F2 D U R'
U' B' L' F2 D' U R'
U' B' L' F2 D2 U R'
U' B' L2 F2 L U R'
R B F2 U2 R U' F2
R B' L D' L2 R2 B2
R B' L D' L2 B2 R2
R B' L D' R2 L2 B2
R B' L D' R2 B2 L2
R B' L D' B2 L2 R2
R B' L D' B2 R2 L2
L' B' R F2 B U F2
L' B' R B F2 U F2
R B' L' F2 B2 U F2
R B' L' B2 F2 U F2
U' B' D' L' U L' R'
U' B' D' L' U R' L'
R B' U' L' F2 B2 U
R B' U' L' B2 F2 U
R B' U' B2 L' F2 U
U' B' F2 U R' D B2
U' B' F2 U2 R U' R2
L' B' F2 R B U F2
L' B' F2 U F R F
U' B2 L' F2 B U R'
U' B2 L' B F2 U R'
L' B2 R F2 B U F2
L' B2 R B F2 U F2
R B2 U' B' L' F2 U
L' B2 F2 R B U F2
L' B2 F2 U F R F
