L2 R F U' B U'
L2 R' F U F2 U
L2 R' F U2 D' L2
L2 R' F D R2 U2
L2 R' F D' U2 L2
L2 R2 D' F U2 L'
R2 L2 D' F U2 L'
R' L2 F U F2 U
R' L2 F U2 D' L2
R' L2 F D R2 U2
R' L2 F D' U2 L2
R L2 F U' B U'
L2 U2 L2 D' B' L
L2 F R U' B U'
L2 F R' U F' U
L2 F U F' U L'
L2 F U' B U' L
U' B U' L B2 R'
L2 U F' U D2 L' B2
L2 U F' U D2 B2 L'
L2 U F' U' F2 R U2
L2 U F' D' L2 U L
L2 U F' D2 U L' B2
L2 U F' D2 U B2 L'
L2 U F2 U' F' R U2
D2 R U' B U' R B2
D2 R U' B U' B2 R
D2 R U2 R D B' L
D R U' F2 B U' B2
D R U' B F2 U' B2
D2 R U2 B' R D L2
D2 R U2 B' D L2 R
D2 R U2 B' D R L2
D R U2 B' D L2 R2
D R U2 B' D R2 L2
U' R B U' L B2 R'
D R B' D L2 R2 F'
D R B' D R2 L2 F'
D R B' D R2 F' L2
R2 U' D F2 U' B' L
R U' D F2 B U' B2
R U' D B F2 U' B2
R U' D2 B U' R2 B2
R U' D2 B U' B2 R2
F' R' L2 F U F2 U
F' R' L2 F U2 D' L2
F' R' L2 F D R2 U2
F' R' L2 F D' U2 L2
F2 R' L2 F U F2 U
F2 R' L2 F U2 D' L2
F2 R' L2 F D R2 U2
F2 R' L2 F D' U2 L2
F R' L2 F U F2 U
F R' L2 F U2 D' L2
F R' L2 F D R2 U2
F R' L2 F D' U2 L2
D2 R' U F' U R' B'
D' R' U F' B2 U B
D' R' U B2 F' U B
D2 R' U2 R' D B' L
L2 U' B U F U2 L
L2 U' B U' L2 B' L'
R U' B U L2 U2 B2
R U' B U' B2 D2 R2
L2 U' B' U R' F U2
L2 U' B' U F R' U2
L2 U' B2 U' L2 B' L
L2 U2 L' U B' R' U'
L2 U2 L2 D' B' L D
L2 U2 L2 D' B' L D'
L2 U2 L2 D' B' L D2
L2 U2 L2 D' B' D L
L2 U2 L2 D' B' D' L
L2 U2 L2 D' B' D2 L
U' R' B U' L B2 R'
L2 U2 D L2 D' B' L
R2 U2 D B' L D R2
R2 U2 D B' D L R2
R2 U2 D B' D R2 L
L2 U2 D' L2 D' B' L
R U2 D B' D L2 R2
R U2 D B' D R2 L2
R' U2 D2 R2 B' D L2
L2 U2 D2 L2 D' B' L
R2 U2 D2 R2 D' B' L
R U2 D2 B' R2 D L2
F' R2 L2 D' F U2 L'
F2 R2 L2 D' F U2 L'
F R2 L2 D' F U2 L'
L2 U2 B L2 D' B' L
L2 U2 B' L2 D' B' L
D R2 U2 D R2 B' L
D R2 U2 D B' L R2
D R2 U2 D B' R2 L
L2 U2 B2 L2 D' B' L
D R2 D U2 R2 B' L
R U2 B' D L2 D R2
D R2 D U2 B' L R2
D R2 D U2 B' R2 L
R U2 B' D2 R2 D' L2
D R2 D B' L R2 F'
D R2 D B' R2 L F'
D R2 D B' R2 F' L
D R2 D' L2 F U2 L'
L2 D R F U' B U'
U' R2 B U' L B2 R'
L2 D R' F U F2 U
L2 D R' F U2 D' L2
L2 D R' F D R2 U2
L2 D R' F D' U2 L2
L2 D R2 D' F U2 L'
R2 D U' F2 U' B' L
L2 D U2 L2 D' B' L
R D U' F2 B U' B2
R D U' B F2 U' B2
R2 D U2 B' L D R2
R2 D U2 B' D L R2
R2 D U2 B' D R2 L
L2 D F R U' B U'
L2 D F R' U F' U
L2 D F U F' U L'
L2 D F U' B U' L
R D U2 B' D L2 R2
R D U2 B' D R2 L2
R2 D B' L D R2 F'
R2 D B' D L R2 F'
R2 D B' D R2 L F'
R2 D B' D R2 F' L
R D B' D L2 R2 F'
R D B' D R2 L2 F'
R D B' D R2 F' L2
D2 U F' U R2 B' L'
D2 U F' U B' L' R2
D2 U F' U B' R2 L'
D' U F' B2 U L' B
D' U F' B2 U B L'
U' D F2 B U' L B2
U' D B F2 U' L B2
L2 D' R F U' B U'
D' U B2 F' U L' B
D' U B2 F' U B L'
L2 D' R' F U F2 U
L2 D' R' F U2 D' L2
L2 D' R' F D R2 U2
L2 D' R' F D' U2 L2
B2 U B D2 R2 F' L'
L2 D' R2 D' F U2 L'
R' D' U F' B2 U B
R' D' U B2 F' U B
B U B' L2 F R U2
B2 U B2 L2 F R U2
B U B2 D2 R2 F' L'
L2 D' U2 L2 D' B' L
L2 D' F R U' B U'
L2 D' F R' U F' U
L2 D' F U F' U L'
L2 D' F U' B U' L
B2 U' L2 B2 U2 B' L
U D' F' B2 U L' B
U D' F' B2 U B L'
D2 U' B U' L R2 B2
D2 U' B U' L B2 R2
D2 U' B U' R2 L B2
D U' F2 B U' L B2
B2 U' D2 F2 B L R2
B2 U' D2 F2 B R2 L
B2 U' D2 B L R2 F2
B2 U' D2 B L F2 R2
D U' B F2 U' L B2
B2 U' D2 B R2 L F2
B2 U' D2 B R2 F2 L
B2 U' D2 B F2 L R2
B2 U' D2 B F2 R2 L
U D' B2 F' U L' B
U D' B2 F' U B L'
L2 D2 R F U' B U'
F' U' B U' L B2 R'
L2 D2 R' F U F2 U
L2 D2 R' F U2 D' L2
L2 D2 R' F D R2 U2
L2 D2 R' F D' U2 L2
F2 U' B U' L B2 R'
B2 U' B D2 L R2 F'
B2 U' B D2 R2 L F'
B2 U' B D2 R2 F' L
L2 D2 R2 D' F U2 L'
R' D2 U F' U R2 B'
R' D2 U F' U B' R2
F U' B U' L B2 R'
B U' B' L2 R' F U2
B U' B' L2 F R' U2
B U' B' R' L2 F U2
R' D2 U2 R2 B' D L2
L2 D2 U2 L2 D' B' L
R2 D2 U2 R2 D' B' L
R D2 U' B U' R2 B2
R D2 U' B U' B2 R2
L2 D2 F R U' B U'
L2 D2 F R' U F' U
L2 D2 F U F' U L'
L2 D2 F U' B U' L
B' U2 L2 D' B R' U2
R D2 U2 B' R2 D L2
U D2 F' U R2 B' L'
U D2 F' U B' L' R2
U D2 F' U B' R2 L'
U' D2 B U' L R2 B2
U' D2 B U' L B2 R2
U' D2 B U' R2 L B2
R D2 B U' B2 R2 F'
R D2 B' R2 D L2 F'
R D2 B' R2 D F' L2
R D2 B' R2 F' D L2
R' F L2 U2 D' L2 B'
R' F L2 D R2 F U2
R' F L2 D F R2 U2
R' F L2 D' U2 L2 B'
R' F L2 D' F U2 L2
R' F L2 F U F U
R2 F L2 D' F U2 L'
L2 F R U' D B U'
L2 F R U' D' B U'
L2 F R U' D2 B U'
L2 F R U' B U' D
L2 F R U' B U' D'
L2 F R U' B U' D2
L2 F R U' B D U'
L2 F R U' B D' U'
L2 F R U' B D2 U'
L2 F R D U' B U'
L2 F R D' U' B U'
L2 F R D2 U' B U'
R F L2 F U' B U'
L2 F R' U D F' U
L2 F R' U D' F' U
L2 F R' U D2 F' U
L2 F R' U F' U D
L2 F R' U F' U D'
L2 F R' U F' U D2
L2 F R' U F' D U
L2 F R' U F' D' U
L2 F R' U F' D2 U
L2 F R' D U F' U
L2 F R' D' U F' U
L2 F R' D2 U F' U
L2 F U D F' U L'
L2 F U D' F' U L'
L2 F U D2 F' U L'
L2 F U F U' R U2
L2 F U F' U L' D
L2 F U F' U L' D'
L2 F U F' U L' D2
L2 F U F' U D L'
L2 F U F' U D' L'
L2 F U F' U D2 L'
L2 F U F' D U L'
L2 F U F' D' U L'
L2 F U F' D2 U L'
L2 F U' D B U' L
L2 F U' D' B U' L
L2 F U' D2 B U' L
L2 F U' B U' L D
L2 F U' B U' L D'
L2 F U' B U' L D2
L2 F U' B U' D L
L2 F U' B U' D' L
L2 F U' B U' D2 L
L2 F U' B D U' L
L2 F U' B D' U' L
L2 F U' B D2 U' L
L2 F U' B' U R' U2
L2 F U2 L U' F U
L2 F U2 L' U B' U'
U F U' L2 R F U2
U F U' R L2 F U2
L2 F D R U' B U'
L2 F D R' U F' U
L2 F D U F' U L'
L2 F D U' B U' L
B2 D L2 F2 U' B L
L2 F D' R U' B U'
L2 F D' R' U F' U
L2 F D' U F' U L'
L2 F D' U' B U' L
L2 F D2 R U' B U'
L2 F D2 R' U F' U
L2 F D2 U F' U L'
L2 F D2 U' B U' L
U' F B U' L B2 R'
R' F' L2 F U F' U
R2 F' L2 D' F U2 L'
B2 D F2 L2 U' B L
L2 F' R F2 U' B U'
R F' L2 F U' B U'
L2 F' R' F2 U F U
U F' U D2 R2 B' L'
U F' U D2 B' L' R2
U F' U D2 B' R2 L'
U F' U B' D2 L' R2
U F' U B' D2 R2 L'
U F' U' L2 F U2 L
U' F' B U' L B2 R'
U F' D' B2 U L' B
U F' D' B2 U B L'
U F' D2 U R2 B' L'
U F' D2 U B' L' R2
U F' D2 U B' R2 L'
R' F2 L2 F U' B' U'
R2 F2 L2 D' F U2 L'
R F2 L2 F U' B U'
U F2 U D2 R2 B' L
U F2 U D2 B' L R2
U F2 U D2 B' R2 L
U F2 U' L2 F U2 L'
U' F2 B U' L B2 R'
B' D2 R2 D' F L' F2
B' D2 R2 F2 D' F L'
U F2 D2 U R2 B' L
U F2 D2 U B' L R2
U F2 D2 U B' R2 L
B2 D2 U' F2 B L R2
B2 D2 U' F2 B R2 L
B2 D2 U' B L R2 F2
B2 D2 U' B L F2 R2
B2 D2 U' B R2 L F2
B2 D2 U' B R2 F2 L
B2 D2 U' B F2 L R2
B2 D2 U' B F2 R2 L
U' B R U' L B2 R'
U' B R' U' L B2 R'
U' B R2 U' L B2 R'
U' B U L2 U2 L' B2
U' B U L2 U2 B2 L'
U' B U' L R B2 R'
U' B U' L R' B2 R'
U' B U' L R2 B2 R'
U' B U' L B2 R' D
U' B U' L B2 R' D'
U' B U' L B2 R' D2
U' B U' L B2 D R'
U' B U' L B2 D' R'
U' B U' L B2 D2 R'
U' B U' R L B2 R'
D2 B U B2 R2 F' L'
U' B U' R' L B2 R'
U' B U' R2 L B2 R'
R B U L2 U2 F B2
R B U L2 U2 B2 F
R B U B' L2 F U2
R B U' B2 D2 R2 F'
U' B F U' L B2 R'
U' B F' U' L B2 R'
U' B F2 U' L B2 R'
D2 B' R2 D' F L' F2
D2 B' R2 F2 D' F L'
R B' D L2 D R2 F'
R B' D2 R2 D' L2 F'
R B' D2 R2 D' F' L2
D2 B2 U B R2 F' L'
U' B2 U' B' L B2 R'
D2 B2 U' B L R2 F'
D2 B2 U' B R2 L F'
D2 B2 U' B R2 F' L
D' B2 U' B2 U2 B' L
