U L U2 B L
U' B2 R' B' L
U L R2 F' U2 L'
U L U2 L B L
U L U2 L' B L
U L U2 L2 B L
U L U2 D B L
U L U2 D' B L
U L U2 D2 B L
U L U2 B L D
U L U2 B L D'
U L U2 B L D2
U L U2 B D L
U L U2 B D' L
U L U2 B D2 L
U L D U2 B L
U L D' U2 B L
U L D2 U2 B L
U L F' U2 L' B
U L F' U2 B L'
U' L' D2 B L R2
U' L' D2 B R2 L
U' L' B D2 L R2
U' L' B D2 R2 L
U' L2 B L D2 R2
B2 R B U' R2 B2
B2 R B U' B2 R2
B R B U' R' B'
U R2 L F' U2 L'
U R2 F' L U2 L2
F' U L U2 B L
F2 U L U2 B L
D2 U L U2 B L
D' U L U2 B L
U D L U2 B L
D U L U2 B L
F U L U2 B L
U' D B2 R' B' L
U D' L U2 B L
B2 U' R' B L B2
U' D' B2 R' B' L
D2 U' B2 R' B' L
D' U' B2 R' B' L
D U' B2 R' B' L
U D2 L U2 B L
F' U' B2 R' B' L
F2 U' B2 R' B' L
F U' B2 R' B' L
U' D2 B2 R' B' L
U F' L U2 L2 B
U F' L U2 B L2
U' B L B R' B'
R B R' U' B R'
R B U' R' B R'
R B U' B R' B
U' B2 R B' L R2
U' B2 R B' R2 L
U' B2 R' B' L D
U' B2 R' B' L D'
U' B2 R' B' L D2
U' B2 R' B' D L
U' B2 R' B' D' L
U' B2 R' B' D2 L
U' B2 R2 B' L R
U' B2 R2 B' R L
U L F' U2 D2 L' B
U L F' U2 D2 B L'
U L F' U2 B L' D
U L F' U2 B L' D'
U L F' U2 B L' D2
U L F' U2 B D L'
U L F' U2 B D' L'
U L F' U2 B D2 L'
U L F' U2 B' L' B2
U L F' D U2 L' B
U L F' D U2 B L'
U L F' D' U2 L' B
U L F' D' U2 B L'
U L F' D2 U2 L' B
U L F' D2 U2 B L'
U L F2 R2 F' R U2
U' L F2 B L F2 R
U' L B L U2 L' U2
U' L B L F2 R F2
U' L B L2 D2 L' R2
U' L B L2 D2 R2 L'
U' L B F2 L F2 R
U' L B' L' B2 L R'
U' L B' L' B2 R' L
U' L' R2 D2 R2 B L
U L' R2 F' L2 U2 L
U' L' U2 L2 U2 B L
U L' U2 D2 B L R2
U L' U2 D2 B R2 L
U L' U2 B D2 L R2
U L' U2 B D2 R2 L
U' L' D B L D R2
U' L' D B D L R2
U' L' D B D R2 L
U' L' D2 L B L R2
U' L' D2 L B R2 L
U' L' D2 L' B L R2
U' L' D2 L' B R2 L
U' L' D2 L2 B L R2
U' L' D2 L2 B R2 L
U' L' D2 B L R2 D
U' L' D2 B L R2 D'
U' L' D2 B L R2 D2
U' L' D2 B R2 L D
U' L' D2 B R2 L D'
U' L' D2 B R2 L D2
U' L' D2 B R2 D L
U' L' D2 B R2 D' L
U' L' D2 B R2 D2 L
U' L' D2 B2 R2 B' L
U L' D2 U2 B L R2
U L' D2 U2 B R2 L
U L' F' L2 U2 L B
U' L' B L U2 L U2
U' L' B L B2 R' B2
U' L' B R D2 L R2
U' L' B R D2 R2 L
U' L' B R' D2 L R2
U' L' B R' D2 R2 L
U' L' B R2 D2 L R2
U' L' B R2 D2 R2 L
U' L' B U2 L2 U2 L'
U' L' B D L D R2
U' L' B D' L D' R2
U' L' B D2 L R2 D
U' L' B D2 L R2 D'
U' L' B D2 L R2 D2
U' L' B D2 R2 L D
U' L' B D2 R2 L D'
U' L' B D2 R2 L D2
U' L' B D2 R2 D L
U' L' B D2 R2 D' L
U' L' B D2 R2 D2 L
U' L' B' L B2 L R'
U' L' B' L B2 R' L
U' L2 U2 L' U2 B L
U L2 U2 B L D2 R2
U L2 D L' U2 B L
U' L2 D B L D2 R2
U L2 D' L' U2 B L
U' L2 D' B L D2 R2
R2 U L D' F' R U2
U L2 D2 L' U2 B L
U' L2 D2 B L D2 R2
U' L2 F2 B L R F2
U' L2 F2 B R L F2
U' L2 F2 B R F2 L
U' L2 B L R D2 R2
U' L2 B L R' D2 R2
U' L2 B L R2 D2 R2
U' L2 B L U2 L2 U2
U' L2 B L D2 R2 D
U' L2 B L D2 R2 D'
U' L2 B L D2 R2 D2
U' L2 B R L D2 R2
U' L2 B R' L D2 R2
U' L2 B R2 L D2 R2
U' L2 B U2 L' U2 L2
U' L2 B D L D2 R2
U' L2 B D' L D2 R2
U' L2 B D2 L D2 R2
U' L2 B F2 L R F2
U' L2 B F2 R L F2
U' L2 B F2 R F2 L
U' L2 B' L2 B2 L R'
U' L2 B' L2 B2 R' L
R2 U D' L F' R U2
R2 U D' F' L R U2
R2 U D' F' R L U2
U R L F R F' U2
B2 R U' B' R2 D L2
B2 R D' F2 B U' B2
B2 R D' B F2 U' B2
U R F L R F' U2
U R F R L F' U2
B2 R F B U' R2 B2
B2 R F B U' B2 R2
U R F R F' L U2
L U' L' B' U' B2 L
L U' L' B2 U' B' L
B R F B U' R' B'
B2 R F' B U' R2 B2
B2 R F' B U' B2 R2
B R F' B U' R' B'
U' R B L R' B R'
B2 R F2 B U' R2 B2
B2 R F2 B U' B2 R2
U' R B L B R' B
D2 R B R' U' B R'
D' R B R' U' B R'
U' R B R' L B R'
F' R B R' U' B R'
B R F2 B U' R' B'
B' R B U L U2 B
B2 R B R U' R B2
D2 R B U' R' B R'
B2 R B R U' B2 R
D' R B U' R' B R'
D2 R B U' B R' B
D' R B U' B R' B
B2 R B R' U' R' B2
B' R B U' B2 R' B'
F' R B U' R' B R'
F2 R B R' U' B R'
F' R B U' B R' B
B2 R B U' R B2 R
B2 R B U' R2 B2 D
B2 R B U' R2 B2 D'
B2 R B U' R2 B2 D2
D R B R' U' B R'
B R B R U' R2 B'
B R B R U' B' R2
B2 R B U' B' R2 B'
B2 R B U' B2 R2 D
B2 R B U' B2 R2 D'
B2 R B U' B2 R2 D2
F2 R B U' R' B R'
F2 R B U' B R' B
B R B R2 U' R B'
B R B R2 U' B' R
B2 R B D' R2 F2 U'
D R B U' R' B R'
B2 R B D' F2 R2 U'
D R B U' B R' B
B R B U' R B' R2
B R B U' R' D B'
B R B U' R' D' B'
B R B U' R' D2 B'
B R B U' R' B' D
B R B U' R' B' D'
B R B U' R' B' D2
B R B U' R2 B' R
B R B U' D R' B'
B R B U' D' R' B'
B R B U' D2 R' B'
F R B R' U' B R'
B2 R B F U' R2 B2
B2 R B F U' B2 R2
B2 R B F' U' R2 B2
B2 R B F' U' B2 R2
B R B D U' R' B'
B2 R B F2 U' R2 B2
B2 R B F2 U' B2 R2
B R B D' U' R' B'
F R B U' R' B R'
F R B U' B R' B
B R B D2 U' R' B'
B R B F U' R' B'
B R B F' U' R' B'
B R B F2 U' R' B'
U' R B2 R' B' L B2
L2 U' D F2 B L R
L2 U' D F2 B R L
L2 U' D B F2 L R
L2 U' D B F2 R L
U R' L F R U2 B
U R' L F' U2 L' B'
B2 R' U' F' U F B'
B2 R' U' F' U B' F
U' R' U2 L F R U2
L2 U' B D F2 L R
L2 U' B D F2 R L
L U' B' L' U' B2 L
R U' B2 R' B D L2
U R' F L R U2 B
U R' F R L U2 B
U' R' B L R B R'
U' R' B R L B R'
B2 R' B' U' F' U F
U' R2 L' D2 R2 B L
U R2 L D F' U2 L'
U R2 L D' F' U2 L'
U R2 L D2 F' U2 L'
U R2 L F R F2 U2
U R2 L F' R U2 L'
U R2 L F' R' U2 L'
U R2 L F' R2 U2 L'
U R2 L F' U2 L' D
U R2 L F' U2 L' D'
U R2 L F' U2 L' D2
U R2 L F' U2 D L'
U R2 L F' U2 D' L'
U R2 L F' U2 D2 L'
U R2 L F' D U2 L'
U R2 L F' D' U2 L'
U R2 L F' D2 U2 L'
U R2 L' F' L2 U2 L
B2 R2 U' D R B' L
B2 R2 U' D B' L R
B2 R2 U' D B' R L
U' R2 U2 L F' U2 L'
U' R2 U2 F' L U2 L2
B2 R2 D U' R B' L
B2 R2 D U' B' L R
B2 R2 D U' B' R L
U R2 D L F' U2 L'
U R2 D F' L U2 L2
U R2 D' L F' U2 L'
L' D L F2 U' B L
U R2 D' F' L U2 L2
U R2 D2 L F' U2 L'
U R2 D2 F' L U2 L2
U R2 F L R F2 U2
U R2 F L F2 U2 L'
U R2 F R L F2 U2
U R2 F R F2 L U2
U R2 F' L R U2 L2
U R2 F' L R' U2 L2
U R2 F' L R2 U2 L2
U R2 F' L U2 L2 D
U R2 F' L U2 L2 D'
U R2 F' L U2 L2 D2
U R2 F' L D2 R2 U2
U R2 F' R L U2 L2
U R2 F' R' L U2 L2
U R2 F' R2 L U2 L2
U R2 F' U2 L' D2 R2
U R2 F' D L U2 L2
U R2 F' D' L U2 L2
U R2 F' D2 L U2 L2
U' R2 B L R2 B R'
U' R2 B R2 L B R'
D' U L R2 F' U2 L'
D2 U L R2 F' U2 L'
F' U L R2 F' U2 L'
D' U L U2 L B L
D' U L U2 L' B L
D' U L U2 L2 B L
D' U L U2 D B L
D' U L U2 D' B L
D2 U L U2 L B L
D' U L U2 D2 B L
D2 U L U2 L' B L
D2 U L U2 L2 B L
D' U L U2 B L D
D' U L U2 B L D'
D' U L U2 B L D2
D' U L U2 B D L
D' U L U2 B D' L
D' U L U2 B D2 L
D2 U L U2 D B L
D2 U L U2 D' B L
D2 U L U2 D2 B L
D2 U L U2 B L D
D2 U L U2 B L D'
D2 U L U2 B L D2
D2 U L U2 B D L
D2 U L U2 B D' L
D2 U L U2 B D2 L
D' U L D U2 B L
F' U L U2 L B L
F' U L U2 L' B L
F' U L U2 L2 B L
D2 U L D U2 B L
F' U L U2 D B L
F' U L U2 D' B L
F' U L U2 D2 B L
F' U L U2 B L D
F' U L U2 B L D'
F' U L U2 B L D2
F' U L U2 B D L
F' U L U2 B D' L
F' U L U2 B D2 L
D' U L D' U2 B L
D2 U L D' U2 B L
F' U L D U2 B L
D' U L D2 U2 B L
F2 U L R2 F' U2 L'
D2 U L D2 U2 B L
F' U L D' U2 B L
L2 D U' F2 B L R
L2 D U' F2 B R L
F' U L D2 U2 B L
L2 D U' B F2 L R
L2 D U' B F2 R L
D' U L F' U2 L' B
D' U L F' U2 B L'
D2 U L F' U2 L' B
D2 U L F' U2 B L'
F2 U L U2 L B L
F2 U L U2 L' B L
F2 U L U2 L2 B L
F2 U L U2 D B L
F2 U L U2 D' B L
F2 U L U2 D2 B L
F2 U L U2 B L D
F2 U L U2 B L D'
F2 U L U2 B L D2
F2 U L U2 B D L
F2 U L U2 B D' L
F2 U L U2 B D2 L
F' U L F' U2 L' B
F' U L F' U2 B L'
F2 U L D U2 B L
F2 U L D' U2 B L
F2 U L D2 U2 B L
D U L R2 F' U2 L'
F2 U L F' U2 L' B
F2 U L F' U2 B L'
D U L U2 L B L
D U L U2 L' B L
D U L U2 L2 B L
D U L U2 D B L
D U L U2 D' B L
D U L U2 D2 B L
D U L U2 B L D
D U L U2 B L D'
D U L U2 B L D2
D U L U2 B D L
D U L U2 B D' L
D U L U2 B D2 L
D U L D U2 B L
F U L R2 F' U2 L'
D U L D' U2 B L
D U L D2 U2 B L
U D L R2 F' U2 L'
F U L U2 L B L
F U L U2 L' B L
F U L U2 L2 B L
F U L U2 D B L
F U L U2 D' B L
F U L U2 D2 B L
F U L U2 B L D
F U L U2 B L D'
F U L U2 B L D2
F U L U2 B D L
F U L U2 B D' L
F U L U2 B D2 L
D U L F' U2 L' B
F U L D U2 B L
D U L F' U2 B L'
U' D L' D2 B L R2
U' D L' D2 B R2 L
U D L U2 L B L
U D L U2 L' B L
U D L U2 L2 B L
U D L U2 D B L
U D L U2 D' B L
U D L U2 D2 B L
F U L D' U2 B L
U D L U2 B L D
U D L U2 B L D'
U D L U2 B L D2
U D L U2 B D L
U D L U2 B D' L
U D L U2 B D2 L
U D L D U2 B L
F U L D2 U2 B L
U D L D' U2 B L
U' D L' B D2 L R2
U' D L' B D2 R2 L
U D L D2 U2 B L
F U L F' U2 L' B
F U L F' U2 B L'
U D L F' U2 L' B
U D L F' U2 B L'
U' D L2 B L D2 R2
B2 U L2 F R U2 R2
L' D F2 L U' B L
B2 U R B' R2 F' L'
D' U R2 L F' U2 L'
D2 U R2 L F' U2 L'
F' U R2 L F' U2 L'
F2 U R2 L F' U2 L'
D' U R2 F' L U2 L2
D2 U R2 F' L U2 L2
F' U R2 F' L U2 L2
D U R2 L F' U2 L'
F2 U R2 F' L U2 L2
F' U D L U2 B L
F U R2 L F' U2 L'
U D R2 L F' U2 L'
F2 U D L U2 B L
D U R2 F' L U2 L2
F U R2 F' L U2 L2
F' U D' L U2 B L
D' U F' L U2 L2 B
D' U F' L U2 B L2
U D R2 F' L U2 L2
D2 U F' L U2 L2 B
D2 U F' L U2 B L2
F2 U D' L U2 B L
F U D L U2 B L
F' U D2 L U2 B L
D U F' L U2 L2 B
D U F' L U2 B L2
F2 U D2 L U2 B L
F U D' L U2 B L
U D F' L U2 L2 B
U D F' L U2 B L2
F U D2 L U2 B L
U' D B L B R' B'
B2 U F R U2 R2 B'
B2 U F R U2 B' R2
F' U F' L U2 L2 B
F' U F' L U2 B L2
F2 U F' L U2 L2 B
F2 U F' L U2 B L2
B2 U F' U2 R' B' L'
F U F' L U2 L2 B
F U F' L U2 B L2
U' D B2 R B' L R2
U' D B2 R B' R2 L
U' D B2 R' B' L D
U' D B2 R' B' L D'
U' D B2 R' B' L D2
U' D B2 R' B' D L
U' D B2 R' B' D' L
U' D B2 R' B' D2 L
U' D B2 R2 B' L R
U' D B2 R2 B' R L
U' D' L' D2 B L R2
U' D' L' D2 B R2 L
D' U' L' D2 B L R2
D' U' L' D2 B R2 L
U D' L R2 F' U2 L'
D2 U' L' D2 B L R2
D2 U' L' D2 B R2 L
U D' L U2 L B L
U D' L U2 L' B L
U D' L U2 L2 B L
U D' L U2 D B L
U D' L U2 D' B L
U D' L U2 D2 B L
U D' L U2 B L D
U D' L U2 B L D'
U D' L U2 B L D2
U D' L U2 B D L
U D' L U2 B D' L
U D' L U2 B D2 L
D' U' L' B D2 L R2
U' D' L' B D2 L R2
D' U' L' B D2 R2 L
U' D' L' B D2 R2 L
U D' L D U2 B L
R2 D' U L F' R U2
D2 U' L' B D2 L R2
D2 U' L' B D2 R2 L
U D' L D' U2 B L
U D' L D2 U2 B L
U D' L F' U2 L' B
U D' L F' U2 B L'
R2 D' U F' L R U2
R2 D' U F' R L U2
D U' L' D2 B L R2
D U' L' D2 B R2 L
U' D' L2 B L D2 R2
D' U' L2 B L D2 R2
D2 U' L2 B L D2 R2
D U' L' B D2 L R2
D U' L' B D2 R2 L
D U' L2 B L D2 R2
B2 U' L' R' B L B'
F' U' L' D2 B L R2
F' U' L' D2 B R2 L
B2 U' L' D2 R' B L
F' U' L' B D2 L R2
F' U' L' B D2 R2 L
F2 U' L' D2 B L R2
F2 U' L' D2 B R2 L
B2 U' L' B L B' R'
F2 U' L' B D2 L R2
F2 U' L' B D2 R2 L
F' U' L2 B L D2 R2
F U' L' D2 B L R2
F U' L' D2 B R2 L
F2 U' L2 B L D2 R2
F U' L' B D2 L R2
F U' L' B D2 R2 L
U D' R2 L F' U2 L'
B2 U' R B L R2 B2
B2 U' R B L B2 R2
B2 U' R B R2 L B2
F U' L2 B L D2 R2
B2 U' R' L' B L B'
U D' R2 F' L U2 L2
B2 U' R' D B L B2
B2 U' R' D' B L B2
B2 U' R' D2 B L B2
B2 U' R' B L B2 D
B2 U' R' B L B2 D'
B2 U' R' B L B2 D2
B2 U' R' B L' B2 L2
B2 U' R' B L2 B2 L'
B2 U' R' B' U2 R' U2
U D' F' L U2 L2 B
U D' F' L U2 B L2
B2 U' R2 B L R B2
B2 U' R2 B L B2 R
B2 U' R2 B R L B2
B2 U' R2 B' R D2 L2
U' D' B L B R' B'
D' U' B L B R' B'
L' D' B2 R' F' U B'
D2 U' B L B R' B'
B2 U' D R' B L B2
F' U' D B2 R' B' L
F2 U' D B2 R' B' L
L' D2 L U' B L R2
L' D2 L U' B R2 L
B2 U' D' R' B L B2
D U' B L B R' B'
F' U' D' B2 R' B' L
F2 U' D' B2 R' B' L
B2 U' D2 R' B L B2
F U' D B2 R' B' L
D' U' B2 R B' L R2
D' U' B2 R B' R2 L
U' D' B2 R B' L R2
U' D' B2 R B' R2 L
D' U' B2 R' B' L D
D' U' B2 R' B' L D'
D' U' B2 R' B' L D2
U' D' B2 R' B' L D
U' D' B2 R' B' L D'
U' D' B2 R' B' L D2
D' U' B2 R' B' D L
D' U' B2 R' B' D' L
D' U' B2 R' B' D2 L
U' D' B2 R' B' D L
U' D' B2 R' B' D' L
U' D' B2 R' B' D2 L
F' U' D2 B2 R' B' L
U' D' B2 R2 B' L R
D' U' B2 R2 B' L R
U' D' B2 R2 B' R L
D' U' B2 R2 B' R L
D2 U' B2 R B' L R2
D2 U' B2 R B' R2 L
D2 U' B2 R' B' L D
D2 U' B2 R' B' L D'
D2 U' B2 R' B' L D2
D2 U' B2 R' B' D L
D2 U' B2 R' B' D' L
D2 U' B2 R' B' D2 L
F2 U' D2 B2 R' B' L
D2 U' B2 R2 B' L R
D2 U' B2 R2 B' R L
F U' D' B2 R' B' L
D U' B2 R B' L R2
D U' B2 R B' R2 L
D U' B2 R' B' L D
D U' B2 R' B' L D'
D U' B2 R' B' L D2
D U' B2 R' B' D L
D U' B2 R' B' D' L
D U' B2 R' B' D2 L
F U' D2 B2 R' B' L
D U' B2 R2 B' L R
D U' B2 R2 B' R L
U' D2 L' D2 B L R2
U' D2 L' D2 B R2 L
U' D2 L' B D2 L R2
U' D2 L' B D2 R2 L
U D2 L R2 F' U2 L'
U D2 L U2 L B L
U D2 L U2 L' B L
U D2 L U2 L2 B L
U D2 L U2 D B L
U D2 L U2 D' B L
U D2 L U2 D2 B L
U D2 L U2 B L D
U D2 L U2 B L D'
U D2 L U2 B L D2
U D2 L U2 B D L
U D2 L U2 B D' L
U D2 L U2 B D2 L
U D2 L D U2 B L
U D2 L D' U2 B L
U D2 L D2 U2 B L
U D2 L F' U2 L' B
F' U' B L B R' B'
U D2 L F' U2 B L'
B2 U' B L B' R' B'
F2 U' B L B R' B'
U' D2 L2 B L D2 R2
F U' B L B R' B'
F' U' B2 R B' L R2
F' U' B2 R B' R2 L
F' U' B2 R' B' L D
F' U' B2 R' B' L D'
F' U' B2 R' B' L D2
F' U' B2 R' B' D L
F' U' B2 R' B' D' L
F' U' B2 R' B' D2 L
F' U' B2 R2 B' L R
F' U' B2 R2 B' R L
F2 U' B2 R B' L R2
F2 U' B2 R B' R2 L
F2 U' B2 R' B' L D
F2 U' B2 R' B' L D'
F2 U' B2 R' B' L D2
F2 U' B2 R' B' D L
F2 U' B2 R' B' D' L
F2 U' B2 R' B' D2 L
F2 U' B2 R2 B' L R
F2 U' B2 R2 B' R L
B' U2 L F U R B2
B' U2 L F U B2 R
F U' B2 R B' L R2
F U' B2 R B' R2 L
F U' B2 R' B' L D
F U' B2 R' B' L D'
F U' B2 R' B' L D2
F U' B2 R' B' D L
F U' B2 R' B' D' L
F U' B2 R' B' D2 L
F U' B2 R2 B' L R
F U' B2 R2 B' R L
U D2 R2 L F' U2 L'
U D2 R2 F' L U2 L2
U D2 F' L U2 L2 B
U D2 F' L U2 B L2
U' D2 B L B R' B'
U' D2 B2 R B' L R2
U' D2 B2 R B' R2 L
U' D2 B2 R' B' L D
U' D2 B2 R' B' L D'
U' D2 B2 R' B' L D2
U' D2 B2 R' B' D L
U' D2 B2 R' B' D' L
U' D2 B2 R' B' D2 L
U' D2 B2 R2 B' L R
U' D2 B2 R2 B' R L
U' F L U2 F' L' B
U' F L U2 F' B L'
U' F L U2 B F' L'
U F L R2 F' R' U2
U F L F' U2 B L
U F L F2 U2 L' B
U F L F2 U2 B L'
U F R U2 B2 R' B
U F R D2 L U2 B'
D' F U L U2 B L
D2 F U L U2 B L
U F R2 L F' R' U2
D F U L U2 B L
U F R2 F' L R' U2
U F R2 F' R' L U2
U2 F U B2 R' B' L
U2 F U' L U2 B L
D' F U' B2 R' B' L
D2 F U' B2 R' B' L
D F U' B2 R' B' L
B2 D R B U' R2 B2
B2 D R B U' B2 R2
U' F B L D2 F' R
U' F B D2 L F' R
U' F B D2 F' L R
U' F B D2 F' R L
F' D U L U2 B L
F2 D U L U2 B L
R F B R' U' B R'
R F B U' R' B R'
R F B U' B R' B
B2 D U' R' B L B2
F D U L U2 B L
F' D U' B2 R' B' L
F2 D U' B2 R' B' L
U F' L R2 F' U2 L2
U F' L U2 L' B L'
U F' L U2 L2 D B
U F' L U2 L2 D' B
U F' L U2 L2 D2 B
U F' L U2 L2 B D
U F' L U2 L2 B D'
U F' L U2 L2 B D2
U F' L U2 B L2 D
U F' L U2 B L2 D'
U F' L U2 B L2 D2
U F' L U2 B' L2 B2
F D U' B2 R' B' L
U F' L D2 R2 F' U2
U F' L F U2 L2 B
U F' L F U2 B L2
U F' L F' U2 L2 B
U F' L F' U2 B L2
U F' L F2 U2 L2 B
U F' L F2 U2 B L2
D2 F' U L U2 B L
D' F' U L U2 B L
U F' R2 L F' U2 L2
D F' U L U2 B L
U2 F' U B2 R' B' L
U2 F' U' L U2 B L
D2 F' U' B2 R' B' L
D' F' U' B2 R' B' L
D F' U' B2 R' B' L
U F' U2 L' D2 B R2
U F' U2 L' B D2 R2
U F' U2 B2 R' B' L'
U F' D L U2 L2 B
U F' D L U2 B L2
B2 D' R B U' R2 B2
B2 D' R B U' B2 R2
U F' D' L U2 L2 B
U F' D' L U2 B L2
B D' R F' B U' B'
B D' R B F' U' B'
U F' D2 L U2 L2 B
U F' D2 L U2 B L2
U' F' B2 R' F B' L
U' F' B2 R' B' F L
F' D' U L U2 B L
F2 D' U L U2 B L
R F' B R' U' B R'
R F' B U' R' B R'
R F' B U' B R' B
U' F2 L B L F2 R
B2 D' U' R' B L B2
F' D' U' B2 R' B' L
F D' U L U2 B L
F2 D' U' B2 R' B' L
U F2 L R2 F' R U2
F D' U' B2 R' B' L
U' F2 L2 F2 B L R
U' F2 L2 F2 B R L
U F2 L F U2 L' B
U F2 L F U2 B L'
U' F2 L2 B F2 L R
U' F2 L2 B F2 R L
U F2 L F2 U2 B L
L2 F2 L2 U' B L R
L2 F2 L2 U' B R L
D2 F2 U L U2 B L
D' F2 U L U2 B L
U F2 R2 L F' R U2
D F2 U L U2 B L
U F2 R2 F' L R U2
U F2 R2 F' R L U2
U2 F2 U B2 R' B' L
U2 F2 U' L U2 B L
D2 F2 U' B2 R' B' L
D' F2 U' B2 R' B' L
D F2 U' B2 R' B' L
B2 D2 R B U' R2 B2
B2 D2 R B U' B2 R2
U' F2 B2 R' F2 B' L
U' F2 B2 R' B' L F2
U' F2 B2 R' B' F2 L
F' D2 U L U2 B L
F2 D2 U L U2 B L
