B' R2 D R B2 L
R2 B L D' F2 U2 F2
B' D2 F U' L2 F' R'
F D2 U' L2 D F' R
B' D2 F U' F' L2 R'
B' D2 F U' F' R' L2
B' D2 F' U' R' F L2
B' D2 F' U' F L2 R'
B' D2 F' U' F R' L2
B2 D2 F' U' R F L2
B' D2 F2 U' L2 R' F2
B' D2 F2 U' L2 F2 R'
B' D2 F2 U' R' L2 F2
B' D2 F2 U' R' F2 L2
B' D2 F2 U' F2 L2 R'
B' D2 F2 U' F2 R' L2
B D2 F2 U' L2 F2 R
F' D2 B' U' R' F L2
F' D2 B' U' F L2 R'
F' D2 B' U' F R' L2
U' B U D2 B' L2 R'
U' B U D2 B' R' L2
F2 D2 B' U' L2 R' F
F2 D2 B' U' L2 F R'
F2 D2 B' U' R' L2 F
U' B U B' D2 L2 R'
U' B U B' D2 R' L2
U' B U' R2 U2 B' R'
F D2 B' U' L2 F' R'
F D2 B' U' F' L2 R'
F D2 B' U' F' R' L2
U' B D' F2 U B' R'
R2 B D R B2 L R'
R2 B D R B2 R' L
U' B D2 U B' L2 R'
U' B D2 U B' R' L2
R2 B D' L F2 U2 F2
R2 B D' F2 L U2 F2
B' F U R2 B U2 R
F2 B U L R2 U2 F2
D2 B F2 U' L2 F2 R
B2 F U R2 B U2 R'
F2 B U R2 L U2 F2
B' F U' D2 L2 F' R'
B F U L R2 B U2
B' F U' D2 F' L2 R'
B' F U' D2 F' R' L2
B' F U' F' D2 L2 R'
B' F U' F' D2 R' L2
B F U R2 L B U2
F B U L R2 B U2
B2 F U' D2 L2 F' R
B2 F U' D2 F' L2 R
B2 F U' D2 F' R L2
F B U R2 L B U2
D2 B' L2 R' U R U'
D2 B' L2 R2 D R B2
D2 B' L2 R2 D B2 R
F' B D B2 U' R' F
F' B D B2 U' F R'
D2 B' R' L2 U R U'
D2 B' R' U R U' L2
D' B' R' U' F2 L' U
B' F D2 U' L2 F' R'
B' F D2 U' F' L2 R'
B' F D2 U' F' R' L2
B F D B2 U' F' R'
R' B' R' B D B2 L
R' B' R' B' L D B2
R' B' R' B' D L B2
F B D B2 U' F' R'
B2 F D2 U' L2 F' R
B2 F D2 U' F' L2 R
B2 F D2 U' F' R L2
D2 B' R2 L2 D R B2
D2 B' R2 L2 D B2 R
L' B' R2 D R B2 L
D B' R' U R B' U'
D B' R' U B' R U'
L2 B' R2 D R B2 L
U' B' U B' R' B2 L
U' B' U' R2 F' L' U2
L B' R2 D R B2 L
R2 B' D R B2 L R2
R2 B' D R B2 R2 L
B' F' U R2 U2 R F
F' B' U R2 U2 R F
F2 B' U R2 U2 R F2
R2 B' D' F2 U2 R' F2
R2 B' D' F2 U2 F2 R'
B' F' U' D2 R' F L2
B' F' U' D2 F L2 R'
B' F' U' D2 F R' L2
D2 B' F U' L2 F' R'
D2 B' F U' F' L2 R'
D2 B' F U' F' R' L2
B' F' U' F D2 L2 R'
B' F' U' F D2 R' L2
F' B' U' D2 R' F L2
F' B' U' D2 F L2 R'
F' B' U' D2 F R' L2
F2 B' U' R F2 L' R2
F2 B' U' R F2 R2 L'
F' B' U' F D2 L2 R'
F' B' U' F D2 R' L2
R B' D' R' D2 L2 B
R B' D' R' D2 B L2
R B' D' R' B D2 L2
D2 B' F' U' R' F L2
D2 B' F' U' F L2 R'
D2 B' F' U' F R' L2
F2 B' U' F2 D2 L2 R'
F2 B' U' F2 D2 R' L2
F B' U R2 B U2 R
D2 B' F2 U' L2 R' F2
D2 B' F2 U' L2 F2 R'
D2 B' F2 U' R' L2 F2
D2 B' F2 U' R' F2 L2
D2 B' F2 U' F2 L2 R'
D2 B' F2 U' F2 R' L2
D' B' F2 U' R' F2 L'
F B' U' D2 L2 F' R'
F B' U' D2 F' L2 R'
F B' U' D2 F' R' L2
F B' U' F' D2 L2 R'
F B' U' F' D2 R' L2
R' B2 L B R' D B2
B' F' D2 U' R' F L2
B' F' D2 U' F L2 R'
B' F' D2 U' F R' L2
B F' D B2 U' R' F
B F' D B2 U' F R'
F' B' D2 U' R' F L2
F' B' D2 U' F L2 R'
F' B' D2 U' F R' L2
F B' D2 U' L2 F' R'
F B' D2 U' F' L2 R'
F B' D2 U' F' R' L2
B' F2 U R2 U2 R F2
B' F2 U' R F2 L' R2
B' F2 U' R F2 R2 L'
B F2 U L R2 U2 F2
B' F2 U' F2 D2 L2 R'
B' F2 U' F2 D2 R' L2
B F2 U R2 L U2 F2
D B2 D L' F U' F'
F B2 U R2 B U2 R'
F B2 U' D2 L2 F' R
F B2 U' D2 F' L2 R
F B2 U' D2 F' R L2
D B2 D2 F' U' R F
D B2 F U' D2 F' R
D B2 F D2 U' F' R
F B2 D2 U' L2 F' R
F B2 D2 U' F' L2 R
F B2 D2 U' F' R L2
