F2 L' U R2 U L'
F2 L' U2 L' D' F2
F2 L' U2 D' L' F2
F2 L' D B2 U2 L'
F2 L' D' U2 L' F2
R2 U L2 R' D2 B2
R2 U L2 D2 R' B2
R2 U R' L2 D2 B2
R2 U D2 R' B2 L
D2 R B2 D F2 L'
R2 U' F2 U2 L2 R'
R2 U' F2 U2 R' L2
L2 D' R F2 D' B2
L2 D2 R B2 D F2
R2 D2 U R' B2 L
L2 D2 B2 R D F2
L2 D2 B2 D R F2
R2 F U L2 R' B'
R2 F U R' L2 B'
D2 B2 R D F2 L'
R2 U L' D2 R' L' B2
R2 U L' D2 R' B2 L'
U L2 D2 B2 R D F2
U L2 D2 B2 D R F2
R2 U L2 R' U2 F2 U2
R2 U L2 R' D2 B2 D
R2 U L2 R' D2 B2 D'
R2 U L2 R' D2 B2 D2
R2 U L2 R' B D2 B2
R2 U L2 R' B' D2 B2
R2 U L2 R' B2 D2 B2
R2 U L2 R2 D2 R B2
R2 U L2 R2 D2 B2 R
R2 U L2 U2 F2 U2 R'
F L2 F D' F2 R B'
F L2 F D' F2 B' R
F L2 F D' B' F2 R
R2 U L2 D' R' D' B2
R2 U L2 D2 R B2 R2
R2 U L2 D2 R' B2 D
R2 U L2 D2 R' B2 D'
R2 U L2 D2 R' B2 D2
R2 U L2 D2 R2 B2 R
F L2 F B' D' F2 R
R2 U L2 B2 D2 B2 R'
F L2 F' D' R F2 B'
F L2 F' D' R B' F2
F L2 F' D' B' R F2
F L2 F' B' D' R F2
R2 U R' L D2 L B2
R2 U R' L' D2 L' B2
R2 U R' L' D2 B2 L'
R2 U R' L2 U2 F2 U2
R2 U R' L2 D2 B2 D
R2 U R' L2 D2 B2 D'
R2 U R' L2 D2 B2 D2
R2 U R' L2 B D2 B2
R2 U R' L2 B' D2 B2
R2 U R' L2 B2 D2 B2
R2 U R' U2 F2 U2 L2
R2 U R' D2 B2 D2 L2
R2 U R' F L2 F' B'
R2 U R' F L2 B' F'
R2 U R' B L2 D2 B2
R2 U R' B' L2 D2 B2
R2 U R' B2 L2 D2 B2
R2 U R2 L2 D2 R B2
R2 U R2 L2 D2 B2 R
F L2 B' F D' F2 R
F L2 B' F' D' R F2
L2 U D2 L2 U' R B2
L2 U D2 L2 U' B2 R
R2 U D2 L R' B2 L
R2 U D2 L' R' B2 L
R2 U D2 L2 R' B2 L
R2 U D2 R' L B2 L
R2 U D2 R' L' B2 L
R2 U D2 R' L2 B2 L
R2 U D2 R' B2 L D
R2 U D2 R' B2 L D'
R2 U D2 R' B2 L D2
R2 U D2 R' B2 D L
R2 U D2 R' B2 D' L
R2 U D2 R' B2 D2 L
F2 R L' U R U L'
R2 U F L2 F' R' B'
R2 U F2 U2 L2 R' F2
R2 U F2 U2 L2 F2 R'
R2 U F2 U2 R' L2 F2
R2 U F2 U2 R' F2 L2
R2 U F2 U2 F2 L2 R'
R2 U F2 U2 F2 R' L2
D2 R D F2 D' L' B2
D2 R D F2 D' B2 L'
R2 U' L F2 U2 L R'
R2 U' L F2 U2 R' L
D' R F D F L2 B'
R2 U' L' F2 R U2 R2
R U' R U L2 D2 B2
D' R F2 D L2 D2 B2
R U' R U' F2 U2 L2
D' R F2 D' B2 D2 L2
R2 U' R F2 U2 L2 R2
R2 U' R F2 U2 R2 L2
D2 R F2 B2 D L' F2
R U' R F U L2 B'
D2 R B D F2 L' B
D2 R B D F2 B L'
D2 R B D B F2 L'
L2 U' R2 U R' D2 B2
L2 U' R2 U D2 R' B2
L2 U' R2 U' F2 U2 R'
L2 U' R2 D' L2 U R'
L2 U' R2 D2 U R' B2
D2 R B' D F2 B' L'
D2 R B' D B' F2 L'
R2 U' R2 F2 L' U2 L'
D2 R B2 D L F2 L'
D2 R B2 D L' F2 L'
D2 R B2 D L2 F2 L'
R U' D R F2 L' U
D2 R B2 D F2 L' D
D2 R B2 D F2 L' D'
D2 R B2 D F2 L' D2
D2 R B2 D F2 D L'
D2 R B2 D F2 D' L'
D2 R B2 D F2 D2 L'
L2 U' D' L2 U R F2
D2 R B2 F2 D L' F2
R2 U' D2 R2 U2 R B2
R2 U' D2 R2 U2 B2 R
F2 R' L' U R' U L'
D2 R' L2 U' B2 L R2
D2 R' L2 U' B2 R2 L
R2 U' F U2 L2 R' B'
R2 U' F U2 R' L2 B'
R2 U' F2 L U2 L R'
R2 U' F2 L U2 R' L
R2 U' F2 L' U2 L' R'
R2 U' F2 L' U2 R' L'
R2 U' F2 R U2 L2 R2
R2 U' F2 R U2 R2 L2
R2 U' F2 R2 U2 L2 R
R2 U' F2 R2 U2 R L2
R2 U' F2 U2 L2 R' D
R2 U' F2 U2 L2 R' D'
R2 U' F2 U2 L2 R' D2
R2 U' F2 U2 L2 D R'
R2 U' F2 U2 L2 D' R'
R2 U' F2 U2 L2 D2 R'
R2 U' F2 U2 R' L2 D
R2 U' F2 U2 R' L2 D'
R2 U' F2 U2 R' L2 D2
R2 U' F2 D2 R2 U2 R
D2 R' B2 R2 D L F2
D2 R' B2 R2 D F2 L
R2 U2 F U' L2 R' B'
R2 U2 F U' R' L2 B'
B' R2 U L2 R' D2 B2
U' R2 U L2 R' D2 B2
B' R2 U L2 D2 R' B2
F' R2 U L2 D' B R'
U' R2 U L2 D2 R' B2
B' R2 U R' L2 D2 B2
U' R2 U R' L2 D2 B2
B2 R2 U L2 R' D2 B2
B2 R2 U L2 D2 R' B2
F2 R2 U L2 D' B2 R'
B2 R2 U R' L2 D2 B2
U2 R2 U L2 R' D2 B2
U2 R2 U L2 D2 R' B2
B' R2 U D2 R' B2 L
U' R2 U D2 R' B2 L
U2 R2 U R' L2 D2 B2
B2 R2 U D2 R' B2 L
B R2 U L2 R' D2 B2
B R2 U L2 D2 R' B2
U2 R2 U D2 R' B2 L
B R2 U R' L2 D2 B2
L2 U2 F2 L' U R2 U
L2 U2 F2 L' U2 D' F2
L2 U2 F2 L' D B2 U2
L2 U2 F2 L' D' U2 F2
D2 R2 U' L2 U' R' B2
B R2 U D2 R' B2 L
U R2 U L2 R' D2 B2
U R2 U L2 D2 R' B2
U R2 U R' L2 D2 B2
L2 U2 F2 U2 D' F2 R
L2 U2 F2 D L' B2 U2
L2 U2 F2 D B2 L' U2
L2 U2 F2 D' L' U2 F2
U R2 U D2 R' B2 L
L2 U2 F2 D' U2 F2 R
B' R2 U' F2 U2 L2 R'
U' R2 U' F2 U2 L2 R'
U' R2 U' F2 U2 R' L2
B' R2 U' F2 U2 R' L2
B2 R2 U' F2 U2 L2 R'
B2 R2 U' F2 U2 R' L2
R U2 F2 U' L' U' L'
U2 R2 U' F2 U2 L2 R'
U2 R2 U' F2 U2 R' L2
D2 R2 U2 R' B2 D F2
B R2 U' F2 U2 L2 R'
B R2 U' F2 U2 R' L2
F R2 U' F L' U2 L'
U R2 U' F2 U2 L2 R'
U R2 U' F2 U2 R' L2
U' R2 D2 U R' B2 L
B' R2 D2 U R' B2 L
B2 R2 D2 U R' B2 L
U2 R2 D2 U R' B2 L
B R2 D2 U R' B2 L
U' R2 F U L2 R' B'
U' R2 F U R' L2 B'
B' R2 F U L2 R' B'
B' R2 F U R' L2 B'
F' R2 F U L2 B R
F' R2 F U B L2 R
F' R2 F U B R L2
U R2 D2 U R' B2 L
B2 R2 F U L2 R' B'
B2 R2 F U R' L2 B'
U2 R2 F U L2 R' B'
U2 R2 F U R' L2 B'
B R2 F U L2 R' B'
B R2 F U R' L2 B'
U R2 F U L2 R' B'
U R2 F U R' L2 B'
D' R2 F2 D' R' B2 L
R' D R' F2 B2 L U
R' D R' B2 L F2 U
R' D R' B2 F2 L U
R D R F2 L' U R'
R D U' R F2 L' U
F2 U L2 D' F2 B2 R'
F2 U L2 D' B2 R' F2
F2 U L2 D' B2 F2 R'
R' D F2 R' B2 L U
D2 U R B2 D F2 L'
R2 D F2 U D R' B2
R2 D F2 U2 R2 U' R
R2 D F2 D U R' B2
R2 D F2 D2 L2 U R'
F2 U R2 U' L' U2 L'
F2 U R2 D F2 U R
F2 U R2 F2 U L2 R
F2 U R2 F2 U R L2
L' D' L2 U L R F2
L' D' L2 U R L F2
L' D' L2 U R F2 L
L2 D' L2 U L2 R F2
L2 D' L2 U R L2 F2
L2 D' L2 U R F2 L2
R2 D' L2 U R' D L2
R2 D' L2 U D L2 R'
R2 D' L2 U D R' L2
R2 D' L2 D U L2 R'
R2 D' L2 D U R' L2
R2 D' L2 D2 F2 U R'
L D' L2 U L' R F2
L D' L2 U R L' F2
L2 D' R U' L2 U F2
L2 D' R D' B2 D F2
D2 U B2 R D F2 L'
F2 U F2 R2 U L2 R'
F2 U F2 R2 U R' L2
L2 D' R F D' F B2
L2 D' R F D' B2 F
L2 D' R F' D' F' B2
L2 D' R F' D' B2 F'
L2 D' R F2 U' L2 U
L2 D' R F2 D' B2 D
L2 D' R F2 D' B2 D'
L2 D' R F2 D' B2 D2
L2 D' R F2 B D' B2
L2 D' R F2 B' D' B2
L2 D' R F2 B2 D' B2
L2 D' R B F2 D' B2
L2 D' R B' F2 D' B2
L2 D' R B2 F2 D' B2
L D' R F2 D' L B2
L2 D' R' F2 R2 D' B2
L2 D' R2 F2 R' D' B2
L2 D' R2 F2 D' R' B2
L2 D' U' L2 U R F2
D2 U' R B2 D F2 L'
L2 D' B R F2 D' B2
L2 D' B' R F2 D' B2
L2 D' B2 R F2 D' B2
R2 D2 L U R' B2 L
F2 U' D' B2 U' F2 R
D2 U' B2 R D F2 L'
R2 D2 L' U R' B2 L
L' D2 L2 U' L R B2
L' D2 L2 U' L B2 R
L' D2 L2 U' R L B2
L D2 L B2 R D' F2
L2 D2 L2 U' L2 R B2
L2 D2 L2 U' L2 B2 R
L2 D2 L2 U' R L2 B2
L2 D2 L2 U' R B2 L2
L2 D2 L2 U' B2 L2 R
L2 D2 L2 U' B2 R L2
R2 D2 L2 U R' B2 L
L2 D2 R U L2 U' B2
L D2 L2 U' L' R B2
L D2 L2 U' L' B2 R
L D2 L2 U' R L' B2
L D2 L2 U' R B2 L'
L D2 L2 U' B2 L' R
L D2 L2 U' B2 R L'
L2 D2 R D F2 D' B2
L' D2 R B2 D L' F2
L2 D2 R F B2 D F2
L2 D2 R F' B2 D F2
L2 D2 R F2 B2 D F2
L2 D2 R B D F2 B
L2 D2 R B D B F2
L2 D2 R B' D F2 B'
L2 D2 R B' D B' F2
L2 D2 R B2 U L2 U'
L2 D2 R B2 D F2 D
L2 D2 R B2 D F2 D'
L2 D2 R B2 D F2 D2
L2 D2 R B2 F D F2
L2 D2 R B2 F' D F2
L2 D2 R B2 F2 D F2
L2 D2 R' B2 R2 D F2
U' D2 R B2 D F2 L'
D2 U2 R B2 D F2 L'
L2 D2 U L2 U' R B2
L2 D2 U L2 U' B2 R
R2 D2 U L R' B2 L
R2 D2 U L' R' B2 L
R2 D2 U L2 R' B2 L
U2 D2 R B2 D F2 L'
R2 D2 U R' L B2 L
R2 D2 U R' L' B2 L
R2 D2 U R' L2 B2 L
R2 D2 U R' B2 L D
R2 D2 U R' B2 L D'
R2 D2 U R' B2 L D2
R2 D2 U R' B2 D L
R2 D2 U R' B2 D' L
R2 D2 U R' B2 D2 L
U D2 R B2 D F2 L'
R2 D2 U' R2 U2 R B2
R2 D2 U' R2 U2 B2 R
R2 D2 F U R' B2 L
R2 D2 F' U R' B2 L
R2 D2 F2 U R' B2 L
L2 D2 F2 B2 D F2 R
L2 D2 B D B R F2
L2 D2 B' R D F2 B'
L2 D2 B' R D B' F2
L2 D2 B' R B' D F2
U' D2 B2 R D F2 L'
D2 U2 B2 R D F2 L'
L2 D2 B' D R F2 B'
L2 D2 B' D R B' F2
L' D2 B2 R D L' F2
L2 D2 B' D B' R F2
L' D2 B2 D L' R F2
L' D2 B2 D R L' F2
U2 D2 B2 R D F2 L'
L2 D2 B2 R U L2 U'
L2 D2 B2 R D F2 D
L2 D2 B2 R D F2 D'
L2 D2 B2 R D F2 D2
L2 D2 B2 R F D F2
L2 D2 B2 R F' D F2
L2 D2 B2 R F2 D F2
L2 D2 B2 R2 D R' F2
L2 D2 B2 R2 D F2 R'
L2 D2 B2 U L2 U' R
L2 D2 B2 D R F2 D
L2 D2 B2 D R F2 D'
L2 D2 B2 D R F2 D2
L2 D2 B2 D R' F2 R2
L2 D2 B2 D R2 F2 R'
L2 D2 B2 D' R D2 F2
L2 D2 B2 F2 D F2 R
U D2 B2 R D F2 L'
F2 U2 D' F2 R D L2
F2 U2 D' F2 D L2 R
F2 U2 D' F2 D R L2
R2 F L U L R' B'
R2 F L U R' L B'
R F L' D' L' F B'
R F L' D' L' B' F
R' F R' U L2 R' B'
R' F R' U R' L2 B'
F2 U2 F2 L2 D' R F2
R2 F U L2 R B' R2
R2 F U L2 R' D B'
R2 F U L2 R' D' B'
R2 F U L2 R' D2 B'
R2 F U L2 R' B' D
R2 F U L2 R' B' D'
R2 F U L2 R' B' D2
R2 F U L2 R2 B' R
R2 F U L2 D R' B'
R2 F U L2 D' R' B'
R2 F U L2 D2 R' B'
R2 F U R L2 B' R2
R2 F U R' L2 D B'
R2 F U R' L2 D' B'
R2 F U R' L2 D2 B'
R2 F U R' L2 B' D
R2 F U R' L2 B' D'
R2 F U R' L2 B' D2
R2 F U R' B L2 B'
R2 F U R' B' L2 B'
R2 F U R' B2 L2 B'
R2 F U R2 L2 B' R
R2 F U B L2 B' R'
R2 F U' F U2 L2 R'
R2 F U' F U2 R' L2
F2 D L' B2 U F2 U
F2 D L' B2 U2 D' L2
F2 D L' B2 D R2 U2
F2 D L' B2 D' U2 L2
R' F' R' U L2 R' B
R' F' R' U R' L2 B
R' F' R' U R' B L2
F2 D B2 L' U F2 U
F2 D B2 L' U2 D' L2
F2 D B2 L' D R2 U2
F2 D B2 L' D' U2 L2
R2 F' U L2 R2 B R
R2 F' U R2 L2 B R
F2 D B2 U F2 U R
R2 F' U R2 B L2 R
R2 F' U R2 B R L2
F2 D B2 D L' R2 U2
F2 D B2 D R2 L' U2
F2 D B2 D' L' U2 L'
R2 F' U' F' U2 L2 R'
R2 F' U' F' U2 R' L2
F2 D' L' U' B2 U' F2
F2 D' L' U2 F2 D L2
U' F2 L' U R2 U L'
U' F2 L' U2 L' D' F2
U' F2 L' U2 D' L' F2
L' F2 L' R U R U
U' F2 L' D B2 U2 L'
F2 D' U' B2 U' F2 R
U' F2 L' D' U2 L' F2
L' F2 L' U2 D' F2 L'
L' F2 L' D R B2 U2
L' F2 L' D B2 R U2
L' F2 L' D' R U2 F2
L' F2 L' D' U2 F2 L'
F2 D' U2 F2 R D L2
F2 D' U2 F2 D L2 R
F2 D' U2 F2 D R L2
U2 F2 L' U R2 U L'
L2 F2 L' U R2 U L
U2 F2 L' U2 L' D' F2
L2 F2 L' U2 L D' F2
U2 F2 L' U2 D' L' F2
L2 F2 L' U2 D' L F2
L2 F2 L' U2 D' F2 L
U2 F2 L' D B2 U2 L'
L2 F2 L' D B2 R' U2
U2 F2 L' D' U2 L' F2
L2 F2 L' D' U2 L F2
L2 F2 L' D' U2 F2 L
U F2 L' U R2 U L'
L' F2 R L' U R U
L F2 L' U R2 U L2
U F2 L' U2 L' D' F2
U F2 L' U2 D' L' F2
L F2 L' U2 L2 D' F2
U F2 L' D B2 U2 L'
U F2 L' D' U2 L' F2
R' F2 U R' U L2 R'
R' F2 U R' U R' L2
R2 F2 U L2 R' D' B2
R2 F2 U L2 D' R' B2
R2 F2 U R' L2 D' B2
L' F2 U2 D' F2 L' R
L' F2 U2 D' F2 R L'
D' F2 D L2 D2 B2 R'
F2 D2 L' R2 U' L' U'
L' F2 D L' R B2 U2
L' F2 D L' B2 R U2
R2 F2 U2 L2 R' D F2
L' F2 D R L' B2 U2
R2 F2 U2 L2 D R' F2
R2 F2 U2 L2 D F2 R'
L' F2 D R B2 L' U2
R2 F2 U2 R' L2 D F2
L2 F2 D L' B2 R' U2
L' F2 D B2 L' R U2
L' F2 D B2 R L' U2
L' F2 D' L' R U2 F2
L' F2 D' L' U2 F2 L'
L' F2 D' R L' U2 F2
L' F2 D' R U2 F2 R
L F2 U2 D' F2 L R
L F2 U2 D' F2 R L
L' F2 D' U2 F2 L' R
L' F2 D' U2 F2 R L'
L2 F2 D B2 L' U2 L
L2 F2 D' L' U2 L F2
L2 F2 D' L' U2 F2 L
L F2 D L' B2 U2 L2
B' D2 R B2 D F2 L'
L2 F2 D' F2 R D2 B2
L2 F2 D' F2 D2 R B2
L2 F2 D' F2 D2 B2 R
B2 D2 R B2 D F2 L'
L F2 D B2 L' R' U2
L F2 D B2 R' L' U2
L F2 D' L' U2 L2 F2
L F2 D' L' U2 F2 L2
L F2 D' U2 F2 L R
L F2 D' U2 F2 R L
B D2 R B2 D F2 L'
F2 D2 R2 L' U' L' U'
F2 D2 R2 U2 D F2 R
F2 D2 R2 D L' U2 F2
F2 D2 R2 D U2 F2 R
F2 D2 R2 D' L' B2 U2
F2 D2 R2 D' B2 L' U2
B' D2 B2 R D F2 L'
B2 D2 B2 R D F2 L'
B D2 B2 R D F2 L'
F2 B L' U R2 U L'
F2 B L' U2 L' D' F2
F2 B L' U2 D' L' F2
F2 B L' D B2 U2 L'
F2 B L' D' U2 L' F2
L2 B D' R F2 D' B2
L2 B D2 R B2 D F2
L2 B D2 B2 R D F2
L2 B D2 B2 D R F2
D2 B' R D F2 B' L'
D2 B' R D B' F2 L'
D2 B' R B' D F2 L'
F2 B' L' U R2 U L'
F2 B' L' U2 L' D' F2
F2 B' L' U2 D' L' F2
F2 B' L' D B2 U2 L'
F2 B' L' D' U2 L' F2
L2 B' D' R F2 D' B2
L2 B' D2 R B2 D F2
L2 B' D2 B2 R D F2
L2 B' D2 B2 D R F2
D2 B2 R D L F2 L'
D2 B2 R D L' F2 L'
D2 B2 R D L2 F2 L'
D2 B2 R D F2 L' D
D2 B2 R D F2 L' D'
D2 B2 R D F2 L' D2
D2 B2 R D F2 D L'
D2 B2 R D F2 D' L'
D2 B2 R D F2 D2 L'
B' F2 L' U R2 U L'
B' F2 L' U2 L' D' F2
B' F2 L' U2 D' L' F2
D2 B2 R F2 D L' F2
B' F2 L' D B2 U2 L'
B' F2 L' D' U2 L' F2
B2 F2 L' U R2 U L'
B2 F2 L' U2 L' D' F2
B2 F2 L' U2 D' L' F2
F2 B2 L' U R2 U L'
B2 F2 L' D B2 U2 L'
F2 B2 L' U2 L' D' F2
B2 F2 L' D' U2 L' F2
F2 B2 L' U2 D' L' F2
F2 B2 L' D B2 U2 L'
F2 B2 L' D' U2 L' F2
B F2 L' U R2 U L'
B F2 L' U2 L' D' F2
D2 B2 R2 D R' F2 L'
B F2 L' U2 D' L' F2
B F2 L' D B2 U2 L'
B F2 L' D' U2 L' F2
D' B2 U' R F2 D' B2
D' B2 U2 L2 U R F2
R2 B2 U' L F2 U2 L
D2 B2 D R F2 D L2
R2 B2 U' F2 L U2 L
D' B2 D' L2 U' R B2
D' B2 D' L2 U' B2 R
D B2 D R2 U2 R' B2
D2 B2 D2 L2 D' R F2
L2 B2 D' R F2 D' B2
L2 B2 D2 R B2 D F2
D B2 D' F2 L' U2 L'
L2 B2 D2 B2 R D F2
L2 B2 D2 B2 D R F2
