F L' B2 R' B U
F' R D' F' U' L2
F' R D2 F' B2 U'
F' R D2 B2 F' U'
F' R F' U2 F' U
R' U2 F L' B U
R' U2 F B L' U
R2 U2 F L' B' U
R' U2 B F L' U
R F' R U' D' L2
R F' R U2 F2 U
R F' R D' U' L2
R F' R D2 B2 U'
R F' U2 F2 L' U
R F' D' R U' L2
R F' D2 R B2 U'
R F' D2 B2 R U'
R' U2 F L' B U D'
R' U2 F L' B U D2
R' U2 F L' B D U
R' U2 F L' B D' U
R' U2 F L' B D2 U
R' U2 F D L' B U
R' U2 F D B L' U
R' U2 F D' L' B U
R' U2 F D' B L' U
R' U2 F D2 L' B U
R' U2 F D2 B L' U
R' U2 F B L' U D
R' U2 F B L' U D'
R' U2 F B L' U D2
R' U2 F B L' D U
R' U2 F B L' D' U
R' U2 F B L' D2 U
R' U2 F B D L' U
R' U2 F B D' L' U
R' U2 F B D2 L' U
R' U2 F B' L' B2 U
R2 U2 F L' D B' U
R2 U2 F L' D' B' U
R2 U2 F L' D2 B' U
R2 U2 F L' B' U D
R2 U2 F L' B' U D'
R2 U2 F L' B' U D2
R2 U2 F L' B' D U
R2 U2 F L' B' D' U
R2 U2 F L' B' D2 U
F R2 L' U2 L F U'
R U2 F L' U D R2
R U2 F L' U2 F2 U'
R U2 F L' D U R2
R U2 F L' D2 B2 U
R2 U2 F D L' B' U
R2 U2 F D' L' B' U
R2 U2 F D2 L' B' U
R2 U2 F B L' B' U
R2 U2 F B' L' B' U
R2 U2 F B2 L' B' U
R U2 F U2 F2 R U'
R U2 F D L' U R2
R U2 F D2 L' B2 U
R U2 F D2 B2 L' U
U R2 U F L' U R
R' U2 B F L' U D
R' U2 B F L' U D'
R' U2 B F L' U D2
R' U2 B F L' D U
R' U2 B F L' D' U
R' U2 B F L' D2 U
R' U2 B F D L' U
R' U2 B F D' L' U
R' U2 B F D2 L' U
B' R2 U2 F L' B' U
B2 R2 U2 F L' B' U
R2 U2 B F L' B' U
R' U2 B' F L' B2 U
B R2 U2 F L' B' U
R2 U2 B' F L' B' U
F' R2 D' R' F' U' L2
R2 U2 B2 F L' B' U
F' R2 D2 R' F' B2 U'
F' R2 D2 R' B2 F' U'
U2 D F U R' B R'
U2 D F U B R' B
U2 D F B U R' B
U2 D B F U R' B
U2 D' F U' L' F U2
D2 U2 F L B' L U
D' U2 F U' L' F U2
U2 D2 F L B' L U
D2 U2 F B' L B' U
U2 D2 F B' L B' U
D U2 F U R' B R'
D U2 F U B R' B
D U2 F B U R' B
D2 U2 B' F L B' U
D U2 B F U R' B
U2 D2 B' F L B' U
F2 U2 D' F' U R B
U' F L' U D' F' R
U' F L' D' U F' R
U2 F L' R' B R U
R' F L' B2 R' B' U
U2 F L' D B U R'
R2 F L' U2 L F U'
U2 F L2 D2 L B' U
R F L' U2 L F2 U'
R F L' U2 F2 L U'
R F L' D2 B2 R' U
U2 F R' L' B R U
U2 F R' B L' R U
U2 F R' B R L' U
D' F U L' F U2 L
D' F U' L' F U2 F'
U2 F U2 F2 R F' U'
U2 F D L' B U R'
U' F D' L' U F' R
U2 F D B L' U R'
U2 F D2 L B' L2 U
U2 F D2 L' U2 F U'
R' F B L' U2 L U'
R' F B' L' B2 R' U
R F D2 L' B2 R' U
L2 F' R F' B' L2 U'
R2 F' R U2 F2 B U
R2 F' R U2 B F2 U
L2 F' R B' L2 F' U'
L2 F' R B' F' L2 U'
R F' R U D R2 U2
R F' R U' L D' L2
R F' R U' L' D' L2
R F' R U' L2 D' L2
R F' R U' D' L2 D
R F' R U' D' L2 D'
R F' R U' D' L2 D2
R F' R U2 F2 U D
R F' R U2 F2 U D'
R F' R U2 F2 U D2
R F' R U2 F2 D U
R F' R U2 F2 D' U
R F' R U2 F2 D2 U
R F' R D U R2 U2
R F' R D' U' L2 D
R F' R D' U' L2 D'
R F' R D' U' L2 D2
R F' R D' B U' L2
R F' R D' B' U' L2
R F' R D' B2 U' L2
R F' R D2 B2 U' D
R F' R D2 B2 U' D'
R F' R D2 B2 U' D2
R F' R D2 B2 D U'
R F' R D2 B2 D' U'
R F' R D2 B2 D2 U'
R2 F' R' F' R2 B U'
R F' R B U' D' L2
R F' R B U2 F2 U
R F' R B D' U' L2
R F' R B D2 B2 U'
R F' R B' U' D' L2
R F' R B' U2 F2 U
R F' R B' D' U' L2
R F' R B' D2 B2 U'
R F' R B2 U' D' L2
R F' R B2 U2 F2 U
R F' R B2 D' U' L2
R F' R B2 D2 B2 U'
R F' R2 D' R' U' L2
R F' R2 D2 R' B2 U'
R' F' U2 F2 L' B U
R' F' U2 F2 B L' U
R' F' U2 B F2 L' U
R2 F' U2 F2 L' B' U
R F' U2 L F2 L' U
R F' U2 L' F2 L' U
R F' U2 L2 F2 L' U
R F' U2 F2 L' U D
R F' U2 F2 L' U D'
R F' U2 F2 L' U D2
R F' U2 F2 L' D U
R F' U2 F2 L' D' U
R F' U2 F2 L' D2 U
R F' U2 F2 D L' U
R F' U2 F2 D' L' U
R F' U2 F2 D2 L' U
F' D' R F' U' L2 R
F' D' R F' U' R L2
R F' D R U R U2
R F' D' R U' L2 D
R F' D' R U' L2 D'
R F' D' R U' L2 D2
R F' D' R D' B2 U'
R F' D' R B U' L2
R F' D' R B' U' L2
R F' D' R B2 U' L2
R F' D' B R U' L2
R F' D' B' R U' L2
R F' D' B2 R U' L2
R F' D2 R U' D L2
R F' D2 R D U' L2
R F' D2 R B2 U' D
R F' D2 R B2 U' D'
R F' D2 R B2 U' D2
R F' D2 R B2 D U'
R F' D2 R B2 D' U'
R F' D2 R B2 D2 U'
R F' D2 R' B2 R2 U'
L2 F' B' L2 R F' U'
L2 F' B' R L2 F' U'
L2 F' B' R F' L2 U'
R F' D2 B' R B' U'
R F' D2 B2 R U' D
R F' D2 B2 R U' D'
R F' D2 B2 R U' D2
R F' D2 B2 R D U'
R F' D2 B2 R D' U'
R F' D2 B2 R D2 U'
R F' D2 B2 D R U'
R F' D2 B2 D' R U'
R F' D2 B2 D2 R U'
R F' B R U' D' L2
R F' B R U2 F2 U
R F' B R D' U' L2
R F' B R D2 B2 U'
R F' B U2 F2 L' U
R F' B D' R U' L2
R F' B D2 R B2 U'
R F' B D2 B2 R U'
R F' B' R U' D' L2
R F' B' R U2 F2 U
R F' B' R D' U' L2
R F' B' R D2 B2 U'
R F' B' U2 F2 L' U
R F' B' D' R U' L2
R F' B' D2 R B2 U'
R F' B' D2 B2 R U'
R F' B2 R U' D' L2
R F' B2 R U2 F2 U
R F' B2 R D' U' L2
R F' B2 R D2 B2 U'
F2 D' U2 F' U R B
R F' B2 U2 F2 L' U
R F' B2 D' R U' L2
R F' B2 D2 R B2 U'
R F' B2 D2 B2 R U'
F' D' F' U' L2 R B
F' D' F' U' R L2 B
F' D' F' U' R B L2
R F2 R F R B U'
R F2 R2 F B R U'
R F2 R2 B F R U'
R' F2 U2 F' B L U
R' F2 U2 B L F' U
R' F2 U2 B F' L U
F D2 L' U2 F L U'
U2 F2 D' F' L' U R
F' D2 B2 D2 R F' U'
B' F L' B2 R' B U
B2 F L' B2 R' B U
R2 B U2 F L' B' U
D B U2 F U R' B
B F L' B2 R' B U
F' B R D' F' U' L2
F' B R D2 F' B2 U'
F' B R D2 B2 F' U'
F B L' B2 R' B U
F' B R F' U2 F' U
R' B F L' U2 L U'
R B F' R U' D' L2
R B F' R U2 F2 U
R B F' R D' U' L2
R B F' R D2 B2 U'
R B F' U2 F2 L' U
R B F' D' R U' L2
R B F' D2 R B2 U'
R B F' D2 B2 R U'
L2 B' L2 R F' R U'
L2 B' L2 F' R F' U'
L2 B' R L2 F' R U'
L2 B' R F' L2 R U'
L2 B' R F' R L2 U'
B' F' R D' F' U' L2
B' F' R D2 F' B2 U'
B' F' R D2 B2 F' U'
R' B' U2 F L' B2 U
D2 B' U2 F L B' U
B' F' R F' U2 F' U
R' B' U2 F B2 L' U
F' B' R D' F' U' L2
F' B' R D2 F' B2 U'
F' B' R D2 B2 F' U'
R' B' U2 B2 F L' U
F B' L' B2 R' B U
B2 F' R D' F' U' L2
F' B' R F' U2 F' U
B2 F' R D2 F' B2 U'
B2 F' R D2 B2 F' U'
B2 F' R F' U2 F' U
B F' R D' F' U' L2
R2 B' U2 F L' B' U
B F' R D2 F' B2 U'
B F' R D2 B2 F' U'
B F' R F' U2 F' U
R' B' F L' B2 R' U
L2 B' F' L2 R F' U'
L2 B' F' R L2 F' U'
L2 B' F' R F' L2 U'
R B' F' R U' D' L2
R B' F' R U2 F2 U
R B' F' R D' U' L2
R B' F' R D2 B2 U'
R B' F' U2 F2 L' U
R B' F' D' R U' L2
R B' F' D2 R B2 U'
R B' F' D2 B2 R U'
F' B2 R D' F' U' L2
F' B2 R D2 F' B2 U'
F' B2 R D2 B2 F' U'
F' B2 R F' U2 F' U
F B2 L' B2 R' B U
R' B2 U2 F B' L' U
R' B2 U2 B' F L' U
R2 B2 U2 F L' B' U
R B2 F' R U' D' L2
R B2 F' R U2 F2 U
R B2 F' R D' U' L2
R B2 F' R D2 B2 U'
R B2 F' U2 F2 L' U
R B2 F' D' R U' L2
R B2 F' D2 R B2 U'
R B2 F' D2 B2 R U'
