R2 U L2 F B R
R2 U L2 B F R
L2 D R2 F B R'
L2 D R2 B R' F
L2 D R2 B F R'
D' F' D B' U2 R L2
D' F' D' B' R2 U2 R'
D' F' B' U' B' U' R
D F' B' L U F' U
B' D' F' U' B2 U' R
B' D' F' U2 R D L2
B' D' F' U2 D L2 R
B' D' F' U2 D R L2
B' D' F' D U2 L2 R
B' D' F' D U2 R L2
B' D' F' D' R2 U2 R'
R2 F2 U L2 F B R
R2 F2 U L2 B F R
D F2 U' F B' L U2
D' F2 D L2 F R B'
D' F2 D L2 F B' R
D' F2 D L2 B' F R
D F2 U' B' F L U2
L2 F2 D' F' R D2 B2
L2 F2 D' F' D2 R B2
L2 F2 D' F' D2 B2 R
B' D2 R2 U2 D' B R'
B' D2 R2 D' U2 B R'
F' D2 R2 D' B' L U2
L2 B D R2 F B R'
L2 B D R2 B R' F
L2 B D R2 B F R'
D B' L D R2 U2 B
D B' L D F' R2 U2
D B' L D' F' U2 L2
D B' L F' U F' U
D2 B' R2 U2 D' B R'
D2 B' R2 D' U2 B R'
B' F' R U' F' U' L2
F' B' R U' F' U' L2
B' F' R' U B U L2
F' B' R' U B U L2
L2 B' D R2 F B R'
L2 B' D R2 B R' F
L2 B' D R2 B F R'
D B' D L R2 U2 B
D B' D L F' R2 U2
D B' D R2 L U2 B
D B' D F' L R2 U2
D B' D F' R2 L U2
D B' D' L F' U2 L
D B' D' F' L U2 L
D' B' F' U' B' U' R
D B' F' L U F' U
D' B2 R2 U' F' B R
D' B2 R2 U' B F' R
D' B2 U F' B U2 R
D' B2 U B F' U2 R
D' B2 U' R2 F' B R
D' B2 U' R2 B F' R
L2 B2 D R2 F B R'
L2 B2 D R2 B R' F
L2 B2 D R2 B F R'
