D2 L2 B' U' R2
D2 L2 D' F2 B' U'
D2 L2 D' B' F2 U'
D2 L2 F B' U' R2
D2 L2 F' B' U' R2
D2 L2 F2 B' U' R2
D2 L2 B' U' R2 D
D2 L2 B' U' R2 D'
D2 L2 B' U' R2 D2
D2 L2 B' D' F2 U'
D2 L2 B' F U' R2
D2 L2 B' F' U' R2
D2 L2 B' F2 U' R2
U2 R2 D' F B2 U
U2 R2 D' B2 F U
U2 R2 D2 F U R2
F R2 D2 L2 U R2
U2 R2 F U D2 R2
U2 R2 F U' L2 U2
U2 R2 F D' B2 U
U2 R2 F D2 U R2
U2 D' F B2 U F
U2 D' B2 F U F
R2 D2 F L2 U R2
D' U2 F B2 U F
D' U2 B2 F U F
U2 F R2 U D2 R2
U2 F R2 U' L2 U2
U2 F R2 D' B2 U
U2 F R2 D2 U R2
U2 F D' B2 U F2
R2 F D2 L2 U R2
F' D2 L2 B2 U' R2
B' D2 L2 B' U' R2
B2 D2 L2 B' U' R2
B D2 L2 B' U' R2
D2 B L2 B' U' R2
F' D2 B2 L2 U' R2
F' D2 B2 L2 U' R2
D2 B' L2 B' U' R2
L2 B' U2 R2 U R2
D2 B2 L2 B' U' R2
U2 R2 F U R2 D2 R2
U2 R2 F U D2 R2 D
U2 R2 F U D2 R2 D'
U2 R2 F U D2 R2 D2
F R2 D2 B' L2 U R2
U2 R2 F U' L2 U2 D
U2 R2 F U' L2 U2 D'
U2 R2 F U' L2 U2 D2
U2 R2 F U' L2 D U2
U2 R2 F U' L2 D' U2
U2 R2 F U' L2 D2 U2
F R2 D2 B2 L2 U R2
U2 R2 F U2 D F2 U'
B2 R2 F D2 L2 U R2
U2 R2 F D U2 F2 U'
U2 R2 F D' B2 U D
U2 R2 F D' B2 U D'
U2 R2 F D' B2 U D2
U2 R2 F D' B2 D U
U2 R2 F D' B2 D' U
U2 R2 F D' B2 D2 U
U2 R2 F D2 U R2 D
U2 R2 F D2 U R2 D'
U2 R2 F D2 U R2 D2
U2 R2 F D2 B U R2
U2 R2 F D2 B' U R2
U2 R2 F D2 B2 U R2
U2 R2 F B U D2 R2
U2 R2 F B U' L2 U2
U2 R2 F B D' B2 U
U2 R2 F B D2 U R2
U2 R2 F B' U D2 R2
U2 R2 F B' U' L2 U2
U2 R2 F B' D' B2 U
U2 R2 F B' D2 U R2
U2 R2 F B2 U D2 R2
U2 R2 F B2 U' L2 U2
U2 R2 F B2 D' B2 U
U2 R2 F B2 D2 U R2
B R2 F D2 L2 U R2
U R2 F U D2 R2 B
U R2 F U' L2 F' U2
U R2 F U' F' L2 U2
U R2 F D2 U R2 B
U2 R2 F' D' B2 U L2
F' R2 F2 D2 L2 U R2
U2 R2 F2 D' F' B2 U
U2 R2 F2 D' B2 F' U
U2 R2 F2 D2 F' U R2
U2 R2 B D' F B2 U
U2 R2 B D' B2 F U
U2 R2 B D2 F U R2
U2 R2 B F U D2 R2
U2 R2 B F U' L2 U2
U2 R2 B F D' B2 U
U2 R2 B F D2 U R2
F R2 B D2 L2 U R2
U2 R2 B' D' F B2 U
U2 R2 B' D' B2 F U
U2 R2 B' D2 F U R2
U2 R2 B' F U D2 R2
U2 R2 B' F U' L2 U2
U2 R2 B' F D' B2 U
U2 R2 B' F D2 U R2
F R2 B' D2 L2 U R2
U2 R2 B2 D' F B2 U
U2 R2 B2 D' B2 F U
U2 R2 B2 D2 F U R2
U2 R2 B2 F U D2 R2
U2 R2 B2 F U' L2 U2
U2 R2 B2 F D' B2 U
U2 R2 B2 F D2 U R2
F R2 B2 D2 L2 U R2
R2 D F L2 B' U B'
F' U L2 U R2 F2 U
F' U L2 U F2 R2 U
R2 D F U2 F U' B2
R2 D F D L2 B' U
F' U L2 U2 D' L2 F2
F' U L2 U2 D' F2 L2
F' U L2 D R2 B2 U2
F' U L2 D B2 R2 U2
F' U L2 D' U2 L2 F2
F' U L2 D' U2 F2 L2
F2 U L2 U F' R2 U
F U L2 U R2 U L2
F U L2 U2 L2 D' F2
L2 D B2 U' B U' B'
L' D' U' F' L' F' R
D2 U' L2 B' U' B R2
F' U' L D' L2 F2 R
L2 D' U' B' U' F2 B
L2 D' U' B' U' B F2
F' U' L' D' F2 L2 R
F' U' L' D' F2 R L2
U2 D' R F B2 U F
R2 D' F L2 B2 U B
U2 D' R B2 F U F
L' D' F' U' F' L' R
L' D' F' U' F' R L'
D2 U' R2 U L2 B' U'
U2 D' R' F B2 U F
R2 D' F B2 L2 U B'
R2 D' F B2 U' F U2
U2 D' R' B2 F U F
U2 D' R2 F B2 U F
F U' L2 D B2 U2 B2
U2 D' R2 B2 F U F
U' D' F B2 U F B2
U' D' F B2 U B2 F
D' U' F B2 U F B2
D' U' F B2 U B2 F
U2 D' F R B2 U F
U2 D' F R' B2 U F
U2 D' F R2 B2 U F
U2 D' F U D' R2 F
U2 D' F U D' F R2
U2 D' F U F D' R2
U2 D' F D' U R2 F
U2 D' F D' U F R2
D' U' F' D' L2 F' R2
U' D' F' D' L2 F' R2
U' D' F' D' F' L2 R2
D' U' F' D' F' L2 R2
U' D' F' D' F' R2 L2
D' U' F' D' F' R2 L2
U2 D' F B2 R U F
U2 D' F B2 R' U F
U2 D' F B2 R2 U F
U2 D' F B2 U D F
U2 D' F B2 U D' F
U2 D' F B2 U D2 F
U2 D' F B2 U F D
U2 D' F B2 U F D'
U2 D' F B2 U F D2
U2 D' F B2 D U F
U2 D' F B2 D' U F
U2 D' F B2 D2 U F
L2 D' B' L U' F2 R
D' U' F2 U' F' B2 U
U' D' F2 U' F' B2 U
D' U' F2 U' B2 F' U
U' D' F2 U' B2 F' U
L2 D' B' U' F2 D R2
F' U' D' L2 F2 D' R2
F' U' D' F2 L2 D' R2
R2 D' B2 D' F L2 U
R2 D' B2 D2 F U B2
R2 D' B2 F L2 U B'
R2 D' B2 F U' F U2
R D' B2 R F L U
F' U' D2 R2 D L2 F2
F' U' D2 R2 D F2 L2
D' U' B2 F U F B2
D' U' B2 F U B2 F
U' D' B2 F U F B2
U' D' B2 F U B2 F
U2 D' B2 R F U F
U2 D' B2 R' F U F
U2 D' B2 R2 F U F
U2 D' B2 D R2 F U
U2 D' B2 D F R2 U
U2 D' B2 F R U F
U2 D' B2 F R' U F
U2 D' B2 F R2 U F
U2 D' B2 F U D F
U2 D' B2 F U D' F
U2 D' B2 F U D2 F
U2 D' B2 F U F D
U2 D' B2 F U F D'
U2 D' B2 F U F D2
U2 D' B2 F D U F
U2 D' B2 F D' U F
U2 D' B2 F D2 U F
R2 D2 L2 U2 B' U' R2
U' D2 L2 B' U' B R2
D' U2 R F B2 U F
D' U2 R B2 F U F
D' U2 R' F B2 U F
D' U2 R' B2 F U F
U' D2 R2 U L2 B' U'
D' U2 R2 F B2 U F
L2 D2 U' B' L2 U' B
D' U2 R2 B2 F U F
D' U2 F R B2 U F
D' U2 F R' B2 U F
D' U2 F R2 B2 U F
D' U2 F U D' R2 F
D' U2 F U D' F R2
D' U2 F U F D' R2
D2 U2 F U R2 D F2
D' U2 F D' U R2 F
D' U2 F D' U F R2
D2 U2 F U2 L2 U' R2
D2 U2 F D B2 U F2
D' U2 F B2 R U F
D' U2 F B2 R' U F
D' U2 F B2 R2 U F
D' U2 F B2 U D F
D' U2 F B2 U D' F
D' U2 F B2 U D2 F
D' U2 F B2 U F D
D' U2 F B2 U F D'
D' U2 F B2 U F D2
D' U2 F B2 D U F
D' U2 F B2 D' U F
D' U2 F B2 D2 U F
U2 D2 F U R2 D F2
R2 D2 F L2 U R2 D
R2 D2 F L2 U R2 D'
R2 D2 F L2 U R2 D2
R2 D2 F L2 D B2 U
R2 D2 F L2 B U R2
R2 D2 F L2 B' U R2
R2 D2 F L2 B2 U R2
U2 D2 F U2 L2 U' R2
U2 D2 F D B2 U F2
R2 D2 F U R2 D' B2
R2 D2 F B L2 U R2
R2 D2 F B' L2 U R2
R2 D2 F B2 L2 U R2
R2 D2 F' L2 F2 U R2
R2 D2 F2 L2 F' U R2
B' U2 R2 D' F B2 U
B' U2 R2 D' B2 F U
B' U2 R2 D2 F U R2
B' U2 R2 F U D2 R2
B' U2 R2 F U' L2 U2
B' U2 R2 F D' B2 U
B' U2 R2 F D2 U R2
F' U2 R2 D' B2 U L2
R2 D2 B F L2 U R2
B2 U2 R2 D' F B2 U
L2 D2 B' L2 U L2 U2
L2 D2 B' L2 U' D2 R2
B2 U2 R2 D' B2 F U
L2 D2 B' L2 D F2 U'
L2 D2 B' L2 D2 U' R2
B2 U2 R2 D2 F U R2
B2 U2 R2 F U D2 R2
B2 U2 R2 F U' L2 U2
F' U2 R2 F2 U D2 R2
F' U2 R2 F2 U' L2 U2
B2 U2 R2 F D' B2 U
B2 U2 R2 F D2 U R2
F' U2 R2 F2 D' B2 U
F' U2 R2 F2 D2 U R2
D' U2 B2 R F U F
D' U2 B2 R' F U F
D' U2 B2 R2 F U F
D' U2 B2 D R2 F U
D' U2 B2 D F R2 U
D' U2 B2 F R U F
D' U2 B2 F R' U F
D' U2 B2 F R2 U F
D' U2 B2 F U D F
D' U2 B2 F U D' F
D' U2 B2 F U D2 F
D' U2 B2 F U F D
D' U2 B2 F U F D'
D' U2 B2 F U F D2
B U2 R2 D' F B2 U
D' U2 B2 F D U F
D' U2 B2 F D' U F
D' U2 B2 F D2 U F
B U2 R2 D' B2 F U
R2 D2 B' F L2 U R2
B U2 R2 D2 F U R2
F U2 R2 U' L2 U2 L2
B U2 R2 F U D2 R2
B U2 R2 F U' L2 U2
B U2 R2 F D' B2 U
B U2 R2 F D2 U R2
B' U2 D' F B2 U F
B2 U2 D' F B2 U F
B' U2 D' B2 F U F
R2 D2 B2 F L2 U R2
F' U2 D' B2 U L2 F2
F' U2 D' B2 U F2 L2
F2 U2 D' F' B2 U F'
B2 U2 D' B2 F U F
F2 U2 D' B2 F' U F'
R2 F L U D B2 R'
R2 F L D U B2 R'
B U2 D' F B2 U F
B' U2 F R2 U D2 R2
B' U2 F R2 U' L2 U2
B' U2 F R2 D' B2 U
B' U2 F R2 D2 U R2
B U2 D' B2 F U F
B2 U2 F R2 U D2 R2
B2 U2 F R2 U' L2 U2
B2 U2 F R2 D' B2 U
B2 U2 F R2 D2 U R2
D2 F L2 U' R2 D2 L2
B' U2 F D' B2 U F2
B2 U2 F D' B2 U F2
B U2 F R2 U D2 R2
B U2 F R2 U' L2 U2
B U2 F R2 D' B2 U
B U2 F R2 D2 U R2
F2 U2 F' R2 U D2 R2
F2 U2 F' R2 U' L2 U2
R2 F L2 U2 R2 U' R2
F2 U2 F' R2 D' B2 U
F2 U2 F' R2 D2 U R2
B U2 F D' B2 U F2
F2 U2 F' D' B2 U F2
F' U2 F2 R2 U D2 R2
F' U2 F2 R2 U' L2 U2
F' U2 F2 R2 D' B2 U
F' U2 F2 R2 D2 U R2
U2 F R D' R B2 U
U2 F R D' B2 R U
U2 F R D2 R U R
F' U2 F2 D' B2 U F2
U2 F R' D' R' B2 U
U2 F R' D2 R' U R'
U' F R2 D' B2 U B2
U2 F R2 U R D2 R2
U2 F R2 U R' D2 R2
U2 F R2 U R2 D2 R2
U2 F R2 U D2 R2 D
U2 F R2 U D2 R2 D'
U2 F R2 U D2 R2 D2
U2 F R2 U' L2 U2 D
U2 F R2 U' L2 U2 D'
U2 F R2 U' L2 U2 D2
U2 F R2 U' L2 D U2
U2 F R2 U' L2 D' U2
U2 F R2 U' L2 D2 U2
U2 F R2 U2 D F2 U'
U2 F R2 D U2 F2 U'
U2 F R2 D' B2 U D
U2 F R2 D' B2 U D'
U2 F R2 D' B2 U D2
U2 F R2 D' B2 D U
U2 F R2 D' B2 D' U
U2 F R2 D' B2 D2 U
U2 F R2 D2 U R2 D
U2 F R2 D2 U R2 D'
U2 F R2 D2 U R2 D2
U2 F R2 D2 B U R2
U2 F R2 D2 B' U R2
U2 F R2 D2 B2 U R2
D' F U D' F R2 B
U2 F R2 B U D2 R2
U2 F R2 B U' L2 U2
U2 F R2 B D' B2 U
U2 F R2 B D2 U R2
D' F U F D' R2 B
U2 F R2 B' U D2 R2
U2 F R2 B' U' L2 U2
U2 F R2 B' D' B2 U
U2 F R2 B' D2 U R2
U2 F R2 B2 U D2 R2
U2 F R2 B2 U' L2 U2
U2 F R2 B2 D' B2 U
U2 F R2 B2 D2 U R2
U F R2 U D2 B R2
U F R2 U B D2 R2
U F R2 U' L2 U2 B
U2 F U D' F2 D' R2
U F R2 D' B2 U B'
U2 F U D2 R2 D F2
U F R2 D2 U B R2
R2 F U D B2 D R2
R2 F U D2 R2 D' B2
U2 F U' L2 U R2 U
U2 F U' L2 U2 D' F2
U2 F U' L2 D B2 U2
U2 F U' L2 D' U2 F2
R2 F U' L2 U' R2 U'
R2 F U' L2 U2 D B2
R2 F U' L2 D U2 B2
R2 F U' L2 D' F2 U2
U2 F U2 D2 L2 U' R2
R2 F U2 R2 U L2 U2
R2 F U2 R2 U' D2 R2
R2 F U2 R2 D F2 U'
R2 F U2 R2 D2 U' R2
R2 F U2 D F2 U' B2
D' F D' U F R2 B
R2 F D U B2 D R2
U' F D' F2 D' L2 R2
U' F D' F2 D' R2 L2
R2 F D U2 F2 U' B2
U' F D' B2 U F2 B2
U' F D' B2 U B2 F2
U2 F D' R B2 U F2
U2 F D' R' B2 U F2
U2 F D' R2 B2 U F2
U2 F D' U F2 D' R2
U2 F D' B2 R U F2
U2 F D' B2 R' U F2
U2 F D' B2 R2 U F2
U2 F D' B2 U F2 D
U2 F D' B2 U F2 D'
U2 F D' B2 U F2 D2
U2 F D' B2 D R2 U
R2 F D' B2 U D2 B2
R2 F D' B2 U' F2 U2
R2 F D' B2 D' L2 U
R2 F D' B2 D2 U B2
U2 F D2 U R2 D F2
R2 F D2 L2 U R2 D
R2 F D2 L2 U R2 D'
R2 F D2 L2 U R2 D2
R2 F D2 L2 D B2 U
U2 F D2 U2 L2 U' R2
R2 F D2 L2 B U R2
R2 F D2 L2 B' U R2
R2 F D2 L2 B2 U R2
R2 F D2 U R2 D' B2
R2 F D2 B L2 U R2
R2 F D2 B' L2 U R2
R2 F D2 B2 L2 U R2
U2 F B R2 U D2 R2
U2 F B R2 U' L2 U2
U2 F B R2 D' B2 U
U2 F B R2 D2 U R2
U2 F B D' B2 U F2
R2 F B D2 L2 U R2
U2 F B' R2 U D2 R2
U2 F B' R2 U' L2 U2
U2 F B' R2 D' B2 U
U2 F B' R2 D2 U R2
L2 F B' U2 R2 U R2
U2 F B' D' B2 U F2
R2 F B' D2 L2 U R2
U' F' L D' L2 F2 R
U2 F B2 R2 U D2 R2
U2 F B2 R2 U' L2 U2
U2 F B2 R2 D' B2 U
U2 F B2 R2 D2 U R2
U2 F B2 D' B2 U F2
R2 F B2 D2 L2 U R2
U' F' L' D' F2 L2 R
U' F' L' D' F2 R L2
D2 F' L2 U' R2 D' L2
D2 F' L2 U2 F2 U R2
D2 F' L2 D' F2 U' L2
F' D F2 U R2 B2 U2
F' D F2 U B2 R2 U2
F' D F2 U' D2 L2 F2
F' D F2 U' D2 F2 L2
F' D F2 D L2 B2 U'
F' D F2 D B2 L2 U'
F' D F2 D2 U' L2 F2
F' D F2 D2 U' F2 L2
F2 D F2 D L2 B' U'
F D F2 D2 B2 U' F2
U2 F' R2 D' B2 U L2
U2 F' R2 F2 U D2 R2
U2 F' R2 F2 U' L2 U2
U2 F' R2 F2 D' B2 U
U2 F' R2 F2 D2 U R2
D' F' U' D' L2 F' R2
D' F' U' D' F' L2 R2
D' F' U' D' F' R2 L2
D' F' U2 F2 B2 U F
D' F' U2 B2 F2 U F
U' F' D' L2 F2 D' R2
U' F' D' F2 L2 D' R2
D' F' D' U' L2 F' R2
D' F' D' U' F' L2 R2
D' F' D' U' F' R2 L2
U' F' D2 R2 D L2 F2
U' F' D2 R2 D F2 L2
U2 F' D' B2 U L2 F2
U2 F' D' B2 U F2 L2
D' F' D2 F2 B2 U' F
D' F' D2 B2 F2 U' F
D F' D2 F' B2 U' F'
F D' R B2 L U F2
D F' D2 B2 F' U' F'
L2 F' B' U2 R2 U R2
F' D' U' L2 F2 D' R2
F' D' U' F2 L2 D' R2
B' D' U2 F B2 U F
B' D' U2 B2 F U F
B2 D' U2 F B2 U F
F' D' U2 B2 U L2 F2
F' D' U2 B2 U F2 L2
F2 D' U2 F' B2 U F'
B2 D' U2 B2 F U F
F2 D' U2 B2 F' U F'
D2 F2 L2 U2 F' U R2
B D' U2 F B2 U F
B D' U2 B2 F U F
D F2 R2 B R2 U' F'
D' F2 U' F' B2 U B2
D' F2 U' B2 F' U B2
D F2 U B2 U F' U
F D' B2 U F2 D2 B2
F' D2 L' B2 L' U' R2
B' D2 L2 D' F2 B' U'
B' D2 L2 D' B' F2 U'
D F2 U2 D' F' R2 U
F' D2 L2 U' R2 D L2
D F2 U2 D2 F' U F'
B' D2 L2 F B' U' R2
B' D2 L2 F' B' U' R2
D F2 U2 F' U D2 F2
D F2 U2 F' U' B2 U2
D F2 U2 F' D' R2 U
D F2 U2 F' D2 U F2
B' D2 L2 F2 B' U' R2
B' D2 L2 B' U' R2 D
B' D2 L2 B' U' R2 D'
B' D2 L2 B' U' R2 D2
B' D2 L2 B' D' F2 U'
B' D2 L2 B' F U' R2
B' D2 L2 B' F' U' R2
B' D2 L2 B' F2 U' R2
F' D2 L2 F B2 U' R2
B2 D2 L2 D' F2 B' U'
F2 D2 L2 U2 F' U R2
B2 D2 L2 D' B' F2 U'
F' D2 L2 F' B2 U' R2
F' D2 L2 F2 B2 U' R2
B2 D2 L2 F B' U' R2
D F2 D L2 U2 F' U
B2 D2 L2 F' B' U' R2
F' D2 L2 B2 U' R2 D
F' D2 L2 B2 U' R2 D'
F' D2 L2 B2 U' R2 D2
F' D2 L2 B2 D' F2 U'
F' D2 L2 B2 F U' R2
B2 D2 L2 F2 B' U' R2
F' D2 L2 B2 F' U' R2
F' D2 L2 B2 F2 U' R2
B2 D2 L2 B' U' R2 D
B2 D2 L2 B' U' R2 D'
B2 D2 L2 B' U' R2 D2
B2 D2 L2 B' D' F2 U'
B2 D2 L2 B' F U' R2
B2 D2 L2 B' F' U' R2
B2 D2 L2 B' F2 U' R2
B D2 L2 D' F2 B' U'
B D2 L2 D' B' F2 U'
U2 F2 D' F' B2 U F'
B D2 L2 F B' U' R2
B D2 L2 F' B' U' R2
F D2 L2 U' R2 D2 L2
B D2 L2 F2 B' U' R2
U2 F2 D' B2 F' U F'
B D2 L2 B' U' R2 D
