U' L' U2 D L2 F
U' L' D U2 L2 F
U' L' D B' U2 L2
U' L' D' R2 B' U2
U' L' D' B' R2 U2
U' L' B' U' B' U'
U2 L2 B2 U' R' F'
U' D L' B' U2 L'
U' D' L' R2 B' U2
D' U' L' R2 B' U2
U' D' L' B' R2 U2
D' U' L' B' R2 U2
D U' L' B' U2 L'
U' D' R2 L' B' U2
D' U' R2 L' B' U2
D2 F2 R2 U R' F'
D2 F2 U R' F' R2
D2 F2 B' R' U R2
D2 B' R' F2 U R
D2 B' F2 R' U R2
U2 B2 U L' B' U2
U' L' D B' U2 L2 D
U' L' D B' U2 L2 D'
U' L' D B' U2 L2 D2
U' L' D B' D2 R2 U2
U' L' D' R B' R U2
U' L' D' R2 D B' U2
U' L' D' R2 D' B' U2
U' L' D' R2 D2 B' U2
U' L' D' R2 B' U2 D
U' L' D' R2 B' U2 D'
U' L' D' R2 B' U2 D2
U' L' D' R2 B' D U2
U' L' D' R2 B' D' U2
U' L' D' R2 B' D2 U2
U' L' D' B R2 B2 U2
U' L' D' B' R2 U2 D
U' L' D' B' R2 U2 D'
U' L' D' B' R2 U2 D2
U' L' D' B' R2 D U2
U' L' D' B' R2 D' U2
U' L' D' B' R2 D2 U2
U' L' D' B' U2 D2 L2
U' L' D' B' D2 U2 L2
U' L' D' B2 R2 U2 F'
U' L' D2 B' U F2 U
U' L' D2 B' U2 D' L2
U' L' D2 B' D R2 U2
U' L' D2 B' D' U2 L2
U2 L' F' L' B2 U' R'
U' L' B' R U' B' U'
U' L' B' R' U' B' U'
U' L' B' R2 U' B' U'
U' L' B' U' D B' U'
U' L' B' U' D' B' U'
U' L' B' U' D2 B' U'
U' L' B' U' B' U' D
U' L' B' U' B' U' D'
U' L' B' U' B' U' D2
U' L' B' U' B' D U'
U' L' B' U' B' D' U'
U' L' B' U' B' D2 U'
U' L' B' D U' B' U'
U' L' B' D' U' B' U'
U' L' B' D2 U' B' U'
U L2 U B2 U' R' F'
U2 L2 F' B2 L' U' R'
U2 L2 B2 L U' R' F'
U2 L2 B2 L' U' R' F'
U2 L2 B2 L2 U' R' F'
U2 L2 B2 U' R' D F'
U2 L2 B2 U' R' D' F'
U2 L2 B2 U' R' D2 F'
U2 L2 B2 U' R' F' D
U2 L2 B2 U' R' F' D'
U2 L2 B2 U' R' F' D2
U2 L2 B2 U' D R' F'
U2 L2 B2 U' D' R' F'
U2 L2 B2 U' D2 R' F'
U2 L2 B2 U' F R' F'
U2 L2 B2 U' F' R' F'
U2 L2 B2 U' F2 R' F'
U2 L2 B2 D U' R' F'
U2 L2 B2 D' U' R' F'
U2 L2 B2 D2 U' R' F'
U2 L2 B2 F' L' U' R'
U' R L' U2 D L2 F
U' R L' D U2 L2 F
U' R L' D B' U2 L2
U' R L' D' R2 B' U2
U' R L' D' B' R2 U2
U' R L' B' U' B' U'
D' R U' L' R B' U2
D' R U' L' B' R U2
D' R U' R L' B' U2
D R U' L' B' U2 L'
U' R D L' B' U2 L'
U' R D' L' R2 B' U2
U' R D' L' B' R2 U2
U' R D' R2 L' B' U2
R' U' L' U2 D L2 F
R' U' L' D U2 L2 F
R' U' L' D B' U2 L2
R' U' L' D' R2 B' U2
R' U' L' D' B' R2 U2
R' U' L' B' U' B' U'
R2 U' L' U2 D L2 F
R2 U' L' D U2 L2 F
R2 U' L' D B' U2 L2
R2 U' L' D' R2 B' U2
R2 U' L' D' B' R2 U2
R U' L' U2 D L2 F
R U' L' D U2 L2 F
R U' L' D B' U2 L2
R U' L' D' R2 B' U2
R U' L' D' B' R2 U2
R2 U' L' B' U' B' U'
R U' L' B' U' B' U'
D2 R F2 R2 U R' F'
D2 R F2 U R' F' R2
D2 R F2 B' R' U R2
D2 R B' R' F2 U R
R' U' D L' B' U2 L'
D2 R B' F2 R' U R2
R2 U' D L' B' U2 L'
R' U' D' L' R2 B' U2
R' U' D' L' B' R2 U2
R U' D L' B' U2 L'
R' U' D' R2 L' B' U2
R2 U' D' L' R2 B' U2
R2 U' D' L' B' R2 U2
R2 U' D' R2 L' B' U2
R U' D' L' R2 B' U2
R U' D' L' B' R2 U2
R U' D' R2 L' B' U2
U' R' L' U2 D L2 F
U' R' L' D U2 L2 F
U' R' L' D B' U2 L2
U' R' L' D' R2 B' U2
U' R' L' D' B' R2 U2
U' R' L' B' U' B' U'
D' R' U' L' R' B' U2
D' R' U' R' L' B' U2
D R' U' L' B' U2 L'
B' R' U2 F2 B' U' R
B' R' U2 B' U L' U2
B' R' U2 B' F2 U' R
U' R' D L' B' U2 L'
L' U' B2 L R' U' F
L' U' B2 R' L U' F
U' R' D' L' R2 B' U2
U' R' D' L' B' R2 U2
U' R' D' R2 L' B' U2
U R' D F2 R F L2
B' R' F U2 B' U' R'
R' U2 L2 B2 U' R' F'
R2 U2 L2 B2 U' R' F'
D2 R' F2 R2 U R' F'
D2 R' F2 U R' F' R2
R U2 L2 B2 U' R' F'
B' R' F2 U2 B' U' R
D2 R' F2 B' R' U R2
U R' F2 R D F L2
U R' F2 R F D L2
U R' F2 D R F L2
B' R' B D2 F2 U R
D2 R' B' R' F2 U R
B' R' B' U' L' U2 L
D2 R' B' F2 R' U R2
U' R2 L' U2 D L2 F
U' R2 L' D U2 L2 F
U' R2 L' D B' U2 L2
U' R2 L' D' R2 B' U2
U' R2 L' D' B' R2 U2
U' R2 L' B' U' B' U'
F2 R2 U R' D L2 F'
F2 R2 U R' D F' L2
F2 R2 U R' F' D L2
F2 R2 U D L2 R' F'
F2 R2 U D R' L2 F'
F2 R2 U D R' F' L2
D R2 U' L' B' U2 L'
U' R2 D L' B' U2 L'
R' U2 B2 U L' B' U2
F2 R2 D U L2 R' F'
F2 R2 D U R' L2 F'
F2 R2 D U R' F' L2
U' R2 D' L' R2 B' U2
U' R2 D' L' B' R2 U2
U' R2 D' R2 L' B' U2
R2 U2 B2 U L' B' U2
R U2 B2 U L' B' U2
F2 R2 D2 F2 U R' F'
D2 R2 F2 R2 U R' F'
D2 R2 F2 U R' F' R2
D2 R2 F2 B' R' U R2
U R2 F2 R D L2 F'
U R2 F2 R D F' L2
U R2 F2 R F' D L2
D2 R2 B' R' F2 U R
D2 R2 B' F2 R' U R2
R' D U' L' B' U2 L'
R2 D U' L' B' U2 L'
R D U' L' B' U2 L'
U' D L' R B' U2 L'
U' D L' R' B' U2 L'
U' D L' R2 B' U2 L'
U' D L' U2 L2 F L
U' D L' D B' U2 L'
U' D L' D' B' U2 L'
U' D L' D2 B' U2 L'
U' D L' B' R U2 L'
U' D L' B' R' U2 L'
U' D L' B' R2 U2 L'
U' D L' B' U2 L' D
U' D L' B' U2 L' D'
U' D L' B' U2 L' D2
U' D L' B' U2 D L'
U' D L' B' U2 D' L'
U' D L' B' U2 D2 L'
U' D L' B' D U2 L'
U' D L' B' D' U2 L'
U' D L' B' D2 U2 L'
U' D R L' B' U2 L'
D U L2 U2 L U2 F
U D L2 U2 L U2 F
D U L2 B2 R' F' B2
D U L2 B2 R' B2 F'
U' D R' L' B' U2 L'
U D L2 B2 R' F' B2
U D L2 B2 R' B2 F'
F' U R' F' R D L2
F' U R' F' D L2 R
F' U R' F' D R L2
F2 U R' F' R2 D L2
U' D R2 L' B' U2 L'
D U R' F2 R F L2
U D R' F2 R F L2
F2 U D L2 R' F' R2
D U R2 F2 L2 R F'
D U R2 F2 R L2 F'
D U R2 F2 R F' L2
F2 U D R' L2 F' R2
F2 U D R' F' L2 R2
F2 U D R' F' R2 L2
U D R2 F2 L2 R F'
U D R2 F2 R L2 F'
U D R2 F2 R F' L2
D U F' L2 R' F' R
D U F' R' L2 F' R
D U F' R' F' L2 R
D U F' R' F' R L2
U D F' L2 R' F' R
U D F' R' L2 F' R
U D F' R' F' L2 R
U D F' R' F' R L2
U' D B L' B' U2 L'
D U F2 L2 R' F' R2
D U F2 R' L2 F' R2
D U F2 R' F' L2 R2
D U F2 R' F' R2 L2
U D F2 L2 R' F' R2
U D F2 R' L2 F' R2
U D F2 R' F' L2 R2
U D F2 R' F' R2 L2
U' D B' L' B' U2 L'
U' D B2 L' B' U2 L'
D U B2 L2 B2 R' F'
U D B2 L2 B2 R' F'
U' D' L' R B' R U2
D' U' L' R B' R U2
U' D' L' R2 D B' U2
D' U' L' R2 D B' U2
U' D' L' R2 D' B' U2
D' U' L' R2 D' B' U2
U' D' L' R2 D2 B' U2
D' U' L' R2 D2 B' U2
U' D' L' R2 B' U2 D
U' D' L' R2 B' U2 D'
U' D' L' R2 B' U2 D2
U' D' L' R2 B' D U2
D' U' L' R2 B' U2 D
D' U' L' R2 B' U2 D'
D' U' L' R2 B' U2 D2
U' D' L' R2 B' D' U2
U' D' L' R2 B' D2 U2
D' U' L' R2 B' D U2
D' U' L' R2 B' D' U2
D' U' L' R2 B' D2 U2
U' D' L' U2 D2 L2 F
D' U' L' U2 D2 L2 F
D2 U' L' U2 D' L2 F
D2 U' L' D R2 B' U2
D2 U' L' D B' R2 U2
U' D' L' D2 U2 L2 F
D' U' L' D2 U2 L2 F
U' D' L' D2 B' U2 L2
D2 U' L' D' U2 L2 F
D' U' L' D2 B' U2 L2
D2 U' L' D' B' U2 L2
R' D' U' L' R2 B' U2
R' D' U' L' B' R2 U2
U' D' L' B R2 B2 U2
D' U' L' B R2 B2 U2
U' D' L' B' R2 U2 D
U' D' L' B' R2 U2 D'
U' D' L' B' R2 U2 D2
U' D' L' B' R2 D U2
U' D' L' B' R2 D' U2
U' D' L' B' R2 D2 U2
D' U' L' B' R2 U2 D
D' U' L' B' R2 U2 D'
D' U' L' B' R2 U2 D2
D' U' L' B' R2 D U2
D' U' L' B' R2 D' U2
D' U' L' B' R2 D2 U2
D' U' L' B' U2 D2 L2
U' D' L' B' U2 D2 L2
U' D' L' B' D2 U2 L2
D' U' L' B' D2 U2 L2
U' D' L' B2 R2 U2 F'
D' U' L' B2 R2 U2 F'
D2 U' L' B' U F2 U
D2 U' L' B' U2 D' L2
D2 U' L' B' D R2 U2
D2 U' L' B' D' U2 L2
R' D' U' R2 L' B' U2
D U' L' R B' U2 L'
D U' L' R' B' U2 L'
D U' L' R2 B' U2 L'
D U' L' U2 L2 F L
D U' L' D B' U2 L'
D U' L' D' B' U2 L'
D U' L' D2 B' U2 L'
R2 D' U' L' R2 B' U2
R2 D' U' L' B' R2 U2
D U' L' B' R U2 L'
D U' L' B' R' U2 L'
D U' L' B' R2 U2 L'
D U' L' B' U2 L' D
D U' L' B' U2 L' D'
D U' L' B' U2 L' D2
D U' L' B' U2 D L'
D U' L' B' U2 D' L'
D U' L' B' U2 D2 L'
D U' L' B' D U2 L'
D U' L' B' D' U2 L'
D U' L' B' D2 U2 L'
R2 D' U' R2 L' B' U2
U' D' R L' B' R U2
D' U' R L' B' R U2
R D' U' L' R2 B' U2
R D' U' L' B' R2 U2
R D' U' R2 L' B' U2
D U' R L' B' U2 L'
B U' L' U' L2 B U'
B U' L' U' B L2 U'
U' D' R2 L' D B' U2
D' U' R2 L' D B' U2
D' U' R2 L' D' B' U2
U' D' R2 L' D' B' U2
U' D' R2 L' D2 B' U2
D' U' R2 L' D2 B' U2
U' D' R2 L' B' U2 D
D' U' R2 L' B' U2 D
D' U' R2 L' B' U2 D'
U' D' R2 L' B' U2 D'
U' D' R2 L' B' U2 D2
D' U' R2 L' B' U2 D2
U' D' R2 L' B' D U2
D' U' R2 L' B' D U2
D' U' R2 L' B' D' U2
U' D' R2 L' B' D' U2
U' D' R2 L' B' D2 U2
D' U' R2 L' B' D2 U2
D U' R' L' B' U2 L'
U' D' R2 D L' B' U2
D' U' R2 D L' B' U2
U' D' R2 D' L' B' U2
D' U' R2 D' L' B' U2
D' U' R2 D2 L' B' U2
U' D' R2 D2 L' B' U2
D' U' R2 B L' B' U2
U' D' R2 B L' B' U2
U' D' R2 B' L' B' U2
D' U' R2 B' L' B' U2
U' D' R2 B2 L' B' U2
D' U' R2 B2 L' B' U2
D U' R2 L' B' U2 L'
D' U' B L' R2 B' U2
U' D' B L' R2 B' U2
B2 U' D L' U2 F L
U' D' B L' B' R2 U2
D' U' B L' B' R2 U2
D' U' B R2 L' B' U2
U' D' B R2 L' B' U2
U' D' B' L' R2 B' U2
D' U' B' L' R2 B' U2
U' D' B' L' B' R2 U2
D' U' B' L' B' R2 U2
U' D' B' R2 L' B' U2
F2 U' D' R2 U2 R' F'
D' U' B' R2 L' B' U2
D U' B L' B' U2 L'
D' U' B2 L' R2 B' U2
U' D' B2 L' R2 B' U2
D' U' B2 L' B' R2 U2
U' D' B2 L' B' R2 U2
D' U' B2 R2 L' B' U2
U' D' B2 R2 L' B' U2
D U' B' L' B' U2 L'
D U' B2 L' B' U2 L'
U' D2 L' U2 D' L2 F
U' D2 L' D R2 B' U2
U' D2 L' D B' R2 U2
U' D2 L' D' U2 L2 F
U' D2 L' D' B' U2 L2
U' D2 L' B' U F2 U
U' D2 L' B' U2 D' L2
U' D2 L' B' D R2 U2
U' D2 L' B' D' U2 L2
B U2 L D F2 B U'
B U2 L D B F2 U'
B U2 L D2 B U' R2
B U2 L B U L2 U2
B U2 L B U' D2 R2
B U2 L B D F2 U'
B U2 L B D2 U' R2
R' D2 F2 R2 U R' F'
R' D2 F2 U R' F' R2
R' D2 F2 B' R' U R2
R2 D2 F2 R2 U R' F'
R2 D2 F2 U R' F' R2
R2 D2 F2 B' R' U R2
R' D2 B' R' F2 U R
R D2 F2 R2 U R' F'
R D2 F2 U R' F' R2
R D2 F2 B' R' U R2
R' D2 B' F2 R' U R2
R2 D2 B' R' F2 U R
R2 D2 B' F2 R' U R2
R D2 B' R' F2 U R
R D2 B' F2 R' U R2
F' U2 F' L' B2 U' R
F' U2 F' B2 L' U' R
B U2 F2 L B U' R
F' U2 B2 U' R' F' R
F2 U2 B2 U' R' F' R2
F' U2 B2 F' L' U' R
D2 F B' R' F U R
F2 D R2 U L2 R' F'
F2 D R2 U R' L2 F'
F2 D R2 U R' F' L2
F2 D U L2 R' F' R2
F2 D U R' L2 F' R2
F2 D U R' F' L2 R2
F2 D U R' F' R2 L2
B2 D U' L' U2 F L
U2 F' L' F' B2 U' R
U2 F' L' B2 F' U' R
F' D B' R' B U L2
F2 D B' R' U L2 R2
F2 D B' R' U R2 L2
U F' R' F' R D L2
U F' R' F' D L2 R
U F' R' F' D R L2
D F' U L2 R' F' R
D F' U R' L2 F' R
D F' U R' F' L2 R
D F' U R' F' R L2
U2 F' B2 L' F' U' R
U2 F' B2 D' L' F U'
F2 D' U' R2 U2 R' F'
D2 F2 R B' R' U R
D2 F2 R' U R' F' R'
D2 F2 R' B' R' U R'
D2 F2 R2 U R' D F'
D2 F2 R2 U R' D' F'
D2 F2 R2 U R' D2 F'
D2 F2 R2 U R' F' D
D2 F2 R2 U R' F' D'
D2 F2 R2 U R' F' D2
D2 F2 R2 U D R' F'
D2 F2 R2 U D' R' F'
D2 F2 R2 U D2 R' F'
D2 F2 R2 U F R' F'
D2 F2 R2 U F' R' F'
D2 F2 R2 U F2 R' F'
D2 F2 R2 D U R' F'
D2 F2 R2 D' U R' F'
D2 F2 R2 D2 U R' F'
D2 F2 U R U2 B U2
D2 F2 U R' F R2 F2
D2 F2 U R' F' R2 D
D2 F2 U R' F' R2 D'
D2 F2 U R' F' R2 D2
D2 F2 U R' F2 R2 F
D2 F2 U D R' F' R2
D2 F2 U D' R' F' R2
D2 F2 U D2 R' F' R2
D2 F2 U F R' F' R
D F2 R2 U L2 R' F'
D F2 R2 U R' L2 F'
D F2 R2 U R' F' L2
U F2 R' F' R2 D L2
D2 F2 U' L U2 R F
D2 F2 U' L' B' U2 R
D' F2 U' R2 U2 R' F'
D F2 U L2 R' F' R2
D F2 U R' L2 F' R2
D F2 U R' F' L2 R2
D F2 U R' F' R2 L2
U2 F2 U' D L2 R F'
U2 F2 U' D R L2 F'
U2 F2 U' D R F' L2
D2 F2 D R2 U R' F'
D2 F2 D U R' F' R2
D2 F2 D B' R' U R2
U2 F2 D U' L2 R F'
U2 F2 D U' R L2 F'
U2 F2 D U' R F' L2
D2 F2 D' R2 U R' F'
D2 F2 D' U R' F' R2
D2 F2 D' B' R' U R2
U F2 D L2 R' F' R2
U F2 D R' L2 F' R2
D2 F2 D2 R2 U R' F'
U F2 D R' F' L2 R2
U F2 D R' F' R2 L2
D2 F2 D2 U R' F' R2
D2 F2 D2 B' R' U R2
D2 F2 B U2 L U' R
D2 F2 B' R' U R2 D
D2 F2 B' R' U R2 D'
D2 F2 B' R' U R2 D2
D2 F2 B' R' D B2 U
D2 F2 B' R' B U R2
D2 F2 B' R' B' U R2
D2 F2 B' R' B2 U R2
D2 F2 B' U R D' F2
D2 F2 B' D R' U R2
D2 F2 B' D' R' U R2
D2 F2 B' D2 R' U R2
F2 D2 R2 F2 U R' F'
D2 F2 B2 U D' R F'
D2 F2 B2 D' U R F'
D F2 B' R' U L2 R2
D F2 B' R' U R2 L2
U2 F2 B2 U' D R F'
U2 F2 B2 D U' R F'
U' B L' B' U' B2 U'
U' B L' B' U2 D L2
U' B L' B' D U2 L2
U' B L' B' D' R2 U2
F2 D2 F2 U' L' B' U2
F D2 F2 U R' F' R
F2 D2 B' R' F2 U R2
L' B U' L B R' U'
B' F R' U2 B' U' R'
D2 B F2 U2 L U' R
U' B' L' D' B' U2 L
F2 B U2 L B U' R
D2 B' R F2 R2 U R'
D' B' R' U' L' R' U2
D' B' R' U' R' L' U2
D2 B' R' F2 U R D
D2 B' R' F2 U R D'
D2 B' R' F2 U R D2
D2 B' R' F2 U D R
D2 B' R' F2 U D' R
D2 B' R' F2 U D2 R
D2 B' R' F2 D U R
D2 B' R' F2 D' U R
D2 B' R' F2 D2 U R
D2 B' R' F2 B U R
D2 B' R' F2 B' U R
D2 B' R' F2 B2 U R
D2 B' R' B F2 U R
D2 B' R' B' F2 U R
D2 B' R' B2 F2 U R
D B' R' U' L' U2 L'
D B' R' D F2 U R
D B' R' F2 U L2 R
D B' R' F2 U R L2
F2 B' R' U2 B' U' R2
D' B' D' R' F2 U R
D' B' D' F2 R' U R2
D B' D R' F2 U R
D B' D F2 R' U R2
F B' R' U2 B' U' R'
D2 B' F R' F U R
D2 B' F2 R' U R2 D
D2 B' F2 R' U R2 D'
D2 B' F2 R' U R2 D2
D2 B' F2 R' D B2 U
D2 B' F2 R' B U R2
D2 B' F2 R' B' U R2
D2 B' F2 R' B2 U R2
D2 B' F2 U R D' F2
D2 B' F2 D R' U R2
D2 B' F2 D' R' U R2
D2 B' F2 D2 R' U R2
D B' F2 R' U L2 R2
D B' F2 R' U R2 L2
U' B2 L' B' U' B U'
U2 B2 L2 U L U2 F
B' F2 R' U2 B' U' R2
U2 B2 U L' D B' U2
U2 B2 U L' D' B' U2
U2 B2 U L' D2 B' U2
U2 B2 U L' B' U2 D
U2 B2 U L' B' U2 D'
U2 B2 U L' B' U2 D2
U2 B2 U L' B' D U2
U2 B2 U L' B' D' U2
U2 B2 U L' B' D2 U2
U2 B2 U D L' B' U2
U2 B2 U D' L' B' U2
U2 B2 U D2 L' B' U2
U2 B2 U B L' B' U2
U2 B2 U B' L' B' U2
U2 B2 U B2 L' B' U2
U2 B2 U' R' F2 R F
U2 B2 U' R2 F2 R F'
U2 B2 U' F' R' F' R
U2 B2 U' F2 R' F' R2
U2 B2 D U L' B' U2
D' B2 D' F2 U R F'
U2 B2 D' U L' B' U2
B F2 U2 L B U' R
U2 B2 D2 U L' B' U2
U2 B2 F' L' F' U' R
D2 B2 F2 U D' R F'
D2 B2 F2 D' U R F'
U2 B2 F' D' L' F U'
U2 B2 F2 U' D R F'
U2 B2 F2 D U' R F'
