D L' D2 L' F B'
D L' D2 L' B' F
D L2 R F' R' B'
D L2 B' R F' R'
D R L2 F' R' B'
R' D L2 R F' B'
R' D L2 R B' F'
R' D L2 B' R F'
R' D R L2 F' B'
R' D R L2 B' F'
F U L' B2 R' U'
U2 F U' L' B2 U'
U2 F U' B2 L' U'
L2 B' D2 U B' L U'
L2 B' F U B' L' U'
U2 B' F U' B' L' U'
D B2 L' D2 L' F B'
D B2 L' D2 L' B' F
D B2 L2 R F' R' B'
D B2 L2 B' R F' R'
D B2 R L2 F' R' B'
U B2 U F U' L' U'
U2 B2 F U' L' U' L
